-0.0035328+0.0006811i,-0.0019195+0.0016301i,-0.0010928+0.0020851i,0.00098994+0.0024306i,0.001226+0.0030135i,0.0010058+0.0023013i,0.0014676+0.0015923i,0.00090661+0.0018188i,0.00045569+0.0017194i,0.00064532+0.00073978i,0.00052911-0.0010096i,0.00027055-0.0011266i,0.00020977-0.00059759i,0.00014083-0.00062661i,3.7418e-05+0.00037388i,-0.00017369+0.00011897i,-3.9812e-05-0.00029996i,0.0004183+0.00018345i,0.00053356-3.351e-05i,0.00032107-0.00059967i,0.00061014-0.00060131i,0.00045242+0.00014304i,0.00023171+0.00060627i
0.0016211-0.0011899i,0.0017582-0.0014075i,0.001831-0.0030502i,0.0004206-0.0027246i,-0.0016019+8.1493e-05i,-0.002029+0.00052708i,-0.0011086-2.8683e-05i,-0.00043563-9.4968e-05i,-0.00058656-0.00092225i,-0.0006867-0.0012219i,-0.00012254-0.0004163i,-0.00023372-0.00013163i,-0.0002676-0.00062895i,0.00038739-0.0004407i,0.0011141+0.0002275i,0.0005591+0.00050909i,-0.00051886+0.00012268i,-0.0006814-0.00020727i,4.5148e-05-0.00023635i,-6.0607e-06-8.5181e-05i,-0.00015833-0.00082881i,2.4293e-05-0.0010301i,-0.00044771-0.00090069i
3.2832e-05-0.0012786i,-0.00063862-0.0013699i,-0.0024319-0.0015526i,-0.0023347-0.00080378i,-0.0012425+0.0014937i,-0.00054816+0.0024694i,-0.00043028+0.0011189i,-0.00066202-5.1867e-05i,-0.0003684-0.00024701i,-0.00011927-0.00067784i,-0.00043107-0.00069383i,-0.00023196-0.00032872i,0.00033403+0.00014578i,0.00075909+0.0007912i,0.00084039+0.00081513i,0.00070527+0.00085493i,-0.00028013+0.00055803i,-0.00082571+0.00032697i,-0.00036617+0.00056876i,0.00053185+0.00070041i,0.00079655+0.00056387i,0.00053489-0.00012181i,0.00097109-3.6733e-05i
0.00021302+0.00066285i,0.0022846+0.00015981i,0.0031938-0.00156i,0.0027304-0.0015128i,0.0024431+0.00045326i,0.0017915+0.00042886i,0.00091233-0.00063475i,0.00013079-0.0013462i,-0.00036264-0.001401i,-0.0001804-0.0014386i,9.7286e-06-0.0010646i,-0.00041466-0.00029209i,-0.00060136-2.9274e-05i,-0.00040254+0.00019917i,-0.00055502+0.00037675i,-0.00071977+0.00055902i,-0.00044244+0.00070568i,-0.00012791+0.0003838i,-0.00046349+3.5987e-07i,-0.00091405+0.00028805i,-0.000535+0.00095798i,-0.00016206+0.00091851i,-5.5232e-05+0.00066589i
0.0017369+0.00012001i,0.0013802-0.0010155i,0.0019151-0.0016334i,0.00032758-0.0021082i,-0.00094543-0.002177i,-0.00044016-0.0014432i,-0.00050217-0.00078356i,-0.00088117-0.00017396i,-0.0010817-0.00018412i,-0.00017792-0.0011104i,0.00021729-0.001413i,-0.00024001-0.001306i,-0.00055426-0.0012949i,-0.00066603-0.0007746i,-0.0014235+0.00011416i,-0.0014822+0.00051999i,-0.0013423+0.00083727i,-0.0015249+0.00027385i,-0.00086074+0.00017752i,-0.00077638+0.00093433i,-8.9328e-05+0.0006961i,0.00087212+6.7848e-05i,0.00036004-0.00022488i
4.4707e-05+0.00035102i,-0.00015122+0.00053058i,9.9652e-05+2.7441e-05i,0.00023564+1.9584e-05i,0.00038545+0.00080057i,0.0010112+0.0014188i,0.00053544+0.001163i,-0.00069555+0.00045725i,-0.00047773+0.00035978i,0.00012649+7.8799e-05i,0.00037968+0.00022519i,5.0273e-05-7.4172e-06i,0.00049269-0.00053316i,0.0015732-0.00062132i,0.00096123-0.00068274i,0.00033591-0.0010347i,9.7196e-05-0.0009204i,2.7931e-05+0.00012221i,0.00018453+0.0008526i,0.00045563-0.00013544i,0.00037356-0.00045969i,0.00031959+0.00016384i,0.0005465+0.00025183i
-0.0016344+2.3444e-05i,-0.00071752-0.0017452i,0.0005427-0.0017824i,0.00067181-0.00080643i,0.00032603-8.0538e-05i,0.00063344-3.9643e-05i,0.0011835-0.00090428i,0.00060032-0.0010714i,0.00010475-0.00066122i,0.00035107+0.00012032i,0.00019357+0.00053377i,-0.00074428+0.00061895i,-0.00047515+0.00060048i,2.8924e-05+0.0009186i,6.3043e-05+0.00078994i,0.00022002-8.1622e-05i,-6.7985e-05-0.00044419i,-0.00030869-0.00044485i,-1.6504e-05-0.0006258i,0.0004175-0.00072059i,-9.7223e-05-0.00070491i,-0.00085286-0.00066175i,-0.0002304-0.00046215i
0.0013992-0.0015708i,0.0007846-0.0013953i,0.00074795-0.0011795i,0.00034175-0.00098735i,0.00030613-4.1629e-05i,0.00060907+0.0002861i,-0.0005432-2.1609e-05i,-0.0017217-0.00025177i,-0.0014915-0.001948i,-0.00062128-0.0025202i,-0.00025117-0.00097622i,-0.00089083-0.00026565i,-0.0011531-0.00029752i,-0.00043909+3.1974e-05i,-0.00014484-9.0418e-05i,-0.00011472-0.00071964i,0.00045265-0.000874i,0.00041242-0.0008597i,1.2551e-05-0.00056358i,-0.00024587+0.00012134i,-0.00015116-7.4698e-05i,0.00011648-0.00087809i,0.00055065-0.00043221i
0.00054645+0.0021137i,0.00074646+0.0005098i,0.00020548-0.0011194i,-4.7062e-05-0.001145i,0.001201+0.00035397i,0.0012136+0.00096394i,0.00069528+0.00043724i,0.00030987+0.00033403i,-0.00072237+0.00020727i,-0.00063887-0.00015826i,-0.00076685-0.00035081i,-0.00082745-0.00028526i,0.00023279-0.00016709i,0.00022185+0.00011274i,0.00024304-0.000137i,0.00023597-0.00029955i,-0.00060984+1.1565e-05i,-0.00060669+0.00032892i,0.00021037-0.00030507i,3.6217e-05-0.00046118i,-7.9466e-05+0.00024589i,0.00026098+0.00097922i,0.00052129+0.00085513i
0.00093651-3.6961e-05i,0.00088273-0.00085802i,0.000793-0.0010128i,0.0013406+8.8903e-05i,0.001318+0.00087265i,0.00098452+0.00082204i,0.00019211-4.4356e-05i,0.00020535-0.00061642i,0.00033834+0.00026343i,-0.00036387+0.00059589i,-0.00065172+0.00025422i,2.885e-05-0.00027823i,0.00052053-0.00082967i,0.00063404-0.0007042i,0.0011096-9.5772e-05i,0.00059719+0.00028325i,-0.00042454+0.00036348i,-0.00062539-0.00019828i,8.4525e-05-0.00083313i,0.00043838-0.00045442i,8.3961e-05+0.00028702i,-0.0001014+0.0007299i,0.00033507-0.00015752i
0.001701-8.2218e-05i,0.0020554-0.00098926i,0.0029416-0.0018375i,0.0028433-0.0031146i,0.0023803-0.0014284i,0.0018092+9.2457e-06i,0.00094458-0.00079802i,-0.00011514-0.00080029i,-0.0004827-0.00053334i,-0.00076227-0.00029954i,-0.0011227-0.00018703i,-0.00050885-0.00072131i,-1.826e-05-0.00040389i,0.00010983+8.3433e-05i,-0.0001689+0.00023068i,-0.00036073+0.00064978i,-0.0003968+0.00091702i,-0.00047177+0.0004624i,-0.00010937-0.00013207i,-4.4612e-05-0.00042614i,9.2046e-05-0.00025132i,0.00010128-0.00011678i,-0.00017161-0.00015933i
