-0.0035328+0.0006811i,-0.0019195+0.0016301i,-0.0010928+0.0020851i,0.00098994+0.0024306i,0.001226+0.0030135i,0.0010058+0.0023013i,0.0014676+0.0015923i,0.00090661+0.0018188i,0.00045569+0.0017194i,0.00064532+0.00073978i,0.00052911-0.0010096i,0.00027055-0.0011266i,0.00020977-0.00059759i,0.00014083-0.00062661i,3.7418e-05+0.00037388i,-0.00017369+0.00011897i,-3.9812e-05-0.00029996i,0.0004183+0.00018345i,0.00053356-3.351e-05i,0.00032107-0.00059967i,0.00061014-0.00060131i,0.00045242+0.00014304i,0.00023171+0.00060627i
-0.0015777+0.001482i,-0.00079155+0.0014273i,0.00052182+0.0020724i,0.0013732+0.0022791i,0.0011471+0.0019827i,0.000525+0.00075441i,0.00021008-0.00082621i,5.8443e-05-0.0012097i,0.00073841-0.0014799i,0.00071006-0.0012816i,0.00041061-0.00035246i,0.0010692+3.916e-05i,0.0011008-9.5994e-05i,0.00021512-0.00018968i,-0.00013644-0.00045702i,-6.1621e-05-0.00073093i,-0.00028023-0.00059368i,-8.4922e-05+0.00017465i,0.00044855+0.00021334i,0.000754+0.00041778i,0.00074828+0.00069081i,0.00064938+0.00096597i,0.00032976+0.00077244i
-0.00061947+0.0006755i,-0.0005872+3.2434e-05i,0.00080945-0.0005261i,0.001547-0.00024241i,0.0012614+0.0011599i,0.001146+0.00098495i,0.00071695-1.7301e-05i,-0.00033486-0.00049773i,-0.0010314-0.00092823i,-0.00030378-0.0006435i,0.00017001-0.00047689i,0.00021113-0.0014166i,0.00010236-0.0016112i,-0.00051646-0.00026689i,2.0084e-05+0.00029353i,0.00068815-0.00011437i,0.00042938-0.00061094i,0.00030933-0.00057958i,-0.00020358-2.0766e-05i,-0.0003721-0.00022338i,0.00049126-0.00033675i,0.0011495+0.0003306i,0.00060313+0.0002i
-0.0013814-0.00068161i,-0.0015647-0.00050776i,-0.0027099-0.0010703i,-0.0028086-0.0012845i,-0.0013778+8.2772e-05i,-0.00013299+0.0011152i,0.0005006+0.00013149i,0.00041395-0.00013625i,-0.00024498+0.00054634i,-4.5792e-05+0.00056309i,4.0675e-05+5.9215e-05i,0.00055235-0.00038i,0.00054104-0.0011443i,-0.0005352-0.0012126i,-3.1595e-06-0.00075844i,0.0003845-0.00052575i,-0.00057744+4.0681e-05i,-0.0009213-0.0001754i,-0.00056143-1.233e-05i,-0.00086775+0.00021284i,-0.00092232-7.2725e-05i,0.00020716+0.00029617i,0.00025469-1.7997e-06i
0.0012314-0.00049795i,0.001621-0.0017822i,0.00040536-0.002802i,-0.0001921-0.0017529i,-0.00087681-3.836e-06i,-0.002087+0.0005142i,-0.0012874-0.00059702i,0.00015967-0.0012011i,0.00073328-0.00090106i,0.00072377-0.00053928i,0.0002367-0.00040034i,6.914e-05-0.00025043i,0.00012006+2.0831e-05i,0.00030449-0.0005292i,0.00064033-0.00063194i,-2.6381e-06+4.9079e-05i,-0.00076703+6.344e-05i,-0.00042398+0.00012511i,4.076e-05+0.00081403i,-0.00027303+0.00098009i,-0.00028713+0.00060789i,-0.00037501+0.00076284i,-0.00073558+0.00045756i
0.0015215-0.00017174i,0.0026024-1.1418e-05i,0.0027304-0.00027106i,0.0021622-0.0013665i,0.00067719-0.00098245i,-0.00066894+0.0010213i,-0.00047976+0.00069528i,-0.00016387-0.00029519i,-6.2689e-05-0.00041052i,0.00044453-0.00019182i,0.00053465+0.00040898i,-0.0002243+6.2269e-05i,-0.00042467-0.00082759i,1.0479e-05-0.00052844i,0.00030722+0.00016455i,0.00061326-0.00011417i,0.0012632-0.00055886i,0.0011458-0.00042817i,0.0004833-0.00028232i,0.00045528-0.00090675i,0.00012591-0.00076774i,0.00021587+0.00023491i,0.00046917+0.00014505i
6.4946e-05-0.0011982i,-0.00037683-0.0015076i,-0.0014459-0.0030271i,-0.0020488-0.0027605i,-0.0014061-0.00053453i,-0.00020906+0.00097631i,0.00037192+0.00058432i,0.00029566-0.0009705i,0.00071436-0.0018791i,0.00067278-0.0013516i,0.00049656-0.00050875i,0.00043326-0.00024032i,0.00032081+9.6815e-05i,0.00017876+0.00030795i,0.00012659+0.00027339i,0.00019833+0.00015127i,0.00025936+9.674e-05i,0.0002705+0.00014385i,-0.00014261+5.9358e-05i,-0.00060389-0.00012436i,-0.00078963+9.8049e-05i,-8.303e-05+6.8248e-05i,0.0001969-8.1123e-05i
-0.003025+0.0013055i,-0.00047915+0.0021062i,0.0022633+0.002917i,0.0020926+0.0023449i,0.0018101+0.0013625i,0.002056+0.00048742i,0.00088138-0.00031132i,-0.00021529-0.00031053i,-0.00031679-0.00028786i,0.00017275-0.00051835i,0.00041125-0.0007095i,0.0004006-0.0012619i,-0.0001001-0.0013998i,-0.00024886-0.0016302i,0.00021581-0.0012809i,0.00033332-0.00035517i,-0.00037322+0.0007548i,-0.00084053+0.00091545i,-0.00039069+0.00056721i,2.6629e-05+0.00023704i,-0.00034929+0.0004216i,-0.00030431+0.00029572i,1.0839e-05-0.00062838i
-9.6906e-05-0.00097045i,5.6726e-05-0.0021099i,0.00040117-0.0033026i,-0.00031363-0.0037022i,-0.0012649-0.002071i,-0.0019401+0.00022022i,-0.001153+0.00014217i,-0.00020871+5.588e-05i,-0.00022343+0.00070244i,-0.00064845+0.00022609i,-0.00019379-0.00026828i,0.00051709-0.00034279i,0.00094666-4.9291e-05i,0.00096201-0.00066984i,0.00039747-0.00095261i,0.00021807-0.00017575i,4.3861e-05-0.0004129i,-0.0006795-0.00069378i,-0.00032795-7.1654e-05i,0.00028797+0.00057348i,0.00064822+0.00060279i,0.00097141-0.00030092i,0.00049445-0.00040222i
0.0015367-0.0012858i,7.8297e-05-0.0016351i,-0.0011335-0.0028386i,-0.0021652-0.0020348i,-0.0017615+0.00014131i,-0.00044519+0.0014187i,-0.00013356+0.00029946i,0.00037-0.0010456i,-0.00052152-0.00046028i,-0.001207-0.00035909i,-0.00075898-0.00051793i,-0.00023064-0.00071604i,-3.0281e-05-0.00095932i,-0.0006408-0.00040995i,1.2352e-05-0.00036025i,0.00057568+0.00022701i,0.00073162+0.00044157i,0.0010367-0.00016419i,0.0007864+0.00010749i,-0.0007269+0.00018717i,-0.001737+0.00042845i,-0.00017529+0.00024037i,0.0008495-0.00030158i
0.0012014+0.00067914i,0.0012748+0.0010114i,0.00191+0.0015388i,0.0031616+0.001881i,0.0027325+0.0015715i,0.0010481+0.0014629i,0.00027927+0.00037677i,-1.3619e-05-0.00064819i,4.433e-05-0.00051221i,0.0007278-1.4896e-05i,0.0011268+0.00032038i,0.00053257+1.1238e-05i,0.00033025-0.00033638i,-0.00025911+0.00017477i,-0.00051523-0.00022601i,-0.00028077-0.0012292i,-0.00050783-0.0009625i,-0.00024871-0.00068694i,0.00038867-0.00038235i,0.00085399-0.00020002i,0.0011503-0.00014625i,0.00094073+0.00013101i,0.00035493+0.00079904i
-0.0023911-0.0015372i,-0.0022573-0.0027843i,-0.0023213-0.0018434i,-0.0020815+0.00019329i,-0.0011256+0.0014194i,0.00033115+0.0012648i,0.00070599+0.00072131i,-0.00032601+0.00059976i,-0.0018989+0.00063644i,-0.0012492+0.00029702i,-0.00017374-0.00048907i,-9.1399e-05-0.0010222i,0.00060999-0.00098122i,0.00072892-0.00054082i,0.00019819-3.2254e-05i,3.9371e-05+0.00031048i,-0.00023349+0.00084962i,4.5424e-06+0.00090176i,8.2724e-05+0.00060667i,-0.00041573+0.000396i,0.00011716+0.0004926i,0.00087388+0.00077025i,0.00050329+0.00053865i
0.00030596-0.0030373i,0.00036892-0.0039762i,-0.0003818-0.0043424i,-0.0011214-0.00217i,-0.00065489+0.00074662i,-0.0001326+0.0016682i,-0.00018404+0.0010525i,0.00020768-0.00026398i,0.00031443-0.00071076i,0.00021782-0.00074864i,0.00041948-0.00097879i,0.0002891-0.00094317i,-0.00032011-0.0011512i,-0.00075935-0.0012216i,-0.00060829-0.00069749i,-0.00014515-0.0010309i,0.00039258-0.0010041i,0.00059794-0.00059052i,0.00068146-0.0002584i,8.2991e-05+0.00018i,-0.0002986-0.00024032i,-0.00070893-0.00041707i,-0.00095801-0.0005592i
-0.00087461+0.00019972i,0.00060966+0.00027263i,0.0012541+0.0004683i,0.00060841+0.00053154i,0.00028876+0.0014596i,0.0011682+0.0013545i,0.0013089+0.00014575i,0.00087977-0.00032608i,-3.6192e-06-0.00066996i,-0.00035771-0.001413i,2.7748e-05-0.0011719i,0.00022509-0.0013144i,0.0003617-0.0016132i,-0.00036148-0.001043i,-0.0012421-0.00040704i,-0.0010659-0.0002524i,-0.00033623-0.00024611i,-7.2207e-05-0.00047199i,5.4515e-05-0.00033566i,0.00050331+0.00036111i,0.00052911+0.00034895i,0.00021666+0.00016477i,0.00052167-9.0139e-06i
0.00078122+0.00027794i,0.0012549-0.00067222i,0.0024258-0.0012398i,0.0022945-0.00101i,0.00050961-0.00037636i,-0.00076043+0.00024743i,-0.0011209+0.00030862i,-0.00063085-1.0478e-05i,2.5999e-05-3.9724e-05i,-0.00031949+0.00036472i,-0.00077617+0.00058594i,-0.00042713+0.00051358i,0.00053406-2.9302e-05i,0.00075195+5.6587e-06i,0.00064654+0.00031364i,0.00057107+3.218e-06i,0.00018688-0.00047549i,-0.00034215-0.00023002i,-0.00040935+2.4651e-05i,-9.7975e-05+0.00025575i,0.00026784+0.00053541i,-0.00018851+0.00074256i,-0.00094289+0.00022346i
0.00059965-0.00090527i,0.0011568-0.0011855i,0.0013337-0.0015916i,0.00027126-0.0013625i,-0.00070732+0.00091045i,-0.00087544+0.00187i,-0.0015038+0.00033763i,-0.0018704-0.0010925i,-0.0018431-0.00093519i,-0.00052575+9.6146e-05i,0.00098431+0.00078373i,0.00043428+0.001132i,0.00024883+0.0007212i,0.0006524+0.00022024i,0.00063302-0.00011384i,0.0004223-0.00039038i,-0.00013577-0.00027291i,-0.00012207-0.00011536i,0.00033032-0.00014648i,0.00071788-0.00017103i,0.0008838+5.7849e-05i,0.00077788+0.00032143i,0.00062329+0.00012793i
-0.0017267+0.0010748i,0.00028844+0.00052391i,0.0017936+0.00053686i,0.0023567+0.0010117i,0.0017032+0.0017163i,0.00088357+0.0016848i,0.00068974+0.00081707i,0.00055742-4.3393e-06i,0.0006411-6.5214e-05i,0.00078093+0.00010035i,0.00086899+0.00024159i,0.00093537-0.00072313i,0.00094138-0.0011691i,0.00019325-0.00095139i,-1.4116e-05-0.00070736i,0.00040592-0.00015485i,-4.1685e-05-3.9587e-05i,-0.0002148-0.00026179i,1.2083e-05-0.00035927i,0.00059761+4.8043e-05i,0.00084767+0.00091336i,0.00049961+0.0011804i,0.00065182-0.00029924i
-0.0011988-0.00062278i,-0.00026057-0.0012434i,-0.00010596-0.0014388i,9.4473e-05-0.0014981i,0.00070706-0.000307i,0.0011219+0.0011027i,0.00077057-0.00026739i,9.45e-05-0.00091688i,-0.00044512-0.00076104i,-0.00052093-0.001029i,-0.00071988+7.8449e-05i,4.5365e-06+0.0005481i,0.00079474+0.00023238i,0.0011556+0.00022822i,0.001537+0.0001484i,0.0010955-0.00021706i,0.00046535-0.00049028i,0.00067832-0.00010898i,0.00042139+0.00029652i,-0.00021365+0.00011024i,-0.00046671+2.8832e-05i,-0.000374+0.00086756i,-0.00062295+0.00060733i
0.0028532-0.00061466i,0.004039-0.0018813i,0.0041836-0.0036085i,0.0019108-0.0033183i,-0.00078552-0.0011567i,-0.001702+8.6604e-05i,-0.0014623+0.00036461i,6.4496e-05+1.8256e-05i,0.0011399-0.0011885i,0.00035117-0.0015879i,-0.00071049-0.00057293i,-0.00022059-5.3853e-05i,0.00014595+0.00045361i,-0.00091257+0.00063345i,-0.0015454+0.00026346i,-0.00089687-0.00056968i,-0.00018022-0.00098816i,0.00014204-0.00027793i,0.00052671+0.00060847i,7.071e-06+0.00081802i,-0.0005891+0.00013938i,-0.0002534-2.0239e-06i,-0.000187+0.00047454i
-0.00012971+0.00087537i,-0.00082865+0.0013297i,-0.00050194+0.0023835i,0.00061619+0.0021421i,0.0016353+0.0017085i,0.0006476+0.0015206i,-0.00023592+0.000463i,-0.00040336+0.00019855i,-0.00024681+0.00043267i,0.00066413-0.0003751i,0.00078875-0.00084221i,0.00021619-0.00088069i,-0.00029435-0.00086376i,-0.00057882-0.0013151i,-0.000379-0.0010044i,0.00035219-0.00013556i,0.00053783+0.00014528i,0.00048514+0.00014232i,0.00033+0.00059226i,0.00018268+0.000824i,0.00051493+0.00080946i,0.0008183+0.0010261i,0.0010149+0.00066036i
0.0001057+0.00018895i,0.0016501-0.00095958i,0.0013314-0.0021243i,0.00099722-0.001578i,-2.5592e-05+0.00091758i,0.00025975+0.0032314i,0.00035844+0.0020878i,-0.00081891-0.00022937i,-0.0006736-0.00082157i,6.3733e-05-0.00055075i,1.0997e-06-0.00015271i,-0.00010554-0.00025709i,-0.00017464-0.00077046i,-0.00018229-0.00055795i,-0.00058775+0.00070996i,-0.00092774+0.00089808i,-0.00041869-4.0151e-05i,-0.000332-0.0006409i,-0.00078196-0.00075864i,-0.00038728-0.00044455i,0.00040685+4.4342e-07i,0.00051968+0.00055372i,0.00010062+0.00011083i
0.00024013-0.00024072i,0.0013706+0.00012166i,0.0020927+0.00034229i,0.0017147+0.00025293i,0.00065776+5.9357e-05i,0.00018027-0.00012925i,3.5892e-05-0.000158i,-0.00062542-0.00064678i,-0.0009783-0.0012472i,-4.8831e-05-5.096e-05i,0.00033599+0.00049052i,0.00067111-0.00045102i,0.00089969-0.00041343i,0.00035272-0.00015526i,-2.3335e-05-0.00010243i,0.0003119+0.00029727i,-8.3819e-05+3.0689e-06i,-0.00064209-0.00024414i,-0.00053586-0.00030985i,-0.00024823-0.0004659i,0.00015027+3.1312e-05i,-0.00021235+0.00045606i,-0.0006573+0.00078431i
-7.1934e-06-0.0013532i,0.00064015-0.0017065i,0.00083674-0.0011485i,0.00076634-0.00027028i,-8.2683e-05+0.00089008i,-0.0004471+0.001184i,-6.0763e-05+0.00082836i,-0.00044918-0.00067434i,-0.00049706-0.0012441i,-9.7996e-05-0.0011439i,0.00021125-0.00040718i,-0.00012146-0.00013669i,-0.00028992-0.0010038i,0.00025212-0.001237i,3.7971e-06-0.0010054i,-0.00035544-0.00067623i,-0.00022262-0.00061602i,-0.00032726-0.0002176i,-0.00043101+0.00031628i,-0.0005569-0.00028624i,-0.00010917-0.00096524i,0.00058132-0.00093427i,0.00054569-0.00074817i
0.0010175+0.0013665i,0.002871+0.00062007i,0.0041286+0.00022516i,0.0027894-1.833e-05i,0.0013575+0.00033833i,0.00083992-0.00020032i,0.00097208-0.0011855i,0.00080317-0.0012923i,0.00070394-0.00066073i,0.00095729-9.1817e-05i,0.00038556-0.00062841i,-0.00030693-0.001502i,-0.000229-0.00060341i,0.00036373-0.00016899i,0.00098058-0.00046045i,0.0012176+0.00055461i,0.0012881+0.00087696i,0.00048156+3.7414e-05i,-0.00018264-0.00044896i,-0.00013293+0.00017728i,0.00023034-0.0002534i,0.00022055-0.00075215i,0.00016204-0.00065787i
0.00039194+0.0016311i,-0.00018278+0.00050308i,-0.00086844-0.00012647i,-0.00033865+0.00074229i,-0.00060976+0.00097397i,-0.00033654+0.0011297i,-0.00042676+0.00060243i,-0.00049791-0.00044579i,-0.00038706-0.0011638i,-0.00056686-0.00063527i,0.00012215-0.00013824i,0.00050932+0.0003586i,0.00057763-0.00016719i,0.00044967-0.00091558i,-0.000249-0.00068585i,-0.00015259-0.00042094i,-0.00025484-0.00019609i,-0.00042853-0.00086188i,0.000213-0.0008655i,0.00031122+4.0061e-05i,-6.9866e-05+0.00015775i,-0.00025684-0.00010742i,-0.00022215-0.00010402i
0.0010362-0.0018974i,0.0010333-0.0029388i,-9.9815e-05-0.00384i,-0.0022605-0.0016616i,-0.002633+0.00044613i,-0.0019179+0.0013247i,-0.0010511+0.0010582i,-0.00015372-0.00015938i,-0.00013429-0.00072686i,-0.00087972-0.00057434i,-0.00054341-0.00021982i,0.000216-3.5199e-05i,0.0010126-0.00012336i,0.0017263-3.7281e-06i,0.0013727-0.0001807i,0.00030574-0.00011793i,-0.00013302+0.00034267i,-0.00017087+0.00060094i,-0.00054067+0.00026275i,-0.00051832-0.00022845i,-0.00013052-0.00046809i,-4.8867e-05-0.00077673i,-0.00045813-0.0002841i
0.00016917-0.00069428i,0.0013123-0.001578i,0.0013178-0.0033522i,7.3204e-05-0.0039121i,-0.00072947-0.0013748i,-8.4114e-05+0.00055238i,0.00035589+0.0004735i,-0.00034661+0.00011748i,-0.00035508-0.00043739i,-0.0001295-0.001016i,-0.00053554-0.0013785i,-0.00010066-0.0014513i,0.00032752-0.0011778i,-0.00010585-0.00057283i,0.00026905-0.00045101i,0.00058597-0.00052168i,0.00041686-0.00036795i,0.00050237-2.6357e-05i,0.00036762+0.00013772i,-0.0001134-8.6791e-05i,-0.00059263+0.00021198i,-0.00068916+0.00081725i,0.00010584+0.00058828i
0.00069738-0.0025736i,0.00098783-0.0022972i,0.001514-0.002705i,-0.00049796-0.0024203i,-0.001778-0.00096268i,-0.00070578+0.00010275i,0.00075245+0.00037777i,0.00070833-0.00024043i,5.3814e-05-0.0014473i,-3.6373e-06-0.0016804i,0.00065363-0.0011016i,0.00050829-0.00090901i,-0.00010182-0.00056606i,0.00022616+0.00010737i,0.00087441+5.3864e-05i,0.0010156-0.00041208i,-0.00016406-4.1896e-05i,-0.00030844-3.3274e-05i,0.00030507-2.2429e-05i,-0.00010594-0.00010497i,-1.7594e-05-0.00068996i,7.4801e-05-0.00018551i,0.00029459+0.00024999i
0.00029772+0.0014664i,-3.9053e-05+0.00044571i,0.0012169-0.00023444i,0.0022417-0.00071114i,0.0012494-0.00080766i,0.00015226-0.00051458i,0.00033164-6.5941e-05i,0.00033559-0.00048481i,-0.00032066-0.0012448i,-0.00062955-0.0015847i,4.8057e-07-0.0012128i,0.00080339-0.00032178i,0.00040504+0.00011527i,-0.00018996+0.00016398i,-0.00058567+0.00035922i,-0.00081862+0.0003101i,-0.00046457+0.00010259i,0.00035731+9.745e-05i,0.00061887+0.00037536i,0.00036365+0.00044043i,0.00054422+0.00044256i,0.00058+0.00050905i,0.00054011+0.00029162i
-0.00035146-0.0017572i,-0.00031671-0.0029985i,-0.00032854-0.0029266i,-0.00038245-0.00096164i,0.00010937+0.001661i,0.00014406+0.0021892i,-0.00033541+0.00065038i,-0.00098434-0.00079766i,-0.0011598-0.00069257i,-0.00059937-0.00022102i,0.00070652+0.00011502i,0.0013866+0.00017625i,0.00040812-0.00050802i,9.4798e-06-0.0011502i,0.0010408-0.00029893i,0.00046792+0.00035969i,-0.001161-0.00020465i,-0.001729-0.00020761i,-0.00090414-0.00074554i,-0.00041533-0.0004401i,-6.1528e-05+0.00087638i,3.5444e-05+0.0011314i,-6.7776e-05+4.2081e-05i
0.00041159-0.0015185i,-0.00089953-0.0013678i,-0.0015885-0.0012885i,-0.0018164-0.0004334i,-0.0013044+0.00094666i,-0.00077729+0.001668i,-0.00053727-0.00024106i,-0.00050978-0.0012516i,-0.0011487-0.00066571i,-0.0014576-0.00047664i,0.00019292-0.00047567i,0.001261-0.00076895i,0.0012062-0.00061212i,0.0012692-0.00022154i,0.0010615-0.00033404i,0.00052063-0.00010146i,0.0002997+0.00074203i,0.0005564+0.0013845i,0.00060955+0.001118i,2.6646e-05+0.00018474i,-0.00082118-0.00052419i,-0.0010843-7.8903e-05i,-0.00050825+0.0001417i
0.0020891+0.0021492i,0.0034322-0.00025987i,0.0049613-0.0027801i,0.0035218-0.0029519i,0.0014782-0.0013852i,0.00016153-0.00054683i,-0.00077-0.00073018i,-0.0010553-0.00097718i,-0.0010965-0.00049651i,-0.00035089+0.00027205i,0.00029334+0.00038752i,-0.00042052+0.00024938i,-0.00066924-0.00013162i,7.4621e-05-0.00021867i,-0.00034388-0.00015539i,-0.00068226-0.00032195i,-0.00069184-0.00047165i,2.2842e-06-0.00045891i,4.6691e-05+0.00013075i,-0.00067483-0.000128i,-0.00039673-0.00031521i,7.9395e-05+7.8938e-05i,-0.00018227+0.00041793i
0.00308+0.002153i,0.0047344+0.00056547i,0.0054299-0.00026614i,0.0039319-0.0010549i,0.0019942-0.0010212i,0.001488-0.00082526i,0.00080151-0.00036407i,0.00036014+0.00010182i,9.7278e-05+6.6647e-05i,0.00010079+8.9734e-05i,0.00033698-5.2299e-05i,0.00064-0.0005345i,0.00044181-0.00063595i,-0.00047316+0.00013834i,-0.00025971+0.00047217i,4.0697e-05+0.00059293i,-0.00012417+0.00039002i,0.00015049+0.00021245i,2.3323e-06-0.00040971i,-0.00067417-0.00055521i,-0.00047104+0.0004589i,0.00013476+0.00069948i,0.00010733+0.00019153i
0.00072825+0.0021301i,0.00081622+0.0011113i,0.0015102+0.0010207i,0.0017887+0.00079357i,0.0018302+0.00033804i,0.00083325-5.3605e-05i,-0.00012662-0.00055095i,0.00019331-0.00017758i,0.00083154+0.00018018i,0.0018441+0.00030153i,0.0013356+0.00011968i,0.00032622-0.00029669i,8.4847e-05+3.8437e-05i,6.0458e-05+0.00040327i,0.00027057+0.00028644i,-0.00049634+0.0009448i,-0.001605+0.00084398i,-0.00094205-0.00074636i,1.8375e-05-0.00045772i,0.00047361+0.00054933i,0.00056216+0.0005887i,0.00077941+0.00038271i,0.000584-0.00027915i
0.0022023+0.0011484i,0.0036582+0.00036994i,0.0052571-0.00079262i,0.0034326-0.0010063i,0.00056486-0.00062517i,-0.00075227-0.00010468i,-0.0010519-0.00079754i,-0.00039151-0.0018582i,0.00021647-0.0010593i,0.0001238-0.00037228i,-0.00038457-0.00061112i,-0.00068644-0.00062035i,-0.0001136-0.00040433i,-0.00025833-0.00028772i,-8.2646e-05-0.00019025i,0.00062639+6.1581e-05i,0.00025393+0.00015086i,-0.0002152+4.1601e-05i,2.2748e-05-0.00014968i,-0.00022033-6.8157e-05i,-0.0001857-0.00060928i,-0.00024984-0.00084282i,-0.0002802-0.00020961i
0.0003754-0.00085207i,1.1112e-05-0.00076089i,-0.00080438-0.0010565i,-0.0014343+2.1355e-05i,-0.0012328+0.0014569i,-0.00078406+0.0017569i,-0.00053166+0.00073323i,-0.00038972-0.00022767i,-0.00040008-7.4794e-05i,-0.00055189-0.00022777i,-0.00012913-0.00077763i,0.00089091-0.00083464i,0.0015154-0.00058623i,0.0019206-0.00031176i,0.0016511-0.00039929i,0.00092397-0.00083593i,0.00061447-0.0005547i,0.00089307-0.0001582i,0.00095568-0.00010557i,-5.5348e-05+0.00056017i,-0.00041751+0.0011378i,-0.0001365+0.00038636i,0.00014878-0.00037548i
0.0011401-0.0011553i,0.0015797-0.00091152i,0.0014716-0.0012012i,0.00078065-0.00047489i,0.00026115+0.00072365i,0.00076056+0.0011947i,0.00076117+0.00046749i,6.9706e-05-0.00017352i,-0.00024828-0.0007007i,-0.00043221-0.00082229i,5.2139e-05-0.00073194i,0.00018829-0.00075509i,-0.00018172-0.00059553i,-3.1478e-05-0.00065869i,9.3872e-05-0.00046402i,0.00012341-0.00051686i,8.8861e-05-0.00091086i,0.00053028-0.00071775i,0.00088079-6.9169e-05i,0.00082876+0.00068856i,0.00035569+0.00092656i,8.2881e-05+0.00040183i,0.00033074+0.00043402i
0.00032298+0.00087775i,-0.00025485+0.00070007i,9.3575e-05-0.00086874i,0.00073614-0.0014654i,0.00073736+0.00041623i,8.8223e-05+0.0014108i,-9.5362e-05+0.00027622i,0.00016351-0.00087192i,-0.0001494-0.0004151i,-0.0003018-0.00040375i,0.00039297-0.00077738i,0.00080985-0.00026153i,0.00035252-0.0001612i,-0.00050065-0.0011036i,-0.00032882-0.00078962i,-1.4757e-05+0.00018257i,-0.00027221+0.00013956i,0.00011647-0.00038809i,0.00016084-0.00047645i,9.8818e-05+7.0471e-05i,0.00062607-0.00020594i,0.00038049-0.00031096i,0.00022833+0.00036411i
0.0015948-0.0021561i,0.0021511-0.0034555i,0.0023-0.0039699i,0.00066193-0.0025994i,-0.0012106-0.00091694i,-0.00086001-7.767e-05i,-0.00028865-6.8901e-05i,-7.5133e-05-0.00020881i,-0.00025199+9.0486e-05i,-0.00043827-0.0002009i,0.00017241-0.0012748i,-7.0349e-05-0.0011682i,-0.0007009-0.0002129i,-0.0006054+0.00032709i,-8.4249e-05+0.00063466i,0.00074027+0.00074653i,0.00016454+0.00076665i,-0.00093437+0.00048809i,-0.00053599+0.00035811i,0.00015321+0.0002521i,0.00061624+6.0856e-05i,0.00097381+0.00060014i,0.00046198+0.00037581i
-0.00036264-0.0022397i,0.00018033-0.0011336i,-0.00068159-0.0011459i,-0.0018127-0.0010452i,-0.0020243+0.00066899i,-0.0009731+0.0011971i,-4.7377e-05-0.00027789i,5.8688e-05-0.0014505i,-0.0001297-0.0014939i,-8.4797e-05-0.00088616i,0.00038436-0.00072995i,0.00071284-0.00070015i,0.00081315-0.00011203i,0.00063512+0.0003461i,0.00026778-0.0004873i,0.00028195-0.0011923i,0.0007365-0.0011593i,0.00032533-0.0013178i,-0.00048773-0.0012113i,-0.00043823-0.00087331i,-0.00019567-0.00096081i,-0.00064595-0.00019979i,-0.00046285+5.4675e-05i
2.5252e-05-0.0016847i,0.0017609-0.0013833i,0.0015743-0.0019306i,1.7404e-05-0.0015124i,-0.00041109+0.00086189i,9.9579e-05+0.0019784i,0.0017514+0.0014893i,0.0018721+0.0003945i,0.00078258+1.9227e-05i,0.00029037+0.00023896i,-0.00023788+0.00049206i,-0.00055643+0.00074919i,-0.00040699-0.0001093i,0.00012901-0.001192i,0.00080296-0.0010431i,0.00078605-0.000802i,0.00060179-0.0011801i,0.00091502-0.0012062i,0.0012183-0.0009936i,0.00034009-0.0008068i,-5.3381e-05-0.00071912i,0.00023284+1.4389e-05i,0.00025716+6.0365e-05i
0.00086447-0.00033333i,0.00091175-0.0024016i,0.0015152-0.0033805i,0.0011736-0.0025962i,2.2469e-05-0.00084422i,-0.00020073+9.7445e-05i,0.00029449+0.00010004i,3.314e-05+0.00043434i,-0.00083384+0.00028364i,-0.00033599-0.00040679i,0.0010203-0.00048053i,0.0011481-0.00018595i,0.00076461-0.00012878i,0.00027483+0.00013745i,-0.00038268+1.0005e-05i,-7.7823e-05-0.00096384i,0.00071294-0.0012507i,0.00023578-4.1255e-05i,-0.00081746+0.00077527i,-0.0006088+0.00037512i,-0.00041731+9.0558e-05i,-0.0012216+0.00056106i,-0.0015507+0.00048631i
-0.00015142+0.00016287i,0.00092894+0.0008128i,0.0018219+0.00062705i,0.001734-0.0001184i,0.0013896+4.5064e-05i,0.0011794+0.0007792i,0.00059601+0.0004695i,5.7035e-05-0.00025514i,-0.00062179-0.0003755i,-0.00097274-0.00037088i,-0.00064423-0.0010802i,0.00026939-0.0017127i,0.00026328-0.0011152i,0.00011536-0.00067333i,0.00056798-0.00042638i,0.00020524+0.00059039i,-0.00034053+0.00099453i,4.5656e-05+0.00067517i,0.00044288+0.00047835i,-7.6929e-05+0.00049654i,-0.00018622+7.1323e-05i,-8.4758e-05-0.00030398i,-0.00024525-0.00016854i
0.0023336-0.0019615i,0.001676-0.0031506i,0.00086543-0.0049754i,-0.0011535-0.0051729i,-0.0023878-0.0033086i,-0.0022958-0.00033783i,-0.0015019+0.00016328i,-0.0011651-0.0011618i,-0.000608-0.00096763i,-4.3428e-05-0.00036898i,0.00034744+7.5769e-05i,0.00066489+8.6189e-05i,0.00055274+0.00015192i,9.8421e-05+0.00062853i,0.00058446+0.00029533i,0.0019313+0.00030978i,0.00116-5.4206e-05i,0.0003021-0.000782i,0.00019976-0.00055739i,0.00027063+0.00035491i,0.00024447+0.00071774i,0.00038233+0.00050354i,0.00021263+0.00036265i
