-0.00070001-0.00017177i,0.0010472-0.0015136i,0.0003585-0.00028045i,-0.00072897+0.0017155i,-0.0010567+0.0035083i,-0.00023895+0.0037516i,7.9707e-05+0.0032224i,0.00054753+0.0023901i,0.0011047+0.0012564i,0.0013464+0.00041605i,0.0012038-8.8375e-05i,-8.9491e-06-0.00028758i,-0.00065039-0.00075232i,-0.00096353-0.0014656i,-0.00058877-0.0010796i,3.9812e-05-0.00039467i,-1.0398e-05-5.8628e-05i,0.00028132+0.00035394i,0.00072875+0.00057172i,0.00077407+0.00020471i,0.00059531-0.00031479i,0.00020761-0.00012829i,-0.00021038-6.5155e-06i
0.00055443-0.00092835i,0.00073582+0.00064597i,-0.00021512+0.0010742i,-0.0015871+0.00095781i,-0.0024035+0.0013226i,-0.0022527+0.0015611i,-0.00085865+0.00065354i,0.00014006+0.00013958i,0.00014975+0.00017465i,-0.00013957+0.00080503i,-0.00038778+0.001557i,-0.00011803+0.00087893i,0.00054317+0.00017058i,0.00037336+0.0003304i,4.3787e-05-0.00031473i,0.00091652-0.0010651i,0.0012419-0.0010295i,0.00029679-0.0011591i,-0.0003668-0.00082119i,0.00038052-3.7757e-05i,0.00062602+0.00024812i,0.0011044-0.00012534i,0.0014511+5.5084e-05i
0.0011414-0.00026974i,0.00086271+0.00069399i,-0.00012537+0.00072381i,-0.00060422+0.00082414i,-0.0013068+0.0013001i,-0.00094973+0.0014093i,0.00041979+0.0001996i,0.00075113-0.00078315i,0.00040013-0.00052661i,-0.00010292+0.00029783i,-0.00036798+0.00082224i,-0.00026116+0.0004067i,-0.00051625-0.00017472i,-0.00030845-0.00034608i,0.00012903+0.00014808i,0.00023995+0.00070519i,0.00031951+0.00090006i,0.00021997+0.00053877i,-0.00057127+0.00043116i,-0.0012141+0.00052167i,7.0957e-05+0.00020901i,0.00072951+8.1658e-05i,0.00084531+0.00013324i
-0.00093948+0.00050749i,-0.00083765-0.0011174i,-0.001663-0.0014855i,-0.0020696-0.00032441i,-0.001164+0.00093702i,-0.00039265+0.000276i,-0.00026691-0.00068698i,0.00042438-6.4407e-05i,0.00083105+2.1e-05i,0.00098943-4.1316e-05i,0.00084797-0.00019673i,0.0001205-0.00041382i,-0.00049566-0.00034768i,-9.7597e-05-0.00035324i,0.00015918-0.00047393i,-6.6369e-05-0.00034952i,-0.00047229+0.00012286i,-0.00068912+0.00039437i,-4.4538e-05+0.00049423i,0.00058355+0.00035352i,-7.7508e-05+0.00030499i,-0.00046406-2.5608e-05i,0.00012311-4.3661e-05i
0.00027376+0.0011083i,0.00036952+0.00073893i,0.0012397+0.0006858i,0.0026965+0.0008926i,0.0024619+0.0010881i,0.00024324+0.00099266i,-0.00037435+0.0008254i,0.00057819+0.00017157i,0.00078317-0.00075259i,0.0005831-0.00077256i,6.0405e-05+0.00016726i,-0.00080917-0.00015731i,-0.00093317-0.00014145i,0.0002198+0.00046151i,0.00084532+0.00059851i,-0.00020638+0.0005982i,-0.00024774+0.00018458i,0.00097847-0.00015112i,0.0015241-0.00026515i,0.00054333+0.00030849i,-0.00075205+0.00075561i,-0.001129+0.00011983i,-0.0006201-0.00027537i
-0.00041611+0.0002226i,-0.0012921-0.00025465i,-0.0016627+0.00030308i,-0.0014106+0.00076913i,-0.0017694+0.00093917i,-0.0011799+0.00082422i,0.00053579+0.00025915i,0.00091534+0.0003311i,0.00095877+0.00010955i,0.0012514-0.00026923i,0.00077573-0.00011819i,0.00040559+0.00016422i,0.00084314+0.00019363i,0.00088005+0.00039979i,-5.0951e-05-0.00058765i,-0.0002157-0.0011597i,0.00049627-0.00051004i,0.000593+0.00015687i,5.5245e-05+0.00044806i,-0.00038712+0.00017256i,-0.000464-9.6287e-05i,-0.00017229-5.7609e-05i,0.00026953-0.00031418i
-0.00028828+0.00055011i,0.00068094+0.00086901i,0.00071954+0.0016018i,0.0005145+0.0024546i,0.00060787+0.0021241i,0.00080502+0.00084668i,0.0004618-3.4184e-05i,0.00048633-0.00030893i,0.00059217-0.00024597i,0.00046919+0.00011093i,-0.00024715-0.0002444i,-0.00037672-0.0011683i,7.4091e-05-0.0014155i,0.00026371-0.00064437i,0.00034712+0.00039202i,0.00048927+0.00076606i,0.00032372+0.00086995i,0.0004618+5.0694e-05i,0.00055258-0.0003799i,0.00067112-0.00035657i,0.00049614-0.00030313i,-3.9476e-05+0.00029809i,-0.00049789+0.00031588i
0.0001538+0.00056716i,0.00041834+0.00075857i,-0.00032811+0.00081649i,-0.0013196+8.0244e-05i,-0.00138-0.00046872i,-0.0013748-0.00063081i,-0.00082108-0.0012825i,0.00017868-0.00069011i,0.00051812+0.00014024i,-0.00015269-0.00015045i,-0.00012222-0.00053317i,-9.0383e-06-0.00059302i,-0.00061856-0.0010837i,-0.0005942-0.00079045i,-0.00097395-2.2547e-05i,-0.0005779-0.00042546i,0.00056739-0.00086172i,0.0003358-0.0010076i,1.2219e-05-0.00074288i,0.00024087-0.00019282i,-0.00035078-9.4403e-06i,-0.00054945-7.7995e-05i,-0.00022075+0.0001564i
0.00095018-0.00051095i,0.00058933+6.2889e-05i,-0.0002676+0.00042962i,-0.00089325+0.0018114i,-0.001709+0.0023259i,-0.0016886+0.0013691i,-0.0011572+0.00060301i,-0.00022412+0.00055447i,0.00041517+0.00060579i,0.00043007+0.00048626i,0.00012913+0.00043619i,-0.00019574+0.00014728i,0.000323-0.00053838i,0.00045987-0.00042018i,-7.2715e-05+4.5468e-05i,-3.5208e-05+8.3044e-05i,-0.00020535-0.00061411i,0.00015354-0.00083353i,0.0006311-0.00059769i,0.00032421-0.00025563i,-0.00016214+0.00026304i,-0.00046987+0.00018883i,0.00076954-0.00011737i
-0.00063225+0.00017599i,0.00012044-0.00025202i,0.0010158+0.00034036i,0.0017549+0.00031486i,0.001271-0.00010177i,0.00098668+0.00035745i,0.0019347+0.00064168i,0.0014204+0.00051258i,-4.2718e-06+0.00044392i,0.00023658+0.00022358i,0.00020301+0.00025574i,-0.00014509+0.00018588i,9.6931e-05-0.00051315i,0.00021615-0.00035898i,-0.00059063+0.00026557i,-0.00063398+0.00055056i,0.0003887+0.00054085i,0.00096572+1.9774e-05i,0.000596-0.00020116i,-0.00028841-3.9141e-05i,-0.00033912+0.00032687i,0.00024026-7.5098e-05i,-0.00036215-0.00014341i
-0.00012088-0.00041486i,-0.0004657+1.0016e-05i,-0.00072951+0.00014391i,-0.0015566+0.00061339i,-0.0019634+0.0008277i,-0.0015445+0.00047816i,-0.00049595+0.00053222i,0.0009148+0.0003812i,0.00084741+0.00064212i,0.00035377+0.0007812i,0.00049375+0.00085836i,0.00017452+0.00050113i,0.00019782-0.00013347i,0.0004173-0.00034765i,0.00033744-0.00054626i,0.00043155-0.00029488i,0.00051461+0.00029256i,0.00035146+0.00045i,0.00011737-0.00010507i,0.00019528-2.0984e-05i,0.00014487-0.00028285i,6.7733e-05-0.00078564i,0.00023298-0.00034383i
-0.0015246+0.000142i,-0.00067461-0.00033017i,-0.00083201-0.00016976i,-0.00070705+0.00083834i,-5.1847e-05+0.00087102i,0.00014377+0.00031213i,-2.0332e-05+0.00048127i,-0.0001954-6.7645e-05i,0.00016032-0.00045872i,0.00035434-0.00011171i,-0.00017645+0.0002427i,-0.00017582+0.001139i,2.9199e-05+0.00087182i,0.00022876-0.000526i,0.00055747-0.0005834i,0.00079671-0.0010966i,0.001004-0.0018307i,0.00069066-0.0012504i,0.00043321-0.0010748i,0.00045962-0.00083012i,0.00051723-0.00018717i,-0.00023662+0.00053131i,-0.0010003+0.00036998i
