0.0012128+2.7112e-05i,0.001505-0.0021649i,-0.00010503-0.0047163i,-0.0032033-0.0041654i,-0.0047831-0.0012653i,-0.0038578+0.00089298i,-0.00074207+0.0020518i,0.00089843+0.0017107i,0.00066241+0.00025459i,0.0010138-0.00081157i,0.0010066-0.00080944i,-7.791e-05-0.00074645i,-0.00050607-0.0003936i,6.315e-05-0.00012214i,8.8428e-05-0.00013964i,-0.00026252+7.0437e-05i,-6.3202e-05+0.00031123i,-0.00028169+0.00073295i,7.0862e-05+0.00060945i,5.3863e-06+3.6182e-05i,-0.00018159-0.00035039i,0.00066076-0.00082851i,0.00060167-0.00027014i
0.00076428+0.0013265i,0.0011286+0.00027588i,0.0017739+0.00058653i,0.00088398+0.00091335i,-0.00057112+0.00075615i,-0.00086206-0.0001628i,-0.00064477-0.00038625i,0.00016096-0.0001115i,0.0010272+7.4692e-05i,0.00023725+0.00011647i,-0.00035469-0.00056021i,0.00010771-0.0011439i,0.00041621-0.0012759i,-0.00052461-0.0011202i,-0.0012226-1.7096e-05i,-0.0010825+0.00049007i,-9.5791e-05+0.00013729i,0.00037828-0.00025752i,-0.00016079-0.00053169i,-0.00024024+7.7828e-05i,-0.00014999+0.0005032i,0.00039401+0.00029264i,0.0010005+0.00021781i
0.00059566+0.00028154i,-0.0016345+9.4525e-05i,-0.0034398+0.00015569i,-0.0036255+0.00048113i,-0.0017153+5.9676e-05i,5.3865e-05-0.0018412i,0.00025016-0.0020536i,0.00023977-0.00053651i,-9.0661e-05+0.00031541i,-0.00040322+0.00049882i,0.00015641+0.00035035i,0.00013669-7.2849e-05i,-0.0003184-0.00042365i,-0.00044229-0.00044301i,-0.00079901-0.00035508i,-0.00061217-0.00034425i,-0.0003742+0.00015358i,-6.42e-05+0.00018444i,7.684e-05-0.00024284i,-0.00073991-0.0003609i,-0.00054839-0.00031009i,-0.00016025+0.00036018i,-5.0931e-06+0.00090751i
-7.8872e-05-5.3628e-05i,-0.00060482-0.00073029i,-0.0016603-0.0010259i,-0.0021722+0.00036098i,-0.00075799+0.0011854i,0.00013421-0.00079065i,-0.00057396-0.0017182i,-0.00046827-0.00049441i,3.9161e-05+0.00036721i,-0.00053183+0.00053605i,-0.00045869-5.0422e-05i,0.00021765-3.9868e-05i,0.00068511-0.0001048i,0.0010495-0.00051992i,0.0010133+0.00010123i,0.00044246+0.00040324i,-0.00031119-5.7647e-05i,-0.00026561-4.4819e-05i,0.00062197+5.6111e-05i,0.00091188+0.00048519i,0.00014884+0.00026839i,-0.00035171+0.00020463i,-0.00045775+0.00047753i
-0.00031509-0.0014504i,-0.0015103-0.0024052i,-0.002507-0.0022146i,-0.0016586-0.001068i,-0.0011645-0.00073384i,-0.00056973-0.00074321i,-0.00048654-0.00084322i,-0.00068863-0.001445i,-0.00037892-0.00080556i,-0.00047454+0.00042873i,-0.00090956+0.00070717i,-0.00030695+0.0011588i,0.00022884+0.00105i,0.00062996+0.0011727i,0.00062032+0.0012171i,-0.00030671+0.00026054i,-0.00070457-9.0637e-05i,2.5007e-05+0.00025859i,0.00030287+0.00024636i,7.3885e-05-0.00041335i,-0.00022576-0.00030669i,-0.0002259+0.00014294i,0.00056423+0.00035034i
-0.00011131-0.0016065i,-0.0010816-0.001138i,-0.0027111-0.0012702i,-0.0028653-0.0018625i,-0.0016856-0.0015446i,-0.00025349-0.00085749i,0.00040228-0.00046272i,-1.6466e-05-0.00033213i,-6.6367e-05+0.00059813i,-0.00022836+0.0007618i,-0.00060107+0.00010754i,0.00026389+8.2764e-06i,0.00075539-6.8932e-05i,0.00027111-0.0002225i,-0.00012744-0.00017131i,-3.4796e-05+3.1518e-05i,4.2752e-05+0.00058209i,5.2131e-05+0.00077184i,8.5988e-05+0.00086656i,0.00013576+0.00059701i,0.00020036+0.0002113i,-0.0001161+0.00028807i,-0.00018593+0.00055363i
0.0022986-0.00022295i,0.0013076-0.0009025i,0.00041307-0.00077395i,-0.00045407-0.00024023i,-0.00094731+0.00019478i,-0.00065033-0.00022703i,-0.00025546-0.00097245i,0.00031406-0.00041444i,0.00018226+0.00031107i,-0.00019841+0.00043593i,-0.00034603-0.00011807i,1.0284e-06-0.00035472i,0.00089231-0.00043802i,0.00082399-0.00028515i,-0.00013006+0.00020813i,-0.00052191+0.00081989i,-0.00021777+0.00050149i,-0.00015936-0.00049921i,-0.0002576-0.00040978i,-0.00021251+0.00043422i,-3.5711e-05+0.00053681i,0.00039629-0.00036027i,0.00032231-0.00035503i
-0.00077024-0.00024717i,-0.00084754-0.00050258i,-0.0010335-0.00068142i,-0.0018033+0.00031429i,-0.0011547+0.0010758i,-0.0004022+0.00057279i,-0.0001721-0.00018035i,0.00047806+1.632e-05i,0.00014552+0.00062955i,-0.00057896-1.9047e-05i,-0.00056395-0.00012192i,-0.00044401+0.00072432i,-0.00029309+0.00072955i,8.4823e-05+0.0004584i,0.00051436+9.638e-05i,0.00061005+1.8565e-05i,0.00043768+0.00018025i,-0.00011447-0.00031432i,-4.737e-05-0.00028983i,0.00051162+0.00012724i,0.00032933-0.00015802i,-0.00024147-0.00030678i,-0.00040324+0.0002035i
0.00077204+0.00087355i,0.0005913-1.6078e-05i,-0.00070205-0.00023457i,-0.0014559-0.00065021i,-0.00053422-0.00071083i,0.00032807-0.00037326i,0.00042676-0.00044662i,0.00058349-1.1978e-05i,0.00027045-0.00013844i,-0.00061034-0.00020721i,-0.00084918-0.0003898i,-0.00081028-0.00026459i,-0.00059979+0.00017985i,-0.00055307+0.00049512i,-0.00075504+0.00020711i,-0.00010185-0.00025322i,-3.0267e-05+0.00029313i,0.00024962+0.00031145i,0.00091125-0.00017093i,0.00084876-0.00031684i,0.00020155-0.00056181i,-0.0001121-0.0001696i,7.7077e-05+0.0007252i
-0.00050181-0.0021981i,-0.0013626-0.0022991i,-0.0029219-0.0022635i,-0.0037609-0.0011435i,-0.0037207+0.00020503i,-0.002759+0.00048656i,-0.0014698+0.00052668i,-0.00029993+0.00044621i,-0.00027003-0.0001672i,-0.0009097-0.00018787i,-0.00092958+0.00075297i,-0.00042364+0.00093569i,-0.00038305+0.00099679i,0.00030888+0.0010089i,0.0014609+0.00096966i,0.00079704+0.0010233i,-0.00017203+0.00076549i,-2.592e-05+0.00046443i,-0.0002379+0.00025028i,2.3007e-06+0.00056089i,0.00042154+0.00068322i,-0.00034823+0.00022712i,-0.00086607-0.00013262i
0.00083644-0.00053418i,0.00044242-0.001387i,-0.00071948-0.0018982i,-0.0015366-0.00094722i,-0.0012219+3.6084e-05i,-0.00023417-0.00010387i,0.00057339-8.545e-05i,0.0006734-0.00048041i,0.00022665-0.0002252i,-0.00010368+0.00040192i,-0.00044362+0.00011585i,-0.00030284+9.9248e-05i,-0.0005098+0.00074177i,-0.0008564+0.00070386i,-0.00062988+0.00010166i,-0.00034428+0.00052952i,0.00043523+0.0011563i,0.00098703+0.0013149i,0.00078465+0.00095728i,0.00052426+0.00026589i,0.00094327-0.00024768i,0.0009062-6.9422e-06i,-0.00011658-0.00033505i
-0.0018101+0.00050343i,-0.0022489+0.0014634i,-0.0024944+0.00098054i,-0.0019851+0.00043227i,-0.00090661-9.4702e-05i,-6.9442e-05-0.00068007i,0.00043978-0.00052067i,0.00045528-0.00058544i,8.9512e-05-0.00075382i,0.00014392-0.0001257i,0.00017795+0.0002611i,0.00011295+0.00033925i,0.00012227+0.00032259i,-1.463e-05-0.00022513i,-6.3502e-05-0.00050346i,0.00020382+0.00041552i,0.00073827+0.0014614i,0.0008212+0.0012242i,2.105e-05+0.00063154i,-7.116e-05-0.00028078i,0.00080875-0.00067679i,0.0017949-0.00035895i,0.0017617-0.0010272i
0.0015535-0.0037283i,-0.00088919-0.003543i,-0.0033415-0.0021994i,-0.0040365-0.00040342i,-0.0029678+0.00069638i,-0.0005701+0.00032819i,0.00014731-0.0005054i,4.6298e-06-0.00027047i,7.4294e-05+5.2923e-05i,-0.00014346+0.00047838i,-0.00022864+0.0008547i,-5.1345e-05+0.00072246i,-0.00025378+0.00075273i,0.00012165+0.00034926i,0.00054013+0.00025404i,0.00071694+0.00088011i,0.00060801+0.0016468i,0.00017984+0.0012781i,-0.00030692+0.00020077i,-0.00046765+7.8976e-05i,-0.0008441+0.00058644i,-0.001046+0.00034371i,-0.00097686-0.00049583i
-0.0015952-0.0014078i,-0.00067949-0.0016232i,-0.001313-0.0009453i,-0.0014585-0.00010106i,-0.00045816+9.5335e-05i,0.00043715-0.0004476i,0.00020628-0.00082049i,-0.00055888-0.00029895i,-0.00022481+4.581e-06i,-0.00014141-0.0010034i,-0.00053218-0.00085057i,-6.8133e-05-0.00013267i,0.00014627-0.00060631i,-0.00033392-0.00037249i,-0.00033476+0.00010887i,3.9389e-05-6.1501e-05i,-0.00028279-0.0001481i,-0.00014805-0.00031121i,-0.00022248-0.00061781i,-0.00022643-0.00085786i,-4.0377e-05-0.00044056i,-0.00025376-9.7092e-06i,0.00016954+3.5726e-05i
-0.00098456-0.0010195i,-0.0013879-0.0006717i,-0.0019548-0.00049844i,-0.0012275-0.00077492i,-0.00054633-0.00045337i,-0.00091286-0.00031508i,-0.00038792-0.00064237i,0.00019084-0.00034516i,-0.00010269+0.00026973i,-0.00059548+0.0011609i,-0.00036286+0.001517i,0.00034914+0.0012045i,9.4852e-05+0.00076993i,-0.00066821+0.00041159i,-0.0003756-0.00014388i,7.9495e-06-0.00061169i,-0.00070518-0.00050003i,-0.001089+0.00035274i,-0.00056517+0.00067166i,-0.00011185+0.00037144i,-7.9162e-05+0.00022966i,0.0004534-0.00012544i,0.00010328-0.00076049i
0.0020886-0.00030382i,0.0013438-0.0019964i,0.00013646-0.0025379i,-0.0013651-0.0018872i,-0.002852-0.0012166i,-0.001281-0.0014284i,-0.00076634-0.0013312i,-0.0011528-0.00061823i,-0.00016983-0.00023366i,-0.0002187-0.00042721i,-0.0013489-0.0003412i,-0.0011451-9.239e-05i,-0.00064558+8.0433e-05i,-0.00022124+0.00018491i,0.00036646-0.00023609i,0.00074386-0.00023765i,0.00092346+0.00020815i,0.00031916+0.00035627i,-0.00024109+8.6037e-05i,0.00036069-0.00026637i,0.00055859-0.00025552i,-8.0899e-05-0.0002081i,0.00014433-0.00020748i
0.00033297-0.00076262i,0.0012083-0.0013388i,0.00059865-0.0022189i,-0.00071738-0.0012741i,-0.001229+0.00024282i,-0.00047742+0.00016758i,-0.00044667-0.0008685i,-0.00064571-0.00085262i,0.00038544+0.00023568i,0.00056092+0.00065888i,0.00018654+0.00026339i,0.00012195+0.00043482i,-1.8184e-05+0.0012054i,0.00044292+0.00078168i,0.00043921+0.00024825i,0.00026332+0.00037859i,-0.00042601+8.3904e-05i,-3.2465e-05-0.00047223i,0.0010951+6.761e-05i,0.0006404+0.00067848i,-0.00031395+0.00010653i,2.6142e-06+0.0001693i,-0.00050461+0.00039174i
-0.00077378-0.00070691i,-0.00048263-6.5185e-06i,-0.0011477+0.00032341i,-0.0016917-6.043e-05i,-0.00094179+4.7413e-05i,-0.00052708+0.00061598i,-0.0009193-0.00039359i,-0.00096455-0.0010149i,-0.001035-0.00030822i,-0.0010112+0.00033439i,-0.00074815+0.0005658i,-0.00063946+0.00031889i,0.00013476-1.3889e-05i,0.00012632-0.00028562i,0.00023592-0.00010985i,0.00083881+0.00039545i,0.00040733+0.00035898i,-0.00015481+0.00032232i,-0.0010936+0.00021792i,-0.0016421+9.9173e-05i,-0.00084953-0.00021853i,0.00025715-0.00064474i,0.00080332-0.00010878i
0.00063103-0.0010504i,-3.7111e-05-0.0012205i,-0.00095641-0.00060707i,-0.0020173+0.00041306i,-0.0018316+0.0010472i,-0.0010473+0.00045588i,-0.0007624-0.00071339i,-0.0012818-0.00046526i,-0.0012661-5.8011e-05i,-0.00045633+0.00061122i,0.00024406+0.0006252i,0.0005691+0.0002404i,0.00052793+3.5585e-05i,0.0011134+0.00023626i,0.0014614+0.00074655i,0.00099852+0.00055923i,0.00034276+0.00061792i,-5.8145e-05+0.00032935i,-0.00020394-6.996e-05i,0.00043869-0.00017495i,0.0010327-0.00026546i,0.0010348-0.00028687i,0.00070417+0.0002394i
-0.001764+0.0014086i,-0.00099238+0.00083419i,-0.0023164+7.6588e-05i,-0.0025003+0.00039446i,-0.0012413+0.00034832i,3.5595e-05-0.00040574i,0.0011839-0.00040142i,0.0013896+0.00021931i,0.00085007+0.00042812i,4.8986e-05+0.00091246i,-0.00068176+0.00095683i,-0.0002698+0.00027357i,0.00029235-1.1788e-05i,0.00094011+6.3543e-05i,0.0013306-7.0493e-05i,0.00098225-4.8283e-05i,0.00051216+0.00071148i,0.00028779+0.00081751i,-0.00050176+0.00017906i,-0.0011731-0.00052568i,-0.0011607-0.00042458i,-0.00097442+0.00011626i,-0.0010495+0.00033243i
-0.0012257-0.00067832i,-0.00080624-0.00072449i,-0.00051597-0.00045294i,-0.0016215-0.00070206i,-0.0019173-0.00076474i,-0.001447-0.00092705i,-0.000904-0.0010727i,-0.00075211-0.0010568i,-0.00056536-0.00053574i,-0.00064453-0.00044298i,-0.00045729-0.00075098i,-0.00015206-3.6183e-05i,0.00055624+0.00071774i,0.00037668+0.00050158i,-0.00074003-0.0001016i,-0.00077115-0.00047696i,-0.00016089-0.00050566i,2.5025e-05+0.00051799i,-0.00010654+0.00091491i,0.00042946+0.00033688i,0.00040028+0.0007531i,0.00016947+0.00031617i,0.00022889-0.0005195i
