-0.0043132+0.00047388i,-0.0024472-0.00048445i,-0.00091166+0.00013872i,-0.00075572+0.0011582i,-3.4865e-05+0.0020717i,0.0010293+0.002043i,0.00028855+0.0017157i,-0.00020374+0.0012116i,0.000276+0.00085042i,0.00075456+0.00089981i,0.00061468+0.00026032i,0.00035059-0.0010108i,0.00040666-0.0011967i,0.00041839-0.0010226i,0.00023285-0.00061554i,-0.00038108-4.6142e-05i,-0.00040554+0.00032051i,6.3628e-05+0.00019485i,0.00026066-0.00076101i,-9.7218e-05-0.0011584i,-0.00021918-0.00031545i,0.00047413-0.00034193i,0.0012539-5.4187e-05i
0.00097161-0.00045432i,0.00043113-0.0012285i,-0.00073233-0.0010416i,-0.00089226-0.00051423i,-0.00019324-0.00018682i,0.00051272+0.00083542i,0.00028537+0.00033605i,-1.1578e-05+0.00019967i,0.00029085+0.00062427i,2.6003e-05-0.00012027i,-0.00030646-0.00026193i,0.00029445+0.000538i,0.00058834+0.001456i,-0.00022667+0.00099541i,-0.00080489+0.00040272i,-0.00055602+0.00096143i,-8.2711e-05+0.00055505i,0.0006203+0.00023097i,0.0010964+0.00044759i,0.00037415+0.00062184i,-0.00033681+0.00034792i,0.00032716-0.00043474i,0.00069819-0.0010759i
0.00026634-0.0023583i,0.00046068-0.0022997i,-0.00015247-0.002961i,-0.00093547-0.0024102i,-0.001292-0.0016066i,-0.00099528-0.00082609i,-0.00080351+0.00023423i,-0.00066112+0.00041141i,-4.5228e-05-0.00010268i,5.139e-05-0.0002541i,0.00017661+4.2859e-06i,2.5e-05+0.00050094i,-1.8784e-06+0.00080896i,0.00043512+0.00088776i,0.00039701+0.00054957i,0.00048547-0.00015185i,-0.00027762-0.00022735i,-0.00094972+2.2397e-05i,3.3838e-05-0.00084768i,0.00044921-0.0012932i,0.00027149-0.00068777i,0.00014373-0.00046343i,-0.00040302-0.00073714i
-0.00029587-0.00019314i,-0.00032377-0.0005074i,0.00036753-0.0002268i,0.00097674-0.000386i,0.001181-0.00014075i,0.0010238-0.00018453i,7.0017e-05-0.00058691i,-0.00044361-0.00029538i,-0.00055488-0.00047654i,-0.00037467-0.00029131i,-0.0005871+5.2767e-05i,-0.0007186+0.00011918i,-0.00079384+8.2163e-05i,-0.00012949-0.00010449i,0.0010061-0.00036975i,0.00085315-0.00032223i,-0.00021874+3.5697e-05i,-0.00068488+5.3111e-05i,-0.00015457+0.00021142i,0.0004571+4.2225e-05i,0.00054443+7.2945e-05i,0.00022302+0.00085966i,0.00027108+0.00066452i
-0.0011163-0.002003i,-0.00084163-0.00040211i,-0.0014447+0.0011399i,-0.0018191+0.0009637i,-0.00088745+0.0010256i,9.4143e-05+0.00077932i,-5.9272e-05-0.00012691i,-0.0001476-0.00011532i,4.9282e-05+5.0239e-05i,0.00010835-0.00024271i,0.00057408-2.9647e-05i,0.00063299+0.00014208i,0.00036839+0.00013999i,0.00065491+0.00017294i,0.00079454-7.8985e-05i,0.00059465-0.00053062i,0.00034105-0.00079693i,0.00041259-0.00029475i,0.00055371-7.5122e-05i,0.00080302+0.00049582i,0.00060375+0.0009647i,-8.2146e-05+0.00041497i,-0.00031537+0.00022887i
-5.225e-05+0.0014984i,0.00023979+0.00062729i,0.0017964+0.00041393i,0.0028201+0.00099759i,0.0019591+0.00040328i,0.00013537-0.00059533i,-0.00050965-0.00040411i,-0.00067484+0.0005608i,-0.00038671+0.00060825i,0.00035771-0.00048886i,0.00038499-0.00065048i,0.00048362-6.625e-06i,0.00096464-0.00056375i,0.00079076-0.00057658i,-0.00037509-0.00026609i,-0.00047432-0.00045876i,0.00021562-0.00032935i,0.00033322+0.00011894i,0.00025707+0.00037394i,0.00028889+0.00073603i,0.00086591+0.00033017i,0.00092677-7.4474e-05i,0.00047125+0.00037199i
0.0009012-0.00072319i,0.0001757-0.0011591i,-0.00052909-0.0014443i,-0.00035371-0.0010445i,0.00024404-0.00060351i,0.00062703-0.0002891i,0.00046025-0.00022052i,0.00026697-0.00028119i,0.00064624+1.1246e-05i,0.00035305-0.00035706i,-0.00024636-0.00041877i,-5.7734e-06+0.00043154i,0.00070629+0.00074648i,0.0007294+0.00032229i,0.00055443+0.00032509i,0.00017654+0.00047127i,-0.00010846-3.5887e-05i,-0.00010937+0.00010459i,-0.00023448-0.00034735i,-0.00032896-0.00074911i,0.00016218-0.0004848i,0.000171+0.00015729i,8.7154e-05+0.00071964i
-6.3133e-07-0.00057857i,-0.00036658-0.00063122i,-0.0014223-9.194e-05i,-0.0011752-3.4985e-05i,0.00049622-0.00012316i,0.00083724+6.8359e-05i,-0.00011904+0.00055727i,-0.00038611+0.0007656i,0.00031895+0.00086545i,1.8724e-05+0.00086957i,0.0010418-4.0838e-05i,0.0015506-0.00060719i,0.00042531-0.0002646i,-0.00027917+0.00010272i,-0.00033729-0.00040558i,-2.9109e-05-0.0012564i,0.00026775-0.0014144i,0.00043808-0.00040086i,8.3912e-05+4.5309e-06i,-0.00029903-0.0007343i,0.00019624-0.00060123i,0.0010009+1.2769e-05i,0.00086482-3.7148e-05i
0.00011038-0.0010209i,0.00097928-0.00063392i,0.0016762+0.00032808i,0.0010914-7.7917e-05i,0.00056361-0.0012419i,0.0001152-0.0011508i,-0.00024287-0.00064389i,-0.00051159+0.00013901i,-0.00055293+0.00055371i,-0.0010107-3.6885e-05i,-0.0015274-0.00010153i,-0.001188+0.00024329i,-0.00027556+7.776e-05i,0.0004672-2.9851e-05i,0.00018012+0.00018997i,-0.00044999+0.00029607i,-0.00060245-0.00025219i,-0.00037536-0.00030242i,-0.00026878-0.00017768i,8.0138e-05-0.00026179i,0.00065386+0.00025517i,0.0006105+0.00049704i,0.00021344-0.00016052i
0.00086599-0.00083357i,0.0002569+3.0373e-05i,0.00031387-0.0007725i,0.00052372-0.0010345i,0.00058266-0.00039334i,0.00037308-0.00050915i,-0.00047337-3.0656e-05i,-0.00109+0.0001571i,-0.00071189-0.00065405i,-0.00016067-0.0014998i,-0.00047209-0.0014427i,-0.00067871-0.0005985i,-0.00065623-0.00022568i,-0.00099179+0.0001971i,-0.0011837+0.00034372i,-0.0012605-0.00019238i,-0.0011388-0.0007582i,-0.0002957-0.00057036i,0.00041824-0.00042509i,0.00015555+0.00029729i,-0.00054348+0.00085294i,-0.0010873+0.00056596i,-0.00083833-7.9302e-06i
0.00032019-0.00045296i,0.00039827+0.00019253i,-0.00097682+0.0010516i,-0.00071843+0.00083633i,-0.00043237+0.00063626i,-0.0010444+0.00056131i,-0.00080001+3.1534e-05i,-1.04e-05-7.5806e-05i,0.00045447+0.00036194i,0.00040709+0.0010324i,0.00027999+0.00029072i,0.00047321-0.00062325i,0.00017207-0.00035835i,-0.00061075-0.000291i,-0.00098965-0.00024077i,-0.0010092-0.00020345i,6.8317e-06-0.0004724i,0.00053106-0.00073793i,0.00030292-0.00047206i,-0.00019623-0.00037261i,-0.00063938-0.00092756i,3.2124e-05-0.00072783i,0.00044182-0.00046684i
