-0.00062708-0.00032934i,-0.00067355-0.001015i,-0.0028153-0.0011776i,-0.0039132-0.00030637i,-0.0033535+0.001493i,-0.0026986+0.0025956i,-0.00058959+0.0024412i,0.0014095+0.0012728i,0.001441-2.2273e-05i,0.00073267-0.00088203i,0.00016115-0.0010043i,0.00010631-0.00093723i,-0.00028585-0.00015143i,-0.00046178+0.00022273i,0.00014124-0.00038996i,0.00051675-0.00039613i,0.000419-0.00032119i,0.00032205-0.00032141i,0.00079996-0.00045291i,0.00061551-0.00046408i,-0.0005017-7.6061e-05i,-0.0011161-0.000489i,-0.00044519-0.00068695i
-0.00014741-0.0013836i,-0.00036545-0.0011215i,-0.00061194-2.4333e-05i,-0.00032112+0.0012665i,-0.0010287+0.0010905i,-0.0011845+0.00011657i,-0.00022686-0.00022771i,-1.6272e-05+0.0001482i,0.00017411+0.00043434i,0.00036778+0.00021083i,0.00033755-0.00046882i,0.00043244-0.00049348i,0.0002009-2.1816e-05i,-0.00012063+0.00040307i,0.00064574+0.00066211i,0.0012738+0.00051194i,0.00090951+0.000558i,0.00035535+0.00046369i,1.6731e-05-8.8016e-05i,0.00046812+0.00037604i,0.00096622+0.00055816i,0.00071813+0.00031723i,-0.00019566+0.00020823i
-0.0015637-0.00021124i,-0.0024416+0.00012147i,-0.0029029+0.0003471i,-0.0021928-0.00018695i,-0.00097593-0.0001139i,-6.8984e-05+0.00051834i,-0.00013772+0.00057079i,-0.00016504+5.3675e-05i,0.00060077-0.00067657i,0.00023494-0.00011358i,-0.00015667+0.00089744i,0.00037257+0.0012612i,0.00026341+0.00097942i,0.00046256+0.00060583i,0.001188+0.00021826i,0.001208+0.00027248i,0.00094471+0.0003731i,4.3964e-05+0.00048595i,-0.00028549+0.00054896i,0.00021865-8.0862e-05i,-0.00011273-0.00076383i,-0.0007201-0.00036478i,-0.00091261+0.00047371i
0.00093845+0.00017676i,0.00062525-0.0001428i,-0.00024588-0.00049187i,-0.00018456-0.00055176i,-0.00072232-0.00017189i,-0.00087225-0.00025685i,-8.6555e-05+0.00058509i,-0.0001376+0.00094076i,-0.00080994+0.00031547i,-0.00057742+0.00013072i,-0.00026261+9.6811e-05i,-0.00074105+0.0004994i,-0.0018382+0.00083642i,-0.0020112+0.0002818i,-0.00019765-0.00048648i,0.00014004-6.4273e-05i,-0.000257-0.0001037i,9.092e-05-0.00061249i,0.00013489-6.102e-05i,0.00028848+0.00011018i,0.00018546+0.00035071i,-0.001117+0.00034947i,-0.0012083-1.6631e-05i
-0.00067729-0.00068471i,-0.0013701-0.0016546i,-0.0021216-0.0015215i,-0.0023572-0.00079296i,-0.0021278-0.0005997i,-0.0016746-2.2205e-05i,-0.00095407+0.0012968i,-0.00050054+0.0017221i,-0.00057864+0.00079144i,-0.00060007+5.6803e-06i,-0.00024922-0.00011627i,-0.00016159+0.00019081i,-0.00010662+0.00050285i,0.00049605+0.0007985i,0.00038915+0.0001033i,0.00053791-0.0006975i,0.0004033-0.00031128i,-0.00018847-0.00024511i,-0.00029159-8.8074e-05i,0.00015298-7.0727e-05i,0.0006034-0.00014497i,0.00030637+0.00019853i,-0.00032577+0.00046058i
0.00041761-0.0025307i,-0.00071646-0.0028637i,-0.00087948-0.0026555i,-0.0016476-0.0018905i,-0.0027758-0.0013362i,-0.0029426-0.000961i,-0.0016167-0.00028296i,-0.00020975-0.00016823i,-0.00032177-0.00091468i,-0.00094442-0.00031651i,-0.00096281+0.0011197i,-0.00056999+0.0014263i,1.4335e-05+0.00091929i,0.00014958+0.00064256i,0.00010061+0.00045567i,0.00073817+0.00041072i,0.00066811+0.00014794i,0.00027965-0.00026395i,0.00038988-0.00065514i,0.00027286-0.00058496i,-0.00027215-0.00036566i,-0.00075003-0.00059376i,-0.0008511-0.0009656i
0.0031152+0.00075129i,0.0028364+0.0001285i,0.0011535-0.00093104i,-0.00012932-0.00073976i,-0.00067307-0.0011775i,-0.00028766-0.0014406i,-0.00016818-0.00092671i,-0.00041018-0.00069454i,-0.00014426+3.9917e-05i,-6.9837e-06+0.00070517i,-0.00021839+0.00096437i,-0.00051184+0.0010376i,-0.00046664+0.00083173i,-0.00013995+0.00067072i,0.00034842+0.00036262i,0.00047959-0.00034329i,0.00030926-0.00059471i,-0.0001357-0.00040892i,-0.00067283-2.6388e-05i,-5.3991e-05+0.00054326i,0.00062954+0.00061065i,0.0011743+0.00043377i,0.00083635+0.00020551i
0.00022486+0.0005568i,7.7474e-05+0.0003775i,0.00037177-0.00035153i,0.00019735-0.0013074i,-0.0010096-0.0011274i,-0.0017999+0.00025864i,-0.00128+0.00073583i,-0.00078086-8.622e-05i,5.1449e-05-0.00046231i,0.00018849+1.3204e-05i,-0.00033002+0.00097083i,-0.00072221+0.00074766i,-0.00013973+0.0003943i,0.00072215+0.00079087i,0.00011853+0.00071661i,6.4158e-05+0.00017883i,0.00062237+1.0604e-05i,0.00042032+0.00049942i,0.00022307+0.00069376i,-9.1402e-05-0.00015353i,8.6972e-06-0.0010656i,0.00017546-0.0011722i,-0.00016145-0.0007286i
-0.00078545+0.0013532i,-0.0011194+0.0028369i,-0.00044389+0.0033105i,0.00075509+0.0028089i,0.00051724+0.0017294i,-5.6775e-05+0.00025794i,-0.000544-0.00047372i,-0.00076214-0.00014325i,-0.00046444+3.0734e-05i,-0.00038052-1.3211e-05i,-0.00021305+0.00037216i,0.00015942-2.9629e-05i,0.00033135-0.00090313i,0.00068331-0.0011893i,0.0011314-0.001131i,0.00016579-0.00057112i,-0.00098146-0.00015424i,-0.00037835-0.00019231i,8.2288e-05-0.00046973i,-8.7156e-05-0.0002231i,-0.00012868+0.00011602i,-0.00014861-0.00046681i,-0.00020908-0.00057659i
-0.00085324-9.1882e-05i,-0.0016058+0.00022476i,-0.00054644+0.00044406i,0.00034809+0.0003891i,-0.00058487-0.00011146i,-0.00058545-0.0002935i,0.00038518+0.00018601i,-0.00017808-0.00013659i,-0.00083415-0.00060293i,-0.00026883+9.2473e-05i,0.00025641+0.00030838i,0.00013189+0.00035216i,0.00087034+0.00038916i,0.0011176-0.00024311i,0.00012089-0.00022743i,-9.7876e-05-2.7141e-05i,0.00014489-0.00044991i,0.00023712-0.00067327i,0.00032765-0.00051578i,0.00075374+0.00019396i,0.00063577+0.00037315i,0.00021771+0.00031629i,-0.00060059+0.00025624i
-0.0031967-0.00040787i,-0.0020858+0.00021947i,-0.0016515+0.0019229i,-0.0011612+0.0026406i,-0.00036357+0.0016704i,-5.4062e-05-0.00022255i,6.4359e-05-0.00074263i,0.00018268-0.00063506i,-5.3339e-05-0.00069228i,8.7039e-05+0.00023839i,0.00019207+0.0011563i,-0.00017448+0.00067995i,-2.1542e-05-0.00021887i,0.00039422-0.00063561i,0.00097824-0.0010109i,0.00090951-0.00084701i,0.00039117+1.8804e-06i,0.00016971+0.00041756i,7.826e-05+0.00014762i,-0.00043276-0.00014899i,-0.00067575-0.00031256i,-0.00011963-0.00035028i,0.0004252-0.00018018i
