-0.0017612-0.002412i,-0.0014418-0.0015366i,-0.0011752-0.00099867i,-0.0016564-0.0010719i,-0.0017369+0.00036823i,-0.00079077+0.0016035i,-0.00064821+0.0012607i,-0.00059033+0.0012971i,0.00017583+0.0016233i,0.00055476+0.0010813i,0.00043913-0.00069878i,-0.00019303-0.00096123i,-0.0012603-0.00019404i,-0.001026-0.0001496i,-0.00036331+0.00033141i,0.00055582+0.00099398i,0.00090929+0.00097842i,-9.2989e-05+0.00076363i,-0.00049271+0.0010638i,-0.00063034+0.0010002i,-0.00077395+0.0006882i,-0.00069218-0.00010798i,-0.00039193-0.00088121i
-0.00065344-0.0021956i,-0.0015405-0.00049757i,-0.0017359-0.00024011i,-0.0020818-0.00078762i,-0.0008616-0.00055388i,0.00075203-0.00040585i,0.00071072-0.0012161i,-0.00017265-0.0011539i,-0.00096073-9.2363e-05i,-0.00084711-7.4332e-05i,-0.00039891-0.00021801i,-0.00034888-0.00017185i,-0.00040501-4.5066e-05i,-9.4436e-05+0.00026352i,0.00081143+0.00022418i,0.00098005+0.00038355i,-0.00040033+6.0709e-05i,-0.00048555-0.00034972i,0.00015395-4.1481e-05i,0.00025793+0.00066532i,3.7905e-05+0.0009285i,-0.00033552+0.00048398i,0.00014981+4.2167e-05i
0.0019727+0.0012793i,0.0025377+0.0013874i,0.0018027-0.00014952i,0.00065813-0.0017735i,0.00063021-0.0015012i,0.00074905-0.0009562i,0.0010025-0.00095942i,0.00043973+0.00012425i,-9.8444e-05+0.00084371i,-0.00034281+0.00065698i,-0.0014182+0.00058982i,-0.0017675-0.0003173i,-0.0013686-0.00090214i,-0.00046005-0.0005266i,-0.00027669-6.1206e-05i,-0.00055592+0.00032707i,0.00059585+0.00057098i,0.00071632+0.00059358i,-0.00039165+0.00064107i,-0.00067158+0.001177i,-0.00059133+0.0012278i,-0.00027244+0.00074621i,-5.0815e-05+0.0001649i
-0.0022298-0.00071307i,-0.0033845+0.00019014i,-0.0028476+0.00083471i,-0.0026876+0.00055557i,-0.002508+0.00070934i,-0.00063829+0.00084695i,0.0010101-0.00035865i,0.00045801-0.00074633i,-0.00040136-0.00025839i,-0.00076669-0.00038028i,-0.00063747-0.0007366i,-0.00056537-0.0010725i,4.8919e-05-0.0005949i,0.001214+0.0004784i,0.00090498+0.0015684i,0.000412+0.0019101i,0.00012725+0.0013475i,-0.00021399+0.00059118i,-0.0004233+0.0005726i,-0.00023352+0.00065327i,0.00010531-5.318e-05i,0.00015174-0.0001469i,0.00022666-9.5035e-05i
0.0034185+0.0002957i,0.0018543-0.00047872i,0.00042874-0.0012212i,-0.00071616-0.0017359i,-0.0010135-0.0021055i,4.7518e-05-0.0021192i,-0.00036296-0.001029i,-0.0020427+0.00023928i,-0.0019001+0.0005382i,-0.0016557+0.00024685i,-0.0018125-0.00019379i,-0.0011065-5.5552e-06i,-0.00078888+0.00072192i,-0.00045725+0.00043813i,0.00019585-0.00027623i,8.5663e-05-0.00066874i,-0.00067657-0.00021831i,-0.0011932+0.0001711i,-0.0005348+0.00031832i,-0.00040452+0.00053979i,-0.00039849+0.0004445i,-0.00047559+0.00023775i,-0.00064742+3.0702e-05i
-0.0015395+0.0012655i,-0.00077858+0.00098399i,0.00024723+7.9518e-05i,-0.00069494-0.00041576i,-0.0012825-0.00082018i,-0.0002935-0.0012153i,0.00025997-0.0014822i,3.8017e-05-0.0013132i,-0.00025733-0.00062384i,-5.729e-06-8.3977e-06i,-0.00021529-0.0001084i,-0.00049077-0.00023889i,-0.0007269+0.00032039i,-0.00051073+0.00016879i,-0.00015631-5.9188e-05i,-2.4446e-05+0.00026811i,0.00035705+0.00015469i,0.00023601+0.00011327i,0.00034633+0.00059324i,0.00043123+0.00038861i,-0.00020209-0.00052166i,-0.00067945-0.00063391i,-0.00043301+0.00044463i
-0.00072483-0.00022565i,-0.0014393-0.00088457i,-0.00042223-0.0011753i,-0.00063861-0.0010828i,-0.00077029-0.00089942i,0.00086195-0.0012584i,0.0011454-0.0015492i,-9.6836e-05-0.00073352i,-0.00069866+0.00047472i,-0.00051283+0.00034438i,-0.0005438-0.0002117i,-0.00064812+0.0001236i,0.00010048+0.0007168i,0.00022158+0.001166i,-0.0001262+0.0010742i,-0.00043099+0.00082579i,-0.0009989+0.00079997i,-0.00089509+0.00066989i,-0.00086543+0.000283i,-0.0012693+9.2227e-05i,-0.0011206-0.00018426i,-0.001218-0.00052391i,-0.0010417-7.4886e-05i
-0.00134+0.00082187i,-0.0013755+5.0529e-05i,-0.0013595-0.00016775i,-0.00096422-0.00063431i,-0.00052298-0.00073681i,0.0001067-0.00089271i,7.1006e-05-0.0015575i,-0.00027712-0.00075885i,-5.0767e-06-0.00012784i,0.00019109+0.00033188i,0.00025809+0.0014016i,-1.909e-05+0.001249i,-0.0003884+8.3896e-05i,-0.00035214+2.8667e-05i,-0.00010208+0.00051545i,-0.00029423+0.00093799i,-0.00028847+0.00090945i,9.3278e-05+0.00029048i,0.00033683+8.6886e-05i,0.00031185+0.00018247i,0.00034596+0.00055548i,0.00020067-0.00021904i,0.00019358-0.0012728i
-0.00050869+0.0012063i,0.000101-0.00023295i,0.00049352-0.0012578i,-0.00034151-0.0022159i,-0.00025483-0.0019103i,0.0011484-0.00087632i,0.0015384-0.001242i,0.00023868-0.001498i,-0.00045896-0.00056357i,-0.00087409+0.0007149i,-0.0013171+0.00086812i,-0.00095586+0.00050196i,-6.4335e-06+0.00047774i,4.1823e-05+0.00062786i,-0.0008768+0.00047874i,-0.0010739+0.00045076i,-0.0007162+0.00017153i,-0.00044586-0.00029147i,0.000355+0.0001419i,0.0004644+0.00066359i,-0.00041213+3.1144e-06i,-0.00016488+7.0845e-05i,-0.00031872+0.000476i
0.00083669-0.00031505i,0.00075008-0.00022395i,0.00076096-0.0012046i,-0.00033727-0.002332i,-0.00094139-0.001595i,0.00039245-0.00089637i,0.00086684-0.00071482i,-0.00033356-6.6113e-06i,-0.00082096+0.00084017i,1.1909e-06+0.00048752i,-0.00034945+0.00017705i,-0.00073928+0.00055882i,0.00014543+0.0003403i,0.00082565+8.3288e-05i,0.00043966+0.00042453i,9.063e-05+0.00073671i,-0.0002456+0.000846i,-0.00027402+0.00059928i,-4.3663e-05+0.00049275i,0.00037316+0.0001933i,0.00071611-0.00015324i,0.00062969+0.00030015i,0.00053761+0.00029889i
-0.0035085-0.00040139i,-0.0014859+0.00036459i,-0.00089469-0.00052175i,-0.0015786-0.0018717i,-0.0007353-0.0020613i,0.0012018-0.00051068i,0.0010999-0.00079172i,-0.0002446-0.0010237i,-0.00042336+0.00022729i,-0.00021364+0.00045211i,-0.00037794-7.0851e-05i,-0.00025596-4.7853e-05i,-9.781e-05-7.1784e-06i,-0.00043695-6.897e-05i,-0.00051604+3.8286e-05i,-0.00046468-0.00010636i,-0.00038682-0.00025074i,-0.00082013+0.00019109i,-0.00086143+0.00036399i,7.8388e-06+0.00011872i,0.00033565-0.00043179i,-0.00053034-0.00078853i,-0.0011549+9.4526e-07i
0.002629-0.0018418i,0.00093427-0.0013885i,0.0005555-0.0020172i,-0.0010238-0.0021336i,-0.0023983-0.0013585i,-0.00084588-0.00060401i,0.00071157-0.00072274i,0.00071113-0.00072564i,-0.00013743-8.0345e-05i,-0.00029521+6.1258e-05i,-0.00074731+0.00017064i,-0.0010207+0.00076669i,-3.6013e-05+0.00035204i,0.00090376+0.00065469i,0.00015681+0.0020799i,-0.0010218+0.002003i,-0.0010032+0.00076567i,-9.3175e-05+2.429e-05i,0.00091344-0.00044352i,0.00098734-0.00021498i,0.00033908+0.00021078i,-0.00030016+0.00016553i,-0.00057504+7.0448e-05i
-0.00029041-0.00034218i,-0.00013029-0.00045066i,-0.00095602-0.0010757i,-0.0019429-0.0019512i,-0.0017353-0.0022185i,-0.0006074-0.0016375i,0.00045297-0.0010594i,-0.00012933-0.00058479i,-0.0008951-0.00027856i,-0.00039069+0.00019045i,-0.00030618+0.00046476i,-0.00059264+0.00039365i,0.00013505+0.0011684i,0.00087514+0.001119i,0.00089698+0.00028938i,0.00086802+0.00011017i,0.00095918+6.1202e-05i,0.0011071+0.00017292i,0.00046346+0.00053681i,0.00040634+0.00024152i,0.00097274-5.1527e-06i,0.0008521+0.00046039i,0.00048119+0.00010318i
-0.0035066+0.0026287i,-0.0011438+0.0017518i,-0.00016789+0.0021023i,0.0003288+0.0011509i,0.00095739+0.00021183i,0.0019203-0.00065601i,0.0019847-0.0016369i,0.00089071-0.0008591i,0.00037455+0.00033485i,0.00027544+0.00090845i,-1.7332e-05+0.00067685i,-5.4249e-05+0.0001283i,-0.0002223-0.00035239i,-0.00011022-8.3163e-05i,0.00029622+0.00051254i,6.2951e-05-5.9021e-05i,-0.0004841-0.00059556i,-0.00075357+0.00014487i,-0.00067448+0.00098535i,-0.00053814+0.00064278i,7.4462e-05+0.00032039i,0.00023578+0.00086693i,-0.00010232+0.00046412i
-0.0006248-0.00059581i,0.00019959-2.5745e-06i,0.0011729-0.00018866i,0.0003423-0.0010095i,-0.00012555-0.0016711i,0.00086478-0.0011849i,0.00095171-0.00089523i,-4.3747e-05-0.00097296i,-0.00052143-0.0004966i,-0.00056102-0.00070825i,-0.0009886-0.00086387i,-0.0011558-0.00075898i,-0.0010426-0.00073963i,-0.00092365-0.00018053i,-5.926e-05+0.00029982i,0.00029964+0.00092059i,0.00023624+0.0015064i,4.9937e-05+0.0009539i,3.3145e-05+0.00042853i,-0.00025525+0.00044427i,0.00016548+0.00032357i,0.00014851+0.00041335i,-0.00063466+0.00012667i
0.00041689+0.00011255i,0.00036534+0.00069862i,-0.00013487-0.00051169i,-0.0011305-0.0013039i,-0.0012126-0.001577i,-0.00036798-0.00088293i,-3.7034e-05-0.00057804i,-0.00050309-0.00079638i,-0.0010945+0.0001966i,-0.00076176+0.00014483i,-0.0002717-0.00019868i,-0.00023681+0.0003664i,-0.0002325+0.00079789i,-0.00028916+0.0010159i,-0.00016403+0.00055385i,-0.00021228+0.00017153i,-0.00062989-0.00011949i,-0.00043206+0.00036919i,-0.00060287+0.0010556i,-0.00048745+0.00066048i,0.00066422+0.00063767i,0.00077173+0.00067435i,0.00031262+0.000615i
0.0014723+0.0011551i,0.00063725-0.00062456i,3.5723e-06-0.0016476i,-0.00085242-0.00133i,-0.001041-0.00052439i,-0.00054889+0.00030905i,-0.00030322-0.00032255i,-0.001292-0.0012293i,-0.0014931-0.0009597i,-0.00021355-0.00071293i,0.00028368-8.4301e-06i,0.00043433+0.00072609i,-0.00015542+0.00074495i,-0.00060617+0.00037976i,0.0001322+0.00067973i,-0.00017661+0.0010895i,-0.00044036+0.0006471i,-0.00056794+0.00081962i,-0.00087157+0.00067986i,-0.00033411+0.00021372i,-0.00024859-5.8733e-05i,-0.00030181-0.00050097i,-1.235e-05-0.00036922i
-0.00075756-0.0015203i,-0.00049942+0.00014257i,-0.00027302+0.00037916i,-0.00079964-0.00076728i,-0.0021774-0.0015331i,-0.0016809-0.002138i,-0.00041471-0.0017158i,-0.0005878-0.0012422i,-0.00030187-0.00077612i,0.00094027-0.00069129i,0.001081-0.00082541i,6.2697e-05-0.0002198i,-0.00065615+0.00051006i,-0.00043125+0.0001535i,-0.00046634-5.7581e-05i,-0.0010384+0.00029575i,-0.00046955+0.00016508i,-2.944e-05+0.00019446i,-0.00075757+0.00018283i,-0.00062054+0.00034633i,0.00010608+0.00067467i,-0.00015354+0.00071676i,-0.00015337-5.6134e-05i
-0.00028127+0.00099434i,-0.00033166+0.00029008i,-0.00077095+0.00018806i,-0.0017927-0.0008577i,-0.001318-0.0014903i,0.001115-0.00028056i,0.0016961-0.00025318i,0.00059333-0.00087443i,-0.00029347-0.00048787i,-0.00040001-0.00046848i,-0.00010269-0.00031486i,0.00030881+0.00042359i,0.00059319+0.00016794i,0.00094786+7.8035e-05i,0.00074881+0.00035382i,-0.0003872+0.00029697i,-0.0004811-3.8403e-05i,-0.00036828+0.0003865i,-0.00031045+0.00080624i,0.0004335+0.0004964i,0.00032643-0.0008965i,-0.00036076-0.0015726i,-0.00037452-0.00063106i
0.00011686+0.0020317i,0.0022924+0.0011092i,0.0022134-0.00030544i,0.00041864-0.0018628i,-0.0006687-0.0013751i,-0.0006871-0.0010415i,-0.00059624-0.0011528i,-0.00077934+3.4973e-05i,-0.0004835+0.00088238i,-0.00045842+0.00069965i,-0.0004532+0.00062512i,-0.0004698+0.00035812i,-0.00010475-0.0005983i,-2.1547e-05-0.00021223i,-0.00038716+0.00082657i,9.265e-05+0.00094352i,0.00011421+0.0006073i,-0.00033161-1.6568e-06i,-0.00034555-0.00011354i,-0.00037808+0.00031716i,-0.0005458-0.00013628i,0.00029241-0.00043704i,0.0011309-0.00030873i
-0.00062456-0.00018409i,-0.00064904-0.00029896i,-0.00016984-0.00066636i,-0.0012159-0.00060281i,-0.0018855-0.0011201i,-0.00078114-0.001169i,0.00010591-0.00084486i,-2.3872e-05-0.00079811i,-0.00040665-0.00013064i,-0.00041941+0.00053037i,-0.00088655+0.00049076i,-0.0010708-8.3044e-05i,0.00023258-0.00047155i,0.00083513-0.00073856i,0.00013577-0.00079425i,-0.00062641+0.00029115i,-0.00053076+0.0011081i,-0.00064731+0.0008682i,-0.0015079+0.0003732i,-0.0014063-1.4018e-05i,-8.133e-06+0.00020148i,0.0010423+0.00078592i,0.00033914+0.0013086i
