-0.0042618+0.0016527i,-0.0028739+0.0014281i,-0.0028945+0.0019259i,-0.0020709+0.0018288i,-0.0010035+0.0019159i,-0.00087694+0.00070019i,-0.0009198+0.0006271i,-0.00086239+0.00068767i,-0.00082483-5.8455e-05i,0.00027996-0.00045149i,0.00087094-0.00048399i,0.00034753-0.0011962i,0.0003604-0.0017438i,0.00017188-0.0022958i,0.00037249-0.0024976i,0.00072136-0.0016528i,0.00022239-9.9544e-05i,-0.00080892+0.00076821i,-0.0010736+0.00014296i,-0.00070375-0.00010685i,-0.00018727+0.00081405i,-2.3696e-05+0.00057396i,-0.00013768-0.0002481i
-0.00015464-0.00011634i,-0.00041167+0.0007582i,-0.00059609+0.0012712i,-0.00093473+0.00072437i,-0.0012327+2.9025e-05i,-0.00071719+0.00021994i,-0.00044186+0.0005518i,0.00011664+0.00084821i,-6.3015e-05+0.00034517i,7.2097e-05+5.4587e-05i,0.00082564+1.7203e-05i,0.00087439-0.00018527i,0.00034032+5.6541e-05i,0.00039563-7.0137e-05i,0.001013+0.00034494i,0.00010161+3.028e-05i,-0.00044003-0.00063947i,0.00012309-0.00038605i,0.00030961-0.00037196i,3.9972e-05-0.0010812i,-0.00037796-0.0010997i,-0.00062387-0.00020046i,-0.00051225+0.00017234i
0.001643+0.00028869i,0.00077687-0.00074145i,-0.00053756-0.00093649i,-0.00096787-0.00078012i,-0.0010843-0.0010354i,-0.001558-0.00079833i,-0.001476+4.0052e-05i,-0.00070406+0.00072313i,0.00043268-4.4902e-06i,0.00031553-0.0007925i,-0.00018755-0.00015635i,-0.0002945+0.00036656i,-0.00035147+0.00020062i,-0.00018658+0.00018948i,-0.00033425-0.00029193i,-0.00049021-0.00086383i,-0.00034919-0.0011494i,-1.9909e-05-0.0011019i,5.8678e-05-0.00074868i,4.68e-06-0.00047178i,0.00028882-0.00050477i,-1.9841e-05-0.00050417i,-0.00012462-0.00035691i
0.00087748-0.0010307i,0.0011213-0.0015998i,0.00088562-0.0023054i,-0.00035101-0.0012793i,-0.0024628+0.00052787i,-0.0022875+0.00085953i,-0.00084747-0.00011798i,-0.00094595-0.00040647i,-0.0011414-2.1895e-05i,-0.00094869+0.000259i,-0.00070776-0.00015889i,-0.00031116-0.00044256i,-0.00027938+6.13e-05i,-0.00064081+0.00060178i,-0.00079773+0.00091971i,-0.00088673+0.00016263i,-0.00047041-0.00018812i,0.0004092+0.00010516i,0.0007009+0.00055586i,9.7127e-05+0.00038356i,-0.00052808-0.00031198i,-0.00026556-5.5061e-05i,-0.00027979+0.00038257i
-0.00055958-0.0010098i,-0.00082098-0.00040488i,-0.00065304-3.8361e-05i,-0.00097797+0.00044146i,-0.00061035+0.0011113i,-0.00018425+0.0015634i,-0.00053468+0.0016672i,-0.00015151+0.00039542i,0.00084676-0.00025231i,0.0005326+0.00046441i,0.00050961+0.00098158i,0.00069496+0.00064906i,-0.00017232+0.00011238i,-0.00029269+0.00052758i,-0.00015935+0.0010084i,-0.00055547+0.0013663i,-0.00072189+0.0010852i,-0.00020631+0.00018164i,0.00015547-0.00017322i,0.00018764-0.00030951i,-0.00046049-0.00022529i,-0.00073617-1.0765e-05i,-0.00082096+0.0002818i
-0.0017614+0.0024466i,-0.0012973+0.0014098i,-0.00076598+0.0011069i,0.00025189+0.00090352i,0.0008541+0.00039729i,-0.00037541+0.00017982i,-0.0016573+0.000254i,-0.0017606+1.2798e-06i,-0.00016062+0.00026926i,0.00092672+0.0001952i,0.0007087-0.00045858i,0.00011251-0.00063606i,-0.00023603-0.00063866i,-0.00010303-0.0014418i,-0.00041649-0.0021231i,-0.00022676-0.0013967i,-0.00056855-0.00066265i,-0.0010576-5.8559e-05i,-0.001062+7.6212e-05i,-0.0013095-0.00067729i,-0.00046873-0.00099519i,8.507e-05-4.4398e-05i,-0.00010042+0.00043717i
6.4245e-05+0.0011176i,-0.0011185+0.0014431i,-0.0013584+0.00049019i,-0.0014102+4.0948e-06i,-0.0011864-0.00028585i,-0.00089817+0.0002434i,-0.00094975+0.0010953i,-0.00045907+0.0010584i,0.00016177-0.00010224i,0.00071293-0.00040527i,0.00060951-2.7852e-05i,0.00047195+0.00044677i,-0.00016344+0.00049973i,-0.00097452+4.8721e-05i,-0.00065977-7.4386e-05i,-0.00084344-0.00016999i,-0.00050815-0.000568i,0.00010468-0.00048882i,0.00044917-0.00016845i,0.00030208-0.00059468i,-0.000232-0.00088836i,8.5251e-05-1.4455e-05i,0.00052285+5.1636e-05i
-0.0016852+7.9681e-06i,-0.0019684+0.00019295i,-0.0024636+0.00056241i,-0.0019142+0.00053003i,-0.0015163-0.0009298i,-0.0017067-0.0022758i,-0.0014067-0.0015987i,-0.00081973+0.00011209i,-0.00010348+0.00057822i,0.00038541+7.0256e-05i,0.00066622+3.7202e-05i,0.00020453-0.00013599i,-0.00083818+3.8808e-05i,-0.0014117+0.00019502i,-0.0014448-0.00059443i,-0.0010141-0.0007119i,4.4449e-06-0.00044155i,0.0010243-0.0002466i,0.00059752-0.00016297i,-0.0001957+8.6487e-05i,-0.00070161+0.00024826i,-0.00053639+0.0002562i,0.00018921+0.00042722i
0.00047268+0.00024969i,0.00018387-0.0004284i,-0.0010035+0.00030002i,-0.0013988+0.00089641i,-0.0010428-5.2751e-05i,-0.0011682-0.0009514i,-0.0015149-0.00021402i,-0.0011731+0.00087449i,-0.00027211+0.00080484i,9.7568e-05-0.00011339i,1.3023e-05-0.00021918i,-0.00021947-0.00048442i,-0.00029423-0.001033i,-0.00046187-0.00091646i,-0.0012288-0.0011018i,-0.00065162-0.0013056i,0.00040018-0.00094558i,-0.00017173-0.00018729i,-0.00063936-7.4688e-05i,-0.00036451-0.00013447i,-0.00024249-3.1738e-05i,4.5224e-05-0.00017413i,0.00054424-0.00027428i
-0.00011869+0.0012607i,-0.0010754+0.0010876i,-0.0013768+0.00072326i,-0.00097953+0.0012457i,-0.00086211+0.0011606i,-0.0010345+0.00086245i,-0.0015091+0.0012023i,-0.00057229+0.0011775i,0.00053193+0.00058017i,0.00022272-0.00021942i,0.0003072-8.5091e-05i,-0.00026486+0.00016804i,-0.001289-4.7553e-05i,-0.0012087-7.4192e-05i,-0.0009808-0.00017317i,-0.0005412+0.00025837i,-0.00035999+0.0006952i,-0.00067083+0.00084709i,-0.00057045+0.0011095i,-0.00027563+0.00024262i,0.00025284-0.00034063i,0.0001798+0.00015485i,-0.00059696+0.0007972i
0.0010872+0.00086235i,0.00038141+0.00088878i,-0.00089348+0.00040253i,-0.0014906-0.0010221i,-0.0017339-0.0016585i,-0.0018034-0.00074816i,-0.0014859+0.00075024i,-0.00024179+0.0015099i,0.00025237+0.0011322i,8.8991e-05-1.3595e-05i,0.00032155-0.00037451i,0.00014766+0.00020927i,0.00014324+0.00035726i,0.0003894+0.00033494i,-0.00032118+0.00015194i,-0.00068708+0.00029939i,-0.00055126+0.00066086i,-0.00018362+3.6454e-05i,0.00013223-0.00061386i,0.00022349-0.0010443i,-7.8105e-05-0.00081651i,-0.00090031-0.00029822i,-0.0011849-0.00047519i
