-0.0045769-0.00024491i,-0.0038324-0.00063681i,-0.0054071+0.00094996i,-0.0051868+0.002486i,-0.0024842+0.0031269i,-0.001147+0.0025628i,-0.00039891+0.0022631i,0.0010396+0.0025722i,0.00162+0.0019061i,0.0013196+0.0012202i,0.0011605+0.00084863i,0.0010265+0.00053077i,0.00065265-0.00028948i,0.00083214-0.00041911i,0.00038661+0.00017124i,0.00028821+0.00039995i,0.00047084+0.00068847i,0.00019708+0.00039604i,5.8269e-05-0.00023219i,-9.622e-05-0.00029764i,0.00057386+0.00021396i,0.0008728-4.8909e-05i,0.00061128+9.3733e-05i
0.00086768+0.00037775i,0.0011948+0.00033673i,0.0015548+8.4425e-05i,0.00063606-0.00061039i,-0.00060725-0.00033464i,-0.00060335+0.00018666i,-0.00107+0.00035776i,-0.0014132-0.00021789i,-0.001242-0.00096929i,-0.0011587-0.00056618i,-0.001019-5.6077e-05i,-0.00040527-0.00050437i,-0.00013017-0.0010638i,0.00034126-0.00045476i,0.0011829+1.2681e-05i,0.00051196+4.4919e-05i,-0.00050759+0.000294i,-0.0006714+0.00018024i,0.00023294+0.00045184i,0.0004604+0.00022385i,-0.00025865-0.00029732i,-0.00053839-0.00030859i,-0.00054537+0.00014995i
0.0012295+0.0012066i,0.00080834+0.0014162i,0.00073924-0.00043597i,0.00069658-0.00092614i,5.549e-05-4.9627e-05i,-0.00059595+7.4386e-05i,-0.00085612+8.5897e-05i,-0.00091829+0.00015646i,-0.00039903+0.00037118i,7.3145e-05-4.8277e-05i,2.4271e-05-0.00096711i,-0.00035592-0.0013758i,-0.00011094-0.001363i,0.00021653-0.0005815i,-0.00017448+0.00067448i,-0.00028479+0.0014645i,-0.00011998+0.0011103i,-0.00033203+0.00013892i,-0.00029165-0.00058772i,0.00056394-0.00080144i,0.00046289-0.0004837i,0.00037848-0.00031545i,0.00064398-3.269e-05i
0.00010117-0.0029219i,-0.00047156-0.0021965i,-0.0011628-0.001969i,-0.0014162-0.00088001i,-0.0024088+0.00041271i,-0.0025865+0.0007623i,-0.0018286+0.00038855i,-0.00097083-0.00034666i,-0.00019108-0.00070083i,-0.00013548-0.00038439i,-0.00039703+0.00059101i,8.1092e-05+0.00065315i,2.2552e-05+0.00023973i,-0.00079504+0.00043199i,-0.00091321+0.0013498i,1.6571e-05+0.0014075i,0.00053761+0.00057587i,0.0003391+4.4637e-05i,9.5348e-05+0.00048152i,-0.00034006+0.0007452i,-0.00094308+0.00047522i,-0.0012723+0.00091402i,-0.00098901+0.00052382i
-0.0010485-0.0019839i,-0.00077948-0.0019436i,-0.0013653-0.00086593i,-0.0013317+0.00015617i,-0.0004849+0.00075338i,0.00062336+0.00086078i,0.00055136+0.00088829i,-0.00026105+0.00032626i,-0.00089553+1.7981e-05i,-0.00079445-3.0983e-06i,-0.00036892+0.00049152i,-0.00047394+0.0004593i,-0.00070174-0.00069422i,-0.0006199-0.0012059i,-0.00047145-0.00048025i,-0.00038262-0.00018961i,-0.00011732+0.00026411i,2.6994e-05+0.00063606i,-0.00028385+0.00027206i,8.1276e-06-0.000191i,0.00023467+2.371e-06i,-0.00021928+0.0003872i,-0.00024987+0.00041024i
0.0021671-0.00052805i,0.0026778-0.00085389i,0.0019434-0.0010984i,0.00041611-0.0015891i,-0.0009707-0.001684i,-0.0018437-0.00097981i,-0.0018454-0.00074086i,-0.0014432+0.00026646i,-0.0013068+0.0012526i,-0.00087242+0.00048977i,-0.00018989-0.00052741i,-0.00042666-4.2629e-06i,-0.00062957+0.00070368i,-0.00011499+0.00012983i,-0.00092151-0.00010633i,-0.0011093+0.00081536i,-0.00033927+0.0010049i,0.00050459+0.00054524i,0.00041878-0.00022556i,-0.00056265-0.0010415i,-0.00045722-0.0009599i,-2.727e-05-0.00056141i,-0.00011184-0.00031653i
-0.0007207+0.00056883i,-0.0010356+0.00059364i,-0.00077718+0.00046449i,-0.00061041-0.00026331i,-0.00027237-0.00058111i,4.1188e-06-0.00065497i,-0.00021639-0.00099168i,-0.00051686-0.00071393i,-0.00073063-5.2997e-08i,-0.00061974+0.00095421i,-0.00046957+0.0010529i,-0.00022169+0.00013871i,0.00086782-0.00038729i,0.0010828+0.00029332i,0.00028633+0.00077415i,-0.00045621+0.00019291i,-7.7027e-06+6.1729e-05i,0.00083085-1.1473e-05i,0.00084668-0.00025665i,0.00038101-0.00045331i,0.00041362+5.2636e-05i,0.00075723+0.00053449i,0.00080956+0.00061663i
0.0012442-0.00089647i,0.00086331-0.00093398i,0.001714-0.0014089i,0.0017081-0.0011958i,0.00054525-0.00078357i,-0.00057661-0.00053189i,-0.0013602-0.0007167i,-0.0010644-0.0014438i,-0.00043447-0.001313i,-0.0003464-0.00067747i,-0.00059651-0.00042628i,-0.00059729-0.00020252i,-0.00092887+0.00013794i,-0.0016341-0.00023079i,-0.0012862+8.0324e-05i,-0.00059057+0.00085229i,-0.00076563+0.00024029i,-0.00056583+0.00016792i,0.000529+5.7217e-05i,0.00031011-5.3001e-05i,-0.00013152+0.00012315i,0.00021018-0.00033149i,6.4243e-05-0.00013684i
0.0015116+0.00020304i,0.0024979+1.9008e-05i,0.0029108-0.0010655i,0.001201-0.0019816i,-0.00014767-0.0018009i,-0.00023809-0.00070938i,-2.4041e-05-0.00052397i,0.00010368-0.00098284i,-0.00024332-0.001225i,-0.0013082-0.00061795i,-0.0018381+0.00017725i,-0.0013059+0.00067794i,-0.00062374+0.00039846i,-0.00019231+0.00048855i,-0.00025612+0.0010795i,-0.0009477+0.0003892i,-0.00079976+0.00036968i,-2.0951e-05+0.00066036i,0.00043723+6.9068e-05i,0.00041404-0.00020393i,7.5557e-05+0.00053328i,-0.0002259+0.00046196i,-0.00070439-0.00025268i
0.00096041-0.0004004i,-0.0002414+0.00029462i,-0.00066942+0.00054137i,-0.00073026+0.00060682i,-0.00022659+0.0012932i,0.00021609+0.0014099i,-0.0007888+0.00038342i,-0.00074161-0.0002332i,-0.00068476+0.00012064i,-0.0010665+0.00024967i,-0.00018468+1.8266e-05i,0.00032656+7.4893e-05i,0.00085144-0.000135i,0.001149-1.5107e-05i,0.00036939+0.00085505i,-0.00028399+0.0010689i,-0.00097773+0.00091181i,-0.00075287+0.00016032i,0.00014996-0.0003665i,0.00055627+4.4903e-05i,0.00051689+8.8282e-05i,0.00038114-0.00021795i,0.0011174-0.00035372i
0.0024903-0.00047551i,0.0019496-0.00078121i,0.0019023-0.001588i,0.0016535-0.0017093i,0.00032183-0.0014546i,-0.0010304-0.0012593i,-0.0012965-0.001767i,-0.00079694-0.0011199i,-6.0196e-05-0.00050368i,-4.6526e-05-0.00023236i,-0.00014665-0.00042589i,-0.00035445-0.00053291i,-0.0013654+2.535e-05i,-0.0017542+0.00061994i,-0.0015355+0.00098976i,-0.00071141+0.0015019i,0.00013014+0.00099467i,0.00036535+0.00048565i,0.00047845+0.00069173i,3.3423e-05+0.00027845i,-5.3792e-05-2.917e-05i,5.643e-05-0.00028299i,0.00047694-0.00019596i
0.0018821-0.00078505i,0.0015414-0.001477i,0.00049583-0.0013577i,-0.00032977-0.00083261i,-0.00077191-5.421e-05i,-0.0011469+0.00025878i,-0.0013251-0.0004344i,-0.0011685-0.00057464i,-0.00087254-0.00032124i,-0.0012426+7.4685e-05i,-0.0014426+0.0004738i,-0.0009493-0.000101i,-0.00082824-0.00053605i,-0.00084632-0.00010187i,-0.00052586+0.00078496i,-0.0012977+0.00061181i,-0.0016002-1.1056e-06i,-0.0012113+0.00015618i,-0.00057375-0.00026305i,0.00048781-0.00066874i,0.0005764-0.0006139i,0.00034213-0.00015666i,0.0002815+0.00061016i
0.00075731+0.0011161i,0.0012592+0.00078424i,0.0016621+0.00043123i,0.0016822-0.00068895i,0.0016208-0.0016025i,0.0011497-0.0017828i,0.00026773-0.0014772i,0.00022978-0.0015428i,0.00045427-0.0010489i,0.00027093-0.00060362i,0.0002863-0.00037886i,0.00056105-0.00027724i,0.00027098-0.00059048i,-0.0003687-0.00081327i,-0.00044994-0.0010333i,6.7125e-05-0.00089245i,0.00047359-0.00043145i,0.00024792+6.2412e-05i,3.5108e-05-0.00019677i,-9.3493e-05-0.0010106i,-0.00045806-0.0017291i,-0.00038443-0.0017151i,9.8113e-05-0.00041754i
0.0016696+0.0012256i,0.001356+0.0015472i,0.0010084+0.001114i,0.0013505+0.00070162i,0.00090267+0.00012094i,-0.00094775+0.00049702i,-0.0016257+0.0006524i,-0.00076219-6.8545e-05i,0.00030851-0.00023176i,0.00023082-0.0002405i,-0.00045996+0.00047884i,0.00019505+0.00061444i,0.00055873-0.00070653i,-0.00019591-0.00077648i,-0.00024943-0.00046866i,3.5736e-05+0.00020181i,0.00028964+0.00077021i,0.00018019+0.00022397i,-0.00022404-0.00015924i,-0.00017141-0.0005574i,0.00045041-0.00063871i,0.0006897-4.4336e-05i,0.00056388+0.00035212i
