4.5915e-05-0.00054708i,0.00039732-0.001075i,0.00026215-0.0010874i,-0.0010899-0.00099715i,-0.0018864+0.00053604i,-0.002222+0.0010662i,-0.00078108+0.00048998i,0.0012397+0.0010487i,0.0015943+0.0014634i,0.001183+0.00076306i,-0.00014061+0.00058686i,-4.7951e-05+0.00033315i,0.0004653+9.4265e-05i,-0.00027609+0.00032391i,-0.00023558+0.00036758i,0.0003883+0.00080676i,-0.0005881+0.00084149i,-0.001374+0.00028712i,-0.0004677+0.00040678i,0.00024381+0.00079399i,0.00027129+0.00052739i,-0.00033592+0.00012535i,-0.0010792+0.00029942i
-0.002586-0.0018439i,-0.0030597-0.0012816i,-0.0034587+0.0013223i,-0.0028837+0.0031344i,-0.0017398+0.0032219i,-0.00054664+0.0024697i,2.7216e-06+0.0016981i,-0.00028509+0.0010999i,-0.00077787-3.9441e-05i,-0.00027895-0.00026873i,-9.4776e-05+0.00031661i,0.00036507+0.0013723i,0.00060817+0.0014696i,0.00049701+0.00025529i,0.00092051+0.00013898i,0.0014926+0.0003123i,0.0011756+0.00083225i,0.00092918+0.00051976i,0.001535-0.0009388i,0.0017541-0.0015728i,0.00068868-0.0010627i,-0.00036187-0.00094501i,-0.00048926-0.0010071i
0.00030259-0.00081816i,-0.0010037-0.0005619i,-1.8838e-05+0.000209i,0.00030411+0.00056409i,-0.00096903+0.00063057i,-0.00087239+0.00017648i,-0.00053909-0.00048995i,-0.00043049-0.0004645i,-0.00036536-0.00075366i,-0.00050338-0.0012168i,-0.0002015-0.00069117i,9.1774e-05-8.9208e-05i,0.00053127-0.00021112i,0.00051831+0.0002216i,-0.00010995+0.00063789i,-0.00059105+0.00078684i,-0.00047456+0.00022649i,0.00015852-0.00089186i,0.00041321-0.00074897i,0.00035921-1.1966e-05i,0.00043621-0.00015427i,0.00029555-0.0001791i,-0.00010209+0.00038571i
3.4941e-05+0.00079078i,3.4064e-05+0.00067635i,-0.0010846+0.00099899i,-0.0010103+0.0013197i,0.00034141+0.00039293i,0.00081882-0.0012207i,0.00040575-0.0021866i,0.000571-0.0018452i,0.00023157-0.00077075i,-0.00083877-0.00018662i,-0.00092488-0.00048384i,5.8869e-05-0.00026912i,0.00053041-1.1801e-06i,0.00053934-6.9334e-05i,0.00018927+7.84e-05i,-0.0003827+0.00027086i,-0.00023358+0.00016055i,9.8893e-06+0.00013614i,-0.00056032+2.0387e-05i,-0.00034825-0.00026645i,0.00018511+3.1836e-05i,-0.00023004+0.00026918i,-0.00039388+0.00044131i
9.2158e-05-5.7318e-05i,9.9093e-05-0.00020952i,-0.00034091+0.00075532i,-0.00076973+0.0020599i,9.7729e-05+0.0021109i,0.0013084+0.00067231i,0.0013964-0.00032237i,0.0011513+0.0001107i,0.00034899+0.00063364i,-0.0005675+0.00011326i,-0.00059752-0.00022554i,-0.0002125+0.0002587i,0.00013368+0.0001204i,-0.00024623-0.00012235i,-0.00066077+0.0001785i,-0.00055305-7.6972e-05i,-0.00031743-0.00058681i,-0.00021532-0.00024205i,-1.5829e-05+0.00081593i,8.0591e-05+0.00053208i,1.3764e-05-0.00024288i,0.00026834+0.0002077i,-0.00016689+0.00096512i
3.2431e-05+0.00093833i,8.7692e-05+0.00067933i,9.6393e-05+0.0012008i,0.00030388+0.0015342i,0.00074874+0.0012485i,0.0004673+0.00021182i,-0.00087481-0.00023114i,-0.0013967-0.00034068i,-0.00017764-0.00087512i,0.00046021-0.0010202i,-0.00019251-0.0007423i,-0.0001901-0.00047869i,1.9004e-05-4.6536e-05i,-0.00055967-0.0001672i,-0.00042262-4.609e-05i,-8.7549e-05-0.00028024i,-0.00027502-0.00053667i,-0.00072146-0.00054286i,-0.00045864-0.00042881i,0.00038182+0.00043286i,0.00036075+0.00091221i,-0.00038371+0.00050601i,-0.0007119+0.0004377i
-0.00016571-0.0020504i,-0.0010578+0.00048825i,-0.0013476+0.0020336i,-0.0019601+0.0018992i,-0.0018762+0.00084684i,-0.001253+0.00050223i,-0.0009605+0.00069733i,-0.0012638+0.00055423i,-0.0016823+0.00016295i,-0.00090506-0.00016573i,-0.0007421-0.00026753i,-0.00065912-0.00030809i,9.2672e-05-8.7245e-05i,0.0001357+0.00052704i,-2.7397e-05+0.00065374i,-3.6938e-05-0.0001766i,-0.00046868-0.00050764i,-0.00016469-0.00041128i,0.0010843-0.00070633i,0.00072855-0.0002582i,-8.684e-05+0.00053882i,-0.00020246+0.00057691i,7.445e-05+0.00021667i
0.0010156-0.0023368i,0.00052957-0.002072i,0.00053301-0.00021932i,0.0004695+0.0010133i,-0.00019264+0.00040082i,-0.0010659-0.001933i,-0.00079104-0.0021748i,0.00018278+4.3164e-06i,0.00068175+0.00037676i,0.00037526-0.00047349i,-0.0001502+8.5152e-05i,-0.00020347+0.00039622i,-0.0004967+0.00012677i,-0.00088641+0.00015839i,-0.00067196+0.00017113i,5.4071e-05+0.00067243i,0.00055782+0.0010729i,0.00035335+0.00077666i,0.00014533+0.00036582i,0.00033213+0.00013879i,0.00023549+0.00039818i,0.00020977+0.00031603i,0.00078723+0.00014111i
-0.00015723+0.00010707i,-0.00075602+0.00040126i,-0.0006095+0.0015535i,0.00029344+0.0015852i,0.0015656+0.00036748i,0.0016919-0.0017594i,0.00044889-0.0019483i,-0.00037491-0.0012102i,0.0002511-0.00044211i,0.000314+0.00022035i,-0.00021496+9.4143e-05i,-0.00038756-0.00038545i,-0.00061231-0.0011426i,-0.00082781-0.0011863i,0.00018514-0.00052958i,0.00070401+0.00028788i,-0.00029596+0.0011251i,-0.00091552+0.00071845i,-0.00085643-0.00082867i,-0.0010404-0.00061279i,-0.00062128+0.00035787i,0.0001974+1.8411e-05i,7.7986e-05-0.00032528i
0.0015845+0.00057196i,0.00052472+0.00038914i,0.00018586+0.00056667i,-2.7082e-05+0.0020374i,-0.00010286+0.0023071i,0.00032936+0.0013736i,-5.0642e-05+0.00049959i,-0.0016418+3.371e-05i,-0.0016102-4.4544e-05i,-0.00026023+5.3793e-05i,0.00049239-0.00038997i,0.00080636-0.00087564i,0.0014066-0.0010533i,0.0013201-0.0013892i,0.00080638-0.001352i,0.0012916-0.0006749i,0.0011269+0.00040422i,0.0002708+0.00057773i,7.1808e-05+0.00016592i,0.00029424-0.00028926i,-0.00023767-0.0003768i,-0.00074492-0.00041602i,-0.00041854-0.00033886i
-0.00046104-0.00012748i,-0.00046371+0.0002911i,-0.0011484+0.0010572i,-0.0023283+0.0022805i,-0.0018002+0.0021175i,-0.00033934+0.00095804i,0.00032516+0.0005217i,0.00040869+0.00026898i,0.00050443+0.000307i,-0.00025783+0.00011274i,-0.00040968-0.00035836i,2.9483e-05+0.00014863i,-7.9262e-05+0.00028789i,-0.00012149-0.00015921i,0.00050212-0.0004771i,0.00080335-0.00010094i,-0.00010548-0.00030414i,-0.00032395-0.00055898i,-0.00039302-0.00012197i,-0.00077146+0.00029527i,-0.00014966+0.00066229i,8.5372e-05+0.00088116i,-0.00069067+0.00045124i
