-0.0027358+0.00051062i,-0.0014783-0.00030608i,-0.0026861+0.00044088i,-0.0021642+0.00074245i,-0.00092802+0.0011782i,0.00085374+0.00076594i,0.0014095-8.6159e-06i,0.00031865+0.00024987i,-0.00053049+0.00032592i,0.00061463+0.00056154i,0.0017713+0.0003617i,0.0013944-0.0010542i,0.0012693-0.0015772i,0.00092307-0.00092504i,0.00017277-0.00050981i,0.00047748+0.00025548i,0.00053254+0.00054315i,0.00065359+0.00048885i,0.00051896+0.00028306i,-0.00067359+8.3163e-05i,-0.0011793+0.00059618i,-0.00058865+0.0010165i,-5.7497e-05-0.00012238i
0.0018279+0.0017101i,0.0020269+0.0014271i,0.0025097+0.00038286i,0.0019251-0.0016808i,7.9867e-05-0.0022405i,-0.0017715-0.0016109i,-0.00097498-0.0012007i,3.0769e-05-0.00032033i,3.8548e-05+0.00042751i,1.1431e-05+0.00072406i,-5.9048e-05+0.00017751i,-9.9212e-05+1.9559e-05i,-0.00075872-9.5721e-05i,-0.00089293-0.00059567i,-0.0010464-0.00044481i,-0.00095401-0.00063315i,-0.0001687-0.0006162i,0.00042623-0.0008787i,0.00012561-0.0005733i,-0.00045511-0.00027933i,-0.00062289-0.0010132i,0.0002228-0.00096531i,0.00055528-0.00031386i
0.00054274-0.0006656i,0.0017968+0.00012479i,0.0021241-0.00058007i,0.00136-0.0020498i,0.00031243-0.0020127i,-0.00067445-0.00088647i,-0.00061637-0.00011048i,0.00048977+0.00030602i,0.00063615+0.00034348i,-1.6617e-05+1.8781e-05i,-0.00044977+0.00077483i,-0.00035968+0.0013885i,-0.00021034+0.00090655i,-0.00046372+0.001166i,-0.00074419+0.0012176i,-0.0008697+0.00063847i,-0.00063012-0.00012413i,0.0001584-0.00055853i,0.00033004-0.00047355i,0.00013972-0.00068067i,0.00067311-0.0011875i,0.00092229-0.0013537i,0.00020239-0.00036911i
-9.8304e-05-0.00038836i,0.00093626-0.00039308i,0.00092028-0.00047635i,0.00044645-0.00059253i,0.00014492-0.00053562i,3.5978e-05-0.00026912i,0.00048125-0.00027669i,0.00078697-0.0006256i,8.6747e-05-0.00093574i,-0.00057806-0.00056538i,-0.00052395-0.0005367i,-0.00012674-0.00090441i,-0.00043887-0.00024274i,-0.00053345+0.00027238i,-1.8027e-05+0.00047145i,0.00023316+0.00072394i,0.00055103+0.00053077i,0.0007739+0.00022354i,0.00040703+0.00065497i,4.3995e-05+0.00056959i,-0.00025509+0.00041639i,-0.00071818+0.00037359i,-0.00060441-0.00074462i
0.0011846+0.0014254i,0.0010978+0.00042344i,0.001649+0.00034409i,0.0018232-0.00045674i,0.00061368-0.0013743i,-0.00086936-0.0017537i,-0.001386-0.00054133i,-0.0010118+0.00067972i,-0.00071617+0.00094269i,-0.00048765+0.00078495i,3.6494e-05+0.0007484i,0.0006184+0.00036205i,0.00030395-7.2317e-05i,-0.00042711-0.00041289i,-0.00069892-0.0011465i,-0.00034919-0.0015295i,-0.00031768-0.00070356i,-0.00050828+0.0001163i,-0.0010946+3.0601e-05i,-0.00063337+0.00012295i,0.00092091+0.00017775i,0.00091443-0.00010999i,0.00011969+0.0002411i
0.001076-0.00071979i,0.00069421-0.00082027i,0.00063915-0.0019689i,8.5161e-06-0.0020626i,-0.0011287-0.0014034i,-0.0013374-0.00082129i,-0.00016096-0.0001864i,0.00033674+3.4012e-06i,0.00062269-0.00020728i,0.00053224-0.00046938i,0.00026077-0.0001826i,0.00049798+0.00045913i,0.00069286+0.00092355i,0.00086482+0.00090798i,0.00040146+0.00097281i,3.4616e-05+0.00070059i,0.00022922-0.00012515i,0.00039567-0.00021979i,0.00031606+0.00029689i,0.00037599+5.7672e-05i,0.00054416+0.00064034i,4.485e-05+0.00093961i,-0.00046581+0.00091148i
-0.00030265+0.0021535i,0.00012989+0.0014795i,0.0014272+8.5306e-05i,0.0013399-0.00097848i,0.00073233-0.0015085i,4.3021e-05-0.0018904i,-0.00027565-0.00061765i,-4.6493e-05+0.0010262i,0.00016588+0.00096823i,0.00021402+0.00031046i,7.2856e-05+0.00053722i,-0.00044124+0.00036968i,-0.00053044+2.9902e-05i,4.6241e-06-0.00077975i,-0.00013962-0.0017823i,-0.00024094-0.0011808i,0.00048416-0.00016647i,0.00090651-0.00024327i,0.00086301+5.2905e-05i,0.00011198+0.00027886i,-3.2702e-05+0.00047855i,5.8359e-05+0.00035601i,0.00040926-0.00021573i
0.0015016+0.00018946i,0.0015143-0.00041765i,0.00055778-0.00033511i,-0.0002517-0.00093846i,-0.00024295-0.0014128i,0.00011346-0.0013867i,0.00020564-0.0010813i,0.00039662-0.00014366i,0.0010029+0.00013492i,0.0012199-0.00013643i,0.00052769-6.6727e-05i,0.00048659+0.00042718i,0.00091476+0.00033261i,0.00056067+0.00063444i,0.00036743+0.00090633i,0.00076398+0.00034537i,0.00029246-4.7596e-05i,-0.00028822+0.00045735i,-0.00024858+0.00079486i,-7.4035e-05+0.00064249i,-0.0001235+0.00065847i,-5.0979e-05+0.00053069i,0.00011167-0.00021657i
-0.00030045+0.00090438i,-0.00059413+0.00025198i,-0.00018595+6.3701e-05i,0.00020662+0.00027919i,-0.00014181-0.00057384i,-0.00032709-0.0011178i,0.00010852-0.00041708i,0.00070687+0.00061512i,0.00044365+0.00042812i,-0.00030581+0.00013333i,-6.6353e-05+0.00085266i,0.00037973+0.00080185i,0.00015838+0.00021766i,-2.1575e-05+0.00030821i,0.00022109+4.7989e-05i,0.00019985-0.00030772i,-0.00021451-0.00076352i,-0.00026912-0.0012949i,-7.1551e-05-0.0012752i,-0.00018776-0.00033022i,-0.00037873+0.00052505i,-0.00058275+8.0936e-05i,-0.00017253+0.00030329i
0.00034582+0.0014888i,0.00088301+0.00051225i,0.0011259-0.0001374i,0.0016488-0.00054788i,0.00139-0.0011254i,0.00037266-0.0012804i,-0.000158-0.0008136i,0.00047107-0.0003071i,0.00085551+0.00038362i,0.00053996+0.00071402i,8.377e-05+0.0009789i,-0.0001034+0.00078757i,-2.1355e-05-2.0521e-05i,0.00062625-0.0006549i,0.00034981-0.0010952i,8.426e-05-0.00060794i,0.00042886-0.00041316i,-5.7469e-05-0.00050246i,-0.00060392-0.00014902i,-0.00076055+0.0002182i,-0.00027284+0.00020872i,0.00092601+0.00012992i,0.0011752+0.00089835i
0.00060999+8.8316e-05i,0.00081208-0.0005718i,0.00089751-0.00059802i,0.0020811-0.00076873i,0.0017873-0.00093556i,0.0010607-0.00067302i,8.4662e-05-0.00047976i,1.5619e-05-0.0010176i,0.00021443-0.00079389i,-0.00023747+1.9449e-05i,-0.00043277+0.00073404i,-0.00082935+0.00032134i,-0.00042065+4.411e-06i,0.00054531-0.00025995i,0.00031555-0.00014952i,-0.000372+0.0003788i,-0.00036658-0.00032058i,7.1809e-06-0.00045324i,-0.00021199-9.499e-05i,-0.00043937-0.00087208i,0.00020738-0.0013932i,2.7595e-06-0.00084552i,-0.00065703-0.00067961i
