-0.0008869-0.00024545i,-0.0012168+0.00010166i,-0.00086825+0.00058125i,-0.00069775+0.00065762i,-0.0010516+0.00083649i,-0.0004916+0.0010698i,0.00036125+0.00021627i,0.00074633-0.00039178i,0.00065719-0.00036347i,0.00026291-0.00042349i,0.00043763-0.00083481i,0.00080463-0.0011652i,-0.00016716-0.0011684i,-0.0010277-0.00069188i,-9.1861e-05-0.00020825i,0.00033196-0.00031163i,0.00014341-0.00044257i,-0.00011538-0.00041568i,-0.0002114-0.00077881i,-0.00035772-0.0010968i,7.6179e-05-0.00043127i,0.00011095+0.00018134i,-0.00048292-3.9549e-05i
8.9878e-05+0.00024812i,0.00062511+0.0015023i,-0.00057897+0.0009505i,-0.0015422+0.00027684i,-0.00075569+0.0005267i,0.00062616+0.00096228i,0.00065027+0.0010246i,0.000531+0.00038208i,0.0005605-0.00047915i,0.00043258-0.00069526i,0.00061174-0.00035226i,0.001324-0.00012712i,0.0015494-0.00020139i,0.00052765-4.9931e-05i,4.1408e-06+0.00034796i,0.0003957+0.00038714i,0.00043328+2.7719e-05i,0.00016385-1.1023e-06i,-7.2581e-05+4.1116e-05i,-0.0003987-0.00037861i,-0.00061194-0.00052662i,-9.8893e-05-0.00014157i,9.6095e-05-0.00013453i
-0.0014553+0.00027639i,-0.0022738+0.0011129i,-0.0015162+0.0016628i,-0.00041253+0.00083774i,-3.2228e-05-0.00015167i,-0.0005647+0.00014971i,-0.00073657+0.00067361i,-0.00030846+0.00080175i,-0.00029353+0.00031283i,0.00027628-0.000196i,0.00010961-0.00040309i,-0.00056528-0.00017011i,-0.00069585-0.00016102i,-0.0007816-0.00017255i,-0.00036968-0.00038628i,-8.308e-05-0.00069654i,-0.000293-0.00037553i,-0.00016546-0.00018478i,-0.0010411-0.00041255i,-0.0015417-0.00075842i,-0.00093028-0.00055631i,-0.00057449-0.00051673i,-0.00032498-0.00053202i
0.0014129+5.1461e-05i,0.0019866-0.00062092i,0.002359-0.0012599i,0.0016911-0.0016932i,0.00037513-0.0014658i,-0.00044869-0.00056368i,-0.00038757+0.00028141i,0.00022859+0.00072828i,0.001113-1.0441e-05i,0.0016783-0.0014088i,0.0012535-0.0012125i,0.00025316-0.00036582i,-0.00084497+9.1932e-05i,-0.0012743+0.00081031i,-0.0011147+0.0007351i,-0.0013506-0.0004469i,-0.0013776-0.00085052i,-0.0012542-0.00047346i,-0.0003877-0.00047087i,0.00010179-0.00041458i,2.2213e-06+0.00068084i,0.0004446+0.00021458i,0.00061678-0.00044374i
-0.0010151+0.00015084i,-0.0022023+0.00077037i,-0.0017009+0.0014298i,-0.0013336+0.00052585i,-0.001289-0.00091876i,-0.0010355-0.00016962i,-0.00019425+0.00043276i,0.0011229+0.00043382i,0.00091316-0.00016653i,0.00056403-0.0011526i,0.00043782-0.00028406i,-5.3631e-07+0.00040303i,8.1663e-05+0.00043524i,-0.0004096+0.0009743i,-0.00066671+0.00068028i,-0.001028+5.8688e-05i,-0.0012457+1.3907e-05i,-0.00084074+5.8254e-05i,-0.00051074-0.00037394i,-0.00043755-0.00070508i,-0.0001978-0.00075027i,-5.3516e-07-0.00046817i,0.00016399-0.00019063i
0.00016701-0.0012982i,1.4005e-05-0.0014383i,0.00035361-0.0014391i,-0.00045161-0.00043349i,-0.0014878+0.00030044i,-0.00080807+0.00030432i,0.00044314+0.00037116i,0.0010807+0.00050959i,0.0010744-3.8921e-05i,0.00078514-0.00037614i,0.00085795-0.00025013i,0.001032+0.000143i,0.00078936-0.00023739i,0.00031049-0.00077491i,-5.842e-05-0.00064004i,-0.00069929-0.00012671i,-0.0007801+0.00064701i,7.4745e-05+0.00082684i,0.00078806+0.00036241i,0.00079309+0.00012467i,0.00024566+0.00025074i,0.00011531-0.00062401i,0.00018961-0.001035i
0.00042202+0.0019346i,0.00017028+0.0017998i,5.1123e-06+0.001267i,-2.5527e-05+0.00053839i,-0.00054141-0.00051744i,-0.00044343-0.00083292i,-0.00018887+0.00010414i,7.5541e-05+0.0011628i,0.00053136+0.00055338i,2.3621e-05-0.00051775i,-0.00020962-0.00065897i,-8.9959e-05-0.00014059i,-0.00052399+0.00029261i,-0.0008498+0.00026626i,-0.00087446+0.00065544i,-0.00098637+0.00044832i,-0.00094696+3.5092e-05i,-0.00018193-8.4351e-05i,0.00059217+0.00013165i,0.0010263+0.00069363i,0.00070387+0.0006245i,-0.00032682+0.00040897i,-0.00068681+0.00056778i
0.0001502-0.00027317i,-0.0010868-0.0012043i,-0.0021258-0.00128i,-0.0013644-0.00042748i,-0.00057309-0.00011883i,0.0001712-0.00055177i,0.0010784-0.00026434i,0.0017264+0.00044364i,0.001284+0.0007152i,0.0007282+0.00031099i,0.00068767-0.00068577i,0.00071536-0.00090456i,0.00038599-0.00046529i,-0.00034788-8.2676e-05i,-0.000459+0.00040687i,-0.00080156+0.00061122i,-0.00098785+0.00064897i,-0.00057179+0.00084014i,1.7737e-05+0.00020378i,0.00040652-0.00057676i,0.00027511-0.00053255i,0.00054677+0.00038048i,0.00023529+0.00051704i
-0.00054538+0.00097059i,0.00066964+0.001632i,0.0015988+0.0021319i,0.0013254+0.0014484i,0.00089073-0.00027781i,0.0003119-0.00070629i,0.00040014+0.00050005i,0.001116+0.0011238i,0.0011174+0.00056619i,0.00042864-2.1769e-05i,0.00012713-0.00024709i,7.9973e-05-0.00024981i,0.00031881+0.00015049i,0.00026104-0.00040493i,0.00017629-0.0011639i,-8.4972e-05-0.00099718i,-7.6833e-05-0.000496i,0.00065711+2.5246e-05i,0.0010481-0.00015018i,0.00031535-0.00022634i,-0.00028475-1.3717e-05i,-0.00010405+0.00044498i,-4.579e-05+0.00039922i
8.0368e-05-0.0011971i,-0.0012029-0.0006504i,-0.0021678-0.00061322i,-0.0026238+9.1005e-05i,-0.0016508+0.00063304i,-0.00045187+0.00076544i,-0.00022775+0.0015824i,-9.0343e-05+0.0017435i,0.00022408+0.00051046i,0.00013689-0.00034597i,0.00016319-0.00032545i,0.00013041-0.00034184i,-2.681e-05-0.00045686i,-0.00014822-0.00079367i,0.000233-0.0013593i,0.0001297-0.001236i,-0.0003519-0.00012569i,-0.00033673+0.00059522i,-0.00010631+0.0005999i,0.00038121+0.00073979i,0.00037147+0.00036313i,0.00028166-0.00065127i,0.00051699-0.0010069i
-0.00035315-0.00019673i,0.00043027+0.00034199i,0.00013609-8.1067e-05i,-0.00015943-0.0013507i,3.262e-05-0.0017731i,3.6289e-05-0.00033336i,0.00029619+0.00024948i,0.00070477+0.00022225i,0.0009224+5.7317e-05i,0.00073089-0.00019841i,0.00073773-9.5269e-05i,0.00099067-0.00025291i,0.000502-0.0004588i,8.7081e-05-0.00036245i,-3.5085e-05-0.00064865i,-0.00049532-0.00074239i,-0.00032536-0.00046397i,-5.1182e-05+7.4862e-05i,0.00055733-0.00012995i,0.00062363-0.00094251i,-0.00028579-0.0002064i,-0.00030207+0.00053018i,-0.00030476+0.0006842i
0.0011422-0.0003273i,0.00076607-0.0008263i,0.00034237-0.0014801i,0.00044119-0.0013772i,0.0006124-0.0016355i,0.00037273-0.0018683i,-0.00023457-0.00050414i,-0.00045025+7.9832e-05i,-1.0225e-05-0.00082221i,0.0001925-0.0016749i,-0.0003001-0.0014764i,-0.00028235-0.00076888i,-0.00035118-3.6173e-05i,-0.00047515+0.00041727i,-0.00063663+0.00069916i,-0.0012205+0.0005523i,-0.001102+0.00016563i,-0.00025859-0.00019615i,0.00014484-0.0004709i,-0.0003234-0.00016219i,1.0063e-05-0.00043609i,0.00025988-0.00049812i,-0.0003687+0.00050057i
0.00022217+0.00084032i,-0.00023293+2.3821e-05i,-0.00097814-0.00024i,-0.00059102-0.00082674i,5.6908e-05-0.0015235i,-0.00022124-0.0010353i,-0.00052057+0.0003108i,0.00011543+0.00063948i,0.00097587-1.6801e-05i,0.00088871+0.00038554i,0.00078166+0.00087767i,0.00068398+0.00062863i,0.00061289+0.0005316i,6.4271e-05+4.1143e-05i,-7.717e-05-0.00018065i,0.00015317-0.00021345i,0.00059874-0.0004782i,0.00070589+4.7366e-05i,0.00032912+0.00032787i,3.1126e-05+0.00022692i,-8.2066e-05-2.0161e-05i,-0.00022965+3.6631e-05i,-0.0001637-9.5159e-05i
0.00023522-0.00039901i,0.00011119-0.00073021i,-0.00036116-0.0005826i,-0.0011975-0.00057603i,-0.0019104-0.0005359i,-0.0016035-8.2694e-05i,0.00032862+0.00071132i,0.0011703+0.00067i,0.0008615+7.6393e-05i,0.00093093+0.00023993i,0.00068791+0.0004912i,0.00030031-2.1136e-05i,0.00040172-2.3345e-06i,0.00019262+0.00063869i,-0.00049794+0.00098008i,-0.0012303+0.00021303i,-0.0011311-0.00045004i,-0.0010523+6.2812e-05i,-0.00058392+0.00037138i,0.00040188+6.4222e-05i,0.00064878+0.00032581i,0.00043199+0.00085853i,0.00012649+0.00088237i
-0.001384+0.00088107i,-0.0010628+0.00063507i,-0.00062035+0.0011714i,-0.00073149+0.00072676i,-0.0010995-6.2554e-05i,-0.0013852+0.00050872i,-0.0007958+0.00055915i,0.00028117+0.0001859i,0.00079976+0.0002551i,0.00075473+5.8015e-05i,0.001131-0.00049373i,0.0011891-0.0010236i,0.00095183-0.0013871i,0.0005125-0.0011594i,4.8948e-05-0.0010045i,-6.9538e-05-0.00063401i,-5.4981e-05-0.00067539i,0.00037564-0.0012826i,0.00013473-0.00084906i,-0.00052663-0.0003315i,-0.00083107-0.0006368i,-0.0007797-0.0010381i,0.0002552-0.00087337i
-0.0024462+0.00048201i,-0.0019784-0.00023958i,-0.0021783+0.0010042i,-0.00036874+0.0019794i,0.0022578+0.0015429i,0.0022485+0.00080099i,0.00088698+0.00057735i,0.00038857+0.00085331i,4.8666e-05+0.00082614i,-0.00025471+0.00010391i,0.00098546-0.00069882i,0.0021108-0.0010547i,0.00098674-0.00052735i,-0.00076493-0.0002924i,-0.0013347-0.00041821i,-0.0010622-0.00083783i,-0.00062608-0.0013504i,2.6555e-05-0.0014257i,0.00012185-0.00046836i,-0.00063039+0.00025801i,-0.0011583+0.00075371i,-0.00096787+0.00010299i,-0.00058632-0.0010058i
-0.0016233+0.00089548i,-0.0014723+0.0010816i,-0.0017493-0.000149i,-0.0014605-0.00080346i,-0.00030425-0.00034862i,0.000645+8.7279e-05i,0.0013497+0.00069147i,0.0017844+0.00055671i,0.00095375+8.5947e-05i,0.00068933-0.00028717i,0.001586-0.00026636i,0.0012867-0.00061169i,0.00054852-0.0012418i,-2.2761e-05-0.00083638i,-1.0985e-05-0.00011631i,0.00026059+0.00056501i,-4.9795e-05+0.0003112i,0.00034742-0.00016801i,0.00035609-0.00012104i,0.00018791-0.00067402i,0.00036975-0.00014552i,0.00065781+0.00040251i,0.00061673-0.00018773i
-0.0015687+0.00019518i,-0.0011693+0.00026378i,-0.00016475+0.0012095i,0.00090203+0.00075146i,0.0011745+0.00017655i,0.00054556-0.00027555i,0.00065236+0.00021304i,0.00074784+0.00051825i,0.0007986-0.00047227i,0.00063874-0.00035852i,9.4734e-05+0.00014839i,-0.00041181-0.00020328i,-0.00059598-0.0002368i,-0.00022549-1.9463e-05i,-0.00045017+0.00024433i,-0.00073523+0.00067148i,-0.00028614+0.0012933i,0.00025008+0.0012953i,-0.00040419+0.00051299i,-0.00075904+0.00040358i,-0.00012471+0.00064492i,0.00045026+0.00068907i,0.00038169+0.00066268i
0.00034369-0.00035374i,-0.00020276+0.00026243i,-8.5183e-05-0.00041983i,-0.00044943-0.00070371i,-0.00075941+6.9624e-05i,-0.00050639+0.00085461i,0.0002767+0.0010635i,0.0010215+0.00091026i,0.0012567+0.00025909i,0.00064227-0.00016362i,4.1436e-05+9.3851e-05i,-3.7359e-05+5.0716e-06i,0.00025478-0.00023951i,0.00036383-0.00019196i,0.00047763+0.00011894i,0.00052291+0.00016533i,3.3302e-05-0.00021813i,-0.00065138-0.00023464i,-0.00037933-0.00034505i,-0.00015664-0.00068064i,-3.6956e-05-0.00040317i,0.00045149-3.8396e-05i,-3.317e-05-0.00074205i
-0.0011097+0.00025187i,-0.00061934-5.6226e-05i,0.00029939-0.00060849i,0.0010744-0.00075718i,0.00068152-0.0011834i,-0.00048045-0.0012609i,-0.00072117+5.2653e-05i,0.0011187+0.0011016i,0.0023601+0.0011644i,0.0018777+0.0004418i,0.00099203+0.00033028i,0.0002899+0.00051948i,-0.00026178-8.9698e-05i,-0.0010923-7.5348e-05i,-0.0013084+5.8755e-05i,-0.00074721+5.3903e-05i,-0.00052188+5.9628e-05i,-0.00049389-0.00062103i,0.00036495-0.00097169i,0.00067767-0.00032676i,0.00022978-0.00018714i,0.00059016-0.00055776i,0.00069981-0.00022049i
