0.00050618+0.0007497i,0.00080333-0.00056732i,-0.00032266-0.00071976i,-0.0014858-0.0015729i,-0.0014534-0.0011808i,-5.8164e-05+9.8042e-05i,0.00081496+0.00078099i,0.00072789+0.0015462i,0.00051458+0.001833i,0.00048161+0.00053595i,0.00042466-0.00098913i,-0.00041274-0.0010026i,-0.0011553-0.00024638i,-0.00079693-0.0006251i,-0.00030894-0.00080876i,-4.4027e-05-0.00028299i,7.8787e-05-0.00083267i,-0.00017164-0.0014017i,-0.00046606-0.00085864i,-0.00067978-0.00045363i,-0.00039646+6.2683e-05i,0.00034315+0.00018705i,0.00027084+0.00050925i
0.0023865-0.00055471i,0.0021605-0.00042416i,0.0023588-0.00070253i,0.0021987-0.00065464i,0.0013811-0.00056751i,0.00065971-0.00067193i,0.0001453-0.00022403i,1.4997e-06+0.00044029i,0.00027849+0.0006503i,0.00037838-6.4218e-05i,2.8775e-05-0.00042265i,-0.00025682-0.00057806i,-0.00041012-0.00088543i,-4.7997e-05-0.00088257i,0.00064981-0.00020383i,0.00025354+0.00022197i,-0.00014356+9.264e-05i,0.00014665+0.00021058i,-6.86e-05+0.00013302i,-0.00014412+8.3898e-05i,-0.00020809+4.8465e-05i,-0.00053457+0.00023843i,-0.00033569+0.0007412i
0.00013126-0.0012226i,-0.00086571-0.00023779i,-0.0030074+0.00012345i,-0.0017125-5.2007e-06i,0.0007654+0.00054007i,0.0014101+0.00046954i,0.0015051+0.00015i,0.000981-0.00010161i,0.0001468-0.00042169i,-0.00056169-2.2706e-06i,-0.00047562+0.00047272i,0.00059858+0.0002895i,0.0012313+0.00038738i,0.0010954+0.0013286i,0.00045881+0.0013079i,0.00040871+0.00042702i,0.00083646+0.00057489i,0.00036942+0.00044919i,0.00032331-9.2396e-05i,0.0005327-0.0002249i,0.00060211-0.00024863i,2.6201e-05-0.00018628i,-0.00072678-0.00028762i
0.0010786+0.00018074i,0.0012954+2.4327e-05i,0.0017987+0.00016692i,0.0011354-0.00076151i,0.00058648-0.00092185i,0.00069099-0.00018673i,0.0010753+0.00023731i,0.0014324+0.0002435i,0.0013178+0.00032301i,0.00089445+0.00060252i,0.00058052+0.00028667i,-0.00016089+0.00031485i,-0.00040493+0.0010833i,-0.00044717+0.00098171i,-0.00088465+0.00061828i,-0.0010148+0.00077158i,-0.00058313+9.563e-06i,-0.00034907-0.00041223i,1.5669e-05-0.00043883i,0.00016989+0.00020137i,-0.00046652+0.00084315i,-0.00056453+0.00075677i,-0.0010239+4.9993e-06i
-0.00075353-0.00010035i,-0.0015494+0.0006407i,-0.00069703+0.0010149i,0.00035797+0.00039514i,0.00064137+0.00040664i,0.00032288+0.00081711i,0.0010458+0.00049011i,0.001011+0.00034643i,0.00022532+0.0004963i,0.00057384+0.00047968i,0.00063109-0.00049986i,0.0002924-0.00079648i,-6.3261e-05-0.00015918i,5.6591e-05+6.8979e-05i,-0.00015927-0.0002828i,-0.00084184-0.00044213i,-0.00030508-0.00039348i,-0.00018285-0.00079719i,-0.00032173-0.00081947i,-2.7606e-05-0.00013901i,-0.00048714-0.00031377i,-0.00046825-0.00038339i,2.5619e-05+0.0004855i
-0.00093956-0.00091529i,-0.00072308-0.00072148i,-0.00039453-0.00045813i,-0.00020895-0.00033131i,-0.00013171-0.00010071i,7.6083e-05-4.7432e-06i,0.00035099-0.00049647i,-0.00051285-0.00049393i,-0.0013997-0.00018983i,-0.00099772+0.00014984i,-0.00052425+0.00013835i,-1.6416e-05+0.00022205i,0.00031876+0.0008857i,-1.5901e-05+0.0004418i,1.7427e-05-0.00037813i,-2.2953e-05-0.00062952i,-0.00071981-0.00089882i,-0.00060853-0.0013583i,-0.00016227-0.0013105i,-0.00051439-0.00043358i,-0.00049185-0.0001054i,-5.3518e-05+0.00044919i,-0.00025872+0.0012568i
-0.001553-0.0012672i,-0.0017152-0.00023522i,-0.001276-0.00013583i,-0.00029824-0.00010421i,0.00013007+0.00066203i,0.00058764+0.00053751i,0.0012981+0.00020451i,0.0011717+0.00013622i,0.00064721-0.00038131i,0.00012626-0.00067453i,-0.00019263+0.00023959i,0.00021436+0.0015182i,-0.00034581+0.0010919i,-0.001144+0.00041501i,-0.00060115+0.00064551i,5.9084e-05+0.00070761i,0.0002246+0.00024549i,0.00041274-0.00030847i,0.00027062-5.0859e-05i,-0.00024982+0.00038748i,-0.00036284+0.00045591i,9.8338e-06-0.0001067i,0.0011377-0.00041772i
0.0017995-0.00027776i,0.0014198-0.0013466i,-0.00010376-0.001287i,-0.00106+0.00011047i,-0.00090237+0.00034687i,3.9329e-05+0.00011607i,0.00053868+0.00022426i,0.00021297+0.00059504i,-6.9196e-05+0.00040949i,-0.00013779+0.0001343i,-0.0005271+0.00023956i,-0.00050093+4.0043e-06i,0.00099176-0.00034953i,0.0012363-0.00013014i,0.00043009+0.00028041i,-7.5099e-05-9.0346e-05i,0.00021426-0.00025253i,0.00021348+0.00072278i,0.00075789+0.00098833i,0.0015423-0.00017988i,0.0006039-0.00039363i,-0.00034223-0.00015591i,-6.9003e-05+5.033e-05i
0.00084447-0.00071806i,0.0016326-0.0007852i,0.0020585-0.0021358i,0.0014014-0.0015485i,0.00055993-0.00069218i,0.00053319+0.00036073i,0.0002872+0.00096811i,-7.4945e-05+0.00080977i,0.00033537+0.0007007i,-9.2981e-05+6.8906e-05i,-0.00052035-0.00013674i,-0.00018101+0.0004909i,-0.00023858+0.00096134i,-0.00026758+0.0012352i,2.1276e-05+0.0016495i,2.0866e-05+0.00063395i,-0.00031462-0.00025308i,-0.00024514+0.00041793i,-0.00016691+0.00090912i,2.9221e-05+0.00070641i,0.00010757+0.00052815i,-0.00011932+0.00051537i,-0.00042097+0.00060501i
-0.00093569-0.00094992i,-0.00082637+0.00024025i,-0.0014878+0.00089917i,-0.00089617+0.0011729i,0.00030593+0.0013987i,0.00082697+0.00067323i,0.00085613-0.00054995i,0.00075376-0.0013195i,0.00025618-0.001351i,-0.00012842-0.0012054i,0.00058175-0.00084662i,0.00085099+0.0002909i,0.00039193+0.0011089i,0.00067462+0.00087558i,0.001009+0.00032803i,0.00019779-0.00018829i,-0.00054168-0.00052901i,-0.0005772-0.00064144i,-0.00071572-0.00044669i,-0.00086161-0.00038947i,-0.00065893-0.00013811i,-0.00036822+0.00022352i,3.9651e-05+0.00012379i
0.0006362+0.0020968i,0.001099+0.0017818i,0.00043293+8.4068e-05i,0.00051855-0.0017308i,0.00064486-0.00093756i,-0.00014155+0.00018567i,-0.0010491-0.00058104i,-0.0010958-0.00013833i,-0.00021048+0.0010034i,0.00011087+0.00059415i,0.00016875-0.00015348i,-8.5631e-05+9.4859e-06i,-0.00080638+1.7924e-05i,-0.00014368-0.00033142i,-0.00016622-0.00020005i,-0.00088751+5.6391e-05i,-0.00053945-0.00043318i,-0.00066154-0.00064231i,-0.00091861-6.3504e-05i,-0.00053319+7.6808e-05i,-0.00036084-0.00043413i,-0.00038429-0.00026418i,-0.00011458-0.0001351i
-0.00064493+0.0010103i,-0.00044284+0.0009338i,0.0002129+0.00082673i,0.00044092-8.5839e-05i,0.00027518-9.4804e-05i,0.00022953-0.00022114i,0.00018918-0.00073805i,-0.00019282-0.00058547i,-0.00033531-0.00038433i,6.1568e-05-0.00025264i,0.0005898-0.00038527i,0.00021705-0.00053789i,-0.0008273-0.00017955i,-0.00084176-8.5653e-05i,-0.00014264+0.00024614i,-0.00036694+5.1243e-05i,-0.00015445-0.00021421i,0.00030965+0.00073572i,0.00048826+0.0009014i,0.00060334+0.00051828i,0.00011218+0.00059543i,-0.00036465+0.00075372i,-8.7187e-05+7.1063e-05i
0.00051967-0.0005287i,0.00051012-0.0010658i,0.00078481-0.0010661i,0.00098078-0.0012152i,0.0010151-0.00073513i,0.00023889-0.00064814i,-0.00014285-0.00088122i,0.00024097-0.00036636i,0.0008116+0.00011656i,0.0005431+0.00029572i,-0.00033348+0.00028313i,-0.00068443-0.00019253i,-0.00049921-0.00040358i,-2.994e-05-6.5613e-05i,-0.00027047+9.2326e-05i,-0.00063133-0.00040377i,2.6985e-05-0.00077089i,0.00031469-0.00021839i,0.00015743+8.491e-05i,0.0007868+0.00041777i,0.00091078+0.0012665i,0.00036749+0.00068911i,-8.0541e-05-0.00050634i
-0.0013063+1.9587e-05i,-0.0014189-0.00052955i,-0.0015939+0.0001891i,-0.00065691+0.0003589i,0.001068+2.8122e-05i,0.0016987+2.1705e-05i,0.00065955+0.0006485i,-0.00063254+0.00035162i,-0.00062277-0.00022332i,0.00031982+0.00016956i,0.00062927+0.00012279i,0.00020169+8.2475e-05i,0.00079851+0.00062898i,0.00069488+9.9405e-05i,0.00063778-1.5743e-05i,0.00059017+0.0006027i,0.00011345+0.00063642i,-8.3937e-07+0.00041109i,-8.4784e-05+0.00012689i,-8.6363e-05-4.2161e-05i,0.00011958+0.00050202i,0.00031321+0.00084658i,0.00053566+0.00097215i
