-7.2031e-05-0.00051637i,0.00041711-0.0015165i,1.2876e-05-0.0027602i,-0.0013412-0.002508i,-0.0024-0.00038068i,-0.0020013+0.0017717i,-0.00086762+0.0027678i,0.0002651+0.0027201i,0.00088538+0.0020296i,0.00058709+0.0015544i,-2.379e-05+0.00048478i,0.00046493-0.00050705i,0.0004125-0.00027804i,-0.00096944-4.9613e-05i,-0.00086597-9.0688e-05i,0.00024475-0.00048083i,0.00036523+0.00016481i,0.00065601+0.00052819i,0.0011955-0.00056849i,0.00023874-0.0011262i,-4.6661e-05-0.0008358i,0.00038931-0.0004312i,0.00052788+9.364e-05i
-0.0011088+0.00033395i,-0.00019359+2.7541e-05i,0.00086822-0.0011455i,0.00053941-0.0018788i,-0.00021088-0.00087964i,-6.6423e-06+0.00040129i,0.00040331+0.00087693i,0.00042899+0.00082847i,0.00051054+0.00049262i,0.00061798+0.0002086i,0.00034943-0.00010117i,1.5028e-05-0.00037898i,-0.00040842-0.00057943i,-0.00048339-0.00097143i,9.2328e-06-0.00012451i,0.00053373+0.0007423i,0.00021324+0.00047169i,-0.00027586+0.00010722i,-0.00010917+0.00031309i,-0.00019867-0.00012834i,-0.00032143-0.0010167i,-0.00015506-0.00077153i,1.3593e-05-0.00056741i
0.0014785+0.0016989i,0.0010548+0.0021791i,0.001762+0.00062979i,0.0013843-0.0012647i,-0.00017054-0.00021586i,-0.0012743+0.0017285i,-0.00090501+0.0021265i,-0.00013131+0.00095497i,-1.3181e-05+0.00035328i,0.00011939+0.00036383i,0.00019352+0.00025635i,-0.00062123+0.0006554i,-0.0009568+0.00089355i,-0.00051638+0.00062814i,-0.00050916+0.00049367i,0.00063749+0.00040463i,0.0014584+0.00048177i,0.0009057+0.00020542i,0.00089814-0.00089223i,0.00089219-0.0012035i,0.00016517-0.00044197i,0.00034926-0.00068067i,0.00033976-0.00081284i
0.00062473+0.0013394i,0.00117+0.00088543i,0.0010015+0.00085803i,-0.00013493+0.00080042i,-0.0016198+0.00031203i,-0.0018137+0.00074788i,-0.00071575+0.0011677i,-3.9411e-05+0.00045872i,-0.00012996+0.00059173i,-0.00033254+0.0013258i,-0.00035056+0.0012585i,-0.00024475+0.00040131i,0.00023543-6.0207e-05i,0.00031218-8.5564e-05i,0.00016763-0.0004195i,-3.3412e-05-0.0004554i,0.00041581-0.00011278i,0.00097106-0.00020309i,0.00074249-0.00019755i,0.00034988+0.00022652i,-0.00058256+0.00012115i,-0.0010552-0.00031109i,-0.00070175-0.00014748i
0.0010899-0.00039575i,0.0010504-0.0013777i,0.00064939-0.0023609i,-0.00014309-0.0023087i,-0.0020045-0.0013244i,-0.0027916-0.00018437i,-0.00095812+0.00057689i,0.00046221+0.0011804i,0.00019486+0.00067887i,-0.00023683-0.00032574i,-0.00018383-0.0006023i,0.00047084+6.1297e-05i,0.00073995+0.00067408i,0.00081058+0.00029911i,0.0012285-0.00049392i,0.00040976-0.00058926i,0.00042348-0.00056977i,0.0011928-0.00037412i,0.00086994-0.00026973i,5.1274e-05-7.3074e-05i,-2.4507e-05-0.00016461i,-0.00011905-0.00025337i,-0.00040021-2.019e-05i
0.0014566+0.0001284i,0.0022072-0.00019331i,0.0028777-0.0011543i,0.0021135-0.0024818i,6.6156e-05-0.001862i,-0.0006975+2.4451e-05i,-1.0634e-05+0.00055865i,3.6729e-05+4.3029e-06i,-0.00051493+0.00010658i,-0.0010656+0.00018951i,-0.00072977+8.5723e-05i,-0.00025748+0.00015071i,-0.00036639+0.0007079i,-0.00019797+0.00075495i,0.00011414+0.00065485i,-2.0791e-05+0.00079798i,0.00060054+0.0011492i,0.00064393+0.00084222i,-3.8132e-05+0.00040059i,-0.00056757+0.00067727i,-0.00063952+0.00035074i,-0.00026713-0.0004141i,-3.7652e-06-0.0007478i
0.00052677+0.00018179i,-0.00059218+0.00038121i,-0.00021495-1.5872e-05i,-0.00062391-0.00012523i,-0.001748+0.00027195i,-0.0016121+0.00055645i,-0.0011088+0.00055461i,-0.00022368+0.00071174i,0.00018413+0.001418i,-0.0010378+0.0012918i,-0.0011366+0.00023051i,-0.00051334-0.00039364i,-0.00055335-0.00039633i,-2.9582e-05+0.00014564i,0.00043872+0.00062227i,0.00017075+0.00040154i,2.5024e-05+0.00014814i,-0.00039022-0.00031016i,-0.00050731-9.1117e-06i,-0.00026514+0.00017476i,-3.7249e-05+1.6291e-05i,7.6647e-05-0.00021286i,-2.0962e-05-0.00014465i
-0.00051862-0.00070667i,-0.00075535-6.8645e-05i,-0.0012603-0.00094434i,-0.0014724-0.00049187i,-0.0013655+0.0003223i,-0.0013594+0.0010993i,-0.00052372+0.00095961i,-7.0918e-05-0.0001949i,-0.0001713-0.00040403i,-2.7814e-05-0.00023043i,-0.00035699-0.00038931i,-0.00058788-0.00053641i,-0.00018697-0.00031142i,0.00049576+0.0002184i,0.0005143+0.00048769i,0.00047556+0.00065802i,0.00041467+0.001168i,0.00024116+0.00078775i,0.0003699+0.00036822i,0.00014771-0.00020324i,0.00024881-0.00058581i,0.00032865-0.00061041i,0.00020489-0.00042745i
0.0015921+0.00059214i,0.0013673-0.0015967i,0.0017897-0.0040368i,0.0016878-0.0051666i,-0.00069949-0.0034018i,-0.0017745-0.0013049i,-0.0014331+5.7466e-05i,-0.00097446+0.00065957i,-0.00063375+0.00026518i,-0.00064869+4.6424e-05i,-9.962e-05-0.00017346i,-0.00038947-0.00064333i,-0.0007129-0.001012i,-0.00035219-0.00099107i,0.00045543-0.00010399i,0.0013912+0.00056095i,0.00063566+0.00016451i,0.00011849+0.00036027i,0.00037845+0.00033848i,0.00045113+3.8985e-05i,6.6032e-05+0.00024228i,-6.6914e-05-0.00013086i,0.00043771+2.9278e-06i
0.00079846-0.0003596i,0.0013643-0.00059723i,0.0013214-2.8966e-05i,0.00019274-0.00061333i,-0.00098525-0.000481i,-0.0013285+0.00059448i,-0.00073129+0.0012855i,-0.00040821+0.0015623i,-0.00031895+0.0013039i,0.00023666+0.0011422i,0.00064929+0.001112i,0.00044682+0.00084999i,-6.3711e-06+1.2312e-05i,-0.00038063-0.00016985i,0.00015436-0.00027888i,0.0004911-0.00013837i,0.00049783+0.00023711i,0.0006669+0.00037147i,0.00037182+0.00014908i,-0.00056579-5.7377e-05i,-0.00060863+0.00021623i,2.4404e-05+0.0010262i,-0.00078005+0.001246i
5.703e-05+0.0015075i,0.00014938+0.0010995i,0.00080891+4.7675e-05i,0.00025698-0.00039654i,-0.00095002-0.00028616i,-0.0022066-0.00017485i,-0.0016668-0.00042592i,-0.0001995-0.00016676i,-0.00014055+0.0004615i,0.00040636+0.00021637i,0.0013641-0.00024759i,0.00082771-0.00014818i,6.4005e-05+0.00019914i,-0.00010642+0.00088127i,0.00015204+0.0011901i,0.00042218+0.00074943i,0.00026471+0.00031927i,-0.00048639+0.00049065i,-0.0010436+0.00021021i,-0.00078665-9.5991e-05i,-0.00030498+0.00029839i,-0.00013494+0.00013784i,-0.00049568+8.7223e-05i
