0.0016343+0.00079218i,0.0011897+0.0001883i,-0.00023921-0.00056571i,-0.0022712-0.00014506i,-0.0033952+8.3931e-05i,-0.0035287+0.00081262i,-0.0029507+0.0016336i,-0.00056755+0.0012073i,0.0012745+0.00049337i,0.0021117-0.00042779i,0.0020663-0.0010453i,0.0011844-0.00055823i,0.00053539-0.00029393i,-0.0001371-0.00042445i,-0.0010164-0.00061637i,-0.0011582-0.00036989i,-0.0013492+1.992e-05i,-0.0014938+0.00043179i,-0.0006577+0.00024986i,3.9386e-05-0.0003262i,0.00048492-0.0003681i,0.0010411-0.00044738i,0.00086658-0.00020795i
0.0021744+0.00024945i,0.0029016+0.00048681i,0.0026102+0.00074492i,0.0017613+0.00035929i,0.00035464-0.00085344i,-0.0011304-0.00012532i,-0.00098195+0.0012486i,-0.00011101+0.00094257i,-0.00017839+0.0003615i,-0.00028264-0.00011142i,-0.00029805-0.00017465i,-0.00043873-0.00032732i,-0.00013524+0.00023717i,0.00011137+0.00098869i,6.3437e-05+0.00048439i,-0.00024699+2.924e-05i,-0.00040716+0.00021797i,-7.0378e-05+0.00013171i,0.000291-0.00017362i,0.00029071-0.00044229i,-0.00020396-0.00070657i,-0.00032342-0.0010719i,-0.00037004-0.0011212i
-0.00066127+0.0016844i,-0.00073665+0.00077064i,-0.00141+0.00025393i,-0.0022559-0.00078128i,-0.0030075-0.0016525i,-0.0025783-0.0021529i,-0.001014-0.0015002i,0.00058834-0.0002136i,0.00068422+0.00074197i,-2.3676e-05-0.0001857i,-0.00012111-0.00093073i,-9.7007e-05-0.00015737i,-0.00045989+0.00028767i,-0.00053205+0.00026678i,0.00038344+0.0002757i,0.00034548-3.9109e-05i,-0.00032834-0.00018919i,3.7744e-05-0.00038854i,0.00042505-0.00066259i,0.00051376-0.00047423i,0.00046202-0.00016846i,-5.6458e-05-0.00049822i,6.8431e-05-0.00055417i
-0.0007416+0.00072472i,-0.0013072+0.00013837i,-0.00072413+0.00043889i,-0.00088065+0.00086466i,-0.0014355+0.0003435i,-0.0013886+0.00024413i,-0.0010324+0.00039925i,-0.00038828+0.00038649i,-6.4238e-05+0.00012361i,0.00017027+0.00010618i,0.00032841-0.00053966i,0.0002003-0.0009119i,-0.00021196-0.00044108i,-0.00034099-0.00049778i,-0.00016104-0.00019254i,0.00058636+0.00033196i,0.00097769+0.00066794i,0.00056772+0.001035i,-0.00024201+0.00068905i,-0.001175+0.00014928i,-0.0010678-0.00028108i,3.0733e-05+3.3416e-05i,0.00084363+0.00080832i
0.00082325-0.00025339i,0.0014386-0.0013157i,0.001215-0.0014122i,-0.00022767-0.0016954i,-0.00081319-0.0013279i,-0.00047251-0.0003142i,0.00054986-0.0004097i,0.0012297-5.7173e-05i,0.00037736+0.00060092i,-0.00047951+0.00083329i,-3.1306e-05+0.00049062i,0.00023997-0.00020012i,-2.4746e-05-6.7927e-05i,0.00035748+5.494e-05i,4.4138e-05-0.00016164i,8.2382e-05-0.00031124i,0.00047223+1.8922e-05i,0.0009608-0.00026244i,0.0012623-0.00069386i,0.00069364-0.00059037i,-7.815e-05-0.00041377i,-0.00031346+0.000246i,-0.00079704+0.00049796i
-0.00051928+7.6808e-05i,7.684e-05+0.00097316i,0.0002643+0.0012493i,0.00028594+0.00054778i,-0.00021868+0.00016903i,-0.0012309+0.00018357i,-0.001482+0.00060697i,-0.00043145+0.00074315i,0.000447+0.00053716i,0.00022729+0.00038084i,5.4336e-05-0.00042015i,5.9534e-05-0.0014318i,7.9807e-06-0.00097267i,-0.00010979-0.00077427i,0.00031985-0.00092859i,0.00075026-0.00061518i,0.00038066-7.251e-05i,-0.00024428-9.3621e-05i,-0.00065973+7.9341e-05i,-0.00075043+7.1241e-05i,-0.00054974-0.00044814i,-0.00046273-0.00042484i,-0.00048515-0.00050123i
-0.00013236+0.0010029i,-0.0006756+0.0015198i,-0.0017041+0.00059424i,-0.003137-0.00061098i,-0.0032839-0.0010352i,-0.0027337-0.00046085i,-0.0021435-0.00013321i,-0.00023482+0.00020821i,0.0010895+0.00074521i,0.00057161+0.00067667i,0.00010788+3.7368e-05i,0.00012224-0.00058897i,-1.2677e-05-0.00095625i,-3.5373e-05-0.0007558i,-4.3626e-05-0.00026532i,-0.00016217-0.00024366i,-2.66e-06-4.0492e-05i,-0.00023049+0.00026859i,-9.2973e-05+0.00042041i,-0.00012337+0.00028649i,-7.6235e-05+0.00043209i,0.00077761+0.00093599i,0.0011704+0.00061862i
0.00080273+0.00024757i,0.00067581+0.00050574i,0.00014248+0.00044636i,-0.00023631+0.00058534i,-0.00024107+0.000432i,-0.00092901+0.00078967i,-0.0011243+0.00095281i,-0.00049871+0.00081162i,0.00017447+6.9764e-05i,-0.00034744-0.00029284i,0.00024366-0.00048491i,0.00093835-0.00063506i,0.00084772-8.73e-05i,0.00067609+0.00018432i,0.00020043+0.00024408i,3.8389e-05+0.00091256i,0.00015982+0.0012743i,-7.5353e-05+0.0012761i,-4.813e-05+0.001127i,0.00011325+0.00054068i,-0.00023281-0.00031896i,-0.00093181-0.00066045i,-0.00086405+5.9519e-06i
0.00039294+0.0004769i,0.0015576+0.00029771i,0.00087407+0.0012466i,-0.00069822+0.00029337i,-0.00096641-0.0012274i,-0.00043377-0.0019553i,-0.00031699-0.0019566i,-0.00034128-0.0011742i,-0.00042433+0.0001414i,-0.0007572+0.00044636i,-0.00038594+0.00026305i,0.00087342-1.4384e-05i,0.0013319-6.5624e-05i,0.00081327-2.5594e-05i,0.0002366-0.00047135i,0.00027916-0.00022587i,0.00033472+0.00015453i,0.00015112+1.1604e-05i,5.617e-05-0.00058499i,7.0232e-05-3.9166e-05i,0.00015627+0.0012033i,0.00013078+0.00041286i,-0.00041324-4.8344e-05i
0.00048561-0.00025596i,0.00034333+0.00076699i,-0.0010426+0.0012747i,-0.0021086+0.0016181i,-0.0021305+0.0011544i,-0.001115+0.00068005i,0.00052065+0.00094749i,0.00053917+0.00020743i,-0.00013527+0.00013848i,-0.00054202+0.00085296i,-0.00095024+0.00096416i,-0.0004435+3.219e-05i,-0.00035832-4.2549e-05i,2.441e-05-0.00012635i,0.00033954-0.00058398i,-8.9828e-06-0.00059482i,0.00045354-0.00070934i,0.001771-0.00097623i,0.0015354-0.00081551i,0.00032699+4.278e-05i,-3.3272e-06+0.00040223i,-0.00051956+0.00030309i,-0.00033654-3.6906e-05i
-0.0004307-0.0010181i,-0.00044364-0.00090209i,0.00011559-0.00064868i,-0.00020991-1.0534e-05i,-0.00055809+8.0192e-05i,-0.00037478-0.00019854i,-0.00059198+3.2415e-05i,-0.0014371+0.00025452i,-0.0017034+0.00043545i,-0.00065195+0.00050438i,2.2683e-06+0.00055182i,-0.00012742+0.00042326i,-0.00018479+3.3132e-05i,-0.00024538-0.00042626i,0.00042411-0.00019831i,0.0007614-0.00025231i,-9.9291e-05-0.0009868i,-0.00084676-0.00095918i,-0.00055086-0.0008593i,0.00039637-6.5886e-06i,0.00072637+0.00063587i,0.0003681+0.00041619i,8.652e-05-0.00023643i
-0.00027768+0.0021386i,-0.0012294+0.001205i,-0.0011437+0.0010636i,-0.00026297+0.000431i,-0.0012796-0.00039434i,-0.002246-0.0010523i,-0.0016117-0.00073799i,-0.0011265+0.00021793i,-0.00072244+0.00076131i,-7.9219e-05-7.3989e-05i,0.00030756-0.00034993i,-0.00010492-0.00049848i,-0.00038706-0.00063996i,-0.0004576-0.00066661i,-0.001195-0.00050566i,-0.0016306-0.00023428i,-0.0014154-0.00010573i,-0.00030247-0.0004515i,0.00067841-0.00081231i,0.00049855-0.00060424i,0.00051842-0.00058816i,0.00029122+0.00011576i,0.00015682+0.00018314i
-0.0013024-0.0005831i,-0.0014889+0.00043996i,-0.0017467+0.0013596i,-0.0011591+0.0003957i,-0.00042318+0.00019651i,-0.00054756+0.00053328i,-0.00020981+0.00050015i,0.00039425+0.00063145i,0.00083905+0.00064216i,0.00059625+0.00031383i,0.00030004+0.00042022i,-0.00025454+0.00053177i,-5.7321e-05-0.0002827i,-2.5813e-05-0.00060586i,-0.00066717-0.00028884i,-0.00067315-4.4925e-05i,-0.00049181+0.00034244i,-0.00020607+0.0002348i,-0.00024593+0.00025744i,-0.00010764+0.00018811i,-0.00024648+7.8796e-06i,-0.00030624-0.0003744i,-0.00078474+8.4689e-08i
0.00016819-0.00065221i,0.000936-0.0012045i,0.0010575-0.00040449i,8.5553e-05+0.00053228i,-0.0015866+0.0004822i,-0.001386+0.00092448i,-0.00017097+0.001589i,0.0002301+0.0010817i,0.0004488+0.00089627i,0.00053033+0.00023315i,0.00046431-0.00060107i,0.00031336-0.00027386i,0.00039425-0.00065606i,0.00099155-0.0014179i,1.3903e-05-0.00068378i,-0.00093254+0.00037479i,-6.1009e-06+0.00077974i,0.00055784+0.00066663i,0.00032758-0.00024576i,-0.00017157-0.0011816i,-0.0005162-0.00076791i,-5.7902e-05+6.1795e-05i,0.00055314-0.00076569i
0.00097057+0.0011896i,0.00032683+0.00095213i,0.00027288+0.00052396i,-0.00032637+2.6882e-05i,-0.0011781-0.00053573i,-0.0021172-0.00054172i,-0.0023706+0.00018404i,-0.00092891+0.0010144i,0.00074768+0.0012298i,0.0012198+0.00098639i,0.00045495+0.00018463i,-0.00022859+0.00012491i,-0.00020649+0.00017809i,0.00030844-0.00016496i,4.4716e-05-0.00043648i,-0.00019323-0.00065261i,0.00013507-0.00018774i,0.00038524+4.1726e-05i,0.00045731-0.00018978i,0.00080332-0.00027876i,0.00077751-0.0002431i,-9.5894e-06-0.00038038i,0.00011081-0.00064572i
0.00072152-0.001271i,0.00018806+8.2417e-05i,-0.0014765+0.001163i,-0.0024047+0.00059276i,-0.002858+0.00026402i,-0.0024164+0.0015457i,-0.00078528+0.0018897i,0.00018061+0.0011197i,0.00065058+0.00020572i,0.0010142-0.00015267i,0.00072387-0.000229i,0.00042109+1.2435e-05i,0.00040947+0.00032634i,5.0494e-05-0.0005554i,-0.00034482-0.0012737i,-0.00032409-0.00049323i,-0.00025921+0.00040949i,-0.00058689-0.00070988i,-0.00067927-0.0014818i,-0.0003765-0.00051757i,-0.00011096-0.0001735i,-0.00014288-0.00010799i,0.00013773-0.00032728i
