0.0016808-0.0017418i,0.0015401-0.001912i,0.0016542-0.0014167i,0.00044274-0.0010111i,-0.00019414-0.00060251i,-8.3674e-05-2.0446e-06i,3.7859e-05+6.8416e-05i,0.0002854-0.00038318i,0.00099977-0.00028177i,0.0014288-0.00077488i,0.0011088-0.0015743i,0.00038366-0.00064666i,4.9476e-05-0.0006524i,-0.00053129-0.00072178i,-0.00017986+5.3528e-05i,0.0010343-4.6304e-05i,0.001367-0.00050609i,0.0014136-0.00055173i,0.0011589-0.00031475i,5.4155e-05-0.00022695i,-0.00016159-0.00095706i,-0.00022937-0.0013749i,-0.00077098-0.00045133i
-7.6224e-05+0.0010945i,0.0010413+0.00061051i,0.0017568+0.0010515i,0.0013056+0.0011685i,0.001809+0.0009699i,0.0025596+0.0006502i,0.0024494+5.5446e-05i,0.0014009+0.00021395i,0.0011684+0.00063243i,0.001827+0.00026378i,0.00054671-0.00064618i,-0.00065908-0.0010183i,-0.00071888-0.00077815i,-0.00080658-0.00068461i,-0.00015608-0.00040935i,0.0011031+0.00048722i,0.0012143+0.00077111i,0.00055825-4.9928e-05i,0.00082146-0.00093727i,0.00076819-0.0010464i,0.00013623+0.00016831i,-0.0001387+0.0012651i,5.3443e-05+0.00091323i
-9.6948e-05+0.0019216i,0.0018379+0.0021458i,0.0023377+0.0021482i,0.0024615+0.0020183i,0.0023964+0.0017744i,0.0021612+0.00070792i,0.0018968-0.00052466i,0.0012796-0.0007574i,0.00083161-0.00031598i,0.001176-2.503e-05i,0.0014828+0.00061382i,0.00088768+0.00095447i,0.00025958+0.0011057i,-9.083e-05+0.0013766i,-0.00030212+0.0011837i,0.00059521+0.00029978i,0.0008573-0.00059439i,0.00042065-0.00038741i,0.00012324-0.00019787i,0.00047239+6.3615e-05i,0.00085945+0.00063196i,0.00059858+0.0013527i,0.00027259+0.00071834i
-0.00127+0.0011037i,-0.0013952+0.0013227i,-0.0014567+0.0019745i,-0.0004819+0.0022267i,0.00088585+0.0013188i,0.0020298+6.649e-06i,0.0015089-0.00059076i,0.00083619-1.9406e-06i,0.00081679+0.00015275i,0.00044493-0.00037506i,0.00024261-0.00020231i,-0.00058202-0.00016i,-0.00088314-0.00026228i,-0.00097059+0.00012912i,-0.00095263+9.4903e-05i,-0.00026917-8.927e-05i,0.00084292-0.00027348i,0.0017605+0.00023198i,0.0013061+0.0014173i,0.00057849+0.0011491i,0.00052482-0.00018582i,-0.00012405-0.00084628i,-0.00043059+1.8363e-05i
-0.0002145-0.0012628i,-0.00080989-0.00054516i,0.00010746-0.00042613i,0.0015322-0.00048074i,0.0016641+0.00020826i,0.0010786+0.0011149i,0.0002712+0.00095031i,0.00023044+0.00040798i,0.0007511-0.00039395i,0.001087-0.00075937i,0.00041265-0.00076983i,-0.0010095-0.00023776i,-0.0010955+0.00064425i,-0.00037468+0.00070283i,0.00011856-9.9411e-05i,0.00030724-0.00038151i,0.00011716-0.00018667i,0.00060141+0.00031264i,0.001352+0.00060204i,0.00035017+0.00054832i,-0.00042005+0.00032972i,-0.00027707-0.00012275i,3.1715e-05-0.0007629i
-0.00019994+0.0010376i,-1.5143e-05+0.001378i,0.00080988+0.0017283i,0.0019349+0.001862i,0.001533+0.0020932i,0.0012563+0.0018717i,0.00066873+0.00042803i,0.00011426-0.00036953i,0.00057772-0.00058165i,0.0011772-0.00022077i,0.0015039+0.00039815i,0.00070561+0.00028842i,1.1858e-05-0.00025234i,-1.0933e-05-0.0006984i,0.00011132-0.00052849i,0.00035704+0.00043717i,7.1427e-05+0.00088646i,0.00017934+0.00049592i,0.0011191+2.5271e-06i,0.0013708+0.00022997i,0.00081622+0.00042614i,0.00058206+0.000131i,0.00068786+6.8534e-05i
0.0013481-7.4322e-05i,0.00068179-0.0013116i,-0.00046989-0.0015066i,0.0002887-0.00088241i,0.0019761-0.00045859i,0.0023988-0.0001538i,0.0018715+0.00016968i,0.00059637+2.0018e-05i,0.00042859+0.00021947i,0.00090744+0.0004132i,0.00027648+0.00033398i,-0.0006664+0.00043347i,-0.00056266+0.00067353i,7.0404e-05+0.0005689i,0.00031673+0.00091966i,0.00034994+0.00052215i,6.6538e-05+8.2829e-05i,0.00040508+0.00059254i,0.00041049+0.00071002i,-0.00024798+0.00057369i,-0.00046921+0.0003438i,0.00033321-1.0867e-05i,0.0011623+0.00012261i
-0.00050789+0.0030836i,0.00075401+0.003874i,0.0029884+0.0044352i,0.002828+0.0036002i,0.0018467+0.0013646i,0.0019615-0.00065622i,0.0022388-0.001614i,0.0021933-0.0010001i,0.0016481+0.00022617i,0.0011011-8.0722e-05i,0.00050037-0.0013811i,-2.9398e-05-0.0011661i,-0.00021805+0.00026186i,-0.00065382+0.0014794i,-0.00037399+0.00099003i,0.00046209+3.3244e-06i,0.00079881-9.4834e-05i,0.0006207-0.0002667i,0.00078756-0.00065311i,0.00060745-0.00059761i,-0.00069465+8.0953e-05i,-0.0010585+0.00028081i,-0.0006293-0.00018831i
-0.00081082+0.0021243i,-0.00068769+0.0020865i,-0.00020323+0.0018384i,0.0013885+0.0011158i,0.002254+0.00071638i,0.0022031+0.00046515i,0.0013881+0.0009163i,0.00077957+0.0010601i,0.000549+0.00033767i,0.00045377-0.0005402i,0.00040868-0.00063055i,-0.00060115+8.1237e-05i,-0.0010895+0.0010119i,-0.00076755+0.0011742i,-0.00043217+0.00080648i,-0.00011962-5.851e-05i,0.00025476-0.00025651i,0.00067767-3.0615e-05i,0.00029509-0.0002515i,-0.00030616-0.00018698i,-0.00023279-0.00030872i,0.00010501-0.00038891i,0.00053031+0.00018332i
-0.00019473+0.00099931i,0.0014886+0.0012565i,0.001755+0.0020386i,0.0018213+0.001542i,0.0022022+0.0016163i,0.002392+0.0015263i,0.0021977-0.00028147i,0.00094989-0.00099107i,-0.00031837-0.00034911i,-0.00023173-4.5017e-05i,-8.7389e-05-0.00069955i,-0.00025904-0.00086266i,-0.00035867+0.00012402i,-0.00079854+6.6019e-05i,-0.00059701-0.001064i,-0.00039847-0.0011252i,-8.4979e-05-0.00050979i,0.00065095-8.3838e-05i,0.00064289-0.00032241i,0.00028327-0.00053575i,-0.00037255-0.00049336i,-0.00080144-0.00024013i,2.929e-05-5.52e-05i
