-0.0055102+0.00059515i,-0.0048373-0.00015363i,-0.0054033+0.0021934i,-0.0045956+0.0047266i,-0.0019178+0.0049249i,-0.00030974+0.0031406i,0.00021283+0.0021593i,0.0013288+0.0021484i,0.0011716+0.0020873i,0.00050559+0.0017842i,0.0011753+0.0011874i,0.0011362+0.00065912i,0.0006458+0.00076907i,0.00094768+0.00056345i,0.00093341-0.00014888i,0.00045867-4.4361e-05i,0.00021909+0.000484i,8.5954e-05+0.0004231i,-0.00012065-0.00022252i,-0.00028641-0.00067078i,-0.00025207-0.00029909i,0.00048051+0.00016759i,0.00067696+1.2647e-05i
-0.00029162-0.00056669i,-0.0007095+0.00084479i,-0.0011599+0.00048861i,-0.00087168-4.6081e-05i,-0.00085434+0.00059382i,-0.00044991+0.0010188i,0.00034876+0.00020424i,0.00040136+0.00010654i,-1.0942e-05+0.00043671i,-0.00088982-6.8847e-06i,-0.00075681+4.8832e-06i,-0.00032247+0.00035316i,-0.00044878+0.00048629i,-0.00013423+0.00059843i,0.00022384+0.00068396i,0.00073613-0.00041646i,0.0011544-0.0006312i,0.0011398+0.00055541i,0.00031443+0.00030962i,-0.00040903+0.00037238i,0.00010742+0.00067962i,-6.6502e-05+0.00023678i,-0.00040907+0.00018956i
0.00078475+0.00022622i,0.00061063+3.608e-05i,0.00066683+0.00051288i,0.0018004+0.00048469i,0.0018165+4.38e-05i,0.00084847-4.2755e-05i,1.212e-05+0.00034822i,-6.7849e-07+1.8762e-05i,0.00030131-0.00032919i,-0.00028386-0.00031557i,-0.00014642-0.00024683i,-8.5132e-05+0.00019975i,-0.0004152+0.00082179i,-0.00054899+0.0010743i,-0.00022165+0.00061862i,7.6879e-05+0.00041785i,-0.0003316+0.00033141i,0.00030569-0.00022696i,0.00056375-0.00021014i,-0.0003827+0.00020995i,-0.00076859+0.00041473i,-0.00076256+0.00080208i,-0.00065752+0.0007369i
0.001789+0.0005642i,0.0012489+0.00097758i,0.0013295+0.0003615i,0.00071798-0.00010744i,-5.0292e-05-7.7828e-05i,-0.00016206+0.00060725i,-0.00025355+0.0003156i,-5.397e-05-0.00057404i,0.00096613-0.00077894i,0.0019774-0.00025603i,0.00073355+0.00044631i,-0.0012368+0.00098181i,-0.0016319+0.0010898i,-0.0011522+0.00045136i,0.00021406+0.00044617i,0.001079+0.0009549i,0.00091746+0.0012641i,0.00080538+0.00096729i,0.00013761+0.00081461i,-0.0011499+0.0011274i,-0.00069422+0.00083793i,0.00053203-0.00013506i,0.00018789-0.00031702i
0.00087825+0.0015677i,0.0017462+0.0010623i,0.0023275+0.00088086i,0.002449+0.00037588i,0.0016744-0.00019035i,0.00063016-0.00017437i,0.00041996-0.00025305i,-0.00020447-0.00028055i,-0.00072539+0.00020722i,-0.00096048+0.00077703i,-0.0008284+0.0001746i,-0.00064358-0.00065968i,-0.0010297+6.226e-06i,-0.0010902+0.00027982i,-0.00061166-8.6858e-05i,-0.00056728+0.00011154i,-0.00065589+9.3288e-05i,-0.00062387-0.00040785i,5.4773e-05-0.00075236i,0.00046764-0.00059774i,8.8413e-05-0.00033617i,-0.00028279-0.00040101i,-0.00031774-0.00012683i
0.00061878+0.0011182i,0.0011421+0.00038926i,0.0012052+0.00051915i,0.00060276+0.00054759i,0.0003178-0.00022965i,0.00014794+0.00067109i,-0.0001322+0.0014425i,-0.00051851+0.00090103i,-0.00060021+0.00028554i,-0.00012839+3.5119e-05i,-0.00051799-0.00017482i,-0.00081273-0.00036737i,-7.7309e-05-4.6094e-05i,0.00025939+0.0010717i,0.0005272+0.0010525i,0.0010622+0.00032161i,0.00057054+0.00023987i,0.00036962-0.00040649i,1.2176e-05-0.00098278i,-0.0012133-0.00061325i,-0.0022354-0.00094393i,-0.0010772-0.0013653i,0.00022005-0.00064283i
-0.0014492-0.001106i,-0.0016188-0.00076518i,-0.0021163-0.00052802i,-0.0014992+0.00041835i,-0.00027516+0.00089645i,0.0002713-8.6705e-05i,0.00069742-0.00052069i,0.00089232-0.00053135i,-0.00033019-0.00066148i,-0.0010191-2.7891e-06i,-0.00033818+0.00088657i,0.00025725+0.00064438i,-3.5792e-05+0.00011211i,-0.00032485-0.0001536i,0.00061233-0.00067327i,0.0009639-0.00021593i,8.6078e-05+8.6242e-05i,-0.00073688-0.00034464i,-0.00023556-0.00023142i,0.00024751-9.6743e-05i,-0.00036805-0.0002653i,-0.00018716-0.00013507i,0.00053171+0.00064725i
0.0017442+0.00098698i,0.0017504+0.0013584i,0.0011899+0.00034505i,0.00094753-0.00057628i,0.0010694+6.6269e-05i,0.00067894+0.00052367i,-0.00014288+0.00031398i,-0.00025855+0.00054904i,-5.5624e-05+0.00040594i,-0.00019825-0.00012405i,-0.00050178+0.00022217i,-0.00077818+0.00053955i,-0.0014148+0.00045056i,-0.00087953+0.00037965i,0.00039464+0.0006655i,0.00057708+0.00039i,7.9646e-05+0.00014205i,-0.00039136+0.0005328i,0.00011295+3.8916e-05i,0.0014866-0.00037657i,0.00085224-7.7654e-05i,-0.00047957+0.00031248i,-0.00081765+0.00075071i
-0.0013024+0.0023992i,-0.0017899+0.0022646i,-0.0013708+0.003135i,-8.3941e-05+0.0025318i,0.0010047+0.0010944i,0.0011859-0.00039118i,0.00056175-0.00023832i,0.00087621+0.00021793i,0.0012801-0.00036387i,0.00073061-0.00045917i,0.00073608+0.00012538i,0.0011008+0.00073i,0.00081669+0.00070518i,0.00023006+0.00059593i,5.5129e-05+0.0003188i,6.0958e-05+0.00028457i,0.000303+0.00042155i,0.00042884+6.1059e-05i,0.00039834-0.0001623i,-0.0001318-0.00013731i,4.1081e-05-0.00057208i,0.00065067-0.00042525i,9.5561e-05-4.5522e-05i
-0.0013788-0.00078068i,-0.00076891-0.0017025i,-0.00051525-0.00048221i,-0.00041071+0.00029195i,0.00014625+0.0012735i,0.00025113+0.0012433i,-8.6711e-05+0.0008842i,-0.00043885+0.00098352i,-0.00023611+0.00079879i,0.00022338+0.00081866i,0.00039852+0.00074151i,0.0002733+0.00037034i,0.00025861+0.001123i,-0.00011932+0.0016444i,-0.0003238+0.0015342i,0.00032644+0.0010516i,-0.00012033-0.00023524i,-0.00063282-0.0005299i,-0.00048282+0.00025747i,-0.00046542+0.0010694i,-5.0677e-05+0.0009651i,-0.00038511+0.00066404i,-0.00016535+0.0010812i
0.0003546-0.00088726i,8.8685e-05-0.00087762i,-0.00040898-0.00041886i,-0.0003928-2.5398e-05i,0.0004438+0.00092642i,0.0011942+0.0016757i,0.00071224+0.0010721i,0.00035635+0.00026737i,0.00041546-0.00041268i,-0.00011363-0.0010855i,-0.0011972-0.0011164i,-0.0018432-0.00039794i,-0.0012275+0.00089621i,-0.00032213+0.0013647i,0.00029003+0.00055428i,0.00056267-1.7667e-05i,0.00069865-0.00043838i,0.0010084-0.00035084i,0.00058212+0.00023109i,-0.00012602+0.00063563i,-0.00018967+0.00045198i,-0.00050292+0.00032509i,-0.00073763-3.6233e-05i
0.00034348-7.7714e-05i,4.3092e-06+0.00053587i,-0.00013887+0.00051813i,-0.00097306-0.00067656i,-0.0007961-0.0012583i,-0.00034085-0.0010078i,-0.00068815-0.00055595i,-0.0011033-0.00030267i,-0.00090894-0.0001739i,-0.00042429-0.00018259i,-0.00034852+0.00016875i,-0.0002907+0.00015651i,-0.00035844-0.00016052i,-9.57e-05+0.00023468i,0.00011404+0.00056273i,-1.8528e-05+0.00027249i,0.00045424-0.00012197i,0.00060735+0.00017977i,0.00068217+0.00051682i,0.00023301+0.00031153i,-5.8962e-06-3.217e-05i,-0.00011658+0.00028152i,-0.0007237+0.00047261i
9.7267e-05+0.0007996i,-0.00030688+0.00017719i,-0.00045117+0.00027488i,0.00069432+0.00079271i,0.0017559+0.0010327i,0.0010718+0.00071655i,-0.00043301+0.00030022i,-0.00096373+0.00030241i,-0.00091583+0.00069109i,-6.9643e-06+0.00086403i,0.00021815+0.00092169i,-1.1275e-05+0.00051572i,8.1545e-05+0.00099011i,-0.00044514+0.001149i,-0.00021914+0.00071162i,-5.4242e-05+0.00081717i,-0.00049604+0.00013874i,0.00016836-4.1671e-05i,0.0005561+0.0010363i,-0.00018497+0.00092024i,0.00012415+0.00017659i,0.00044402-0.00012886i,0.00092143-6.9033e-05i
-8.7027e-05-0.001678i,0.00020818-0.0012783i,-0.0012618-0.00042925i,-0.0015111+0.00010461i,-0.00062855+9.5539e-05i,-0.00035344+0.00063106i,5.4072e-05+0.0010702i,0.00013888+0.00091778i,-0.00048805+0.00037084i,-0.0013221+0.00082071i,-0.0016915+0.00088114i,-0.0014375+7.0715e-05i,-0.0012902+0.00018446i,-0.0011327+0.001366i,-0.001052+0.0019698i,-0.00084652+0.0010796i,-0.00056816+0.0006799i,-0.00026606-7.3663e-05i,7.5556e-05-0.0007154i,0.00035328+0.00031487i,9.1061e-05+0.00071003i,-0.00035741+0.00041269i,-0.00059653+0.00013088i
0.00078101+0.00096958i,0.0011125+0.00056317i,0.00087637+8.6248e-05i,0.00015798+0.00026534i,-0.00083306-5.0004e-05i,-0.00097588-0.00039915i,-0.00018593+3.9014e-05i,0.00067941+0.00020434i,0.0004694+3.6396e-05i,-0.00033339-0.00032463i,-0.000142-0.0003072i,-5.2167e-05+0.00021513i,-0.00094682+0.00086267i,-0.00077065+0.00073118i,-0.00017368+0.00022068i,-0.00042488+0.00070713i,-1.6453e-05+0.00048289i,-0.0001104-3.8827e-05i,-0.00063893-0.00017319i,-0.00049006-0.00011934i,0.00014857+0.00067007i,0.00046654+0.00058334i,0.00014574-0.00020902i
0.00069194+0.0034452i,0.0013917+0.0028547i,0.0027086+0.0030266i,0.0028789+0.0013394i,0.0014861-0.00049429i,0.0004588-0.00073142i,0.00055571-0.00027798i,0.00069387-0.0003242i,0.00076097+0.00027251i,0.00037715+0.00018521i,0.00042461-0.00082422i,0.00044016-0.00073828i,-0.00029685+0.00043143i,-0.0013174+0.00035987i,-0.0019882-0.00032055i,-0.0012227-0.0003578i,0.00023776-0.00018193i,0.00079172+0.00013712i,0.00022677-5.7993e-05i,-0.00037286-0.00058457i,-2.079e-06-0.00031444i,0.0001423+3.7382e-05i,-0.0006328+0.00014309i
0.0015632+0.00047529i,0.00096081+0.00090528i,0.00095713+0.000391i,0.0015972-0.00055452i,0.00076919-0.00020529i,-0.00018577-5.8076e-05i,-7.7105e-05-0.00042115i,-5.1349e-05-0.00068919i,0.00011004-0.00078416i,-5.8178e-05-0.00063663i,-0.00048797-0.0002608i,-0.0009773+0.00077992i,-0.0011765+0.001754i,-0.00099636+0.0019951i,-0.00038612+0.0012643i,1.8589e-05+0.00020437i,-1.1031e-05-0.0003612i,-0.00025146-0.00064368i,-0.00038147-0.00070578i,-0.00023068-0.00057188i,-0.0001125-0.00052145i,-0.00026817-0.00034726i,-0.00070697-0.0003628i
-0.00064092-0.0014595i,-0.00045858-0.0016154i,-0.00045218-0.001209i,-0.00053847-0.00034684i,-0.00054707-3.3206e-05i,-0.00057402+0.00019949i,-0.00034778+0.00013968i,-0.00018033+0.00011736i,-0.00014657-0.00038614i,4.8426e-05-0.00027766i,0.00011736+0.00046084i,-0.00031789+0.00043829i,-0.00015559+1.8903e-05i,0.00039505-0.00032526i,0.00043164-0.00030986i,0.00023037+0.00017188i,0.0003354-0.00040547i,-0.0001878-0.0014319i,-0.0010082-0.0015923i,-0.00058419-0.0006415i,-0.00039228+0.00063632i,-0.00083501+0.00099194i,-0.00043889+0.0014368i
0.00070565+0.00084462i,0.0014385+0.00059542i,0.0017786+0.00043667i,0.00072917-1.5801e-05i,0.00057326-0.00058438i,0.00032437-0.00066954i,1.8455e-05+0.00029594i,0.0001882+0.0010429i,0.00019349+0.00049773i,-0.0003476-0.00046644i,-0.0010859-0.00060679i,-0.0012609+0.00014821i,-0.00073234+0.00098546i,-0.00059837+0.0014895i,-0.00042739+0.001632i,-3.8839e-05+0.00041195i,6.0981e-05-0.0003992i,0.00039347-0.00015447i,0.0010416+0.00027527i,0.00091345+0.0002621i,-0.00020363-0.00024904i,-0.00049655-0.00024228i,-0.00010042-1.2036e-05i
-0.00035079-0.00049239i,-0.0010378+0.00041564i,-0.0018185+0.00088124i,-0.0013128+0.00066965i,-0.00018667+0.0011721i,-0.00042237+0.0012723i,-0.0011133+0.00047689i,-0.00050272+0.0007195i,-0.00049062+0.00028407i,-0.00042593-0.00045176i,-0.00072562+1.0678e-05i,-0.00095503+0.0001282i,-1.1258e-06+0.00096094i,0.00045671+0.001223i,0.00025114+0.0003899i,-0.00022077+4.2567e-05i,-0.00022888+0.00028449i,7.6245e-05+0.00044887i,7.1495e-05+0.00011585i,-8.2014e-05-0.00058252i,-0.00053776-0.0014478i,-0.00038906-0.00086036i,0.00020755+0.00052174i
0.00051572-0.0017107i,-8.3373e-05-0.0021921i,4.6769e-05-0.0011477i,6.8184e-05+0.00034996i,0.00017803+0.0010566i,0.00034529+0.0012919i,-0.00019384+0.00082994i,-0.0003881+0.00040501i,-1.4631e-05+0.00060709i,0.00062117+0.00096633i,0.00052784+0.00055379i,-0.00036449-9.8123e-05i,-0.00068857+0.00023126i,0.00025734+0.00048968i,0.0007877+0.00024408i,0.00012092-0.00022028i,0.00012733-0.00076767i,0.00027114-0.00045874i,-6.1543e-05-0.00026989i,4.92e-05+9.466e-05i,0.00021163+0.0010158i,0.00045553+0.00045753i,0.00023313-7.8398e-07i
0.00083657+0.00085557i,0.00075267+0.0010768i,0.00033501+0.00093945i,-0.00021956+0.00070096i,-0.00025877+0.00010629i,-0.00041213+0.00030517i,-0.0010018+0.00051529i,-0.0013474+0.00023434i,-0.0011705+0.00047147i,-0.00082311+0.00040404i,-0.00037026+0.00034344i,-0.00026626-5.9627e-05i,-0.00088684-0.00032598i,-0.0013202+0.00026473i,-0.0005333+0.00060982i,0.0002279+0.00035296i,0.00083494+8.0665e-05i,0.0012648-9.3737e-05i,0.00096054-0.00029358i,6.0405e-05-0.00025189i,0.00031927-0.00041023i,0.00020821+0.00031933i,-0.00079334+0.00066i
