-0.0019339-0.00016513i,-0.0027939+3.399e-05i,-0.0030533-0.00071113i,-0.0023667-0.0010855i,-0.0021364-0.00086896i,-0.0024155-0.00047351i,-0.0011096+0.00014334i,-0.00018216+0.00051615i,-7.3521e-05-4.9505e-05i,0.00054642-0.00041191i,0.00035412-0.0011366i,0.00032499-0.0019832i,0.00089606-0.0018342i,0.00076303-0.001475i,0.00023701-0.0011771i,0.00014368-0.00049711i,0.00017773+0.00033051i,-0.00026312-2.7685e-05i,-0.00012879-0.00057771i,9.4345e-05-0.00046344i,0.00028327+0.00024579i,0.00033137+0.00027627i,-7.9678e-05-0.00014569i
0.00060768-0.001492i,9.2748e-05-0.0016136i,-0.0017461-0.0015588i,-0.0022115-0.00065402i,-0.00032927+9.561e-05i,0.00052548+0.00023546i,5.8519e-05+7.1609e-05i,0.00012403-0.00036592i,0.00013077-0.001188i,-0.00083471-0.0016211i,-0.00094697-0.0011369i,-0.00064486-0.00086341i,-0.00013307-0.00057452i,0.00096654+0.00089438i,0.00054156+0.0014424i,-0.00021252+0.00052489i,-0.00025595-0.00016319i,5.6061e-05+0.00012297i,-0.00023913+0.00066911i,-0.0005301+0.00053137i,0.00015164+2.1243e-05i,0.00026917-0.00083019i,-0.00050062-0.00070101i
0.00036564+9.0409e-05i,3.6603e-05+0.00054452i,0.00044036+0.00020208i,0.00078115-0.0010142i,0.0011306-0.0016216i,0.00015145-0.00099951i,-0.00079137-5.7352e-05i,-0.0006359+0.0011453i,4.2419e-05-0.00015087i,0.00071098-0.0013279i,0.00025789-0.0012292i,-0.00039677-0.0010645i,-0.00081805-0.00062623i,-0.00041641+7.0469e-05i,0.00027588+0.00049498i,0.00026301+0.00031403i,7.8075e-05+0.0002928i,-0.00021892+0.00068132i,1.3868e-05+0.0011912i,0.00047591+0.0011332i,-0.00021074+0.00073081i,-0.00052229+0.00023573i,-0.00015861+0.00016935i
-7.2222e-05-0.001028i,0.0010725-0.0015457i,0.0019003-0.0015556i,0.0024025-0.00090194i,0.0014656+0.00023268i,0.00047068+0.00076561i,1.787e-05+0.00082598i,0.00013759+0.00086517i,0.0002792+0.00052784i,1.8391e-05+0.00057701i,-0.00034517-0.00010696i,-0.00036638-0.0013846i,-0.00012802-0.00097354i,0.00026615-3.5041e-05i,0.00071793+1.2485e-05i,-0.0001444-0.00032822i,-0.0014493+2.366e-05i,-0.0014446+2.7616e-05i,-0.00028705+9.2081e-05i,0.00080829+0.00080113i,0.0011782+0.0013949i,0.00045591+0.0011389i,0.00020119+0.00052168i
-0.000345+0.00019189i,-0.0010191+0.00043523i,-0.0014909+0.00081659i,-0.00057585+0.00080091i,0.00057857+0.0006228i,0.00063579-0.00023321i,0.00063304-0.00027941i,0.00053551-9.173e-05i,0.00057201-0.00021313i,0.0015069-0.00054631i,0.00076063-0.00094012i,-0.0011082-0.001238i,-0.0018672-0.0018356i,-0.00071121-0.0021357i,0.00034333-0.0016211i,0.00046567-0.0012363i,0.00059716-0.00090829i,0.00018426-0.00094698i,-0.00092563-0.00067147i,-0.00096594-0.00021691i,-0.00014779-0.0002113i,0.00019581-0.0001267i,-0.00012645+9.3928e-05i
-0.00095529-0.0014977i,-0.0020506-0.00099906i,-0.0025077-0.0005315i,-0.0013089+4.7322e-05i,-0.00019174+0.000867i,-8.4677e-05+0.0011322i,0.00026863+0.0013425i,5.2597e-05+0.00068053i,8.9687e-05-0.00085223i,0.00048369-0.0012963i,0.00064019-0.00076264i,0.00016444-0.00056675i,-1.4314e-05-0.00034005i,0.00057824-1.38e-05i,0.00091873+0.00011561i,0.0005422-9.9685e-05i,0.00030183-0.00043642i,-5.2706e-05-0.00077301i,4.1124e-05-0.0002945i,0.00061093+0.00060689i,7.0104e-05+0.00074387i,-0.0003661+0.00013278i,-0.0002683-0.0005383i
0.0022092-0.00039294i,0.0021019-0.0010628i,0.0017834-0.0018342i,0.0012855-0.0018548i,0.00076757-0.0018409i,9.3176e-05-0.0015066i,-0.0008031-0.00085639i,-0.0010042-0.00040086i,-0.00043527-0.0010256i,-0.00054149-0.0018301i,-0.00013228-0.0017836i,0.0010507-0.00094536i,0.0012509-0.00044338i,0.0012086-0.00046094i,0.0014816+0.00012344i,0.0010262+0.00020144i,0.00018301-1.5017e-05i,-0.00014307-0.00045693i,0.0002061-0.00057906i,0.00068786+3.4631e-05i,0.00060841+6.4447e-05i,0.00018265-7.1491e-05i,0.00025309-3.5763e-05i
0.00027444+0.00019378i,0.00012824+0.0020306i,-0.00018842+0.002174i,-0.00039996+0.0005436i,0.00073997-0.0007755i,0.0016798-0.00054483i,0.00088258-6.7339e-05i,-0.00014788+0.0004276i,-0.00017638+0.00011843i,-0.00018846-0.0014529i,-2.3907e-05-0.0018189i,0.00034426-0.00055886i,-0.00019886+0.00065816i,-0.0006331+0.00015518i,-0.00075811-0.00053956i,-0.0008903-0.00031917i,-0.00084803-0.00020708i,-0.00028995-2.4559e-05i,-7.1222e-05+0.00080969i,7.7184e-05+0.0008036i,-2.8452e-05-0.00016492i,-1.3254e-05-0.0008094i,0.00064614-0.00016514i
0.00072517+0.00036953i,-2.0915e-05-0.00098284i,-0.0003203-0.0020639i,0.00021866-0.0016242i,0.00075589-0.00064194i,0.00074735-0.00040303i,0.00051832-0.00021691i,0.00021407+0.00053172i,-8.8255e-05-5.9354e-05i,3.5482e-05-0.00061336i,0.00023445-0.00013352i,0.00068606+0.00027111i,0.00056237+0.0002866i,-0.00010985-0.00019652i,-0.00043376-0.00038603i,-1.9593e-05-0.00015313i,-0.00010037+0.0003648i,-0.00059326-2.4239e-05i,-0.00059334-0.00037948i,4.1253e-05-0.00032101i,-0.00017085-0.00021625i,-0.00054456-0.00015668i,-0.00015415-0.00012537i
-0.00087453+0.0003285i,0.00056198+0.00056071i,0.0028728+0.0020075i,0.0018394+0.0020454i,0.00067667+0.00041597i,0.00090615+5.3191e-05i,-0.00028777+0.00063148i,-0.0012881+0.00014349i,-0.0004323-0.00040573i,0.00057368-0.00053528i,0.00049239-0.00094906i,0.00042879-0.00042937i,-2.2493e-05+0.00013965i,-0.00035097+4.4145e-05i,0.00040712+0.00013808i,6.3708e-05-0.00032322i,-0.00023822-0.00040066i,-4.8102e-06+0.00017755i,-4.8959e-05+0.00071775i,0.00011055+0.00086751i,-0.00010518+0.0012409i,-0.00065876+0.00092534i,-0.00083487+0.00071101i
0.00038099-0.00030093i,0.00026426-0.0014748i,0.0005944-0.0017484i,0.001119-0.002003i,0.0013342-0.0016804i,0.0015345-0.0011353i,0.0014396-0.00018916i,0.00099257+0.00020802i,0.00062604-0.0005562i,0.00066782-0.0016885i,0.00023972-0.0015426i,-0.00011531-0.00034962i,-8.8343e-05-1.1914e-05i,0.00020089-5.6105e-05i,0.00043332+3.2928e-05i,0.00021469-7.2274e-05i,0.00014278-0.00045642i,-5.6397e-06-0.00025476i,-0.00072367-7.2798e-05i,-0.0012155-0.00016494i,-0.00081271-0.00033287i,-0.00013585-0.00078666i,0.00028387-0.00056832i
-7.603e-05-0.00061839i,-0.00027774-3.1268e-05i,0.0001806+0.00048915i,0.0010529+0.001312i,0.0010376+0.0014001i,0.00082738+0.00065127i,0.00022831+8.1896e-05i,8.5963e-05-0.00065477i,0.00070047-0.0016852i,0.0013291-0.0015791i,0.00090807-0.0011793i,-0.00060148-0.00031943i,-0.0016076-0.00017477i,-0.001467-0.00060934i,-0.00083968-0.00067317i,-0.0007034-0.00075709i,-0.0011199+1.7915e-05i,-0.0011998+0.00018163i,-0.0004409-0.00075559i,-5.0254e-05-0.00048409i,0.00020957+0.00058335i,0.0011172+0.00063007i,0.00077879+0.00065295i
-0.00086109-0.00048734i,-0.0019283-0.0015033i,-0.0018972-0.0014594i,-0.00025173-0.00099785i,0.0013572-0.00017807i,0.00031439-0.00080886i,-0.0012836-0.00078154i,-0.00064397+0.00038371i,0.00075818+0.00085357i,0.00067765+0.00051784i,0.00023357-8.5792e-05i,0.00043545-0.0006611i,0.00029242-0.00050718i,0.00038718-0.00015288i,0.00052111-0.00060795i,0.00033758-0.00041926i,0.00012977+0.00043289i,-0.00016977+0.0003889i,-0.00046139+5.3179e-05i,-0.00044519-9.138e-05i,-0.00039439+6.3858e-07i,0.00024772-0.00020363i,0.00044081-0.00013322i
0.0011361-0.00050616i,0.0013162+0.00024628i,0.0011614-0.00012997i,0.0009192-0.00015198i,0.00013577+0.0014329i,-0.00011298+0.0015741i,-0.00021875+0.00011572i,-0.00044067-0.00034215i,-0.00030958-0.00014157i,0.00060639+2.693e-05i,0.00093736-0.00063439i,0.00099054-0.00058758i,0.00061333+0.00026255i,-0.00049422-0.00012783i,-0.0006311-0.00088768i,-0.00033832-0.00099867i,0.00016425-0.0011412i,0.00066632-0.0010604i,0.00025709-0.00047936i,-0.00038549-0.00042806i,-0.00077121-0.00036839i,-0.00035867+6.4112e-05i,0.00034283+0.0002384i
-0.0011059-0.0025262i,-0.0015248-0.0023257i,-0.0021174-0.0023477i,-0.0018733-0.0019032i,-0.000298-0.00064906i,0.00066644+0.00098077i,0.00063625+0.0011681i,-3.5759e-05+0.00087763i,-0.00050436-0.0001859i,0.00022332-0.001i,0.001127-0.00074779i,0.0016922-0.00065842i,0.0014168-0.00092313i,0.00060426-0.00066042i,-1.9832e-05-0.00046378i,-0.00077273-0.00054407i,-0.00041043-0.00036131i,0.00042759+0.00013658i,0.00026178-0.00016269i,0.00020004-0.0010326i,0.00050413-0.00048894i,0.00012634-0.0002686i,0.0004117-0.0006563i
-0.00034093+0.0025375i,0.00011962+0.0033789i,0.00029143+0.0034663i,0.0013018+0.0017482i,0.0026721-0.00017025i,0.0025958-0.0018639i,0.0010167-0.0016674i,5.0172e-05-0.00045708i,-3.3068e-05-0.00026769i,4.0566e-05-0.0011283i,-5.5252e-05-0.0012793i,-0.00040252-0.0010903i,-0.00085465-0.0005446i,-0.00047841-9.9768e-05i,-5.1227e-05-0.00041022i,0.00043826-0.00032785i,0.00034139+0.00049373i,-0.00042175-9.4659e-05i,0.00012133-0.00051924i,0.00028128-0.00015024i,-0.00036807-0.00012534i,-0.00031074-0.00037299i,-0.00029811-0.00042099i
-0.0013156+0.0015077i,-0.0024465+0.0022162i,-0.0019546+0.0019737i,-0.00017853+0.0017169i,0.00081799+0.0013739i,0.00069777+0.0002886i,0.00013701-0.00015149i,0.00034593+1.3448e-05i,0.00018927+0.00040069i,-0.00037963+0.00012646i,-5.5008e-05-0.00056153i,0.0002847-0.00096935i,-0.00067362-0.00064115i,-0.00092149+5.4635e-05i,-0.00070927+0.00066411i,-0.00017622+0.0011411i,-5.0656e-05+0.00061036i,-0.000942-0.00033459i,-0.00098726-0.00022774i,-0.00061566+1.5058e-05i,-0.00041126-0.00013029i,5.8291e-05-0.00026191i,0.00017188-0.00044524i
-0.00029198+0.00064539i,-9.5613e-05-0.00017018i,0.00090734+5.2289e-05i,0.0012888+0.00031477i,0.0013115+1.8273e-05i,0.00094581+0.00083168i,0.00029318+0.0013577i,0.00015305+0.00081704i,0.00024115-4.8397e-06i,0.00025262+7.2263e-05i,0.00075175+0.00039694i,0.00075605-0.00045413i,0.00042973-0.001174i,-0.00043216-0.00079578i,-0.00089521-0.00040677i,-0.00048772-0.00054861i,-0.00033186-0.00033723i,-6.8643e-05-0.00015088i,-0.0001992-0.00030872i,-0.00090633-0.00035885i,-0.0010671-1.1497e-05i,-0.00028813+8.5063e-05i,0.00037454-0.00016019i
-0.0011857-0.00079924i,-0.0015695+0.0007084i,-0.0028056+0.0016651i,-0.0023792+0.0011299i,-0.00048554-1.3639e-05i,0.00099318-0.00033601i,0.0012806-0.0001085i,0.00096542-1.9887e-05i,0.00051149-0.00050739i,1.5401e-05-0.0011092i,-0.00041357-0.0015732i,-0.0006398-0.0017238i,-0.00086985-0.0012671i,-0.00036391-0.00095525i,-0.0001072-0.00068863i,-0.00054067-0.00077143i,-0.00067435-0.00086468i,-0.00056416+0.0001882i,-0.00021775+0.0012074i,0.00042761+0.0010176i,0.00035208-0.00011895i,0.00016785-0.0007338i,0.00036692-0.00035072i
0.00056085-0.0005739i,0.00038357-0.00054898i,4.941e-05-0.00067901i,6.0063e-05-0.0013045i,0.00045184-0.00093085i,-0.00019946+0.00063928i,-0.0013316+0.00091697i,-0.0011885+0.00033106i,-0.00052585-0.00024985i,-0.00041397-0.00067871i,-0.000103-0.00088766i,0.00010184-0.0010653i,0.00036483-0.00052954i,0.0010927-0.00033294i,0.00064962-0.00031895i,-0.00059396+0.00023062i,-0.00081308-1.3481e-06i,-0.00010403-0.00049922i,0.00022034-0.00088162i,-2.3641e-06-0.00080619i,0.0001122+8.7742e-05i,0.00051588+0.00021356i,0.00077073+0.00015861i
-4.7583e-05+0.00028458i,0.00014816-0.00028004i,0.00094707-0.00023011i,0.001249-0.00036949i,0.001266-0.00044491i,0.00050926+0.00040891i,0.00018117+0.00071424i,0.00037661+0.00037024i,-0.00049042-0.00010385i,-0.00015451-6.9887e-05i,0.00049346+5.8717e-05i,0.00024777-0.00062767i,0.00043182-0.00024262i,0.00046458+0.00022772i,0.00039238-0.0001398i,0.00042215-0.0001468i,0.00018038+0.0005788i,-0.00058384+0.00056069i,-0.00057485-0.00015509i,-0.00017449-0.00039263i,0.00037243-0.0002866i,0.00061844+0.00015157i,-0.00013402+0.00025013i
