-0.002521+0.000468i,-0.00079968+0.00015757i,-0.00065816+0.00082539i,-0.00025334+0.0020607i,0.00010704+0.0030749i,0.00063902+0.002881i,0.00038593+0.002282i,-0.00013812+0.001977i,0.00063332+0.0014514i,0.0018926+0.00061305i,0.0015332-0.00064062i,0.00088934-0.00078941i,0.00059079-0.0009417i,0.00068861-0.0014866i,0.001182-0.001262i,0.00056596-0.00076829i,-0.00019635-0.00023527i,-4.1355e-05+0.00010426i,9.6259e-05+0.00011924i,-7.7896e-05-0.00021715i,5.2232e-05-0.00028539i,-0.00010103-0.0011046i,-0.00072718-0.0011416i
-0.0028763-0.00017402i,-0.0017117-5.8954e-05i,-0.0015122+0.00066907i,-0.00092796+0.0014291i,0.00017692+0.0013071i,0.0012618+0.00095279i,0.0017763+0.0015752i,0.0011002+0.0016957i,-1.4029e-05+0.0005078i,-0.00028323+0.00035339i,0.000191+0.0010005i,0.00029529+0.00045163i,7.4869e-05-0.00087468i,0.00031685-0.0014133i,0.00091374-0.0013481i,0.00050381-0.0012774i,-0.00061834-0.00060225i,-0.00018579-0.00025436i,8.4017e-05-0.0004101i,-0.00021747-5.5658e-05i,-0.00012758-0.00027774i,-0.00010402+0.00032104i,0.00033795+0.00032906i
0.0014398-0.00025485i,0.00020182+0.0004829i,-0.00037325+0.00081081i,0.00062193+0.0013034i,0.0010068+0.0013199i,0.0010072+0.00086269i,0.00090105+0.0010024i,0.00021856+0.00050757i,0.00023009-0.00013757i,0.00057553+7.84e-05i,0.00013828+0.00017211i,-0.00070274+0.00017739i,-0.00067673-0.00014671i,-0.00035431-0.00018583i,0.00013544+0.00072189i,0.00017485+0.00083757i,-0.00062675+3.9143e-05i,-0.00071563-0.00032146i,-9.0324e-05+0.00023432i,0.00045793+0.00048017i,-0.00010295+0.00026264i,-0.0011029-0.00054017i,-0.00077902-0.0011481i
0.00020277+0.0032669i,0.00030938+0.0024099i,0.0012692+0.00058918i,0.0016257-0.0002416i,0.0019215+0.00045159i,0.0010738+0.0010298i,3.8307e-05+0.00086954i,-2.6413e-05+0.00089429i,0.00044925+0.00037125i,0.00016465-0.00046392i,-0.00033143-0.00062335i,-0.00077599-0.00074761i,-0.0011525-0.00066009i,-0.0013323-0.00044885i,-0.00058399-0.00071688i,-7.5301e-06-0.00015701i,-0.00013776+0.00027709i,8.1727e-05+0.00036715i,-0.00063309+0.00044289i,-0.0011191-0.0004045i,-0.00032305-0.00096042i,0.00022856-0.00067627i,-4.0412e-05-0.00064672i
0.0012501-0.0026577i,0.0011182-0.0027649i,0.00029429-0.0021552i,-0.0006564-0.0014016i,-0.00036413-0.00021997i,3.0706e-05+0.0013001i,0.00011894+0.0010864i,0.00049214+0.00043082i,0.00029222+0.00079362i,0.00043923+0.00066991i,0.00033916-9.8912e-05i,-0.00074067-0.00051978i,-0.00048759-0.00064548i,-5.5744e-05-0.00040868i,-7.6818e-05+0.00028017i,0.00021252+0.00026247i,-7.738e-05-0.00026425i,0.00038323+0.00025816i,0.00045268+0.00071281i,-0.00040134+0.00014928i,-0.00089097+0.00038587i,-0.00072351+0.00050624i,-0.00013261-0.00043803i
0.0002048+0.0021083i,0.0013116+0.0018562i,0.0016059+0.00097673i,0.0012295+0.00069794i,0.0014463+0.00084139i,0.0020694+0.0017995i,0.0010893+0.0015326i,-0.00031788+0.0003117i,-0.00042491-0.00067326i,0.00022465-0.00096406i,0.00018377-0.00066929i,0.00030202-0.00034546i,9.4791e-05-0.00074967i,-0.00029841-0.0013271i,-0.00054187-0.00055388i,-0.00041586+0.00017776i,-5.1545e-05-0.00014698i,-0.00047506-0.00042021i,-0.0010497-0.00071403i,-0.00046409-0.00069685i,4.2147e-05-0.00038646i,0.00056565-0.00016381i,0.00081387+4.4999e-05i
0.0014482-0.0009594i,0.0010426-0.0017655i,0.00034714-0.0018357i,-0.0004041-0.00031521i,-0.0011113+0.0004406i,-0.0012416+0.00089741i,3.701e-05+0.0013171i,0.0005766+0.0007954i,-0.00026287+0.00043785i,-0.0011631+0.00039735i,-0.0009675+0.00029097i,-0.00046983+0.00048229i,-0.00034076+0.00030081i,0.0003935+3.8887e-05i,0.00028162+0.00036244i,-9.9555e-05-0.00010675i,0.00016036+3.5236e-05i,0.00012828+0.0010759i,0.00030243+0.0010305i,0.0007179+0.00029899i,0.0004987-0.00057795i,-0.00017156-0.0010347i,0.00066991-0.00042558i
-0.00018985+0.0019865i,0.00039499+0.0020466i,0.00040487+0.00091653i,0.00059211+0.00048431i,0.00086432+0.0005895i,0.0001982+0.0011641i,-0.00034505+0.00067091i,8.9582e-05+3.2911e-05i,0.00029949+5.2283e-05i,0.00037278+0.00027933i,0.00035907-0.00021789i,-0.00019895-0.00086737i,-0.00050494-0.00063986i,-0.00038193-0.00073072i,-4.7509e-05-0.00091953i,-5.6625e-06-0.00031045i,-0.00035498+0.00056525i,-0.0004997+0.00050578i,-0.00069222-0.00040252i,-0.00017719-1.2722e-05i,7.155e-05+0.00050616i,-0.00050028-0.00023172i,-0.00028342-0.00082228i
0.002358-0.001488i,0.0026383-0.001642i,0.0019213-0.0017118i,0.0006102-0.0011998i,0.00038543-0.00043174i,0.00057772+0.00055793i,0.00063561+0.0010345i,0.00038651+0.0010903i,-0.00017117+0.00078104i,0.0001623+0.00057303i,0.00043639+0.00069921i,0.00016613+0.00031325i,0.00021006+0.00028844i,0.0007121+0.00029853i,0.00018715+0.00024016i,-0.00018981+0.00041471i,0.0004641+0.00056476i,0.00052488-2.4446e-05i,0.00024854+0.00023912i,-4.4372e-05+0.00071708i,-1.843e-05+5.7683e-05i,0.00055383-0.00042471i,0.00032401-0.00040786i
0.0017964+0.0017705i,0.0027041+0.0013326i,0.001519+0.001095i,0.00057808+0.00075494i,0.00054773+0.0014509i,0.0005228+0.0022842i,0.00017271+0.0012206i,-0.00030311-8.4108e-05i,-0.00013422-0.0004929i,0.00060359-0.00077737i,0.0010265-0.00013797i,0.00023122-0.00020984i,-0.00063288-0.00078597i,-0.0010326-0.00063694i,-0.00056104+3.781e-05i,0.0010155+6.4143e-05i,0.0014048+8.2409e-05i,0.00075554+4.1328e-05i,0.00044656+0.00028996i,0.00053751+0.00066473i,0.00059279+0.00088201i,0.00046701+0.0010527i,0.00015409+0.00047085i
-0.0012146+0.00092304i,-0.0024901+0.00057014i,-0.0020821+0.00073571i,-0.00079632+0.00087024i,3.4735e-05+0.00044683i,-3.647e-05+0.00069247i,0.00044007+0.00084085i,0.0005572+0.00016056i,6.5244e-05+0.00013942i,0.00063408+0.00071567i,0.00059548+0.0013289i,-8.862e-05+0.0010096i,-0.00018562-7.7757e-05i,8.2293e-05-0.00079253i,-9.5353e-05-0.0011247i,-0.00029777-0.0012248i,-0.00016115-0.00083948i,-0.00015229-0.00058639i,0.0003562-0.00066031i,0.00012084+0.00022905i,0.00011465+0.00094244i,0.0011841+0.00074367i,0.00048431+9.6429e-05i
