-0.002521+0.000468i,-0.00079968+0.00015757i,-0.00065816+0.00082539i,-0.00025334+0.0020607i,0.00010704+0.0030749i,0.00063902+0.002881i,0.00038593+0.002282i,-0.00013812+0.001977i,0.00063332+0.0014514i,0.0018926+0.00061305i,0.0015332-0.00064062i,0.00088934-0.00078941i,0.00059079-0.0009417i,0.00068861-0.0014866i,0.001182-0.001262i,0.00056596-0.00076829i,-0.00019635-0.00023527i,-4.1355e-05+0.00010426i,9.6259e-05+0.00011924i,-7.7896e-05-0.00021715i,5.2232e-05-0.00028539i,-0.00010103-0.0011046i,-0.00072718-0.0011416i
0.00051981+0.0015252i,0.0014329+0.0015612i,0.002807+0.00093865i,0.0018138+0.00075503i,-0.00041587+0.00051646i,-0.0016989+0.00061946i,-0.0010428+0.001219i,-0.00039419+0.00088692i,-0.00011505+0.00043298i,-4.0806e-05+0.0001778i,0.00073359-0.00014565i,0.00071548-0.00033311i,-0.00042527-0.00083081i,-0.00025491-0.0013383i,0.00033131-0.0012993i,0.00024908-0.00099789i,0.00059472-0.00057293i,0.0004282-0.00029043i,-0.00013399-0.00057805i,-0.00041094-3.0723e-05i,-0.00059219+0.00084059i,-0.00044282+0.00090576i,6.8463e-05+0.00048808i
0.0011803-0.00074589i,0.0008518-0.0010349i,0.00060236-0.001026i,0.00020889-0.0011814i,-0.00072365-0.00098718i,-0.0016507-0.00012892i,-0.000847+0.00092221i,0.00022434+0.0016153i,0.00062808+0.00086251i,0.00055782+0.00032045i,8.309e-05+0.00011258i,-7.7476e-05+0.00020607i,5.3734e-05+0.00018878i,0.00032301-0.00016543i,0.00028559-0.00033735i,-0.00015671-0.00033791i,-0.0011927-0.00031418i,-0.00095138-0.00098052i,-1.8186e-05-0.00055807i,0.00032531+0.00035355i,0.00081998+0.00072803i,0.00068727+0.00062718i,8.9353e-05-0.00015228i
0.0038429+0.0016906i,0.0037062+0.00077422i,0.0019908-0.0010003i,-3.6215e-05-0.0018499i,-0.00042611-0.00045107i,-0.00012593+0.0018949i,0.00011698+0.0020174i,0.00050543+0.00089855i,0.00088338+4.5636e-06i,0.00060486-0.0010089i,0.0001383-0.0012797i,-0.00012417-0.0008681i,0.00013723-0.00066589i,0.0006435-2.8934e-05i,6.238e-05-6.0925e-05i,-0.00014331-0.00066605i,0.00029889-0.00037995i,0.00012173+0.00013967i,-0.0005885+0.00047954i,-0.00045137+0.0004498i,0.0001938+6.4322e-05i,6.4177e-05-0.00023021i,-3.3257e-05-0.000456i
-4.8002e-05-0.0010361i,0.00065379-0.0019532i,0.001504-0.0021659i,0.00065419-0.0010974i,-0.00060952+0.0007273i,-0.00068714+0.0022337i,-0.00071727+0.0026781i,-0.00058664+0.0015173i,-0.00035071+0.00070204i,0.00040145+0.0005456i,0.00092122+4.2528e-05i,0.0013835-0.00021695i,0.0018442+3.0687e-05i,0.0016667+0.00025196i,0.0016855+0.00011831i,0.0014795-0.00030142i,0.0010657-0.00073151i,0.00078923-0.00058272i,0.0004598-0.0004738i,0.00015826-0.00051976i,0.00053915-0.00057138i,0.00085387-0.00043566i,0.0005067+2.7131e-05i
-0.0002509+0.00024705i,0.00022593+0.0013793i,0.00016875+0.001965i,0.00065782+0.0013594i,0.0011997+0.00058909i,0.00050663+0.00020179i,2.8527e-05+0.00019259i,-0.00014622-8.1672e-05i,-0.00067745-0.00046801i,-0.00074217+0.00061223i,-0.00025887+0.0018479i,-0.00034096+0.0010953i,0.00023614+0.00037075i,0.0011638+0.00032459i,0.0014744+0.00034056i,0.001346-8.2043e-05i,0.00066308+0.000261i,-4.7907e-07+0.00058467i,-0.00034855+8.3948e-05i,6.123e-05+6.7756e-06i,0.00060908-0.0004942i,0.00030434+5.2615e-05i,-0.00041832+0.00044136i
0.00057059-0.00014635i,-0.0013204+0.00074238i,-0.0016626-0.00013819i,-0.001277-0.00086822i,-0.00087747+0.00027979i,-0.00073892+0.0015353i,-0.00041132+0.00089864i,-8.4739e-05-0.00010256i,-0.00030281-0.00017174i,-0.00048085+0.00046476i,-0.00057002+0.0008487i,-0.00085831+0.00070178i,-0.00065902-0.00011244i,0.00013093-0.00074667i,0.00035296-0.00062047i,-0.00017577-9.2849e-05i,-9.0949e-05+0.0001489i,0.0010205-2.0543e-05i,0.0010025-0.00024182i,0.00018563-0.00032491i,-0.00026738+5.2884e-05i,-0.00012898+0.0001526i,0.0004684-1.1391e-05i
0.00021177+4.9952e-05i,0.0010148+0.00053613i,0.0010997+0.0014207i,0.0010574+0.00093283i,0.0013337+0.00094271i,0.00043451+0.0020189i,1.8271e-05+0.0017871i,0.00055372+0.00026049i,0.0005832-0.00035778i,0.00016144+0.00012838i,-6.8026e-05+4.9399e-05i,0.00022039-0.00019448i,0.00035116+0.00057428i,0.00060542+0.0002676i,0.0005072-0.00079883i,-0.0002811-0.00013854i,-0.00035772+0.0006917i,-0.00033884+0.00016586i,-0.00017428-0.00063487i,-0.00048066-0.0009382i,-0.00094918-0.00022145i,-0.00045197+0.00053484i,7.9326e-05+0.00071653i
0.0040482-0.00013361i,0.0049123-0.00064694i,0.0046985-0.002243i,0.0021726-0.0016892i,-0.00023964-5.0398e-05i,-0.00087611+0.0013826i,-0.00050477+0.0027296i,-0.00013058+0.0022895i,-6.2607e-05+0.00057846i,-0.00044012-0.00058136i,-0.00052837-0.00049565i,7.4521e-06-0.00051671i,-0.00019586+0.00011272i,-0.0010419+0.00087884i,-0.0011433+0.0009531i,-0.0007196+0.0005054i,5.5284e-05-0.00039059i,0.00089713+0.00013719i,0.00072166+0.00082957i,-0.00017087+0.00022655i,-0.00079104-0.00013636i,-0.00028142+0.00027837i,0.00053244+0.00028075i
0.00067298+0.00045257i,0.00065038+0.00088313i,0.00023075+0.0011647i,0.00028162+0.0011672i,8.3913e-05+0.00095438i,0.00018662+0.00077303i,1.1318e-05+0.00033888i,-0.00048914+0.00033947i,-0.00017188+0.0005968i,-0.00017877+0.00072972i,-0.00018431+0.00055307i,0.00067692-5.7655e-07i,0.001001-0.00050637i,0.00054315-0.00051741i,0.00018066-0.00042558i,-0.0007166-0.00055977i,-0.001217-2.8202e-05i,-0.00035873+0.00050857i,0.00020285+8.9427e-05i,0.00034733+0.0003827i,0.00055471+0.00074298i,-2.4801e-05-0.00014821i,0.0002272-0.00034933i
0.00037524+0.0017769i,3.4746e-05+0.001189i,0.0010736+0.00131i,0.0016275+0.0013901i,0.0012874+0.0010489i,0.0014888+0.0010797i,0.00095993+0.0014265i,-9.7195e-05+0.0010817i,0.00015228-6.2831e-05i,0.00055366-0.0007016i,0.00034586-0.00069993i,0.00046482-0.00090043i,0.0010807-0.0010398i,0.00091056-0.0010203i,-0.0001748-0.00057352i,-0.00059489+9.5842e-05i,-3.7087e-05+0.00093914i,8.1747e-05+0.0013943i,-0.00043077+0.0004894i,-0.00075225-0.0003558i,-0.00077097+8.1342e-05i,-0.000715+0.00013128i,-0.00033835-0.00049134i
-0.00070979-8.7282e-05i,3.3817e-05-0.0001056i,0.00055752+6.9478e-05i,-0.000565+0.00052969i,-0.00056194+0.0012348i,0.00012286+0.0026811i,-2.3476e-05+0.0026621i,-0.00025115+0.0014759i,-0.00040342+0.00061756i,-0.00043841-0.00016404i,-0.00024688-0.00065654i,-0.00051991-0.00060659i,-0.00040111-0.00067069i,0.00035236-0.0004075i,0.00039974+4.9834e-05i,0.00037804+0.00059958i,0.0002099+0.00075341i,-0.00055447+0.00089172i,-0.00065324+0.00032275i,-8.574e-05-0.00094588i,0.00084845-0.00095956i,0.00071873-0.00043085i,-0.00032802-0.00011048i
0.0011794-0.0027968i,0.0012768-0.0021858i,0.00028439-0.0006951i,-0.00037253+0.00050537i,-0.00078777+0.00071628i,-0.00073591+0.0010237i,0.00033747+0.0012288i,0.0010009+0.0013803i,0.00055184+0.0010925i,0.00042808+1.4087e-05i,0.00029511+0.00031203i,0.00026944+0.00020552i,0.00061543-0.0010311i,0.00080239-0.0008106i,0.00033846+0.00044058i,6.4752e-05+0.0004046i,0.00067078-0.00028517i,0.00086943-0.00044505i,0.000481-0.00043564i,-0.00014016-0.00025489i,-0.00044491+0.00020533i,-0.00052478-0.0001695i,-0.00036235-0.00042497i
0.0020113-0.00060682i,0.00033507-0.00032074i,-0.00099019-0.00064045i,-0.00092224-0.00061218i,0.00013136+0.0003897i,0.00069+0.0016844i,0.00077713+0.001664i,0.00046409+0.00040603i,0.00016677-0.00070266i,-9.7211e-05-0.0010431i,-0.00043632-0.0011793i,-0.00011265-0.0012087i,0.00044316-0.00032866i,0.0011342+0.00082053i,0.00075522+0.00085613i,-2.2227e-05-5.3611e-05i,0.00013411-0.00036306i,1.6837e-05-1.4866e-05i,-0.00024926+0.00010459i,0.00030707-0.00020332i,0.0011588-0.00016148i,0.0010333-0.00012383i,0.00042726-0.00010281i
-0.00010977-0.0021763i,0.0011236-0.00095017i,0.0020485-0.00046579i,0.0022173-0.00035343i,0.0010863+0.0004179i,-0.00012242+0.0012326i,-0.00070271+0.0015607i,-0.00039636+0.0006563i,0.00031159-0.0005348i,2.8559e-05-0.00054904i,-0.00041958-0.00028586i,-0.0011319-0.00043071i,-0.0018104-0.00014777i,-0.00096206-0.00010703i,0.00031475-0.00068595i,0.0011766-0.00096631i,0.0018256-0.0012686i,0.0010627-0.0011425i,0.00010876+4.5422e-05i,0.00034945+0.00028554i,0.0004133+0.00020344i,0.00023913-3.4538e-05i,-3.2343e-05-0.00023928i
0.00032058+0.0017274i,-0.00080429+0.0012682i,-0.0008886+0.00038916i,0.0007634+0.00045315i,0.0004837+0.0013385i,-0.00087838+0.0027204i,-0.00010054+0.0028519i,4.609e-05+0.0020928i,-0.00014607+0.00063834i,0.0001728-0.00074296i,0.000476-0.00043232i,0.00054623+0.00026945i,-0.00019137-1.2738e-05i,-0.00036593-0.00010414i,3.1146e-05+0.00020932i,0.00023994-0.00030006i,6.5878e-05-0.0012244i,-0.00046288-0.0010467i,0.00015448-0.0001561i,0.00025856+0.00097138i,0.00028418+0.0010781i,0.00075877+0.00043933i,-0.00016184+0.00065836i
0.003105+0.00053771i,0.0030938+0.00038755i,0.0030452-0.00078864i,0.0016324-0.0020956i,-0.00092022-0.0017896i,-0.0026899+3.0342e-05i,-0.0023529+0.0013879i,-0.0010224+0.0010057i,0.00029976+0.00033369i,0.00070803-0.0004118i,0.0011363-0.0012955i,0.00071312-0.00095695i,7.0867e-05+7.6645e-06i,-0.00027409+0.00077917i,-0.0011961+0.0012502i,-0.0010362+0.00069936i,-0.00021965-0.00017758i,0.00063821-0.00017401i,0.00022016+0.00046895i,7.6785e-05+0.00023249i,-2.7542e-05-0.00078102i,-4.1635e-05-0.00097577i,0.00046442-0.00017934i
0.0046586-0.0013801i,0.0046159-0.0028976i,0.0039969-0.0044939i,0.0017954-0.0037342i,-0.001385-0.0018979i,-0.0029783+0.00045432i,-0.0024743+0.002411i,-0.00081174+0.0023678i,0.00028215+0.0011018i,0.00023549-4.5e-05i,-0.0006603-0.00048264i,-0.00082399-0.00010569i,-0.00047784+0.0007551i,-0.00081204+0.0015054i,-0.0007021+0.0013962i,-0.00026301+9.4911e-05i,0.00031466+0.00022128i,0.0005819+0.00095034i,0.00026722+0.00091865i,-0.00068257+0.00083191i,-0.0012919+0.00042156i,-0.00078637-0.00027449i,-0.00031497-0.00013099i
-0.006748+0.0037189i,-0.0062821+0.0064772i,-0.0037573+0.010483i,0.00082049+0.0096291i,0.0045027+0.0060683i,0.0055665+0.0012803i,0.0029011-0.00027531i,0.00013942+0.00051588i,-0.00082301+0.0010246i,0.00084043+0.001734i,0.0025077+0.00077333i,0.0018702-0.0011994i,0.0011059-0.0023689i,0.0018128-0.0030988i,0.0030721-0.0033903i,0.0023835-0.0023968i,0.00047235-0.0011044i,-0.00019172-0.00015038i,4.8995e-05-0.00016093i,-0.00017519-0.00072114i,-0.0010056-0.00057432i,-0.0010465+0.00058406i,-0.00076582+0.00091932i
-0.0011255+0.0015736i,-0.0012138+0.0025063i,6.3623e-05+0.0023152i,0.0010294+0.0010182i,0.0017832-1.3988e-05i,0.0013511-0.00045121i,-0.00013205+0.00015768i,-0.00085619+0.00047136i,-0.00041787+0.00034989i,3.7517e-06-0.00025137i,2.4402e-05-0.00095008i,-0.00036787-0.00094244i,-0.0001522-0.0006393i,8.5748e-05-0.00040461i,0.00018762-0.00058169i,0.0004031-0.00064243i,4.7651e-05-0.00038501i,-0.00045224-6.6176e-06i,-0.00051292+0.00028988i,-0.00028992-6.9819e-05i,2.7833e-05-0.00071298i,0.00042285-0.00044019i,-1.1747e-05-0.00013238i
-0.0030342+0.00058142i,-0.0029395+0.0022384i,-0.0015827+0.0038257i,0.00054237+0.003171i,0.0019733+0.0026422i,0.0014446+0.0019623i,-2.7676e-05+0.00097301i,-0.00059717+0.00085644i,-0.00083316+0.0004617i,-0.00098171+0.00043944i,-2.2139e-05+0.00078131i,0.00088354+0.00029009i,0.0012238-0.0004719i,0.0015039-0.0011434i,0.0015449-0.0015023i,0.00092655-0.00055425i,0.00033265+0.00034791i,-0.00024722-0.00024267i,-0.00038061-0.0013602i,0.00017051-0.0010455i,0.00033611-5.0172e-05i,0.00028308+0.0010153i,0.00034754+0.0010264i
0.00094132-0.00066054i,0.0014616-0.0014655i,0.0017507-0.001264i,0.0014865-0.00025669i,0.0012435+0.0006731i,0.0012009+0.0015835i,0.00051186+0.0015998i,6.2964e-05+0.00067694i,-0.0001281-0.00011136i,2.0053e-05-0.00041181i,2.4379e-05-0.00059984i,-8.6261e-05-0.00081056i,0.00060822+0.00038304i,0.00090354+0.00084998i,0.0011872+0.00028985i,0.00047413-0.00034654i,-0.00093185-0.00065453i,-0.00083911-0.00019831i,-0.00082885-0.00088088i,-0.00068008-0.0011359i,0.0002257-0.00073834i,0.00070111-0.00011601i,0.0004283+3.6263e-05i
0.00017903-2.8046e-05i,0.00011797+0.0024375i,-0.00088745+0.0028497i,-0.0010489+0.0024554i,0.00012227+0.0028791i,0.00085014+0.0030172i,0.0007565+0.0021769i,0.00026621+0.00061718i,0.00040858-5.3491e-05i,0.00068482-0.00017487i,-0.00011278-0.00046818i,-0.00060284-0.00042889i,-7.6692e-05-2.8804e-05i,0.00055239-0.00039628i,0.00086277-0.00050346i,0.00097703-0.00017449i,0.0006334+0.00011203i,0.00023275+0.00022204i,0.00014106-0.0003468i,0.00061659-0.00064555i,0.00078113-0.0005782i,0.00015258-0.00053716i,-0.00017012-0.00053205i
-0.0002084+0.00081506i,0.00097962+0.0011821i,0.0018442+0.00083852i,0.0014605+0.00042993i,0.0008029+0.0011207i,0.00029984+0.0019042i,-0.00052755+0.0018632i,-0.00054182+0.0011269i,-0.00035562+0.00083283i,0.00014009+0.0011174i,0.00068279+0.00056143i,0.0006188-0.00053663i,5.2133e-05-0.00090227i,-0.00041214-0.00072432i,-0.00048055-0.00024086i,-0.0011309-5.2434e-05i,-0.0012236-0.00022918i,-0.00066263-2.8552e-05i,-0.00067392-0.00011771i,-0.00014415-0.00041609i,-6.4559e-05-2.3086e-05i,0.00029662-0.00023532i,0.0009248-0.0003762i
0.00019122+0.00094927i,2.3666e-05+0.00062317i,0.00039948+0.00012947i,0.00014185+0.00018937i,0.00017002+0.0013562i,0.00018373+0.0027413i,0.00035754+0.0029551i,0.0005965+0.00088074i,0.00070996+0.00026292i,0.00052728+0.00026966i,0.00034222-0.00079613i,-0.00017613-0.0013433i,7.7723e-05-0.0010835i,0.0011892-0.00046628i,0.0011315-0.00039419i,0.00050993-0.00022762i,5.1385e-05-0.00038361i,-0.00040213-0.00057659i,-0.00050577-0.00022928i,-0.0005385-0.00032889i,-7.2724e-05-0.00042166i,0.00020522+4.6929e-05i,0.00085146+0.0007114i
0.0015187+0.0015296i,0.0014207+0.0014345i,0.0012781+0.00039148i,0.001359-0.00093832i,0.0010231-0.0010423i,-6.001e-05+0.00026671i,-0.0007564+0.0013532i,-4.9757e-05+0.0023367i,0.00080239+0.0014102i,0.00064383+0.00061313i,0.00045771+0.00037918i,0.0001726+0.0003339i,-0.00085165+0.00075165i,-0.00047744+0.00059725i,0.00028822+0.00054004i,-0.00013044+0.00012564i,-0.00048767-0.00023749i,-0.00075767-0.00033423i,-0.0012861-4.4586e-05i,-0.0010924-9.4522e-05i,-0.00026726-0.00040632i,4.9789e-05-0.00060171i,0.00040163-0.0004623i
0.0024926-0.00018916i,0.003392-1.8643e-05i,0.0019132+0.00037766i,-0.00027823+0.00081106i,-0.0010188+0.00073798i,-0.0010321+0.00099619i,-0.0010612+0.0012743i,-6.3083e-05+0.0013999i,0.00044107+0.0014436i,0.00045459+0.0011727i,0.0004817+0.00056475i,0.00035553-9.699e-05i,0.00061258-9.9147e-05i,0.00036985-5.5475e-06i,-0.00013891-0.000302i,0.0003498-0.0005062i,0.00047545-0.00045282i,-0.00013459-0.00037305i,-0.0006686+0.00017498i,-0.00068042+0.0004119i,0.00023529+0.000671i,0.00061296+0.0011425i,0.00032932+0.00037387i
0.0025071+0.0029325i,0.0033359+0.0019792i,0.0042377+0.00042927i,0.0029677-0.001359i,0.0011589-0.0015915i,-0.00057604-0.00013628i,-0.0011893+0.00090781i,-0.00016116+0.00076924i,0.00044126+0.00040249i,0.00084235-0.00047585i,6.6665e-05-0.001032i,-0.00078118-0.0010399i,-0.00093792-0.0011316i,-0.0012878-0.0014608i,-0.0016207-0.0011886i,-0.0012665-0.0010318i,-0.00038152-0.00057583i,0.00014506+0.00050722i,-5.7973e-05+0.00059523i,-0.00041679+0.00027608i,-0.00056289+0.00045866i,-0.00051432+0.00014694i,-0.00043336-0.00010905i
0.00036809-0.00018483i,0.0018478-0.00080822i,0.0031406-0.00047207i,0.0021006+0.0012756i,0.0007447+0.0024413i,0.00033218+0.0022974i,0.00036377+0.0023798i,-0.00011297+0.002268i,-0.00042363+0.0011054i,-0.00011161+0.00031836i,-0.00070504-3.8399e-05i,3.6214e-05-0.00013791i,0.00098681-0.00053698i,0.00088137-0.0010398i,0.00090239+6.7167e-05i,0.0012596+0.00071376i,0.0006463+0.00032349i,-0.00046656-0.00054995i,0.00017111-0.00037277i,0.00078326+0.00039977i,0.00085758+0.00040199i,0.00058444+0.00064856i,-2.8978e-05+0.00020726i
0.001544+0.0014877i,0.0014343+0.0011948i,0.0021647+0.0010335i,0.0015279+0.0005394i,0.00067838-7.108e-05i,0.00036928-0.00043496i,0.00015859-5.8807e-06i,0.00022361+0.0012032i,0.00062629+0.0013044i,0.00035357+0.00078428i,-0.00013655+0.00014759i,-8.7759e-07+5.9364e-05i,-0.00019954+0.00019048i,-0.00014254+0.00019675i,0.00040984-0.00026924i,0.0006582-0.00029276i,0.00051695-0.00017097i,-2.3896e-05-0.0002633i,-0.00048032+0.00040907i,-0.00084667+0.0011009i,-0.00059801+0.00087881i,-0.00061606+0.00044356i,-0.0010525+0.00027261i
0.00047058+0.0011517i,-0.0001154+0.00026627i,-9.6786e-05+2.678e-05i,0.00062214-0.0005331i,0.0012581-0.00095462i,0.0012099-0.00043117i,-0.00013326+0.00043649i,-0.00042946+0.00060682i,0.00052427+3.4521e-06i,0.0013808-0.00044043i,0.00091288-0.00078516i,0.00037411-0.00076749i,0.00023167-0.00010711i,-0.00016598-0.00027802i,-0.00062877-0.00092248i,-0.00080833-0.0010489i,3.011e-05-0.0006418i,9.688e-05-1.0248e-05i,-0.00089716-0.00032114i,-0.001256-0.00018256i,-0.00015304-8.7205e-05i,0.0011321-4.1585e-05i,0.00093382-6.0253e-05i
0.00071472+0.00012887i,0.00049529+0.00058019i,0.0011355-0.00013744i,0.0014754+0.00010176i,0.00034185+0.001551i,-0.00083762+0.0023847i,-0.00076494+0.0019194i,-0.00043275+0.0012188i,-0.00040563+0.00068676i,-6.2016e-05+0.00012692i,0.00057049-4.2041e-05i,0.00099252+7.9266e-05i,0.00059011-0.00017449i,0.00070169-0.00092451i,0.0010324-0.0011796i,0.00047692-0.00053411i,0.000256-0.00023647i,0.00033501-0.00089872i,-0.0005855-0.0015999i,-0.0012119-0.0015817i,-0.00077686-0.00087079i,-0.00035023-0.00052709i,0.00010168-0.0011261i
0.00054015-0.00033918i,-0.00029028-0.0005865i,-2.682e-05-0.0008541i,0.00035326-0.00055767i,-0.00015551+0.00069104i,-0.0002878+0.0018245i,-0.00016258+0.0021049i,-0.0003806+0.0013826i,-0.00018226+2.6389e-05i,-8.3949e-05-0.00058716i,-0.00061453-0.00010511i,-0.0006515-5.0185e-05i,0.0003587-0.00048546i,9.3696e-05-0.00046747i,-0.00019195-0.00058977i,-9.1378e-05+0.00029683i,-0.0002059+0.0010096i,0.00027362+0.00081718i,5.8844e-06+3.2964e-05i,-0.00044343+0.00012631i,-0.0002796+0.00088367i,0.00049194+0.0012017i,0.0014136+0.00042844i
0.0031184-0.00041267i,0.0035029-0.00071808i,0.0022464-0.00046555i,0.00035427-0.00080812i,-0.00021351-0.0013605i,-0.0008233-0.00060767i,-0.0010803+0.00082253i,-0.00094521+0.0011723i,-0.00014657+0.00017263i,-9.0346e-05+0.00010333i,-0.00040911-0.00026965i,-0.00067616-0.00089375i,-0.00074735-0.00010816i,2.0732e-05+0.0006665i,0.00059053+0.0001015i,0.00077542-0.0007716i,0.00085638-0.00062195i,0.00012822-0.00052849i,-0.00031757-0.00025379i,-0.0006365+0.00018157i,-0.00072988+0.00014794i,-0.00053756-2.3517e-05i,-0.00040921+0.00014481i
0.0010904+0.0024011i,0.00074172+0.0020414i,0.0011946+0.0006617i,0.00028318-0.00012617i,-0.0010144+0.00035354i,-0.00059439+0.0013002i,-0.00048315+0.0014165i,-0.00073083+0.001152i,-0.00051009+0.00071995i,-0.0003365-0.00015469i,9.4208e-05-0.00087363i,-0.00011312-0.00036059i,-0.00027796+0.00060625i,0.00054782+0.00024171i,0.0014066-0.00010975i,0.0012626+0.00014926i,0.00081579-0.00013031i,0.00026975-0.00058394i,-0.00011242-0.00080677i,0.00019829-0.00027461i,0.00073707-0.00010292i,0.00089205-0.00035383i,0.00057695-0.00059512i
0.0023075+2.2209e-05i,0.002534-0.00080015i,0.0018056-0.0011546i,0.00082334-0.00029805i,0.00035338-0.00069372i,-4.4878e-05-0.00028082i,-0.00059858+0.0010086i,-0.00038378+0.0014698i,0.00053817+0.0013928i,0.00025348+0.00026229i,-0.00070704-0.00092922i,-0.00036411-0.00060334i,0.00024538-0.00029246i,-0.00032549-0.0001622i,-0.00026846-6.0043e-06i,-0.00044374+7.7178e-05i,-0.00052122+0.00039828i,6.6772e-06+0.00073679i,-5.9851e-05+0.00033331i,-0.00029536-1.422e-05i,-1.9498e-05+1.1719e-05i,-9.2195e-05-0.0006496i,-0.0004823-0.0010701i
-0.00070979-0.00028523i,-0.00077818+0.00032638i,-0.00088267+0.00087535i,-0.0017952+0.001228i,-0.0018656+0.0017131i,-0.00096127+0.0018163i,-0.00056378+0.0019208i,0.0004544+0.0014654i,0.00072733+0.00074571i,-0.00024259+0.00048819i,-0.00011834+0.0003523i,0.0006239-0.00032788i,0.00078011-5.0525e-05i,0.00087529+0.00083936i,0.0011617+0.0011877i,0.00094812+0.00095249i,0.00022245+0.00025776i,-0.00010313-0.00024751i,-0.00041038-0.00019724i,-0.00017655-0.0003536i,0.00074837-0.00049837i,0.00091107-0.00045741i,0.00099081-0.00013889i
0.0021592+0.0014311i,0.0023138+0.00085612i,0.0020713-0.00069013i,0.0015149-0.0012401i,0.00027867-0.00064355i,-0.00012384+0.00017698i,-0.00039618+0.00071213i,-0.00064508+0.00043245i,0.00029182-0.00025301i,0.0003655+6.0536e-05i,0.0001932+0.00057911i,0.0010106+0.00044562i,0.00093556+0.00079097i,0.00052064+0.00098628i,0.00083977+0.00078932i,0.00062588+0.00025849i,-0.00012385-0.00021349i,-8.0912e-05-0.00014069i,0.00033246-0.00021336i,0.00017307-0.00012732i,-0.00048102+0.00024077i,-0.00096645+0.00093687i,-0.0005198+0.00096178i
-0.0024439+0.0019367i,-0.0012977+0.0032079i,-0.00092775+0.0026216i,-0.0015167+0.0013754i,-0.001715+0.0018058i,-0.0019853+0.0015182i,-0.0014178+0.00083792i,-0.0005757+0.00059669i,-0.00038662+0.00051806i,-0.0003702+0.0008316i,-0.00050414+0.00024988i,-0.00026915-0.00029179i,0.00047478+0.00046342i,0.00089205+0.0013289i,0.00084291+0.0010142i,6.462e-05-0.00015808i,-0.00028636-0.00041125i,0.00059924-0.00022646i,0.00054516-0.00011366i,0.00036947+1.3504e-05i,6.6935e-05-0.00042199i,-0.00022981-0.00053106i,-0.00037293+8.8427e-05i
0.00020101-0.0021371i,-0.00069063-0.0020346i,-0.00043178-0.00059722i,0.00013365+0.0013945i,0.00051354+0.0020842i,0.00043267+0.0025537i,6.8143e-05+0.0024314i,0.00031843+0.0015263i,0.00073491+0.00071318i,0.0010393+0.00047615i,0.0012794+0.00014301i,0.00146-0.00060827i,0.001175-0.00039586i,0.00088883-0.00027398i,0.00087417-0.00042053i,0.00054785-3.7523e-06i,-0.00032821-0.00035121i,-0.0013274-0.00075282i,-0.00093361-0.00029408i,-0.00071822+0.00015426i,-0.0009155-0.00041905i,8.1076e-05-0.0011035i,0.00032215-0.0010278i
9.0126e-05-0.00045183i,-0.0010712+0.00056048i,-0.0015518+0.00058474i,-0.0020776+0.00026577i,-0.0022756+0.0003791i,-0.00093838+0.0013054i,6.5227e-05+0.0012887i,0.00045908+0.00067891i,0.00076589+5.262e-06i,-3.9923e-05-0.00045348i,-0.00030693-0.00025342i,0.00038186-7.54e-05i,0.00056626-0.0003461i,0.0010423-0.00075074i,0.001213-0.00088908i,0.00090807-0.0010799i,0.00038333-0.0014845i,-0.00017302-0.0013385i,-0.0002165-0.0010274i,-0.00054729-0.00073936i,-0.00041778+3.9198e-05i,-0.00020773-5.1471e-05i,-0.0006439-0.00019066i
0.0018334-0.0017297i,0.0014033-0.0014291i,0.001277-0.00058349i,0.00088597-3.3592e-05i,-0.00045029+0.00039891i,-0.00041652+0.00095824i,-0.00050736+0.0017675i,-0.0011138+0.0013878i,-0.00036039+0.00043949i,0.00025217+0.00026305i,-0.00052715-0.00015232i,-0.00079496-0.00033689i,0.00020722-0.00060032i,0.00089388-0.00040118i,0.00040419-0.00024672i,-0.00013015-0.00011379i,-0.00012995-3.2217e-05i,-0.00022421+0.00032098i,-0.00032763-0.0001829i,-0.00052781-0.00047802i,-0.00054953-0.00053552i,0.00029614-5.6296e-05i,0.00083195+0.00053076i
0.00058051+0.001097i,0.00049127+0.0015013i,-0.00089395+0.00072813i,-0.0015601+0.00055931i,-0.0009365+0.0015938i,-0.00024425+0.0023143i,0.00024767+0.0020398i,8.6703e-05+0.0015017i,-0.00035446+0.00013723i,-0.00049333-0.00038857i,6.4108e-05-0.0001185i,0.00078579-0.00062834i,0.0012241-0.00022772i,0.0017552+0.00022093i,0.001545+0.00041877i,0.00042699-2.8257e-05i,-0.00048623-0.00063435i,7.913e-05-0.00041945i,0.00072767-0.00019476i,-0.00036169+0.00027829i,-0.0013303-0.00011293i,-0.0011261-0.00081729i,0.00027259-0.0010485i
-2.1558e-05-0.00015998i,0.00072006+0.00063476i,0.00086817+0.00040346i,0.00062636+0.00073608i,-0.00014729+0.0019469i,-0.00079949+0.0022392i,-0.00063915+0.0020064i,-0.00046463+0.0013594i,-0.00017042-0.0002572i,-4.3355e-05-0.0007608i,0.0002636-0.000474i,0.0001881-0.0005113i,-2.1517e-05-9.04e-05i,0.00053842-2.8147e-05i,0.00090039+0.00057289i,0.00087088+0.00068863i,0.00074696+7.9022e-05i,0.00041103-7.1146e-05i,0.00023963-0.00033079i,0.00047413-0.00059354i,0.00077192-0.00071761i,0.00081255-0.00080881i,0.0013044-0.00062569i
