0.00066321-0.00037774i,0.00081893-0.0015273i,0.0011186-0.0013049i,-0.00033222-0.0017992i,-0.0014214-0.0015731i,-0.0027624+0.00032517i,-0.0035094+0.002476i,-0.0012912+0.0036687i,0.00055539+0.0028083i,0.00097898+0.00095946i,0.0009213+0.00011006i,0.00047791-8.5036e-05i,-3.1277e-05-0.00038456i,-0.00016134-0.00010212i,-0.00068947-0.00061813i,-0.00037734-0.00047385i,-0.00014473-2.6329e-05i,-0.00014683+0.00011465i,0.00044274+1.0824e-05i,5.1435e-05-0.00081125i,4.5344e-05-0.0012373i,0.00059973-0.00099764i,0.00032362-0.00023011i
-0.0017002+0.00016372i,-0.0022447-0.00015246i,-0.0023389-0.00050308i,-0.0016682-0.00067326i,-0.00071575-0.00057116i,-1.5044e-05-0.00029831i,-0.00082294+0.00077621i,-0.00097063+0.0010019i,-0.00046784+0.00026009i,-0.00047469-0.00033646i,-0.00041677-0.00028445i,-0.00057167-7.7657e-05i,-0.00051568+0.00025587i,0.00047396+0.00023457i,0.0005182+2.7429e-05i,0.00044466-2.7295e-05i,0.00014549+0.00019193i,-0.00071147-0.00035806i,-0.00040328-0.00037728i,0.0001581+0.00011731i,0.00036758+0.0001535i,0.00044282+0.00023839i,0.00032563+0.00035214i
0.0016154-0.00092658i,0.0014507-0.0025884i,0.0012872-0.0033243i,0.00010568-0.0027316i,-0.00147-0.0026329i,-0.0018159-0.0020249i,-0.0012512+0.00013366i,7.3397e-06+0.0010621i,0.0006947+0.00014641i,0.00020472-0.00013207i,-8.0728e-05+0.00029921i,-0.00025231+0.00069155i,-0.00014553+0.00043525i,-0.00027649+2.5546e-06i,9.5505e-05-0.00025106i,0.00033312-0.00045844i,-0.00034639-0.00074463i,-0.00061155-0.00014034i,-0.00040055+0.00018242i,-0.00020596+0.00051408i,0.00043048+0.00095843i,0.00061092+0.0005966i,0.00051204-0.00062024i
-0.00097184-0.0010111i,-0.00076104+0.00070997i,-0.00079885+0.00079625i,-0.0015273+4.9702e-05i,-0.001779+0.00058399i,-0.0021016+0.00082264i,-0.0018166+0.0012586i,-0.00099355+0.0010834i,-0.00049186+0.00027428i,-0.00019212-9.6403e-05i,3.2647e-05+0.0003124i,0.00055128+0.00064459i,0.00085879+0.00017739i,0.00046441-0.00060224i,0.00014882-0.00071794i,0.00038356-0.00023122i,0.00010933+0.0003404i,-0.00031888+0.00020138i,0.00016956+8.2568e-05i,0.00069058+0.00021051i,0.0008071+0.00024092i,0.00067461-7.1819e-05i,0.00019306-0.00049497i
-0.0010145+0.00049406i,-0.00021796-0.0011775i,-0.00026051-0.0012399i,-0.00041344+2.5025e-05i,-0.00057152+0.00080973i,-0.00080432+0.0011384i,-0.00062635+0.0014893i,-9.6817e-05+0.0014991i,-0.00025843+0.00081294i,-0.00053507+0.00061432i,0.0001213+0.00080323i,0.00023699+0.00056978i,-3.0929e-05+0.00039376i,0.00036083+0.00020965i,0.00056656+0.00049029i,0.00015821-0.00023876i,0.00018113-0.00078423i,0.00075735-0.00037598i,0.00074023-0.00061529i,0.0004419-0.00054484i,0.00073159+0.000408i,0.00034921+0.00082563i,0.00028623+0.00061576i
-0.00076008-0.0011055i,-0.00054863-0.00078972i,-0.0010803-0.00040353i,-0.0010954-0.00041451i,-0.00062482-0.00019167i,-0.00024263+0.0010599i,-0.00025757+0.001362i,-0.00060229+0.0011373i,-0.00080462+0.00089701i,-0.00090026+0.00028382i,-0.00094802-0.00059945i,-0.00040165-0.0010645i,0.00019938-0.00070571i,0.00048942-0.00014174i,0.00061788+0.00024583i,0.00061629+0.00030985i,0.00030868+0.00024633i,-0.00017038+0.00018475i,-0.00070902+0.00034897i,-0.00050562-6.8845e-05i,-0.0002203-0.00045314i,-0.00026034-0.00018519i,-9.5602e-06+0.00039477i
0.00013027-0.00052415i,-0.00042058-0.0017787i,-0.0012223-0.001577i,-0.00058997-0.0014523i,-5.3805e-05-0.0012518i,-0.00068097-0.00061331i,-0.00046258+0.00038353i,-0.00030129+0.0014255i,-0.00034678+0.0014308i,0.00022988+0.0010004i,0.00051646+0.00067694i,0.00068553-0.00020772i,0.00048362-0.00045683i,-0.00018837-2.5131e-06i,0.00019255-0.00023999i,0.0011389-0.00068317i,0.0010123-0.00059266i,0.00050852-0.00013837i,0.00071422+0.00081425i,0.00064289+0.00098037i,0.00044706+0.0002164i,0.00053455+0.00041368i,0.00048001+0.00063164i
0.00034047+0.00015033i,0.00030664-0.00062877i,-0.00076109-0.0013045i,-0.0010101-0.0016377i,-0.0017688-0.00031408i,-0.0026805+0.0011383i,-0.0024184+0.0014521i,-0.00064917+0.0016261i,0.00044991+0.0014415i,-6.1718e-05+0.0012308i,-0.00062291+0.00050122i,-0.00098685-0.00059469i,-0.000156-0.00023892i,0.00067645+0.00060585i,0.00044785+0.00044223i,0.00033689+9.6375e-05i,4.118e-05+9.5007e-06i,-8.7396e-05-0.00061643i,-0.00012994-0.0013154i,-0.00045602-0.00095588i,-0.00088717-0.00031029i,-0.00071212-0.00049334i,-0.00063523-0.00088378i
0.00032919-0.0010622i,0.00043927-0.0015681i,-0.001281-0.0011396i,-0.0016798-0.00066729i,-0.00088979-0.00081195i,-0.0013356+0.00048178i,-0.0015313+0.0015865i,-0.00019814+0.0016123i,0.0010344+0.0015655i,6.9296e-05+0.0010104i,-0.00061805+0.00043468i,-0.00026518+7.9138e-05i,0.00017157+1.3147e-05i,0.00035956+0.00027779i,-0.00029508+0.00016705i,-0.00080877+7.7759e-05i,-0.00043503+0.0002654i,0.00010231-0.00010762i,0.00054471-0.00027232i,0.00036719+0.00016415i,-0.0011583+0.00035721i,-0.0015528+0.00017347i,-0.00041126+0.00010944i
6.077e-05+0.00063224i,-0.001104+0.0011707i,-0.00050845+0.00034151i,0.00098776-0.0011402i,-0.00016671-0.00074277i,-0.0018248+0.00024286i,-0.0015686+0.00067196i,-0.00026172+0.0010915i,0.00030571+0.001571i,-0.00010856+0.0015947i,-0.00018533+0.00084865i,9.5735e-06-3.054e-05i,-0.00023263-0.00026258i,-0.0002125-0.00042634i,-4.7423e-05-0.00019286i,0.00045644+0.00019458i,0.00073837+0.0004012i,0.00046972+0.00015604i,-0.00022205-0.00082431i,-0.00073067-0.0014534i,-0.00038497-0.0011863i,-4.2261e-05-0.0008561i,-0.00042974-0.00044236i
1.0655e-05+0.00055487i,0.00045711+0.00044397i,-0.00018568-0.00052909i,-0.0012479-0.0013032i,-0.0017684-0.00051288i,-0.0017759+3.9313e-05i,-0.0013061+0.00018418i,-0.00048225+0.00066157i,0.000126+9.3163e-05i,0.00011399-0.0002424i,-3.4393e-05+3.5801e-05i,-0.00016605+0.00038493i,-4.0131e-05+0.00018753i,0.00031746-0.0002451i,-0.00061902+0.00031509i,-0.0010898+0.00083707i,4.5825e-05+0.00044894i,0.00068213-0.00022727i,0.00062201-0.00062385i,0.00032543-0.00017669i,-9.5712e-05+0.00021267i,-0.00021218+0.00048477i,2.2373e-05+0.00052895i
