0.00062887-0.00019348i,0.00063681-0.00066615i,0.0013793-0.0017631i,0.00042549-0.0029899i,-0.0024867-0.0027721i,-0.0042198-0.0010323i,-0.0036995+0.00079286i,-0.0018332+0.0013024i,0.00096521+0.0011841i,0.0015863+0.00088646i,0.00075642+0.00063899i,-2.6608e-05+0.00098761i,-0.00083739+0.0015362i,-0.00065116+0.0012233i,1.7647e-05+0.00036422i,4.3216e-05-0.00012115i,2.3377e-05-5.0012e-05i,-0.00020562+0.00061259i,-0.00077763+0.00044717i,-0.00094785-0.00067615i,-0.00026475-0.00041403i,-0.00054065+9.2656e-05i,-0.00067193-0.00013364i
-0.00054155-0.00022772i,0.00056849+0.0006206i,0.001466+0.00043367i,0.0013683+0.00055136i,0.00077504+0.0017672i,0.00042047+0.0010307i,0.00012258-0.00022265i,2.2491e-05+0.00072307i,4.9225e-05+0.0011235i,-5.3578e-05+0.0002904i,-0.00011376-6.7157e-05i,-0.00060211-0.0005971i,0.00024522-0.00072734i,0.00090603-0.00015484i,6.5475e-05-0.00038152i,-0.00044493-0.0002388i,-0.00028371+4.0164e-06i,-0.00020624+6.8799e-05i,-7.4624e-05+7.7178e-05i,0.00015142-0.00037239i,0.00036206-0.00033117i,0.00027585+0.0002185i,-0.00037169+0.00046716i
-0.00098596-0.00032829i,-0.0002181-0.00016344i,-0.00021001+0.0007299i,0.00020009+0.00099846i,0.00047806+0.00071841i,-0.00041893+0.00013278i,-0.0010312-0.00045133i,-0.0008422-0.00021681i,-0.0013846+0.00073325i,-0.0013757+0.0011935i,-0.00032192+0.00042409i,-0.0001969+7.0856e-05i,-0.00072593+5.892e-05i,-0.00091581+0.0003664i,-0.00095729+0.0010702i,-0.00034068+0.00040464i,0.00022651-0.00033914i,-0.00070507-0.00049843i,-0.0010929-0.00060105i,8.291e-06-0.00019969i,0.00060853+0.0003396i,-0.00015105+0.00086772i,-0.00086669+0.00071693i
0.00066691-0.0013692i,0.00025508-0.0017788i,-0.00050432-0.0026571i,-0.002324-0.0025684i,-0.0043392-0.0017701i,-0.0038661-0.0011721i,-0.0024767+0.00018837i,-0.0016295+0.0002673i,-0.00059324-0.00041891i,-0.00034342-0.00054085i,-0.00031777-0.0002631i,-0.00053846-0.00028898i,-0.00042423-3.6733e-05i,-0.00034042+0.00015324i,-8.4113e-05+0.00038589i,-0.00019258+0.00011223i,-0.0011815-0.0010701i,-0.0011842-0.0010499i,-0.0007374+0.00042819i,-0.0007166+0.0013419i,-0.00040095+0.0010617i,-0.00027016+0.00071409i,9.143e-05+0.00030826i
-0.00060453+0.0005305i,-0.0002194+0.00039174i,0.00036754+0.00087586i,0.001225+0.00090857i,0.0014697-7.1031e-05i,0.0012594-0.00032725i,0.00069282-0.00052174i,0.00069476-0.00066877i,0.0010596+0.00013664i,0.0012042+0.00067186i,0.00058444+0.00056508i,0.00096462+0.00023758i,0.0014064-0.00023339i,0.00084308-6.3068e-05i,0.00051529+0.00027908i,0.00037397+0.00043545i,0.00021856+0.00075625i,-0.00016245+0.00050586i,-0.00043684-0.00041915i,-0.00063762-0.00018514i,-0.0009031+9.1428e-05i,-0.00093972+0.00050604i,-0.0009708+0.00090807i
0.00028342-0.0010166i,-0.00060833-0.00051211i,-0.00072169-0.00051679i,-3.5703e-06-0.00061938i,-0.00079648+3.3928e-05i,-0.0031542+0.00030309i,-0.0032083-0.0004206i,-0.0013025-0.00063446i,-0.00046443+0.00060112i,-7.9429e-05+0.0014308i,-4.7052e-05+0.00051254i,-0.0003053-0.00043333i,-0.0001626-0.00093467i,7.7911e-05-0.00047577i,-2.2396e-06+0.00058506i,-0.00011928-1.5378e-05i,-0.00027261-0.00082028i,-0.0010086-0.00037111i,-0.0010677+0.00030235i,-0.00027524+0.0011387i,-0.00060433+0.0011282i,-0.00019616+0.00060903i,0.00014709+0.00030536i
6.0952e-05+0.00037643i,-9.0474e-05+0.00028405i,-0.0001551-0.00018343i,-0.00086542-0.00013611i,-0.00092265-0.00054305i,-0.00067719-8.0516e-05i,-0.00077258-3.4234e-05i,-0.00066304+5.3274e-05i,-0.00081499+0.00024515i,-0.00080378-0.00086606i,-0.000505-0.00094579i,-0.00039797-0.00023285i,-0.00027288-0.00031394i,-1.7271e-05-6.1152e-05i,-4.0799e-05+0.00030929i,-0.0002312+0.00032114i,-0.00029865+0.00017007i,-0.00013707-0.00014222i,4.9668e-05-0.00086737i,-0.00019019-0.0011119i,-6.402e-06-0.00026039i,7.6957e-05+0.00035026i,-0.00047954+4.5395e-05i
-0.00013948-1.4799e-05i,0.00090732-0.0003614i,0.0013954-0.0009557i,0.0010756-0.0010255i,0.00063006-0.00068715i,-0.00068969-0.00082416i,-0.0018518-0.00047388i,-0.0010976-0.00032336i,-0.00072838-4.8986e-05i,-0.00037593+0.00035248i,0.0010088+0.0007306i,0.00062358+0.00010917i,0.00020339-0.00055215i,0.00028849-0.00052551i,-0.00036512-0.00077265i,-0.00032912-0.00029082i,3.3185e-05-2.4103e-05i,3.2657e-05+0.00012365i,-0.00015941+0.00067238i,-0.00051474+0.00076097i,-0.00048045+0.00020497i,-0.00016782-0.00085197i,1.8597e-05-0.00076006i
-0.0011018+0.00079512i,0.00060448+0.0013134i,0.0025148+0.0020212i,0.0022614+0.002427i,0.00038727+0.001543i,-0.00019747-0.00074426i,-0.00044948-0.0012984i,-0.0011683-0.00041332i,-0.00059269+0.00011599i,0.00054186+0.0007885i,0.00015696+0.00077713i,0.00012861+0.00040539i,0.00021135-0.00012871i,0.00026251-0.00052992i,0.00058778-0.0003226i,0.00081343-0.00048893i,0.00057144-0.00055814i,-4.4678e-05+0.00028475i,-0.00014039+0.00052247i,-0.00089487+0.00029734i,-0.0012996+0.0005352i,-0.00063493+0.00040067i,0.00018098+0.00048291i
-0.00037654-0.00030865i,-0.00073482-0.00040948i,-0.0011337-0.0011171i,-0.00092874+0.00037723i,2.4687e-05+0.0011282i,0.00080869+0.00048987i,0.00092713+0.00024671i,0.00056608+0.00047415i,-0.00034311+0.00058701i,-0.00075767+0.00034257i,0.00019779-0.00017015i,0.0002545-0.00026926i,-0.00036867-0.00045722i,-0.00028322-0.00036272i,-0.00062556+0.00058244i,-0.00094142+0.00048507i,-0.00018416+0.00023878i,0.00059733+0.00046223i,0.000388+4.7116e-05i,0.00020901-0.0002784i,-0.00025736-0.0001994i,0.00020679-0.00034841i,0.00078574+0.00012117i
-0.0023495+0.00027523i,-0.00068875+0.0013544i,0.00018906+0.0013779i,0.00031878+0.00057754i,0.0010513+0.0006212i,0.00011986+0.0005017i,-0.0013365-0.00063986i,-0.0013389-0.00084371i,-0.00063171-0.00035638i,-0.00034495-0.00040259i,-0.00010731-0.00091476i,-0.00047666-0.00069514i,-0.00029041-0.00062536i,-1.8746e-05-0.00069371i,0.00013156-0.00043643i,-0.00027973+0.00017441i,-0.00058194+0.00048932i,-0.00021379+0.00045849i,-0.00010189+7.3691e-05i,-0.00045394-0.0010279i,-4.3422e-05-0.00044943i,0.00088877+0.00012471i,0.00061391+9.5927e-05i
0.00049815+0.00010795i,-0.00023568+0.00056915i,-0.0017019+0.00042011i,-0.00233+0.00025581i,-0.0021568-7.0487e-05i,-0.0018343-0.00031093i,-0.001121-0.00072096i,-0.00022909-0.00019877i,0.00046467+0.00028279i,0.00054137+0.00016549i,6.1765e-05+0.00042236i,-0.00023396+0.00035017i,0.00012688+0.00042009i,0.00048006+0.00012768i,0.00047985+8.7219e-05i,0.00018785+0.00031851i,0.00023518+0.00088773i,0.00024434+0.0008376i,0.00033542+0.00015225i,0.00017778+0.00011818i,-2.8345e-06+0.00041047i,4.1201e-05+0.000403i,-0.00022122+3.4056e-05i
0.00044429+8.4902e-05i,-3.772e-05-0.00016422i,-0.00073878+0.00014667i,-0.00056112-7.3522e-05i,-0.00011918-0.00058038i,0.00035731+5.1972e-05i,3.4103e-05+0.00067199i,-0.00017063+0.00045294i,-0.00020112+0.00091736i,-0.00037107+0.0007686i,-0.00063335-0.00036514i,-0.0009286-0.00043401i,-0.0009114+0.00020907i,-0.00085248-2.0753e-05i,-0.00033795-0.00016911i,0.00058816+3.4916e-05i,0.00048936-0.00019603i,6.8081e-05-0.00020871i,4.2207e-05-0.00068542i,0.00039493-0.00088249i,0.000539-0.00047889i,-0.00021177-0.0003984i,-0.0003819+0.00023938i
0.00017616+0.0016833i,0.0017791+0.0017697i,0.0022006+0.0018292i,0.0012934-0.00024193i,0.0011206-0.0016611i,-0.00027616-0.00098071i,-0.0012926-0.00079672i,-0.00065096-0.00031899i,4.6496e-05+6.2684e-05i,9.9205e-05-0.00017478i,-8.738e-05-0.0005241i,0.0002542-0.00047218i,0.001013-9.7255e-05i,0.0008139-0.000583i,0.00033746-0.00016671i,0.00013197+0.00073232i,-0.00019287+0.00060056i,-0.00020615-1.7418e-05i,0.00043696+0.00017565i,0.00083229+0.00058431i,0.00062991+0.0012896i,0.00011389+0.0010396i,5.6323e-05+0.00054713i
-0.0011015-0.0020086i,-0.0018268-0.0021577i,-0.0020388-0.0021633i,-0.0015815-0.00082123i,-0.0016411+0.00073973i,-0.0015352+0.00055627i,-0.00066489+1.3146e-05i,-0.00049774-0.00048246i,-0.00036113-0.00064721i,7.7003e-05+0.00012038i,0.00050254+0.00027699i,0.00011198-0.0002946i,-0.00020178-0.0003773i,0.00077773+2.3559e-05i,0.0013546-0.00031952i,0.0013717-0.00049659i,0.00043495+0.00059458i,-0.00045517+0.00077605i,-3.7915e-05+1.9934e-05i,6.1976e-05+0.00040663i,0.00065142+0.00025217i,0.0008447+0.00052447i,0.00035536+0.00021961i
0.00033882-0.00070432i,0.0012249-0.0012593i,0.0019796-0.001512i,0.00089594-0.0014737i,-0.00072065-0.0029376i,-0.0017822-0.0030764i,-0.0021646-0.00082786i,-0.0015358+0.00069646i,-0.00097808+0.0010078i,-0.00043747+0.0011213i,0.00042318+0.00098758i,0.00051201+0.00039819i,0.00036141+0.00010805i,0.00042933+0.00094722i,0.00031952+0.0012736i,0.00050154+0.0010245i,0.00035652+0.00052065i,-0.00021344+0.00012244i,-0.00049535+3.523e-05i,-0.00012578-0.00015975i,0.00023282-5.7654e-05i,0.00024292-0.00064749i,0.00018155-0.00030475i
0.0017021-0.0013595i,0.0010247-0.00073973i,0.00073773-0.0010077i,0.00091748-0.0015544i,-6.2742e-05-0.0014211i,-0.00093928-0.00060372i,-0.00070972-0.0003514i,-0.00064444-0.00067124i,-0.00064275-0.00052738i,-8.145e-05-0.00054026i,0.00028487+0.00011454i,-0.00034621+0.00055063i,-0.0003547+7.9589e-05i,-0.000166+6.7478e-05i,0.00024798+0.00055838i,0.00043761+0.00037686i,-0.00041868-0.00025915i,-0.00055427-0.00081678i,-4.6577e-05-0.00042153i,0.00045571-0.0001143i,0.00051923+0.00017159i,0.00023803+0.00095268i,-1.7084e-05+0.00061873i
0.0011992-0.00092316i,0.00061195-0.0014837i,0.00047186-0.0017295i,0.00050323-0.0018875i,-0.00013069-0.0008833i,-0.00018735-0.00016741i,-0.00012451-0.00016136i,3.3397e-06-0.00043739i,0.00022763-0.00015526i,-0.00011728+0.00031798i,-0.00062077+0.00027629i,-0.00091096+0.00014044i,-0.00023282-0.00080015i,0.00064252-0.00078385i,0.0002445+0.000121i,-8.5564e-05+0.00011897i,0.00089045-0.00014735i,0.0013576+0.00014199i,0.00092441+0.00033003i,0.00029553+0.00034458i,0.00025471+0.00090171i,0.00017145+0.0010839i,-0.00067317+0.00087516i
0.0010341-0.00023465i,0.00084583-0.00064635i,0.0010934-0.0013636i,0.0007498-0.0019558i,-0.00035142-0.0025451i,-0.00068898-0.0022491i,-0.00067036-0.00089725i,-0.00091679+0.00022528i,-0.00037324+0.00047439i,0.00020825+0.00048984i,0.00047533+0.00024967i,0.00022804+0.00057565i,-2.1832e-05+0.00073265i,3.9197e-05-2.0505e-06i,-0.00021686-0.00056964i,-0.00092753-0.00016442i,-0.001228+0.00063363i,-0.00080505+0.00030714i,-0.00035671-0.00029562i,-0.00013972-0.00023866i,0.00014008-0.0008424i,0.00052319-0.00072024i,0.00068406+0.00031948i
-0.00087744-0.0012395i,-0.0013528-0.00061094i,-0.0011884+0.00023377i,-0.0012678+0.00079725i,-0.00091758+0.0013168i,-0.00069523+0.0014197i,-0.00070376+0.00073154i,4.7382e-05+0.00012635i,0.00069204+0.00033276i,0.00084744+9.9269e-05i,0.00075856-0.0007275i,0.0007138-0.00068814i,0.0010653+0.0001939i,0.00063136+0.00017558i,7.2668e-05+0.00031386i,-6.8887e-05+0.00027339i,-0.00018707-0.00013803i,-0.00020273-0.00011831i,8.7725e-06-0.0006465i,0.00011048-0.00060305i,0.0001507-0.00025328i,0.00039802-0.00018856i,0.0010785+0.00029538i
