0.00038487-0.0035191i,0.00032808-0.0033404i,0.00080036-0.0032905i,0.0014689-0.0035308i,0.00013325-0.0020028i,-0.0021953+0.00018774i,-0.0018508+0.0006846i,-0.00058805+0.00015747i,-0.00046758-0.00025016i,-0.0002494+0.0007007i,-0.00026877+0.0015168i,0.00013396+0.0013153i,0.00038134+0.00055249i,0.00057778-0.00025988i,0.0007105-0.00022852i,0.00073063+0.00026928i,0.00053587+0.00012168i,0.00048471-0.00033183i,-5.5694e-05-0.00030175i,-0.00048887+0.00016418i,0.00032279+0.00041927i,0.00059784-0.00025682i,0.00060353-0.00068611i
0.0017394+0.0006814i,0.002619+0.00028448i,0.0024804+7.9618e-05i,0.0023297-0.00099708i,0.001556-0.0011323i,-0.00025212-0.0010184i,-0.00076058-0.00029199i,-0.00027653+0.0013601i,0.00050726+0.0012586i,0.0013514+7.9895e-05i,0.0013248+0.00035747i,0.00055022+0.00077909i,-4.7938e-05+0.00031455i,0.0002433-0.00022688i,0.00079531-0.00046904i,0.00020504-0.0002166i,-0.00059249+0.00013151i,-0.00015166+4.7175e-05i,0.00025568+9.596e-05i,0.00015816+0.00022607i,-0.0001692-0.00013524i,0.00030813-0.00063527i,0.0005588-0.00015683i
0.00060822-6.7126e-06i,0.0017235-0.00072211i,0.0038741-0.0013081i,0.0044075-0.0017666i,0.0024254-0.0012715i,3.2778e-05-0.0001748i,-0.00088719+0.00035854i,-0.00010518+0.00091743i,0.0011306+0.00038178i,0.0018429+0.00013194i,0.0013019+0.0011003i,0.00041208+0.00087879i,-0.00047112+0.00017127i,-0.0006711-1.2766e-06i,-2.2392e-05-0.00026323i,0.00051825-0.00032687i,0.00063302-0.00020592i,0.0006507+8.4274e-05i,0.00023067+0.00012834i,0.00020117-0.00010671i,0.00061944-0.00022699i,0.0003426-0.00026719i,0.00058762-0.00021722i
7.6852e-05-0.00013199i,0.0010193-0.00021918i,0.0022251-0.00044092i,0.0028013-0.0010655i,0.0015872-0.0015589i,0.00019863-0.0015727i,-5.0241e-05-0.00070346i,0.00015345-0.00010586i,0.0013812-0.00070679i,0.001356-0.0004924i,0.00050731+0.00046795i,0.00060032+0.0011978i,0.00038145+0.0012204i,0.00050257+0.00016747i,0.00074717-0.00023785i,0.00041105-2.7687e-05i,6.2318e-05+0.00081356i,-0.00029376+0.00077948i,7.9941e-05+3.2085e-05i,0.00060432-6.08e-05i,0.00051212-0.00025622i,0.00044585+6.553e-05i,0.00053643+0.00021005i
-0.0016764+0.00037147i,0.00042247-0.00030304i,0.001813-0.0003212i,0.0025149-0.00071199i,0.0019922-0.0010076i,0.0003377-0.00052276i,4.073e-05-0.00090015i,7.6199e-07+2.97e-06i,-1.1707e-06+0.0011317i,0.00020741+0.00051281i,0.0004389+0.00013295i,0.00070882+8.5984e-05i,0.00088148-0.00020842i,0.00096949-0.00011158i,-7.2387e-05-3.7625e-05i,-6.9295e-05-0.00050352i,0.00017732-0.00053892i,-7.3422e-05-0.00021179i,0.00038984+0.00061991i,0.00034417+0.0011102i,-0.00049969+0.00050823i,-0.00080395+0.00033796i,-0.0004674+0.0010584i
-0.00054028-0.0015951i,0.0011391-0.0012616i,0.001305-0.00030478i,0.0015481+0.00012048i,0.001486-0.00056062i,0.00043394-0.00038592i,0.00021312+0.00082261i,0.00021714+0.0011635i,-0.00046128+0.0010741i,-0.00056938+0.00057661i,-5.6211e-05+1.3768e-05i,0.00012904-0.00026093i,-8.173e-05-0.00023977i,0.0002384+0.0006225i,0.00013016+0.0010663i,0.00031692+0.00048346i,0.00028411+0.0002413i,-0.00042161-0.00019294i,-0.00038744-0.00070686i,0.00010355-7.7522e-05i,0.00087613+0.00088524i,0.0014592+0.00049982i,0.00027445+9.4854e-05i
-0.00058125-0.0014079i,-0.00028611-0.00081679i,0.00035718-0.00077439i,0.0010452-0.0012869i,0.00027391-0.0001813i,-0.0010214+0.00018822i,-0.0010713-0.00045529i,0.00016025-0.0010985i,0.00011191-0.0011767i,-0.00052679-0.00031725i,-0.00010186+0.00062526i,0.00062503+0.0010801i,0.00077744+0.00080134i,-0.00010197+0.00063006i,-0.00033966+0.00045467i,-0.00017717+0.00019963i,-0.00074913+0.00050751i,-0.00066662+0.00069962i,7.3687e-05+0.00064389i,0.00018407+0.00041409i,-0.00040955+0.00055466i,-0.00049949+0.00016599i,0.00025186-0.00071804i
-0.0014745-0.000446i,-0.00058066-0.00081544i,0.001422-0.0019293i,0.0027342-0.0023107i,0.0023314-0.0013791i,0.0012347-5.9751e-05i,0.00034097+0.00061788i,-4.2368e-05+0.00087246i,5.841e-05+0.0010016i,0.00026224+0.00087717i,0.00061779+0.00016411i,0.00055795+0.0001528i,0.00090019+0.00018191i,0.00067771-0.00057875i,5.8047e-05-0.00035978i,-0.00033792+0.00024874i,-0.00057039+0.00025429i,-0.00067869+0.00019733i,-0.00043621-0.00040253i,0.00018506-0.00046797i,0.00035788-6.0112e-05i,0.00039194+8.4573e-05i,0.00056714+0.00010538i
0.00055442+0.0010757i,0.00061716-3.7834e-06i,0.0018657-0.0014091i,0.0025386-0.0012778i,0.0011096-0.00080958i,-0.00029224-0.00081465i,-0.00051872-0.00090634i,0.00021478-2.7226e-05i,0.0014057+0.0013049i,0.0017778+0.0014142i,0.0012808+0.00091377i,0.00010267+0.00073902i,-0.00033118+0.00042221i,5.826e-05+0.00030454i,0.00073052+0.00019583i,0.0009235+0.00010395i,-0.00016591+0.00019869i,-0.00096693+0.00037963i,-0.00075901+0.00055061i,-0.00075644+0.00032425i,-0.00059513+0.0001738i,-0.00021821+0.00031147i,0.00054952+8.2082e-05i
-0.0013168+0.00028212i,-1.2957e-05-0.00093033i,0.0017611-0.0017277i,0.001638-0.0015222i,-4.6779e-05-0.0010975i,-8.4411e-05-0.00040163i,0.0011892-0.00012793i,0.0016424+0.00015274i,0.0013415+0.00026753i,0.0011971+0.00073055i,0.0013244+0.00063653i,0.00037579+0.00022687i,-0.0001012+7.8778e-05i,0.00028346+0.00010482i,-2.4037e-05+0.00094536i,-0.00033335+0.00061243i,2.7328e-05+0.00026406i,0.00013375+0.00054487i,0.00027234+0.00037904i,0.00073065+0.00018537i,0.00096787-0.00053101i,0.00063948-0.00042798i,-0.00062053+5.546e-06i
