-0.0046981-0.00051243i,-0.0026826-0.001643i,-0.0040211-0.0001045i,-0.002913+0.0015706i,-0.00047982+0.002858i,-0.00034208+0.0027875i,-0.00060814+0.0015654i,-0.00015346+0.0012587i,-0.00018265+0.0017437i,0.0004025+0.0016904i,0.0018175+0.0011675i,0.0021638+0.00092902i,0.0009721+0.0011693i,0.00033987+0.00068454i,0.00067907+0.00010839i,0.0010841-0.00013262i,0.0011062-0.00030867i,0.00072805-4.335e-05i,0.00021197-4.5942e-05i,-7.8388e-05-0.00031636i,0.00042084-6.0903e-06i,0.0006376+0.00046564i,0.00068898+0.00012154i
0.0011129+0.0025827i,0.00091096+0.0024614i,0.0015308+0.0014024i,0.00067155-0.00068364i,-0.00020626-0.0016067i,-0.0012048-0.0019245i,-0.001126-0.0011764i,0.00020079-6.5422e-05i,0.00086334+0.00041014i,0.0010697+0.00023225i,0.0012825-0.00028222i,0.00056148-0.00067643i,-0.00015796-0.0003867i,-0.00049471+0.00067765i,-0.00019374+0.0012736i,0.0004889+0.00066907i,0.00054471-0.00031627i,0.00075696+0.00027136i,0.001317+0.00057614i,0.00080234+0.00017742i,0.00027605-3.7682e-05i,0.00067679-0.00045946i,0.0004036-0.00027392i
0.0017286+0.00022381i,0.0013011-0.001032i,0.00072808-0.001055i,-0.00076079+0.00027753i,-0.00079114+0.0012538i,-0.00053493+0.0011906i,-0.0011712+0.00046487i,-0.00079926-0.00050971i,-5.6414e-05-0.00016319i,-0.00024497+0.00016126i,-0.00030368-0.00037673i,-0.00053503-0.0003573i,-0.00053107-0.00017035i,-3.1556e-05-0.00013326i,-0.00018271-0.00031155i,9.9712e-06+0.00023701i,0.00036153+0.000533i,0.00048722-0.00011498i,0.00036123-0.00013314i,-0.00027003+0.00027712i,-0.00037655+0.00067304i,-0.000186+0.00092563i,0.00039184+0.00061724i
0.0030495-0.0014725i,0.0013711-0.0019403i,-0.00012403-0.0023019i,-0.0017415-0.0010835i,-0.0012025+0.0008176i,-0.00017469+0.0012609i,-0.00043781-4.9365e-05i,-0.00043691-0.0011045i,0.00058658-0.00083092i,0.00097286-0.00027936i,0.0002553+0.00015377i,-0.00018141+0.00056109i,-0.00041053+0.00087707i,-0.00088664+0.00028689i,-0.00064053+7.4654e-05i,2.2963e-05+0.00031458i,3.732e-06+0.00013415i,-0.00015753-0.00012424i,-4.0339e-05-4.2899e-05i,-0.0002711+2.182e-05i,-0.00074434-0.00071154i,-0.00079987-0.0008258i,-0.0005018-0.0005712i
-0.0016603+8.5984e-05i,-0.001498+0.00040004i,-0.0017384+0.00085516i,-0.0018268+0.0003287i,-0.0009353-0.0004262i,-0.00024696-0.0010929i,-0.00031549-0.0011514i,-0.00010006-0.00041165i,-0.00027812-9.5522e-05i,0.00017557+4.9008e-05i,0.00062878+0.0010961i,0.0006231+0.0013629i,0.00014162+0.00081658i,-0.0002103+0.00031286i,-0.00011667-0.00022598i,0.00042165-0.0006576i,0.00098822-0.00028399i,0.0009574+0.00049107i,0.00053771+0.00026658i,9.2879e-05+0.00026993i,-3.839e-05+0.00068083i,-0.00017469+0.00069427i,-0.00012737+0.00054471i
0.00077107+0.0016947i,0.00075603+0.00071984i,0.00079208-0.000551i,0.00095122-0.00093965i,0.00013906-0.00044327i,-0.0011804-3.3315e-06i,-0.0017885+0.00025006i,-0.0018839+0.00055003i,-0.0010947+0.00027246i,3.3733e-05+0.00025897i,0.0005106+0.00082845i,-0.00028348+0.00092065i,-0.0008059+0.00014187i,-0.00079875+0.00051871i,-0.0010388+0.0014345i,-0.00048901+0.0014834i,-6.7248e-05+0.00081029i,0.00019366+0.00042386i,0.00051367+0.0004803i,0.00068885+0.00068847i,0.00072819+0.00048579i,-0.0004554+8.7083e-05i,-0.00059704-0.00029285i
-0.00042085+0.00082165i,-3.9764e-05+0.00049906i,0.00011848-0.00050121i,-7.3132e-05-5.9789e-05i,-0.00030521+0.00031047i,9.0731e-05+0.00020635i,0.00078117+0.00072735i,0.0014272+0.00071307i,0.00037172-0.00028252i,-0.00094953-0.00075123i,-0.0001051-0.00058992i,0.0010558-1.3697e-05i,0.00095926+0.00022137i,-0.00015892+0.00011619i,-0.00089834-0.00053249i,-0.0007782-0.00088413i,-0.00045387-0.00028821i,-9.5866e-05+9.7203e-05i,0.00020137+1.1327e-05i,0.00062044+8.976e-05i,0.00063344+0.00022351i,0.0002825-0.00011711i,0.00011944-0.00027598i
-0.00062198+0.0013848i,-0.0011506+0.00061983i,-0.0010695-3.1606e-05i,-0.00076467+0.00025377i,-0.00021381+0.00081106i,0.00023839+0.0004962i,0.00016221-0.00034303i,-0.00042804-0.00079764i,-0.00062774-0.0001463i,0.00019161+9.2603e-05i,0.0012448-6.7062e-05i,0.0007285+0.00027749i,-5.2874e-06+0.00034287i,0.00029191+0.00022693i,0.00039153-2.6838e-05i,-0.00013269-0.00034539i,-0.00092236-0.00036775i,2.4237e-05+0.00016027i,0.0011546+0.00082195i,0.00016652+0.0014327i,-0.00046275+0.00052414i,0.00023175-0.00076395i,0.00060763-0.00035061i
0.0010958-0.00064943i,0.0014697-0.0002619i,0.00083156+0.00045722i,0.00023718+0.00034559i,0.00019794-0.00069732i,0.00028788-0.0015852i,0.00036321-0.0019187i,0.00062383-0.0016865i,0.0010294-0.000286i,0.0004211+0.00064304i,-0.00045395+0.0010162i,-0.00057145+0.0010842i,-0.00014814+0.00034514i,0.00035566+6.7012e-05i,-0.00027128-9.044e-05i,-0.00027394-0.0010819i,0.00060293-0.0014424i,0.00090475-0.00063247i,0.00055156-5.9647e-05i,-0.000375+0.00039534i,-0.00080277+0.00066964i,-0.00010395+0.0001349i,0.00015499-7.8116e-05i
0.001329+0.0026332i,0.00089532+0.0016768i,0.0013492+0.00070385i,0.0019084+3.3089e-05i,0.0001928-0.00033099i,-0.0012525-0.00015933i,-0.00068421+0.00044343i,-0.0001826+4.5166e-05i,0.0010533+0.00039814i,0.0017342+0.00091083i,0.0012198+0.00067722i,0.00025745+0.00026653i,-0.00036601-0.00037132i,-0.00019447-0.00083525i,0.00025623-0.00087486i,0.0007059-7.9608e-05i,0.00048727+0.00035662i,0.000561+0.00069816i,0.00027264+0.00027308i,-8.709e-05-0.0002889i,-0.00026624+0.00021717i,-0.00036724-3.4478e-05i,-0.0013322-0.0008811i
0.00013998-0.0016258i,-0.0012884-0.00149i,-0.0018232-0.0010211i,-0.0012507-0.00038968i,-0.00077235+0.00033232i,-0.00075642+0.00085706i,-0.00017177+0.00077028i,0.00080025+0.00045889i,0.0011293-0.00038926i,0.0010289-0.00045486i,0.00063804+0.00092296i,7.2815e-05+0.0016332i,-1.655e-05+0.00068406i,-4.1131e-05+2.1368e-05i,-0.00028962-9.6514e-06i,-0.000822-0.00026844i,-0.0007402-0.00069791i,-0.00029185-0.00056391i,6.5237e-05-0.00017025i,0.00042538+0.00059734i,0.00041278+0.00079959i,0.00086573+0.00013021i,0.001071+1.2594e-07i
