-0.002911+0.0011058i,-0.0025107+0.0015908i,-0.0021606+0.0035555i,-0.00072025+0.0030476i,0.00065339+0.0026496i,0.0012135+0.0030626i,0.00084157+0.0026201i,0.0013364+0.00083526i,0.0017971-0.000163i,0.00099592-0.00061007i,0.00068728-0.0010413i,0.00059094-0.0012322i,-0.0003695-0.00054509i,-0.00080134-0.00037264i,0.00082082-0.0011224i,0.00096199-0.0009553i,-0.000381-0.0003723i,-0.00034185-0.00019007i,0.00026108-0.00046235i,0.00061395-0.00041999i,0.0009398-0.00039158i,0.00068757-0.0007784i,0.00012702-0.00088661i
0.0015877-0.00071633i,0.0009432-0.000825i,0.00071665-0.00086521i,0.0012235-1.3801e-06i,0.00065817+0.00068126i,0.00016899+0.0013048i,0.00026126+0.0015742i,-8.5174e-06+0.0010589i,-0.00021478-0.0002707i,-0.00026373-0.00077448i,-0.00045689-0.00046691i,-0.00032422-0.00032186i,-0.00090062+0.00030912i,-0.0013234+0.00078642i,-0.00061185+0.00049127i,-0.00051325+0.00052323i,3.2577e-05-0.00022882i,0.000385-7.0984e-05i,0.00024266+0.00083618i,0.00064774+0.00025774i,0.00084729-0.00031922i,-0.0001474-6.9846e-05i,-0.00094675+0.00014064i
-0.00013242+0.00011923i,-3.9376e-05+0.0011744i,2.02e-05+0.0027241i,0.00066175+0.0035238i,0.0010356+0.0028657i,0.0014072+0.001993i,0.0016009+0.0013667i,0.0009603+6.9092e-05i,-0.00013666-0.00064445i,-0.00064384-0.00010372i,-0.00046022-0.00031806i,-0.00057303-0.00083598i,-0.00034305-0.0002397i,-0.00019637-5.9622e-05i,0.00074683-0.00019569i,0.0013102+0.00029123i,0.00048114+0.00055364i,0.00025731+0.0001515i,0.00021196+0.00013561i,0.00018771+0.00041126i,-1.3407e-05+0.00043469i,-0.00076001+0.00061413i,-0.0015097+1.0169e-05i
-0.0019426+0.0012556i,-0.00090526+0.0010061i,0.00091856+0.001485i,0.0022837+0.00222i,0.0024278+0.0021333i,0.0023277+0.0011864i,0.0017568-6.4154e-05i,0.00020013-0.00033351i,0.00026908+0.00015263i,-0.00021037-0.00011208i,-0.00096795-0.00091882i,-9.5413e-05-0.00069714i,0.00068091-0.0001489i,0.0005477-0.00037418i,-0.00013105-0.0005116i,-9.1365e-06+0.0001488i,0.0005061-9.941e-05i,0.00033485-0.0002985i,-0.00031727-0.00039599i,-3.0513e-05-0.00065681i,0.00058891-0.00032512i,0.00039766-4.2586e-06i,-0.00017735+6.4691e-06i
0.00018658-0.0020771i,-0.00061004-0.0012411i,-0.0002804+0.00022338i,0.00060963+0.00073615i,0.00069734+0.0015772i,0.00037207+0.0015872i,0.00060616+0.00036432i,0.00094868-0.00014245i,0.00054296-0.00060244i,-0.00036848-0.0001634i,-6.8602e-05+0.00017807i,0.00036844-0.00048415i,0.00013514-0.00094362i,0.00043095-0.00081464i,0.0010492+0.00021859i,0.0008972+0.00063646i,0.00056629+0.00016601i,0.00059614-0.00012382i,0.00089408+0.00025562i,0.00036945+0.00041618i,-0.00080331+0.00017917i,-0.001143+7.2849e-05i,-0.00051908-1.9653e-05i
-0.00055197+0.00081296i,-0.00045696+0.0015764i,-0.00040415+0.0024579i,6.9551e-06+0.0032158i,0.0006207+0.0031346i,0.00053082+0.0019479i,0.00045499+0.0007664i,0.00024966+0.00023996i,0.00079155-0.00014905i,0.00092677-0.00038103i,0.00036032-0.00086101i,0.00046801-0.0014508i,7.0059e-05-0.00072106i,-0.00048665-0.00063932i,-0.00077292-0.0010745i,-0.00014251-0.00064917i,0.00063002-0.00011613i,0.0005772+0.00017818i,0.00087705+0.00057384i,0.00035742+0.00083892i,-4.3446e-05+0.00070008i,0.00029279+0.00091341i,0.00062067+0.0005735i
-5.2688e-05-0.00065887i,0.00030415+0.0005085i,0.00074371+0.00054566i,0.0017635+0.0015871i,0.0022656+0.0024861i,0.0013047+0.0019687i,0.00067491+0.0017307i,0.00072181+0.0014603i,0.00034552+0.00030708i,0.00048637-0.0002666i,0.00017623-0.00053613i,4.8675e-05-0.00014137i,0.00019556+0.00099527i,0.00053742+0.0020081i,0.001015+0.0013516i,0.0011844+0.00045138i,0.00040372-3.9807e-05i,-0.00034184-0.00082073i,8.8482e-05+0.00028398i,0.00027216+0.00036129i,0.00039659-0.00063197i,0.00064847-0.00039313i,0.00067358-9.4975e-06i
0.00040679-0.00011632i,0.0009421+0.0001743i,0.001824+0.00065603i,0.0021945+0.0011548i,0.0021437+0.0021175i,0.0016139+0.0019271i,0.0012137+0.0003298i,0.0010995-0.00028381i,0.00050851-0.00031422i,0.00027596-0.00066994i,0.00039837-0.0010721i,0.00013918-0.0005455i,-0.0003753-9.7042e-05i,-0.0012051-0.00022348i,-0.0016503+0.00012496i,-0.00077793+0.00068359i,-9.5613e-05+0.00041995i,-0.00029071+0.000153i,-0.00030221-0.00035892i,-0.00027843-0.00058833i,-0.00015057-0.00038136i,0.00040229-0.00057749i,0.00038799-0.00067677i
-0.00025922-0.0012002i,0.00047361-0.00011669i,0.00082101+0.00074996i,0.0015677+0.0013686i,0.0014258+0.0020011i,0.00069793+0.0017059i,0.00026716+0.0012808i,7.1173e-05+0.000688i,0.00018668-0.00021274i,0.00037197-0.00040718i,-0.00013084+0.0004377i,-0.00063299+0.0012314i,-0.0010995+0.00069503i,-0.0010107-0.00010521i,9.8735e-05+0.0006307i,0.00053255+0.00086087i,-4.6434e-05-0.00031409i,-0.00054889-0.00037987i,-0.00034848+0.00024855i,-1.1211e-05+0.00098972i,-0.00044159+0.00070053i,0.00011585-0.00041798i,0.00072196-0.00056632i
0.0013285+0.0011146i,0.00036616+0.0013691i,0.00017307+0.00068136i,0.0019069+0.00036947i,0.0024028+0.00065605i,0.001112+0.00070334i,0.00044257+0.0010076i,0.00016926+0.00076955i,5.0556e-05-0.00010486i,0.00019499-0.000572i,-5.7975e-05+5.2025e-05i,-0.00067337+0.00060694i,-0.00089108-0.0001021i,-0.0013667-0.00015494i,-0.0011463+8.2204e-06i,0.00013723+0.00020171i,0.00062236+0.00051965i,0.00059466+0.00064376i,0.00043824+0.00026595i,0.00059062+0.00026152i,0.0007933+0.00036637i,0.00030624-0.00013548i,-0.00044251-0.00026331i
0.00057578+0.0014789i,0.00078361+0.0014241i,0.0016321+0.0017244i,0.002588+0.0021585i,0.0028617+0.001734i,0.0021462+0.00141i,0.0011104+0.0011231i,0.00023114-0.00052771i,0.00032861-0.00099953i,0.00049375-2.4009e-05i,-6.6638e-05+2.0734e-05i,-0.00063866-0.00025515i,-0.00069027-0.000186i,-0.00060258-0.00018042i,-9.2066e-05+0.00036997i,0.00010816+0.00038247i,-8.5468e-05-0.00036473i,-0.00011693-0.00066924i,6.2086e-05-0.00057779i,-0.0005066-0.00018867i,-0.0012934-0.00021404i,-0.0004167-0.00062235i,0.00055553+0.00012329i
