-0.0023873-0.00088321i,-0.0011667-0.00072983i,-0.0021589-2.4334e-05i,-0.0022385+0.00027271i,-0.0021447+0.00013493i,-0.0018811+8.6046e-05i,-0.00076606-5.2555e-05i,0.00070746+0.00051618i,0.0012525+0.00082342i,0.0014584+0.0011881i,0.0020137+0.0007375i,0.0012863-0.00052432i,0.00022816-0.00085783i,5.2383e-06-0.00049292i,-0.00017519-3.3935e-05i,-0.00038328+0.00078354i,-0.00048782+0.00053662i,0.00030007-0.00022688i,0.00071146+0.00018739i,0.00026289+0.00020902i,0.00063974+0.00014099i,0.00071313-0.00010173i,0.00030785+0.00025133i
0.00033716+0.00058958i,0.00025068+0.00027842i,0.00068598-0.0002805i,0.0016163-0.0009286i,0.0018277-0.00074199i,0.001485+5.4408e-05i,0.00063586+0.00018189i,-0.00014754-0.00017911i,-0.00020012-0.00041128i,0.00035691-0.00067331i,0.00017923-0.0010623i,0.00048164-0.0012297i,0.0015139-0.00069062i,0.00072343-0.00062506i,0.00041793-0.00079566i,0.00095994-6.1281e-05i,0.0010861+0.00026876i,0.0012774+0.00011646i,0.0013362+0.00023411i,0.00080959+0.00017094i,0.00047531-4.7388e-05i,0.00046128-0.0005948i,-9.476e-05-0.00093969i
0.00056715-0.00091017i,0.00029377-0.00075059i,0.0005933-9.6728e-05i,0.00022803+0.00050793i,0.00030492+0.00016415i,0.00010413-0.00062379i,1.5767e-05-0.00099822i,0.00038982-0.00057976i,-0.00013527-8.3355e-05i,-0.00039704+0.00037639i,-0.00052743+0.00072677i,-0.00084944+0.00029753i,-0.00039305+0.00039805i,0.00081145+0.00049617i,0.001217-0.00026173i,0.0003894-0.0010409i,-0.0002944-0.0011356i,-0.00030335-0.00071535i,-0.00031227-0.00046041i,-0.0010701-0.00018883i,-0.0014553+0.00039582i,-0.0011174+0.00030192i,-0.00040322+0.0001547i
-0.00094538-0.0010683i,-0.0015762-9.6742e-05i,-0.0012782-0.00049969i,-0.0009745+9.0399e-05i,-0.00085541+0.00083949i,-0.00048108+0.00042852i,-0.00030728+0.00018984i,-0.00035909+0.00046744i,-0.00030199+0.00051369i,-0.00035624+0.00041712i,-0.00015795-0.00013392i,-0.0008437-0.00066642i,-0.0015032-0.00022435i,-0.00017864+0.00028884i,0.00043916+0.0001196i,0.00019746-0.00020545i,0.00036572+0.00010236i,0.00010624+0.00041457i,7.233e-05+0.00046352i,2.0155e-05+8.3682e-05i,0.00012116-0.00015898i,0.00010175+0.00032094i,-7.2032e-05+0.001035i
0.0010632-0.0020987i,0.0017683-0.0014502i,0.00082771-0.0015467i,-0.00033366-0.0011465i,-0.00066646-0.00057986i,-0.00063534-0.0006689i,1.4624e-05-0.00059587i,0.00070493-0.00033017i,0.00054866-0.00019606i,-0.00024296-0.00025327i,-0.00062613-0.00082868i,-0.00022443-0.0011126i,-0.00011428-0.00029231i,-0.00037711+0.00037311i,8.0751e-05-7.1222e-05i,0.00011237-0.00057916i,-0.00013992+0.00018125i,-0.00030049+0.0012756i,-0.00086716+0.00083048i,-0.0010937+0.00031689i,-0.00065014+0.00035874i,-0.00026443+0.00056081i,-0.00028016+0.00035356i
-0.00027622-0.0010353i,4.0602e-05-0.00012635i,-0.00030646+0.00025578i,-0.0015807-0.00016262i,-0.001776-0.0006977i,-0.0012496-0.0011916i,-0.00082886-0.00054452i,-0.00071521+0.00098257i,-0.00045411+0.0012089i,4.5535e-05+0.00013152i,0.00035507-0.00031797i,-0.00064205-0.00041903i,-0.00087657-0.00085637i,-0.00014689-0.00031475i,0.00044361+0.00011055i,0.00040515+0.00028344i,0.00039017+0.0002852i,0.00018545+0.00025889i,-0.0002886+0.00049884i,-0.00050933+0.00018676i,-0.00067833-0.00034917i,-0.00079365+5.1288e-05i,-0.00032904+0.00063233i
0.00031721-0.0004066i,0.0008919-0.00043252i,0.00079595-0.00020879i,0.0013823+0.00032302i,0.001296+0.00019575i,0.0011114-0.0011407i,0.0014122-0.0014116i,0.00089495-0.00078441i,0.00019321-0.00030287i,-0.00054153-0.00062316i,-0.00041695-0.00050835i,0.00045547-0.00026185i,0.0007913+9.4591e-05i,0.00029249+0.00043839i,-7.9793e-05-8.9693e-05i,0.00035889-0.00026525i,0.00064464+9.0757e-05i,0.0008564+0.00031692i,0.00062691+0.00026165i,4.7492e-05+7.8543e-05i,-9.8534e-05+0.000202i,8.5445e-05+0.0010231i,-0.00016164+0.0015002i
0.0009522+0.0003291i,0.0011796-2.6495e-05i,0.00074062+2.3967e-05i,0.00078053+0.00015574i,0.00083784+0.00019808i,0.00087842-0.00024766i,0.0011408-0.00092207i,0.00065656-0.0013992i,0.00027961-0.0010044i,2.1461e-05-0.00015953i,0.00018533+0.00015869i,0.00051565+0.00023414i,0.00068035+0.00032435i,0.00067727+0.00013142i,0.00016416+0.0001375i,0.000263-1.045e-05i,0.00024903-0.00021967i,0.00015236-0.00025733i,0.00012676-0.00063195i,0.00042442-0.00022962i,0.00028197+0.00039412i,-0.00015783+0.0001876i,0.0002784+0.00012758i
-0.0020826+1.4854e-06i,-0.0026323+0.00044215i,-0.0013363+0.00143i,-1.8323e-05+0.0011596i,0.00012307+6.4525e-05i,-0.00026428-0.00029405i,-0.00064499-6.3211e-05i,-0.00054734-7.1456e-05i,-0.0003062+0.00026232i,-0.00029238+0.00052305i,0.00017567+0.00042192i,0.00068229+0.00017891i,0.00098878-0.00017343i,0.0008403+0.00017744i,0.0011197+0.00044881i,0.0012386+0.00031283i,0.00045328+3.9346e-05i,1.59e-05-0.00062305i,0.0002165-0.00065568i,0.00019415+0.00025335i,0.00012636+0.0013159i,0.00014355+0.00063522i,0.00051211-0.00019494i
0.0010622-0.00058573i,0.00083698-9.6284e-05i,0.00056402-0.0011141i,0.0013245-0.0016347i,0.0015059-0.0010095i,0.0010937-0.00032252i,0.00089407-0.0003718i,0.00052724-0.00059269i,9.7901e-05-0.00011756i,-4.4574e-05-4.9134e-05i,0.00045987+3.2561e-05i,0.00015414+9.76e-05i,2.918e-05+0.00057097i,0.00067671+0.0010742i,0.0004956+5.169e-05i,0.00022829-0.00040594i,0.00022544+0.00025676i,0.00060718+0.00090424i,0.00059441+0.00065847i,-1.3145e-05+9.5671e-05i,0.00064293+0.00018422i,0.0012761+0.00025459i,0.00059279+0.00012934i
0.0013909-0.00078929i,0.0014727+7.4265e-05i,0.0017938+0.00015517i,0.00168-0.00029936i,0.00072297-0.0011242i,-0.0002731-0.0015896i,0.00035785-0.00068093i,0.00096884-0.00034908i,0.00068492-0.00059533i,0.0002842+6.0956e-06i,0.00040953+0.00025911i,0.0002807+0.00010434i,-0.00088053+8.714e-05i,-0.0014684-0.00025887i,-0.0006054-0.0004899i,-0.00070239-0.00030899i,7.9507e-05-0.00025362i,0.0011679+8.6619e-05i,0.001112+0.00015737i,0.00069828-0.00027376i,0.00020847-8.3535e-05i,2.7352e-05+2.4558e-05i,-0.00012955+0.00016051i
0.00054132+0.00022276i,0.0010047-0.00032932i,0.0024177+0.00030564i,0.0024176-0.00030374i,0.0011852-0.001454i,-0.00029681-0.0019355i,-0.00029677-0.0015777i,-9.0513e-05-0.00056678i,-0.00020922-8.6172e-05i,0.00039765-8.0438e-05i,0.00043172-0.0001314i,0.00010942-0.00023187i,0.00011996-0.00011452i,-0.0001882-0.00050445i,-0.00010676-0.00029212i,-0.00039121+4.6997e-05i,-0.0003497-0.00061501i,-8.7118e-05-0.00066095i,-0.00044923-0.00045357i,-0.0009457-0.00051431i,-0.00082851-3.8298e-05i,-0.00044044+0.00010607i,-0.0001806+0.00010409i
0.00081774+7.4524e-05i,0.0015229+0.00055638i,0.0026904+0.0010756i,0.0027898+0.00063929i,0.0023451-6.553e-05i,0.001579-0.00068852i,0.00098559-0.00086681i,0.00047566-0.00068838i,0.00035943-0.00047744i,0.001345-0.0010668i,0.00098167-0.0013083i,0.00044577-0.00098949i,0.00052574-0.00042311i,0.00022171+0.00012173i,-0.00012309+5.5446e-05i,0.00038504-0.00048178i,0.00022536-0.00030933i,-0.00013851-0.00058927i,0.00040332-0.00069043i,0.00010106+0.00030734i,-0.00087423+0.00022406i,-0.0009634-6.801e-05i,-0.00087148+0.00031921i
0.00040864+0.0003176i,-0.00058132+0.00043708i,-0.0012732+0.00097781i,-0.00047153+0.00044166i,0.00018656-0.0005321i,-0.00018464-0.00065564i,-0.00075727-0.00048849i,-0.0012173-0.0004228i,-0.00049595-0.00038379i,0.00047028+0.00034968i,0.00072071-6.1256e-05i,0.00080172-0.0014534i,0.00064772-0.00085351i,0.00019576+0.00065286i,0.00017833+0.00029435i,7.358e-05-1.5411e-05i,-5.4168e-05+0.00015379i,0.00031306+0.00020669i,0.00065376+0.00024437i,0.00074016+4.5516e-05i,0.00069638-0.00027359i,0.00051641-7.0105e-05i,0.00044033+0.0002945i
0.00063305+8.6886e-06i,0.0006424-0.00019788i,0.00012249-0.00073892i,-0.00061514-0.00018135i,-0.00085531-0.000355i,-0.00037241-0.00058721i,0.00034765-0.00079197i,0.00051099-0.0006863i,-0.00025095+0.00050851i,-0.0006137+0.00065251i,-0.00016902-2.4862e-05i,3.7615e-06+0.00023575i,-7.4706e-05+0.00042899i,0.00039577+0.00029012i,-0.00012893+0.0007194i,-0.00059404+0.00039179i,-0.00017893+5.6943e-05i,-7.5904e-05+0.00027904i,-0.00020001+0.00028861i,-0.0006149-0.00027024i,-0.0001906-0.00014054i,4.0298e-05+0.0004189i,-0.00016985+0.00039345i
0.0014783-0.00068803i,0.00067889-0.00042201i,0.0013039-0.0013955i,0.002183-0.0019878i,0.0012006-0.0020174i,-0.00089966-0.0014671i,-0.0012147-0.00084511i,-0.00016737-0.00086244i,0.00043639-0.00046646i,0.00028762-0.00043596i,-3.6915e-05-0.00043768i,0.00035143-0.00012105i,0.00028253+6.2837e-05i,-5.6772e-05-0.00032296i,-0.0004257+0.00025093i,-0.00049075+0.00067826i,-0.00036943+0.00059472i,0.00064404+1.6244e-05i,0.00073663+0.00010902i,9.7433e-05+0.00029809i,-3.0941e-06+0.00032475i,-0.00037331+0.00037059i,-0.00050303+0.00066049i
0.0010953-0.00060973i,0.0016907-0.00015722i,0.002421+0.00061799i,0.0023646+0.00067217i,0.0018452-0.00012576i,0.0010442-0.0006866i,-7.5366e-05-0.00060218i,-6.5013e-05-6.8591e-05i,-0.00016242+0.00044676i,-4.84e-05+0.00014221i,0.00052341+0.00037147i,0.00038694+0.00032058i,0.00023816+1.2315e-05i,0.00031601+0.00062347i,0.00028169+0.0011008i,0.00063075+0.00033692i,0.00022475-9.9441e-05i,-9.1236e-05-0.00014591i,-0.00011077-0.0005101i,-0.000752-0.00092116i,-0.0002514-0.00074194i,0.00068136-5.1066e-05i,0.00049152-0.00041639i
0.001618+1.0908e-05i,0.0010681-0.00091484i,0.0012741-0.0020687i,0.0015866-0.0023425i,0.0016077-0.0019006i,0.001317-0.0014952i,-9.0618e-05-0.00094941i,-0.00048656-0.00072908i,-8.982e-05-0.00051214i,-0.00063575-0.00042987i,-0.00039405-0.00056107i,-0.00026815-0.00048251i,-0.00052472-0.00026908i,0.00016903+0.00052063i,0.00051022+0.0012787i,0.00038522+0.00076783i,0.00027891+0.00016771i,0.0005141-0.00040188i,0.00075439-0.00065173i,-6.0722e-05-0.00068416i,-0.00017796-0.00019848i,0.00031904+0.0005476i,0.00044963+0.00063115i
-0.00084617-0.0014119i,-0.00042366-0.00053744i,-0.00039016+0.00085375i,5.008e-05+0.00040779i,0.00075189-0.00010183i,0.0006055+0.0002331i,0.0005265-0.00010183i,0.00030713-0.00022065i,0.00045945+0.00018714i,0.0008137-0.00013827i,0.00015028-0.00074524i,-2.6211e-05-0.00012871i,0.00046523-1.4472e-05i,0.00022805-0.00026721i,0.00058554+0.00041139i,0.00076735+0.00064519i,0.00098987+0.00031184i,0.00098124-0.00042379i,0.00056568-0.0010212i,0.00016526-0.0011371i,-0.00015777-0.00057554i,-0.00032513+0.0003192i,-0.00023235+0.00035158i
-4.1274e-06-0.0015936i,0.00031219-0.00095892i,-8.0699e-06-0.00056154i,-0.00025194-0.00090475i,-0.00066693-0.0011109i,-0.00011728+0.00026741i,3.7648e-05+0.00047619i,8.3676e-05+0.00057202i,0.00037927+0.0005339i,-0.0001659-0.00018834i,-3.7814e-05+0.00039546i,0.0003116+0.0010465i,-0.00036752+0.00079473i,-0.00088033+0.00065389i,-0.00041588+0.00039315i,-4.819e-07+0.00017203i,-0.00084702-0.0001548i,-0.001153-0.00012848i,-6.9256e-05+0.00024878i,0.0004873+0.00058342i,4.6686e-05+0.00069545i,-0.0005922+0.00081308i,-0.00045043+0.00050152i
-0.001806+0.00019744i,-0.0016653-0.00026961i,-0.0010273+0.00025997i,0.0004223+2.9702e-05i,0.00066607-0.0004256i,0.00010174-0.0004674i,0.00069384-0.00010207i,0.00059787+2.0305e-05i,0.00010401-0.00017796i,0.00028263+0.00022925i,0.00072531+0.00081125i,0.00063593+0.0004037i,0.00056677+0.00013344i,0.00057951+0.00048032i,0.00043347+0.00013802i,0.0003318-0.00041457i,-9.7694e-05-4.4121e-05i,-0.00067238+0.00050521i,-0.00098448+0.00053417i,-0.0005638+0.00051713i,-0.00020066-7.7333e-05i,-0.001442-0.00024858i,-0.0016867+0.00047403i
-0.00086587-0.0015607i,-0.00092351-0.001178i,-0.00083586-0.00054833i,-0.00066621+4.0873e-05i,-0.00043784-0.00057214i,0.00059094-0.0010392i,0.00094792-0.00054333i,0.0006045-0.00012937i,7.1885e-05-0.00022171i,1.2712e-05-0.00013579i,7.8494e-06+0.00048364i,-0.0005652+0.0011306i,-0.00069958+0.0012305i,-0.00022336+0.00068464i,-0.00035642+0.00082639i,-0.00043209+0.00056386i,-0.00013506+0.00040503i,4.8109e-05-2.7937e-05i,-0.0001129-0.00063367i,-0.00052319+1.8874e-05i,-0.0004907+0.00042511i,0.00012001+0.00063727i,-0.00010908+0.00060688i
