-0.001278+0.0014908i,-0.0006324+0.00081063i,-0.00085285+0.0010032i,-0.0017312+0.00049434i,-0.0026179+0.00103i,-0.0021604+0.0014806i,-7.7271e-05+0.0022275i,0.00099015+0.0032798i,0.0010683+0.0022342i,0.001413+0.00043854i,0.0013395-0.00015248i,0.00023628-0.00052809i,-0.00065149-0.00075169i,-0.00045114-0.00012004i,-0.00031428+0.00077489i,-0.00035545+0.00098071i,-4.0717e-05+0.00061079i,0.00046056-0.00018368i,0.00050424-0.00039528i,-0.00025563-0.00069064i,-0.00032537-0.00073496i,0.00010302+0.00016327i,-0.00034757+0.00044546i
2.7675e-05+0.0033384i,0.0011476+0.0016207i,0.0014889+0.001238i,8.8215e-05+0.00087191i,-0.00050559+0.0008337i,0.00053446+0.00047182i,0.00043573+1.6049e-05i,1.8711e-05-0.00014896i,-0.00014917+0.00013466i,-0.00038441+0.00029867i,-0.00085059+0.00048751i,-0.00076389+0.0010824i,-0.00018923+0.001471i,-0.00073857+0.0010037i,-0.00066101+0.00013602i,-0.00020155-0.00040201i,0.00027278-0.00088826i,0.00033343-0.00054194i,-0.00013255-8.0392e-05i,-0.00010752-7.5195e-05i,7.0351e-06+0.00044081i,-0.00018322+0.00051346i,-0.00040718-0.000127i
0.00053641+0.0016562i,-6.0358e-05+0.0020112i,0.000625+0.0026328i,0.00045466+0.0011712i,-0.00015234+0.00018512i,-0.00021627+0.00082114i,0.00013362+0.00054694i,0.00050955+0.00036009i,0.00045149+0.00095228i,0.00079144+0.0010078i,0.00096667+0.00070522i,-5.3286e-05-9.9945e-05i,-0.0011678-0.00078917i,-0.0014022-0.00074366i,-0.0009376-0.00055884i,-0.00071251-0.0003381i,-0.00049399+9.6356e-05i,-9.0209e-05+0.00035988i,2.4829e-05-0.00012527i,-1.2393e-05-0.00040394i,-0.00038845-0.00048113i,-0.00057253-0.00054567i,-0.00028812+8.8689e-05i
-0.0018307+0.0024384i,-0.0010748+0.0017563i,-0.00029986+0.0010816i,-0.00061562+0.00045118i,-0.0015915+0.00094159i,-0.00069907+0.0015853i,0.00041861+0.0010136i,0.00098044+0.00051308i,0.0016168+0.00053842i,0.0012465+0.00020881i,0.0001797-0.00042219i,-0.00041572+0.00022288i,-0.00083819+0.00097352i,-0.00064178+0.00078429i,8.6052e-05+0.00023843i,0.00060525-0.00083636i,0.00046545-0.0011014i,-0.00022611-0.00081314i,5.2914e-05-0.00027993i,-1.5465e-05-0.00026239i,-0.00057774-0.00097632i,-0.00049215-0.0015368i,-0.00013735-0.00089373i
-0.0013819+0.0017119i,-0.001182+0.0024135i,4.1811e-05+0.0026443i,0.00085052+0.0030279i,-0.00046881+0.0025025i,-0.00075906+0.0016599i,0.00086294+0.00080567i,0.00092766+0.00011087i,0.00031511+0.00073497i,0.00037827+0.00087207i,0.00059059+0.00023638i,0.00081579+0.00025805i,0.00084655+0.00028086i,0.00047947+0.00036943i,0.00018408+0.00065241i,0.00038954+0.00071338i,0.00037702+0.00024871i,0.00070094+9.4953e-05i,0.00021981-1.7703e-05i,-0.00094209-0.00044279i,-0.0010869-0.00051069i,-0.00061202+9.6946e-05i,-0.00047071+0.00068651i
0.0014101-0.00034189i,-8.8479e-06-0.0016665i,-0.00028204-0.0019125i,-0.00071566-0.0017632i,-0.0012917-0.001273i,-0.0013517-0.00025213i,-0.00089549+0.00045848i,9.7341e-06+0.00069155i,-9.6234e-05+0.00012904i,-0.00016676-0.00035236i,0.00015939+4.326e-05i,3.2055e-05+0.00022491i,-0.00034639-0.00051058i,-0.00028413-0.00093805i,3.8744e-05-0.00014289i,0.00049407+0.00019708i,0.00083644+0.0001157i,0.00039157-0.0002716i,0.0006307-0.00063769i,0.00016907-0.0003733i,-0.00064774+0.00020753i,-0.00042072+0.00045778i,-0.00018212+0.00043696i
-0.0023478-4.8843e-05i,-0.0018817+0.0003281i,-0.0013971+0.00091816i,0.00024216+0.001112i,-0.00023782+0.0022771i,-0.00058416+0.0023784i,0.00095306+0.0017897i,0.0013917+0.00080441i,0.0010343-3.0209e-05i,0.0004194+0.00025423i,0.00014901+0.0001274i,-0.00019166-0.00020206i,-0.00083014+0.00030792i,-0.0010644+0.00072326i,-0.00037515+0.00032893i,-5.4042e-05+3.4722e-05i,0.0002132+0.00051367i,0.00053882+0.00084024i,0.00065565+0.00050194i,-2.9606e-05+4.0933e-05i,-0.00071023-4.2277e-06i,-0.00033785+0.00053348i,-0.00033537+0.0008496i
-0.00093554+0.00052298i,-0.0012009-0.00025152i,-0.0011044-0.00068898i,-0.001393+0.00072082i,-0.0017077+0.0016287i,-0.0011869+0.0018832i,-0.0004418+0.00174i,-0.00018404+0.00077278i,0.00014491-2.2174e-05i,0.00026245-0.00025316i,0.00028978-0.00015172i,0.00057665+0.00017089i,0.00046506+0.00011556i,-0.00040058-0.00045151i,3.7788e-06-0.00089578i,0.001045-0.0010302i,0.00087569-0.00033538i,0.00060797-4.311e-05i,0.0010871-4.0084e-05i,0.00078877-0.00053364i,-4.7924e-05-0.0007126i,-0.00017722-0.00017612i,2.1406e-05-0.00040182i
-0.00038568-0.00027704i,0.00080418+0.00019658i,0.00090935+0.0011084i,0.00048794+0.0003498i,-0.00025423+0.0002977i,-0.00040914+0.0012713i,0.00022363+0.00098838i,0.0006268+0.00071325i,0.00018954+0.001402i,-0.00063189+0.0014926i,-0.00024688+0.0010915i,0.00066562+0.00052945i,0.00038442-0.00061869i,-0.000603-0.00083344i,-0.0010702-0.00033873i,-0.0010363-0.00019435i,-0.00064456-0.00048551i,0.00022241+6.8131e-05i,0.00055526+0.00012401i,-0.00026639-0.00083652i,-0.00073487-0.00053019i,-0.00023074+9.5608e-05i,0.00012084-0.00031943i
-0.002988+0.0026129i,-0.001509+0.002359i,0.00022208+0.003157i,-0.00045687+0.0029388i,-0.0012618+0.0021236i,-0.00044983+0.0020558i,0.0004915+0.0016015i,0.0002921+0.00078271i,0.00032739+0.0010934i,0.00084037+0.0009494i,0.00021899+0.00012305i,0.00035597-0.00030853i,0.00054466-0.00030493i,0.00014972-0.00055316i,0.00050342+1.9354e-06i,0.00048781+0.00061213i,-0.0001785+0.00092703i,-0.00037504+0.00073525i,-0.00020509-0.0001712i,-0.0001095-0.00014335i,-0.00085655+0.00018843i,-0.00093253-0.00037761i,7.0455e-05-2.4952e-06i
-0.0024963+0.0016581i,-0.0020256+0.0014115i,-0.0015066+0.0024467i,-0.00022351+0.0029577i,0.00053238+0.0028109i,0.0013214+0.0023387i,0.001758+0.0014641i,0.0011582+0.00082048i,0.0011543-3.3334e-05i,0.001854-9.4991e-05i,0.0011519+0.00052197i,4.6479e-05+0.00042018i,0.000323-8.8229e-06i,0.00061657-0.00043698i,-3.5908e-05-7.067e-05i,-0.00010408+0.0001339i,0.00020275-0.00026664i,6.3835e-05-4.531e-05i,0.00027742-0.000103i,0.00052474-0.00029423i,0.00020567+3.5502e-05i,4.5578e-05+0.00023522i,0.00018001+0.00041065i
