-0.0025102-0.00018344i,-0.0018894+7.3472e-05i,-0.0024964+0.00076715i,-0.0026367+0.00087674i,-0.002108+0.00075561i,-0.0010519+0.00068975i,-0.00079396+0.0014977i,-0.00087969+0.0016932i,-0.0005499+0.0018663i,0.00020428+0.0015587i,0.0012353+0.0001343i,0.0012079-0.0015231i,0.00014453-0.0016457i,-0.00078786-0.00098461i,-0.00096521-0.0010351i,-0.0004171-0.00060483i,-0.00039593+0.00031065i,-0.00084106+0.00012121i,-0.00082605+0.00039318i,-9.1579e-05+0.00050345i,0.00037215+0.00025665i,-8.0794e-05+0.00016966i,-0.00019481+0.00011589i
0.00076382+0.00091071i,0.0010348-0.00057886i,0.00058445-0.0016391i,-0.00078924-0.0016077i,-0.0018366-0.00091713i,-0.0023899-0.00015468i,-0.0015417+2.362e-05i,-0.00030194-3.1062e-05i,0.0002686-6.65e-05i,0.00031529-0.00010847i,-8.8698e-05-0.00018085i,-0.0007803+0.00060427i,-0.0007652+0.00080143i,-0.00020221+0.00033075i,0.00019072+0.00013947i,0.00017575-0.00033804i,0.0005134-0.00065054i,0.00082969-0.00093935i,0.00044843-0.00065663i,1.5656e-05-0.0004818i,-0.00017796-6.7981e-05i,-0.0001456-1.4813e-05i,-0.00037965-0.00037558i
-5.9306e-05+0.00019378i,-0.00039951-0.00088226i,-0.00023558-0.0019028i,3.9126e-05-0.0023344i,0.00036442-0.002184i,0.00037782-0.0012248i,-1.0441e-05-0.00016345i,3.8678e-05+0.00061355i,0.00046441+0.00023457i,0.00028255-0.00035138i,-0.00021572-0.00035567i,0.00018711+0.00048392i,0.00016993+0.0010236i,-0.00039092+0.00068307i,-0.00017659+5.769e-05i,-0.00024776+0.00018332i,-0.00063803-0.00027231i,-0.00036285-0.00067459i,-0.00039061-7.0003e-06i,-0.0003559+0.0001549i,0.00012746+2.4753e-05i,0.0003043-0.00025459i,-0.00053592+0.00031975i
-0.00086259+0.0013062i,-0.00053087+0.0012579i,0.00037315+0.00079537i,0.00082616+0.0007094i,0.00053794+4.7637e-05i,-0.00077824-0.00053431i,-0.001732-0.00066129i,-0.0016831+0.00077088i,-0.0016668+0.002219i,-0.00096557+0.0017325i,-0.00050251+0.00074336i,-0.00019006+0.00027995i,0.0001207+5.8877e-05i,-0.00022989+0.0001004i,0.00026083+4.0176e-05i,0.00065975+2.8654e-05i,0.00019484-0.00013861i,0.00019998+0.00011249i,0.00025468+5.6568e-06i,-0.00022293-0.00041826i,-0.00070461+0.00039903i,-0.0009741+0.0011584i,-0.00029093+0.0011181i
0.00041171+0.00069405i,0.00030124+0.00013682i,0.00075929-7.0409e-05i,0.0013283-0.00063155i,0.0011916-0.0006104i,-0.00026158-0.00048359i,-0.00092581-3.9793e-05i,-0.000622+0.00051519i,0.0004965+0.00059713i,0.00046956+2.3786e-05i,-0.00061388-0.00030285i,-0.00090921-0.00029098i,-0.00085674-0.00053796i,-0.00059868-0.00049624i,-4.9069e-05+0.00041585i,0.00043876+0.00070192i,0.00087578+0.00098785i,0.0012387+0.0012038i,0.00060005+0.00041938i,0.00026363-0.00067422i,5.5473e-05-0.00037517i,0.00014233+0.00031027i,0.00055379+0.00075122i
0.0016804-0.002407i,0.00082396-0.00042891i,4.5093e-05-4.5137e-05i,-0.00090951-0.00096287i,-0.0018135-0.00083965i,-0.0021121+0.00023483i,-0.0021196+0.00063685i,-0.0010495+0.00046045i,-7.0656e-05+0.00083648i,-0.00071734+8.1964e-05i,-0.00068721-0.00048585i,0.00036674-2.2192e-05i,0.00051219+0.0003521i,0.00048581-1.6149e-05i,0.00044743-0.0003811i,-1.117e-05-0.00096473i,0.00013845-0.0013555i,0.00096681-0.00063425i,0.00080337-0.0001483i,0.00045602-0.0002245i,0.00058094+9.5008e-05i,0.00062582+0.00040535i,0.0002611+0.00059677i
0.00033588+0.00088078i,-0.00073964+0.0012377i,-0.0015172+0.00026524i,-0.0011524-0.00063532i,-0.00095277-0.00029762i,-0.00047351+0.00012445i,-0.0005834+0.00042366i,-0.0013387+0.00050104i,-0.00079393+0.00035456i,0.00056276+0.00054951i,0.00035942+0.00074495i,-0.00021669+0.00067589i,-6.93e-05+0.0002063i,0.00054822-0.00075423i,0.0005368-0.0010082i,0.00046676-0.00063944i,0.00028713-0.00015445i,0.00048676+5.3861e-05i,0.00065054+0.00039346i,-0.00013201+0.00081103i,-0.00052126+0.00024047i,-0.00023491+0.00067422i,-0.00022645+0.00094481i
-9.1992e-05+7.6822e-05i,-0.0013313+0.00081188i,-0.001851+0.000746i,-0.0017178-0.00019006i,-0.0014124-0.00051566i,-0.00053368-0.0003632i,0.00022826-0.00015245i,-0.00072412+6.1602e-05i,-0.0012762+0.00011561i,-0.00080049+0.00012582i,-0.00015492-0.00026408i,0.00040254-0.00054679i,0.00062473-0.00040418i,0.00042858-0.00021694i,0.00032509+5.1302e-05i,-0.00018896-0.00032505i,-0.0006704-0.00031196i,0.00029778-0.00028824i,0.0012571-0.00084593i,0.0012778-0.00050675i,0.00045465-0.00046542i,0.00042407-0.00054666i,0.0010125-0.00030638i
2.7519e-05-0.0012415i,-0.0005202-0.00084624i,-0.0011354-0.00070408i,-0.0014836-0.001791i,-0.0020779-0.0015826i,-0.0024624-0.00011511i,-0.0021527+0.00042654i,-0.0016204+0.00020783i,-0.00098602-0.00014664i,0.00012323-7.7293e-05i,0.00045503+0.00047542i,-3.4521e-05+0.00040925i,3.6328e-05+0.00052681i,0.00029972+0.00044085i,0.00023941-5.6456e-05i,0.00026158+0.00019352i,0.00012282+0.00039748i,-7.7035e-05+0.0003925i,0.00033818+0.00032446i,0.00015319+3.7696e-05i,-0.00072599+0.0005695i,-0.0003281+0.00098262i,-0.0003031+0.00046166i
0.0021757+7.669e-05i,0.002386-0.00013808i,0.0028735-3.5105e-05i,0.0025898-0.0014966i,0.0013685-0.0023383i,-0.0004748-0.0011297i,-0.0019401+0.00021842i,-0.0014367+0.00017915i,-0.00021057-0.00034671i,0.0005814-0.00071009i,0.00028362-0.0006329i,0.00036623-6.7347e-05i,0.0006372-6.6652e-05i,0.00017081+0.00020965i,-0.00045901+0.00043334i,-0.00099439+0.0005274i,-0.00059446+0.00010053i,-0.00015716-0.00046136i,-2.0699e-05-0.00043242i,0.00035307-0.00015454i,0.00058696-3.4749e-05i,0.00027827-0.00054996i,-0.00012329-0.00012329i
0.00040004+0.00020217i,0.00026125-0.00054068i,0.00058362-0.00059668i,0.00022153-0.0011073i,1.4036e-05-0.0017279i,-0.0013168-0.0011903i,-0.0018841-0.00031673i,-0.001098+0.00057657i,-0.0001616+0.00030042i,0.001142-0.00015307i,0.0015568-7.0411e-05i,0.00059282-0.00026821i,0.0002028-0.00041548i,2.4219e-05-0.00034378i,2.9278e-06-0.00055852i,0.00023369-0.00048641i,-0.00055462-0.0010216i,-0.00089675-0.0011245i,-0.00030498-0.00062741i,-3.2472e-06+0.00011917i,-0.00034564+0.0010747i,-0.00029997+0.0010002i,0.00045853+0.0010524i
