-0.0025102-0.00018344i,-0.0018894+7.3472e-05i,-0.0024964+0.00076715i,-0.0026367+0.00087674i,-0.002108+0.00075561i,-0.0010519+0.00068975i,-0.00079396+0.0014977i,-0.00087969+0.0016932i,-0.0005499+0.0018663i,0.00020428+0.0015587i,0.0012353+0.0001343i,0.0012079-0.0015231i,0.00014453-0.0016457i,-0.00078786-0.00098461i,-0.00096521-0.0010351i,-0.0004171-0.00060483i,-0.00039593+0.00031065i,-0.00084106+0.00012121i,-0.00082605+0.00039318i,-9.1579e-05+0.00050345i,0.00037215+0.00025665i,-8.0794e-05+0.00016966i,-0.00019481+0.00011589i
0.00023653-0.00069719i,0.00096055+0.0007253i,-0.00037666+0.00050827i,-0.0019268+0.00056486i,-0.0012936+0.0013246i,-0.00053933+0.0018536i,-0.00066666+0.00092081i,-0.00064821-0.00050629i,-0.00045264-0.00055512i,9.4295e-05+0.00044533i,0.0004678-0.00029962i,2.4712e-05-0.00096143i,-0.00068601-0.00035073i,-0.00044219-0.00022755i,-0.00039509-0.00083548i,-3.3445e-05-0.0008663i,0.00035691-0.00011036i,0.00051794+7.8058e-06i,0.00014373-0.00010897i,-0.00045643-6.7309e-05i,-7.7026e-06-0.00036487i,0.00051554-0.00037318i,0.00015344+0.00063748i
0.00055494-0.0013814i,-0.0010015-0.00022747i,-0.00077792-0.00039705i,-0.00063069-0.00025115i,-0.0011164+0.00020192i,-0.0012351+0.00082581i,-0.0010087+0.00026704i,-0.00086468-0.00094831i,-0.00032269-0.0011296i,-6.8849e-05-0.0010419i,-1.0422e-05-0.000434i,0.00050353-0.00011466i,0.00052043-0.0002764i,-0.0007055-0.00087516i,-0.0013919-0.0010644i,-0.0013001-0.00054114i,-0.00095369-0.00010013i,-0.00035982-0.00012604i,0.00035916-0.00027423i,-3.7663e-05-0.00053027i,-0.00036682-0.00034919i,5.8921e-05+0.00049223i,0.00016952+0.00040178i
-0.0023227+0.00099839i,-0.001775+0.0011604i,-0.00074975+0.0010367i,-0.00039077+0.00052167i,-0.00056109+0.00022305i,-0.0010504+8.137e-05i,-0.0015681-0.00097921i,-0.0013422-0.0012063i,-0.00071918-3.3807e-05i,-9.8593e-05+0.00040255i,0.00025385-0.00019023i,-0.00025664-0.0010769i,4.8984e-05-0.00123i,0.00028214-0.00052398i,-0.0003482+6.9506e-05i,-0.00014594+1.459e-05i,0.00042761-0.00065217i,0.00064869-0.0011999i,0.00042413-0.00045631i,0.00020277+0.00070969i,9.5391e-05+0.00039406i,-0.00044759-0.0010568i,-2.8192e-05-0.0017497i
0.0010979+0.0011895i,0.0012156+0.00051333i,0.0012825-0.00013693i,0.00063966-0.00022077i,0.00024151-0.00047691i,-0.00012246-0.00028372i,-0.00048094+9.834e-07i,-0.00011976-0.00015015i,1.958e-05+5.7091e-06i,-0.00017396+0.00031525i,-0.00023839-5.6459e-05i,0.00011947-0.00047317i,2.4134e-05-0.00014531i,-7.7347e-05+0.00010069i,0.00074477+0.00034605i,0.00073463+0.0010562i,0.00053598+0.00070257i,-0.00027276-8.9818e-05i,-0.0014714-0.00036966i,-0.0015967-0.00014671i,-0.001051+0.00016417i,-0.00062716-0.00050425i,-0.00031124-0.00037164i
-0.0020074-0.00049884i,-0.0015841+0.00011104i,-0.00088902+0.00084996i,-0.00074968+0.00063991i,-5.9158e-05+0.00033615i,0.00036624-0.00050359i,-0.00037252-0.0010968i,-0.00087831-0.0004492i,-0.00078472+0.0005306i,-0.0011595+0.00098404i,-0.00084709+0.00039443i,-0.00012209-0.00012586i,0.00035771+0.00019429i,-1.5854e-05+0.00044358i,-0.00042943+2.4825e-05i,2.6445e-05-0.00025293i,0.00028752+2.4608e-05i,0.0011583+0.00013016i,0.00054516+0.00050718i,-0.0013309+0.00027416i,-0.001108-0.00057272i,-0.0003423-0.00073248i,0.00018007+0.00012416i
0.00040908-0.00060388i,0.00048411-0.00035153i,0.00023093+1.1459e-06i,0.0011078+0.00058841i,0.00071735+0.00089201i,-3.4894e-05+0.00019395i,-0.00045127-3.4516e-05i,-0.00040107-0.00020428i,-0.00024846+0.00030165i,0.00013995+0.00091799i,0.00073576+0.00077989i,0.00075783+0.00087678i,0.00020933+0.0013286i,-0.00021077+0.0004435i,0.00030037-0.00049345i,0.00047652-0.00039047i,0.0008528+3.5908e-05i,0.00084925+0.00024429i,-0.00039758+5.0619e-05i,-0.00033114-0.00053374i,0.00015224-0.00048629i,0.00021936+0.00032719i,0.00025409+0.00060497i
2.8495e-05+0.0007963i,0.00027764+0.00072099i,0.00079315+0.00072889i,0.00091867-0.00018397i,0.00060916-0.0015247i,8.3734e-05-0.0011594i,-0.00074797+0.00012689i,-0.0011293+0.00058517i,-0.0006673+0.00042479i,-0.00039176-0.00044232i,-0.00018017-0.0011276i,-0.00094866-0.00045306i,-0.00072078+0.00048462i,0.00072585-3.4772e-06i,0.00017379-0.0010614i,-8.6958e-05-0.0015282i,0.00076075-0.00073048i,0.00038132+2.2079e-05i,-0.0005926+0.00053772i,-0.00076166+0.00081781i,0.00037894+3.0931e-05i,0.00047713+0.00030756i,1.9672e-05+0.0007279i
-0.00018215+0.0012497i,-0.0014259+0.0025622i,-0.0016946+0.0023245i,-0.00052123+0.00091817i,-0.0003847-0.00013731i,-0.0010769+0.00025527i,-0.00089882+0.00055305i,-0.00070248+0.00039413i,-0.00061776+0.00091446i,-9.6255e-05+0.00081538i,0.0007193-0.00036105i,0.00058356-0.0009347i,-0.00014844-0.00036502i,-0.00023844-0.00034858i,7.0704e-06-0.0010872i,0.00025877-0.00096839i,0.00081069-0.00018066i,0.00083956-8.0178e-05i,0.00011517-6.6418e-06i,2.8935e-05-4.4135e-05i,0.00079087-0.00074582i,0.0010846-0.00136i,0.00065096-0.0011694i
-0.00051396+0.00034983i,-0.00080198-0.00061511i,-0.00032865-0.0010566i,-0.00025138-0.0010503i,-0.00088921-0.00022465i,-0.00097534-0.00018369i,-0.0011555-0.00015752i,-0.0011052-3.0563e-06i,-0.00046308+0.000284i,-1.2351e-05+0.00016532i,-0.00032984-0.00032038i,-0.00028936-0.00061206i,-7.4767e-05-0.00070126i,-0.0002504-0.0011235i,-0.00038725-0.00074994i,-0.00067252-0.00014528i,-0.00025447-0.00016474i,0.00038692+0.00027732i,0.00072878+0.00069653i,8.4427e-05+0.00084951i,-0.0015004+0.00077283i,-0.0017301-0.0001825i,-0.00074997-0.0010627i
-0.0017687-0.0021685i,-0.0023751-0.0015308i,-0.0031698-0.00064163i,-0.0024801-0.00070864i,-0.0015187-0.00075558i,-0.00070734-0.00012992i,-0.00080503+0.00011652i,-0.0020699-0.00015282i,-0.0024582-0.00031975i,-0.0017771+0.00017725i,-0.00075429+0.00047501i,3.312e-05+0.00027123i,0.00034233+0.00040806i,0.00010757+0.00012388i,-0.00018492-0.00075842i,2.0516e-05-0.00099025i,0.00033035-0.00014186i,4.1197e-05+4.1387e-05i,-7.4063e-05-0.00028496i,-0.00048255-0.00051049i,-0.00077623-0.0005853i,-7.8609e-05-0.00032211i,0.00071672-0.0002923i
-0.00061094-0.0011558i,-0.00057035+3.6408e-05i,-0.0016788+0.0012418i,-0.0011967+0.0012317i,0.00034472+0.00091339i,0.00061296+0.00030684i,-0.00054513+7.4945e-05i,-0.0018834+0.00047185i,-0.0019834+0.00088033i,-0.00089552+0.001058i,0.00024438+0.00052052i,5.3281e-05-0.00036857i,-0.00034061-0.00073316i,-0.00027001-0.00054076i,-0.00018853-0.00044405i,0.00049963+0.00017889i,0.0010827+0.00066703i,8.0127e-05+0.00062036i,-0.0005642+0.0005056i,-0.00028902+0.00017336i,-0.00054748-0.00011557i,-0.00057106-0.00060001i,-0.00065281-0.00066515i
-0.0010875+0.0019364i,-0.00033629+0.0020025i,0.0016017+0.0014713i,0.002433+0.0012645i,0.002021-0.0001754i,0.00093724-0.0018407i,0.00029939-0.0019128i,-0.00044971-0.00049117i,-0.00068196+0.0011177i,-8.8475e-05+0.00094362i,-0.00051684-0.00048614i,-7.246e-05-0.00081108i,0.0005516-0.00011959i,0.00024745-7.5873e-08i,-0.0004694+0.00018907i,-0.00045759-0.00014507i,0.00035713-0.0009946i,0.00070472-0.00097014i,0.00063619-0.00082328i,0.00057299-0.00047379i,0.00031567+0.00032754i,-0.00027042+0.00048575i,-0.00020672-0.00029701i
0.00078746+0.00056301i,0.00031062-0.0003965i,0.00038687-0.00061115i,-0.00017816-0.0013783i,-0.00033902-0.001732i,-5.2845e-05-0.00096918i,0.00016165-0.00024145i,-0.00061666+0.00090463i,-0.00069472+0.0020181i,-0.00058791+0.0020482i,-0.00097719+0.00083126i,-0.00045735+0.00013917i,0.00024782+0.00044799i,-0.00054058-5.0415e-05i,-0.00042962-0.00055562i,0.00024731-0.00019209i,0.00039777-4.1252e-05i,0.0007895-0.00027731i,0.00068253+9.8031e-05i,0.00060887+0.00030667i,0.00031329+9.8248e-05i,-0.00021278+0.00049858i,9.1745e-05+0.0013461i
-0.00080024+0.00035099i,-0.0011619+0.0010535i,-0.0013972+0.0012267i,-0.001382+0.00021441i,-0.001078+0.00023709i,-0.00073512-0.00054838i,-0.00069301-0.001457i,-0.0010552-0.0004954i,-0.0011143+0.00028784i,-0.00077132-0.00030998i,-0.0012068-0.00043797i,-0.0010676+0.00040258i,-9.204e-05+0.00087724i,0.00012727-0.00017534i,0.00041306-0.0012728i,0.00031801-0.00052616i,-0.00010003-5.9374e-05i,0.00019949+0.00010084i,0.00095543+0.0004684i,0.0011958+0.0006513i,0.00030111+0.00067207i,-0.00034835+0.0003766i,-0.00040864+0.00050747i
-0.0016417-0.00049026i,-0.00090768+7.6054e-05i,0.00027275+0.0010005i,0.00072924+0.00096284i,0.00090036+0.00025434i,0.00013978-3.6996e-05i,-0.0013227-0.00037356i,-0.0015477-0.00083444i,-0.0003008+0.00016798i,-3.7575e-05+0.0013325i,-0.0007312+0.0012067i,-8.7763e-05+0.00026492i,0.00037476-0.00026041i,0.00051051-0.00066237i,0.00060804-0.00034373i,-0.00031236+4.1967e-05i,0.00017485+0.00029609i,0.00071671+0.00089727i,-9.7088e-05+0.00075976i,-0.00052702-1.0683e-05i,-2.7774e-05+1.6992e-05i,9.7326e-06-7.95e-05i,0.00019864-0.0004847i
-5.5664e-05-0.00086151i,-0.0010688-0.00053751i,-0.0015177-0.00041286i,-0.0018236-0.0011157i,-0.002047-0.00056605i,-0.0012964+0.00051813i,-0.00087458+0.00017882i,-0.0017149+0.00011267i,-0.0013216-6.1296e-05i,0.00024906-0.00041389i,0.00032418-0.00015963i,-0.00011926+0.00021173i,5.3551e-05+0.00015028i,0.00065097-3.3486e-05i,0.00047568-0.00032318i,0.00014527-0.00022787i,-0.00071765+0.00012131i,-0.00075442+0.00042703i,0.00028502+0.00090379i,-4.5291e-05+0.00051695i,-0.00036887+0.00012177i,0.00021893+0.00014388i,0.00073553+0.00021274i
-0.00051637-0.001029i,0.00019665+2.8743e-05i,-0.00016138+0.00039605i,-0.00072925+0.00031447i,-0.00062579-0.00047464i,-0.00012017-0.00014799i,9.387e-06+0.0006029i,-0.00066674+0.00085084i,-0.0015111+0.00063659i,-0.00042944+1.3548e-05i,0.00028447-0.00017646i,-3.2098e-05-1.1706e-05i,7.8576e-06-0.00053758i,-2.8315e-06-0.0017622i,-0.00042818-0.001543i,-0.00020684-0.00029956i,9.5725e-05+0.00020096i,0.00047784-0.00058242i,0.00033383-0.0012744i,-5.3407e-05-0.0013793i,0.00037195-0.00074779i,-1.2598e-05+6.7872e-05i,-0.00055892+6.0475e-05i
0.00071676-0.0011096i,0.00023749-0.0012968i,-0.00030915-0.001445i,-0.00061888-0.00080105i,-0.00072055-0.00074313i,-0.00068778-0.00099955i,-0.00077077-0.00093113i,-0.00084973-0.00096262i,-0.0004308-0.00088798i,-0.0004765-0.00085744i,-0.00044927-0.00071994i,1.7315e-06-0.00087221i,0.00068308-0.00071854i,0.0011852-0.00037574i,0.00095728-0.00078312i,0.001348-0.0009733i,0.00082746-0.00022419i,0.00023992+0.00012002i,0.00050559+0.00058755i,7.1243e-05+0.0012449i,-0.00028671+0.0015386i,-0.00047764+0.00072524i,-0.00054494-0.00047874i
-0.00071668-0.00063155i,-0.00087089-0.00087512i,-0.001421-0.0016075i,-0.0016833-0.0010238i,-0.0016082-0.00077652i,-0.0020503-0.00058803i,-0.002203+0.00029218i,-0.0016681+4.2204e-05i,-0.00065779-0.00034003i,-6.9363e-05-0.00060519i,0.00019177-0.00052379i,0.0002944-0.00055639i,-0.00035609-0.00044361i,-0.00044271-0.00064706i,0.00021806-0.00063791i,0.00057141-0.00048214i,0.00050654-0.00036156i,0.00042637-3.7642e-05i,0.00093746+0.00035081i,0.0011549+0.00061285i,0.00093751+0.00040652i,0.00055857+2.0632e-05i,0.00056672-0.00020971i
-0.00073789+0.00093351i,-0.00035576+0.0018229i,0.00086829+0.0022394i,0.0015761+0.0010513i,0.00065419-0.00036218i,-0.00048592-0.00079331i,-0.0011437-0.00058666i,-0.0010569+0.00091948i,-6.4561e-05+0.0018752i,0.00059912+0.0008787i,-0.00015821-0.00050305i,-0.00080741-0.00029402i,-0.00082033+0.00019162i,-0.00072541-0.00036318i,-6.7112e-05-0.00082797i,0.00097529-0.000231i,0.0014026+0.0004917i,0.0014507-1.1593e-05i,0.0011908+0.00014341i,0.00045553+0.00087682i,-0.00011767+0.0011486i,4.8741e-05+0.00019767i,8.9776e-05-0.00011897i
-0.00064504-0.0004584i,-0.00083228+0.00073141i,0.00031353+0.00060864i,0.00095304+0.00051737i,-9.4177e-05+0.0013109i,-6.6652e-05+0.00071755i,-0.00073367+0.00028183i,-0.0014899+0.00013967i,-0.0016746+0.00015824i,-0.0008463-8.1597e-05i,0.00022085-0.0007981i,0.00032852-0.0012801i,-4.1364e-05-0.00026861i,-0.00083179+0.00018366i,-0.00099183-0.00021441i,-0.00082941-9.4293e-05i,-0.00033013-0.00028287i,0.00057275-0.00055002i,0.0003965-0.00013248i,-1.319e-05-2.0758e-05i,-0.00019818+7.7628e-05i,0.00018574-3.8571e-05i,-7.785e-05-0.00031211i
-0.00073196-0.0014894i,-0.0027856-0.0010847i,-0.0032874+0.00046067i,-0.0020528+0.00083129i,-0.0006756+0.0017765i,0.00032899+0.0020125i,0.00016272+0.00036167i,-0.00089859-0.00077305i,-0.0017919-0.00084477i,-0.0015731+0.00013991i,-0.00090721+0.00019048i,-0.00029706-0.00026202i,0.00025251-0.00020755i,0.00069902-5.5585e-05i,0.0004817+0.00026625i,-0.00021266+1.8166e-05i,-7.045e-05-0.00040309i,0.00047505-0.00083941i,0.0010324-0.001048i,0.0010275-0.0006571i,0.00044995-3.0578e-05i,0.0011633+0.00029779i,0.0016708+0.00016019i
-0.00019782-0.001359i,0.00062232-0.0011789i,-0.00020968-0.0018998i,-0.00046384-0.0013119i,-0.00021512+6.2873e-05i,-0.00059036-0.00022369i,-0.0011683-0.00087224i,-0.0014955-0.00099056i,-0.0012844+0.000605i,-0.00076776+0.0011124i,-0.00064715+4.2465e-05i,-0.00052989-0.00035882i,-0.00016574+0.00023676i,0.0003964+5.39e-05i,0.00060209-0.00061383i,0.00042267-0.00052846i,0.00053199-0.00028584i,0.0003273+0.00051279i,0.00041165+0.00090678i,0.0012034+0.00040911i,0.00072122+0.00043105i,0.00017435+0.0005179i,-8.7905e-05+0.00051888i
0.0011662-0.0013028i,0.00045445-0.00068676i,-0.00038083-0.00059132i,-0.0013573-0.00091249i,-0.0020514-0.00074366i,-0.0020148+0.00021204i,-0.00081307+0.00040271i,-0.00032765-0.00013151i,-0.00092954-0.00054208i,-0.0014489-0.00010205i,-0.0014533+0.00034263i,-0.00060157+0.00043956i,-8.2543e-05+0.00011934i,0.00019945-0.00037835i,0.00049484-0.00094853i,-2.6053e-05-0.0013414i,-8.0983e-05-0.00061486i,0.00023975-3.8777e-05i,0.00058215+0.00037872i,0.00046559+0.00034683i,0.00021417-0.00022281i,0.00048917-0.00010788i,0.00078765+0.00067563i
0.0021835+0.00080217i,0.001191-0.00013829i,0.00075409-0.0020998i,-6.0757e-05-0.0025131i,-0.0010412-0.0021073i,-0.0013447-0.0016073i,-0.0014673-0.00101i,-0.00092928-0.00017971i,-0.00016732+0.00056743i,-0.00059515+0.0002529i,-0.00079628+1.0622e-05i,-0.00054047+0.00021412i,-0.00058055+0.00063183i,-0.00031347+0.00051095i,6.7499e-05+7.1116e-05i,0.00041993+0.00036441i,0.00047284+0.00023726i,0.00037347-0.00053228i,4.6393e-05-0.00060543i,-0.00020245+0.00014222i,0.00011801+0.00068964i,0.00058327+0.00048755i,0.00051455-0.00010181i
-6.7371e-05+0.0004321i,0.00065106-0.00035763i,0.0011674+0.00061852i,0.00073436+0.00065123i,0.0012747-0.00038875i,0.001143-0.00021094i,0.00043285-0.00029079i,-2.6612e-05-0.00042807i,-0.0005554-0.00012192i,-0.00085306+0.00022805i,-0.0010497-2.2687e-05i,-0.000612-0.0006883i,-0.00011567-0.00021355i,-0.000297+0.00095071i,-0.00017759+0.001377i,0.0002233+0.0010722i,0.00017524-0.00033302i,0.00032721-0.0011833i,-0.0001067-0.00020657i,-0.0009332+0.0005897i,-0.00032877+0.00012661i,0.00047221+7.8842e-05i,0.00028167+0.00049609i
-0.0003203-0.0026889i,-0.00062493-0.0017898i,-0.00094092-0.0018593i,-0.00091582-0.00080257i,-0.00053479+0.00016353i,-0.00023774-0.00062536i,-0.00032316-0.00094189i,-0.0011991-0.00094039i,-0.0014202-0.0015805i,-0.0011836-0.0010211i,-0.00050854+0.00017284i,9.543e-06+4.4621e-05i,0.00040342-0.00059717i,0.0009407-0.00097576i,0.00037946-0.00098698i,-0.00020065-0.00070225i,-0.00041065-0.00018392i,-0.00032336-0.00020571i,0.00031233-9.2356e-05i,0.00082459-0.00014274i,0.00060911-0.00034838i,-6.1111e-05+0.00013939i,0.00040969+0.0006128i
-0.0021506+0.0013525i,-0.0014626+0.0026457i,-0.0018544+0.003667i,-0.0011748+0.0010096i,0.00071313-0.00013362i,-0.00025092-9.9203e-05i,-0.0016264-0.001062i,-0.0012402-0.0010446i,-0.00086482+0.00037392i,-0.00033723+0.00123i,0.00062585+0.0005183i,0.00086569+6.0895e-05i,0.00051843+4.5811e-06i,0.00016534-0.00035667i,0.00013469-0.00023553i,0.00043201-0.00028868i,0.00089881+5.3844e-06i,0.0010589+0.00072575i,0.00077733+0.00046951i,0.0010861-4.0873e-05i,0.0010028+0.00097807i,0.00043859+0.0020453i,0.00059525+0.001485i
0.0013568-6.2987e-07i,4.8412e-05-0.00013319i,0.00015634-0.00039846i,0.0004159-0.00094017i,0.00035211-0.0013349i,-0.00044339-0.0018927i,-0.0005941-0.001725i,-0.00072539-0.00077886i,-0.0006637+0.00024376i,0.00021563+0.0005064i,0.00025894+0.00029205i,0.00013558+6.2497e-05i,-0.0003538-0.00010475i,-0.00038303-0.0003372i,-0.00029204-0.00014151i,-0.00022679+3.9452e-05i,0.00028503-0.00030666i,0.00038223-0.00052143i,0.00013366-9.461e-05i,0.00061332+0.00082022i,0.00038055+0.00074137i,-0.00042831+8.9861e-05i,-8.405e-05-0.00020688i
-0.00053609+3.943e-05i,-0.0015451+0.00038173i,-0.0019046+0.00083716i,-0.00088447+0.00060803i,0.00014287+0.0009533i,8.9743e-05+0.00059973i,-0.00093416-0.00017897i,-0.0017702+0.00019619i,-0.0016401+0.0003986i,-0.001519-0.00010147i,-0.00081418-0.00019891i,-0.00030971-0.00033012i,-0.00029055-0.00061516i,0.00053327-0.0010006i,0.00077528-0.0012582i,-0.00055149-0.00054336i,-0.00059444+0.00045352i,0.00075881+0.00086094i,0.00035307+0.00044202i,-0.00031362-0.0001884i,-0.0010355-5.0943e-05i,-0.0011644-8.4085e-05i,-0.00063695-0.00041136i
0.001566+0.0010931i,0.0010955-9.4982e-05i,0.0013932-0.0011967i,0.00093517-0.0014095i,-0.00049417-0.0011797i,-0.0012439-0.0010968i,-0.0011353-0.0010484i,-0.00032713-0.00059097i,0.00020223-0.0010719i,-9.3605e-05-0.0008983i,-0.0006577+0.0001112i,-0.00061108+0.00093162i,0.00014946+0.00046773i,0.00075474-3.7242e-05i,0.00050137-0.0003888i,-9.8429e-05-0.00037238i,0.00045968+0.00019354i,0.00085474+0.00024626i,0.00055151-0.00024239i,0.00049526+0.00019972i,0.00044233+0.00046109i,0.00061939+0.00012263i,0.00029012-0.00056602i
0.00016561-0.00048038i,-0.00064383-0.00029046i,-0.00072621-0.00029273i,-0.00072511-0.0011464i,-0.00085512-0.0009584i,-0.0012388-7.8942e-05i,-0.0014494-0.0004769i,-0.0012045-0.00111i,-0.00092745-0.0011005i,-0.00013769+8.9746e-05i,-6.0156e-05+0.00055705i,-0.00069302-0.00048616i,-0.00044669-0.001768i,0.0010306-0.002212i,0.001246-0.0013607i,0.00014768-0.00034081i,0.00051907-0.00027707i,0.0011071-9.1223e-05i,0.00049565-0.00018699i,-0.00038889-0.00030628i,-0.00050428+0.0001689i,0.00051944-9.5442e-05i,0.00089162-0.0003637i
-0.0026463+0.00083427i,-0.0013066+0.0010593i,8.1741e-06+0.0011104i,2.431e-05+0.0010548i,-0.00078276+0.0011252i,-0.0012941-0.00030065i,-0.0017031-0.0018298i,-0.0016989-0.0014981i,-0.0011927+0.00025175i,-0.00062353+0.00090705i,0.00013865-1.333e-05i,0.00054146-0.00050129i,0.00047613-0.00012832i,0.00049245+9.1165e-05i,0.00072489+0.00028653i,0.0001287+0.00089034i,-0.00057938+0.00069281i,-0.0006094-7.2014e-05i,-0.0003955-0.00078072i,-0.00037455-0.00054222i,-0.00066642-0.00047262i,-0.0008138-0.00046003i,-0.0001574+7.0724e-05i
-0.00015843+0.00095457i,0.0011811-0.00031175i,0.0016543-0.001272i,0.0014738-0.0010785i,0.00066792-0.0011235i,-0.00021403-0.0015438i,-0.0008059-0.001648i,-0.0011565-0.0011059i,-0.0010395-3.8243e-05i,-0.00059032+0.00036383i,-0.00050167+0.00023599i,-8.2828e-05-0.00059178i,0.00010204-0.0011006i,-0.00025516-0.00087352i,-0.00048449-0.00028867i,-0.00021232-0.00025186i,0.00037481-0.0011674i,0.00019898-0.00096562i,-0.00017635-0.00010106i,-0.00073051+0.00047588i,-0.00085758+0.00060563i,-6.6536e-05+0.00080551i,0.00030544+0.0010845i
-0.00017924-0.0016821i,-0.0013148-0.001135i,-0.0019808-0.0014791i,-0.0014405-0.00089016i,-0.0020282+0.00015767i,-0.0020103+0.00078592i,-0.0010143+0.00071091i,-0.001182+0.00029153i,-0.0017057+0.00027252i,-0.0014332+0.00021275i,-0.00046095+0.00024679i,0.00012464+8.9889e-05i,0.000239-0.00037233i,-0.00014024-0.00020703i,-6.809e-05+0.00017176i,0.00052326+0.00040006i,0.00027235-0.00015901i,0.00029517-0.00034416i,0.00036907+2.6178e-05i,-0.0002312-0.00053224i,1.1754e-05-0.00055842i,0.00010616+0.00047221i,-0.0002654+0.000736i
-0.0020934+0.0010828i,-0.0030397+0.001725i,-0.0031762+0.0019885i,-0.0020591+0.0022211i,-0.0005984+0.0025557i,3.4782e-05+0.0009186i,0.00017735-0.00018976i,-0.00022753+0.00016955i,-0.00092957+0.00024278i,-0.00072948+0.00070907i,-0.00054535+0.0010528i,-0.00044398+0.00066352i,-0.00018663+0.00084659i,0.00038708+0.00068958i,0.00037758-7.0154e-05i,-0.00012541-0.001236i,-0.00020957-0.0010295i,6.6319e-05-0.00019075i,0.0002473-0.00050104i,-4.1952e-05-0.00027128i,-0.00029442+0.00010628i,4.7696e-05+1.859e-05i,0.00032112-0.00032413i
0.00065728+0.00075897i,0.00033863+0.00064985i,0.00094381+0.00019249i,0.0017656-0.0007513i,0.00098484-0.0018665i,-0.00035149-0.0019215i,-0.00074937-0.00071281i,-0.00094481+0.00015757i,-0.00097089+0.00026686i,-0.00056294+0.00033189i,-0.00049962+0.00016053i,-0.00073422-0.00040583i,-0.00057717-0.00087541i,0.00011274-0.0004538i,-0.00013733+0.00014936i,-0.00023856-0.00020338i,0.00016022-0.0003709i,0.00019118-0.00086664i,-8.2335e-05-0.0013058i,-7.506e-05-0.00043387i,-0.00028387+0.0010079i,-4.2672e-05+0.00084442i,0.0010737-4.2249e-06i
-1.2973e-05+0.0013411i,0.0014897+0.0016748i,0.0015049+0.0015713i,0.00047385+0.00028019i,-0.00021923-0.00037454i,-0.00065708-0.0004046i,-0.0013625-8.7169e-06i,-0.0020959+0.00034503i,-0.0015387+0.00069318i,-0.00055605+0.00086504i,-5.9308e-05+0.00012178i,-0.00029423-0.00037323i,-0.00061689+4.9496e-05i,-0.00040593+0.00037968i,-0.00045684+0.00023538i,-0.00052309+0.00045116i,-0.00025053+0.00081459i,4.6472e-05+0.00010536i,0.00014626-0.00062206i,-0.00024642-0.00024748i,-0.0011122+0.00022475i,-0.001039+0.00010132i,-0.00019363+6.8761e-05i
-0.0013656+0.0019582i,-0.00090694+0.0001337i,0.00020678-0.00049043i,0.0016115+0.00071436i,0.0011789+0.00086968i,0.00065808-0.00050677i,0.00080336-0.0011776i,-0.00038431-7.9425e-05i,-0.0012153+0.00144i,-0.00043006+0.00093433i,0.00015033-0.00051474i,-0.00056126-0.00065873i,-0.00048869-0.00075244i,-4.6187e-06-0.00046259i,0.00025984+0.00029708i,0.0010413+0.00028516i,0.0013343+0.00018356i,0.00079403-0.00016263i,0.00052059-0.00024952i,0.0001956-0.00027631i,-0.0003285-0.00049336i,-0.00055834-0.00027407i,-0.0004406+9.9896e-05i
8.6862e-05-0.00089651i,0.00028287-0.001617i,0.00025626-0.0001797i,0.0010566+0.00070664i,0.0014808+0.00083356i,-0.00027653+0.00020925i,-0.0017985-0.00023639i,-0.0015433-0.000287i,-0.00030389-1.2292e-05i,0.00057226+0.00052108i,0.00076395+0.00055069i,0.00078927+0.00050417i,0.00064428+0.00023849i,-0.00040072-0.00012123i,-0.0011661-0.00065533i,-0.00067788-0.0011577i,0.00031857-0.0007783i,9.933e-05-0.00027422i,5.7099e-05-1.5905e-05i,0.00054353+0.00019668i,-1.9244e-05-6.2475e-05i,-1.6329e-05-8.1237e-05i,0.00099789-3.7867e-05i
-0.00036483+0.00051436i,-0.00095805+0.00025031i,-0.0016741+0.00016273i,-0.0010258+0.00034262i,-0.00044162-2.6798e-05i,-0.00065195-0.0004638i,-0.0010701-0.00079131i,-0.0015836-0.00036061i,-0.0013843+0.00077486i,-0.00076999+0.00072334i,-7.0987e-05-0.00019623i,0.0001791-0.00077463i,-0.00036872-0.0014091i,-0.00060855-0.0015226i,-0.00025082-0.00079876i,0.0006887+0.00036095i,0.00089691+0.00068394i,0.00041949-0.00018581i,-7.1343e-05-0.00016247i,-0.0010286+1.8992e-05i,-0.0015635-0.00039812i,-0.00090483+0.00030294i,-0.00032358+0.0013683i
0.0006609+0.00091123i,0.00070902+0.0016818i,0.00012965+0.0020919i,-0.00048688+0.00083479i,-4.0315e-06-0.00016473i,4.3063e-05+0.00029134i,-0.00081977+0.00035889i,-0.0011582-0.00012574i,-0.00041921+4.5484e-05i,-0.00016476+0.00043654i,-0.00013927+0.00054751i,-0.00018922+0.00062554i,-0.00039418+0.00034559i,9.5007e-05-0.00071314i,0.00057447-0.00095069i,0.0001205+0.00058129i,0.00020478+0.00099994i,0.0007933+0.00028899i,0.00029015-0.00011068i,2.2624e-05+0.00030154i,0.0003512+0.00069793i,0.00016544+0.00059098i,-0.00045321+0.00087995i
