-0.0020127+0.0013494i,-0.0010474+0.0016074i,-0.0016918+0.00012695i,-0.0014538-0.00034499i,-0.00017431+0.00076842i,0.00013376+0.001032i,-0.00021511+0.001671i,-0.0003735+0.0012449i,0.00023921-0.0003669i,0.00051267-0.0010764i,0.00045891-0.00043851i,0.00055095-2.6235e-05i,0.00067103-0.00057978i,0.00086128-0.00066579i,-0.00011203+8.5529e-05i,-0.00085125+0.00021493i,4.5331e-05-6.7365e-05i,0.00085984+0.00020079i,0.00074749+0.00071495i,0.0009416+0.00028441i,0.0010489-0.00039656i,0.00015543-0.00011228i,-0.000272-0.00025478i
0.00061686+0.0013096i,0.00039075+0.00089421i,-9.7088e-05+0.00090377i,0.0002567+0.00099277i,0.0014378+0.00013674i,0.0015501-0.00074748i,0.00095476-0.00067049i,-0.00020498-0.00013519i,-0.00036098+0.00033647i,0.00039398+0.00056813i,0.00044696+0.00052577i,0.00020721+0.0001088i,0.00027669-0.0012749i,-0.00057064-0.0018064i,-0.00066128-0.00097027i,0.00052546-5.5416e-05i,0.00063571+1.0729e-05i,3.5582e-05-0.00038467i,-0.00021869-0.00020681i,-0.00027283-0.00082149i,0.00031876-0.00061458i,0.00019784+0.00051101i,-0.00034837+8.792e-05i
0.00059852+0.0015152i,0.0015458+0.00070702i,0.00084578+0.0011712i,0.00060795+0.0018483i,0.00060734+0.0011044i,0.00021331-0.00083032i,0.00030877-0.0016206i,0.00036593+0.00025003i,0.0005339+0.00061221i,0.0013479+4.7796e-05i,0.0013474+0.00063742i,0.00035779+0.00085316i,-0.00020222+0.00052093i,0.00027424+0.00045405i,-2.3448e-05+0.00070895i,-0.0012921+0.00059246i,-0.00079839-0.00030971i,2.8904e-05-0.00053267i,-0.00014995+0.00011488i,-0.00022618-0.00025541i,0.00025386-0.00024208i,0.00084859+0.00036792i,0.00049846+0.00059378i
-0.00059173+0.0020076i,0.00032215+0.0016909i,0.00094102+0.0018809i,0.0016822+0.0017266i,0.0017404+0.00023767i,0.0009329-0.00013768i,0.00048704+0.00019926i,0.00066451+0.00041675i,0.00081028-0.00026887i,8.7325e-05-0.0015427i,-5.7496e-05-0.0013866i,0.00028238-0.00033018i,-7.387e-05-8.1641e-05i,-0.00050068-0.00012197i,-0.00084635+0.00026744i,-0.00061816+0.00022959i,0.00011217-0.00010096i,0.00052901+5.8829e-05i,3.8189e-05+0.0001913i,-0.00069132-0.00019993i,-0.00033901-0.00052534i,0.0001866-0.00039622i,-0.0003042+0.00031974i
-0.00043255+0.0013217i,-0.00023355+0.00094135i,0.00065023+0.0015238i,0.001985+0.0012544i,0.0029368+0.00045526i,0.0024765-0.00016763i,0.0010742-0.00050914i,0.00046996-0.00056321i,0.00071164+3.1535e-05i,0.0008265-2.5658e-05i,0.00010017-0.00034692i,-0.0003665+0.00018241i,-0.0002829-0.00038863i,-0.0007005-0.0003514i,-0.00093816+0.00018311i,-0.00072816-3.5976e-05i,0.00011004+0.00062069i,0.00092598+0.00056407i,0.00072+6.1122e-05i,0.00010543-3.6561e-05i,0.00019649+0.00016646i,0.00086492+0.00010439i,0.00087524-0.00020957i
3.6265e-05-0.00054475i,-0.00024427+0.00053364i,-0.00075862+0.00057537i,-0.0013324+0.001366i,-0.00088015+0.0018089i,0.00049243+0.001948i,0.0012581+0.0014918i,0.0014398+0.00011956i,0.0013431-0.0010056i,0.00080573-0.00095922i,-2.107e-06-0.00034515i,-5.3803e-05-0.00021404i,0.00070491-0.0004112i,0.001015-0.00055288i,0.0009433+0.00021235i,0.00032439+0.0011654i,0.00019836+0.00055144i,0.00024529-0.00023273i,0.00066411-4.7045e-05i,0.0004225-0.00076136i,-0.00018344-0.00075594i,-0.00022302+0.00010845i,-0.00010512-0.00018685i
0.0013545-0.0011794i,-0.00074867+0.0010554i,-0.0011335+0.0011936i,-0.00075519+0.00094924i,-0.00084471+0.00092898i,2.0551e-05+0.00082612i,0.0012117+0.00094927i,0.0011338+0.0011245i,-0.00030569+0.00072065i,-0.0010881-7.5756e-08i,-0.00049828-5.7108e-05i,0.00056632-0.00035338i,0.00090939-0.00047026i,0.00020081-0.00044638i,-0.00055125-0.00064351i,-0.00078842+5.0465e-05i,-0.0012081+0.00024458i,-0.00057036-0.00030148i,0.00027511+0.0001544i,-1.444e-05+0.00069297i,0.00027014+0.00057174i,0.00053024+0.00038015i,0.00061137+0.00055315i
-0.0002678-8.258e-05i,0.00031099-0.00061774i,0.00082359+0.00055635i,0.00087573+0.0011834i,0.0014222+0.00056599i,0.001202-9.8051e-05i,-6.7549e-05-0.00032879i,-0.00070959-0.00019743i,-0.00030743+0.00029231i,-0.00044261+0.0010059i,-0.00015533+0.00065318i,0.00036064+0.00045902i,0.00050622+0.00034431i,0.00035552+0.00089552i,-0.00014612+0.0017239i,-0.00045409+0.0010539i,-0.00044754+5.1737e-06i,-0.0003141-0.00027425i,0.00023625+0.00015161i,0.0010958+0.00066537i,0.0010999+0.00071449i,0.00059563+0.00040889i,0.00040233-1.8111e-05i
0.0013144-0.00071986i,0.0010168-0.0013375i,0.00095709-0.0016403i,0.00079493-0.0023301i,-0.00014704-0.0021495i,-0.0012373-0.0003417i,-0.0012402+0.0012517i,0.00027378+0.00042901i,0.00098973-0.00068227i,0.00083246-0.00034174i,0.00027384-3.0731e-05i,0.00019609+0.00014231i,0.00036611+0.00047497i,0.0001414+0.00098758i,0.00052077+0.0009314i,0.00031643-3.8486e-05i,8.4881e-05-0.00026259i,0.00012196+0.00061647i,-5.5883e-05+0.00098467i,0.00029234+0.00021722i,0.00089814-0.00017245i,0.00075989-0.00011733i,0.00025961-0.00036928i
-7.0279e-05-0.00059859i,-0.00071262+0.00026596i,-0.0013701-0.00079372i,-0.00087096-0.0016954i,-0.00052815-0.00067076i,-0.00017775+0.00011866i,0.00064077+0.00022478i,0.0013241+9.6811e-05i,0.0010149-0.00030772i,-0.00029121-0.00059412i,-2.5311e-05-0.00023672i,0.00078158-0.00021991i,0.00039862-0.00055326i,-6.675e-05-0.00047809i,0.00036849-0.00010945i,0.00067165+0.00043268i,0.0002792+0.00075148i,-0.00029349+0.00040323i,-0.00043997-0.00064205i,-1.6629e-05-0.00097311i,1.2749e-05-0.00086947i,9.1409e-05-0.00047803i,-0.00027269-0.00042521i
0.00096724-0.0016386i,-5.7833e-05-0.0011207i,-0.00038055+0.0004955i,-8.6402e-06+0.00084584i,0.00020574+0.00032659i,1.5486e-05+0.00036135i,-0.0001601+0.00050063i,0.00022955+0.00040693i,0.00069402-8.0052e-05i,0.00084635+0.00018726i,0.0010043+0.0014903i,0.0010314+0.0015366i,0.00073716+0.000215i,0.00053619-0.00068434i,0.00096305-0.00064884i,0.001519-0.00019106i,0.0011477+0.00035794i,0.00038969+0.0003296i,0.00011834+0.0004483i,-0.00022295+0.00044039i,-0.00014583-3.1738e-05i,0.00027291+0.00011424i,0.00038207+0.00052442i
0.0008162-0.0021562i,0.0012326-0.0019316i,0.00086591-0.00051378i,0.00091083+0.00031895i,0.0014355+0.00031901i,0.001853+0.0001856i,0.0017734+0.00064256i,0.0010188+0.00079759i,0.00027817-0.00031395i,-0.000651-0.00074923i,-0.00061424-0.00091943i,-2.1153e-06-0.00082996i,-4.8023e-05-0.00030384i,6.5208e-05-0.00016036i,-0.00010902-5.4098e-05i,-0.00074673-0.00017514i,-0.00074791-0.00020316i,-0.00073421-2.1538e-05i,-0.00046517+0.00028845i,-0.00030176-0.00023804i,-2.2087e-05-0.00076106i,6.5629e-05-0.00023723i,-0.00033544+0.00074764i
0.00027407+0.0017031i,0.001855+0.0013136i,0.0026933+0.00031327i,0.0025354-0.00031777i,0.00065007-0.0003429i,-0.00093732+0.00026419i,-0.00061379+0.0006051i,-0.00046851+0.00043876i,-0.00051566+1.4094e-05i,-0.00068186-0.00036116i,-0.00056152-0.00072268i,0.00034101-0.00021753i,0.00066594-8.1849e-05i,0.00061837+0.00027161i,0.00035918+0.00062172i,0.000496+0.0001113i,0.00053215-0.00044022i,0.00012934-0.00070819i,0.00058596-0.00058235i,0.00085592-0.0003699i,0.00049516-0.00028827i,-0.00034528-0.00045694i,-0.00089436-0.00062957i
-0.0023474+0.00049532i,-0.0027925+0.0003766i,-0.0012869-0.00023931i,0.00054176+0.00075145i,0.00091391+0.0015608i,0.0013601+0.0010832i,0.0014377+0.00065069i,0.00049479-0.00032214i,-0.00033586+0.00021263i,-0.00033626+0.0012696i,-0.00016462+0.00068323i,0.00016537-0.00011538i,-8.9941e-05-3.2786e-05i,-0.00031274+0.00028419i,0.00017108+7.0387e-05i,0.00020018-4.903e-05i,4.1599e-05+0.000146i,-2.4183e-05-0.00030388i,0.00036227-0.00069763i,-1.1092e-05-0.00085506i,-0.00051493-0.0010891i,-0.0004834-0.0010014i,-0.00060045-0.00079873i
-0.00042043-0.00087801i,-0.00079441-0.0001589i,-0.00027891+0.00087003i,1.7113e-06+0.00038631i,0.00023354-0.00016648i,-0.00012731-0.00014964i,-0.00027944+0.00026426i,0.00035345+0.0011648i,0.00070681+0.00074757i,0.00089702+6.0425e-05i,0.00070346+0.0007167i,0.00070028+0.0010251i,0.00089441+0.00032609i,0.00067685-0.00035251i,0.00099576-0.00053227i,0.00062274-0.00035532i,-9.4957e-05-0.0003392i,-0.0001105-0.00014988i,-0.00039443-4.1182e-06i,-0.0003359-0.00014899i,-0.00036+0.00019066i,-0.00060634+0.00049546i,-0.00019008+0.00030824i
0.00033306-0.0015235i,0.00019445-0.0016116i,0.00062482-0.0011472i,0.00030173-0.00068904i,-0.00036817-0.00025348i,-0.00033468-0.00010628i,0.00039313-3.7142e-05i,0.00099675+0.0001484i,0.0010429-0.00020379i,2.8682e-05-0.00064634i,-0.00024941-0.00066642i,1.644e-06-0.0004176i,-0.0007523+0.00036363i,-0.0013448-2.465e-05i,-0.00087817+2.3745e-05i,-3.8116e-05+0.00052149i,0.00047538+0.00012658i,0.00052963-8.6907e-05i,-0.00010845-0.00031278i,-0.00059385-0.00074821i,-0.00055934-0.00027761i,-0.00074147-0.00010179i,-0.00044052-0.00029128i
0.0007688+0.0007225i,0.0013736+9.7567e-05i,0.0017106-7.284e-05i,0.0016095-0.00036344i,0.00078449-0.00087785i,0.00034975-0.00031717i,0.00063585+0.00077305i,0.0010591+0.0010397i,0.0014429+0.00036952i,0.0010581-0.00056551i,-0.00017001-3.5552e-05i,-0.00021057+0.00037522i,0.00015641-0.0003116i,-0.00052434-0.00040535i,-0.00066813+0.00055488i,0.00015547+0.00081799i,0.00077981-0.000191i,0.00067728-0.00054274i,-0.00026373-0.00010801i,-0.00046734+0.00052596i,0.00027245+0.00027193i,0.00076932-0.00087395i,0.00080455-0.00091687i
-0.0005346-0.0007783i,0.00024254+0.00047491i,0.00029516+0.00037416i,-7.8456e-06+0.00035058i,0.00016177-2.4963e-05i,0.00021321-0.0001897i,0.00065024+0.00034171i,0.001105+0.00062395i,0.0011874+0.00028082i,0.00074867+0.00023137i,4.9867e-05+5.2322e-05i,0.0002016-8.4046e-05i,0.00043128+0.00036235i,-0.0001174+4.1483e-05i,-0.00012125-0.00054969i,0.00035046+0.00019879i,0.00090582+0.00074272i,0.00076004+0.00084304i,0.00063858+0.00040152i,0.00034843-0.00010683i,-0.00034373-0.00063028i,-0.00034799-0.00053169i,0.0002733+5.6685e-05i
-0.00122-0.00010078i,-0.0016908-0.00020159i,-0.001404-2.6669e-05i,0.00011381+0.00064891i,0.0013398+0.00022117i,0.0012855+0.00022752i,0.00068506+0.00033182i,0.0011775+0.00011521i,0.0010413-0.00023647i,0.00010488-0.00088809i,-0.00022652-0.00017732i,-0.00045671+1.6443e-05i,-0.00018684+0.00012705i,-0.0005385+0.00080291i,-0.00072125+0.00031195i,-0.00020283+0.00021028i,0.00026382+0.00062572i,0.00075863+0.00091577i,0.00086436+0.00064846i,0.00023011+0.00031322i,-0.00023055+2.3168e-05i,-0.0003824-0.00062657i,-0.0007488-0.00091338i
8.8e-05+0.00036874i,0.0014841+0.00067864i,0.0015893+0.0015868i,0.00023434+0.0014119i,-0.00030401+0.00073908i,0.00034694+0.0007944i,0.00039071+0.00048266i,0.00014128+7.216e-05i,-0.00015208+0.00030983i,0.00012199+0.00093222i,0.0004255+0.00054865i,-0.00018616+0.00025561i,-4.9274e-05+0.000864i,-0.00049861+0.0011984i,-0.0012582+0.0010418i,-0.00029832+0.00053531i,-0.00023802+0.0002272i,-0.00088727+0.00032279i,-0.001023+0.00049029i,-0.00043129+0.00062983i,0.00034971+0.00083661i,3.4564e-05+0.00039402i,-6.9356e-06-0.0006944i
-0.0024279-0.0011983i,-0.0023617-0.00038654i,-0.0013253+1.4264e-05i,-0.00014871+0.0006112i,0.00058366+0.0010498i,0.00088113+0.00080164i,0.00064525+0.00011041i,0.00018521-6.2623e-05i,0.00032402-0.00043291i,0.00023499-0.0001381i,-0.00052718-1.7263e-05i,-0.00055895-0.00017447i,-0.0002258-0.00092719i,0.00034422-0.0018263i,0.00071328-0.00084731i,0.00067831+0.00039363i,0.00035071+0.00039241i,0.00031319-0.00012737i,-0.00023363-8.114e-05i,-0.00037036-9.9514e-06i,-0.00026169-0.00018252i,-0.00093753+0.0001555i,-0.0002438+0.00059899i
0.0013831+0.00048526i,0.0010911+0.00031039i,0.0015541+0.0001024i,0.0015241-0.00019215i,0.00058752-0.00028359i,-0.0001908+0.00031063i,-0.00010302+0.00078752i,-0.00016878+0.00053437i,0.00020577+0.00033692i,0.00045911+5.8319e-05i,6.9415e-06-0.00020699i,9.1747e-05-0.00080418i,-6.8409e-05-0.00067353i,3.592e-05+0.00043667i,0.00010385+0.00036697i,-0.00060638-0.00056701i,-0.00097451-0.00066015i,-0.0007001-4.4368e-05i,3.1094e-05-0.00061306i,0.0005445-0.00079781i,0.00029323-0.00025825i,0.00018014-0.00064711i,0.00030428-0.00080691i
-0.00015095-0.00046316i,0.00069089+0.000684i,0.00049411+0.0011696i,0.00027112+0.00050066i,0.00044563-0.00039571i,0.00043321-0.00060288i,0.00028548-0.00040874i,0.00012455-0.00036406i,0.00071869-0.0001312i,0.0010674-0.00020322i,0.00027488-0.00068953i,-0.00022813-0.0006125i,-0.00021689-0.00015415i,-0.00029123-0.00043791i,0.00010588-0.00032184i,0.00031031-1.8364e-05i,0.0001714-3.517e-05i,-7.0413e-05-0.00031538i,-0.00074399-0.00065845i,-0.00103-0.0007037i,-0.00015368-0.00042946i,0.00061118+0.00040171i,0.00062571+0.00058728i
0.00088287-0.0010854i,0.0002595+0.00010994i,-0.0017425-0.00020819i,-0.0016026-0.00082312i,-0.00028395-0.00012936i,1.1196e-05+0.00067893i,-0.00018266+0.00080954i,-4.1448e-06+0.00071413i,0.00040935+0.00015478i,0.00052253-0.00055673i,0.0004156-0.00054562i,0.00043358+0.00011126i,-2.4199e-05-0.00012121i,-0.00024256-0.00061421i,-0.00042802-0.00027124i,-0.00061505-0.00053986i,-0.0005184-0.00068851i,-0.00023649+0.00015016i,-0.0002386+0.00036219i,-0.00030279-0.00016857i,0.00056546-4.0405e-05i,0.0011144+0.00053422i,0.00053235+0.00098549i
0.00087573-0.00018887i,0.00088957+0.00066719i,0.00086687+0.001157i,0.00059528+0.0011527i,-2.633e-05+0.00066346i,-0.00013785+0.00024144i,-9.9176e-05+0.00017411i,0.00052504+0.00015848i,0.00094658-0.00065897i,0.00011661-7.7873e-05i,-0.00043716+0.00077789i,0.00047914-0.00016239i,0.00072846-0.0010429i,0.00031516-0.00080275i,-0.00031894+0.00021346i,-0.00098311+0.0010079i,-0.00061334-0.00019448i,-0.00011311-0.00091445i,-0.00092666+0.00019131i,-0.0014279+0.00018158i,-0.00096081-0.00045949i,-0.00013056-3.5129e-05i,0.00039473+0.00023063i
0.00097457+0.00026149i,-3.6261e-05+0.00049835i,-0.00036758+0.0005764i,0.0004019-0.00026457i,0.0006479-0.00035013i,0.00066683-2.2306e-06i,0.00092526+0.00012654i,0.00091855+0.00021918i,0.00035427-0.00013713i,-0.00030308-0.00073705i,-0.00054703-0.00098623i,-0.00031704-0.00055562i,-0.00028827+0.0003792i,-5.1637e-05+0.0010502i,-0.00011426+0.00079518i,-0.00036699+0.0005026i,-0.00068692+5.6164e-05i,-0.00038723-0.00092633i,0.00041476-0.00038872i,0.00042242-9.2862e-05i,0.00065252-0.00073295i,0.00064237-0.00017947i,-1.833e-05+0.00048816i
