0.0015974+0.0003971i,0.0024248-0.00074659i,0.0018297-0.0026418i,3.6992e-05-0.0033083i,-0.0018962-0.0021078i,-0.0024427+0.00024792i,-0.0011613+0.0013346i,0.00025564+0.00044428i,0.00044663-0.00068526i,0.00056898-0.0014854i,0.0012354-0.00099002i,0.0014361-0.00048504i,0.00055515-0.00084246i,6.5635e-05-0.00095912i,0.0004346-0.00047024i,0.00015671-4.44e-05i,-0.0004054+0.00063717i,-0.00029089+0.0010156i,0.00041128+0.0012469i,0.00028002+0.00083755i,-0.00031055-0.00015039i,-0.0001657-0.00079797i,0.00026161-0.00082404i
0.0005528-0.00043489i,-0.00028907+0.00041375i,-0.00097323+0.0011632i,8.2145e-06+9.5495e-05i,0.00061449-0.0014037i,0.00031704-0.0007357i,0.00029048-6.1464e-05i,0.00055999-0.00027894i,-0.00033712+0.00058538i,-0.001256+0.00059247i,-0.0011368-0.00043551i,-0.00096118-0.00067892i,-0.0010879-0.00021606i,-0.00053108+2.7841e-05i,0.00038262-0.00014064i,0.00063349+0.00021812i,0.00055883+0.00054866i,0.00033007+0.00052246i,-0.00027419+0.00062997i,-0.0008197-7.6119e-05i,-5.6519e-05-0.00071447i,0.00055289-0.00019065i,-3.9236e-05+0.00054928i
-0.00072224-0.0012117i,-0.00063025-0.0009843i,-0.00074662-0.0020896i,-0.0011061-0.0036668i,-0.0017662-0.0040613i,-0.00052375-0.0021626i,0.0015973-0.00035032i,0.0029583-0.00030123i,0.0032105-0.00049966i,0.0023142+0.00014057i,0.00050799+0.00035923i,-0.00026736-3.9983e-05i,-0.00060431-0.00038869i,-0.00096971-0.00023161i,-8.9272e-05+0.00038514i,0.0001289+0.00034038i,-0.00050305-0.00014193i,-0.00047548+0.00057699i,-0.00088997+0.00051467i,-0.0015204-0.0002797i,-0.0013718-0.00048854i,-0.00044716-0.000653i,4.9383e-05-0.00011434i
0.0019916-0.0013818i,0.00044136-0.0014912i,7.8464e-05-0.0014269i,-1.846e-05-0.0019946i,-0.00042662-0.0026028i,-0.00022392-0.0017224i,0.00096423-0.00080463i,0.0025053-0.00092702i,0.0026616-0.0016214i,0.001515-0.0025711i,0.00056698-0.0019209i,0.00031069-0.00034729i,9.4852e-05+0.00041267i,-0.00048022+9.9583e-05i,1.6607e-05-0.00031031i,0.00036983-0.00014316i,-2.047e-05-0.00017486i,-0.00033102+8.6107e-05i,-0.00061778+0.00046578i,-0.00034872+0.00095628i,0.00021776+0.00083574i,-0.00027652+0.00012567i,-0.0011009+0.00045874i
0.0015722-0.0010764i,0.0022621-0.0012788i,0.0026712-0.0021182i,0.0014305-0.0028001i,-0.00039015-0.0028225i,-0.0016555-0.0019934i,-0.00081078-0.0014411i,0.00067576-0.0018706i,0.00042915-0.0032043i,-0.00033869-0.0029326i,-0.00046064-0.002133i,0.00018433-0.0012133i,0.00056201-0.00017809i,0.00017368+0.00035119i,-0.00043423+0.00068055i,-0.00064968+0.00085194i,-0.00083423+9.145e-05i,-0.00038651-0.00063013i,0.00042906+8.0761e-05i,0.00041335+0.0013425i,0.0001401+0.0012136i,-4.9369e-05+0.00012464i,-6.6767e-05+0.00013182i
0.0010597+0.0031398i,0.00050699+0.0038108i,0.0021121+0.0025577i,0.0029352+0.00033849i,0.0015845-0.0010579i,0.00037443-0.0013256i,0.00096246-0.00093765i,0.00091074-0.0014061i,-0.0011402-0.0024267i,-0.0032951-0.0027889i,-0.0034463-0.002059i,-0.0015593-0.0010202i,-0.00049799-0.00026228i,0.00013841-0.00036593i,0.00035637-0.00031858i,-0.00011573+4.5694e-05i,-0.0004547+3.6767e-05i,-0.00038478+0.00049707i,-0.00014494+0.0011899i,4.2606e-07+0.001149i,0.00056996+0.00052548i,0.00073132+5.4857e-05i,0.00046516-0.00011818i
-0.00030588+0.00019277i,0.00035759+0.00051205i,0.0010881+0.00015956i,0.0007726-0.00086757i,-6.7318e-05-0.0019203i,0.000419-0.0015571i,0.0013712-0.00076529i,0.0011126-0.0004721i,-0.00031891+0.00013325i,-0.0015966+0.00085384i,-0.0016251+0.0011203i,-0.0011844+0.0014832i,-0.00088947+0.0013082i,-0.00051556+0.00076045i,-0.00015592+0.00023008i,-0.00029986-0.00047434i,-0.00045904-0.00024236i,-0.00043691-0.00015833i,-0.00041327-0.00099106i,-0.00048976-0.0014099i,-0.00092481-0.0016463i,-0.0014796-0.0014938i,-0.001619-0.00075486i
-0.00024107-0.0013202i,-0.00053708+2.3063e-05i,-0.0014853+0.00028026i,-0.00079611-0.00029051i,-0.00032117-0.0011021i,-0.00038556-0.00075524i,0.00033047+0.00048813i,0.00084682+0.00063078i,0.0015118+0.0010014i,0.0014223+0.0018161i,0.00088237+0.0020395i,0.00057573+0.0016386i,-9.463e-05+0.00073424i,-0.0011168-0.00014021i,-0.0010287-0.00085263i,-0.0008202-0.0011094i,-0.00085776-0.0012296i,-0.0015577-0.00085296i,-0.0018537-0.00098767i,-0.0012967-0.00060324i,-0.0012761+0.00055609i,-0.001159+0.00064361i,-0.00087367+0.00026129i
-0.00046083+0.0016859i,0.00020151+0.00074325i,0.0011082-0.00045204i,0.0012378-0.0013259i,0.00074387-0.0018902i,0.00064894-0.0014799i,0.0012311-0.00018131i,0.0024641+0.00011193i,0.0028895+0.00021477i,0.0024194+8.9695e-05i,0.002627-0.0010069i,0.0020386-0.0011857i,0.00094311-0.00039107i,0.00085341-0.00044474i,0.00093118-0.00032179i,0.00039283+0.0002152i,0.00030984+0.00032936i,0.00032101+0.00025053i,0.00020367+0.00031684i,0.00041654+0.00061696i,0.00038083+0.0012405i,6.6878e-06+0.0015484i,-5.3028e-05+0.00091632i
-0.001005-0.0027536i,-0.0018565-0.0023269i,-0.0021999-0.0025343i,-0.0018773-0.0027318i,-0.0010909-0.001497i,-0.00011783-0.00044421i,0.0015945-0.00050883i,0.0030869-0.0007447i,0.0030373-0.0016317i,0.0012711-0.0029172i,-0.000717-0.003494i,-0.0010788-0.0028826i,-0.00066997-0.0017642i,-0.00042156-0.00033363i,-0.00085933+0.00054292i,-0.00022588-0.00046236i,0.0002946-0.00044577i,0.00013173+0.00034502i,0.00058258+0.00017513i,0.00074196+0.00052166i,-7.4589e-05+0.00093012i,-0.00030578+0.00099064i,-0.00013516+0.00057849i
0.0014079-0.0017141i,0.0016524-0.0022787i,0.0028164-0.0036952i,0.0026445-0.0036042i,0.00095637-0.0034665i,0.0001767-0.0026833i,0.0010832-0.0018125i,0.0012891-0.0024558i,0.00021418-0.0041483i,-0.0017498-0.0034661i,-0.0042414-0.0017429i,-0.0042165-0.00095931i,-0.0022268-0.00080213i,-0.00011513-0.00065965i,0.00091572-2.6299e-06i,0.0010869+0.00040007i,0.00041954+0.00076568i,9.9266e-05+0.00054027i,0.00064121-0.00013397i,0.00081099-0.00047485i,0.00071795-0.00032793i,0.00048844-0.00020895i,0.00010583-0.00067779i
-0.0011942-0.0005007i,-0.00073953+0.00057272i,0.00013718+0.0010796i,-1.0225e-05+0.00027993i,-0.0007226-0.00037931i,-0.0011031-0.0014098i,-0.00090297-0.0016465i,-0.0011451-0.0013619i,-0.0025762-0.0012321i,-0.0040552+0.00014534i,-0.0041398+0.0016958i,-0.0026914+0.0020488i,-0.0016991+0.001815i,-0.00066166+0.001753i,0.00053736+0.00082437i,0.00045483-0.00049179i,0.00051051-0.00068857i,0.00063191-0.00023515i,0.00022923-0.00051794i,-8.5926e-05-0.0007845i,-0.00024797-0.00028815i,-0.00044697-0.00022464i,-0.00045211-0.00070969i
-0.00094751+0.001606i,-0.0017697+0.001428i,-0.00085572+0.0011226i,0.00062614+0.00027916i,-7.8786e-05-0.00096286i,-0.0011698-0.00094133i,-0.00079459-0.00046489i,-0.00011657-0.00045825i,-0.00023847-1.0609e-05i,0.0003477+0.0019012i,0.0013095+0.0040285i,0.0012896+0.0040027i,0.0014423+0.002306i,0.00051548+0.00025466i,-0.00090394-0.00056369i,-0.00080299-0.00033837i,-0.00076222+0.00030512i,-0.0015962+0.00077154i,-0.0017298+0.0012865i,-0.0010661+0.0010442i,-0.00040653+0.00053725i,7.271e-05+0.00037995i,-3.8018e-05-5.8696e-05i
0.00063935-0.00026995i,-0.0008183-0.00012022i,-0.0010177-0.0017094i,-0.00014373-0.0028246i,-7.5028e-05-0.0023548i,-0.00026056-0.00048012i,0.00093133+0.00097426i,0.0018187+0.0011351i,0.0018823+0.00081843i,0.0020519+0.0002184i,0.0026355-0.00082962i,0.0030472-0.0012867i,0.0018992-0.00050884i,-0.00036783-0.00024657i,-0.0014921-0.00098628i,-0.00074427-0.00072896i,-4.474e-05-6.5029e-05i,5.5922e-05+0.00074592i,-3.9797e-05+0.00097296i,-0.00019626+0.00088273i,-0.00039271+0.001164i,-6.1525e-05+0.0013237i,4.3294e-05+0.0010298i
0.00033428-0.00077727i,0.001859-0.0015662i,0.0023623-0.0019274i,0.00075568-0.0020903i,-0.00066952-0.0022893i,-0.00058961-0.0021382i,0.0012432-0.001149i,0.0028608-0.0012332i,0.0027467-0.0027292i,0.0025256-0.0034925i,0.002371-0.0035517i,0.00113-0.0032529i,-0.00032755-0.0024078i,-0.0016128-0.00078442i,-0.002401+0.00074828i,-0.0020232+0.0011082i,-0.0016436+0.0019895i,-0.0011532+0.0026447i,-0.00012564+0.00263i,0.00083886+0.0014786i,0.00091623-0.00010416i,0.0001618-0.00040841i,-0.00014805-0.00029221i
0.001148+0.00090187i,0.00090555+0.0026622i,0.00081582+0.0026073i,0.00057581-0.00031383i,0.00070207-0.0030987i,0.0011078-0.0040954i,0.0010227-0.0031889i,0.0014812-0.0019748i,0.0014298-0.0015581i,-0.00099448-0.0027224i,-0.0030662-0.0031431i,-0.0034202-0.0018537i,-0.0015991-0.00026677i,4.5266e-05+0.00083186i,-0.00045246+0.00093864i,-0.00036373+0.00047752i,-0.00027096+0.00074855i,-0.00097712+0.0012962i,-0.0011496+0.00058962i,-9.4141e-05-0.00047831i,0.00072848-0.00039023i,0.0010642+0.00062889i,0.00087317+0.00058497i
0.0003421+0.00079455i,0.0018529+0.0016815i,0.0022002+0.00097656i,0.0014227-4.5803e-05i,0.00055054-0.001065i,7.7429e-06-0.00081743i,0.00063657+0.00011118i,0.0011881-0.0010172i,9.3924e-05-0.0023216i,-0.0018756-0.0013531i,-0.0033583-3.1385e-05i,-0.0027825+0.00068087i,-0.0011195+0.00074015i,-0.00015186+0.00050418i,0.00086751+0.00048656i,0.00095577+0.00010502i,0.00062687-0.0003059i,0.00076708-0.00034946i,0.00029209-0.00044878i,-0.00054902-0.00029103i,-0.0006026+0.00010554i,-0.00057739+0.00041075i,-0.00058943+0.00093448i
-0.00029915-0.0015378i,-0.00069071-0.0003479i,-0.0017573-0.0006403i,-0.0020732-0.0013087i,-0.0013366-0.00096754i,-0.00042631-0.00067809i,0.0012014-0.00087554i,0.0017613-0.0017477i,-0.00044524-0.0017043i,-0.0018579+0.00068271i,-0.0014174+0.0031273i,0.00020392+0.003142i,0.0018125+0.0020378i,0.0020925+0.00044159i,0.001169-0.0014929i,0.00063427-0.0024547i,0.00088496-0.0018334i,-8.4963e-05-0.00095101i,-0.0018398-0.00068593i,-0.0020573+0.00022166i,-0.0018433+0.00044475i,-0.001311-2.8768e-05i,0.00028346+0.00022595i
-0.00028361-0.0015412i,-0.00050484-0.0012801i,-0.00071761-0.0023535i,-0.00025267-0.0028936i,0.00066127-0.0033828i,0.00090295-0.0027691i,0.001186-0.0014094i,0.0011324-0.0018615i,0.00097365-0.00095927i,0.00064977+0.00087768i,0.0018004+0.0012278i,0.0028187+0.00056034i,0.0018636-0.00082991i,0.00098042-0.001956i,0.00036404-0.0021966i,-0.00061887-0.0015585i,-0.00096081-0.00046673i,-0.0005593-0.00015629i,-0.00066346-4.2268e-05i,-0.00067598+5.3981e-05i,-0.00034258-0.00014471i,-0.00055319+0.00014728i,-0.00072182+0.00014823i
-0.0010746-0.0003317i,-0.00062328+0.0006725i,-0.00025908-3.1458e-05i,-0.00032486-0.0015586i,-0.00073923-0.002609i,-0.0010993-0.0027022i,0.00054034-0.0012599i,0.0016972-7.3957e-05i,0.0014918-8.2129e-05i,0.0013581-0.00097562i,0.0016068-0.0018306i,0.0016354-0.0020858i,0.00080285-0.0013844i,-0.00074131-0.00062052i,-0.0016341-5.9956e-06i,-0.00098797+0.0012166i,-0.00035949+0.0016757i,-0.00016083+0.0012803i,8.4805e-05+0.00094911i,0.00019392+0.000389i,-0.00037976-0.00020183i,-0.0008654-0.0005091i,-0.00096622-0.00054592i
-0.0009639-0.00060173i,-0.0016087-0.0015178i,-0.00054596-0.0019002i,0.0004631-0.0017151i,3.7548e-05-0.0013598i,-0.00038405-0.0006219i,0.000592-0.000235i,0.0016171-0.0006855i,0.0013546-0.0018893i,0.00075683-0.0030314i,-0.00066623-0.0030439i,-0.0013936-0.00264i,-0.0016065-0.0018024i,-0.0017363-0.000209i,-0.0006924+0.0015469i,0.00051661+0.0023318i,0.001263+0.0022568i,0.0011476+0.0016844i,0.00031782+0.00072361i,3.4938e-05-5.4025e-06i,-0.00038502-0.00058945i,-0.00041844-0.0010672i,-0.00034659-2.9729e-05i
-0.0025123+0.0016688i,-0.002097+0.0016765i,-0.00085097+0.0029594i,-0.0006147+0.0025848i,-0.00028793+0.0011721i,0.00097487+0.00022013i,0.0024893-0.00012895i,0.003092-0.0012949i,0.0024375-0.0022198i,0.00047294-0.0023798i,-0.0017454-0.0013667i,-0.0022294+0.0010522i,-0.0017415+0.0024402i,-0.0013477+0.0021349i,-0.00035726+0.0016687i,0.0011247+0.0012773i,0.0013568+0.00090944i,0.00089865-6.1902e-05i,3.2228e-05-0.00071323i,-0.0007174-0.00033359i,-0.00024085+0.00019894i,0.0007388+0.00044049i,0.00064599+0.00047417i
-0.00071195-0.00014169i,-0.00080994+0.00030986i,-0.00068406+0.00064386i,-0.00055516-0.00052206i,0.00094964-0.0019728i,0.0026995-0.0017229i,0.0029453-0.00079314i,0.0023259-0.0012052i,0.00085243-0.002299i,-0.00085371-0.001729i,-0.0016072+0.00068778i,-0.00050494+0.0020139i,0.00073151+0.0017605i,0.0019583+0.00058056i,0.0021194-0.00034361i,0.00042703-0.00026055i,-0.001538-0.00023701i,-0.001939+0.00033265i,-0.0009575+0.00035915i,-0.0001507-0.00019093i,0.00021424+0.00073012i,0.0010707+0.001394i,0.0016432+0.0012934i
0.00042624+6.2058e-06i,0.00048864+0.00068086i,-5.8011e-05-0.00041557i,-9.6408e-05-0.0019826i,-0.00023797-0.0030032i,-0.00014839-0.0024097i,0.00087271-0.0020901i,0.0010594-0.0023823i,-0.00010303-0.0018601i,-0.00063125+0.00018003i,5.5759e-05+0.0012847i,0.00054514+0.00071053i,0.00088617-0.00072684i,0.00069831-0.0022563i,-5.2587e-08-0.002068i,-0.0011344-0.0006i,-0.0024085+0.00040711i,-0.0025766+0.00058008i,-0.0018549+0.00029793i,-0.00064671+1.3357e-05i,6.3155e-05-0.0002612i,0.00013719-0.00091399i,0.00034397-0.00071556i
-0.00033156-0.0020063i,-0.0007132-0.0030052i,-0.0022293-0.0043479i,-0.0028872-0.0054433i,-0.0029247-0.0043198i,-0.00255-0.0015399i,-0.0018763-0.00020849i,-0.00044595-0.00080932i,0.00024451-0.0011355i,-8.1945e-05-4.3293e-06i,0.00044461+0.00041054i,0.00081236-0.00060767i,-0.00013991-0.0016082i,-0.0011745-0.0016319i,-0.0015883-0.0018114i,-0.0018257-0.00051351i,-0.00090065+0.0015453i,-0.0004079+0.0014763i,-0.0008798+0.0010111i,-0.00060595+0.0007395i,0.00026321+0.00013814i,0.00085203-2.9606e-05i,0.00047455-0.00043354i
0.0033254+4.0662e-05i,0.0037957+0.00041326i,0.0035344+0.00046901i,0.0030684-0.00085521i,0.0021026-0.0019322i,0.00059118-0.0010908i,0.0005887-0.00058121i,0.00094264-0.0010058i,0.0012038-0.00071314i,0.0015208-0.00089517i,0.0011968-0.0021287i,-7.0522e-05-0.0026075i,-0.0012351-0.0020316i,-0.0010139-0.0015328i,-0.00030894-0.0012401i,2.8617e-05-0.0010381i,0.00068776-0.00073956i,0.0019917-0.00014479i,0.0019814-0.00012434i,0.00094801-0.00041203i,-0.00047567-0.00038388i,-0.0012923+0.00018077i,-0.00052019+0.00049567i
0.0014121+0.00073018i,0.0015099+0.0011899i,0.0028559+0.00067391i,0.0027455-0.00057346i,0.001768+0.00051401i,0.0010179+0.0010947i,0.0015632+9.5858e-06i,0.0025416-0.00063311i,0.0023285-0.0011637i,0.0015648-0.0020598i,0.0010314-0.0020086i,0.00040967-0.00063275i,-0.00042065+0.00086447i,-0.00053479+0.0016176i,-8.8672e-05+0.00095824i,-0.00014132+9.4033e-05i,-0.00090401-0.00071907i,-0.00053727-0.001039i,-0.00027224-0.0010205i,-0.00088312-0.00039643i,-0.00075424-0.00026782i,0.000413+0.00028609i,0.00052298+0.00062062i
0.00023882+0.0018988i,4.079e-06+0.00093854i,0.00015325-0.0004181i,0.0015037-0.0026982i,0.001687-0.0044007i,0.00061648-0.0045173i,0.0014767-0.003166i,0.0026596-0.002015i,0.0023107-0.0022363i,0.0011407-0.0021169i,0.00069246-0.001125i,0.00052096-0.00047092i,0.00058481-0.00014114i,0.0009983-0.00071591i,0.00077893-0.00059164i,6.7209e-05-0.00034347i,-0.00067077-0.0003331i,-0.0014231-2.3198e-05i,-0.0010828+1.7919e-05i,-0.00064249+7.4474e-05i,-0.00047557-0.00029048i,0.00010304-5.046e-05i,-0.00023551+0.00019738i
0.0025099-0.0019074i,0.0022232-0.0019178i,0.0027016-0.002064i,0.0017896-0.0035264i,0.0005404-0.0039712i,-0.00039232-0.0024047i,-0.00073427-0.00072103i,0.0009184-0.0008784i,0.00078747-0.0021847i,-0.0011196-0.0018006i,-0.0015897-0.00047398i,3.0352e-05+0.00074985i,0.0014584+0.0011517i,0.0018062+0.0012115i,0.0011753+0.00040557i,0.00093997+0.0004774i,0.00082698+0.0013692i,0.00020211+0.0015422i,-0.00019258+0.001311i,0.00063305+0.00046071i,0.001515-0.00081653i,0.00082286-0.0015548i,0.00026362-0.0013962i
-0.00093479-0.0020506i,-0.0018066-0.0013453i,-0.0029307-0.0011856i,-0.0024823-0.0023062i,-0.0021218-0.0023651i,-0.0017488-0.00069479i,-4.4297e-05+0.00030884i,0.00070673-7.31e-05i,-0.0011986-0.00052342i,-0.0024794+0.00051815i,-0.0015444+0.0011701i,0.00051256+0.0001622i,0.0014985-0.0007327i,0.00063813-0.00047663i,0.00054387+8.752e-05i,0.0016649+0.00052022i,0.0022632+0.00088641i,0.0020155+0.0014478i,0.0016493+0.0017224i,0.0012505+0.00064866i,0.00030471-0.00040479i,-0.00022633-0.00064522i,-0.0001046+0.0003283i
0.00053814+0.00055411i,0.0013609+0.0010635i,0.0020606+2.9561e-05i,0.0020878-0.0023788i,0.0023495-0.003028i,0.0023682-0.0027017i,0.0024471-0.0022315i,0.0027929-0.0016766i,0.0016823-6.8382e-05i,0.00043439+0.0012606i,0.00032967+0.0010105i,-0.00013348-9.9606e-05i,-0.00044359-0.0011598i,-0.00088424-0.0014641i,-0.00096111-0.0010051i,-0.00071216-0.00047942i,-0.00024879-0.00086866i,-0.00027585-0.0011632i,-0.00086817-0.00082247i,-0.00080941-2.2229e-05i,-0.000539+0.00029556i,-0.00050495+0.00011269i,-0.00010098+4.1276e-05i
-0.0022743-0.00010826i,-0.0022614-5.2545e-06i,-0.0019253+0.00056382i,-0.0012505-0.00037331i,-0.00019238-0.00055164i,0.00080993-8.3895e-05i,0.0016112-0.00094783i,0.0022553-0.0016293i,0.002043-0.00077243i,0.0016026+0.00049897i,0.0010111+0.0010198i,-0.00062215+0.00072057i,-0.0011687+0.00052837i,-0.0013275+0.00085716i,-0.0025357+0.0011516i,-0.0020387+0.00040947i,-0.001452+6.9345e-05i,-0.001774-0.00022882i,-0.00093682-0.00095455i,-0.00074336-0.00045589i,-0.00095389+0.00053434i,-0.00021807+0.00028604i,0.00026479+5.3541e-05i
-0.0020594-2.8032e-05i,-0.001922-0.0013162i,-0.0017567-0.00094884i,-0.0010305-0.0006553i,-0.00088224-0.0021802i,-0.001281-0.0021922i,-0.00096439-0.0014691i,-9.4172e-06-0.001692i,0.00081945-0.0025074i,0.00067462-0.0026177i,-0.00013025-0.0013981i,-0.00068869+0.00028121i,-0.00094404+0.0014854i,-0.0010877+0.0011503i,-0.00096349+0.0011151i,-0.0013305+0.0014973i,-0.0020832+0.001288i,-0.0018026+0.00088441i,-0.001601+0.00073467i,-0.00094964+0.0012152i,6.1892e-05+0.00094958i,0.00048492-0.00013187i,0.00063884-0.00068898i
-8.923e-05+0.0036294i,0.00060564+0.0045453i,0.0016529+0.0031061i,0.0024441+0.00040615i,0.0014776-0.0020415i,-0.00022272-0.001995i,-8.2017e-05-9.8441e-05i,0.00055597+0.00039878i,-0.0003514-0.00080715i,-0.0013099-0.0019064i,-0.0010618-0.00072951i,0.000304+0.00062221i,0.0011436-5.7994e-06i,0.00096634-0.00031074i,0.0011507+1.2877e-05i,0.0011877+0.00024848i,0.00074988+0.0004826i,0.00037358+0.00074856i,0.00054087+0.00042864i,-1.6859e-05-2.352e-05i,-0.00060902-1.844e-05i,-0.00049132-7.3727e-05i,-0.00050708+0.0009732i
-0.0029824-0.00068459i,-0.0026879-0.0011228i,-0.0025621-4.5782e-06i,-0.0014435+0.00032473i,0.00024934-0.0011097i,0.0019596-0.0009869i,0.0026565+0.00019884i,0.0028781+0.00060419i,0.0010078+0.00016699i,-0.0010672+0.0001185i,-0.00066711+0.00037951i,0.00067776-5.9717e-05i,0.0013587-0.00084224i,0.0013014-0.00093529i,0.00075239-0.0010632i,0.00092989-0.00091225i,0.0005089-0.0004142i,8.619e-05-1.2888e-05i,0.00058099-0.00022646i,0.00057879-0.00043843i,-0.00035193+0.000184i,-0.00088664+0.0010491i,-0.00016197+0.0011736i
0.0030158+0.0013937i,0.0028845+0.0010676i,0.0030717-0.00029966i,0.0017014-0.0016985i,-0.00052129-0.0030628i,-0.00064361-0.0028897i,0.0015333-0.0017268i,0.0032312-0.0012073i,0.0012424-0.00046206i,-0.00076717+0.00031697i,-7.7689e-05+0.00019342i,-0.00041593-0.00073725i,-0.00076243-0.001462i,-5.7801e-05-0.0019992i,0.00028539-0.0023375i,0.00014918-0.0018804i,-0.00075336-0.00093482i,-0.00068486-0.0006298i,-0.00049047-0.0002971i,-0.0004233-0.00011722i,-8.1054e-05-0.00019028i,0.00025876-0.00043458i,0.00069186-0.00059201i
0.0005035+0.0007388i,-0.00015347+0.00095063i,-7.511e-05+0.001682i,0.00021418+0.0002853i,-0.00026966-0.0018559i,-0.00090045-0.0029447i,0.00071424-0.0030246i,0.0028068-0.0027165i,0.0030985-0.0016116i,0.0025561-0.00017914i,0.0013898+0.0004583i,-0.00068896+0.00023675i,-0.001675-4.6286e-05i,-0.0011907+9.8108e-05i,-0.0014986-0.00016698i,-0.0014932-0.00082508i,-0.00074919-0.0010559i,-0.00074886-0.00030287i,-0.0011299+0.00063617i,-0.00097952+0.00053611i,-0.00072943-4.3644e-06i,-0.00024646-0.00054235i,0.00026094-0.00062821i
-0.00014499-0.0013139i,-9.5849e-05-0.00098576i,0.001033-0.0013466i,0.00024482-0.0025076i,-0.0012376-0.0032301i,-0.0019853-0.0021972i,-0.00087101-0.0019057i,0.00077575-0.0033116i,0.0012572-0.0040004i,0.0011167-0.0026233i,1.5967e-05-0.0008354i,-0.0012693+0.00087312i,-0.00083037+0.0017674i,-3.3835e-05+0.0018646i,-0.0001497+0.0017371i,0.00016238+0.0013592i,0.00059526+0.0012902i,1.7645e-05+0.0013879i,-0.0001715+0.0015132i,-0.00019535+0.0016213i,-0.00068344+0.00080794i,-0.00070775-0.00053099i,-0.00079927-1.4622e-05i
-0.0011947+0.00037115i,-0.0019929-0.00037476i,-0.0023652-0.0028211i,-0.0011861-0.003223i,-0.00060197-0.0028073i,-0.00067142-0.0022396i,-0.00075002-0.00097392i,-0.0014692-0.0008167i,-0.0010632-0.0015036i,-0.0004292-0.0020558i,-0.00013911-0.0015201i,0.0013596-8.3943e-05i,0.0025186+0.00049984i,0.0025824+0.00035544i,0.0031293+0.00053169i,0.0027871+0.00050219i,0.0012515+0.00031197i,0.00042745+0.00043717i,-7.2394e-05-0.00028644i,0.00064166-2.52e-05i,0.00092369+0.00092426i,0.00037008+0.0012897i,0.0004436+0.001265i
0.00057471+0.0011874i,0.0020905+0.0033055i,0.0030921+0.0038552i,0.0032065+0.0019981i,0.0025182-1.3299e-05i,0.0019671-0.00063543i,0.001687+0.00072356i,0.00098577+0.0018492i,-0.00057044+0.0013851i,-0.0015663+0.00015633i,-0.0010542+0.00025339i,0.00049222-0.00036885i,0.001811-0.0014886i,0.0010899-0.0010363i,-4.9955e-05-0.00054267i,0.00020008-0.00038212i,-6.8215e-05-0.00024613i,-0.00043955-0.00010296i,-0.00068246+0.00038753i,-0.0017292+0.00072772i,-0.0019358+0.0001425i,-0.00030719+5.3015e-05i,0.00049726+0.00012363i
0.00084404-7.7119e-05i,0.0016314+0.00092207i,0.0011527+0.00026754i,0.00056778-0.001399i,0.0010469-0.0019028i,0.0010709-0.00094555i,0.0019093-0.0001114i,0.0029331+0.00031514i,0.0020556+0.0012614i,0.0011693+0.0014449i,0.0015204+0.00078695i,0.00088288-0.00081998i,-0.00015059-0.0026515i,-7.5493e-05-0.0024778i,-0.00013068-0.0012292i,-0.0011157-0.00064657i,-0.0014476-0.0001748i,-0.0015493+0.00013762i,-0.0022398+0.00042505i,-0.001732+0.00011878i,0.00011935-0.00048254i,0.0010727-0.00071186i,0.0011469-0.0007794i
-0.001616-0.00078446i,-0.001876+0.00021665i,-0.0011966+0.00014268i,0.00025468-0.00077745i,-0.00014658-0.0018133i,-0.00075189-0.0010524i,0.0013582+7.5825e-05i,0.0038146-0.00030445i,0.0037569-0.00049177i,0.0019854+0.00010391i,0.00042178+0.00094688i,-0.00058962+0.00087559i,-0.0015597+0.00019816i,-0.0023717+0.00016763i,-0.0026046+0.00078459i,-0.0020551+0.0011664i,-0.00070737+0.00095934i,5.9995e-05+0.0010792i,-2.6816e-06+0.0010837i,0.0001849+0.00034113i,-0.00020421-0.00037382i,-0.00019728-0.00089131i,-4.4997e-05-0.0014337i
8.8711e-05+0.0022998i,-0.00029502+0.0024856i,0.00030245+0.0021186i,0.00034898+0.00099065i,0.00034427-0.00021308i,0.00023802-0.0011294i,0.00086115-0.0023489i,0.0020778-0.0036993i,0.002118-0.0042049i,0.0011481-0.0035719i,-0.00074773-0.0019521i,-0.0018059-0.00019623i,-0.0017005+0.0010473i,-0.00098199+0.0017043i,-0.00033941+0.0019473i,-0.00037762+0.001124i,6.9524e-05-0.00019139i,-0.00027682-0.00010266i,-0.00023944+0.0006312i,0.00064399-0.00013912i,-4.5462e-05-0.00091648i,-0.00098411-0.00048882i,-0.00044361+0.00050277i
-0.0036015-0.00079903i,-0.0044514-0.0011059i,-0.003911-0.0016482i,-0.0023366-0.0022598i,-0.0017845-0.0028015i,-0.0011652-0.0029893i,-0.00046325-0.0020978i,-0.0012728-0.0023141i,-0.0020927-0.0033607i,-0.0015338-0.0027328i,-0.0012174-0.0010685i,-0.0010614+0.00050055i,-0.00066293+0.0015969i,-0.0013415+0.00071593i,-0.0011857-0.00019216i,0.00046223-0.00067158i,0.001127-0.0016643i,8.3403e-05-0.0020211i,-0.00087015-0.0023129i,-0.0003844-0.0020896i,2.6673e-05-0.00089668i,-3.8076e-05+0.00013893i,0.00070617+0.00030491i
