-0.0021458+0.00022827i,-0.0025494+0.00030626i,-0.0043511+0.00060992i,-0.0039131+0.00054407i,-0.0026744+0.0012366i,-0.0019875+0.0022533i,-0.0013859+0.0026956i,-3.9879e-05+0.0024936i,0.0010038+0.0018559i,0.00065727+0.00073817i,0.00023003-9.4917e-05i,-0.00014824+0.00023608i,-0.0006035+0.00067789i,-0.00038225+0.00040104i,-0.00031011+0.00057771i,-0.00024586+0.00066329i,0.00011434-6.2977e-05i,0.00014812-0.00029786i,0.00020522+6.5822e-05i,0.00029652+0.00025766i,0.00061054+9.188e-06i,0.00039625+4.4852e-05i,-0.00064748+0.00069917i
-0.00080876+0.00010978i,-0.0011925-0.00040851i,-0.00056345+0.00042739i,-4.75e-06+0.0013928i,0.00046409+0.0013074i,0.00080436+0.00097676i,0.00013221+0.00017743i,-0.00018945-0.00030515i,-0.00051683-2.6026e-05i,-0.00043528-9.2951e-05i,-0.00031354-0.00057876i,-0.00022073-0.00061287i,-4.5522e-05-0.00011924i,0.00038931+0.00012629i,0.0007336+0.00025891i,0.00030949+0.00034088i,0.00020238-0.00039014i,0.00030889-0.00071277i,-2.8216e-05+5.3212e-05i,-8.4431e-05+0.0004486i,-0.00027246+0.00012829i,-0.00013738+8.3704e-05i,0.00023024+0.00030552i
0.0020275-1.6045e-05i,0.00082422+0.00034438i,0.00097532+0.00067378i,0.00052243+0.00044634i,-0.0004244-8.1747e-05i,-0.00031072+3.0567e-05i,-0.00027759+0.00063514i,-0.0005245+0.0001351i,-0.0010649-0.0006647i,-0.00046232-0.00037959i,0.00032705+0.00017042i,-0.00010452+0.00068548i,0.00012636+0.00051047i,0.00035934+0.00010528i,0.00016532+0.00024839i,5.9027e-05-6.2035e-05i,6.5145e-05-0.00055306i,0.00042951-0.00074237i,0.00074818-0.00022027i,0.00085782-0.00027681i,0.0010411-0.00064635i,0.00092398-0.00026505i,0.00058103+0.0005676i
-4.0176e-05+0.00011846i,-5.0154e-05+0.0011402i,0.0003024+0.0017138i,0.00042801+0.0012233i,0.00054321+0.00025111i,-0.00017787-6.9207e-05i,-0.00024738+0.00069752i,0.00011996+0.00068137i,0.00058062-3.5718e-05i,0.000338-2.4462e-05i,-0.00054915+0.00049246i,-0.000432+0.0007256i,0.00026049+0.00089165i,0.00033397+0.00053417i,3.2028e-05+0.00015919i,-0.00024698-0.00030752i,-0.00026174-0.00065967i,-0.0001134-0.00091089i,0.00035605-0.00057566i,-4.375e-05-2.821e-05i,-0.00034685+6.1283e-05i,-0.00016042+0.00029284i,-0.00018345+0.00024988i
0.0030892-0.0011536i,0.0018731-0.00057238i,0.0014116-5.1606e-05i,0.00051926+0.00080568i,-0.0005334+0.00075727i,-0.0011363+0.00086391i,-0.0011329+0.0009683i,-0.00094217-0.00010234i,-0.00086801-0.0006098i,-0.0010917-0.0003041i,-0.00061636-0.00033869i,0.00016745-0.00036032i,0.00041204-0.00021896i,0.00095686-0.00028609i,0.00088771-0.00065675i,-0.00025243-0.00084187i,-0.0011013-9.8775e-05i,-0.0013945+8.9035e-05i,-0.00095338-0.00019903i,-0.0002121-0.00033064i,0.0001809-0.00058987i,0.00024312-0.00047082i,-1.3028e-05+0.00027127i
-0.00044681-0.0017008i,0.00021555-0.0010347i,-0.00086834+0.00020704i,-0.0013987+0.00074018i,-0.0007139+0.00071002i,-5.941e-05+0.00051179i,0.0007055+0.00023937i,0.0009749-0.00028875i,0.00014155+4.8391e-06i,-0.00057793-1.4235e-05i,-0.0010448-0.00047388i,-0.0007507-0.00035908i,-0.00040658-0.00010885i,-0.00038887-2.1516e-05i,-0.00028021+0.00011868i,0.00045315+0.00034708i,0.00019704+0.0010455i,-0.0010305+0.00063247i,-0.00075347-0.00031769i,2.7542e-05-0.00048083i,-0.00033769+5.5968e-05i,-0.0004622+0.00068562i,9.8076e-05+0.00076335i
-0.00062212+0.00051246i,5.0693e-05+0.00067693i,-0.00019754+0.00048469i,-0.00063176+0.00044027i,-0.00017496+0.00099109i,0.00086297+0.0011296i,0.0011919+0.00067211i,0.00149+0.00078497i,0.0014712+0.00080265i,0.00098506+0.00042636i,2.4312e-05+0.00025932i,0.00035337-0.00048537i,0.00065959-0.00083717i,0.00069894+4.9449e-05i,0.00014414+0.00057462i,-0.0005958+0.00019082i,-0.0003377-0.00010285i,2.7545e-05+0.00029157i,0.00057777+0.00059295i,0.00066983+0.00075782i,0.00051185+0.001187i,3.1131e-05+0.0005459i,-0.00078479+0.00014655i
0.0016514+0.0017025i,0.0010505+0.0011343i,0.002185+0.0012768i,0.0021526+0.0016662i,0.0018594+0.0017459i,0.0015099+0.0015039i,0.00086388+0.00065094i,0.00016252+8.285e-05i,-0.00066826+0.00034971i,-0.00091261+8.5416e-05i,-0.00025101-5.0863e-05i,0.00040166+0.00014785i,8.2648e-05+0.00014032i,-8.1431e-05-3.7916e-05i,-0.00021802+6.3118e-05i,-0.00036112+0.00065572i,-0.00065149+0.00030601i,-0.0010008-0.00020402i,-0.00071389+6.8296e-05i,-1.98e-05-4.4666e-05i,2.7813e-05-0.00064121i,0.00029935-0.00030892i,0.00062256+0.00028579i
0.00040957-0.00020237i,-0.00062824+0.00045458i,-0.00093057+0.0018354i,-0.0011817+0.002171i,-0.0010006+0.0011428i,0.00043215+0.00049241i,0.00071432+0.00070269i,-0.00025062+0.001003i,-0.00056088+0.00062627i,-0.00032197-0.00022578i,-0.00054366-0.00018855i,-0.00045143+0.00024792i,0.00043146+1.6999e-05i,0.00091306-0.00013002i,0.0011082+0.00026135i,0.0011849+6.8858e-05i,0.0014094-0.00010586i,0.0016782+0.00032782i,0.0006606+0.00010068i,5.4353e-05-0.00018649i,0.00014298+0.00017988i,-0.00054752+0.00021824i,-0.00070019-0.00036983i
-0.00026593-0.002409i,-0.00063869-0.0039565i,-0.00043949-0.003722i,-0.00056738-0.001427i,-0.0018588+0.00052106i,-0.0017855+0.0013697i,-0.00080069+0.0013916i,-0.0001009+0.00041872i,9.5746e-05+4.5938e-05i,0.00043327+0.0002139i,0.00023756-9.3414e-05i,-0.00040598+0.00021806i,-0.00049648+0.00091438i,-0.00066092+0.00089415i,-0.00032296+0.00030323i,0.00010974-0.00025183i,0.00040173+0.0004499i,0.00031704+0.00072702i,-1.088e-05+0.00029273i,-0.00024353+0.0006439i,1.6005e-05+0.00027461i,0.00077803-0.0010566i,-4.3128e-05-0.001482i
0.00068149-0.00096749i,0.00026659+0.0003909i,0.00027258+0.00068463i,-0.00049209+0.00035403i,-0.001661+0.00046529i,-0.0010994+0.0010785i,2.0946e-05+0.0011763i,-2.8675e-05+0.00026581i,6.1082e-05-0.00030569i,8.195e-05+0.00043017i,0.00032246+0.00077159i,0.00092079-0.00035803i,0.00023101-0.00093677i,-0.00079614-0.00036023i,-0.00033244-0.00046166i,0.00034957-0.00076729i,0.00058012+5.8099e-05i,-4.9652e-05-4.7948e-05i,-0.0003703-0.00068437i,0.00014942-0.00078362i,0.00044975-0.00044591i,0.00038292-0.00042782i,9.6409e-05-0.00054317i
