-0.0011001+0.00097202i,-0.00063462+0.00034245i,-0.0004828+0.00034008i,0.0001035+0.00038621i,0.00030459+0.001144i,4.2986e-05+0.0012368i,-7.7752e-05+0.0014709i,0.00061946+0.0021281i,0.00083979+0.0010957i,0.00063607-0.00078598i,0.00082625-0.0013089i,0.00060345-0.00084932i,-0.00043562+6.8296e-05i,-0.00082048+0.00011098i,-0.00037724+8.803e-06i,9.6393e-05+0.00047814i,0.0004781+4.3282e-05i,0.00092308-0.00057357i,0.00064648+7.2776e-05i,0.0005052+0.00065995i,0.00084141+0.00012042i,0.00099743-0.0007443i,0.00063635-0.0011979i
-0.0014955-0.0010285i,-0.0013722+4.4693e-05i,-0.0004661+0.0014143i,0.00083106+0.0017244i,0.00028975+0.00082542i,0.00028206+0.0003918i,0.00048031+0.0012295i,0.00060336+0.0014656i,0.0012187+0.00060475i,0.0011393-0.00079372i,0.00055917-0.0013281i,0.00022358-0.00072919i,0.00061474+0.00013553i,0.0007323+0.00075304i,9.4595e-05+0.0002568i,-0.00053356-0.00034132i,-0.00041698-0.00044963i,-0.00024167-0.00015328i,-0.00024007+0.00026091i,0.00023834+8.946e-05i,0.00076632+0.00014469i,0.00057653+0.00015016i,0.00051144-6.821e-06i
0.0010608-9.0986e-05i,0.0014483-0.0012001i,0.001295+0.00064364i,0.0012293+0.0021208i,0.002016+0.0009967i,0.0017828+0.00029939i,0.00070227+0.001266i,0.0002464+0.0012795i,0.00062124+0.00053088i,0.00097256+9.9742e-05i,0.00069148-0.00037519i,0.00025312-0.00049958i,-0.00018155-0.00056588i,-0.00029613-0.00049001i,0.00048435-0.00047302i,0.00050381-0.00050569i,-0.00035181-0.00035548i,-0.00019326-0.00033116i,-0.00033529+6.6258e-07i,-0.0010065+0.00033593i,-0.00081366+0.00093054i,-0.00072422+0.00075851i,-0.00014772-2.7078e-05i
0.0013713+0.00071546i,0.0026976+0.0011008i,0.003675+0.00047125i,0.0030807+0.00050336i,0.0026438+3.5336e-05i,0.0021584+9.3396e-05i,0.0015525+0.00089384i,0.00094607+0.00042865i,0.00095691-0.00035016i,0.0012622-0.0010444i,0.00063437-0.00073596i,-0.00031143-0.0013045i,-0.00030675-0.0013292i,-6.9622e-05-2.7372e-05i,-2.9035e-05+0.00050626i,-0.00055208+0.00017681i,-0.0001395-6.2702e-05i,0.00027347-6.675e-05i,0.00016082+3.5906e-05i,6.193e-05-0.00032786i,-0.00079115-0.00023131i,-0.00061369+0.00075534i,0.00042287+0.00034117i
-0.00025602-2.9441e-05i,0.0008174-0.00029241i,0.0011447+0.00012793i,0.0012027+0.0002165i,0.00056251-0.00028836i,-0.00014662-0.00013755i,0.00034075+0.00043552i,0.0011668+0.00071848i,0.0015059+2.6913e-05i,0.0011996-0.00086454i,0.00022379-0.0011041i,-0.0007972-0.00060888i,-0.0005745+6.0946e-05i,8.5121e-05+0.00032482i,8.5823e-05+2.0542e-05i,0.00016117-0.00053847i,0.00054675+0.0002162i,0.00083542+0.00070561i,0.0007967+0.00024531i,0.00074886-0.00010673i,0.001064-0.00036519i,0.00077052-0.00026113i,2.6637e-05-0.00015168i
-0.0023556+0.00081678i,-0.002752+0.0018492i,-0.0021048+0.0026613i,-0.00041216+0.0020104i,0.0013477+0.0012294i,0.0018552+0.00096365i,0.0014928+0.0011593i,0.0012372+0.0011374i,1.0594e-05-0.00016184i,-0.0004998-0.00083255i,0.00026327-0.00022969i,0.00056833-4.8391e-05i,0.00017543-0.00012111i,-0.00013864+7.406e-05i,-0.00056434-0.00014551i,-0.00022918-1.5486e-05i,3.0615e-05+0.0005075i,0.00041137+1.0728e-05i,0.00077229-0.00041079i,0.00071105+2.5082e-05i,-5.1774e-05+0.00020822i,-5.6502e-05-0.00048709i,0.00034639-0.00084433i
0.0013401-0.0021323i,0.0011097-0.0029751i,0.00083942-0.0031987i,0.00098334-0.0020053i,0.0015295-0.00098176i,0.001477+0.0002526i,0.00069528+0.00089083i,0.00037965+0.001133i,0.0006631+0.00085882i,0.0003505-0.00053732i,-0.00075053-0.0011822i,-0.0010742-0.00035975i,-0.0011343+0.00017454i,-0.00068599+0.00064155i,3.1979e-05+0.00070819i,-0.00035197+0.00057938i,-0.0002974+0.00017897i,0.00031394+0.00012449i,0.00054422+0.00024614i,0.00065921+7.576e-05i,-3.3492e-05-0.00025706i,-0.00047556-0.00031679i,-0.00068169-0.00010462i
0.0013313-0.0001277i,0.002079+0.00060454i,0.0015515+0.00023111i,0.00027842-0.00058767i,-0.00038427-0.0007282i,-0.00023916-0.00015146i,0.0001112+0.00098997i,0.00069316+0.0011638i,0.00097338+0.00059582i,0.0005047+0.0001673i,-3.4624e-05-0.00042456i,-3.7346e-05-0.00075031i,-0.00028489-0.00022191i,-0.0007261+7.414e-05i,6.1085e-07-0.00043807i,0.00041922-0.0010503i,5.0696e-05-0.0011161i,-0.00021402-0.00074505i,-3.583e-06-0.00027977i,0.00097736-1.7246e-05i,0.00068016+0.00035405i,-0.00055877+0.00057442i,-0.00052872+0.00024222i
-0.001046-0.00073091i,-0.00051303+8.249e-05i,9.6403e-05+0.00082096i,0.00062491+0.00094509i,0.0006682+0.00061096i,0.000597+0.0006187i,0.00074407+0.00029692i,0.00076308-0.00027042i,0.0015851-0.00071554i,0.001174-0.0013981i,0.00012398-0.00076409i,-0.00029749+0.00043665i,-0.00063265+0.00074725i,-7.9414e-05+0.00099437i,0.00066676+0.0011272i,0.00032983+0.00068321i,0.00017767+0.0005468i,0.00024123+0.00070158i,0.00087104+0.00045967i,0.0014879-0.00039169i,3.1493e-05-0.00047561i,-0.00090482+0.00048314i,-0.00062649+0.00034935i
0.00057972+0.0007303i,0.00077437+0.0010697i,0.0012618+0.0016688i,0.0012249+0.0017775i,0.00074142+0.0010315i,0.00050045-9.2587e-05i,0.00058619-0.00049042i,0.0015318-0.00027494i,0.0020179-0.00072707i,0.0014305-0.001212i,0.00085355-0.0006304i,0.0005853-4.9281e-05i,0.00072755-0.00022583i,0.00061298+4.656e-05i,0.00092942+0.00039501i,0.0016616+0.00040957i,0.0012089+0.0002347i,0.00026047-0.00030205i,0.00021116-0.00097713i,0.00011467-0.0013745i,-0.00055658-0.00070689i,-0.00043443-0.00014308i,-0.00012174-0.00036473i
-0.00051516-0.00076011i,-0.0014996+0.00043415i,-0.00098781+9.4745e-05i,0.00071402-0.00043725i,0.00055016-0.00061025i,0.00048404-0.00080572i,0.0015389+0.00029289i,0.0014472+0.00087759i,0.00058149+0.00033666i,0.00024072-0.0013336i,0.00035225-0.001751i,0.00060186-0.00099275i,0.0010098-0.0014226i,0.00074945-0.00057789i,0.00012403+0.0007885i,0.00024272+0.0011888i,0.00041667+0.00046327i,-5.9077e-05+0.00052949i,-1.1996e-05+0.00071054i,6.6154e-05+0.00020043i,-1.7444e-05+0.0004602i,-0.00025857+0.00069058i,-0.00013626+0.00033596i
0.0013863+0.0015404i,0.0015331+0.0015505i,0.0027563+0.0021664i,0.0032089+0.0011779i,0.0023847+7.8729e-05i,0.0020239-0.00055595i,0.0021495-0.0005987i,0.0015997-0.00028933i,0.0006888-0.00035862i,0.00027247-0.00071938i,-6.9487e-05-0.0012582i,0.00041159-0.0010148i,0.0012702-0.00036188i,0.0010448+3.9964e-07i,0.00024424+0.00011859i,0.00018324-4.2935e-05i,0.00085237-8.6655e-05i,0.00063393-0.00012628i,0.0002337+4.2248e-05i,6.4032e-06-7.2178e-05i,0.0002822-0.0008467i,0.00057356-0.00012377i,0.00055619+0.00056207i
-0.00032983+0.0002467i,-0.00056414+0.00020144i,-0.0011422+0.00088498i,-0.0004444+0.0016506i,0.0014323+0.00076151i,0.0020486-0.00058677i,0.0017219-0.00058156i,0.0011466-0.00020218i,0.00014023-0.00011397i,0.00068572+0.00022583i,0.00086949-0.00053023i,0.00019971-0.00090676i,8.8771e-05-0.00083632i,0.00054494-0.0010167i,0.00085221-0.00065884i,0.00051742-0.00029435i,2.041e-05+0.00038184i,8.4377e-05+0.0006773i,0.00046853-0.00010244i,0.00057964-0.00059095i,0.00043214-0.00045759i,-4.665e-06+3.0367e-05i,-0.00014216+0.00040347i
-0.0010272-0.00084084i,-0.0012071-0.0017428i,-0.0012985-0.001468i,-0.00081584+0.00068658i,-0.00042762+0.002254i,0.00050862+0.002795i,0.00038772+0.0028667i,0.0004094+0.0017245i,0.00068847-0.0003611i,0.00010664-0.00077772i,-0.00022741-0.00070249i,0.00013619-0.00052123i,-0.00033349+0.00023158i,-0.00062457+0.0005545i,0.00030735+0.00054162i,0.00073064+0.00021922i,0.00051867-9.2012e-05i,0.00052736-0.00018325i,-0.00027198+0.00035664i,-0.0012311+0.00036959i,-0.00119+5.4019e-05i,-0.00063306+0.00011575i,-0.00028448+0.00017529i
