-0.0029945+0.0023888i,-0.0024902+0.0025946i,-0.00243+0.0018882i,-0.0020376+0.0015145i,-0.0010465+0.0012139i,-0.0002975+0.00056545i,-0.00072867+0.0011202i,-0.00023745+0.001491i,0.00089045+0.0010265i,0.0019204+0.00073519i,0.0017942+0.00081807i,0.00049792+0.00079585i,0.00011047+0.00082023i,-0.00027129+0.00045389i,-0.00034287+0.00050469i,0.00020577+0.0008251i,0.0007069+0.00045036i,0.00076266-0.00048639i,3.0185e-05-0.00079884i,-0.00023398-5.5796e-05i,-0.00025228-0.00016781i,-0.00040207-0.0002062i,-0.00014266-9.6008e-05i
-0.00055531+3.5201e-05i,0.00013037-0.0013902i,0.00058395-0.0016599i,-0.00013637-0.0004931i,-0.00147+0.00044849i,-0.00094724+0.00015859i,2.8301e-05+0.00036967i,-0.00011344+0.00062114i,-0.00044168+0.00024173i,8.2632e-05-0.00030473i,0.00063585-0.00010648i,0.00071706-9.2339e-05i,0.0011085-0.00028855i,0.00078471-0.00038905i,0.00022842-0.00033517i,0.00010933+0.00025926i,0.00037873+0.00017602i,0.0012104-0.0002259i,0.00024795-0.00039966i,-0.00089322-0.00029792i,-0.00029333-0.00013808i,2.5522e-05-0.00045359i,-0.00015255-0.00047006i
0.0020249+3.9965e-06i,0.001083+8.085e-05i,0.0017357-0.0025968i,0.0016765-0.0034622i,0.00010204-0.0028032i,-0.00068705-0.00067527i,-0.00074106+0.00068069i,-0.00029707+0.00029377i,0.00028834+2.5352e-05i,0.0003622+0.00037891i,3.2927e-05+0.00081216i,-7.1564e-05+0.0011869i,-0.00044736+0.00081879i,-0.0002995+0.00016264i,5.3811e-05-0.0007198i,0.00038566-0.0010901i,0.00068596-7.0959e-05i,0.0005223+0.0005766i,0.00022543+0.0002941i,3.9423e-05+8.6977e-05i,2.5575e-05+0.00020584i,0.00021761-0.00018671i,0.00088133-0.00076255i
0.00068331+0.00034176i,0.0011179-0.0012144i,0.00093165-0.00086507i,0.00049867-0.00091509i,0.00052325-0.00072745i,9.0818e-05-1.1122e-05i,-0.00054618-0.00061241i,-0.00054553-0.00050217i,-0.00021659+9.5344e-05i,0.00027532+0.00023816i,0.00028933+0.00024503i,0.00021269+0.00026185i,0.00034825+0.00074386i,-0.00034955+0.00063439i,-0.0004651-3.793e-05i,-4.8199e-05-0.00025267i,-0.00014815-0.00016079i,-0.00051174-0.00089206i,-0.0005719-0.00083992i,-0.00075244-1.4905e-05i,-0.00018714+7.7654e-05i,0.0005484-0.00044941i,0.00041472-0.00099188i
-0.00064747-0.00094036i,-0.00024388-0.0012924i,-0.00033172-0.0011663i,-5.3531e-05-0.0015752i,0.00048341-0.0011823i,-0.00013867+7.0888e-06i,-0.00081642+2.5082e-05i,-0.00054857-0.00046254i,-0.00055759-0.00019928i,-0.00014482+0.00051594i,0.00048546+0.00048089i,0.00057659-0.00028552i,0.00052893-0.00055229i,0.00038224-0.00048854i,-0.00021393-0.00019173i,-0.00056133-3.7871e-05i,-0.00038982-0.00053607i,0.00024781-0.00069201i,0.0003695-0.00039614i,0.00012568-0.00029739i,-0.00043507-0.00022446i,-0.00099761-0.00011338i,-0.00037838+0.00012896i
-0.00097307-0.0021268i,0.00061722-0.0017111i,0.00059941-0.0005546i,0.00022422-5.3863e-06i,0.00052556+0.00050938i,0.00064273+0.0010048i,0.00054732+0.00069961i,0.0001016+0.00019305i,-0.00018155+0.00061585i,7.73e-05+0.00045754i,8.028e-05+0.0006166i,0.00011066+0.00042653i,0.00052783-0.00011981i,0.0011212+0.00016007i,0.0013335+0.00033226i,0.00024092+0.00021065i,-0.00055054+0.0004025i,-0.00029404+0.00077778i,0.00019592+0.00068427i,0.00082112-0.0001685i,0.00074189-0.00030285i,0.00056292-0.00035097i,0.0001225-0.00024983i
-0.0020585+0.0023831i,-0.0022058+0.0027531i,-0.00080435+0.002871i,0.00045177+0.0013887i,0.0011075-0.00040664i,0.0012605-0.00076122i,0.00077986-0.00075221i,0.00029591-0.00018872i,0.00013533+0.00057711i,0.00054784+0.00023644i,0.00028132-9.7979e-05i,0.00033011+0.0001708i,0.00087876-7.7436e-05i,0.00095536-0.00080663i,0.0005308-0.00078737i,-0.00048076-0.00016766i,-0.00079325+0.00073616i,-0.00035989+0.00071333i,-0.00010192+0.00080716i,0.00052763+0.0012024i,0.00043945+0.00092899i,-0.0001125+0.00037943i,-0.00059592-0.001063i
0.00043849-0.00057298i,0.00082571-0.00067076i,0.000644-0.0005998i,0.00047295+0.00012712i,0.00059983+0.0007764i,0.00089766+0.00035212i,0.00066795-2.1266e-05i,0.00026973-9.3354e-05i,0.00038284-0.00050281i,0.00032685-0.00069005i,-0.00021836-0.0004016i,-0.00094379-0.00027224i,-0.00070248-0.00056599i,-0.00044443-9.5103e-05i,-0.00074704+0.00088871i,-0.00023664+0.0014591i,0.00042703+0.0010158i,7.152e-05+0.00060528i,-0.00031533+0.00027535i,-0.00049954-5.0924e-07i,-0.00022266-0.00020529i,5.9803e-05-9.861e-05i,2.5107e-05-1.2398e-05i
0.0021217+0.0014943i,0.0033932+0.001809i,0.0027338+0.00047338i,0.0019951-0.0014743i,0.0017337-0.0017256i,0.00072646-0.00051646i,0.00012219+0.00012444i,0.00058493+0.00043038i,0.00085135+0.00033556i,9.0451e-05+0.00042259i,-0.00031185+0.00034288i,1.6074e-05+1.5388e-05i,0.00031148-0.00017261i,0.00023361-0.00058908i,-0.00067974-0.00099797i,-0.0010353-0.00080808i,-0.00065702-0.00031576i,0.00019762-0.00036563i,0.00034081-0.0005252i,0.0005412+0.00016026i,0.00031888+0.00062761i,-3.8752e-05+0.00057165i,0.00058981+0.00010616i
-0.00097105+0.00036035i,-0.00051135+0.0013103i,-0.00011568+0.00070663i,0.00011847-0.00090607i,8.2084e-06-0.0012395i,0.00010873-0.00020433i,0.00056247+0.00043728i,0.000559+0.00056053i,0.00047423+0.00011115i,0.00046039-0.00052678i,0.00055212-1.3905e-05i,0.0007186+0.00039032i,0.00085303+0.000824i,0.00093524+0.0010815i,0.0007473+0.00040343i,0.00060995-0.00018137i,0.00074774-0.00011795i,0.00054634+0.00022725i,0.00030735+1.2406e-05i,0.00028363-4.0352e-05i,-0.00045913+0.00024935i,-0.00089481+0.00034104i,-0.00068392+0.00051687i
0.00079842-0.0014956i,-0.00088057-0.0009919i,-0.00099793-0.0011237i,-0.00079091-0.0010769i,-0.0015348-0.0005231i,-0.0017483-0.00056987i,-0.0011397-0.00074855i,-0.00034068-9.2399e-05i,-0.00013188+0.00019828i,-0.00063956+0.00018659i,-0.0011237+0.00020108i,-0.001466+0.00026266i,-0.00070329-7.4746e-05i,0.00094703-0.00038903i,0.00079949-0.00094114i,-0.00031712-0.00069461i,-0.00080192+0.00039205i,-0.00021747+0.00015798i,2.9414e-05-0.00034677i,-8.9663e-05-6.4795e-05i,0.00061594+0.00023508i,0.00059447+5.7953e-05i,-0.00014166-2.5272e-06i
