-0.0016403+0.0013889i,-0.0001578+0.00047597i,-0.00083651+0.00067985i,-0.001338+0.00074641i,-0.0010952+0.0016135i,-0.0013983+0.0024903i,-0.00092054+0.0028478i,0.00030577+0.0025588i,0.0013946+0.0011876i,0.0010598+0.00038948i,0.00023403-0.00037568i,-0.00060872-0.00080545i,-0.0007215-0.00023437i,-0.00052425-0.00064621i,-0.00057848-0.00071426i,-0.00034152-0.00035008i,0.00039295-9.4651e-05i,0.00091328+0.0003545i,0.00077576+0.00034648i,0.0005023-0.00011513i,0.00057966-0.00027914i,0.00047605+0.00028738i,0.00012097+0.00023933i
-8.2694e-05+0.00083571i,-9.4824e-05+0.00075177i,0.00031965+0.0013602i,0.00083432+0.0017973i,0.0014167+0.001501i,0.001887+0.00040282i,0.0019114-6.5407e-05i,0.0015127+0.000148i,0.00084137+0.00036709i,2.2205e-05+0.00046082i,-0.00066244+0.00058174i,-0.00046442+0.00027045i,-2.6617e-05+0.00028448i,-4.0363e-05+0.00070389i,-0.00011679+0.00081046i,0.0002081+0.00093317i,0.00017512+0.00050169i,-0.00040613+0.00018182i,-0.00011823+0.0002077i,0.00031184-3.3873e-05i,0.00021489+0.00018416i,2.6411e-05+1.8621e-05i,8.1085e-05+0.00027182i
0.0006465-0.0010014i,0.00067664+5.5685e-05i,0.00055472+3.7372e-05i,-6.9624e-05-0.00017388i,-0.00021257+0.00010822i,0.00032597+0.00027032i,0.00059519-0.00015579i,0.0010609-0.00052899i,0.0009563-0.00057969i,1.868e-06-0.00020869i,-0.00046773+0.0004323i,-0.0003182+0.00030609i,0.00019402+0.00076613i,0.00031671+0.0011571i,-3.7544e-05+0.00065079i,-7.4223e-05+0.0007587i,-2.1348e-05+0.00033198i,7.725e-05-0.00018089i,0.0002005+6.0494e-05i,0.00020971+0.00018271i,0.00029558+0.0010253i,-9.4019e-05+0.0014606i,-0.00029499+0.00074541i
-0.00033828+0.00012824i,-0.00026558+0.0011955i,0.00051571+0.0023458i,0.0010991+0.0020894i,0.0007318+0.0011116i,0.00028209+0.00046986i,0.00039242+0.00041551i,0.00042127+0.00091291i,0.00075109+0.0013382i,0.00062452+0.0010138i,-0.00080968+0.00080623i,-0.0018991+0.00071671i,-0.001768+7.0562e-05i,-0.00079354-0.00045006i,6.6551e-05-0.0005382i,-0.00048394-4.1934e-06i,-0.0011556+0.00047647i,-0.00077125+0.00026248i,-0.00024235-2.3214e-05i,-0.00012706-6.901e-05i,-0.0001373-0.00023191i,-0.00040288-0.00035976i,-0.00067335-0.00092894i
0.00015534+0.00011165i,0.00041773-0.00070767i,0.0010572-7.4937e-05i,0.0028135+0.0011533i,0.0043301+0.00042393i,0.0029765-0.00073176i,0.00076146-0.0002523i,0.00013493-0.00015624i,0.00041376-0.00051674i,0.00012305-0.00050148i,-6.4153e-05-0.00026965i,-0.00029631+0.00043543i,-0.0010029+0.00055614i,-0.0006725+8.9126e-05i,0.00070574+0.00014281i,0.0010863+0.0003976i,0.0003566+6.611e-05i,-9.1279e-05+0.00016074i,-0.00035711+0.00023139i,-0.00033021+0.00018664i,0.00015551+0.0002658i,9.0849e-05+0.00010203i,-0.00067389-0.00015432i
0.00062002-0.00047767i,-0.00025512-0.00062543i,-0.0011395-0.0012728i,-0.00090627-0.00086589i,-0.00030798+0.00012113i,0.00029466+0.00094443i,0.0006601+0.0012219i,0.0010626+0.00063072i,0.00077964-0.00037228i,7.3425e-05-0.00064817i,-0.00037342-0.00043486i,-0.00037585+0.00016754i,-0.00068135+0.00088247i,-0.001105+0.00030877i,-0.00082757-0.00055479i,0.00011489-0.00021044i,3.6677e-05+0.00034974i,0.00010077-0.00010942i,0.00023972-0.00066877i,-0.00032586-0.00041552i,-0.00060921-0.00028503i,-0.00034233+2.3356e-05i,0.00072004+0.00013086i
0.0013241+0.0015943i,0.0023075+0.00085989i,0.0033495+0.0016013i,0.002243+0.002204i,0.0015389+0.0015678i,0.0013027+0.00034912i,0.00042726-0.0003067i,6.2473e-05-0.00035077i,0.00025926-0.00070705i,0.00040141-0.0010538i,-0.00032836-0.00080779i,-0.00064871-0.00080281i,-0.00061908-0.00033911i,-0.0003635-0.00047389i,0.00022711-0.00043641i,0.00025556-0.00047802i,0.00040817+2.7554e-05i,0.00067248+0.00049534i,-5.6684e-05+0.00027881i,-3.4373e-05+0.00086485i,0.00013754+0.0013937i,-0.0002263+0.00099885i,-0.00037951+5.7119e-05i
-0.001447-0.00048772i,-0.0014633+0.001157i,-0.0020863+0.0020945i,-0.0011042+0.0020401i,0.00031033+0.0019686i,0.00060035+0.0017336i,0.00041777+0.00071264i,-8.007e-06+9.4415e-05i,-0.00023416-3.4539e-05i,-0.00054988+3.2317e-06i,-0.00083852+5.2404e-05i,-0.00030629+0.0001808i,-0.00013234+0.00050927i,-0.00037358+0.00014184i,0.00035334-0.00073369i,0.00064246-0.00073515i,0.00042617-0.00034266i,-7.9818e-05+0.00032735i,-0.00071461+0.00030662i,-0.00018258-0.00012398i,0.00031866-0.00030474i,0.00047161-0.00022282i,0.00025017-0.00011191i
-0.0020771+0.00063398i,-0.00098164+0.0015811i,0.00051995+0.0025664i,0.0014409+0.0028993i,0.0016642+0.0015535i,0.0011911+9.1948e-05i,0.00071526+0.0004445i,0.0010069+0.0012364i,0.00050489+0.0011473i,2.4039e-05+0.00063804i,0.00080591-0.0002004i,0.0011471-0.00075288i,0.00081679-0.00053477i,-9.3067e-06-0.00011594i,-0.00090068+4.5452e-05i,-0.00051551-1.2542e-05i,-6.2933e-05-3.9379e-05i,-0.00080995+6.7306e-05i,-0.00075865-0.00013154i,0.00015889-0.00040592i,0.00074843+0.00020953i,0.00082805+0.00059238i,0.00093032+0.00031146i
-0.0003484-0.0021689i,0.00021999-0.0012204i,2.016e-05+0.00014508i,-0.00021122+0.00066908i,-0.00032264+0.00020719i,5.6511e-05-0.00082976i,0.00062409-0.00044667i,0.00093887-0.00023171i,0.00021488-0.00058588i,-0.00090674-0.00076183i,-0.0007034-0.00079434i,0.00012769-0.00083563i,7.7605e-05-0.00063453i,-0.0010252+0.00022806i,-0.00056189+0.00085682i,-8.3106e-05+0.00087016i,-8.9669e-05+0.00021706i,0.00033657-0.00024891i,0.0010233-0.00027893i,0.0012974+0.00010774i,0.00093798+0.00062991i,0.0007095+0.00064498i,0.00046991+0.00029791i
0.00067884-0.00043898i,0.0006333+0.00030952i,-5.2114e-05+0.0010677i,0.0003344+0.0012566i,0.00107+0.0015839i,0.00060254+0.0011672i,-0.00035899+0.0013641i,0.00026351+0.0020458i,0.0012129+0.0013469i,0.00071023+6.143e-05i,-8.9468e-05-0.00036753i,-0.00041083-0.00037553i,-0.00076168-0.00048251i,-0.0012512-0.00032031i,-0.0012345-0.00029512i,-0.00054994-0.00041264i,0.00018857+2.4225e-06i,0.00026943+0.00053102i,1.4155e-05+0.0003271i,0.00020576-0.0001694i,-0.00019558-8.3658e-05i,-0.00079757-0.0002501i,-0.00028866-0.00033541i
