-0.0016403+0.0013889i,-0.0001578+0.00047597i,-0.00083651+0.00067985i,-0.001338+0.00074641i,-0.0010952+0.0016135i,-0.0013983+0.0024903i,-0.00092054+0.0028478i,0.00030577+0.0025588i,0.0013946+0.0011876i,0.0010598+0.00038948i,0.00023403-0.00037568i,-0.00060872-0.00080545i,-0.0007215-0.00023437i,-0.00052425-0.00064621i,-0.00057848-0.00071426i,-0.00034152-0.00035008i,0.00039295-9.4651e-05i,0.00091328+0.0003545i,0.00077576+0.00034648i,0.0005023-0.00011513i,0.00057966-0.00027914i,0.00047605+0.00028738i,0.00012097+0.00023933i
-0.00096358-0.0004234i,-0.00026424+0.00039822i,-0.00094566+0.0014282i,-0.00064557+0.0018913i,0.0005551+0.0021263i,0.00098957+0.0016074i,-8.8271e-05+0.00065153i,-0.00082175+0.00063397i,-0.00080711+5.6755e-05i,-0.00070997-0.00043601i,-0.0009588+0.00023027i,-0.00084436+0.00068208i,-0.0002561+0.00053671i,-0.00023056+0.00056169i,-0.00014911-0.00024747i,0.00011687-0.00052814i,0.00054564-0.00024233i,0.0010085-0.00013238i,0.0011205+0.00051999i,0.00052843+0.00076506i,0.00076208+0.00065722i,0.0012627+0.0003405i,0.001286-0.00011917i
0.0022107+0.0013305i,0.002486+0.0018421i,0.0024659+0.0017641i,0.00075889+0.0011118i,-0.00047766+0.00068124i,-0.00040732+0.00047726i,-3.0225e-05+0.00076164i,0.00046002+0.00089168i,0.00011189-0.00028862i,-0.00017854-0.0011i,-0.00079372-0.00064151i,-0.0014196+0.0001263i,-0.00088179+0.00028319i,-0.00020333+0.00091989i,0.00014001+0.0014974i,0.00020712+0.0010528i,0.0006347-0.00018459i,0.00062821-0.00063256i,0.00037679+0.00068321i,-0.00027495+0.0015781i,-0.0011422+0.00047312i,-0.00083424-0.00020192i,-0.00022586+0.00024097i
-0.0017105-0.00029652i,-0.002893+0.00090516i,-0.0033695+0.0025159i,-0.0023631+0.0034187i,-0.00058676+0.0037148i,-5.5831e-05+0.0033718i,-4.221e-05+0.0016687i,-3.2563e-05+0.00082798i,0.00015175+0.0011587i,-0.00033274+0.0010275i,-5.5702e-05+0.00029919i,7.3346e-05-2.9249e-05i,-0.00060887-5.1336e-05i,-5.3642e-05+0.00011843i,0.00049435+0.00026901i,0.00057101+0.00020296i,-0.00030499+0.00028683i,-0.00074303+0.00019199i,-0.0002274+0.00050913i,-0.00016605+0.00083085i,-0.0004235+9.7172e-05i,-0.0003442-0.00030331i,0.00040215-0.00049938i
-0.0024602-0.0012806i,-0.0021534-0.00013094i,-0.0025494+0.00086093i,-0.0018559+0.0015825i,-0.00073227+0.0019427i,-0.0001379+0.001679i,0.00065596+0.0010124i,0.00072446+0.00050624i,-9.14e-05+0.00045862i,-0.00071077+0.00041415i,4.9441e-05+0.00013873i,0.00072629-0.00010962i,0.00019125-0.00016182i,-0.00024572+0.00017654i,0.00014579+0.00052136i,0.00034116+0.00031612i,-0.00022605+0.00040494i,-0.00027139+0.0011778i,0.0002755+0.00050046i,0.00067976-1.1306e-05i,-1.4623e-06+0.00035039i,-0.00061391-0.00028488i,-0.00052516-0.00076334i
0.0026658-0.0010281i,0.0016258-0.0009409i,3.1827e-05-0.00024794i,-0.00079945+0.000564i,-0.0018678+0.00072638i,-0.0013941+0.0004213i,-4.9805e-05+0.00095515i,0.00073188+0.00088524i,0.00066672-0.00014482i,-0.00050404+3.2351e-05i,-0.00067071-0.00029604i,-0.00032261-0.00058992i,-0.0010169-9.7284e-05i,-0.0011028-0.00011409i,9.4371e-05-0.00012687i,0.00028336+0.0001192i,-1.9689e-05+0.00019125i,0.00037351+0.00013575i,0.00042875+3.316e-05i,-0.00044319-0.00016747i,-0.00086945+6.3082e-05i,6.1955e-05+0.00011915i,3.033e-05+9.7158e-05i
2.5803e-05+0.0013431i,5.2246e-05+0.0020742i,-0.00090706+0.0022677i,-0.00072993+0.0032587i,-0.00097595+0.0026698i,-0.00063748+0.0015517i,0.00047141+0.0013987i,0.00034559+0.0011005i,-3.1157e-05+0.00022512i,3.1301e-05+3.4684e-05i,-0.00019823+0.00041441i,-0.0006174+0.00076094i,-0.00066312+0.0009965i,-0.00036664+0.00041252i,-0.00021457+0.00024653i,-0.00028153+0.00081804i,-0.00036888+0.0009665i,-0.00087824+0.00067583i,-0.00095424+0.00047096i,-0.0013981+0.00050896i,-0.0013408+0.00029655i,-0.00063727+0.00033982i,-0.00065374-2.2977e-06i
-0.00084549+0.00098655i,-0.0014883+0.0013982i,-0.0018109+0.0023412i,-0.0014255+0.0031269i,-0.00046919+0.0035996i,0.00066045+0.002111i,0.0011903+0.00072181i,0.0012434+0.00042463i,0.0011849+0.00078635i,0.00065918+0.00081573i,-0.00039543+0.00034086i,-0.00019133+4.1554e-05i,-0.000158+0.00070203i,-0.0001719+0.00088661i,-4.9094e-05-0.00024009i,0.00013171-0.00034898i,0.00030372+0.00089718i,0.0003054+0.0013268i,-0.00018832+0.00093122i,-0.00056146+0.00094725i,-0.00025967+0.00083077i,0.0004192+0.00083543i,0.00083404+0.0004957i
-0.0038365+0.0011845i,-0.0032532+0.0015036i,-0.0018951+0.0030524i,-0.0004831+0.0036563i,0.00036493+0.0030775i,0.00039022+0.0021979i,-0.00082805+0.0011395i,-0.00051277+0.00050352i,0.00059485+8.6833e-05i,0.00033962-1.9846e-05i,-0.00018044+0.00016134i,-3.3379e-06-0.00032302i,0.00054279-0.00096905i,-4.9095e-05-0.0007369i,-0.00038853-0.00024383i,-0.00022798+0.0002129i,-2.5676e-05+0.00049085i,-1.0374e-05+0.00042486i,-0.00062761-0.00013617i,-0.000978-6.4645e-06i,-0.00030596+0.00010599i,0.00025258+0.0002848i,-0.00030676+0.00023139i
-0.00048661-0.00038891i,-0.00054635-0.00034868i,-0.00061839+0.00033846i,-0.00047231+0.0016639i,-0.0012888+0.0025953i,-0.0015628+0.002282i,-0.00095113+0.0018624i,2.9646e-06+0.0019119i,0.00079292+0.0010754i,0.00066864+0.0002445i,0.00033197-0.00016146i,-0.00028808-0.00031468i,-0.001003-3.8397e-05i,-0.00048713-0.00018893i,-0.00063165-0.00037124i,-0.0006784+0.00025572i,0.00042633+1.5905e-05i,2.7605e-05-0.00059235i,-0.0013975-0.00065036i,-0.0013718-0.00049546i,-0.00025176-0.00041659i,0.0008053-0.00048914i,0.00048426-4.6452e-05i
0.0012384+0.00014965i,0.0012566-0.000425i,0.00099633-0.00036001i,0.0011306+0.0005667i,0.001404+0.0016692i,0.0015424+0.0014149i,0.0012366+0.00070271i,0.00088166+0.00053577i,0.00050922+0.00032644i,0.00049063+0.00026227i,0.00026989+0.00076462i,-0.00019091+0.00092318i,-0.00088966+0.00016589i,-0.00074244-0.00053463i,0.00058213-0.00069522i,0.00059197-0.00028365i,9.1788e-05+0.00035707i,0.0002139+0.00036879i,0.00029954+0.00034831i,0.00029931+0.0003499i,0.00050727+0.00020688i,0.00075464-0.00017945i,0.00013071-0.00052881i
-0.00094211+5.5241e-05i,-4.8247e-05+0.0012775i,-5.0892e-05+0.0033675i,0.00068401+0.0036954i,0.0016678+0.0034796i,0.0020496+0.0019555i,0.00093669+0.00076294i,4.4189e-05+0.00054299i,0.00048848+0.00063266i,0.00047025+0.001331i,0.00015037+0.0017486i,-0.00020374+0.0010111i,-0.00058505+3.6365e-05i,-0.00030793-0.00016638i,0.00014569-0.00012006i,-0.00040453-4.3797e-05i,-0.00062702-0.00010033i,-0.00029183+0.00021444i,-0.00033703+0.00029603i,0.00048772-0.00067926i,0.0012084-0.00042201i,0.0013148+0.00011783i,0.00083174-0.00014682i
-0.00067893+0.00053211i,-0.001301+0.00060946i,-0.0015087+0.00096991i,-0.00075613+0.0028453i,0.00047316+0.0036599i,0.001942+0.0024367i,0.0018853+0.0011881i,0.0010196+0.00086269i,0.00019876+3.186e-05i,-0.00034954-0.00012858i,-0.00069535-2.0493e-05i,-5.4287e-05-0.00048223i,0.00031441-0.00083018i,0.00042694-0.00068196i,0.00078012+0.00012616i,0.00024388+0.00080887i,-3.3088e-05+0.0002438i,0.00025047+2.455e-05i,0.00031298+0.00094357i,7.0998e-05+0.0013114i,-0.00013968+0.0011538i,0.00049834+0.00070598i,0.00069247-0.00022131i
-0.00015229-0.0010247i,-0.00054443-0.00062433i,-0.0017824-0.00080837i,-0.0017497+0.00048579i,-0.001265+0.0028074i,-0.0014129+0.0024825i,-0.0013186+0.0009959i,-0.00052828+0.00064098i,-0.0004888+0.0001632i,-0.00029529-0.00028027i,-0.00031871+0.00015821i,-0.00057602+6.9769e-05i,0.00032379+0.00028491i,0.00050742+0.00031909i,0.00013322+0.0002118i,0.00016947+0.0006378i,0.00034333+0.0009738i,0.0001398+0.00046471i,0.00026268-0.00028949i,0.00092369-0.00051351i,0.00065708+3.7978e-07i,-9.0942e-05+0.00048616i,-0.00015071+0.0007269i
-0.00094903+2.2697e-05i,-0.00054493+0.0014106i,-0.00021468+0.0033955i,0.00095887+0.0045566i,0.002404+0.0038643i,0.0022462+0.0019487i,0.0012418+0.00068303i,0.0004802+0.0008008i,0.00035822+0.00070783i,0.00046766-0.00038711i,0.00013453-0.00052255i,-0.00042552-0.00015556i,-0.00070234-0.00025237i,-0.0010616-0.00038619i,-0.0010973+7.2497e-05i,-0.00080866+0.00078561i,-0.00087374+0.00037533i,-0.00049217-0.0005065i,0.00023194-0.00052459i,0.00086883+8.5666e-05i,0.00099333+0.00089531i,0.00086436+0.00064395i,0.00037647-5.4797e-05i
-0.00076456-0.0009014i,-0.0023701-0.00069582i,-0.0018993+5.4917e-05i,-0.0012105+0.00072279i,-0.0002567+0.0006828i,0.00026437+0.00061553i,0.00024217+0.00047796i,0.00010825+0.00047942i,-0.00052829-1.4582e-05i,-0.0002944-0.00031892i,-0.00034756+6.4397e-05i,-0.0012564+0.00011721i,-0.001375+0.00010367i,-0.00040741+9.3257e-05i,0.00059658+0.00012246i,-9.333e-05+0.00046324i,-0.00098804+0.00099047i,-0.00037369+0.0010298i,0.0006387+0.00016695i,0.00047834+0.00024452i,-0.00069862+0.00077909i,-0.0013245+0.00062717i,-0.0011603+0.00049667i
-0.00037985+0.001203i,0.00018484+0.0018564i,0.00046971+0.0016003i,0.00022249+0.0013156i,5.4232e-05+0.0012446i,4.1745e-05+6.4364e-05i,0.00011643+0.00028749i,0.00022898+0.0008757i,0.00076618+0.00092671i,0.00098439+0.00043312i,0.00012242-0.00071337i,-0.00025488-0.00079268i,-0.00030419-0.00074806i,-0.00093043-0.00042004i,-0.00083429+6.7137e-06i,-5.7392e-05-5.8172e-05i,-4.6642e-05+6.2859e-05i,-0.0003342+0.00047056i,-0.00024669+0.00083231i,-4.8096e-05+0.00077262i,0.00064781+8.5153e-05i,0.00036397+2.3625e-05i,-0.00067295-0.00030609i
0.00074279+0.00089347i,0.00069928+0.0014472i,-7.8052e-05+0.0027223i,0.00025698+0.0036747i,0.0016029+0.0034294i,0.0012879+0.0018269i,0.00017037+0.00072377i,-0.0002288+0.00043357i,-0.00022248+0.00050888i,-0.00014168+0.00094579i,-0.0006821+0.00021467i,-0.0014932-0.00047972i,-0.0015912-0.00022079i,-0.00056759-0.00056371i,0.00031599-0.00021579i,0.00058811-4.2795e-05i,0.00042039+3.0234e-05i,0.0003487+0.000392i,-0.00010426+0.00013158i,-0.00056475-0.00042752i,0.00010648-7.5092e-05i,0.00054862+0.00039854i,0.00013269+0.00031162i
-0.0002624+0.0011708i,-0.00035499+0.0012105i,0.00089882+0.0018464i,0.00070482+0.0024022i,4.0417e-05+0.0019139i,0.00011147+0.0018526i,-0.00037299+0.0014885i,0.00021813+0.0011019i,0.00041226+0.00066461i,-3.3161e-05-0.00023544i,-0.00037144-0.00094624i,-4.6136e-05-0.00097408i,-0.0001874-0.00091774i,-0.00070932-0.0006421i,-0.00080339-0.0002385i,-0.00015315-0.0004523i,-0.000159-0.00032344i,-0.00011578+0.00034292i,0.00018888+0.0004512i,9.8264e-05+0.00062504i,-0.00045418+0.00088476i,-0.00073217+0.00046019i,-0.00075203+9.9184e-05i
-0.001023+0.00097428i,-0.0010424+0.00083614i,-0.0018145+0.0011583i,-0.0021547+0.0026626i,-0.0012975+0.003082i,-0.00023645+0.002366i,0.00012917+0.0017265i,0.00068245+0.0010875i,0.00035348-0.00027425i,-0.00069736-0.00063375i,-0.00047305+2.5846e-05i,-0.00048506-0.00074572i,-0.00097123-0.0011678i,-0.0006225-0.00074311i,8.3614e-05-0.00035614i,9.509e-05+0.0004455i,-0.00061889+0.00058439i,-0.0004933+0.0005905i,0.00011228+0.00062012i,0.00011124+0.00013185i,0.00017601+6.8867e-05i,0.00077899-5.956e-05i,0.0012048-0.0003306i
0.0021945-0.00085069i,0.002074-0.001044i,0.0025969-0.0018776i,0.001411-0.0016015i,-0.00042224-0.00074157i,-0.00041577-0.0004265i,0.00023566+0.00020925i,0.0013006+1.9164e-05i,0.0019518-0.00043661i,0.00076592-0.00026993i,0.00017553-0.00068248i,0.00071644-0.0005844i,7.6269e-05+0.0002084i,-0.00062272+0.0007065i,-5.2512e-05+0.00043047i,0.00015858+0.00015958i,0.0001565+0.00063493i,-0.0002343+0.0010819i,-0.00073645+0.00059326i,-4.1454e-05-0.00017408i,0.00095004+1.3189e-05i,0.001095+0.00042792i,0.00037606+6.6343e-06i
0.00080437-0.00064911i,0.00020083-0.00036776i,-0.00050848+0.00019619i,-0.00082993+0.00048211i,-0.00094709+0.00069935i,-0.00063825+0.0012011i,-3.2614e-05+0.0014525i,7.0521e-05+0.0012878i,0.00011961+0.00094459i,0.00019458+0.00051193i,0.0012457-0.00060529i,0.0012645-0.00096139i,-0.000336-0.00098384i,-0.001259-0.00088503i,-0.0010379-0.00040298i,0.00012681+7.1277e-05i,-0.00012346+0.00025068i,-0.0004295-0.00040124i,-3.7192e-05-0.00038914i,4.1816e-05+0.00036743i,0.00036912+0.0013398i,0.00085496+0.0019485i,0.00066511+0.0015671i
-0.0008488-0.0023144i,-0.0015626-0.00094015i,-0.002688+0.00067958i,-0.0025895+0.0016228i,-0.0022224+0.0030233i,-0.0011721+0.0026662i,0.00048288+0.0010608i,0.00077009+0.00054446i,0.00030162+1.411e-05i,-5.276e-05-0.00030704i,-0.0004351-0.00040293i,-0.00063723-0.00069698i,-0.0005799-0.00032287i,-0.00027925+0.00047017i,-0.000444+0.00043839i,-0.00099185+0.00047424i,-0.00084085+0.00063317i,-0.00042747+0.00039911i,-0.00019733+3.2381e-05i,4.7875e-05-0.00041001i,5.1471e-05-0.00011737i,-0.00011355-0.00023869i,-0.00084635-0.00050408i
-0.00047193+0.0010095i,0.00016573+0.0014403i,0.00030781+0.0015438i,0.00070179+0.0015449i,0.00055733+0.0017512i,0.00067955+0.00096877i,0.0010414+0.000318i,0.00058652+0.00050472i,0.00012406+0.00085131i,-0.00025439+0.00027944i,-0.00069241-0.00045489i,-0.0013006-0.00043994i,-0.0012108-0.000258i,-0.0010683+0.00045607i,-0.00088355+0.00077369i,-0.00054908+0.00026994i,-0.00078783+8.0454e-05i,-0.00099765+0.00058356i,-0.00065226+0.00060644i,-7.0607e-05+0.00053173i,0.00037888+0.00034322i,0.00076896+0.00027591i,0.00060539-0.00013136i
0.00024107+0.0010494i,-0.00022283+0.00084848i,0.00033113+0.0020774i,0.0013574+0.0025312i,0.0017467+0.001831i,0.0011642+0.00061472i,0.00036449+0.00013025i,1.9338e-05+0.00058074i,0.0003158+0.00044182i,-0.00014548-0.00050914i,-0.00028852-0.00090906i,-0.00018232-0.00014841i,-6.1209e-05-0.00022441i,-0.00011974-0.00037691i,-0.00085869+0.00020454i,-0.0015266+0.00024899i,-0.00082624+3.8749e-05i,-0.00025472+0.00011443i,-4.2274e-05-2.4739e-05i,1.5614e-05-0.00052136i,-0.00026422-0.00072012i,8.0124e-05-0.00076734i,0.00094431-0.00037151i
0.00023699-0.0023737i,-0.00034587-0.0021891i,-0.0013858-0.0015796i,-0.0019496+0.00044744i,-0.0025681+0.0019834i,-0.0023609+0.0025173i,-0.00082007+0.0020637i,0.00024728+0.0012219i,0.00072025+0.0007809i,-0.00020911+5.0917e-05i,-0.00053885-0.0002019i,-8.1998e-05+0.00050352i,-6.9833e-05+0.00094258i,-2.5694e-06+0.00038276i,-2.8044e-05+0.00014123i,0.0006779+0.00035436i,0.00041061+0.00045396i,-0.00049966+0.00035865i,-0.00033993+0.00010082i,0.00025315+0.00015404i,0.00052949+0.00020866i,0.00025305-0.00076448i,0.00061934-0.0010463i
-0.00057224-0.001272i,-0.00046258-0.00088181i,8.5942e-06+0.00041686i,4.3461e-05+0.0012749i,-3.2756e-05+0.0018074i,-0.00020386+0.00084978i,0.00017426+5.5641e-05i,0.00045482+0.00063832i,0.00042609+0.00047239i,0.00049623-0.00029487i,-0.00051436-0.00088524i,-0.00072982-0.0008878i,-0.00027007-0.000321i,-0.00027931-3.9411e-05i,-0.00011634-0.00014652i,3.4024e-05+0.0002564i,7.6871e-05+0.00038486i,0.00057607-0.00015925i,0.0010784-0.0012258i,0.0007102-0.0013273i,0.00040515-0.00076285i,-8.7588e-05-0.00065489i,-0.00055537-0.00024554i
0.00084519+0.00042188i,0.00071362+0.00035329i,-0.00031469-0.00012522i,-0.00058584+0.0002223i,-0.00018816+0.00013162i,0.00013553-0.00061162i,0.0006386+0.0002072i,0.00010452+0.0011625i,-0.0003693+0.00085789i,-0.00019403+0.00018676i,-0.00041006-0.00059613i,-0.00014345-0.00081244i,0.00044289-0.00069803i,0.00048625-0.00035569i,0.0010092+0.0001672i,0.0011827+0.00039625i,0.00012337+0.00027638i,-0.0010675+2.4442e-05i,-0.00037674+9.8096e-05i,0.00028498+0.00021941i,-5.1998e-05+0.00085477i,-0.00095384+0.0012577i,-0.0013063+0.00053939i
0.0018099+0.00086146i,0.0021074+0.0004511i,0.0022821+0.00069566i,0.00085607+0.001095i,-7.0206e-05+0.0012053i,0.00026986+0.00074088i,-0.00030476+0.00079406i,-0.00037469+0.00085156i,0.00030464+0.00010323i,0.00067578+0.00027431i,0.00014459+0.00027791i,5.5959e-05-6.6246e-06i,-0.00030872+0.0002784i,-0.00098681+0.00070281i,0.00026009+0.00018946i,0.00055792-0.00023804i,-0.00067599+3.8637e-05i,-0.00036262-0.00037779i,-0.00033758-0.00075405i,-0.00071143-0.00065403i,-0.00035329-5.0022e-05i,0.00047564+0.00031636i,0.00079968+0.00011602i
0.0006667-0.00024534i,-0.00029537+0.0013411i,-0.0013339+0.0021865i,-0.001219+0.0024927i,-0.00063057+0.0027273i,-0.00035698+0.0028635i,0.00050703+0.0021118i,0.00094312+0.00079366i,0.00037052+0.00043014i,-0.00024669+0.00075352i,-0.00035005+0.00031923i,-0.00015137-0.00013387i,-6.1826e-05+0.00024408i,0.00018543+0.00039815i,0.00041551+0.00062266i,0.00059695+0.00080934i,0.00074511+0.00052699i,0.00084761+0.0010417i,0.00047377+0.0011415i,-0.00043012+0.00025741i,0.00020851+0.00015159i,0.00052532+0.00025513i,0.00040163-9.0828e-05i
0.00033067-0.00012288i,0.00041821-0.001564i,0.00054056-0.0019462i,-0.00025339-0.00055795i,-0.00039155+0.00053196i,0.00016576+0.0018288i,0.00022971+0.0018438i,2.0324e-05+0.0010448i,-0.00045231+0.0004653i,-0.00090009+0.00029889i,-0.00096155+3.6035e-05i,-0.0004543+6.9805e-05i,-0.00048376+0.001119i,-0.00039587+0.00097172i,0.00017416+0.00024606i,0.00011618-9.9664e-05i,-0.00039675-0.00030117i,-0.00014682-6.4231e-05i,0.00010437+0.0002833i,0.00020504+0.00034154i,-0.00051098-0.00021331i,-0.00020797-0.00057622i,0.00025489+0.0002556i
0.00012978-0.00085463i,0.00017282+0.00095271i,-0.00075473+0.0023121i,-0.0018259+0.0037818i,-0.0014152+0.0033271i,-0.00051899+0.00099949i,0.00011941+0.00027232i,0.00042753+0.00038886i,4.8911e-05-0.00018538i,-0.00099157-0.00070439i,-0.001575+0.0001092i,-0.0014084+0.00031275i,-0.0010066-0.00034931i,-0.00076192-0.0010895i,-0.00057085-0.0014665i,-0.00019006-0.0006632i,-0.00020038+0.00042488i,-0.00027178+0.00046148i,-0.00078986-0.00019396i,-0.00065507-0.00028835i,4.0848e-05+0.00041661i,0.00027548+0.0002595i,0.00021896+0.00046799i
0.0013206+0.00024344i,0.001888-0.00019836i,0.0013176+0.00027814i,0.00057645+0.0011099i,-0.00042804+0.0017063i,-0.0012093+0.0026193i,-0.00052088+0.0026659i,-6.305e-05+0.0019183i,-6.5939e-06+0.00070335i,-0.00011826-0.00070147i,-0.00049958-0.00094759i,-0.00035583-0.00032573i,-0.00039999+0.00026525i,-2.4189e-05-1.99e-06i,0.00073385-0.0001247i,0.00042473+0.00052467i,-0.00049996+0.00080521i,-0.0015485+9.0678e-05i,-0.0017485-0.0010109i,-0.00066711-0.00096311i,4.3425e-05+0.00027034i,7.7169e-05+0.00015685i,0.00014967-0.00026892i
1.7676e-05+0.00040428i,9.4662e-05+0.00069382i,-0.00059168+0.0011642i,-0.00050795+0.00042959i,-0.00019142+0.00019468i,-0.00025476+0.00043875i,0.00014799+0.00063128i,0.00083394+0.00030941i,0.00079829-0.00053708i,-1.5065e-05-0.00086244i,-0.00057576-0.00023624i,-0.00058863+0.00015996i,0.00045848-6.2668e-05i,0.00073693-0.00032127i,0.00030728-0.00058298i,0.0002269-6.7597e-05i,0.00023193+0.00024694i,0.00019432+0.0003673i,-0.0009295-4.1746e-05i,-0.00092345-0.00013184i,-6.5e-06-2.7271e-05i,0.00058058-0.00014136i,0.00046084-0.00034121i
-0.0011332-0.0012793i,-0.0017432+4.5157e-07i,-0.0022155+0.00062881i,-0.0012327+0.0018821i,-0.00098875+0.0022957i,-0.00024201+0.0017428i,0.00019391+0.00093326i,-0.00024882+0.00088231i,-0.00012272+0.00072402i,0.00037075+0.00012976i,0.00041276+5.3784e-05i,0.00019675+0.00021395i,-0.00041936-0.00048082i,-0.00094024-0.00049336i,-0.00057932-0.00030325i,-5.9164e-05-0.0010474i,0.00021233-0.0010752i,0.00055182-0.00070412i,0.00025875-0.0010116i,-0.00021686-0.00092976i,0.00012975-0.00020109i,0.00020989-0.00068732i,0.00030916-0.00059675i
0.0012861-9.4177e-05i,0.00029167+0.0001175i,0.00039075+0.00091176i,-0.00029682+0.001823i,-0.00092786+0.0019376i,-0.00067937+0.0024959i,3.9754e-05+0.0019597i,0.001159+0.00079106i,0.0016123+0.00021868i,0.0009971+2.3457e-05i,-0.00051594+0.00024308i,-0.0014305+0.00044082i,-0.00087831+0.00047371i,-0.00018463+0.00033765i,1.2508e-05+0.00059858i,0.00019652+0.00066945i,0.00060888+0.00020037i,-9.0492e-05-0.0002404i,-0.00098071-4.0017e-05i,-0.00041854+0.00020105i,0.00069581-0.00034573i,0.00057125-0.00099389i,0.00026336-0.00081347i
-0.00029348+0.00027148i,-0.00095066+0.0007969i,-0.00047424+0.00084201i,-0.0002394+0.0019741i,-0.00043166+0.0026042i,-0.00051076+0.0015922i,-0.00040034+0.0010349i,0.00040303+0.00091926i,0.00055066-8.496e-05i,-0.00056479-0.0010618i,-0.0010915-0.00075346i,-0.00017482+0.00014236i,0.00017367-2.3444e-05i,3.1541e-07-0.00083935i,0.00045476-0.00097907i,5.4331e-06-0.00037515i,-0.00031724-0.00029557i,-0.00018363-0.0010603i,-0.00040153-0.00060161i,-0.0007258-0.00042251i,-0.00045491-0.00010591i,0.00067139-0.00023092i,0.00099878-0.00089299i
0.00065722-0.0020397i,-0.00053438-0.0024358i,-0.00063142-0.0024984i,7.6088e-05-0.0019603i,-0.00022729-2.5617e-05i,-0.00035185+0.001817i,0.00032605+0.001079i,0.000569+6.1216e-05i,0.00068615+0.00024813i,0.00076275-0.00049943i,0.00054006-0.0012311i,-0.0001154-0.001309i,-0.00025622-0.0015298i,0.00039481-0.00094014i,0.00093284-0.00054307i,0.00048943-0.00011361i,-0.00068146+0.00020555i,-0.0014566+0.00040302i,-0.00090244+0.00085142i,-2.7495e-05+0.00047634i,0.00041323+2.1121e-05i,0.00037957+0.00034024i,-0.00026646+0.00038722i
0.0011122-0.0012321i,0.00059337-0.00033069i,-0.00080893+0.00052129i,-0.0022319+0.0010991i,-0.0024495+0.0018622i,-0.0016086+0.0015439i,-0.00079984+0.0011451i,-0.0005273+0.00089766i,-0.00051395-0.00088514i,-0.00085993-0.0015876i,-0.001008-0.0004396i,-0.00071368-0.00018114i,-0.00032862-0.00025652i,0.00012328+0.00019054i,0.00043909+0.00054784i,0.00067738+0.00038071i,0.00024367+0.00076737i,-0.00026125+0.0009724i,0.00033703+0.00055249i,0.0003592-4.1029e-05i,-0.00046303+0.00010673i,-0.00070218+0.00039807i,-0.0008632-0.00041646i
0.00032977-0.00041541i,0.00075245+0.00033601i,-0.00025412+0.0020866i,-0.00071005+0.0029879i,-0.00060168+0.0023941i,-0.0001247+0.0016024i,-0.00018543+0.0021573i,-0.00080113+0.0025761i,-0.00060324+0.0013689i,2.5318e-05-0.00030213i,0.00028324-0.00095816i,0.00036102+0.00030878i,-0.0005328+0.00073867i,-0.0010113+0.00042189i,-0.0001046+0.00082187i,0.00080031+0.00070401i,0.00052512+0.00016578i,-0.00061552-0.00074711i,-0.00090021-0.00080179i,-0.0001445-0.00048931i,-0.00030458-0.0002754i,-0.00045711-0.00016446i,0.00018296-0.00030823i
0.0016088+0.0020148i,0.00056937+0.0013794i,0.00080245+0.0021447i,0.0015118+0.0030216i,0.0025458+0.0014608i,0.0016863+0.00045605i,-0.00046126+0.00019238i,-0.00044738+0.00067632i,0.00049937+0.00060147i,0.00074433-0.0008409i,0.00031794-0.0012576i,-0.00055137-0.00086802i,-0.00037197-0.00026997i,0.00052976-0.00032579i,0.00072605-0.00033654i,0.00062896+0.00091391i,0.0013495+0.001525i,0.0012091+0.00090754i,0.00012652+0.0004356i,-0.00034434+0.00043379i,-7.5235e-05+0.00046797i,0.0013084-0.0002419i,0.0020894-0.00036342i
-0.0011702-0.00033884i,-0.0014234+0.00055157i,-0.0021888-0.00031556i,-0.00093867-0.00045464i,0.00068702+0.0010866i,0.00035805+0.0020202i,-0.00078697+0.0013926i,-0.00068242+0.0010791i,0.0001527+0.00086852i,5.3427e-05-0.00053606i,-0.00035659-0.0014586i,-0.00037974-0.00072723i,-0.00015381+0.00019316i,8.3711e-05+0.00045521i,0.00045191+0.00031116i,8.7779e-05+0.00046229i,-0.00085134+0.00059141i,-0.00088764-0.00029556i,-0.00059913-0.00066054i,-0.00077821-0.00032974i,-0.00074227-0.00048358i,-0.00027832-0.00072016i,-9.6383e-05-0.00075692i
-0.001494-0.0011786i,-0.0018719-0.00086726i,-0.0023027+0.00080604i,-0.002878+0.002749i,-0.0018075+0.0027461i,0.00053778+0.0019743i,0.0012913+0.0011786i,0.0006726+0.0010563i,0.00057004+0.00014897i,0.00025043-0.00042864i,-0.00047616+0.00021168i,-0.00052475+0.00040441i,-0.00012469+0.00024821i,0.00045424+0.00030613i,-2.779e-06+9.1941e-05i,-0.00043621-0.00020575i,-0.00048415+0.00057004i,-0.00058122+0.00062156i,-0.00022024+0.00064074i,4.6605e-05+9.5313e-05i,0.00026592-0.00035857i,-0.0003524-0.00017602i,-0.00065004+5.2295e-05i
