2.9111e-05+0.0002466i,0.00052205-0.0013061i,-0.00052752-0.0026037i,-0.0021089-0.0023091i,-0.0024357-0.0014669i,-0.0023657-8.4701e-05i,-0.0017798+0.0008582i,-0.0004431+0.0002806i,0.0006043-0.00041199i,0.00042332-0.0009928i,-0.00036706-0.0012972i,-0.00055489-0.00072428i,-0.0006214+0.00015207i,-0.0011236+0.00059988i,-0.0011562+0.0011257i,-0.0010435+0.00089418i,-0.00094534-0.00010671i,9.2551e-06-0.00059147i,0.00083365-0.00042411i,0.00030232+5.1687e-05i,0.00028816+0.00041175i,0.0002981+6.291e-05i,-0.0010112-0.00030627i
-0.0015245+5.1062e-05i,-0.0021817+2.7964e-05i,-0.0026448+0.00094773i,-0.0017961+0.001488i,-0.00078345+0.00072471i,0.00012478-0.00059783i,-0.00023284-0.00060856i,-0.0010618-2.309e-05i,-0.00044053+0.00015013i,0.0003888-0.00037611i,0.00010419-0.00048647i,-0.00061695+0.00015689i,-0.00070049+3.9775e-05i,-0.00091396-0.00086982i,-0.00057586-0.00097674i,-0.00023237-0.00050225i,-0.00057423-0.00083247i,-0.00069313-0.00059397i,-0.00080708-0.00055676i,-0.00065256-0.00098254i,-0.00016779-0.0002563i,9.3542e-05+0.00019425i,-0.00013574+0.00010951i
-0.00062874+0.0010184i,-0.00088609+0.00084849i,-0.00040339+0.00086956i,0.00017894+0.0011593i,0.00068971+0.00068781i,0.00019188+6.9346e-05i,-5.5896e-05+6.7158e-05i,1.4836e-05+0.0001291i,0.00020249+0.00052429i,-2.9603e-05+0.00044095i,-0.00070932+3.3682e-05i,-0.00039353+8.5343e-05i,9.3901e-05-8.2846e-07i,-0.00063885-1.574e-05i,-0.00053046-0.00016041i,0.00033574+1.3172e-05i,4.1912e-05+0.00096524i,-0.00059868+0.00053533i,-0.00043204+0.00012653i,-0.00030936+0.00019428i,-0.00010149+0.00038378i,-0.00043415+0.00076923i,-0.00075064+0.00027091i
-0.0012268-0.0017846i,-0.0014484-0.0014186i,-0.0014223-0.0016682i,-0.0016075-0.0011081i,-0.00098793-0.0012713i,-0.00012835-0.00078886i,-3.8886e-05+8.9147e-05i,8.5792e-05-0.00015668i,0.00066879-0.00049527i,0.00088897-0.00024715i,0.00058348-0.00038561i,0.0004462-0.00046195i,0.0001111+0.00045738i,-0.00014892+0.0015863i,-0.00069857+0.0014905i,-5.9067e-05+0.001022i,0.00085918+0.00016224i,0.00095362-0.00056972i,0.00097531+0.00015763i,0.00024966+0.001005i,-0.00025007+0.00034202i,8.8885e-05-2.3078e-05i,0.00092428+0.00036418i
-0.0029223-0.00048198i,-0.0018833-0.00010991i,0.00021133+0.00071089i,0.0009398+0.0011699i,0.00068737+0.00085009i,2.8582e-05-0.00055115i,-0.0007895-0.00093787i,-0.0010248-0.00080874i,-0.00057433-0.00096926i,-0.00039175-0.00031897i,-0.0010169-2.0726e-05i,-0.00098345-0.00034315i,-0.00024357-8.0578e-05i,0.00012907+0.00017085i,0.00035731+3.3823e-05i,0.00025742+0.00071962i,-0.00079703+0.001169i,-0.0011161+0.0002853i,-0.0002852-0.00068463i,0.00043716-0.00043691i,0.00060136+0.00044474i,0.00072468+0.00058981i,0.0007266+0.00060192i
-0.001159-0.0017852i,-0.001487-0.002471i,-0.0017304-0.0026551i,-0.0013406-0.001595i,-0.00086392-0.00048901i,-0.0008288-0.00013822i,-0.00032782+3.6461e-05i,0.00025794-0.0004136i,8.3744e-06-0.0014824i,-0.00011772-0.0006423i,-0.00038909-0.00015516i,-0.00074618-0.0010245i,-0.00083718-0.00031826i,-0.00078137+0.00038228i,-0.00074606+0.00011605i,-3.9274e-06-0.00026014i,2.7668e-05-0.00073783i,-0.00035441-0.00092736i,3.8094e-05-0.00073795i,5.6159e-05-0.00081071i,-0.0002365-0.00016608i,-7.4645e-05+0.00019411i,-8.6757e-05-0.00029093i
-0.0026705-0.0024302i,-0.0043737-0.00090427i,-0.0042906+0.00055093i,-0.0027517+1.9554e-06i,-0.00071211-0.00084978i,1.811e-05-0.00081047i,2.1057e-05-0.00089607i,0.00049988-0.0014631i,0.00063679-0.0013314i,-0.00011786-0.00038802i,-2.7071e-05-0.00032767i,0.0003576-0.00014397i,0.00068062+3.6326e-05i,0.0015905-0.00019072i,0.0015408-0.00047247i,0.00059125-0.00010594i,0.00030078+0.0002299i,0.00022844+0.00033511i,0.00014747+0.00039237i,0.00017295-1.0049e-05i,-0.00038403-0.00035744i,-0.00061065+0.0003328i,-0.0005549+0.00015636i
-0.0020967-0.0022683i,-0.0029115-0.0019304i,-0.0024263-0.0014572i,-0.0016001+0.00025685i,-0.00070475+0.00019548i,0.00025724-0.00061954i,-0.00031605+4.7742e-06i,-0.00065069-0.00012689i,-0.00057353-0.00038124i,-0.00076302+0.0002958i,-0.00048523+2.9435e-05i,-4.0127e-05-0.00058653i,0.00041532-0.00025752i,0.00035775+0.00063362i,0.00071316+0.00047489i,0.00062587-0.00016678i,-0.00012854-0.00033932i,-0.00034745+2.8521e-05i,-0.00080609+0.00024886i,-0.001025-0.00029146i,-0.00080003-0.00077448i,-0.00076394-0.00046435i,-0.00028745-0.0003937i
-0.0020624-0.0014433i,-0.0013242-0.0012839i,-0.0019345-0.00016963i,-0.0021242+0.0010147i,-0.0015039+0.0013068i,-0.0010796+0.00026881i,-0.00097403-0.00091988i,-0.00067625-0.0012399i,-6.8567e-05-0.00077642i,0.00052942-0.00010209i,0.0009016+0.00028315i,0.00050965+0.00047086i,-0.00011489+0.00027902i,-9.4442e-05+0.00010348i,0.00042631+8.7421e-05i,0.0010111+0.00059899i,0.00072738+0.00056502i,-6.9137e-05-8.8508e-05i,-0.00027535-0.00028929i,-0.00023592-0.00057268i,-0.00060233-0.00056451i,-0.00079723+0.00037311i,-0.0010745+0.00054981i
-0.0020042+0.0010294i,-0.0015069+0.00031091i,-0.00093845-0.00021009i,0.00028808+0.00058865i,0.00013898+0.00049526i,-0.00060311+0.00023731i,-0.00073232-0.00014288i,-0.00061053-0.00040814i,-0.00017325+0.00038232i,-9.5501e-05+0.00026371i,-4.8351e-05-0.00058571i,0.00042531-0.00039853i,0.0013079-0.00033173i,0.0015956-0.00032718i,0.001302+0.00066017i,0.00078166+0.00091705i,-6.0403e-05+3.0196e-05i,-0.00040439+0.00049175i,-0.00064088+0.00055243i,-0.00074137-0.00031948i,-0.0003486+0.00039538i,-1.9728e-05+0.00070912i,0.00029811+0.00033267i
-0.0015918+0.0008733i,-0.0022253+5.1687e-05i,-0.0020076-7.4397e-05i,-0.0013261+0.00042339i,-0.00097568-7.3605e-05i,-0.00070078-9.0271e-05i,0.00034469+0.00027467i,0.00068871-8.0341e-05i,7.1498e-05+0.00018514i,-0.00012356-0.00014712i,0.0003561-0.00032355i,0.00083538+0.00010158i,0.00030716-2.5028e-05i,-0.00018412+7.2969e-05i,0.00030725-0.00012115i,0.00045281-2.8022e-05i,0.000236+0.00010288i,0.00023295-0.00014458i,3.2469e-06-0.0008761i,-0.00023119-0.0014837i,-0.00025932-0.0008445i,-1.5031e-05-0.00047626i,0.00074053-0.00031371i
