0.0031826-0.0018902i,0.0028838-0.0025803i,0.00043709-0.0036102i,-0.0017222-0.0034471i,-0.0036024-0.0014398i,-0.0038897+0.00046189i,-0.0019848+0.00048952i,-0.00011043+0.00022612i,0.00071762-0.0002309i,0.00051862-0.00072081i,-0.00033093-0.0014554i,-0.00084375-0.0016845i,-0.00082444-0.00065744i,-0.00088798+0.00038293i,-0.0010788+0.00040294i,-0.00103+0.00098321i,-0.0010349+0.00098974i,-0.00041968+0.00012267i,-0.00028879-0.00061825i,-0.00054386-0.00024232i,-0.00017311+0.00010239i,-0.0001324-0.00044038i,-2.7778e-05-0.00084526i
0.0014731-0.0011897i,0.00086932-0.0003477i,-0.0016011-0.00012815i,-0.0021983+0.00015591i,-0.0014376+0.0008947i,-0.00080689+0.0011383i,2.2593e-05-0.00011213i,0.00044218-0.00023182i,0.00014559+9.4014e-05i,-0.00048374-0.0002274i,-0.00052952-9.3497e-05i,7.933e-05+0.00014624i,0.00059056+0.00077134i,0.00021235+0.0011823i,3.2433e-05+0.0010926i,0.0002547+0.00044402i,0.00020841+0.00037337i,-6.4795e-05+0.00033274i,0.00052852-0.00019467i,0.00039161-0.00024336i,0.00021105+0.00013616i,-9.8259e-05-0.00012303i,4.448e-05-0.00057232i
-0.0033271+0.00070147i,-0.0032801+0.0014569i,-0.0036727+0.0012051i,-0.0037915+0.0012477i,-0.0032092+0.0016392i,-0.0014967+0.0012789i,-0.00053191+0.00051381i,5.2636e-05+0.0001623i,0.00026113+0.00028601i,-0.00022062+5.6991e-06i,0.00019963-0.0003435i,0.0004765-0.0001319i,0.00034424-0.00026835i,-6.9106e-05-0.0011541i,3.9666e-05-0.0007546i,0.00032463+0.00024187i,0.00027897-3.2894e-05i,3.229e-05-0.00038616i,-7.8842e-05-0.00034245i,0.00042012-0.00043205i,0.00029314-0.00049901i,-0.00011373-0.00055154i,0.00018661-0.00044891i
-0.0007119-0.0018312i,-0.00097377-0.0017113i,-0.00056099-0.0016533i,-0.00030616-0.0012917i,-0.00099635+0.00015481i,-0.00047884+0.00073848i,4.5445e-06+0.00099203i,-0.00039139+0.0010357i,0.00024662-2.655e-05i,0.00040366+0.00038562i,-0.0010135+0.0008654i,-0.0017339+0.00053709i,-0.00081538+0.00050293i,-2.2027e-05+0.00039044i,-0.00025574-0.00011127i,0.00019024-0.00018693i,0.00063358+8.72e-06i,0.00036871+7.743e-05i,4.7776e-05+6.1941e-05i,4.675e-05-4.3298e-05i,0.00017578-8.5542e-05i,0.00065858-0.00037829i,0.0012328+0.00011137i
0.00022582-0.0014912i,-0.00042625-0.0013682i,-0.0012432-0.0013784i,-0.0014879-0.0011079i,-0.0010837-0.00095062i,-0.00032408-0.00055014i,-0.00040998+0.000194i,0.00026324+0.00038187i,0.00075389-1.1598e-05i,0.00059106-0.00072508i,0.00029369-0.0010596i,-0.00011305-0.00024898i,-0.00031047+0.0002008i,-0.00058134-0.00049159i,-0.00039225-0.0011326i,-5.7387e-05-0.0003564i,-0.00041474-0.00024086i,-0.00046844-0.0012676i,-0.00015283-0.0011949i,-0.00027756-6.7662e-05i,-0.0012168-0.00020383i,-0.0017062-0.00021205i,-0.0011842+0.00054412i
0.00050201-0.0009157i,-0.00094856-0.0018414i,-0.00053819-0.0012966i,-6.2517e-05-0.00055302i,1.9078e-05-0.00021474i,9.4731e-05-0.00030333i,0.00035884-0.00083232i,0.00042634-0.0010867i,0.00050549-0.00083361i,0.00049202-0.00039581i,0.0003631-0.00046006i,-0.00011254-0.00068321i,-0.00029877-0.0011764i,0.00016186-0.00099191i,0.00025209+0.00010033i,-2.7022e-05+0.00069139i,0.00013726+0.00076121i,-0.00014831+0.000176i,0.00011869-6.7497e-05i,0.00074678-0.00026646i,0.00059704-0.00069161i,-0.00010472-0.00090417i,-0.0010492-0.0010626i
5.5905e-05+0.000872i,0.00048845+0.0012494i,-0.00034383+0.0014789i,-0.00060498+0.0012933i,-0.00067488+0.00098543i,-0.00073366+0.00057787i,-0.00072311+0.00021044i,-0.00072841+0.00035948i,-0.0005753+0.0007133i,-0.00046257+0.0010858i,-0.00073092+0.00027821i,0.00032548-0.00024763i,0.001483-0.00018982i,0.0013014-3.6814e-05i,0.0013549+0.00043028i,0.00066156+0.00024588i,-0.00024176-0.00025327i,-0.0001411+0.00018369i,-0.00042009+0.0004022i,-0.0009451+5.0067e-05i,-0.00062579-0.0003884i,-0.00011919-0.0010786i,-0.00013773-0.00087551i
-0.00033+0.001462i,-0.00072052+0.0019695i,-0.00084109+0.0020674i,-0.00016142+0.0019111i,0.0013778+0.00077302i,0.0012657-0.00053703i,0.00068761-0.00087665i,0.00092004-0.00058352i,0.00064911+0.00058199i,0.0004259+0.00071498i,0.00053944+0.00016533i,0.00035881-0.00057142i,-3.5177e-05-0.0011543i,-0.00073762-0.00036626i,-0.0009237+0.00012747i,-0.00045096+0.0001208i,4.8724e-05-0.0010392i,0.00030879-0.0015283i,0.00044245-2.8932e-05i,0.00039879+0.00063857i,-0.00025308+0.00043226i,-0.00073832-0.00010633i,-0.00058638-0.00054467i
-0.0012363-0.00070838i,-0.0010516-0.00039496i,-0.0017246-0.00087457i,-0.0019336-0.00034123i,-0.00089647+0.00094116i,-0.00035242+0.00060038i,-0.0004709-0.00012028i,5.8302e-05-0.00015273i,0.00071928+0.00043078i,0.00040636+0.00073718i,-0.00041365+0.0012953i,-0.00074038+0.0011321i,-0.00015901+0.00026465i,7.5335e-05-0.00085187i,0.00054048-0.00067898i,0.00022941+0.00023567i,-0.00017502+0.00045077i,0.00034707-0.00013153i,0.00060421-0.0004457i,0.0010848-5.5388e-05i,0.0010976+0.00043196i,0.00016503+0.0008605i,-5.2101e-05+0.00058417i
-0.00041415+0.00092104i,-0.00077984+0.001506i,-0.00069137+0.0015478i,-0.00054152+1.9248e-05i,-0.0015551-0.00102i,-0.0015177+0.00011381i,-0.00095396+0.0008875i,-0.00094814+0.00069482i,-0.00075968+0.0011018i,-0.00046203+0.00072987i,-6.0201e-05+0.00017601i,0.00011384+0.00012485i,0.00069352+0.0007172i,0.00036072+0.00058652i,0.00028407-0.00055163i,-0.00029497-0.00052499i,-0.0013841-0.00035683i,-0.00045432-0.00046033i,0.00057774-2.0055e-05i,0.00017214+0.00018582i,0.00049431+3.3497e-05i,0.00075751-0.00058513i,0.00029908-0.0014908i
-0.00024078-0.00044775i,-0.00076835-0.00047765i,-0.00079873-0.00027214i,-0.0009879+0.00054381i,-0.00086192+0.00098808i,-0.00066735+0.0013916i,0.00018275+0.00072249i,0.00025953+0.00014497i,-0.00034245-1.4747e-05i,0.00024737+0.00036255i,0.00099789+0.00090426i,0.00026056+0.00043922i,-0.00053295-0.00020626i,-0.00060721-0.00040275i,-0.00034535-2.0076e-05i,-0.00032257+0.00044903i,-0.00038536+0.00032754i,-0.00019833+6.2371e-05i,8.0885e-05-0.00016797i,-0.00016519+0.00031551i,-0.00077904+0.00031612i,-0.00019527+5.5933e-05i,0.0005195+0.00040442i
