-0.00076183-3.2198e-05i,-0.00041477+0.00060755i,-0.0009047+0.00025761i,-0.0022416-0.00012329i,-0.0020848+0.00044653i,-0.0014906+0.0010525i,-0.0007313+0.0013693i,-0.00024228+0.00063923i,0.00015344+1.5662e-05i,0.00058086+0.00032045i,-6.5515e-05+0.00051051i,-0.00037265+0.00061854i,-0.00017769+0.0005472i,-0.00010919-0.00015398i,0.00033992-0.00081086i,0.00019332-0.00068498i,-0.0004367+0.00017716i,-0.00075533-4.0019e-06i,-0.00072009-6.7604e-05i,-0.00051397+0.00025495i,-0.0002435+0.0003149i,-0.00010964-7.6088e-05i,0.00020435-0.00038379i
-0.00033571+0.00078558i,0.00012545+0.00010027i,0.00040608-0.00044779i,0.00011996-0.00081683i,-0.00040987-0.00096784i,-0.0016096+6.3203e-05i,-0.0020046+0.00021544i,-0.00052439-0.0006447i,2.4559e-05-0.00094294i,-0.00044463-0.0002395i,-0.00081532-0.00018598i,-0.00013062-0.000405i,0.0012786+0.00039086i,0.0016153+0.00069083i,0.0009015+0.00062101i,0.00016378+0.00092441i,0.00015518+0.0007099i,-9.0278e-05+0.00058752i,-0.0007853+0.00052666i,-0.0005378-0.0003956i,0.00068595-0.00092229i,0.0012332-0.00079351i,0.0011688-0.00024114i
0.00019319-0.0014577i,-0.0002161-0.0010169i,-0.00098528+0.00010154i,-0.0011986+0.0011471i,-0.0009313+0.0020169i,-0.0002563+0.0011935i,0.00030939-0.00030481i,0.00047842-0.00048641i,-9.791e-05-0.0004371i,-0.00071795-0.00052394i,-0.00058529-0.00032415i,0.00013707-0.0001607i,0.00061634+0.00036161i,0.00054647+0.00035727i,0.00016892-0.00038037i,0.00025573-0.00057857i,0.00021231-0.00017054i,-0.00057352-0.00056482i,-0.00028065-0.00025096i,-0.00022438+0.00034332i,-0.00061797-0.00022797i,0.00011572-1.5459e-05i,-7.1363e-05+0.00038439i
-0.00055314-0.00080237i,-0.0017787-0.0013536i,-0.0019289-0.0012456i,-0.0016277-0.00022018i,-0.0014453+0.00073193i,-0.0015097+0.00074462i,-0.0012109+0.0006107i,-0.001211+6.1712e-06i,-0.00083809-0.00091986i,-1.3558e-05-0.00059498i,-0.00020049+0.00018463i,-0.00016876+0.00017154i,0.00082033+0.00031981i,0.00063465+0.00066817i,-0.00046404+0.00010296i,-0.00043339-0.0010028i,0.0004026-0.001137i,0.00062502-0.00080597i,0.00074446-0.00038569i,-0.00011165-0.00020232i,-0.00046958-0.00017833i,-0.00069423+0.00033758i,-0.00080638+0.00097335i
-3.821e-05+0.00050658i,-0.00030806-0.00045349i,-0.00027218-0.0013454i,-0.00073813-0.0015985i,-0.00089494-0.00085941i,-0.0010975-0.00019353i,-0.0010033-0.00024611i,-0.00098609-0.0010277i,-0.0011713-0.0015803i,-0.0005979-0.0017265i,0.00047071-0.00072053i,0.0010954+0.00019258i,0.00051437+0.00042683i,-0.00035002+0.0011593i,-0.00049915+0.00085399i,-0.00093629-0.00020048i,-0.00089758-0.00043497i,-0.00041988-0.00052929i,-0.00085217-0.00052726i,-0.00057109-0.00025922i,0.00015667-1.4582e-05i,0.0001738-4.9979e-05i,-8.7404e-05+0.00012847i
-0.00017695+6.5245e-05i,0.00020846+0.00041453i,0.00080341+2.0669e-05i,0.00014947+9.2308e-05i,-0.00060453-0.0006631i,-0.00030555-0.0014759i,-0.00017077-0.00087486i,-0.00048176-0.00027338i,-0.00031308-0.00015668i,-0.0004408-0.00012648i,-0.00010169-0.00066676i,0.00077187-0.00049741i,0.00097012+0.00035302i,0.00021977+0.00034154i,8.6214e-05-6.0385e-05i,-7.1577e-05-0.00036504i,-0.00058797-3.1348e-05i,-0.0013215+0.00034097i,-0.0016337+0.00092356i,-0.00075771+0.0012314i,-0.00022664+0.0012888i,-0.00031968+0.00084724i,8.8486e-05+0.00068578i
-0.0002514-0.00061198i,-0.0010483-0.00033475i,-0.0012644-0.00026016i,-0.0015616+0.00016861i,-0.0013554+0.00016092i,-0.00041417-0.00010508i,0.0001921-0.00026845i,0.00013866+0.0001392i,0.00069971-0.00022226i,0.00064166-0.00054307i,0.00010509-0.00012815i,0.00025025-0.00017516i,0.00023484-0.00029961i,0.00014086+0.0001051i,0.00062421+0.00039219i,0.00045494+0.00011102i,-0.00046851-0.00064276i,-0.00059516-0.00095856i,0.00023888-0.00070827i,0.00081243-0.00062441i,0.0011522-0.00042397i,0.0010686+8.0841e-05i,0.00079497+0.00060508i
0.00060177-0.0012831i,0.00038692-0.0010676i,-0.00017801-0.0020317i,-0.00078758-0.0024135i,-0.0012174-0.00077328i,-0.00059435+0.00034691i,0.00057405-0.00037844i,0.00076984-0.00012079i,-0.0001069+0.00023199i,-0.00049896-0.00066862i,0.00027494-0.0013508i,0.00057811-0.00074199i,0.00015433+2.0937e-05i,-0.00032239+0.00038676i,-9.1798e-05+0.00071498i,0.00021369+0.00046023i,0.00027777+8.7718e-05i,0.00070162+0.00054838i,0.00049542+0.0012716i,7.078e-05+0.0013813i,-0.00044675+0.0012378i,-0.00042128+0.0010491i,0.00060688+0.00039104i
0.0015307+0.0011333i,0.0016479+0.00065755i,0.0010977-0.00050459i,1.2041e-05-0.0011647i,-0.00086384-0.00060666i,-0.00058455-0.00041617i,0.00029424-0.00025094i,0.00061394+3.8248e-05i,0.00061224-0.0012724i,0.00039162-0.0020156i,7.2841e-05-0.0014452i,-0.00015936-0.00096546i,-0.00065042-0.00028504i,-0.00054446-0.00017645i,-0.00024295+0.00023745i,-0.00061352+0.00061498i,-0.00052164-7.6496e-05i,-0.00047459-0.00042652i,-0.00071367+0.00074665i,-0.00077895+0.0012648i,-0.00063963+3.496e-05i,-0.00034857-0.00029903i,0.00063987-4.2466e-06i
-0.0010692+0.00059544i,-0.0018124+0.00028991i,-0.0021823+0.00092442i,-0.0013763+0.0016578i,-0.00066778+0.00077051i,-0.00039629+0.00035134i,-0.00027331+0.00093195i,-0.00024748+0.00067744i,0.00021547-0.00034437i,0.00067025-0.00088979i,0.00068033-0.00042084i,-0.00012938-0.00015106i,-0.00043195-0.00010227i,-9.7406e-05-5.4862e-05i,-0.00032082-0.00021799i,5.025e-05-0.00026191i,0.00053186+0.00030414i,-4.4226e-05+0.00066051i,-0.00022327+0.00093083i,-0.00058799+0.0011455i,0.00025491+0.00067488i,0.00072134+0.00034899i,9.5831e-06+0.00098639i
0.00044519-0.00035192i,-0.0011219-0.00078005i,-0.0014538-0.0019469i,-0.00083279-0.0019401i,-0.001145-0.0001651i,-0.001095+0.00043188i,-1.7974e-05+4.2637e-05i,0.0017569-3.6532e-05i,0.0016005-0.00026213i,-0.00018196-0.0011003i,-0.0012575-0.0015674i,-0.0010822-0.00044403i,-0.00017558+0.00024973i,0.00015475+0.00010875i,-6.2925e-05+0.000291i,0.00012903-0.00029372i,0.0006877-0.0007662i,0.00078476-0.00019889i,0.0003288+0.00036114i,0.00021375+0.00057057i,0.00014903+0.00072831i,-3.7221e-05+0.00077519i,-0.00013851+0.00081135i
