-0.00047945+0.0031787i,-0.00050274+0.0024499i,-0.0012726+0.0025886i,-0.001113+0.0016626i,-0.00065729+0.0013482i,-0.00030205+0.0021398i,-0.00010682+0.0017662i,0.00065989+0.0011667i,0.0011855+0.0012097i,0.0011397+0.0010462i,0.00064312-5.8176e-05i,-0.00052049-0.00096115i,-0.00061553-0.00049474i,-0.00020385-0.00046736i,-0.00018284-0.00066875i,-0.00048832-0.00073786i,-0.00077949-0.00056741i,-0.00082113+0.00028835i,-0.00019627-0.00013589i,0.00053232-0.0007585i,0.00059146-0.00024114i,0.00027109-0.00057651i,0.00052006-0.001196i
0.00081319+0.00050151i,0.00020559+0.0013075i,0.00084949+0.00048152i,0.00082287-0.0002543i,-3.8491e-05-7.9032e-05i,-0.0004079+0.0012174i,-0.00025118+0.0015293i,0.00041457+0.00023128i,0.00038071-0.00077686i,-0.00015266-0.00089682i,-0.00018853-0.00091553i,-0.00037732-0.00095602i,-0.00034101+4.4293e-05i,6.3594e-06-4.2877e-05i,0.00014985-0.0014538i,0.00025229-0.0013113i,0.00047154-0.00079476i,0.001055-0.00078516i,0.0010816-5.5159e-05i,0.00030562-2.9507e-05i,-0.00031173-0.00011359i,-0.00058671+0.00067848i,-0.00045528+0.00063759i
-0.00099528+0.0010379i,-0.00093599+0.001466i,-0.0012816+0.0010772i,-0.00024161-0.0006955i,0.0013046-0.0013044i,0.0015618-0.00055417i,0.0011838-0.00011462i,0.00057169-0.0003709i,8.4935e-06-0.000115i,0.0001711+0.0005249i,0.00033606+0.0011295i,0.00018565+0.0010375i,0.00023223+0.00031572i,0.00037604-0.00030486i,0.00021972-0.00016062i,5.8841e-05-0.00034179i,0.00048944-0.0008946i,0.00062882-0.00072917i,0.00016272-0.00017181i,0.00044395+9.146e-05i,0.00098883-0.00022144i,0.0013034-0.00024314i,0.00072708-0.00015507i
-0.0017758-0.00014196i,-0.0012676+0.00030385i,-0.00067032+0.0014328i,-0.00021548+0.0020006i,0.00035172+0.0014348i,-0.00017725+0.00080413i,-0.00076435+0.00052304i,-0.00044703+0.00038787i,-0.00065618+0.00032847i,-0.00054816+0.00030112i,6.129e-05+0.00021086i,0.00044904-0.00018588i,0.00079762-0.0010417i,0.00070077-0.0016501i,-0.00030573-0.0018111i,0.00013041-0.00073836i,0.00076583+4.4525e-05i,0.00027731-0.00048896i,0.00015341-0.00079754i,0.00029758-2.4844e-06i,0.00047773+0.00098855i,3.5315e-06+0.0011485i,-0.00037581+0.00042195i
-0.0011467-0.00019392i,-0.00080621-0.00038089i,0.00015035+0.00022392i,0.00063797+0.00022085i,0.00080166-3.7552e-06i,0.0012114+0.00010422i,0.0013283-3.238e-05i,0.0012675-0.0006423i,0.00035659-0.00023971i,-0.00035762+0.00013217i,-0.00036156-0.00011983i,0.00011681-0.00076167i,0.00032837-0.00051852i,0.00024029+0.00058374i,-6.817e-05+0.00012751i,0.00031373-0.00067019i,0.00082157-0.00057019i,9.2612e-05-0.00020572i,-0.00071649+1.207e-06i,-0.00029778-0.00028912i,0.00057535-0.00035756i,0.00021424-0.00027592i,-0.00053684-0.00027006i
8.3238e-05+0.00016241i,-0.00023264-0.00031609i,-7.8299e-05-0.0011135i,0.00035485-0.0015815i,0.00018383-0.0013496i,4.6571e-05-0.00074042i,0.00065083-0.00069779i,0.0006947-0.00068864i,0.00033545-0.00076305i,-0.00026823-0.00059474i,-0.00087574-0.000778i,-0.0010045-0.00059095i,-0.00033441-0.00025801i,0.00028382+0.00035729i,0.00019742+0.00098103i,-0.00023624+0.0008933i,-0.00035166+0.00030603i,-0.00022695+7.8485e-05i,0.00011608-9.5809e-05i,0.00052363-0.00035308i,0.00067557-0.0008144i,0.0012263-0.00081382i,0.0012963+2.704e-05i
-0.0015048+0.00067605i,-0.0010975+0.0015391i,4.9946e-05+0.0022064i,-0.00031221+0.0013762i,-0.00076238+0.0010243i,-4.6396e-05+0.0006745i,0.00014009-0.00032441i,-0.00023728-0.0002557i,-0.00053752+0.00034473i,-7.7766e-05+0.00011315i,0.0001632-0.00013165i,-0.00015984-0.00031971i,0.00029362-0.00055837i,0.00055679-0.0011274i,0.00018253-0.00060849i,0.00014291-0.00019837i,0.00032983-0.0001323i,-0.00011305+1.2559e-05i,-0.00036809-0.00021723i,-0.00071021-0.00037227i,-0.00071392-0.0005546i,-0.0005111+0.00011455i,-0.00046478+0.00061939i
0.00023414+0.0014733i,8.7965e-05+0.00015677i,0.0017115+0.00012324i,0.0025823+0.00012688i,0.0020085+0.00015793i,0.00089892+0.00053578i,0.00068867+0.00067591i,0.00035602+0.00050799i,-0.00038056+0.00041752i,-0.00012397+0.00035503i,-0.00031172+5.8629e-05i,-0.00063936+0.00062983i,-0.0003558+0.00065509i,-0.00014724-3.3873e-05i,1.8713e-05+0.00021414i,-6.1364e-05+0.00016082i,-0.00016369-0.00033452i,-0.00012715-0.00023139i,-0.00014544+0.00059285i,0.00031172+0.0010181i,0.00025667+0.00040811i,-9.0031e-05+0.00041335i,-0.00032689+0.00046366i
0.0013908-0.00074402i,0.0019655-0.00068868i,0.00072365-0.00048175i,0.00043284-0.00094481i,0.00019832-0.0009738i,0.0001139+0.00012093i,0.00076523-0.00012954i,0.00046118-0.0011523i,0.00015351-0.00095007i,-0.00015582-0.0001371i,-0.00071192+0.00024536i,-0.00058154+0.0003692i,3.4995e-06-0.00042327i,0.00059276-0.00056016i,0.00038019+0.00036489i,-0.00015541+0.00048587i,-7.9191e-05+7.9269e-05i,0.0004587+4.4607e-05i,0.0010882-0.00043819i,0.00052401-9.3205e-05i,-0.00025399+0.00041638i,9.5941e-06-0.00010383i,-0.00012219-0.0001856i
-0.00036859-0.00055761i,-0.0019492-0.00010862i,-0.0016514+0.00026401i,-0.0011693-0.00056274i,-0.0010092-0.00061107i,-0.00035111+0.00021352i,0.00038212+0.00048323i,0.00050756+0.00041698i,5.0435e-05-0.00020314i,-0.00030168-0.00016028i,-0.00089599+0.00041518i,-0.00077277+0.00032667i,0.00043732+1.3191e-06i,0.0012444-7.208e-05i,0.0009537+0.00036868i,0.00026721+0.00028591i,-0.00033499-0.00063148i,-0.00081552-0.0010946i,-0.00036194-0.00033543i,3.8289e-05+0.00061272i,-0.00014462+0.00042557i,-0.00033012+5.6961e-06i,0.00016399-0.0005131i
0.0011714+0.0025653i,0.0015809+0.0014931i,0.0027559+0.0007277i,0.0029604+0.00031583i,0.0019268-0.00063965i,0.0005675-0.00053602i,-0.00025324+0.00025898i,-0.0001136+0.00065684i,-0.0001057+0.00051814i,0.00028323-0.00077333i,0.00089635-0.001457i,0.00041565-0.00082629i,-0.00012396+0.00022765i,-0.0010699-6.1664e-05i,-0.0014306-0.00098597i,-0.00035247-0.00074825i,0.00061844-0.00033508i,0.00066147-0.00049881i,0.00042857-0.00029321i,-0.00030533+7.9601e-05i,-0.0011536+2.7428e-05i,-0.00084152-4.5107e-05i,-8.3541e-05-0.00041261i
