-0.00018209-0.00084829i,0.00068913-0.0010209i,-0.00010526-0.00081432i,-0.00081672+0.00048194i,-0.00084084+0.0011553i,-0.00069701+0.0014429i,-0.00024882+0.0007073i,0.00078015+0.00017393i,0.0013046+3.6741e-05i,0.00045+0.00022067i,-0.00025336-0.00028129i,0.00037395-0.0008951i,9.4265e-05-0.00054531i,-0.00045276-0.00040722i,-1.7805e-05-7.1525e-05i,0.0002529+0.00033299i,0.00054445+0.00034319i,0.00074352+0.00059373i,0.00010734+0.0002505i,5.9121e-05-0.00014841i,0.00032585+0.00019655i,7.3748e-05+4.4878e-05i,-7.3455e-05+0.00042397i
-0.0010398-0.0012627i,-0.00041322-0.00038856i,-0.00058707+0.00050926i,-0.00025424+0.00064398i,0.00016166+0.00011746i,0.0005663+5.2102e-05i,0.00050966+7.2799e-06i,0.00038262-0.00038925i,0.00016262-0.0010216i,-9.9628e-05-0.00093289i,0.00083384-0.00051511i,0.0011112-0.00012532i,-8.1704e-05+0.00032256i,-0.00082687-0.00013265i,-0.00072572-0.00074303i,-0.0003776-0.00039414i,3.1136e-05-0.0002358i,0.00024136-0.00039433i,0.00011453-0.00063494i,0.00026379-0.00038391i,-0.00040966-0.00012594i,-0.0008589+0.00048945i,-0.00041484+0.0010212i
-0.00089252+0.00062393i,-0.0011826-5.6549e-05i,-0.0015098-0.00075111i,-0.0002088-0.00012011i,5.8643e-05+0.001211i,-0.00037478+0.00093253i,0.00042478+0.00027605i,0.00078023+0.00081488i,0.00067474+0.00042429i,0.00062558-0.00064523i,0.00024017-0.0014813i,-0.00021019-0.0014458i,-0.00040204-0.00010185i,-0.00062903+0.00015937i,-0.00031473+0.00022304i,-0.00016821+0.0006157i,0.00027008+0.00076725i,0.00059035+0.00042367i,-0.00013438-0.00033509i,-0.00038488-0.00059005i,-4.3062e-05-0.00050209i,0.00043058-0.00037479i,0.00026268+0.00012153i
-0.0006193-0.00050282i,-0.00065603-0.00040482i,-0.00033578+5.9302e-06i,0.0004116+0.00043506i,0.0014437+0.00026543i,0.0015402-0.00059064i,0.00074451-0.0010266i,0.00035698-0.00096189i,0.00037468+0.00035724i,0.00027505+0.00070181i,-0.00033153+0.0003713i,-0.00071597+0.00020922i,-0.00064049+6.3321e-05i,-0.00054682-0.00021081i,0.00015657-0.00061953i,0.00043707-0.0006478i,-1.2883e-05+9.5769e-06i,-0.00037936+0.00079024i,0.00031388+0.0009584i,0.00086523+0.00040081i,0.00028911-0.00026202i,-7.8624e-05+0.00024593i,-9.5571e-05+0.00069445i
-4.4057e-06-0.00050482i,0.00045519-0.00011405i,0.00081098-0.00019591i,0.00086954-0.00069137i,0.0011446-0.00041474i,0.0013953+0.00015691i,0.00077369-0.00052501i,-0.00017944-0.00090411i,2.2202e-05-0.00026969i,-2.7977e-05-0.00047401i,-0.00064833-0.00099964i,-0.00033898-0.00033971i,-1.5845e-05-0.00027307i,-8.7569e-05-0.00044198i,-0.00054095+0.00014459i,-0.0004835-0.00022145i,-0.00098574-0.0010854i,-0.0014758-0.0014002i,-0.001082-0.0014769i,-0.0006662-0.0012759i,8.8488e-06-0.0010925i,0.00023278-0.00022224i,0.00030112+0.00065819i
-0.0011735-2.0192e-05i,-0.00058849+8.7018e-05i,9.6866e-05+0.00021672i,0.00025722+0.00048107i,-1.1571e-05+0.00053857i,0.00103+1.5059e-06i,0.0014064+1.9767e-05i,0.00059456-2.6245e-05i,0.00077922+0.00018312i,0.00021582+0.00011637i,-0.00086092-0.00052762i,-0.00075951-0.00032395i,-0.00065838+3.0803e-05i,-0.00037343+0.00015611i,4.2241e-05+8.7497e-05i,0.00039001-0.00025415i,0.00022194-0.00033324i,7.2522e-05-0.00035709i,0.00053441+0.00023778i,0.00072501+0.00060666i,0.00021616+0.00017387i,-2.6406e-05-0.00043294i,0.00058036+0.00028713i
-0.00024387-0.0017747i,-0.0010333-0.0016108i,-0.00094354-0.00079491i,-2.8481e-05+0.00027666i,0.000774+0.00038277i,0.00079201+0.00013728i,0.00058516-0.0005263i,0.00034446-0.00128i,0.0001165-0.0013548i,-9.9953e-05-0.00079172i,-0.00011249-0.00026775i,0.0002708-0.00026064i,-5.7904e-05+0.00026764i,-0.0016165+0.00011921i,-0.00138-0.00067264i,0.00034375-0.00017487i,0.0003141+0.00026523i,-0.00050635+0.00017528i,-0.00066986+0.00054267i,-0.00085962+0.00061748i,-0.00017113+0.00057087i,0.00047909+0.00031563i,-1.6207e-05-7.6295e-05i
-0.0014073-0.0005332i,-0.00048528-0.00044503i,-0.00039877+0.0003518i,-0.00026546+0.00034049i,0.00083933+0.00044996i,0.0018535+0.00023578i,0.0014314-0.00053979i,0.00044309-0.00063089i,0.00044674-7.3285e-05i,0.0001688+0.00023938i,-0.00028564+0.00020464i,-0.00041672-0.00026613i,-0.00025981-0.00089447i,-0.00017693-0.00073257i,-0.0003817-0.00010283i,-0.00020648+0.00021327i,-0.00017468-0.00056669i,-0.00041011-0.0011348i,0.00013356-0.00078241i,0.00058538-0.00066901i,0.00015728-0.00018825i,1.6861e-05-0.00050087i,-0.00048042-0.0010856i
-0.00055829+5.2558e-05i,-0.0012949+0.00026666i,-0.00081325+0.00045681i,-0.00019338+0.00031245i,-0.00021186-0.00019813i,0.00036067-0.00035067i,0.0008195-0.00021093i,0.00042151+6.3486e-05i,0.00033293+0.00030175i,-0.00030642+0.00063165i,-2.9387e-05+3.6361e-05i,0.0010636-0.00050056i,0.00084191+0.00023594i,0.0010434+0.00022713i,0.00094366-0.00040923i,0.00024687-0.0010541i,0.00020237-0.00071672i,0.00050625-0.00015031i,-7.2017e-06-0.00062645i,-0.00052591-0.00048803i,-0.00017266-0.00016762i,-0.00037876-0.00011852i,-3.2049e-05+0.00018665i
-0.00031245-0.00011385i,-0.00055914-0.0013462i,-0.00067597-0.0012754i,0.00013103+0.00026097i,0.00065416+0.00079084i,0.00095523-0.00010555i,0.0012578-0.00070814i,0.002097-0.00058549i,0.0018585-8.4369e-05i,0.00071117+1.3026e-05i,-0.00038753-0.00064016i,-0.00023337-0.00082436i,0.00016094+0.00021998i,-0.00012559+0.00062074i,-0.00010317+0.00068227i,0.00028397+0.00038335i,0.00068451+4.2168e-05i,0.00073058-0.0002533i,0.00047116-0.00063796i,0.00016031-0.00086104i,-0.00069904-0.00057461i,-0.0012896+0.0001582i,-0.00099394+0.00072997i
0.0021092+0.00054151i,0.0027582+0.00184i,0.0018832+0.0015362i,-1.1999e-05-0.00045704i,-0.00064638-0.0010542i,-0.00018685-0.00038887i,0.00047495+0.00013821i,0.0007024-0.00026196i,0.00039044-0.00030867i,0.00045442+0.00031271i,-6.0952e-05+3.9553e-05i,-0.00035586-1.2113e-05i,-0.00035912-0.00037049i,-0.0002614-0.00070359i,-7.8909e-05-0.00025155i,-5.4364e-05-0.00037725i,0.00026731-0.00039155i,0.00086555+1.119e-05i,0.00095346+3.2923e-05i,0.00022025-0.00036756i,0.00035267-8.7153e-05i,0.00036617-4.6296e-06i,1.0682e-05-5.1172e-05i
-0.001017+0.0027915i,-0.0017168+0.0032095i,-0.0012671+0.0025268i,-5.3488e-06+0.0013757i,0.0015891+0.00050762i,0.0017267+0.00017618i,0.0020901-0.00020663i,0.0016551-2.2162e-05i,0.00032356+0.00033255i,0.00041727-0.00031309i,0.0006598-0.00022822i,0.00025604+0.00047531i,-5.6643e-05+0.00048144i,0.00012757+0.00089181i,-0.00021314+0.0011769i,-0.00022989+0.00022712i,0.00033365-0.00041499i,-0.00043949-0.00031109i,-0.00087714-0.00023554i,-0.00071047-0.00082521i,-0.00054341-0.00097818i,9.2667e-05+1.4412e-05i,8.8306e-05+0.0012672i
0.00010121-0.001148i,2.54e-05-0.0014497i,-0.00066928-0.0016402i,-0.00089645-0.00060852i,-0.00045986-0.00010168i,0.00059247+0.00026915i,0.0010693+0.00038995i,0.00085578-0.00045981i,0.00083137-0.00081417i,1.5544e-06-0.00048534i,-0.00094077-0.00055237i,-0.00041467-0.00041205i,0.00056235-0.0001556i,0.00096203-0.00028447i,0.00068251-0.0004669i,-6.3793e-05-0.0011456i,-0.00048475-0.0014985i,-5.0662e-06-0.00062283i,5.5344e-05+8.4377e-06i,-0.00055786+2.0132e-05i,-0.00049561+9.6415e-05i,-0.00082422+0.00034742i,-0.00069401+0.00035623i
0.0029013-0.0015578i,0.0020948-0.0017841i,0.0020561-0.0024681i,0.0010623-0.0020545i,0.00057459-0.0010239i,0.00030183+6.731e-05i,-0.00024211+0.00022776i,-9.7529e-05+0.00011982i,0.00039075-5.6918e-05i,0.00082861-0.00032468i,0.0010827-0.00032949i,0.0010398-0.00053186i,0.00025157-0.00043395i,-0.00047598-0.00019624i,-0.00021382+0.00022191i,0.00050919+0.00028409i,0.00055414+0.00020388i,0.00043208+0.0002123i,-0.00010558+0.0005777i,-0.00026211+0.00050949i,0.00089945-0.00048489i,0.0011744-0.00061962i,6.6338e-05-0.00039678i
0.0021062+1.6109e-05i,0.0032199+0.00036262i,0.0020192-0.00028611i,0.00017365-0.00012911i,-0.0011088-0.0001185i,-5.9793e-05-0.00069074i,0.0013301-0.00091557i,0.0010163-0.0011839i,0.00039729-0.00075535i,-4.2649e-05+0.00010315i,-0.00029957+0.00012473i,0.00013804-0.00051971i,-1.1645e-05-0.00028257i,-0.00081614+0.00018238i,-0.0012691+0.00018478i,-0.0011273+0.00082493i,-0.00058682+0.00087219i,0.00022922+0.00032783i,0.00079282+0.00051254i,0.00017458+0.00058764i,7.6147e-05+0.00024765i,0.00032631+0.00032513i,0.00046129+3.4488e-05i
-0.0021202-0.00023369i,-0.0027368-0.00086996i,-0.0026244-0.00088674i,-0.001373-0.00031417i,-0.00076526+0.0010347i,-1.1987e-05+0.0016748i,0.00096833+0.00085825i,0.0007267+0.00046053i,-0.00024297-0.00053206i,-0.00085198-0.0010361i,-0.00029324-0.0006552i,0.00028066+7.3071e-05i,0.00021206+0.00061592i,-0.00025419+0.00028646i,-0.00027835+0.00074117i,3.5794e-05+0.0010155i,0.00019329-6.2109e-05i,-0.00020452-0.00082197i,-0.00063448-0.0007485i,-0.00065237+0.00035398i,0.00032952+0.00085224i,0.00090489+0.00017034i,-3.8141e-05-7.4903e-05i
0.00063502-0.0036382i,0.0011228-0.0022631i,0.00019937-0.0019427i,-0.000942-0.0018791i,-0.0010479-0.0019043i,0.00013789-0.0014736i,0.001321-0.00074133i,0.0015853-0.00010879i,0.0010288-0.00017656i,3.2442e-05-0.0011329i,-0.00022948-0.001129i,-6.609e-05-0.00033134i,-0.00034911+0.00023273i,-0.00039043+7.7054e-05i,-2.2247e-05-0.00031539i,-3.9552e-05+0.00013926i,-0.00024471+8.6249e-06i,0.00040155+3.8908e-05i,0.00040271+0.00029076i,0.00042878-0.00020551i,0.0010745+0.00012102i,0.00098669+0.00072423i,0.00092109+0.00018714i
-0.00018473-0.00074799i,2.3707e-06-0.00042949i,0.0011058-0.00014113i,0.00048021-0.00022842i,-4.837e-05+0.00015812i,0.00032253-0.00034494i,0.00049787-0.0014336i,0.00074752-0.0016232i,-0.00016165-0.00087533i,-0.00077471+0.00011765i,0.00013363+0.00033861i,0.0002517+6.0016e-05i,-0.00099857-0.00089916i,-0.0011801-0.0011285i,6.4437e-05-0.00030592i,-0.00025579-0.00032943i,-0.00019186-0.00083686i,0.00022045-0.0008549i,0.00072173-0.00018356i,0.0011891-0.00051682i,9.7359e-05-0.00087414i,-0.00088153-7.4604e-05i,-9.5384e-05+0.0010494i
-0.00061104-0.0019795i,-0.00066303-0.0013041i,-0.00027184-9.1379e-05i,-0.00043277+0.00090787i,-0.00070007+0.00075941i,0.00032319+0.00084008i,0.0013954+0.0010664i,0.0012414-4.3645e-05i,0.0001777-0.0016261i,-0.00028651-0.0015244i,-0.00022229-0.00041009i,0.00030691+0.00091913i,0.00064014+0.0013378i,0.00083762+0.00017332i,0.00022242-0.00056448i,-0.00053232-0.00023317i,-0.0003513-0.00022397i,8.4217e-05-0.000597i,0.00018671-0.0005324i,4.4111e-05-0.00037971i,-0.00039858-0.00084038i,-0.00090182-0.0011688i,-0.00067534-0.00071864i
