0.0013237+0.0007614i,0.0015969-0.001543i,0.00038089-0.0019529i,-0.00085584-0.00145i,-0.0015532-0.00084348i,-0.00095539+0.00096182i,0.00018182+0.0025353i,0.00091183+0.0022494i,0.0013113+0.0012984i,0.00066519+0.00049768i,-1.8124e-05-0.00037714i,-8.856e-05-0.0005599i,-0.00067177+0.00077332i,-0.00072987+0.0013237i,0.00015685+0.00036963i,0.00014615-8.9358e-05i,0.00013323+0.00032601i,0.00030222+0.00054114i,0.00042538+0.00069676i,0.00031282+0.00054069i,0.00046835-0.00019354i,0.00065608-0.00043444i,0.00021967-0.00014371i
0.0021021+0.00075162i,0.002467-0.00087125i,0.002268-0.0010366i,0.0017423-0.0017386i,0.00075693-0.0019053i,-0.00087322-0.0004007i,-0.0011544+0.00077965i,-0.00011354+0.00088616i,0.00024496+0.00051815i,-0.00017919-0.00030538i,-0.00024739-0.0010634i,-0.0002729-0.001264i,-0.0007641-0.00040022i,-0.0012079-0.00023683i,-0.0014228-0.0002006i,-0.001327+0.00027274i,-0.00091243+0.0006901i,-0.00058577+0.00079585i,-0.00059972+0.00028408i,-0.00065154+0.00045905i,-0.00058017+0.0002412i,0.00049191-7.0094e-05i,0.0010374+0.00057222i
0.003065+9.9185e-05i,0.0024272-0.0011235i,0.002061-0.0015747i,0.0013335-0.0016136i,0.00044913-0.0014069i,0.00035661-0.00047645i,0.00077483+0.00094851i,0.00057254+0.0011849i,1.6249e-05+0.00033111i,-0.00075353-0.00033267i,-0.0012426+0.00022221i,-0.0013574+0.00045359i,-0.00098968+1.475e-05i,-0.0014092-2.6107e-05i,-0.00077451-5.4918e-05i,0.00017397+0.00031432i,-0.00022399-1.2203e-05i,-0.00077576-0.00053528i,-0.0010853-0.00030763i,-0.00042537-0.00062053i,0.00065288-0.00086168i,0.00023079-0.0003961i,0.00024556+3.1619e-05i
0.0012808-0.00086391i,0.00091696-0.00081804i,0.00075771-0.00061083i,0.00068648-0.00057991i,0.00082216-0.00081143i,0.00090283-0.00017154i,0.0010805+0.0010336i,0.0015843+0.00025245i,0.00095527-0.00046221i,-3.7846e-05-0.00075967i,-0.00069071-0.0013117i,-0.00046021-0.00064013i,0.00015815+0.00028915i,-0.00015857+0.00049194i,-0.00083251+0.00048862i,-0.00089952+0.00059855i,-0.000949-0.00016128i,3.0371e-05-0.00019276i,0.0005828+0.00063308i,0.00085259+1.3705e-05i,0.00099672-0.00084424i,0.00079568-0.00018062i,0.00046144+0.00041084i
0.00054704+3.8861e-05i,0.00095836-0.00040802i,0.0016831-0.00069998i,0.0015333-0.00015112i,0.00061932+0.00058896i,0.00010145+0.0013363i,0.00025636+0.0012856i,0.00099111+0.00086033i,0.00066248+0.00045102i,-0.0003023-0.00019476i,-0.00022178-0.00054341i,0.00065722+5.0145e-05i,0.0009626+0.00028326i,0.00028098+0.00059217i,-0.0011705+0.00076707i,-0.0015469-0.00049501i,-0.00075035-0.0013437i,-0.00053421-0.0002156i,-0.00012977+0.00080855i,0.00031491+0.00049411i,0.0003154+0.000566i,0.00024362+0.00034025i,0.00035494-0.00062355i
9.2558e-05-0.00021214i,0.00010579-0.0010634i,0.00090607-0.00099651i,0.0014477-0.00050998i,0.0013722+0.00015806i,0.00097236+0.00054183i,0.0010441+0.00061713i,0.00037793+0.0010205i,-0.00022091+0.00087281i,1.3776e-05+0.00080631i,-0.00039153-0.00017508i,-0.00026267-0.00091209i,0.00055662-0.0008623i,0.00063914+5.8424e-05i,1.0228e-05+0.00077142i,-0.00012828+0.00014017i,-0.00014884-0.00016527i,0.00013229-0.00033922i,-1.7541e-05-0.00045612i,-2.3973e-05+0.00017443i,-7.8614e-05-6.4748e-05i,-0.000434-0.0003217i,-9.2195e-05-0.00058861i
-0.00057265+0.00049141i,0.00045918-6.6265e-05i,0.0018703+0.00032758i,0.0022675+0.00083964i,0.002093+0.00016534i,0.0010971-0.00035752i,0.00067088-9.4045e-05i,0.0006238+0.00057844i,0.00067452+0.00076283i,0.000227+0.00036633i,8.9145e-05+0.00059093i,-0.00020457+0.00053398i,-0.00058497+0.00017241i,-0.00014859-0.00022733i,-3.918e-05-0.00030507i,-0.00053196+0.00030982i,-0.00083864+0.00054886i,-0.0001147+8.9564e-05i,0.000141+0.00032853i,-0.00066956+0.00043773i,-0.0010329-0.00015947i,-0.00018942-0.000848i,0.00033418-0.00083027i
0.00033305+0.00068967i,0.00074012+0.00047137i,0.0017614-4.3673e-05i,0.0020874-0.00069456i,0.0012603-0.0012373i,-3.597e-05-0.0012686i,0.00021502+0.00018407i,0.0012141+0.00059799i,0.00073872-0.00011257i,-0.00038678+7.1552e-05i,-4.4223e-05-0.00023533i,0.00017961-0.00057664i,-0.00090684-0.00051046i,-0.0014679-0.00039309i,-0.0012965-0.00037433i,-0.00080648-0.00011878i,1.2994e-05-2.6428e-05i,0.00014189-0.00055814i,3.7703e-05-0.00087026i,0.00010561-0.00054552i,0.00010875-9.8026e-05i,0.00018021+0.00045647i,0.00061039+0.00059922i
0.0012797+0.000517i,0.0014444+0.00070694i,0.0019562-0.00023028i,0.0024279-0.0005205i,0.0014008-0.00073452i,0.00069657-0.00029821i,0.00092396+0.0010294i,0.00074412+0.0009149i,0.0008519-4.7144e-05i,0.00067511+0.00020507i,0.00022572+0.00062808i,-0.00034074+0.00036177i,-9.2154e-05-0.00059401i,-9.7499e-05-0.00091817i,-0.001042-0.00016755i,-0.001236+0.00013489i,-0.00053265-0.00040688i,-3.7697e-05-0.00077345i,-4.6501e-05-2.2977e-05i,0.00040668+0.00059643i,0.00053256+0.00014359i,-2.1767e-05-0.00054569i,-0.00022126-0.00060964i
0.00081061-0.00064351i,0.0012028-0.00043091i,0.0015605-0.0002203i,0.0013159-0.00071919i,0.00037239-0.00093821i,-0.00016804-0.00033827i,0.0010057+0.00024501i,0.0018901-0.00016092i,0.00084299-0.00080271i,-0.00042135-0.00072784i,-0.00056499-5.2401e-05i,-0.00017353-0.00024578i,0.000561-0.00064361i,0.00091921-0.00035437i,0.00014697-0.0005166i,-9.7178e-05-0.00046235i,8.6031e-05-9.0166e-05i,-0.00015444+0.0002092i,-9.3516e-05+0.0002765i,-0.00014972+0.00036199i,6.2289e-05-7.2225e-06i,8.7296e-05-0.00032205i,7.7288e-06-0.00018641i
0.00054582+8.9736e-05i,0.00076403-0.00072086i,0.0010148-0.0015527i,0.00088726-0.0015824i,0.0006243-0.00073055i,0.0010514+2.2824e-06i,0.0017365+0.0003073i,0.0013525-8.2033e-06i,0.00051202-0.00034341i,0.00084367-0.00026831i,0.00076561-0.00079595i,1.683e-05-0.0010528i,-0.00026387-0.00069494i,-0.00056146-0.00077872i,-0.00018047-0.00093012i,-8.2058e-05-0.00010628i,4.7843e-05+0.00024878i,0.00015287-0.00059593i,-0.00010904-0.0014895i,-5.1229e-05-0.0010136i,-0.00010415+6.3608e-05i,-0.00011561+0.00037622i,0.00051066+0.00020368i
