0.00078131+0.00046853i,-0.00055878-0.00033211i,-0.0020985-0.00040199i,-0.001578-0.0011559i,-0.0017744-0.00043287i,-0.0025902+0.0007126i,-0.0022094+0.0013657i,-0.0011918+0.0018238i,0.00092126+0.0015714i,0.0025805+0.0010348i,0.0021537-2.0304e-05i,0.00087127-0.00075762i,0.00042548-0.00053957i,0.00083964-0.00016134i,0.00039374-0.0004647i,-0.00075067-0.0010965i,-0.00056581-0.001414i,0.00026479-0.00037726i,0.00087037-0.00014595i,0.00034571-0.00043621i,-7.885e-06+1.6197e-05i,-0.00021312-0.00087929i,-0.00040642-0.0011993i
0.00027195+0.00053737i,0.00047263+3.4514e-06i,0.00042266-0.00049596i,0.00063785+0.00026961i,0.00062706+2.6418e-05i,-7.5208e-05-0.00089352i,-0.00073483-0.00054795i,-0.00038556+0.001293i,0.00012939+0.0023948i,0.00036311+0.0023981i,0.0008882+0.0017644i,0.0015072+0.00046377i,0.00081862-0.00020071i,0.00016691-0.0004808i,9.6186e-06-0.0011152i,-0.00077661-0.0015477i,-0.0013744-0.0011841i,-0.0011719-0.001052i,-0.0006237-0.00065782i,-0.00055592+3.7794e-06i,8.0261e-05+0.00019249i,0.0011438-4.6913e-05i,0.00043845+0.00018953i
0.0011364+0.0024253i,0.001171+0.0027817i,0.001103+0.0025086i,0.00083973+0.0003057i,-5.1189e-05-0.0017419i,-0.00036791-0.0020337i,4.3991e-05-0.00036208i,-0.00030418+0.0014396i,0.00026092+0.0016482i,0.00098755+0.00078441i,0.00079567-0.00045256i,6.7624e-05-0.00083616i,-0.00037411-0.00020199i,0.00039886+0.00045081i,0.000289+0.00016364i,-7.6031e-05-0.00034184i,4.9906e-05-0.00018425i,-4.0531e-05+0.00042141i,-0.00012278+8.6408e-07i,-0.00033635-0.00041326i,0.00014565-0.0004272i,0.00094061-0.00085356i,0.0005801-0.00069022i
0.00084637+0.0013838i,0.0011957+0.0014087i,0.0013935+0.00041826i,0.00024005-0.00063112i,-0.00060024-0.0006679i,-0.001042-0.00037428i,-0.00089283-0.00062912i,0.00029527-9.8593e-05i,0.00067396+0.00047207i,0.00059045+0.00055624i,0.00056158+0.0012819i,0.0002988+0.0013087i,-4.7407e-05+0.00031029i,-0.0001311-7.7079e-05i,0.00044441-0.00013269i,0.00044478+0.00010171i,-0.00013176+6.1773e-05i,-0.00044466-0.00046677i,-0.00040788-0.00069026i,-2.724e-05-0.00051903i,0.00025797-0.00049629i,0.00039414+0.00012748i,-0.00031025+0.00064058i
-0.002115-0.00040996i,-0.0009713-0.00014445i,-0.0016827-0.0010022i,-0.0016887-0.0011503i,-0.0012941-0.00046506i,-0.00080243-0.00025265i,-0.00038072+0.00052569i,-0.00070131+0.00079812i,-4.0576e-05+0.00071809i,0.00092988+0.0010097i,0.00029697+0.0007705i,0.00018328+0.00027541i,0.00035571+0.0003542i,0.00051258+0.00096132i,0.00049085+0.0010114i,-0.00018296+0.00026198i,0.00021417-0.00088507i,0.00080892-0.00039732i,0.00068689-0.00020484i,0.00059857-0.00043733i,0.00078941-0.00027969i,0.00094917-6.1758e-05i,-1.2143e-05+0.0006593i
-0.0011273+3.8689e-05i,-0.00066022+0.0014459i,0.00049735+0.0015084i,0.00056743+0.00055989i,0.00039586-0.00058426i,-5.9207e-05-0.001635i,-0.00050557-0.0011143i,-0.00058416+0.00062418i,0.00041681+0.0011477i,0.00073107+0.00086795i,0.00039304+0.0008154i,0.0004753+0.0010048i,0.00049001+0.00047222i,0.0008997-0.00014474i,0.00063463-0.00010414i,0.00010304-0.00045036i,0.00020321-0.00084391i,0.00035889-0.00035854i,0.00061787+0.00057733i,0.00057879+0.00085734i,-0.00050989+0.0012006i,-0.0012931+0.0010084i,-0.001029+0.00035668i
0.00067297-0.00045589i,-0.00025068-0.00060146i,-0.00024313-0.00099826i,-0.00057271-0.0016985i,-0.0011261-0.0016474i,-0.001089-0.00049373i,-0.0014298-0.00054469i,-0.0013805-0.00054436i,0.00011086+0.00075622i,0.0014871+0.0015292i,0.001625+0.00073319i,0.0010098+0.00022607i,0.00036874+0.00037804i,-5.5506e-05+0.00086494i,9.9304e-05+0.00087394i,-0.00011764+0.00081075i,-0.00010869+0.0009372i,-8.0785e-05+0.00038911i,-0.0007822-5.4919e-05i,-0.00082364-0.00028289i,0.00047221-0.00028681i,0.00014804+0.00034438i,-0.00058482+0.00033169i
0.00048877-0.00094095i,0.00048417-0.0018719i,0.00041366-0.0016759i,0.00016413-0.00088596i,-0.00036388-0.00084046i,-0.0004103-0.00088164i,-0.00015002-0.00093259i,-0.00022745+2.1954e-05i,0.00024869+0.0010058i,0.0012222+0.0012859i,0.00078815+0.0009858i,-0.00027698+0.00041335i,-0.00020076+0.00059358i,0.00077548+0.0002774i,0.001424-0.00055126i,0.0012004-0.00030762i,0.00021847+8.3378e-05i,0.00010637+0.00022857i,-0.00040269+0.00044524i,-0.0007476+0.000418i,-0.00031574+0.00022146i,-0.00026364+0.00027467i,-0.00022355-1.5258e-05i
-0.003004-0.00026698i,-0.0014588-0.00025765i,-0.0018229-0.00026084i,-0.0022732+0.00054358i,-0.0010967+0.0013456i,-2.2855e-05+0.0010922i,-0.00057362+0.00078366i,-0.00071468+0.00046612i,7.4148e-05+0.0012167i,0.00016368+0.0020482i,-0.00031156+0.0011936i,-1.5527e-06-0.00012756i,0.00064822-0.00053425i,0.0010917-0.00051322i,0.00077809-0.00025482i,0.00036828+5.5046e-05i,0.00052305-0.00030269i,0.00066053+0.00030928i,5.8904e-05+0.00047936i,6.8355e-05-0.00017723i,0.00018641-0.00017957i,-0.000714+0.0002172i,-0.00050763+0.00034147i
-0.00012577+0.00058453i,-0.00024003+0.00030125i,0.0006376-0.00094831i,7.8421e-05-0.00087723i,-0.0013945-0.00021942i,-0.0018445-5.1202e-05i,-0.0011627+8.2568e-05i,9.2088e-06+0.00029127i,0.0006171+0.0013857i,0.00064585+0.0018821i,0.00092235+0.00074957i,0.0010684+0.00030558i,0.0013184+0.00050448i,0.0012084+0.00015121i,0.00065267-0.00042571i,0.00071163-0.00058236i,0.00024013-0.00022862i,-0.00052344-0.00056248i,-0.00057055-0.00027663i,-0.0002861+0.00064044i,-0.00012694+0.00056709i,-0.00021237-0.00048417i,-5.0451e-05-0.00086058i
0.0010934-0.00128i,0.0012708-0.0014173i,0.0010305-0.0021599i,-7.4585e-05-0.0023787i,-0.0014578-0.0016974i,-0.0018924-0.00028079i,-0.0017988+0.0010996i,-0.0015551+0.0016027i,-0.00042172+0.00061517i,-0.00013296+0.00049251i,-2.8986e-05+0.0008287i,0.00072864+0.00081673i,0.00054074+0.00035111i,0.00013116+6.6196e-05i,0.00013087+0.00054197i,0.00039926+0.00021144i,0.00092075-3.7334e-05i,0.00070812+0.00061219i,-0.00014946+0.00028747i,-3.4271e-05-0.00013936i,0.00057703-6.9631e-05i,-0.00024972-0.00047739i,-0.00092177-0.0006514i
