0.00073439-5.8267e-05i,0.00093545-0.00087142i,-0.00029303-0.002174i,-0.0010624-0.0026538i,-0.001724-0.0011005i,-0.0021806+0.00037364i,-0.00089395+0.0011208i,0.00083025+0.0013062i,0.0017001+0.00068249i,0.00142-4.8974e-05i,0.00045096-0.00021642i,-0.00047703-0.00045046i,-0.00067109-0.00057191i,-0.0002843-8.4225e-05i,-0.00035615-5.6209e-05i,-0.00034303-0.00043876i,-8.8906e-05+1.9973e-05i,0.00024487+0.00071322i,0.00048022+0.00055914i,0.00068568-6.1035e-05i,0.0011765+7.2284e-05i,0.00059348-0.0003369i,-0.00039251-0.00090396i
0.0011986+0.00021881i,0.00068781+0.0012663i,0.00045743+0.0013073i,8.0687e-05+0.00032499i,-0.0003183+0.00045122i,-0.0001385+0.00059756i,0.00046166+0.00014336i,0.00050358-0.00015512i,0.00059183-0.00079189i,0.00010999-0.0012331i,-0.00092234-0.00064258i,-0.00093525+0.00074096i,-0.00053356+0.0015514i,-0.00079963+0.0016807i,-0.00093337+0.0015242i,-0.00050378+0.00097212i,-0.00070605+0.00099364i,-0.00093198+0.0012858i,-0.00042713+0.00028241i,0.00010488-0.00057668i,-0.00016077-0.00034678i,-7.2483e-05-3.3772e-05i,1.4661e-05+0.00011263i
6.9724e-05+0.00020952i,-0.00029941-1.5348e-06i,-3.1696e-05+0.00021269i,-2.8484e-05-0.00067641i,-0.00024758-0.0013943i,-6.8861e-05-0.0016982i,8.0524e-05-0.0012956i,0.00018854-0.0010119i,-0.00014206-0.0012457i,-0.00062676-0.00099333i,-0.00032537-0.00032122i,-0.00017832+0.00026998i,-0.00066337+0.00063987i,-0.0010441+0.0008551i,-0.0017816+0.0010922i,-0.0011774+0.0011747i,-0.00082844+0.00078128i,-0.00092966+0.00016785i,1.5514e-05+0.00041288i,0.00030506+0.0013966i,-0.00019383+0.0016133i,-0.00018514+0.0011763i,0.00028943+0.00108i
-0.0014389-0.00057944i,-0.0024451+0.00050632i,-0.002043+0.0010753i,-0.0012055+0.0013109i,-0.00026749+0.0017107i,0.00048096+0.00062982i,0.0011195-0.00022824i,0.0012521-0.00083668i,0.000365-0.00088408i,-0.00060072-7.0824e-05i,-0.00087927-0.00010307i,-0.0005627+0.00021363i,-5.2351e-05+0.00067715i,-0.00031233+0.00097082i,-0.00070521+0.00092644i,-0.00021312+0.00085589i,-0.00045682+0.00072474i,-0.00084576+0.00025687i,0.00025793-0.00026238i,0.00052688+0.00039178i,0.00058301+0.00097702i,0.00042267+0.00077112i,-0.00085813+0.00046359i
-0.00076589+0.00088102i,-0.00071678+0.00091608i,-0.00078895+0.00070431i,-0.00062015+0.00024452i,-0.00030026-0.00022907i,-0.00038851-0.0010137i,-0.00033243-0.0007916i,-0.00042673-0.00035606i,-0.00039888-0.0014489i,0.00050669-0.0017232i,0.00036872-0.00076821i,-0.00021704-2.7255e-05i,-7.3144e-05+0.00024029i,-0.00068295+0.00069854i,-0.00073026+0.0010061i,0.00041274+0.001066i,0.00084151+0.00073513i,0.0001195+0.00054075i,-3.4362e-05+0.00083634i,8.2176e-05+0.0003573i,6.0813e-05-0.00025479i,-0.00014452+0.00011285i,-0.00078623+0.00032847i
0.00074086-0.00081897i,-0.00028956-0.0011852i,3.3e-05-0.00094051i,-0.00060986-0.00099161i,-0.0014692-0.00035919i,-0.00083218+0.00093755i,0.00013821+0.0012282i,-0.00010917+0.00048271i,-0.0001933-2.038e-05i,-0.00039943-2.8948e-05i,-0.0010317-8.3166e-05i,-0.0012596+0.00045041i,-0.0010295+0.0012646i,-0.00063875+0.0013258i,0.00013912+0.00079933i,0.00039026+0.0012244i,-1.9431e-05+0.0012391i,0.00022507+0.00075306i,0.00032593+0.00074471i,-0.00021687-3.6968e-05i,-0.00076172-0.00024213i,-0.00051024+0.00073274i,1.3587e-05+0.00068647i
0.0014683+0.0011393i,0.0014099+0.00087656i,0.001913+0.00049781i,0.0012357-1.5867e-05i,0.00083019-0.0011644i,0.0003766-0.001163i,0.00027178-3.9583e-05i,0.00060394-0.0001597i,0.0004282-0.00065391i,-0.00013541-0.00095845i,-0.00047674-0.00035596i,5.4854e-05+0.0008225i,0.00020825+0.0012991i,-0.00040401+0.0012022i,-0.00044253+0.00081372i,-0.00023524+0.00076789i,-0.00058633+0.00092469i,-0.00049637+0.00069284i,-9.7208e-06+0.00018475i,0.00028571+7.2455e-05i,-9.8239e-05-2.9162e-05i,-3.3019e-05-0.00095688i,0.00065106-0.00085287i
0.00081573-0.00016771i,1.2583e-05+0.00032014i,-0.00021364-0.00039095i,0.00029529-0.00084923i,0.00032783-0.00036022i,-3.2378e-05+8.5624e-05i,0.00093557+0.00029424i,0.0014566+0.00044612i,0.00059807+0.00069968i,-0.00029915-0.00034102i,-0.00092897-0.0009318i,-0.0012543+0.00052057i,-0.00070946+0.0015839i,-0.00090082+0.0011605i,-0.0013785+0.0014872i,-0.00073948+0.002159i,-0.0001061+0.0016654i,0.00043698+0.00098021i,0.00081646+0.00019054i,0.00081763-9.5751e-05i,0.0008581-0.00023328i,0.00074706-0.000396i,0.00013357-6.5903e-05i
0.00063996+0.0010987i,6.8356e-05+0.00069766i,0.00014661+0.00055178i,0.00044326+0.00043788i,0.00033905+5.843e-05i,2.2079e-05-0.00011585i,0.00078521+0.00045119i,0.0014679+0.00046301i,0.0012627-0.00018586i,1.4659e-05+8.0164e-05i,-0.00057808+0.000402i,-0.00062596+0.0011455i,0.00012865+0.0017295i,0.00031782+0.0014111i,-0.00036354+0.0015049i,-0.00057794+0.001095i,-0.0003776+0.00044632i,0.00022311+0.00056354i,0.00070575+0.00040924i,-5.294e-05+0.00017726i,-0.0001745+0.00043914i,0.0004648+0.00048778i,0.00012471-9.7719e-06i
0.0010001-0.0019074i,0.00039687-0.0017694i,-0.00068819-0.0015613i,-0.00041451-0.0014744i,0.00023501-0.0010592i,-8.4485e-06-0.00070351i,-0.00024298-0.00050298i,0.00015097-0.00079052i,0.00028355-0.0011057i,-0.00017451-0.001018i,-0.0010507-0.0012372i,-0.0012361-0.00059598i,-0.00029572+0.00078019i,0.00076659+0.0017092i,0.00065527+0.0017517i,-0.00026841+0.0010731i,-0.00066257+0.00046418i,-4.008e-05+0.00048384i,0.0003131+0.00033345i,0.00014966+5.7586e-05i,-7.6392e-05+0.0002708i,-0.0001259+0.00042239i,-0.00039297+0.00074905i
-0.0012914-0.00055409i,-0.0021446+0.00090087i,-0.0025217+0.0019598i,-0.0016221+0.0015486i,-0.00129+0.00022826i,-0.0010519+8.9065e-06i,0.00016633+0.00040748i,0.0015387-0.00026404i,0.0010815-0.0011947i,-0.00016532-0.0016387i,-0.0011606-0.0012352i,-0.00087291-2.597e-05i,-0.00035442+0.0012667i,-0.00013746+0.0013631i,-0.00017686+0.00095904i,-0.0010554+0.00034599i,-0.0008257-9.1179e-05i,7.925e-05+9.4281e-05i,0.00018742+0.00050854i,-1.7785e-05+0.0005412i,-0.00032855+0.00032813i,8.6339e-05+4.3301e-05i,7.7732e-05-0.00014301i
-0.001633-0.0029889i,-0.0029186-0.0025301i,-0.0035361-0.0023182i,-0.0034956-0.0021694i,-0.003438-0.0010804i,-0.002512+3.5823e-05i,-0.0011686+0.00011994i,6.7141e-05-0.00025722i,0.0010237-0.00045526i,0.00070632-0.00065803i,0.00011116-0.00042861i,4.5005e-05+0.0011142i,-0.00032457+0.0012078i,0.00020877+0.00030769i,0.00071263-0.00011166i,0.00061655+0.00015586i,-0.00033215+0.0010214i,-0.00090218+0.0013134i,-0.0001279-3.5451e-05i,-4.8932e-05-0.001386i,-7.9915e-05-0.001128i,0.00010877-0.0012547i,2.2049e-05-0.0013061i
-0.00042109-0.00092049i,-0.00088947-3.9547e-05i,-0.0017684+0.0007184i,-0.001219+0.00070661i,0.00025+0.00044984i,0.0011114+0.00033559i,0.0015899+0.00012002i,0.00077697-0.00064867i,-0.0002097-0.0010356i,-0.00041518-0.00090558i,-0.00064542-0.00044445i,-0.0011942+0.0005304i,-0.001206+0.0012021i,-0.00089024+0.0017951i,-0.0010868+0.0012427i,-0.00084336+0.00032795i,-0.00028583+0.00093723i,0.00066619+0.0011892i,0.001299+0.00066791i,0.0007589+0.00045025i,0.00069858-0.0005157i,0.00055314-0.001825i,-6.3173e-05-0.0016001i
-0.001903-0.0014816i,-0.0021093-0.0013465i,-0.0025847-0.0013019i,-0.0027798-0.00020848i,-0.0019193+0.00091225i,-0.0002149+0.00088364i,0.0008884-4.1909e-06i,0.00050135-0.00028717i,-0.00037441-7.7453e-05i,-0.0006425+0.00055242i,-0.0003991+0.00086831i,-0.00041464+0.001094i,-0.0003505+0.0015539i,-0.00059257+0.0015913i,-0.00082737+0.0014165i,-0.00017983+0.0017338i,-4.6009e-05+0.0018204i,0.00016542+0.0014379i,7.8681e-05+0.0013126i,-0.00049573+0.00085535i,-0.00060177-0.00018549i,-0.00023716-8.9913e-05i,-0.00024426+0.00048177i
-0.00011694+0.00039605i,0.00040274+0.0003758i,0.00072603+0.00044507i,0.00059596-2.4754e-05i,-0.00026157-0.00031413i,-0.00065217-0.00079951i,0.00060445-0.00086197i,0.0022644-3.2983e-05i,0.0021433+0.00044394i,0.00054797-6.9065e-05i,-0.0007458-0.00017778i,-0.0010865+0.00079015i,-0.0013494+0.0015467i,-0.0015652+0.0015926i,-0.0011868+0.0013062i,-0.000457+0.0014483i,0.0012331+0.0014023i,0.0019656+0.00080723i,0.0011034+0.00047273i,0.0003841-0.00013599i,0.00024558-0.00050502i,0.00020954-0.00022889i,5.8582e-05-0.00017398i
0.0016262-0.00028948i,0.00090985-0.0012694i,0.00068861-0.0019173i,2.837e-05-0.0019851i,-4.83e-05-0.0012079i,0.00010326-6.8636e-05i,0.00019767+0.00040744i,0.0002163-0.00030976i,0.00050195-0.0013017i,-0.00011828-0.00097732i,-0.00092028+0.00013538i,-0.00084024+0.0011701i,-0.00077015+0.0010708i,-0.00072854+0.00058133i,-0.00057576+0.0005329i,-0.00089911+0.0013203i,-0.00099629+0.0015187i,-0.00061308+0.00073451i,-8.087e-05+0.00021693i,0.00030437+0.00075714i,0.00043277+0.001074i,0.00068171+0.00033229i,0.00025385+7.2761e-06i
0.0017719+0.0022234i,0.0015932+0.0021083i,0.0020861+0.0022533i,0.0020921+0.0013103i,0.0022627-0.00048312i,0.0013081-0.00095154i,-0.0002408-0.00076216i,-1.3648e-06-0.00050248i,0.0007356-0.00054869i,0.00020584-0.001346i,-0.00089411-0.001388i,-0.0014402-0.00086847i,-0.001434+0.00025173i,-0.0010192+0.0013788i,-0.00062352+0.0013078i,-0.00035541+0.00045809i,-0.00047766-0.00034914i,-0.00088032-0.00028067i,-0.00082049+0.00024276i,3.9185e-05+0.00028875i,0.00019387+0.00087537i,-0.00034248+0.00087621i,0.00018558+0.00063074i
0.00056222+0.00027339i,0.00062967+0.0011986i,0.00087206+0.00067587i,0.00090481-4.3073e-05i,0.00068405+0.00038149i,0.000439+0.00073584i,0.0007053+6.8968e-05i,0.00088321-0.00049582i,0.0005762-0.00055893i,-0.00058621-0.0003876i,-0.0013373-0.0001896i,-0.0007569+7.703e-05i,-5.8939e-05+9.3759e-05i,0.00068104-8.3006e-05i,0.00061344+0.00050387i,-0.00033765+0.0011498i,-0.00078606+0.0012123i,-0.00041965+0.00075309i,-0.00025459+4.0773e-05i,1.2505e-05-0.00051478i,-0.00032662-0.00060873i,-0.00033711-0.00065478i,-1.5046e-05+0.00014365i
0.00035807+0.0013486i,0.00073802+0.00035896i,0.0011477-0.00027533i,0.0015354-0.00082451i,0.0018776-0.00042944i,0.0014351-0.00088542i,0.00060358-0.00069646i,0.00066898-0.00034875i,8.6304e-05-0.00099175i,-0.00071317-0.0011817i,-0.0011685-0.00013263i,-0.00080866+0.0010038i,0.00043537+0.0012486i,-0.00020057+0.0015359i,-0.00076731+0.0017997i,-0.00040138+0.0012728i,0.00018705+0.0011828i,0.00029511+0.0018675i,0.00035153+0.00108i,-0.00011982+0.00026193i,-0.0001393+0.00067813i,0.00019608+0.00095588i,5.9534e-05+0.00075917i
-0.0014712-0.00070561i,-0.0013843-0.00082692i,-0.0012208+0.0013374i,-8.4e-05+0.002495i,0.001318+0.0023914i,0.0016876+0.0013865i,0.0011139+0.00089734i,0.00039843+5.0222e-05i,1.274e-05-0.0007574i,6.7415e-05-0.00065385i,0.00021211-0.00059933i,1.3576e-05+0.00010077i,-0.00028541+0.00083644i,-3.9277e-05+0.0007765i,-5.1941e-05+0.00054378i,-0.00043764+0.00047813i,-0.00041097+0.0012751i,2.6911e-05+0.0010011i,0.00060259-6.0925e-05i,0.00073314-0.00036409i,0.00048433-1.6115e-05i,0.00014054-2.8021e-05i,0.00019634-0.00019947i
0.0013897+0.001394i,0.0016934+0.00074064i,0.0017659-0.00011707i,0.0010285-0.0011186i,0.00039205-0.0012964i,0.00053996-0.000743i,0.00065998-0.00027669i,0.0011125-0.0008759i,0.001403-0.0010315i,0.0011257-0.00059617i,-0.00052448-0.0003121i,-0.0018284-0.00019221i,-0.001477+8.542e-05i,-0.0014453+0.00084863i,-0.0011501+0.0014989i,-0.00077815+0.0014392i,-0.00045952+0.0015208i,-0.00041282+0.0013549i,-0.0002964+0.0004679i,-0.00015068-0.00057342i,-0.00016262-0.0010769i,-3.9136e-05-0.00094417i,-0.00078215-0.00024343i
0.002612+0.00088365i,0.0030212+0.00093306i,0.0031919-0.00051278i,0.0025113-0.0013112i,0.0015113-0.00084247i,0.00044981-0.00092323i,-7.1168e-05-0.0012798i,0.00058988-0.001013i,0.00027026-0.00091423i,-0.00086467-0.0011191i,-0.001105-0.00033628i,-0.0010961+0.00077221i,-0.0016871+0.0010781i,-0.0015122+0.0013907i,-0.0014085+0.0017837i,-0.0012631+0.0018632i,-0.00073829+0.0013581i,-0.00090372+0.0005454i,-0.0011219-3.2193e-05i,-0.00039147-0.00018061i,-0.00024058-0.0003126i,-0.00019024+0.0002356i,0.00044665+0.0009612i
6.2059e-05+0.0020294i,0.00091813+0.00089699i,0.0017764-0.00020734i,0.0018544-0.00092834i,0.0010221-0.00099943i,0.0003615-0.00080951i,0.00020739-0.00027442i,0.00050372-0.00019987i,0.00054742-0.00094922i,-0.00060548-0.00099157i,-0.0012388-0.00029192i,-0.0010118+0.00041218i,-0.0014097+0.0010569i,-0.00094069+0.00090265i,-3.1382e-05+0.00059604i,-0.0001362+0.00041938i,-0.00055097+0.00019184i,-0.00023374+5.9181e-06i,0.00012372-2.8253e-06i,0.00052668+0.00010014i,0.00097515+0.00026495i,0.00068047+0.00016741i,-4.8543e-05+6.3341e-05i
-0.0015367+0.00061394i,-0.0013088+0.00036347i,-0.0016399+0.00083708i,-0.0014754+0.00039135i,-0.00079813-0.00027236i,-9.6191e-05-0.00066436i,0.00064482-0.00085368i,0.00043695-0.000539i,0.00026511-0.00053584i,0.00075041-0.00069959i,0.0004939-0.00030542i,-0.00015989+0.00012134i,-7.0723e-05+0.00070949i,-8.0321e-05+0.0014419i,-0.00022683+0.0017493i,6.3836e-05+0.001188i,-0.00018595+0.00032595i,-0.00094708+0.00077771i,-0.00027563+0.00047899i,0.00076734-0.00081778i,0.00082787-0.00063243i,0.0006641+0.00030717i,-8.0365e-05+0.00057488i
0.00074489+0.0019182i,0.00048229+0.0013325i,0.0018708+0.00010414i,0.0024799-0.0015447i,0.0015826-0.002805i,0.001515-0.0030818i,0.0013162-0.0022935i,0.00057659-0.0013017i,0.00016433-0.00080705i,0.00012001-0.00084866i,-0.0010587-0.0011359i,-0.0018028-0.00093007i,-0.00096178+0.00029744i,-0.00072334+0.0010034i,-0.00078469+0.00089739i,-0.00070958+0.00098551i,-0.0011955+0.0012703i,-0.001151+0.0011762i,-7.807e-06+0.00011256i,0.00073662+0.00018021i,0.00053708+0.00062561i,0.0004514+0.00022189i,0.00072004-0.00010632i
-0.0015922+0.0015707i,-0.001531+0.0006837i,-0.00064522-0.00018522i,6.8598e-05+0.00038327i,-0.00019909+0.0010548i,0.00010836+0.00037347i,0.00090693-0.00031572i,0.00094433+0.00014451i,0.00021076-0.00029496i,-0.00013927-0.0012821i,-0.000698-0.0011384i,-0.0013794+0.00034636i,-0.0015925+0.0010379i,-0.0016709+0.00072633i,-0.0013505+0.0015208i,-0.00045018+0.0019184i,0.00051368+0.0020145i,0.00038837+0.0014903i,-0.00028317+0.0003788i,-0.0003341-0.0002212i,-0.00055008-0.00034643i,-0.00060108-0.00063255i,4.0501e-05-0.0006488i
-0.0010311-0.00010096i,0.00092291-0.00097401i,0.0011291-0.00046961i,7.6285e-05+1.836e-05i,0.00104-0.0003838i,0.002316-0.0015752i,0.0018595-0.0017928i,0.0010613-0.0012891i,0.00101-0.0012687i,0.00070907-0.0011559i,0.00014248-0.00074548i,3.4632e-06-0.00016212i,-0.00043449+0.00019369i,-0.00076201+0.00021809i,-0.00093915+0.00077521i,-0.00085088+0.0010471i,-0.00025688+0.001155i,-0.0001035+0.0018088i,-0.0001604+0.0015i,0.00020132+0.0010959i,0.00043794+0.00079617i,0.00049092-2.4356e-05i,0.00021643-4.7264e-05i
0.0021588-0.0033126i,0.00082819-0.0029602i,0.00048915-0.0030394i,-0.00066014-0.0023504i,-0.0017358-0.0010336i,-0.0012775-0.00029341i,-0.00033142-0.00045268i,-0.00030238-0.00095141i,-0.00057898-0.0011876i,-0.00077441-0.00073355i,-0.00077134+0.00073637i,-0.00041458+0.0024409i,-0.00014246+0.0022461i,0.00059095+0.0012753i,0.00050756+0.00082477i,-0.00044995+0.00058691i,-0.00043373+0.00068698i,-0.0006313+0.00027881i,-0.0012092-0.00076896i,-0.00085476-0.0012462i,6.536e-05-0.0010345i,9.3897e-05-0.0008323i,-0.00039632-0.00024838i
-2.4873e-05+0.0012482i,0.00040672+0.001406i,0.00023854+0.0010433i,0.00044115+0.00071361i,0.00074532+0.0008465i,0.00034657+2.5788e-05i,0.00055289-0.0009932i,0.0006299-0.0014126i,-0.00034182-0.0007733i,-0.001057-0.0005034i,-0.00088485-0.00069356i,-0.0010867-0.00044704i,-0.001363-0.00041647i,-0.00066508-0.00024914i,-0.00034339+0.00042462i,-0.0014733+0.0010994i,-0.0015044+0.0013514i,-0.00058297+0.0014678i,-0.00020013+0.00049799i,5.8353e-05-0.00056106i,-0.00025967-0.00075112i,-0.00053011-0.00069698i,0.00022675+0.00030785i
0.0017313+0.0023378i,0.0019757+0.0012007i,0.0025129+0.00085771i,0.0013414-0.00070411i,0.00096254-0.0034962i,0.0011912-0.0031599i,0.00078824-0.001199i,0.00029404-0.00073243i,-0.00041495-0.001529i,-0.00068024-0.001443i,-0.00060429-2.3935e-06i,-0.00086555+0.00095728i,-0.00069212+0.00059536i,-0.00040185+0.00061538i,-6.0821e-06+0.0013575i,0.00080789+0.0012721i,0.001285+0.0010769i,0.00065582+0.0018796i,0.00010334+0.0020134i,0.00020622+0.0014899i,0.00047493+0.0011687i,0.00075269+0.00090275i,9.4542e-05-8.778e-05i
-0.00020564+0.0021681i,0.00013744+0.003384i,0.0016072+0.0032873i,0.002374+0.0011012i,0.0024338-5.3314e-05i,0.0020657-0.00063269i,0.0011717-0.00095863i,0.00063209-0.00089345i,0.00078349-0.0011456i,0.00068743-0.0019605i,-0.0003188-0.0019801i,-0.00065421-0.0005233i,-0.0003515+0.00037977i,-0.00059453+0.00077819i,-0.0010216+0.0011733i,-0.001098+0.0011862i,-0.00092734+0.0013966i,-0.00075802+0.00073882i,0.00012106-0.00017658i,0.00084559-0.00053764i,0.0003162-0.00030489i,-0.00055876+0.0004211i,-0.00082565+0.00089311i
-0.00058699-0.00046984i,-0.0014336-0.00077913i,-0.0026611-0.0010116i,-0.0022903+6.0801e-05i,-0.0010096+0.0012469i,0.00016757+0.00046466i,0.00095666-0.00089004i,0.0011777-0.0010631i,0.00011187-0.00094078i,-0.00031018-0.00067856i,9.5884e-05-0.00021086i,0.00014633+0.00027718i,0.00010056+0.00087049i,-0.00054929+0.0013137i,-0.00087553+0.0015169i,-0.00087247+0.0019191i,-0.00078029+0.0011403i,-0.00042515-0.00014045i,0.00044669-0.00034063i,0.00053232+5.3646e-05i,-0.00025627+9.2046e-06i,-0.0002733+0.0004265i,-0.00060129+0.0014377i
0.0017366-0.00030619i,0.0013355-0.00049716i,0.0010384-0.00091581i,0.0007925-0.0010471i,0.00098019-0.0014686i,0.00094472-0.0013282i,0.00047675-0.0012794i,-9.7748e-05-0.0014291i,0.00036326-0.0017021i,0.00067493-0.0015676i,6.1098e-06-0.0007921i,-0.00043832+0.00077043i,-0.00058368+0.0010582i,-0.0004106+0.00057098i,-0.001059+0.00073827i,-0.00095695+0.00021485i,-0.00024182+0.00028443i,-0.00046331+0.00129i,-0.00045044+0.0009932i,6.8712e-05+0.00023268i,0.00066301+0.00056395i,0.0010311+0.00094485i,0.00048941+0.00019903i
-0.001761+3.686e-06i,-0.0012818+5.0548e-05i,-0.0020526+0.00044507i,-0.0023599+0.00086349i,-0.0015947+0.0024145i,-0.000409+0.0026278i,0.0006281+0.00098793i,0.0014396-6.0154e-05i,0.0015723-0.00024967i,0.00041672+0.00038633i,-0.00077138+0.00080741i,-0.00050779+0.0010541i,-0.000258+0.0010839i,-0.00086835+0.00098365i,-0.0013959+0.0011555i,-0.0014388+0.0014219i,-0.00080166+0.0017076i,0.00020543+0.001957i,0.00069595+0.0014335i,0.00018488+0.00071921i,-6.3717e-05+0.00060929i,-3.2676e-05+0.00035377i,-0.00011562-4.4053e-05i
0.00059661-0.0001005i,0.00019839+3.5687e-05i,0.00036935-0.00024494i,0.0010726-0.00011804i,0.00015214-0.00027864i,-0.00057205-0.00066683i,5.6306e-05-0.00071385i,0.0010441-0.00077302i,0.0011175-0.00058628i,-9.5564e-07-0.00064911i,-0.00068245-0.00076551i,-0.0010232-0.00013863i,-0.0015293+0.00045514i,-0.0018426+0.00086157i,-0.0015983+0.0007384i,-0.0012436+0.00028159i,-0.00065915+0.00028242i,0.00041719+0.00021188i,0.00047324-0.0001892i,-0.00032969-0.00043957i,-0.00018249+0.00020331i,0.00025805+0.00031578i,-7.341e-06-0.00034339i
0.001107-0.0013681i,0.00020795+0.00010822i,8.6898e-05-0.00056956i,-0.00055565-0.001681i,-0.00098132-0.0010965i,-2.6611e-05-0.00036167i,0.00077295+8.7991e-05i,0.00027043+0.00071661i,-0.00080251-0.00035202i,-0.0012561-0.0012089i,-0.0013359-0.00040309i,-0.00050551+0.0010472i,-0.00064096+0.0017234i,-0.0011017+0.0013667i,-0.00017083+0.00086544i,0.00010403+0.0011525i,-0.00092171+0.0013346i,-0.00082727+0.00012868i,-3.677e-05-0.00059706i,-1.5721e-05+0.00013939i,-0.00017469+0.00074394i,0.00019582+0.00013918i,0.00072476-0.00019484i
-0.0002458+0.001708i,-0.0012259+0.001397i,-0.00038172+0.00085887i,-8.8955e-05+0.00091171i,-1.245e-05+4.7952e-05i,0.00038931-0.00047169i,0.00078396-0.0001848i,0.00065049-0.00020945i,0.00013863-0.0006183i,-0.00016133-0.001059i,-0.00037991-0.00073089i,-0.00019471+2.0696e-05i,-0.00021911+0.00037201i,-0.00081437+0.00098333i,-0.00099767+0.0018156i,-0.00079432+0.0010851i,-0.0014841+0.00015108i,-0.0014+4.3166e-06i,0.00021312+0.00024149i,0.00096024+0.0003738i,0.00088125+0.00025194i,0.00055468+0.00041498i,-0.00023636+0.00016424i
0.00088203+5.0436e-05i,0.0014757-0.00097576i,0.00093652-0.00059039i,0.00012586-0.00099258i,-0.00077644-0.0013665i,-0.00099828-0.00078797i,9.3394e-05-0.00038752i,0.0011509-0.00019946i,0.0010945-0.00010674i,0.00027984+7.8154e-06i,-0.00092549+0.00010279i,-0.0019115+0.00063416i,-0.001519+0.001646i,-0.00084865+0.0014942i,-0.00010639+0.0013562i,0.00039987+0.0020203i,0.00017723+0.0026312i,-6.4729e-06+0.0018558i,0.00030456+1.5651e-06i,0.00054369-0.00071241i,0.00028415-0.00090952i,0.00036817-0.00088029i,0.00058703+6.7019e-05i
-0.0016955-0.0007975i,-0.0019574-0.00081784i,-0.0016787-0.00095903i,-0.00099713-0.0010348i,-0.00052974-0.00076012i,0.00042853+3.0615e-05i,-0.00024436-0.00069298i,-0.00069991-0.00086558i,-0.00023422-0.00073274i,6.9974e-05-0.00073487i,-0.00049198+0.00053144i,-0.001157+0.0012519i,-0.00090323+0.00064584i,-0.00050286+0.00024755i,-0.00041179+0.00031448i,7.5571e-05+0.0010224i,0.00054117+0.0014844i,0.00027419+0.00043824i,-0.00027049-0.00093066i,0.00045359-0.00088779i,0.00042015+4.83e-05i,-0.00071574+0.00020526i,-0.00095472+0.00026106i
0.00072275-0.00013951i,0.00086108+0.00043484i,0.00081329-0.00089905i,-0.00021403-0.0013654i,-0.00025253-9.2754e-05i,0.00029081+0.00057845i,0.0008689+0.00051137i,0.00064095-7.6454e-05i,0.00023572-0.00088426i,0.00015205-0.0013342i,-0.00022557-0.00047268i,-0.00039748+0.00086792i,-0.00081078+0.0012591i,-0.00079246+0.001567i,-0.00059097+0.0016559i,-0.00057792+0.0011512i,0.00014985+0.00055899i,0.00044748+0.0001073i,0.00034876-0.00040948i,-0.00033537-0.00054042i,-0.00037645-0.000517i,-4.6548e-05-9.2308e-05i,-0.00018094-6.8502e-05i
-0.00080347-6.0155e-05i,-3.4962e-05+0.00012414i,0.00044255-5.5924e-05i,0.00022836+0.00014861i,-0.0001003+0.0005145i,-4.3335e-05+0.00015988i,0.00062365+2.1907e-05i,0.00065602-0.00025118i,-0.00012816-0.0014772i,-0.00031992-0.0015907i,-0.00011198-0.00025254i,0.00017809+0.0013058i,-6.9444e-05+0.0016611i,8.8408e-05+0.0011065i,9.0104e-05+0.0010817i,0.00032612+0.00080049i,0.00051191+0.0010049i,0.0003062+0.0011191i,0.00046457+0.00066351i,-0.00010693-2.5743e-05i,-0.00050977-0.00066078i,-0.00048228+1.5793e-05i,-0.00038735+0.00045792i
0.0012116+0.0012271i,-7.9032e-05+0.001279i,-0.0004251+0.0011504i,0.00029157+0.0020043i,0.00053333+0.002093i,0.00042265+0.0013944i,0.00046449+0.00032961i,-0.00020515-0.00019199i,-0.00061978-0.0003016i,-0.00012165-0.00060315i,0.00053716-0.0002252i,-2.8766e-05+0.00041039i,-0.00077697+0.0011537i,-0.00097243+0.0016246i,-0.00082511+0.0016199i,-0.00060367+0.001267i,-0.00058397+0.0012175i,-0.00052116+0.0015393i,-0.00047589+0.00055612i,0.00019036-0.00068995i,0.00075841-9.3032e-05i,0.00038972+0.0005334i,-0.00028433+6.9911e-05i
-0.0002724+0.0010008i,-8.9992e-05+0.0013816i,-0.00077035+0.0010698i,-0.0012288+0.00028211i,-0.001293+0.00037647i,-0.0012396-9.8277e-05i,-0.0005925-0.00064096i,0.0003447-0.00046039i,0.00059453-0.00072799i,0.00033244-0.00092928i,-0.00059173-0.00063404i,-0.00087748+0.00011958i,-0.00039701+0.00075763i,-0.0013751+0.00083408i,-0.0018432+0.0009894i,-0.0012258+0.0010734i,-0.00066553+0.00084096i,2.7412e-05+0.00028853i,0.00097124-3.2794e-05i,0.0010619-4.8524e-05i,0.00059993-0.00013932i,9.968e-05+0.00018862i,-0.00050125+0.00095634i
