-0.0021318+0.00031859i,-0.0032448+0.0006639i,-0.00294+0.00097697i,-0.0012077+0.00066488i,-0.0013962+0.0008604i,-0.0018557+0.0010071i,-0.0013218+4.9983e-05i,0.00029365-0.00027296i,0.001168-0.00027374i,0.0011325-0.00011396i,0.00083393-2.3671e-06i,0.00042983-7.8309e-05i,0.00081806+0.00016087i,0.00044199+0.00044015i,-0.00031119+0.0003325i,-0.00069588+0.0002849i,-0.00085375+7.9266e-05i,-0.00074209-0.00020188i,-0.00030947+3.577e-06i,0.00010025+0.00053543i,0.00044647+8.759e-05i,9.4984e-05-0.00032761i,-0.00013375-0.00022422i
0.0029562+0.00066953i,0.0018306-1.8604e-05i,0.0011254-0.0011666i,0.00025805-0.0016862i,-0.00059357-0.0011799i,-0.0011755-0.00026743i,-0.0014422-0.0001005i,-0.00095864-0.0011145i,0.00020429-0.0021905i,0.0008178-0.0024104i,0.00066285-0.0017526i,0.00074918-0.00085414i,0.0014878-0.0012145i,0.0010539-0.00086953i,0.00013757-0.00075351i,-1.4974e-06-0.00088456i,-0.00068687-0.0004557i,-0.00096377-0.00053629i,9.6831e-05+3.6952e-05i,0.0006535+0.00032606i,0.00011097-0.0001851i,0.00010902-0.00065527i,0.00068017-0.00016847i
-0.0009724+0.00035695i,-0.00071008+0.0010282i,-0.00067139+0.00094792i,-0.00092236+0.00028375i,-0.0004195+0.00099287i,-7.4462e-06+0.00071395i,4.6501e-05-0.00062428i,0.00074743-0.00066861i,0.00098078-0.00026974i,-0.00010396-0.00062196i,-0.00063371-0.00017245i,-0.00036502+0.0011073i,-0.00015572+0.00042938i,-0.0002556-0.00069836i,-0.00016713-0.00092559i,-0.00091227-0.00072778i,-0.0010297-0.0004457i,-0.00050047-0.00089262i,-0.00050241-0.0009596i,0.0002947-0.0010927i,0.00041994-0.00027209i,-6.1618e-05+0.00035729i,-0.00037315+1.0308e-06i
-0.0010534+0.00071197i,-0.0020264+0.00078005i,-0.0026556+0.00064696i,-0.0021585+0.00082415i,-0.00017897+0.00046957i,0.0010095+0.00013614i,0.00072553-0.00017586i,-2.6171e-05-0.00058811i,0.00023995-0.0015539i,0.00012046-0.0015918i,0.00024774-0.00061396i,0.00073592-0.00044252i,0.0012503-0.00034338i,0.00070938-0.00031057i,-0.00022759-0.00048441i,3.3104e-05-0.00054884i,-0.00014306-0.00050239i,-0.00015194+0.00049756i,8.8176e-06+0.0010629i,0.00034515+0.00060336i,0.00065121+0.00015911i,0.00082108-0.00019663i,0.00060004-0.00067743i
-0.00083525+0.0029072i,-0.00091781+0.0019871i,0.00015551+0.0024508i,0.0011104+0.0016772i,0.0014107+0.0002953i,0.00078341-0.00037774i,-5.9809e-05-0.00046127i,-5.2107e-05-0.0008064i,0.00057195-0.00086499i,0.0014245-0.00050851i,0.0016829-0.00041652i,0.001729-0.00046989i,0.00073654-0.00042845i,-0.00065194-0.00027867i,-0.00090992-0.00039566i,-0.00080448-0.00044455i,-0.0007114-6.5325e-05i,-0.00017596+0.0004181i,5.6612e-05+0.00021874i,4.919e-05-0.00070041i,0.0004864-0.00023178i,0.0004352+2.6253e-05i,0.00025204-0.00024505i
-0.0008243-0.00051097i,-0.001081+0.0010295i,-0.0021988+0.0019847i,-0.0017709+0.0023305i,-0.00018346+0.00146i,1.6417e-05+0.00035441i,-0.0006716-4.6062e-05i,-0.0011159-0.00065229i,-0.00024548-0.0018433i,0.00019433-0.0011568i,0.00016705+0.00059956i,0.00014786+0.00091865i,5.2371e-05+0.00035267i,0.00019136+0.00032689i,-0.00023204+0.00055604i,-0.00072293+0.00093737i,-0.00061098+0.00037909i,-0.00073575-0.00052973i,-0.00079524+0.00017756i,-0.00056127+0.00035234i,-0.00053442-0.00010828i,-0.0010438-4.6358e-05i,-0.00061302-0.00017798i
-0.00045883+0.00086299i,-0.0011002+0.00096407i,-0.00085409+0.0011572i,-0.00065948+0.0011907i,-0.00066047+0.0011869i,-0.00062836+0.00049717i,-0.00069381+9.228e-05i,-0.00025617-0.000311i,-2.0522e-05-0.00036851i,0.000429-0.00039732i,0.00067724-0.00047911i,0.0003453-0.00019935i,-0.00024725-0.00018841i,-0.00032177-7.8722e-05i,6.0054e-05+0.00011237i,0.00056566-0.00029458i,0.00072293-0.00023925i,5.1003e-05+0.00031963i,-0.00020723+0.00037596i,0.00077112+6.3307e-05i,0.0010316+0.00036837i,0.00055867+0.0010314i,0.00010571+0.00080442i
1.2541e-05-0.0014149i,-0.0010691-0.0022035i,-0.0013002-0.0018283i,-0.0015772-0.00045999i,-0.0017712-0.00049055i,-0.0013436-0.00069835i,-0.00040114-0.00038393i,0.00087189-0.0010547i,0.0017264-0.0014494i,0.0010724-0.00099502i,-0.00019958-0.0005931i,-0.00058093-0.00074358i,-0.00035235-0.00061083i,-0.00076164-0.00020575i,-0.00073186-3.9179e-05i,0.00029744-0.00049974i,0.0010616-0.00048772i,0.0008624+0.00060708i,0.00034355+0.00095681i,0.00022629+0.0001195i,0.00016466-0.00083866i,0.00033175-0.00090716i,0.00062772-0.0006986i
0.00068533+0.00096079i,0.00024842+0.0014987i,0.00080162+0.0017266i,0.00059014+0.0012935i,0.0006316-0.00018239i,0.0010362-0.0016744i,0.0013546-0.0019074i,0.001307-0.00088602i,0.0012655-0.0003696i,0.0009968-0.00041542i,0.00022467-0.0003718i,-3.3117e-06-0.00093939i,-7.97e-05-0.001243i,0.00035989-0.0014503i,0.00063855-0.00079948i,-0.00038877-0.00087223i,-0.00046038-0.0014505i,0.00027241-0.00086683i,0.00023628+7.904e-05i,-0.0003469+0.00027683i,-0.00070221-0.00018149i,-0.00039695-0.00012419i,6.3666e-05-5.0674e-05i
-0.00022114+0.0001312i,-0.00012948+0.00063645i,4.67e-05+0.0024646i,-0.00046913+0.0025949i,-0.00059862+0.00070134i,-0.0004635-0.00068746i,-0.0002299-0.00076333i,0.00034566+8.7238e-05i,0.00048577-0.00010846i,0.00031643-0.00059678i,5.1715e-05-0.00062576i,-6.653e-05-0.00087249i,0.00078312-0.00064099i,0.0014021-6.6911e-05i,0.00068552-6.1079e-06i,0.00028651-0.00026005i,-0.00037915-0.00054847i,-0.00081097-0.00078331i,0.00011997-0.00090122i,0.00032692-0.00045483i,-0.00028914-6.544e-05i,-0.00049584+1.6283e-05i,-6.9193e-05+0.00036355i
-0.00060702-0.00069811i,-0.001122+0.00043119i,-0.0016612+0.00089319i,-0.0017727+0.0013685i,-0.00058671+0.00047261i,-0.00023709-0.00083792i,-0.00079756-0.00075097i,3.0474e-05-0.00099773i,0.00027142-0.0019144i,0.00013105-0.0019509i,0.00032826-0.0013472i,0.00036044-0.00054689i,0.00033172-2.4024e-05i,2.3602e-05-0.00047619i,-8.4425e-05-0.0011168i,-6.2919e-05-0.0012018i,-0.00019151-0.0003595i,-0.00018836+0.0002583i,-2.7541e-05+5.8685e-05i,0.00017106-0.00012893i,0.00029095+0.00043728i,-6.6653e-05+0.0006699i,4.5931e-05+0.00087112i
