-0.002455-0.00017916i,-0.002806-0.0005823i,-0.0036357-0.00065688i,-0.0040839+0.00018178i,-0.0043615+0.0010293i,-0.0028252+0.0010332i,-0.0015043+0.0011204i,-0.0011432+0.0016997i,-0.00046408+0.0011829i,-0.00080648+0.0010701i,-0.0013484+0.0011559i,-0.0017242+0.0010303i,-0.0019378+0.00087028i,-0.0011797+6.9173e-05i,-0.00053968-0.00028423i,9.5555e-05-8.4665e-05i,0.00046316+0.00064555i,0.00030411+0.00095207i,-7.138e-05+0.00012558i,-0.00073436-0.00052739i,-0.00023376-0.00071042i,0.00051521-0.00063376i,-9.5901e-05-0.00089614i
0.00046161-2.0916e-05i,0.00073892+0.00039001i,0.001287+0.0010964i,0.0010215+0.00054015i,0.00085079-0.00061573i,-0.00015576-0.0012431i,-0.0011173-0.00039864i,-0.0015934+0.00064033i,-0.0011749+0.00082305i,-0.0002328+0.00074608i,-0.00011091+0.0005934i,0.00010663+0.00064135i,3.885e-06+0.00058242i,-0.00072557+0.00087112i,-0.00037867+0.00035974i,0.00083661-0.00034541i,0.00058673+0.00023959i,-0.00014582+5.4397e-05i,-0.00059377-0.00034861i,-0.00059845-0.00036249i,-0.00026379-0.00041229i,-0.00046197-0.00046153i,-0.0008614-0.00035762i
-0.0013894+0.0014792i,-0.0018091+0.0014832i,-0.0013122+0.0016127i,-0.0013494+0.0018166i,-0.00015062+0.00033604i,0.00099818-0.00090593i,-0.00027208-0.0012535i,-0.00024376-0.0010229i,3.1135e-05-0.0001248i,-0.00025913-9.0464e-05i,0.00022394+0.00028708i,0.00041419+0.00083206i,-0.00012018+0.00047582i,-0.00068412+7.7372e-05i,-0.00084402+0.00040738i,-0.00021011+0.00055654i,0.00074085-5.3089e-05i,0.00096143-0.00022088i,0.00056299+0.00012318i,2.2606e-06+0.00032665i,-0.00053901+0.00040587i,-2.5431e-05+0.00025623i,0.00013598-0.00014087i
0.00067859-0.00052926i,0.00047795-0.00055501i,0.00040996-0.00059378i,0.00081551-0.0018739i,0.0006077-0.0021498i,-0.00076525-0.0011424i,-0.0016527-0.0011343i,-0.0016641-0.0011014i,-0.0013671-0.00037845i,-0.0011198+0.0002828i,-0.00062913-2.6102e-05i,-0.00032711-0.00070947i,-0.00078087-0.00065892i,-0.0010494+0.00059989i,-0.00033123+0.00096106i,0.00047913+0.00017382i,0.00012396+0.00014619i,-0.00051398+0.00052084i,-0.00042175+0.00038008i,-0.00059567-9.243e-05i,-0.0003554-0.0004928i,-0.00054409-0.00075618i,-0.0007867-0.00062087i
0.00013895-0.0011969i,0.0005189-0.00056145i,-0.00070837-2.507e-05i,-0.0013777-7.8263e-05i,-0.000598-0.00056112i,-1.9275e-05-0.0010438i,-0.00074318-0.00054148i,-0.0013511+0.00059857i,-0.00052524+0.00098275i,0.00013001+0.00071875i,-0.00046179+0.00044726i,-0.00059491-0.00026961i,-0.0009718-0.00025572i,-0.00086561+0.00042746i,-0.00023921+0.00045024i,-0.00046432+0.0003387i,-0.00067754+0.0005683i,0.00019315+0.00052374i,0.00069813+0.00020525i,0.00022508-0.00029238i,-0.00031579-1.2322e-05i,-0.00068378+1.5175e-05i,-0.00091539+3.4809e-05i
-0.0014732+0.00072157i,-0.0016156+0.0010706i,-0.0012978+0.001358i,-0.0011147+0.00096657i,-0.0012643+0.00062426i,-0.0011834+0.00067331i,-0.0014744+0.00025503i,-0.0013975+9.8813e-05i,-0.0012118+0.0006972i,-0.00039996+0.00094714i,0.00017446+0.00011813i,-0.00011232-8.7427e-05i,-0.00057185+0.00045219i,-0.00035225+0.00059013i,5.9059e-05+0.00059306i,0.00041508+0.00060634i,0.00032332+0.00028121i,-0.00013611-0.00035798i,9.55e-05-0.00011721i,0.00029531+0.00049527i,0.00015229+0.00046036i,-0.00022388+0.00044171i,-2.6104e-05-0.00044839i
0.0012019-0.00080752i,-0.00017999-0.0010321i,-0.0005719-0.00069957i,-4.6339e-05-0.00017008i,-0.0004472+0.00018821i,-0.00064933-0.00053157i,-0.00064911-0.00044038i,-0.0012083-9.9656e-05i,-0.0011563-0.00056403i,1.5718e-05-0.00028851i,0.0005726+0.00059826i,-1.4283e-05+0.00030582i,-0.00038905-0.00032471i,-0.00097034-0.00045308i,-0.0007746-0.00047925i,0.00025978-0.00031127i,0.00024086-9.4185e-05i,0.00029117-0.0001781i,5.7147e-05-0.00026824i,-0.00034814-0.00019581i,8.8648e-05-0.00026234i,-8.9804e-05-0.00060784i,-0.00097173-0.00060779i
7.0476e-05-0.0014652i,0.00026776-0.002596i,-0.00073996-0.0018039i,-0.0011533-0.00082855i,-0.00048651+0.00042162i,-0.00053361+0.0002983i,-0.0007396-8.6108e-05i,-0.00060433+6.3046e-05i,-0.00014586-0.00017314i,4.3865e-05-0.00032415i,-0.00032948-3.4959e-05i,-0.0008367+0.00031705i,-0.00049931-8.4856e-05i,-2.3062e-05+0.00011183i,-0.00015396+0.00037406i,-0.00037991+0.00073396i,0.0003035+0.00038566i,0.0004774-5.0867e-05i,-0.00050112+0.00078212i,-0.0014058+0.00010748i,-0.0014583-0.00077394i,-0.0003878-0.00057974i,7.8338e-06-0.00032619i
-0.00053476-0.0013849i,-0.0011733-0.0010956i,-0.0015535-0.0013556i,-0.0015183-0.0009132i,-0.0016412+0.00012222i,-0.0012685-0.00013103i,-0.0012691-0.0006632i,-0.00092708-0.00056289i,-0.0010246+0.00017692i,-0.0017254+0.00022127i,-0.00082566-0.00021385i,-1.1588e-05-0.00025739i,0.00023853-0.00041292i,-5.1563e-05+8.8446e-05i,-0.00018926+0.00089625i,6.0008e-05+0.00076793i,0.00028334+0.00081055i,0.00016048+0.00088965i,0.00027611+0.00024226i,3.6043e-06+7.9971e-05i,-0.00072297-0.00037899i,-0.00063733-0.00053799i,-0.00039676-0.0005064i
-0.00097941+0.00011989i,-0.0012042+0.0012925i,-0.001648+0.0011355i,-0.0017393+0.00039237i,-0.0016889+0.00052172i,-0.0015596+0.00021278i,-0.0018772+0.00013254i,-0.0017998+0.0003319i,-0.00139+0.00058422i,-0.00073527+0.00094448i,-2.3762e-05+0.00088093i,-0.00029305-0.00035365i,-0.00055432-0.0013017i,-0.00032801-0.0010095i,0.00010179-0.00064654i,0.00045954-0.00095506i,0.00060184-0.00041266i,0.00073901+0.00080962i,0.00042093+0.00037753i,-4.0857e-06+0.00030775i,-0.00059708+0.00061327i,-0.00045204-0.00031105i,-9.219e-05-0.00038816i
-0.00042013-0.00082617i,-0.0015259-0.0016802i,-0.0010869-0.0021665i,-0.00041398-0.0019141i,-0.00071951-0.0011372i,-0.00077164-0.00092148i,-0.00019762-0.00070598i,-0.00091482+0.00018008i,-0.0013607+0.00070277i,-0.00024902+0.0003048i,0.00075361-0.00017145i,0.00046715-0.00025498i,-0.00025667-2.0326e-06i,-0.00030681+0.00080647i,0.00021552+0.00062256i,0.000824-0.00014367i,0.00078357-0.00016608i,0.00060076-0.00016175i,0.00011443-0.00046282i,-4.0034e-06-0.00033157i,-0.00060971+0.00057532i,-0.001087+0.0006447i,-0.00032588-5.3604e-05i
-0.00046035+0.00026581i,0.00045697+0.00050539i,0.00028821+0.0012521i,-0.00043859+0.0011213i,-0.00055531+0.00018918i,-0.00047185-0.00022562i,-0.0010411-0.00057266i,-0.0015665-0.00019247i,-0.0020301+0.00052048i,-0.0012899+0.00072638i,0.00011039+0.00082918i,0.00042287+0.00076917i,-0.00013529+0.00092155i,0.00052272+0.00024552i,0.00047382-0.0004063i,-0.00058551+0.00017505i,-0.00032989-0.00018318i,0.00050476-0.00058227i,0.0005758+0.0004333i,8.4388e-05+0.0010066i,0.000117+0.00030452i,-0.00044906-0.00030679i,-0.00086251-0.00010192i
-0.00088319-0.00075969i,-0.0015218-0.00031379i,-0.0010483-0.00011933i,-0.0011377-0.00011297i,-0.0020785-0.0004275i,-0.0013217-0.00014067i,-2.906e-05+0.00012934i,0.00033338-0.00046359i,-0.00031362-0.00017542i,-0.00051738+0.00029237i,-0.00045298+0.00029037i,-0.00039305+0.00014804i,-0.00036066-6.8325e-05i,-0.00057481+0.00010874i,-0.000327-0.00013921i,0.00018022+0.00039618i,0.00055851+0.00076555i,0.00036908+0.00063723i,0.00014706+0.0002521i,-0.00056084-0.00026633i,-0.00076005-0.00023151i,-0.00024803+0.00036208i,-0.00021836+0.00060182i
