-0.00071201+0.0010985i,-0.0011341-1.0312e-05i,-0.0017729-0.0013801i,-0.001521-0.0011516i,-0.0012908+4.8574e-05i,-0.0015491+0.0013682i,-0.0010402+0.0018973i,-0.00014022+0.0022662i,0.00099223+0.0012183i,0.00077862+2.1568e-05i,-6.6738e-05-0.00020993i,5.2193e-05-0.0012949i,0.0001378-0.0017405i,-0.00051855-0.0012062i,-0.00044476-0.00042827i,-0.00016843-7.5583e-05i,-0.00069933+0.00018046i,-0.00038807+0.00059131i,-0.00020279+0.00019452i,-0.00010542-0.00036948i,0.00020772-4.6142e-05i,0.00014275-0.00022741i,-0.00033091+0.00029484i
-0.0016424-0.0010734i,-0.0023881-0.0014642i,-0.0033283-0.00097841i,-0.0038502-0.00027689i,-0.0027118+0.00070782i,-0.00075828+0.0012489i,0.00039714+0.0011455i,0.0002317+0.00079935i,-9.4461e-05+0.00065135i,-0.00042867+0.00066973i,-0.00065479+0.00034108i,-0.00021567+2.4713e-05i,1.7096e-05-1.817e-05i,-0.00039412+0.0001558i,-0.00046214-0.00027111i,-5.0256e-05-0.00097872i,-0.00071857-0.00050928i,-0.0011353-0.00016576i,-0.00061823-7.1069e-05i,-0.00060187-3.3966e-05i,-0.00073157-0.00014542i,-0.00046324+0.00020134i,-0.00049027-0.00013777i
0.00078824+0.00088112i,0.0019359+0.0013503i,0.0015282+0.0020188i,0.00083872+0.0011677i,0.0010563+0.0005077i,0.0014065+0.00053145i,0.00051175+0.00033386i,-0.00020483+0.0006898i,-6.5413e-05+0.0010233i,0.00017776+0.00049373i,8.311e-06-1.0786e-05i,-9.9261e-05-0.0002439i,0.00056333-0.00011416i,0.00097225+0.00019308i,0.00044167-0.00013791i,3.136e-05-0.00031647i,0.00024633+0.00050192i,-8.7756e-05+0.00079396i,-0.00050101+0.00098443i,-0.00087313+0.0011536i,-0.00056112+0.0003923i,0.00049249-0.00026887i,0.0007849+0.00017118i
-0.0044467-0.00062536i,-0.0046886-0.00051762i,-0.0056978+0.00040599i,-0.0043751+0.00032661i,-0.0015356+0.00066483i,0.0003421+0.0010508i,-6.0422e-05+0.0010158i,-0.00061667+0.0011294i,-0.00097972+0.0010755i,-0.0012202+0.0011712i,-0.00071253+0.0011314i,0.00027811+0.0010552i,-7.733e-05+0.0014206i,-0.00060482+0.00091613i,-0.00037975+0.00029395i,-0.00036851+0.00090723i,7.5436e-05+0.00073476i,0.00058134+0.0004056i,-1.7863e-05-3.5618e-05i,-0.00082623-0.00080393i,-0.00059609-0.0010364i,0.0007021-0.00068816i,0.0013684+2.4697e-05i
-0.00090425+0.00012493i,-0.0020058-0.00033105i,-0.0020419+4.5127e-05i,-0.0016613+0.0014459i,-0.0017831+0.0012546i,-0.00087885+0.00054749i,-0.00033865+0.00039965i,-0.00072334+0.00060999i,-0.00061883+0.0010372i,0.00013886+0.0010185i,0.00028966+0.00023596i,2.447e-05-0.0005355i,-0.00032679-0.00082744i,-6.5996e-05-0.00055661i,2.4063e-05+1.4986e-05i,-0.00015706+0.00027549i,-3.4931e-05-0.00063892i,-0.00064232-0.0009376i,-0.0005978+6.6155e-05i,-6.6817e-05+0.00080384i,0.0001176+0.00064008i,0.00062665+0.00017776i,0.0006637-0.00035128i
-0.0025407-3.4139e-05i,-0.0019325-0.00039409i,-0.0015972+0.00015453i,-0.0013272+0.0011314i,-0.00093564+0.0013899i,-0.00097989+0.0012408i,-0.00092044+0.00067577i,-0.00075695-0.00030096i,-0.0013557-0.00023707i,-0.0015053+0.00017903i,-0.00067847+0.00025701i,-5.1918e-05+0.00060194i,-0.00064609+0.0010627i,-0.00072687+0.00053822i,0.00013529+1.3961e-05i,0.00022091+0.00070336i,-0.00024795+0.0011088i,-0.0008165+0.00057875i,-0.00038891+0.00012259i,-0.00022799+0.0002652i,-0.00043854-0.00035578i,-0.00034936-0.00030522i,-0.00051854-0.00023025i
0.00057135-0.0025096i,-0.00026547-0.0026484i,-0.00098061-0.0024841i,-0.0011217-0.0011338i,-0.00055178+0.00012862i,-6.7348e-05+0.0011047i,-0.0010677+0.001367i,-0.0015034+0.00080226i,-0.0010309+0.00064581i,-0.0010957+0.00036474i,-0.0008471+0.00015142i,-0.00026876+0.00020275i,-2.7044e-05+4.0083e-05i,-0.00031296-0.00016633i,0.00048324-0.00016438i,0.00084898+1.8022e-05i,0.00035782-0.00014621i,0.00023717+0.000464i,3.3367e-05+0.00093003i,-0.00037985+0.00020029i,-0.00059633-0.00019523i,-0.00066699-8.4086e-05i,-0.00080329-0.00045347i
-0.0014991-0.002082i,-0.0030292-0.0023912i,-0.0034957-0.0020406i,-0.0030298-0.00019953i,-0.0021094+0.0015823i,-0.0013526+0.00088871i,-0.00098411-0.00084661i,-0.00099756-0.00038841i,-0.0010708+0.00038863i,-0.00085062+0.00018148i,-0.00076868+0.00039427i,-0.00037262+0.00030336i,-0.00015116-0.00058856i,-0.00045048-0.00084113i,-0.00016942-0.00020632i,7.838e-05+0.00023925i,-0.000114+0.00051108i,-0.00047777+0.0005096i,-0.00044419-0.00014874i,-0.00048451+2.5367e-07i,-0.0010342+0.00054749i,-0.00066584+3.6108e-05i,-0.00022779+2.4466e-05i
-0.00027176+0.0007353i,0.00024006-0.00092982i,0.00026853-0.0010485i,-0.0001207+0.00052607i,0.00025514+0.00096169i,0.00084759+0.0008828i,0.00042543+0.00069463i,0.00010073+0.00035975i,7.9615e-05+5.9811e-05i,-0.00038615-9.7823e-05i,-0.00054328-5.9468e-05i,-0.00015534-0.00016817i,-6.0469e-05-0.00021395i,3.53e-05+8.766e-05i,0.0001592-0.00041794i,0.00050871-0.0006728i,-3.8809e-05-0.00014153i,-0.00031191-2.3029e-05i,-0.0004033+0.00095361i,-0.00081939+0.0013285i,-0.00046448+0.00028418i,-6.3613e-05+0.00024771i,-0.00020224+0.00019109i
-0.00015533-0.00037354i,-0.00026673-0.000608i,-0.0012475-0.00042582i,-0.0020105+0.0010094i,-0.0013665+0.0018334i,-0.0001565+0.0010848i,-0.0001026+0.00012729i,-0.00052815-0.00037957i,-0.0011653-0.000391i,-0.00063935-0.00015374i,0.00036562+7.3459e-06i,-0.00059561-0.00026721i,-0.00080563-0.00049462i,-5.6304e-05+0.00048425i,0.00014059+0.0011153i,0.00038984+0.0013649i,-0.00037639+0.0011873i,-0.00097648+7.1402e-05i,-0.00024276+9.6557e-05i,0.00051369+0.00066269i,0.00050604+0.0009748i,0.00039779+0.00061292i,0.00024242-1.3262e-05i
0.0013202-0.00017943i,0.0010183-0.00035681i,0.00028709-0.0010682i,-0.00087122-0.0005705i,-0.00044523+0.00023183i,0.00065036-6.7937e-05i,0.00066433+0.0009013i,0.00021866+0.0019994i,0.00025759+0.00026723i,0.00013326-0.0013787i,-0.00032899-0.0011677i,1.5368e-05-0.0007931i,0.00017429-0.00084033i,-0.00025063-0.00079523i,-0.00060614-0.00032533i,-0.00048388+1.3971e-05i,-2.3198e-05-7.7768e-05i,1.5623e-05+0.00034965i,-0.00070048+0.00046307i,-0.0011131+0.00024862i,-0.00035431+0.00014584i,0.00018419-0.00025353i,0.00039246-0.00023291i
