0.001147-0.0017365i,-0.00024627-0.001823i,-0.00099725-0.0010934i,-0.00098479-0.00034534i,-0.00090845+0.00028496i,-0.0014051+0.0013466i,-0.0012299+0.0017606i,0.00025229+0.00071403i,0.0016332-0.00029785i,0.0012307-0.00036096i,9.1247e-05-0.00024225i,0.00052578+0.00017374i,0.00079021-0.00025826i,0.00038739-0.000933i,8.323e-05-0.00081302i,-0.00019815-6.093e-05i,-0.00029928+0.00016412i,0.00015607+0.00023293i,0.0010503+0.00066959i,0.00088461+0.0006845i,0.0002163-0.00011531i,-2.8669e-05-0.00094692i,-0.00036067-0.0010525i
0.0015638-0.0007245i,0.0022666-0.00028338i,0.0015065+0.00098103i,0.00016315+0.0021829i,-3.6445e-05+0.0017824i,-0.0002743+0.00035421i,0.00044999-0.0005648i,0.001784-0.00023257i,0.0025459-0.00019948i,0.0018761-0.00044916i,0.00073821-0.0005352i,0.00078072-0.00015244i,0.00074897-1.5909e-05i,0.0003969-0.00031086i,-0.00011606-0.00016647i,0.00025959+0.00019477i,0.00056888+0.0006342i,-5.3515e-05-1.1568e-05i,-0.00035264-0.00069049i,-0.00016434-0.00047687i,-5.4273e-05-0.00032013i,0.00053196-0.00059716i,0.00042785-0.0002748i
-0.00050376+0.00032195i,0.00052812+0.00024284i,0.0010829+0.00043729i,0.0010602+0.00014902i,0.0008484-0.0010004i,0.00035867-0.0015763i,5.8151e-05-0.001384i,0.00011954-0.0014778i,0.0007303-0.0016834i,0.0010722-0.00071793i,0.00075677+0.00096132i,0.0012745+0.0011i,0.0014561-7.5576e-06i,0.00035289-2.9354e-05i,-0.00019673+0.00030794i,-0.00010058+0.00040299i,-0.00033679+0.00034937i,1.386e-05+0.00039556i,1.4147e-05+0.00073268i,1.7976e-05+0.0012403i,0.00013944+0.00087701i,-0.0005846-0.00021168i,-0.00097099-2.1604e-05i
-0.00041636+0.0008484i,0.00016857+0.0014324i,0.0004343+0.0022556i,0.00055967+0.0015158i,0.00051715+0.00030923i,0.00029083-0.00048625i,3.2076e-05-0.0012754i,0.00012661-0.0015689i,0.00041845-0.0016083i,0.00047811-0.0015983i,0.0010662-0.00061861i,0.0010247+0.00063875i,-0.00041198+0.0011082i,-0.0012629+0.0010001i,-0.0015618+0.00028601i,-0.00111-4.9806e-05i,-0.00036498+0.00011007i,-9.7659e-05-0.00020732i,-0.00022792-0.00090628i,-0.00021574-0.00048133i,0.00034594-0.00011777i,0.00015523-0.00032256i,-0.00027603-0.00059296i
-0.0013063+0.00083689i,-0.0011479+0.00077015i,-0.00020214+0.00098538i,0.0012846+0.0017144i,0.0017175+0.0021022i,0.0015381+0.0010994i,0.0012967+0.00055676i,0.00086052-1.0231e-05i,0.0010404-0.0011228i,0.0013467-0.00129i,0.00065177-0.00047792i,0.00012074+0.00023357i,0.00028609+0.00082419i,-9.6034e-07+0.00067505i,-4.8563e-05+0.00058214i,0.00022815+0.0006946i,5.9689e-05+0.00065305i,0.00014703+0.0005699i,0.00059074+0.00042397i,0.00068267+0.00020805i,0.00035319+0.00023023i,-3.6787e-05+0.0002559i,-0.00041156+0.00029499i
0.0017645+0.0018356i,0.0018142+0.0012713i,0.00084641+0.00077695i,0.00039898+0.00037271i,0.00088523-0.00043788i,0.00019033-0.0011896i,-0.00030266-0.0016414i,0.00050363-0.0014996i,0.0011333-0.001692i,0.0004229-0.00162i,-4.5183e-07-0.00064286i,0.00046886+0.00079384i,-3.1713e-05+0.0013635i,-0.0010281+0.00090222i,-0.00096564+0.00024215i,-0.00034982-8.3656e-05i,0.00033459+9.0633e-05i,-0.00016375+3.5588e-05i,-0.00011094-0.00052924i,-0.00017536-0.0010758i,-0.0014021-0.001442i,-0.00087967-0.0014395i,8.5745e-05-0.0010496i
-0.00064426+0.00017282i,-0.00060743+0.001298i,-0.00093494+0.0012307i,-0.0015045+0.00093695i,-0.002525+0.00065879i,-0.0020521+0.00069417i,-0.00059206+0.00057318i,0.00030375-0.00084854i,0.00067147-0.0019123i,0.00078119-0.0011604i,0.0011835+0.00066621i,0.00081036+0.00094048i,0.00045539+7.8485e-05i,-8.1382e-05-0.0003497i,-0.00062065-0.00075468i,-0.00029233-0.0010589i,-0.00026382-0.00059167i,-5.5506e-06+0.00051343i,0.00049336+0.00065069i,0.00061303-5.3837e-05i,0.00064594-0.00046315i,-0.00015867-0.00059953i,-0.00050476-0.00079905i
0.00030867+0.00013738i,-0.00056622+0.00038094i,-0.00020559+0.00088139i,4.756e-05+0.0015019i,0.00014857+0.00093562i,0.00042352-0.00012201i,0.00078006+6.1593e-05i,0.0010708-0.00025183i,0.00055297-0.00060434i,0.00062066-0.00032646i,0.00038567+0.00014419i,-9.6906e-05+0.00057123i,0.00014243-0.00015204i,0.0002658-0.00044371i,-0.00018994+0.00038639i,-0.00037894+0.00080854i,0.00028848+0.00040979i,0.00050478-0.00054031i,8.4441e-06-0.00085897i,-0.00060279+9.3375e-05i,-0.00062514+0.00037917i,-0.00060403+9.6427e-05i,-0.0001376+0.00044364i
-0.00080069+0.0019948i,-0.0013069+0.0015094i,-0.00066213+0.0018068i,-6.4155e-05+0.00076162i,0.00093332-0.00058374i,0.00086504-0.0011594i,0.00055588-0.0013202i,0.0011641-0.0013861i,0.0015526-0.0013861i,0.0011481-0.00092195i,0.00062046-0.00034703i,0.00057952+0.00016629i,0.00052046+0.00059806i,0.00026568+0.00048275i,-0.00017214-4.8771e-05i,-0.00035129-0.00017938i,-6.9567e-05-0.00010386i,0.00010623-0.00027726i,0.00037063-0.00041123i,0.00069938-0.00080615i,0.00039584-0.00097514i,9.1996e-05-0.00035115i,0.00011476-0.00024447i
0.0020717-0.0012513i,0.00088421-0.00095737i,-0.0012664-0.00054864i,-0.0020019-0.0007681i,-0.0010703-0.00062046i,-0.00014736+0.0004087i,0.00075184+0.00065586i,0.00070468+0.00028442i,-6.6641e-05+0.00023016i,-0.00035675+4.272e-05i,-0.00023354+0.00013754i,0.00051142+0.0010591i,0.00065577+0.0014849i,0.00050783+0.00093822i,8.617e-05+0.00014176i,-0.00015136-0.00022872i,0.00028001+0.00017349i,0.00078831+9.0858e-05i,-0.00014622+0.00025857i,-0.0015183+0.00031252i,-0.0010833-0.00029944i,5.2644e-06-0.00049136i,0.00040477+0.00012658i
0.00045685+0.00051554i,0.0012593-1.1221e-05i,0.0011545+0.00047393i,0.0005809+0.00052888i,0.00069223-0.00012375i,0.00056368-0.0007371i,-0.00015951-0.00062166i,0.00010629-0.00075715i,0.00056117-0.0005991i,-0.00016987-6.5145e-05i,-0.00020988+7.9601e-05i,0.00051487-0.00023709i,-0.00015966-0.00024388i,-0.00057862+0.00019787i,-0.00037529+0.00026937i,-0.00020748+5.4463e-05i,-0.00042703+0.00020745i,-0.00018942+5.5308e-05i,0.00034489+8.4811e-05i,-0.00012027+0.0013647i,-0.00032349+0.0014338i,-0.00048022+0.00012305i,-0.00012426-0.00033282i
