0.00020699+0.00066612i,0.0002208-0.0007229i,-0.00026516-0.0013978i,-0.0017182-0.0014886i,-0.0026439-0.0010861i,-0.0017845+0.00080568i,0.00014998+0.0019745i,0.0016291+0.0011501i,0.0021783+0.00055627i,0.00089998+0.000105i,0.0002557-0.00088791i,0.00047673-0.00087669i,0.00036666+0.00057006i,-5.1356e-05+0.0013169i,-0.00028797+0.00055018i,-5.1529e-05-0.00016958i,0.00071452-0.0003145i,0.0012084+1.1515e-05i,0.0010961-0.0002848i,0.0015547+4.6794e-05i,0.0013797+0.00030943i,0.00031694+1.7433e-05i,0.00033456+0.00022204i
-0.0009572-0.0010428i,-0.0016473-0.00099395i,-0.002336-0.001216i,-0.0014553-0.00041011i,-0.00074996+0.00065857i,-0.0011595+0.00048328i,-0.0008007-0.00018291i,-0.00032064-0.0003889i,3.6562e-05-0.00015326i,9.6142e-06-0.00024753i,4.8422e-05-2.4738e-05i,-0.00010714+0.00052324i,0.00023664+0.00044157i,0.0010871+7.5372e-05i,0.00090917-0.00050602i,0.00027216-0.00031879i,0.00036803-0.00013477i,0.00045076-0.00017089i,0.00050096+0.0003504i,-5.4222e-05+0.0010631i,-0.00015367+0.00059295i,0.00039888-0.00025726i,0.00099267-4.0013e-05i
0.0019884-0.00041142i,0.0016579-0.00098498i,0.0016311-0.0015416i,0.00082135-0.001704i,-0.00010691-0.00089611i,-0.00091552+0.0011198i,-0.001072+0.0018763i,-0.00046937+0.0016729i,0.00030329+0.0011112i,0.0005806+0.00024269i,0.00054199+1.3514e-05i,-0.0002513-0.00013928i,-0.00029391+0.00030962i,-0.00013338+0.00096086i,-0.00036568+0.0013609i,-0.00044635+0.0013654i,-0.00057182+0.00099288i,0.00031085+0.00096561i,0.00058946+0.00063719i,-6.191e-06+0.00045804i,7.0448e-05+0.00021718i,0.00069486-0.00018983i,0.00079033-0.00010509i
-0.00032733-0.0010823i,0.00045081-0.0016009i,0.00027555-0.0010655i,5.5696e-05-0.00092813i,-0.00028776-0.0013315i,-0.00012904-0.00084929i,-0.00042665-0.00025356i,-0.00049882-4.9855e-05i,0.00021075-7.5289e-05i,0.00053003-9.7339e-06i,0.0007709-5.4249e-05i,0.0010277-0.0005245i,0.0015046+0.00013308i,0.001152+7.7764e-05i,0.00018342-0.0010167i,-0.00027461-0.0015521i,-0.00010448-0.00085049i,-4.3103e-05+1.3108e-05i,-0.00050657+0.00012621i,-0.00035325+0.00037465i,-9.3708e-05+0.00017717i,-4.878e-05-0.00012979i,0.00019162-6.3939e-05i
0.00045101+0.00094492i,-0.00077015+0.00026434i,-0.00039719-0.00031212i,0.00031835-0.00028556i,0.00012565-0.00036577i,3.2854e-05-0.00050205i,0.00010935-0.00040788i,-8.5067e-06-0.00025799i,0.00046988-0.00013881i,0.00038029-0.00042764i,9.3715e-05-0.00040744i,0.00055313-0.0006533i,0.0011479-0.00044719i,0.0010109-5.1013e-05i,0.00096056-0.00041777i,0.00023909+9.9351e-06i,-0.00045241-0.00013096i,-0.00019689-0.00019257i,0.00016509+5.3787e-05i,0.00054618+0.00025111i,0.00051202-0.00016647i,-0.00054107-0.00076649i,-0.00087699-0.00023038i
0.00033244-0.00064498i,-0.00060791-0.0007585i,-0.00051638-0.001662i,-0.00040277-0.0021494i,-0.00060824-0.0013531i,-0.0011052-0.00055467i,-0.00076104+0.00065637i,2.6758e-06+0.0015037i,0.00026716+0.0009909i,0.00016117+0.00032521i,0.00033827-0.00032791i,0.00064843-0.00062026i,0.0004671+0.00017102i,7.2468e-06+0.00096557i,-0.00049133+0.00018369i,-0.00028043-0.00032978i,0.00033556-7.6979e-05i,-6.3423e-05+0.00032588i,-9.8285e-05-0.0001975i,0.00024221-0.00052652i,0.00013728-0.00055958i,-0.00025114-0.00053078i,-0.00061325-0.00072443i
0.00054042-0.00056236i,0.00013512-0.00038569i,-3.809e-05-0.00038989i,-0.00027685-0.00036752i,-0.00074543+9.2419e-06i,-0.00085948+0.00060209i,-0.00062953+0.00074011i,-0.00085765-0.00010897i,-0.00050272-0.00044446i,0.00015152+8.5464e-05i,-0.00016394+0.00047653i,-0.00027393+0.00035076i,-0.00029747+0.00016279i,-0.0005133+9.9172e-05i,-0.00047632-0.00026612i,-0.00045135-0.00060965i,-0.00034225-0.00043758i,-4.5026e-05-0.0001179i,0.00063258+2.1511e-05i,0.00023372+0.00011967i,-0.00036545-0.00077133i,4.5187e-05-0.00096304i,-2.841e-05+0.00013249i
0.00031509-0.00069748i,3.1501e-05-0.0017173i,-0.0004553-0.001891i,-0.00074471-0.0018117i,-0.00018794-0.0015896i,-0.00020802-0.00059937i,-0.00050022+0.00071735i,-0.00014164+0.00065952i,-8.4632e-05+3.1239e-06i,-0.00060165+3.3082e-05i,-0.00046422-2.4213e-06i,-0.00029896-0.0002471i,-1.3378e-05+0.00020035i,-0.00028911+0.0011734i,-0.00096298+0.00098452i,-0.00054864-3.3317e-05i,0.00043727-0.00094532i,0.00013453-0.00099021i,-3.1246e-05-0.00069886i,-1.5662e-05-0.00040703i,0.00024954-3.1714e-05i,0.00028668+0.00035132i,-0.00058378+4.204e-05i
0.0003882-0.00058341i,0.00085384-0.0011166i,0.0015366-0.0014835i,0.00072573-0.0019303i,6.6361e-05-0.0020692i,-8.1042e-05-0.00070376i,-0.00030016+0.0011408i,-8.1712e-05+0.0010582i,3.1595e-05+5.0952e-05i,-0.00043921+0.00021542i,-0.00043761+0.00013937i,-0.0001966-0.00089364i,2.9437e-05-0.00079669i,9.1647e-05+0.00044729i,-0.00025588+0.00025709i,0.00021243-0.00034519i,8.2003e-05-0.00026115i,-5.0058e-05+1.4656e-05i,0.00048471+0.00041516i,0.00062378+0.0010401i,0.00012196+0.001347i,0.00017509+0.00063826i,0.00062258-5.7063e-05i
0.0018571-0.00085233i,-0.00017033+0.000166i,-0.00054319+8.3857e-06i,0.00051162-0.0010406i,0.00062387-0.00067555i,-0.00055906+0.0010883i,-0.0010425+0.0011406i,-0.00062336+0.00043391i,-8.2582e-05-0.00012576i,0.00057514-1.9187e-06i,0.00037465+0.00043556i,9.3363e-05+0.0012232i,0.00023283+0.0012995i,-0.00013083+0.001057i,0.00023139+0.00055604i,0.00080486+0.00011969i,0.00028303+0.00057452i,-0.00072253+0.00045091i,-0.0010803-2.7145e-05i,-0.00024107-0.00047608i,0.0008219-0.00094267i,0.00050856-0.0003305i,0.00014442+4.3919e-06i
-0.00031621-0.0014893i,-0.0011498-0.00072663i,-0.0016352-0.0012589i,-0.0012413-0.0016003i,-0.00022915-0.00093588i,0.00040254+0.00043464i,0.00033283+0.00094581i,-0.00033114+0.0002579i,-0.00065281+0.00015796i,-0.00043192+0.00085744i,-0.00042904+0.0013475i,5.8809e-05+0.0013784i,0.0014949+0.00063843i,0.0018687+0.00018102i,0.00078874+0.000552i,0.0002649+0.00020356i,1.7976e-05+0.00045024i,4.3579e-05+0.00074257i,-0.00017258+0.00030381i,-0.00040809-0.00022628i,-6.1446e-05-0.00093461i,0.00093741-0.00051419i,0.0013496+0.00053381i
