-0.0016355+0.00043933i,-0.0010438+0.00086586i,-0.0033875+0.00073151i,-0.0042973+0.00019772i,-0.0037011+0.00070179i,-0.0028486+0.00083387i,-0.0017877+0.0012118i,-0.00091916+0.0023063i,-0.00037483+0.0016996i,3.0771e-05+0.00057707i,0.00022405-0.0003466i,0.00041662-0.00051019i,-3.6467e-06+4.7778e-05i,-3.759e-05+0.00033672i,0.00015134+3.2379e-05i,-3.3776e-05-0.00047554i,-0.0001632-0.00026552i,-0.00044863-0.00073202i,-0.00034568-0.00047992i,-0.0003525+0.00094969i,-0.00060659+0.0014581i,-0.00019216+0.00083384i,-2.3191e-05+0.00010857i
-0.0024284-0.0012131i,-0.0013729-0.0016586i,-0.003099-0.0013248i,-0.0037199-0.00046827i,-0.0034494+0.00022215i,-0.0025606-4.6674e-05i,-0.0019771-0.00036874i,-0.0014139+0.00027446i,-0.00057641+0.00032808i,-0.00035564+0.00067175i,-0.00025582+0.0011265i,-0.00017609+0.00065723i,-0.00015807+0.00025055i,-0.00045573+0.00027419i,-0.00030914-0.00012381i,-0.00040748-0.00021727i,-0.00039256+0.00011379i,-0.00068939+8.964e-05i,-0.00074734-8.8142e-05i,-0.00069064-0.00048745i,-0.00048162-0.00046845i,-0.00057695+3.1244e-05i,-0.00086737-0.00019676i
0.0017104-0.00035499i,0.0017656-0.00013239i,0.0017033-0.00076292i,2.7752e-05-0.0010539i,-0.00092522-0.00093486i,-0.00078411-0.00086597i,-0.00059445-0.00047115i,-0.00018369+0.00021118i,-0.00050184-6.0077e-05i,-0.0014751-0.00049021i,-0.00051805-0.00020864i,0.00064171+0.00017679i,0.0003792+3.6568e-05i,-0.00018086-0.00074141i,-0.00060208-0.000783i,-0.0014307-0.00028042i,-0.0015484+0.00037544i,-0.00060254+0.00063809i,-0.00013892-5.5981e-06i,-0.00046388-0.0014237i,-0.00082451-0.0016491i,-0.00076655-0.0011157i,6.5524e-05-0.0010599i
-0.00033743-6.0054e-06i,-0.00050362-0.00035614i,-0.00018849-0.00028931i,-0.001145-0.00012734i,-0.0022099+0.00019613i,-0.0018073-0.00020931i,-0.0012131-0.0012302i,-0.00084552-0.00041817i,-0.00087435+0.0012048i,-0.00096122+0.0011271i,-0.0010073+0.00063754i,-0.00066312+0.00028277i,-0.00060141-0.00019622i,-0.001212+5.6164e-05i,-0.0012313+0.00030637i,-0.0012324+0.00073448i,-0.00059158+0.00044784i,2.4134e-05+0.00012359i,3.4841e-05+0.00039991i,0.00020609+0.00039233i,-0.0004423+0.00066298i,-8.6798e-05+0.00013793i,0.00043818-6.2224e-06i
-0.0010179-0.00029029i,-0.00087939-3.4646e-05i,-0.0015496+0.0017321i,-0.0012388+0.002039i,-0.00075373+0.00050204i,-0.00038725-0.00066276i,-0.00077202-0.00056458i,-0.0011476-0.00020999i,-0.00076796+0.00057457i,-0.00053495+0.0012626i,-0.00064359+0.0016493i,-0.00050424+0.0016655i,-0.00044054+0.0010388i,-0.0004992+0.00022132i,-8.2927e-05-0.0001974i,-9.6334e-05+6.694e-05i,-0.00013253+0.00025144i,-0.00060298+0.00026772i,-0.00095402+0.00030553i,6.661e-05+3.9162e-05i,0.00057988+0.00015572i,0.00034578+0.00058323i,0.00021051+0.0010926i
0.00070301-0.00096555i,0.00028526-0.0010921i,-0.0010047-0.00069838i,-0.0013518-0.00032924i,-0.00067628-0.00028546i,-0.00059452-0.00020741i,-0.0014231+0.00012969i,-0.0014951+0.0011145i,-0.0013608+0.0010206i,-0.0015301+0.00024268i,-0.0010505+0.00069672i,-0.00052054+0.00087241i,-0.00057023-0.00010375i,-0.00067354-0.00038977i,-0.00096234-0.00013826i,-0.00037459+3.0267e-05i,-9.7664e-05-0.0003859i,-7.354e-05-0.00051598i,0.0005086+0.00015739i,0.0001397+0.00010368i,-0.00026114-0.00015809i,-0.00062078-0.00061881i,-0.00014461-0.00069507i
-0.0023461+0.00054242i,-0.002273+0.0010437i,-0.0014344+0.00077757i,-0.001663+0.001305i,-0.0017286+0.0016755i,-0.00088981+0.00088054i,-0.0011958-0.00057809i,-0.0015218-0.00058173i,-0.00059101-0.00025423i,0.00010221+0.00057201i,0.0006986+0.0012666i,0.00051349+0.00036078i,-0.00011795-0.00078189i,-0.00027806-0.0011551i,0.00022733-0.00054674i,0.00078249-1.9339e-05i,-9.8299e-05+0.00019816i,-0.00067913+8.307e-05i,-3.8745e-06-0.00040048i,0.00051387-0.00046782i,0.00021506+0.00017292i,0.00022508+0.00041078i,0.00019076-8.764e-05i
7.2825e-05-0.00024159i,-0.00082931+6.5282e-05i,-0.0020691-0.0012529i,-0.00082437-0.0013128i,0.0004226-0.00048676i,0.00025368-0.00068307i,-0.00079448+3.6465e-05i,-0.0014742+0.00052009i,-0.00068412+0.0006029i,-0.00038261+0.00083573i,-0.00023314+0.00090657i,0.00024139+0.00017461i,-5.1844e-05-0.00058548i,0.00048867-0.00026839i,0.00070237-0.00068192i,0.00038264-0.00085145i,0.00049754-0.00077311i,-0.00037722-0.00056984i,-0.0010126+0.0004686i,-0.00075273+0.00040901i,4.9674e-05-0.00026761i,0.00032585-0.00044949i,-0.00034207-0.00044141i
0.00069403-5.23e-05i,0.0011843-3.6273e-05i,0.00041345+0.00046971i,-0.00082773+0.00067491i,-0.0011772+0.00071016i,-0.00084817+0.00036985i,-0.0011758+7.1871e-05i,-0.0019083+0.00057975i,-0.0013257+0.0010041i,-0.00066238+0.0004327i,-0.00039852-0.0004972i,4.6054e-05-0.00027852i,0.00041934+5.2235e-05i,0.00015833+0.00014596i,-0.00051371+0.00022537i,-0.00024713+5.9199e-05i,-3.634e-05+0.00017417i,9.221e-06+0.00047477i,0.00016397+0.00040336i,0.00030119-0.00040531i,0.0002998-0.00054474i,-0.00011875+7.6417e-05i,-0.0014238+1.0309e-05i
0.0014143+0.0004766i,0.00048624+0.0020891i,-0.0013776+0.00052697i,-0.0015473-0.0010107i,7.4506e-05-0.00093175i,0.0005705-0.0013934i,-0.00054699-0.0016217i,-0.0012341-0.00097508i,0.00018954-0.00021945i,3.2416e-05+0.00034961i,-0.00066944+0.00052141i,-0.0002699+0.00023664i,-0.00042374-1.337e-05i,-0.0005822+8.5037e-05i,-0.00021408-0.00011083i,-9.3529e-05+3.1939e-05i,-0.00035189+0.00014781i,0.00021159-8.3171e-05i,0.00026052-0.00010244i,2.205e-05-0.00077018i,0.00041963-0.00049764i,-0.00014111-0.00016468i,-0.00033484-0.00085652i
-0.0026978-0.0017378i,-0.00278-0.0025316i,-0.0037036-0.0028028i,-0.0031907-0.0014892i,-0.0016532+0.00021237i,-0.00065583+0.0001191i,-0.0010482-0.00055359i,-0.00088332-0.00033659i,-0.00013076+0.00047872i,-0.00050835+0.00098752i,-0.0014932+0.00072867i,-0.0015591+2.7542e-05i,-0.0005281-0.00040542i,5.0027e-05-0.00030749i,-0.00024379+0.00023055i,-0.00085492+0.00037717i,-0.00088092+0.00051995i,2.9495e-05+0.0010795i,0.00057975+0.0011784i,0.00011559+0.00070962i,-0.00050783+0.00035081i,-0.0010146+0.00025043i,-0.00022141-0.00011965i
