-0.0022902+0.0015393i,-0.0014388+0.00046248i,-0.0011908-0.0011576i,-0.0012189-0.0014999i,-0.0018087-0.0012302i,-0.0017786-0.00053264i,-0.00047399+0.000732i,0.00042423+0.00042878i,0.00093137-0.00024576i,0.001161-0.0010228i,0.00021095-0.0014484i,-0.00095819-0.0016031i,-0.0010104-0.0016868i,-0.00058384-0.0010795i,-0.00066054+0.00013368i,-0.00024776+0.0010038i,-5.686e-05+0.00071826i,-0.00055614-3.9453e-05i,-0.00014517-0.00055708i,0.00013836-0.00045032i,-6.3787e-05-0.00055503i,-0.00014942-0.00094563i,-0.00010792-0.00076555i
-0.0013138-0.0030374i,-0.001578-0.0032296i,-0.0023732-0.0028157i,-0.0017269-0.0012398i,-0.00072111-9.9322e-05i,0.00055724-0.00060194i,0.001114-0.00095249i,7.1066e-05-0.0011845i,-0.00030547-0.0013486i,-0.00033098-0.001506i,-0.0010969-0.001734i,-0.0010925-0.00065396i,-0.0009253+0.00037635i,-0.0014261-0.00040856i,-0.00068325-0.00077841i,-1.8744e-05-0.00044822i,1.5901e-06+0.00021675i,0.00011741+0.00036122i,-0.00031192+0.00066469i,-0.00065369+0.0011237i,-0.00046149+0.0012962i,3.9857e-05+0.0010684i,-0.00031623+0.00070854i
-0.00061873+0.00034508i,0.00041525+0.00021006i,0.0017408-0.00075958i,0.0027228-0.0015801i,0.0027917-0.0032942i,0.0018137-0.0033442i,0.00092977-0.0023524i,0.00082821-0.002737i,0.0008867-0.0018272i,0.00034249-0.00012023i,0.0003205+0.0002183i,0.00059422+0.00033061i,0.00016257+0.00021553i,-0.00059216+0.00063006i,-0.00030052+0.00088579i,0.00020021-0.0001969i,-0.00017345-3.041e-05i,-0.00038068+0.00046639i,0.00012653+0.00042833i,0.00027723+0.00067182i,0.00062563-0.0002158i,0.0005248-0.00096316i,0.00026193-7.5604e-05i
-7.0635e-05+0.00010696i,-0.00010726+0.00055024i,0.00027038+0.00029799i,-0.00011667-0.00046618i,-0.00075522-0.00015123i,-0.00026745+0.00022779i,0.00010065+0.0001116i,-0.00015297-0.00019886i,0.00021034-0.00023179i,0.0012961-0.00072626i,0.0013912-0.0010875i,0.00038771-0.0011241i,-0.00031116-0.00067562i,0.00018868-0.00020022i,-4.4432e-05-0.00021358i,-0.00075457-0.00066205i,-0.00020122-0.0010712i,0.00035375-0.0012887i,-0.00027144-0.00095555i,-0.00058222-0.0005391i,0.00033245-0.00050715i,0.0012218-8.5663e-05i,0.00082339+0.00029555i
-0.0019771+0.00092164i,-0.0016116+0.0015011i,-0.00026186+0.0034662i,0.0019157+0.0025959i,0.0024114+0.00078648i,0.0013354-0.00025062i,0.00062685-0.00063691i,-0.00016892-0.00047217i,0.00022636-0.00069232i,0.00066691-0.00096838i,-8.7422e-05-0.0010291i,-0.00074563-0.00069629i,-0.0010063+7.9314e-05i,-0.00081213+0.00037803i,-2.6433e-05+0.00064859i,0.0006858+0.00049134i,0.00022898-0.00017475i,-0.00080567-1.5162e-05i,-0.0011633+0.00012596i,-0.0012804-7.5713e-05i,-0.0012668+0.0001458i,-0.00046965+0.00018705i,0.00042745-0.00013056i
-0.00013936-0.0048169i,-0.0010643-0.006288i,-0.0019862-0.0060439i,-0.00034792-0.0046171i,0.00047496-0.003149i,0.00062449-0.001615i,0.0002208-0.0015221i,-0.00073295-0.0016228i,-0.0011408-0.0014325i,-0.00078891-0.0006724i,5.623e-05-0.00028842i,0.00017356-0.00018915i,-0.00020173+0.000349i,-0.00051272-6.5007e-05i,-0.00015818-0.00092132i,0.00041101-0.0011973i,0.00030383-0.00088605i,0.00015421-0.00036389i,-0.00036238+0.00084467i,-0.00024701+0.0013424i,0.00062466+0.00059212i,0.00060095-0.00010347i,-0.00012178-0.00021732i
0.0018711+0.0040073i,0.002527+0.0031281i,0.003023+0.0032486i,0.0028828+0.0021043i,0.0021835-0.00025959i,0.0014343-0.00094524i,0.00055059-0.00034765i,0.00066839-0.00068701i,0.0018351-0.0012652i,0.0024585-0.00105i,0.0015985-0.00088975i,0.0012578-0.00077889i,0.0006698+0.00027768i,-0.00017961+0.00078601i,-3.4579e-05-0.00017141i,0.00040622-0.00036558i,0.00010621+0.00020147i,0.00015039+5.7575e-05i,0.00048776-0.0001666i,0.00068784-0.00013353i,0.00067963+0.0010444i,0.00056417+0.00094503i,0.00097107-0.001103i
-0.0015449-0.00085301i,-0.00055848-0.0011401i,-8.1402e-05-0.0013186i,-0.0001654-0.0022859i,-0.00048829-0.0023791i,-0.00055534-0.0018086i,0.00027351-0.0018307i,0.00056581-0.0020971i,0.00036613-0.0015245i,0.00053589-0.00051306i,0.00050473-1.4033e-05i,0.0004232+0.00050348i,-0.00015008+0.00054217i,-0.00031368+0.00062817i,-0.00042755+0.0007833i,-0.00014101+0.00057494i,0.00029996+0.00035002i,0.00044931-0.0001461i,-4.6193e-05-0.00031129i,-0.00060451-0.00025017i,-0.00020974+0.00051253i,6.6622e-05+0.00092553i,-0.00070939+0.00086548i
0.0012029-0.00070048i,-0.00033465-0.0001215i,0.00055988+0.0012159i,0.00098953+0.0020832i,0.00017663+0.00097075i,-0.00066603-0.00071544i,-0.00078875-0.00094546i,0.00028039-0.00055807i,0.00085844-0.00069026i,0.00037476-0.00053602i,-0.00054305+6.1781e-05i,-0.00086473+0.00019914i,-0.0010794-1.4391e-05i,-0.0005246+7.7071e-05i,-0.00012071+0.00086332i,-0.00071054+0.00057007i,-0.00088523-0.00019439i,-0.00091795+0.00024117i,-0.000614+0.0011359i,3.4375e-05+0.0013879i,-0.00084718+0.00048227i,-0.0011189+1.911e-05i,-0.000312+0.00027408i
0.0011091-0.00053645i,0.0019429-0.00021214i,0.0021584-0.0012779i,0.0020169-0.0027926i,0.0012894-0.0025997i,0.0010368-0.001087i,0.00088088+9.6299e-06i,0.00068771-0.00026312i,0.001075-7.4671e-05i,0.00080959-0.00045813i,0.00025637-0.0011975i,-0.00036741-0.00098013i,-0.00071005-0.00060623i,-0.00028519-0.00038682i,0.00012983+0.00010719i,-5.8849e-06-0.00055941i,6.332e-05-0.0010637i,8.9252e-06+0.00032588i,-0.00036725+0.001033i,-0.0002204+0.0008736i,0.00031285+0.0004952i,0.00078246+0.00028732i,0.00033522+6.4309e-05i
-0.0010176+0.0020323i,-0.00073447+0.0018148i,2.9126e-05+0.00099462i,0.0012419-9.5519e-05i,0.0021674-0.0010309i,0.0021674-0.0017299i,0.0011229-0.0015581i,0.00094704-0.0011299i,0.0011795-0.0007985i,0.0012957-0.00042188i,0.0010048-0.0006889i,5.0941e-05-0.00088202i,-0.00084044-0.0001925i,-0.00097464+0.00034428i,-0.00052304+0.00040375i,-0.00025822-0.00039199i,0.00027818-0.001223i,0.00013202-0.0010059i,-0.00034496-0.00031208i,0.00031958+0.00036941i,0.00042715+0.00032576i,-0.00029776-0.00036854i,-0.00063945-0.00046776i
0.00095151-0.00081553i,0.0012282-0.0019467i,0.001599-0.0021595i,0.00091092-0.0011198i,-0.00015551-0.00057038i,-0.0007944-0.00015777i,-0.0003447+7.3664e-05i,0.00061992+8.7545e-05i,0.00071187-0.00050738i,0.00041579-0.00073666i,0.00021135-0.00089488i,-0.00022813-0.0011338i,-0.00062371-0.0011869i,-0.00081369-0.001088i,-0.00082723-0.00088912i,-0.00064842-0.00031057i,-0.00018245+0.00027084i,-0.00071839+0.00017412i,-0.0012509+0.00020287i,-0.00056468+0.00096769i,1.6971e-05+0.00079714i,0.0002138-9.2699e-05i,3.7241e-05-0.00078974i
-0.0012464+0.00026037i,-0.0015204+0.00018002i,-0.0010764-0.00019915i,0.00028565-0.001255i,0.00065167-0.0009788i,0.000857-0.00089589i,0.0011454-0.00083219i,0.0013658-0.00040743i,0.0014832-0.00051344i,0.00091194-0.00024217i,0.00064225-0.00035268i,8.3028e-05-0.00035762i,-0.00038963+0.00043393i,-0.00029245+0.00055716i,0.00039419-7.7039e-05i,0.00015412-0.00017974i,-0.00027986-0.00017939i,-0.00053278-0.00012533i,-0.00060451+9.3602e-05i,0.00020946+0.00062927i,-7.5854e-05+0.00071841i,-0.00046789-0.00047717i,0.00028603-0.00038732i
0.0007382-0.00077423i,0.00037026-0.0013645i,-3.6737e-05-7.4906e-05i,0.00069143+0.00033806i,0.00128-0.00048451i,0.00060338-0.00052381i,-7.7873e-05-0.0007964i,-0.00035387-0.001112i,-0.00026701-0.00058977i,-0.0002853+0.00022004i,-0.00043742+0.00038304i,-0.00012519-0.00063665i,-0.00013127-0.00095879i,0.00029+0.00033532i,0.00074438+0.0010891i,0.00077151+0.00084802i,0.0005807-0.00015272i,0.0003956-0.00035053i,0.00019508+4.4793e-05i,0.00016372-0.00024218i,0.00027492-0.00032369i,0.00015612-7.2504e-05i,-0.00010093-0.00041879i
0.0022519-2.5992e-05i,0.0026635-0.00080187i,0.0028512-0.0026052i,0.0029597-0.0029606i,0.0013091-0.0030172i,-0.0002727-0.0020078i,-0.00095291-0.0011995i,-0.00031019-0.0011186i,0.00095619-0.00093729i,0.00097098-0.0016315i,7.7007e-05-0.0018773i,9.1463e-05-0.001535i,4.1734e-05-0.00091766i,-0.00081034-0.00068421i,-0.0010169-0.00055057i,-0.00021842-0.00011433i,0.00025548-1.7601e-05i,0.00081502+0.00048936i,0.0010191+0.0012742i,0.00088345+0.00039571i,0.00043992+3.428e-05i,0.00036604-0.00014i,0.0006758+3.9512e-05i
-0.00054278-0.0019565i,0.00016768-0.0018037i,0.00012221-0.0018078i,0.00065602-0.0016501i,0.0013804-0.0013212i,0.00072496-0.0012116i,0.00070588-0.0014867i,0.00084809-0.0012887i,0.0010256-0.00034039i,0.0015786+0.00030426i,0.0015619+0.00016902i,0.00052362-0.0011595i,-3.2507e-05-0.0016987i,0.00025875-0.00061333i,-9.7285e-05-0.00021781i,0.00033436-0.00043746i,0.00065706-0.00016822i,0.0011468+0.00047539i,0.0014923+0.00020919i,0.00066578-0.00027079i,0.00033213+0.00039667i,0.00072024+0.00060529i,0.00022297-0.0007145i
0.0012195+0.0013735i,0.0024309+0.0019253i,0.00325+0.0012271i,0.0031139+0.0001895i,0.0029619-0.00064045i,0.0019312-0.0018405i,0.0003929-0.0019822i,0.00070871-0.0011376i,0.0016204-0.0012076i,0.0015476-0.001427i,0.00080668-0.001179i,-0.00013864-0.0010568i,-0.00082788-0.0013656i,-0.0013383-0.0011185i,-0.001167+0.00011222i,-0.00028845+0.00035056i,-0.00016657-0.00013048i,-0.00028018-0.00019667i,-0.00016772+0.00016111i,-0.00065837-8.3074e-05i,-0.0011139-0.00048762i,-0.00075604-0.00047155i,0.00046466-0.00013633i
0.0011727-0.0018589i,0.00031519-0.0019202i,0.00055873-0.0027035i,0.0010151-0.0035138i,0.0014494-0.0027817i,0.0012483-0.0012218i,0.0008396-0.00068298i,0.0002682+0.00025177i,-0.0002778+0.00070011i,0.00042669+0.00031657i,0.00055949+0.00055304i,-0.0004794+0.00038317i,-0.00065595+0.00014591i,-0.00068528+0.00018715i,-0.00094971+0.0003306i,-0.00063908-0.0001149i,0.00025451-0.00047131i,0.00068756+0.00015007i,0.00016767+0.00068164i,3.3894e-05+0.00072049i,0.00036283+0.00048866i,0.00065566+0.0001455i,0.0002793-0.00014718i
0.0001052-0.0019547i,1.1938e-05-0.0011045i,0.00042776-0.00021397i,0.00048651+0.00088124i,0.00045558+0.00099116i,0.0014358+0.0012598i,0.0017868+0.0012916i,0.00065404+0.00021275i,0.00015999-0.0006951i,5.0632e-05-0.00069197i,-0.00038972-0.00048489i,-0.00070221+0.0005935i,-0.0005901+0.00080123i,-0.00017364-0.0002356i,-9.1588e-05-5.8609e-05i,-0.00025726+0.00031746i,-0.00040037+2.4624e-05i,0.00030084+0.00085576i,0.00053114+0.0017806i,0.00027302+0.00086518i,-0.00028768-0.0002603i,-0.00045701-0.00050298i,-0.00016503+8.4962e-05i
-0.0041131-0.000698i,-0.0035895-0.0020442i,-0.0025828-0.0027938i,4.031e-05-0.0026109i,0.0012008-0.0022275i,0.0013269-0.0022909i,0.0010517-0.0022947i,0.00081308-0.002357i,0.0011512-0.0017719i,0.0014399-0.00077551i,0.0011337-0.00013658i,5.1979e-05+0.00025668i,-0.00074987+0.00048051i,-0.00044988+3.6315e-05i,0.00043121-0.0003447i,0.00052061-7.9369e-05i,-3.0105e-05-0.00020311i,0.00014319-0.00035671i,0.00073011-0.00020639i,0.00029378+0.00025301i,-0.00065614+0.00031175i,0.00020956+0.00018594i,0.0010862+9.9647e-05i
0.00077451-0.00038492i,0.0019022-0.00040397i,0.0030731-0.00092116i,0.0028352-0.00085473i,0.0022038-0.00041837i,0.0010961-0.00035869i,0.00041462-0.00012808i,0.00045769-0.00030431i,-0.00019559-0.0005551i,-0.00053184-0.00076969i,-6.5348e-05-0.0013028i,7.0001e-05-0.0011645i,4.2113e-05-0.0008023i,0.00090877-0.00079009i,0.00067318-0.00067029i,-0.000207-0.0010446i,0.00028425-0.0013608i,0.00111-0.00021898i,0.0010177+0.00042821i,-0.00013784-2.7459e-05i,-0.0011536+9.3684e-05i,-0.00091254+0.00050453i,-0.00022934+0.00095588i
0.00029986+0.0016965i,0.00011215+0.0017568i,-0.00053112+6.2446e-05i,-0.00017865+3.2758e-05i,0.00012093+0.00046799i,0.00050488-0.0005634i,0.00059372-0.0015588i,0.00037151-0.001418i,-0.00014292-0.0012522i,-0.00062881-0.001259i,-0.00069976-0.0010151i,-0.00062952-0.00070268i,-0.00044592+8.2615e-05i,-0.00036299+0.00063408i,-0.00022059+0.00018041i,0.00045693-0.00024367i,0.00057872-0.00014959i,-0.00025523+0.00027153i,-0.00076053+0.0005002i,-0.00016195-0.00030795i,0.00030649-0.00031099i,-1.7723e-05+0.00054858i,0.00022081-0.00021741i
-6.7943e-05-0.0021419i,-8.7465e-05-0.0024186i,-0.00012785-0.0019815i,0.00064411-0.0022817i,0.00099066-0.0033201i,0.00091844-0.0025718i,6.8474e-05-0.0017481i,-0.0005529-0.0013814i,-0.00011017-0.00037172i,0.00024354+0.00045532i,-0.0004969+0.00044449i,-0.00084465-0.0001954i,-0.00036721-0.00057448i,0.00016376-0.00054632i,-0.00025752-0.00020297i,-0.00078912+0.0002657i,-0.00085179+0.00015131i,-0.00030178-2.7649e-05i,-0.00019993+0.00020308i,6.2932e-05-6.6833e-05i,0.00060291-0.00048707i,0.00085474-0.00052733i,0.00058866-0.00040318i
0.00068998-0.00057708i,0.00042153-0.00076354i,0.0018484-0.0011607i,0.0027819-0.0020765i,0.0025205-0.0023623i,0.0012472-0.0021341i,0.0003566-0.0014978i,0.00043751-0.00056746i,0.00082607-0.00058774i,0.00096996-0.00093503i,0.00065873-0.0012068i,0.00042007-0.0013086i,0.00068439-0.00069722i,0.00073108-0.00028329i,0.00036511-0.00066271i,4.1888e-05-0.00090208i,-0.00039755-0.00079419i,0.00033025-0.00031395i,0.00075017+0.00033801i,0.00073203+0.00026287i,0.00034082+0.0005246i,-0.00055045+3.423e-05i,-0.00066966-0.00027005i
-0.0020259+0.0017228i,-0.0024618+0.0021541i,-0.002541+0.0020078i,-0.001043+0.0015032i,-5.113e-06+0.00069609i,0.00043235-0.00026793i,0.0011286-0.00027683i,0.0019981+0.00082071i,0.0022275+0.0013213i,0.0019209+0.0007914i,0.0012222+0.00019464i,0.00041376-0.000247i,0.00048831-0.00030042i,0.0013173+0.00046202i,0.0010251+0.00090175i,-0.00024136+0.00096066i,-0.00091823+0.00023972i,-0.00047844+0.00027187i,0.00022426+0.00035817i,0.0010922+0.00034521i,0.0011749+0.00066648i,0.00038497+0.00046538i,-0.00067558+0.00047287i
0.0014954-0.0017013i,0.0028537-0.00034986i,0.0035353-0.00013556i,0.0033679-0.0011571i,0.0021319-0.0023768i,0.0016336-0.0027787i,0.0014864-0.0020802i,0.00090985-0.0017268i,-5.5701e-05-0.0015417i,-0.00072944-0.0010657i,-0.00029648-0.00063593i,-0.00017746-0.00023966i,-0.00034045+0.00028469i,-0.00042044+0.00034574i,-0.00070768+0.00025037i,-0.00092724+0.00051101i,-0.00045974+0.00014032i,0.00030915+0.00012516i,0.00014607+0.00021027i,-0.00036537+0.00051222i,-0.00016825+0.00055481i,0.00034786-6.5279e-07i,0.00015178-0.00011907i
-0.001159-0.00049339i,-0.0013063-0.00063504i,-0.00098936-0.0018173i,0.00016204-0.0021807i,0.001525-0.0014443i,0.0016552-0.0018099i,0.00090009-0.0020164i,0.00039625-0.0013515i,0.00057995-0.0010505i,0.00095279-0.0005362i,0.00087758-0.00031712i,0.0006525-0.00043194i,0.00044879-9.8423e-05i,0.00026146+0.00033006i,0.00017259+0.00044157i,0.00025362+0.00040546i,-0.00077092-0.00011231i,-0.0011392-0.00042348i,-2.1169e-05-0.0001419i,0.00036103-5.2202e-05i,0.00049981-0.00015881i,0.00091257+0.00042334i,0.00016229+0.00037324i
0.0014401+0.0022012i,0.0017033+0.0033678i,0.0018126+0.0033853i,0.0024624+0.0016131i,0.0016645-0.00070199i,-0.00020512-0.001445i,-0.00073706-0.0013223i,-0.00040324-0.0019376i,-0.00012701-0.0025614i,0.00042961-0.0017356i,0.00086037-0.00094523i,0.00075251-0.00034033i,0.00018832+9.2252e-05i,-0.00040741-0.00022351i,-0.0010906-0.0012699i,-0.00065655-0.00095601i,-0.00037682-0.00014826i,-0.00051802-0.00011023i,-0.00020039+0.0002623i,0.00030113+0.00082144i,0.00082942+0.00079267i,0.00048193+0.00054245i,-0.00040766+0.00025125i
0.00019242-0.0018561i,0.00031432-0.0015248i,0.0005698-0.0017375i,0.00095718-0.0016725i,0.00074891-0.0011969i,0.0010647-0.0014155i,0.0013389-0.0016573i,0.00057599-0.0015197i,0.00033476-0.00114i,0.00080995-0.00086547i,0.00080425-0.0010123i,0.00017633-0.00096908i,-9.6946e-05-0.00096117i,-5.421e-05-0.00089303i,-8.8238e-05-2.6117e-05i,-0.00019431+0.00092562i,8.6116e-05+0.0010432i,0.00017722+0.00050264i,0.00052242+0.00080949i,0.00062829+0.0011886i,-0.00036173+0.00033294i,-0.0007983-0.00056493i,-0.00020124-0.00036726i
-0.00031295+0.00094125i,-0.00043882+0.0010382i,-0.00040384+0.0020501i,0.00029019+0.0017822i,0.00083941-0.00040521i,0.0010219-0.0015622i,0.00095892-0.00081754i,0.0008246-0.00058211i,0.00098523-0.00045017i,0.0007278-0.00031235i,-0.00037834-0.00078985i,-0.0010458-0.0006887i,-0.00073987+0.00012684i,-0.00048471+0.00030613i,-0.00027953+1.015e-05i,0.00033692-0.00039398i,-0.0001353-0.000445i,-0.0011641-0.00010612i,-0.00077158+0.00015741i,-0.0001559+0.00022759i,-0.00029178+3.9931e-05i,-0.00042708+0.00051302i,0.00017408+0.0012235i
0.0021971-0.0001172i,0.0034112-0.0008706i,0.0029214-0.00082572i,0.0026777-0.00087116i,0.0020451-0.0020938i,0.0005108-0.0023535i,0.00017895-0.0011571i,0.00044413-0.0001692i,0.00064272-2.7643e-06i,0.00059533-0.00097777i,0.0007511-0.0015607i,0.00057794-0.001002i,-0.00042296-3.0477e-05i,-0.00075842+0.00095932i,-0.00052989+0.00052447i,-0.00056831-0.00049803i,-0.00054603-0.00023572i,7.1251e-05+0.00036637i,0.00080704+0.00099231i,0.00087777+0.0010485i,0.0006613+0.00037651i,0.00086674-9.9415e-05i,0.0016234+0.00028507i
0.002022-0.0034147i,0.0010963-0.0034627i,0.0007619-0.003552i,-0.00046946-0.0026489i,-0.0006192-0.0010024i,-0.00028385+6.1695e-07i,0.00061623-0.00016972i,0.0014335-0.00096207i,0.0014467-0.0012696i,0.00064503-0.0012405i,0.00041423-0.001082i,0.00033556-0.00058095i,-0.00050077-0.00017603i,-0.00096456-0.00053765i,-0.00016439-0.00042266i,0.00076215-0.00020691i,0.001138-0.00027469i,0.00094454-3.8825e-06i,8.8701e-05+0.00030991i,0.00038095-5.8087e-05i,0.00050721-0.00044932i,0.00021898-0.00010638i,0.00057046-0.00024983i
-0.00095781+0.0011325i,-0.0011607+0.0013371i,0.00053+0.0010253i,0.0021617+0.00013498i,0.0025901-0.00069047i,0.0025224-0.00090859i,0.0015443-0.00092719i,0.00081135-0.00076016i,0.00088599-0.00036287i,0.00084874-0.00027399i,0.0004645-0.00069391i,0.00017075-0.00093477i,1.3112e-06-0.0007291i,-0.00049839-0.00035397i,-0.00029583+9.8888e-05i,-0.00011648+0.00020817i,-0.00037581-0.000204i,-0.00039214-0.00018998i,0.00028246+0.0010099i,0.00038417+0.0016153i,-4.2292e-05+0.00084013i,0.00010865+7.774e-05i,0.00071541-0.00022401i
0.00037443-0.002079i,0.00083968-0.0015471i,0.0013151-0.00037357i,0.0012324-7.8874e-05i,0.0012714-0.00093644i,0.0001598-0.0014276i,-0.0009136-0.00094705i,-0.00027214-0.0010839i,0.00056694-0.0010748i,0.00035708-0.00067029i,-0.0003637-0.00092374i,-4.5247e-05-0.0012174i,0.0001552-0.00059072i,-0.00033711-5.2198e-05i,-0.00044496-1.9732e-05i,-0.00045199+0.00056371i,-0.00048847+0.00083965i,-0.00086043+0.00080965i,-0.00082005+0.0006032i,-0.00043221+0.00010912i,3.0596e-05-0.00036082i,0.00019532-0.00014719i,-0.0002167+0.00098588i
-0.0016738+0.0017598i,-0.0015274+0.0017791i,-5.5919e-05+0.0020918i,0.0017537+0.000838i,0.0023723-0.0006149i,0.0022744-0.0010646i,0.0018289+4.886e-05i,0.0012289+0.00061239i,0.0014101+0.00035597i,0.001332-3.4114e-06i,0.00076781-0.00064171i,0.00011858-0.00050368i,0.00038707-0.00034055i,0.00074798-7.9553e-05i,-2.8337e-05+0.00025026i,-8.1441e-05-0.00047208i,0.00020107-0.00099246i,9.4492e-05-0.00050704i,0.0003511+0.00026812i,0.0004338+0.00088652i,0.00020091+0.00081065i,0.00021931+0.00048585i,0.00070274+0.0004494i
-0.00079531-0.0013766i,-0.00014557-0.00087747i,0.00066889-0.0019006i,0.00078879-0.0018764i,-0.00011339-0.0012406i,-0.00057437-0.001068i,-0.00011441-0.00086742i,2.6771e-05-5.6468e-05i,-3.5535e-05+0.00021799i,0.00042896+0.00031376i,0.00081244+0.00058765i,0.00096392+0.00088234i,0.00037614+0.00076497i,6.5982e-05-0.00032513i,0.0003038-0.0013018i,0.00060459-0.00066214i,0.00068873-0.0002062i,0.00069955-0.00017005i,0.00060343+0.00022858i,0.00018886+0.00063724i,0.00050074+0.00060424i,0.0010177+0.00016419i,0.00080657-0.00015815i
-0.0018334-0.0050147i,-0.0021745-0.0052878i,-0.0019713-0.0051062i,-0.00061956-0.0032157i,0.00080069-0.0012524i,0.00059625-0.00062339i,0.00061893-0.00040358i,0.00083993+0.00015824i,0.0005085-0.00014333i,0.0002996-7.7449e-05i,0.00033039+0.00031309i,-0.00010307+0.0003729i,-0.00086918-0.00014384i,-0.0010683-0.00019402i,-0.0012369+6.239e-05i,-0.001132+0.0001638i,0.0001005+0.0001011i,0.00099191+0.00018392i,0.00058282+0.00059382i,-2.0372e-05+0.00065692i,-0.00025109+0.00017998i,0.00044373-0.00043685i,0.0006947-0.00025694i
-0.00060847+0.0025101i,-0.00019688+0.0020728i,0.0012635+0.0012826i,0.0023256-0.00022161i,0.0020541-0.0010074i,0.0010476-0.00075072i,0.00065481-0.00053921i,0.00049942-0.0004295i,0.00062184-0.00076723i,0.00031552-0.00090914i,-0.00018634-0.00045995i,-0.00014074-0.00081312i,-0.00026385-0.00094095i,0.00023682-0.00049039i,0.0007224-0.00029954i,-1.9415e-05-0.00011179i,-0.00026156-0.00015625i,2.6798e-05+0.00017853i,0.00058756+0.00090025i,0.00076885+0.0014021i,0.00027661+0.0016607i,-0.00083499+0.0012881i,-0.00046742+0.00025394i
-0.00015582+0.0014566i,0.0011084+0.0020898i,0.00059973+0.0015369i,0.00032565-0.00053066i,0.00086923-0.0019567i,0.00078183-0.0024544i,0.00024769-0.0027399i,0.00035597-0.001869i,-0.00060367-0.0015958i,-0.00059999-0.00084532i,9.5298e-05+0.00047547i,-4.0797e-05-0.00086852i,-0.0002311-0.0017449i,0.00040918-0.00044539i,0.0005731-6.5697e-05i,7.4551e-05-0.00049985i,-9.7417e-05-0.00064302i,7.7349e-05-0.00080099i,5.9008e-05-0.00046145i,0.00029774+2.8873e-05i,0.00087356+0.00066627i,0.0008742+0.0014289i,0.00045181+0.00081395i
-0.00024241-0.0016148i,0.00076548-0.0017481i,0.0015151-0.0014534i,0.0012315-0.0013906i,0.0019395-0.0016919i,0.0018837-0.001637i,0.0011256-0.0015106i,0.0010664-0.0016457i,0.00080939-0.0018578i,8.9446e-05-0.0012627i,-0.00061509-0.0008482i,-0.00076141-8.7289e-05i,-0.0006552+0.00015758i,-0.00034443-5.1824e-05i,-0.00019338+0.00067603i,-0.0001622+0.0012793i,-0.0010729+0.00090692i,-0.0012902+0.00076761i,-0.00061968+0.0012872i,-0.00031322+0.00057991i,0.00018102-0.00041674i,0.00048807-0.00075845i,0.0004676-0.00059453i
0.00020211+0.0022107i,-0.00016001+0.00099725i,-0.0013767+0.00086186i,-0.00035315+0.0003449i,0.0012594-0.00095838i,0.0018723-0.0010283i,0.0015183-0.0007321i,3.4358e-05-0.0011866i,0.00014662-0.0012997i,0.0011443-0.00041034i,0.0010307+0.00030083i,0.00083177+1.748e-05i,0.00065874+0.0002514i,0.00085571+0.00072451i,0.0007816+0.00054102i,0.00051814+0.00049834i,0.00094311+0.00027121i,0.00090365+0.00035327i,0.00043935-0.00014995i,6.7287e-05-0.00083788i,-0.00026473-0.00091785i,-0.00085206-0.00073449i,-0.00089178+0.00077382i
-2.2415e-05+0.001379i,0.0003443+0.0015362i,0.0012085+0.0019264i,0.0025346+0.0017782i,0.0032031+0.00066939i,0.0022998+0.0002166i,0.00065438+0.00021015i,0.00074639+0.00012266i,0.0014048+0.00061523i,0.00077184+0.00031049i,0.0003574-0.00035969i,0.0012084-0.0006735i,0.0013454-0.00072176i,0.00080732-5.2461e-05i,0.00017376-0.00017614i,-1.4285e-06-0.00083713i,-0.00029565-0.00049351i,0.00015326-0.00013242i,0.00090577-0.00046491i,0.0013135-0.00010069i,0.00095268+0.00062481i,0.000417+0.00030389i,0.00044898+5.5687e-05i
-0.0026414-0.00092616i,-0.0017205-0.0013579i,-0.00021771-0.0017044i,0.00098404-0.0012543i,0.0014803-0.0011855i,0.0020021-0.00080675i,0.0018938-0.00072283i,0.00095216-0.0011797i,0.00043055-0.0017603i,0.00053108-0.0015272i,0.00060216-0.00078645i,0.00028877-0.0001675i,-9.4445e-05+0.00046695i,-0.00066379+0.00052109i,-0.00068351+0.00042124i,-5.0948e-05+0.00041526i,-0.00033547+0.00017955i,-0.00036356-0.00049829i,-0.00032389-0.00080302i,-0.00087647-0.00076907i,-0.00068067+0.00010672i,-0.00049586+0.00099955i,-0.00054762+0.00073301i
-0.0015748+0.0020708i,-0.0031257+0.0019036i,-0.0036035+0.0022895i,-0.0023867+0.0017928i,-0.0010336+0.00078349i,3.8877e-05-0.00028521i,0.00052535-0.00088877i,0.00021636-0.0010797i,0.00031454-0.00098009i,0.0001267-0.00034722i,-0.00044738-0.00038396i,-0.00033882-7.5908e-05i,6.0175e-06+0.00041954i,0.0003181+0.00057523i,4.5636e-05+0.00080982i,-0.00032789+0.0011362i,-0.00050635+0.0007886i,-0.00027156+0.00027815i,-0.00039253-8.4694e-05i,-0.0005544+6.6588e-05i,-0.0002084+0.00039364i,0.00078849+0.00025799i,0.0012692-0.00016631i
