-0.0022902+0.0015393i,-0.0014388+0.00046248i,-0.0011908-0.0011576i,-0.0012189-0.0014999i,-0.0018087-0.0012302i,-0.0017786-0.00053264i,-0.00047399+0.000732i,0.00042423+0.00042878i,0.00093137-0.00024576i,0.001161-0.0010228i,0.00021095-0.0014484i,-0.00095819-0.0016031i,-0.0010104-0.0016868i,-0.00058384-0.0010795i,-0.00066054+0.00013368i,-0.00024776+0.0010038i,-5.686e-05+0.00071826i,-0.00055614-3.9453e-05i,-0.00014517-0.00055708i,0.00013836-0.00045032i,-6.3787e-05-0.00055503i,-0.00014942-0.00094563i,-0.00010792-0.00076555i
0.0012933+2.2233e-05i,0.0016243-0.0007789i,0.0030337-0.0032047i,0.0029769-0.0045347i,0.0014942-0.0041392i,0.00056578-0.0030805i,0.00044429-0.002214i,7.9573e-05-0.0017868i,-0.00069235-0.0012913i,-0.00054841-0.00068827i,0.00022587-0.00063561i,0.00043154-0.00028904i,0.0002946+0.00037898i,-0.00012464+0.00013683i,8.7749e-06-0.00023534i,0.00069899-8.2384e-05i,2.86e-05-0.00016075i,-0.00050309-0.00050732i,-0.0011492-0.00059431i,-0.00090961-0.00063422i,0.00017657-0.00088447i,0.0001973-0.00084301i,4.0992e-05-0.0001731i
-0.0020135-0.00079243i,-0.0030481+0.00041646i,-0.00382+0.0010389i,-0.0015737+0.00061183i,0.00052411+0.00024775i,0.00029813+0.00043593i,-0.00085813+0.0002028i,-0.00033089-0.00026562i,0.0002719-0.00048787i,0.00070696+4.9914e-05i,0.00072229+3.6959e-05i,0.0005071-0.0001823i,0.00045829+7.7634e-05i,-0.0006722+0.00018204i,-0.00084799-7.0288e-05i,-8.7422e-05-0.0004741i,-2.8665e-06-0.00065587i,-0.00019506-0.00064181i,0.00013056-7.3389e-05i,0.00046029+0.00040594i,0.0009746-2.6902e-05i,0.00037121-0.00055935i,-0.0001242-0.00040423i
0.00096759-0.00010045i,0.0024156-0.0012014i,0.0023765-0.0014087i,-3.3222e-05-0.0017462i,-0.0010813-0.0015601i,0.00024659-0.0014769i,0.00076817-0.0017938i,0.00021076-0.0012734i,0.00024446-0.0012911i,0.00026614-0.0007784i,0.0002385-0.00037817i,-0.00015248-0.00053433i,-0.00034401-0.00049063i,-8.1354e-05-0.00041982i,0.0002932+0.0005766i,0.00050054+0.0011537i,0.00062944+0.0001462i,0.0011156-0.00080012i,0.001148-0.00035928i,0.00075142+0.00051755i,0.00014149+0.00077023i,-0.00069229+0.00082777i,-0.00078425+0.00072724i
0.002194-1.3625e-05i,0.0030211+0.0008377i,0.0030058-0.00019713i,0.0025636-0.0020212i,0.0019702-0.003004i,0.00032847-0.0022553i,-0.0009372-0.00076431i,-0.00088475-0.00035882i,-0.00032071-0.00067809i,-0.00033623-0.00033968i,-0.00077378-2.7521e-05i,-0.00073445-0.00022758i,-0.00095746-0.00054968i,-0.0013324-0.00041934i,-0.0010254+0.00037684i,-0.00069204+0.00072993i,-0.00026934+0.00051174i,-0.00022391+0.00045952i,-0.00023939+0.00099397i,4.0201e-06+0.00077495i,0.00021053+0.00015415i,0.00034152+0.00010531i,0.00040584-0.00012949i
0.00039978-0.00086827i,0.00016111-0.0013244i,0.00017055-0.0019962i,0.00037598-0.00084415i,-0.00037826+0.00086634i,-0.00093097+0.0013245i,-0.00012282+0.0005702i,-1.3492e-05+0.00018883i,-0.00012559-0.00026873i,0.00015747-0.00057475i,0.00012925-0.00031962i,-0.00062124-0.00040494i,-0.0007259-0.0010046i,-0.00085494-0.00028247i,-0.00086937+0.00046897i,-0.00034281+0.00064899i,-0.00028711+0.00029054i,0.00035843-0.00022413i,0.00049777-3.3577e-05i,-3.5079e-05+0.00061501i,-0.00021979+0.00063138i,-0.00032854-0.00062607i,-0.00025371-0.001167i
0.00052657+0.00024317i,0.00028847+0.00093673i,0.00058728+0.0011465i,0.00059533-0.0010686i,0.00058735-0.003i,0.00052184-0.0032381i,0.00024046-0.0022981i,0.00032286-0.0012983i,0.00081848-0.001576i,0.00072265-0.0012305i,0.00069995-0.00034572i,0.00065899-0.0001068i,1.2175e-05-0.0004793i,-0.00013109-0.0010163i,-0.00035293-0.00099799i,-0.00017818-0.00021209i,-0.00013276+0.00035076i,-0.00034297+0.00034655i,0.00019372+9.0135e-05i,0.00052036+0.00084445i,0.00041443+0.0012594i,0.00030115+0.00083231i,4.1583e-05+0.00047514i
-0.00020283-0.00017162i,0.00068105-0.0001588i,0.0013949-0.0011721i,0.0017383-0.0014197i,0.0017107-0.0010542i,0.00023452-0.0011857i,-0.00080478-0.00095478i,-0.00016177+4.0174e-05i,0.0001628+0.00032886i,8.6584e-05-0.00057907i,4.5018e-05-0.00061576i,-0.00029789-0.00026017i,-0.0002926+0.00014175i,0.00012446+0.00066875i,1.0125e-05+0.0011338i,-0.00023128+0.00077163i,-0.00016791-0.00026987i,-7.4583e-05+0.000122i,0.0003854+0.00051866i,0.00029556+0.00033704i,-0.00079798-0.00030579i,-0.0008855-0.00062643i,-0.00036832-0.00027089i
-0.00063741-0.0020892i,-0.00094726-0.0014213i,-0.00072331-0.00067123i,-0.00045632-0.00032399i,-0.00026651-0.00013285i,0.00012282-0.0004407i,0.00045698-0.00046697i,0.00062536-0.00043187i,-4.6304e-06-0.0011022i,-0.0006333-0.0015258i,-0.00087705-0.0011541i,-0.00054368-0.00035545i,-0.00019213+0.00019774i,-0.00036252-8.5184e-05i,-0.00018232+1.1139e-05i,0.00066704+0.00037244i,0.00094894+0.0010144i,0.00036785+0.0012094i,-0.00014982+0.0017029i,-1.1913e-05+0.0021081i,0.00047394+0.0012907i,0.0007846+0.00038271i,0.00053518-0.00049247i
2.6001e-05-2.6873e-05i,0.00086867+0.0005494i,0.00074517+0.00086129i,-0.00051345-0.0012812i,-0.00042578-0.0025702i,-3.3949e-05-0.0020598i,0.00017284-0.0010391i,-0.00017264-0.00012279i,-0.00032743-0.00062477i,-0.00018077-0.0011986i,-0.00057792-0.0012515i,-0.00075314-0.00081771i,0.00018373-0.000424i,0.0011155-0.00067703i,0.00074041-0.00090424i,-0.00025861-0.0007686i,-0.00064688-0.00072214i,-0.00046207-9.4365e-05i,0.00013237+0.00047006i,0.00047656+0.00034686i,0.00072227-0.00020832i,0.0007803-0.00052062i,0.0001923-0.0003047i
-0.0010871-0.00041993i,-0.00043099+0.00084664i,0.00027736+0.00089357i,0.0015741-3.8158e-05i,0.0015189-4.3893e-05i,0.00074806+0.00025551i,0.00051595+0.00043391i,0.0010045+0.00041972i,0.00086685+0.000607i,0.00049262+0.00061363i,0.00058164+0.00045347i,-0.00038966-0.00018546i,-0.00082092-0.00080928i,-0.00079175-0.00024382i,-0.00070095+0.00045416i,-0.00019124+0.00022729i,0.00018582-0.00037966i,-0.00020822-1.105e-05i,-0.00055965+0.00050503i,-0.00010938+0.0006209i,-0.00031708+0.00068734i,-0.00047301+0.00032451i,0.00023535-2.6229e-05i
0.00026875-0.00048509i,-0.00039654-0.00055986i,-0.0021033-0.0007469i,-0.0023574-0.0013551i,-0.0016016-0.0017293i,-0.00077667-0.0012881i,-0.00054076-0.00065723i,-3.6226e-05-0.00089583i,-0.00027913-0.00086146i,-0.00076226-0.00069894i,-0.00076431-0.00064873i,-0.00099257-0.00074174i,-9.5034e-05-0.00072994i,-0.00010014-0.00012905i,-0.00011306+0.00048524i,0.00035662+0.00073325i,0.00047591+0.00027104i,0.00019646+0.00056769i,-0.00021148+0.00070429i,-0.00063133-0.00015679i,-0.001088-0.00014566i,-0.0010179+0.00010274i,0.00011476-4.505e-05i
0.00074957+0.00096168i,0.0017682+0.00020483i,0.0018389-0.00025007i,0.0021576-0.0013509i,0.0019136-0.0025625i,0.00020572-0.0024267i,-0.00058482-0.0010014i,-0.00031745-0.00012602i,-4.29e-05-0.00015066i,-5.9748e-05-0.00045904i,-0.00049502-0.00093419i,-0.00072715-0.00091744i,-0.00050747-0.00080244i,-0.00036637-0.00047877i,-0.00046466+0.00041009i,-0.00057865+0.00047734i,-0.00015734-0.00010106i,-9.1357e-05+0.00036067i,-0.00022221+0.00086206i,8.3549e-05+0.00058321i,0.00023541+0.00055917i,0.00019269+0.00037009i,0.00016994-0.00011338i
-0.0024203+2.7339e-05i,-0.0023324-0.00010274i,-0.001984-0.00055499i,-0.0011498-0.0012019i,-0.0010252-0.00070179i,-0.0013354-0.00036519i,-0.00090493+0.00027403i,-0.0010008+0.00030723i,-0.00050492-0.00037514i,0.00054211-0.00062645i,0.00098173-0.0009606i,3.4955e-05-0.00084915i,0.00023003-0.00044954i,0.00079967+0.00022206i,4.4558e-05+0.00070976i,-0.00038212+0.00077617i,-0.00035806+0.00061466i,-0.0006523+0.00026817i,-0.00019479-9.5237e-05i,0.00059175-0.00021115i,0.0007271-0.00049775i,0.00059159-0.00020897i,0.00046338+0.00041004i
-0.0016264-0.0021454i,-0.0020395-0.00075307i,-0.0025295+0.0004828i,-0.0018254+0.00055503i,-0.00057025-6.6618e-05i,-0.00028728-0.00029767i,0.00028879-0.00034655i,0.00035717-0.00028577i,-0.00060841+5.3016e-05i,-0.00058508+0.0004596i,9.5419e-05+0.00030336i,5.3293e-05+7.9249e-06i,-0.00027651+0.0001996i,-0.00032876+0.00065019i,-0.00043341+0.0010369i,8.6696e-05+0.00058787i,0.00093947+0.00032423i,0.00066145+0.00064824i,0.00011903+0.00053951i,0.00029182+0.00030078i,0.00037175+7.0086e-05i,0.00063976-0.00067626i,0.0013431-0.0012348i
0.001705-0.00017832i,0.0019731-0.00060411i,0.0036721-0.0021996i,0.0040673-0.002879i,0.0016824-0.0025601i,-0.00014494-0.0018872i,0.00028849-0.00054399i,8.5993e-05+0.00019267i,-0.00035275-2.4999e-05i,-5.6277e-05-0.00069886i,-0.00024867-0.00093796i,-0.00051917-0.0006562i,-0.00056078-0.0005005i,-0.00059317-0.00097478i,0.00048816-0.0010202i,0.0012666-0.00029638i,0.00057133-0.00022665i,-1.5104e-05-0.00055668i,5.3288e-05-0.00077942i,0.00038821-0.00063311i,0.00098037-0.0005199i,0.0011596-0.00033184i,0.00054892+3.5014e-05i
-0.00095687+0.00051752i,-0.0015702+0.00091669i,-0.0018091+0.0008088i,-0.0013199+0.00064799i,-0.00092592-0.000786i,-0.00086422-0.0016666i,-0.0017034-0.00099054i,-0.0015476-0.00087248i,-0.00086041-0.0012182i,-0.00052226-0.00073426i,-0.00042078-0.00041854i,-0.00049249-0.00040136i,-0.00036931+0.00048818i,-0.0010046+0.001182i,-0.0019165+0.00095072i,-0.0014636+0.00063735i,-0.00072427+0.00051803i,-0.00063484+0.00061475i,3.4838e-05+0.00018552i,0.00043596-0.00036836i,0.00035264-0.00032588i,0.00065621-0.00051354i,0.00043041-0.00068059i
0.0018126+0.00062132i,0.0022469-0.00040856i,0.0034302-0.0010483i,0.0025549-0.0018629i,0.00081078-0.0024767i,-0.0005139-0.0026249i,-0.0006479-0.0018384i,-0.00038377-0.00076225i,0.00016016-0.0009844i,0.00019238-0.0017158i,-0.00021689-0.0017148i,2.2495e-05-0.001288i,0.00066281-0.0013063i,0.0007741-0.0011327i,0.00029798-0.00072092i,1.0469e-05-0.0006765i,-0.00020479-0.00090196i,-0.00016454-0.0007553i,0.0001374+0.00027426i,-0.00010585+0.00063947i,0.00058669+0.00031824i,0.0016688+0.00043384i,0.0012597+0.00047367i
0.0013947-0.00063535i,0.0024168-0.00051299i,0.0029074+0.00045557i,0.0015943-0.0003776i,-7.9935e-05-0.0018547i,-0.00036734-0.0015031i,-0.00014904-0.00056209i,-7.0875e-05-0.00033539i,0.00021479+0.0001937i,-0.00041096+0.00018843i,-0.0011217-0.00090635i,-0.00049686-0.0012079i,0.00039122-0.00054323i,-0.00015118-0.00025561i,-0.0010923-0.00060198i,-0.00081326-0.00028477i,0.00011037+0.00039733i,0.00018419+0.00026688i,0.0001356+2.3783e-05i,3.9491e-05+0.00070639i,-0.00041715+0.00081558i,-8.3315e-05+0.00013816i,-0.00022481-0.00032868i
-0.001904-0.0017194i,-0.0020021-0.0007656i,-0.0028853+0.00044438i,-0.0016472+0.00072514i,0.00046989+0.00012881i,0.0014076-0.0004422i,0.0010949-0.0002931i,0.00010738+0.00014332i,-0.00027507+0.00016655i,0.00053788+8.129e-05i,-8.9958e-06+9.8763e-06i,-0.00056827-0.00013643i,0.00051501-0.00036583i,0.00065053-0.00014499i,-0.00035206+0.00021135i,-0.00031926+0.00068576i,0.00036391+0.0014935i,-8.985e-05+0.00066502i,-0.00042384-0.00010394i,-0.00030855+6.9514e-05i,-0.00038884-0.00031817i,-0.00015075-0.00041418i,0.00043189-0.00055347i
0.00050664+0.00030668i,0.0010519-0.00011648i,0.0026215-0.000632i,0.0044907-0.00011345i,0.0036265-0.00013104i,0.0011536-0.0010558i,0.00052492-0.0016862i,0.00074735-0.0015484i,0.00088885-0.0010561i,0.00086828-0.00078571i,0.00015991-0.00096487i,-0.00047974-0.00076737i,-0.00030321+0.00040022i,2.3561e-05+0.0014974i,0.00043507+0.0014901i,0.00028577+0.00054382i,5.3122e-05-0.00091125i,0.00013308-0.0012167i,0.00044497-0.00034922i,0.00039319+4.547e-05i,-0.00020148+0.00014588i,-0.00020455+0.00037691i,-0.00033724+0.00085277i
-0.0015186+0.0012784i,-0.0012221+0.0017715i,-0.0015139+0.0040375i,-0.00016678+0.0025032i,0.00039424+0.00012789i,-0.00028432-1.1046e-05i,-0.0011172-0.0001258i,-0.00091271-0.00044607i,0.00016922-0.00020542i,0.00036988-1.8563e-05i,-1.9229e-05+0.00013855i,-0.00031901+0.00015365i,-4.4675e-05-7.7284e-05i,0.00033647-8.1875e-05i,4.8328e-05+6.0099e-05i,-5.0879e-05+0.00019442i,0.00014715-6.014e-05i,9.8502e-06+0.00016025i,-0.00011263+0.00028622i,0.00040262-5.6492e-05i,0.0010818-0.00014943i,0.00063952+0.00029672i,-0.00034711+0.00056762i
-0.00074846-0.0020378i,-0.0012149-0.0022473i,-0.0023799-0.001993i,-0.0026807-0.0017554i,-0.0017156-0.002025i,5.7249e-05-0.0020389i,0.0010068-0.0014091i,0.00094074-0.0010133i,0.00027113-0.00071216i,-0.00064758-0.0012419i,-0.0008169-0.0016712i,-0.0008558-0.0013964i,-0.0003998-0.00097079i,5.2737e-05-0.00068423i,-0.0007744-0.00080782i,-0.00088382-0.00084059i,2.2563e-05-0.00038426i,0.00065086+0.00038939i,0.00063452+0.0014116i,-0.00033222+0.0012284i,-0.0012244+0.00027891i,-0.00035666-6.4739e-05i,0.00085022+6.8639e-05i
