-0.001071+0.0002686i,0.00014765-0.0010133i,-0.0011485+0.00038938i,-0.0019109+0.0017231i,8.8581e-06+0.0021405i,0.00098941+0.0010793i,-0.00018803+0.00075181i,3.2473e-05+0.0010385i,0.00082019+0.00043245i,0.00068217-6.5983e-05i,0.0011297-0.00041785i,0.0016917-0.00061547i,0.0010267-0.0012026i,0.00047591-0.0021238i,0.00057147-0.0023406i,-0.00026472-0.001696i,-0.00091363-0.00037289i,-0.00066701-0.00051287i,-0.0012155-0.0016495i,-0.0017311-0.0012602i,-0.00068365+3.2073e-05i,0.0007904+0.00065233i,0.0012035+0.00051242i
0.0013352-0.00053701i,0.00095248-0.0018849i,0.00010463-0.0022663i,-0.00021085-0.0012806i,-0.00056416-0.0003162i,-0.0011113+0.0001753i,-0.00073105-9.9124e-05i,0.00031514-8.6265e-05i,0.00018551-7.0577e-05i,-0.00035798-0.00018701i,-4.4763e-05-5.6168e-05i,0.00083391+8.2019e-05i,0.0012561+4.2742e-05i,0.0010246+9.8084e-05i,0.00030936+0.00012456i,-0.00040261-0.0001296i,-0.00062984+0.00010595i,-0.00046881-0.00050375i,0.00042428-0.00085423i,0.00049872-0.00011904i,4.5084e-05+0.00037622i,0.00037628+0.00037878i,0.00039835-0.00034261i
0.002136-0.0019686i,0.0014974-0.0035734i,0.00040966-0.0037212i,4.1694e-05-0.0018234i,-0.00054801-0.0010543i,-0.00086381-0.0011466i,-0.00027282+0.00033188i,0.00027746+0.00060301i,-1.8111e-05-0.00039811i,-0.00054043-0.0009779i,-0.00043475-0.0001872i,0.00025469+0.00035309i,0.00033543-0.0001691i,3.6345e-05-0.00029277i,-0.00026888-6.5893e-05i,-0.00040881+0.00062474i,9.2228e-06+0.00075835i,8.3099e-05-7.5417e-05i,-0.00014141-0.00026876i,0.00028226+0.00035061i,0.00073524+0.0001127i,0.00055222+0.00021755i,0.00013021+0.00066074i
0.0026978+0.0023892i,0.00368+0.0010408i,0.0023968-0.00041344i,0.0019255-0.0013218i,0.0014566-0.0010831i,0.00069155-0.0013509i,0.00013441-0.00099623i,1.2019e-05-0.00019164i,0.00029206-0.00040106i,0.00079111-9.5855e-05i,0.0010947+0.0004501i,0.00052897+0.00039338i,-0.00063643+0.00028513i,-0.0010496+0.00034768i,0.00016483+0.00027967i,0.00094536+8.9081e-05i,0.00037744-0.00051509i,-8.4457e-05-0.00070937i,0.00015402-5.4602e-05i,0.00049484+0.00072433i,0.0002643+0.0010105i,0.00029306+0.00077261i,0.00030231+0.00019074i
0.0041733-0.00014922i,0.0030532-0.0011614i,0.0015532-0.0017668i,0.00042825-0.0013346i,-0.00016814-0.0008858i,-0.0010121-0.00054737i,-0.0010689-6.9183e-05i,0.00041591-0.00053595i,0.0011772-0.0011962i,0.000331-0.0012839i,-0.00012428-0.00059538i,1.3438e-05+0.00026051i,-0.00013047-0.00026862i,-0.0003577+0.00019636i,-0.00078203+0.00057998i,-0.00063361-0.00011478i,0.00014162-0.0005583i,-0.00010363-0.00087394i,-0.00022585-0.00057253i,0.00042899+7.0225e-05i,0.00028926+0.00014935i,-0.00015927+6.6434e-05i,-0.00027546-0.00046297i
0.0011265+0.00076247i,0.0012802-0.00036665i,0.00033214-0.0011564i,-0.00063739-0.0010995i,-0.0012659-0.0013121i,-0.00073381-0.0014198i,-0.00017546-0.00028115i,-0.00035374+0.00010878i,-0.00027407-0.00020513i,9.4887e-05+0.00037929i,0.00034869+0.00026834i,0.00034535-0.00037939i,0.00035128-0.00036101i,0.00077595-4.9234e-06i,0.0010451-0.0002561i,0.00023496-0.00102i,-9.4242e-05-0.0010355i,0.00034473-0.00017037i,3.7175e-05-0.0003201i,-8.7506e-05-0.00060719i,0.00019525+0.00011715i,0.00013771+0.00024376i,7.2962e-05+0.00024374i
0.001157-0.00084439i,0.001617-0.0031457i,0.0014282-0.0041393i,0.00093381-0.0025348i,0.00040439-0.00045875i,0.00015913+7.6303e-05i,-9.6405e-05+1.1743e-05i,-2.2176e-05+0.00044351i,0.00037136+0.00049855i,0.0001215+0.00023984i,-6.7583e-05+0.00041465i,-0.00021966-2.796e-05i,-0.00014125-0.00027576i,0.00082197-0.00024354i,0.0010452-6.8993e-05i,3.8008e-05+0.00010816i,-0.00038773-0.00010736i,-0.0003196-0.00052753i,1.1429e-05-6.3488e-05i,0.00092074+0.00026206i,0.0012401-0.0009029i,0.00064901-0.00093382i,0.00053217-0.00015149i
0.0032109+0.00058198i,0.0036612+0.00045712i,0.002908-0.00080744i,0.0016968-0.0013425i,0.00055083-0.00037481i,-0.00023805-0.00031011i,-0.00025939-0.00086213i,0.00085624-0.00056387i,0.0016643-0.00029046i,0.00074103+0.00019995i,-0.0002815-0.00012885i,-0.00035116-0.0006602i,-0.00019404-0.000292i,-0.00039842+0.00012989i,-0.0009151-7.7542e-05i,-0.0010521-0.00070545i,-0.00078332-0.00098128i,-0.00054086-0.0012679i,-0.00017284-0.00091927i,6.2237e-05-0.00044049i,0.00070024+0.000361i,0.00051129+0.0013126i,-0.00042543+0.00054908i
0.0023743-0.0023177i,0.002039-0.0017071i,0.0006416-0.0018989i,-0.00042549-0.00015479i,-0.00026134+0.0011946i,-0.00010651+0.00055935i,9.8476e-06+4.7077e-05i,0.00063107-2.743e-06i,0.00080854-0.00052822i,0.00039895-0.00065203i,0.00065594-0.00032496i,0.00090596+0.00017987i,0.00025403+0.00049433i,0.00032501+0.00031993i,0.0010206+3.9904e-05i,0.00059659+2.1727e-05i,0.00030941-5.5334e-05i,0.00020324-0.00024975i,-0.00039975-0.00060002i,-0.00045352-0.00028559i,0.0002737-3.4467e-05i,0.00082642+0.00017778i,0.00052808+0.00090254i
0.00076818+0.0029426i,0.00043879+0.0010845i,-0.0002614-0.0008982i,-0.00065277-0.00063073i,5.3695e-06-0.00027337i,0.0005796-4.6365e-05i,0.0012942+0.0005053i,0.0011737+0.00088713i,0.00022929+0.0010094i,0.00028533+0.00099202i,0.00021399+0.00045848i,0.00015717-0.00022767i,-2.1045e-05-0.00056818i,-0.0010779-0.0013344i,-0.00061532-0.0015324i,-0.00026524-0.0012813i,-0.00075721-0.0011772i,-0.00022366-0.00047865i,-0.00055568-3.7773e-05i,-0.0012556-2.0486e-05i,-0.00058856+0.00061594i,0.00027096+0.00051328i,0.00035127+8.2966e-05i
0.0033299+0.00035787i,0.0033086-0.0013048i,0.0026222-0.0026796i,0.001354-0.0035142i,0.00018517-0.0024974i,-0.0006243-0.001442i,-0.00033716-0.00067021i,-3.5891e-05-7.163e-05i,0.00010795-0.00065001i,-3.9221e-05-5.1302e-05i,-0.00016672+0.0010005i,0.00023119+0.0010966i,0.00018283+0.00043336i,4.7932e-05-0.00013362i,0.0002265-9.5169e-05i,-1.5736e-05-0.00010116i,-0.00044082-0.00074415i,-0.00025273-0.0014485i,0.00026437-0.0015412i,0.0001431-0.0006286i,-0.00060937+3.8834e-05i,-0.0002588-0.0001223i,0.00012101-0.0002702i
