-0.0025691+0.00083552i,-0.0016909+0.0016725i,-0.00088318+0.0014158i,-0.00043245+0.00061971i,0.00023714+0.00024967i,0.0010836+4.8225e-05i,0.00081342+0.00022716i,-0.00023174+0.00086545i,-0.001051+0.00086704i,-0.0010117-0.00028404i,-0.00014142+0.00017398i,0.00036989+0.00063696i,0.00034178-0.00029287i,0.00063616-0.0005958i,0.00074505+0.00010209i,0.0005764+0.00048425i,0.00072841+0.00024535i,0.00075679+0.00033144i,-0.0005234+0.00039107i,-0.0018749+0.00033401i,-0.0013361+0.00020376i,-0.00014635+0.00038001i,0.00042588+0.00092121i
-0.0026506+0.0020709i,-0.00055118+0.0018231i,0.0018617+0.0013861i,0.0023925+0.00028853i,0.0012097+0.00015449i,2.7944e-05-0.00032455i,-0.00030784-0.0013139i,-0.00036425-0.00088634i,0.0001093-0.00018447i,0.00073156+0.00030236i,0.00021521+0.00010459i,-0.00020159-0.00063485i,-0.00029721-0.00082349i,-0.00080467-0.00082799i,-0.0013517-0.0010982i,-0.0011046-0.00073054i,-0.00025847-8.4807e-05i,-7.2064e-05-0.00041423i,-0.00027071-0.00035841i,-0.00037762+8.4622e-05i,-0.00012364+0.00032145i,0.00018663+0.00055989i,0.00045658+0.00016619i
-0.0020638-0.0012084i,-0.0016099+0.00023733i,-0.00082636+0.00072479i,0.00037495+0.0004973i,0.0011072+0.0010282i,0.0014715+0.00079201i,0.0013329-0.00017469i,0.00090244-6.9412e-05i,0.00090109+0.00015812i,0.00075173+4.6593e-05i,0.00025943-0.00014696i,0.00067807+5.8236e-05i,0.00083956+0.00058931i,0.00064592+0.00048945i,0.00086966+0.00016944i,0.00033497+0.00015064i,-0.00046506-0.00070079i,-0.00034713-0.00036464i,0.00021752+0.00070305i,0.00021555-0.00019972i,-4.201e-05-0.000896i,0.00010605-8.4367e-05i,0.0001038-0.00038583i
-0.0036775+0.0023532i,-0.0031913+0.0034012i,-0.0015739+0.0025443i,-4.8616e-05+0.0017568i,0.00080445+0.0010959i,0.0010544-0.00033929i,0.00088705-0.00041427i,0.00045871+0.00011208i,0.00029005+0.00075395i,-0.00055479+0.0008299i,-1.957e-05-0.0001949i,0.001071-0.00036101i,0.00076373-0.00045524i,0.00034811-0.0010323i,0.00059199-0.0012275i,0.00025589-0.00072688i,-5.1596e-05+0.00010271i,4.1901e-05+0.00015503i,-0.00018044-0.00050359i,-0.00045076-0.00047251i,-0.0010184+0.00012614i,-0.0010012+0.00028559i,-0.00047185+2.0761e-06i
-0.0023331-0.001958i,-0.0029812-0.0017899i,-0.0022038+8.8011e-05i,-0.0012893+0.00094262i,0.00024829+0.00058203i,0.00051176+0.0006512i,0.00065795+0.00059146i,0.0011194+0.00087364i,0.00065826+0.0010815i,-6.7087e-05+0.00053286i,-0.00026239-0.00021544i,0.000395-0.00016389i,0.001114+7.4521e-05i,0.00088455+4.0897e-06i,0.0005065+0.00048668i,0.00032561+0.00038324i,6.3222e-05+0.00041808i,-0.00012465+0.0002342i,0.00018774-0.00038825i,0.00019568-0.00037706i,0.00013038+2.0602e-05i,0.0006332+7.2404e-06i,0.0006789-0.00053728i
-0.003773+0.0023221i,-0.0032036+0.0027914i,-0.0010531+0.0023396i,0.00073701+0.001254i,0.0020016+0.00017268i,0.0018855-0.00037479i,0.00092566-0.00024107i,0.00010775+0.00016844i,0.00026881+0.0004645i,0.0003584-0.00011234i,0.00014356-0.0010334i,0.00093029-0.00095807i,0.0010888-0.00026582i,4.4321e-05-0.00025581i,-0.00013359-0.00059553i,-7.1927e-05-0.00095994i,0.0001317-0.00092628i,4.3741e-05+4.0796e-05i,-0.00099035+0.00034913i,-0.0012434+0.00056096i,-0.0007162+0.0010479i,0.00013507+0.00084228i,0.00023275+3.4458e-05i
-0.0040398-0.0006434i,-0.0039565+0.00075088i,-0.0030988+0.0024267i,-0.001493+0.002449i,0.0006437+0.0015725i,0.002175+0.00080193i,0.0017395-3.6462e-05i,-0.00028687-0.00067936i,-0.0016701-0.00047061i,-0.0013057-0.00017194i,-0.00064936-0.00028252i,-0.00067958-0.00027429i,-0.00015955-0.00021959i,0.00077663-0.00048458i,0.00095569-0.00030662i,0.00029861+0.00047456i,-0.00038608+0.00038112i,-0.00026996-0.00028705i,-0.00045564-0.00054686i,-0.00011758-0.00014683i,0.00062708+4.966e-05i,0.00051669+0.00031491i,-9.7825e-05+0.001254i
-0.0041417+0.0012826i,-0.0035183+0.0019551i,-0.0013349+0.0029805i,0.00092852+0.002092i,0.0020789-0.0002115i,0.0025485-0.00079975i,0.0016812-0.00069953i,0.00039446-0.00026041i,-6.9565e-05+0.00038364i,9.5554e-06+0.00010688i,-3.4756e-05-0.00064605i,6.2324e-06-0.00034908i,0.0002796-0.0010059i,0.00062491-0.0023421i,0.00040571-0.0019494i,0.00023011-0.0010922i,0.00022826-0.00068282i,-0.00010237-0.00052362i,-0.0010503-0.00075461i,-0.001445-0.00077129i,-0.0009139+7.2399e-05i,-0.00048004+0.00058837i,-9.2482e-05+0.00041799i
-0.0042411+0.0015212i,-0.0026228+0.0021253i,-0.0014036+0.0019165i,-0.00047042+0.00089152i,0.00014886-0.00040207i,2.7662e-05-0.00071337i,3.6334e-05+0.00029428i,-0.00016204+0.0014823i,8.8923e-05+0.0014908i,0.0007957+0.00017576i,0.00062058-0.00074161i,-2.8719e-06-0.0007681i,1.0647e-05-0.0015085i,0.00072743-0.0018646i,0.00055441-0.0012805i,0.00085513-0.00056096i,0.0013783-0.00049124i,0.0012107-0.00028381i,0.00056907+0.00011071i,-3.9198e-05+0.00025995i,-0.00075497+0.0003293i,-0.00083707+0.00029427i,-9.0503e-05+0.000167i
-0.0034971-0.00017105i,-0.002455+0.00060988i,-0.00047479+0.0010328i,0.00097629+0.00028351i,0.0014735-0.0001653i,0.0014515+0.00012479i,0.00076846-8.5969e-05i,0.0003843+6.9382e-05i,0.0003983+0.00094059i,0.0002614-4.9349e-05i,-0.00035121-0.0011217i,-0.00046734-0.00084578i,8.7506e-05-0.0012174i,-0.00012267-0.00073713i,-0.00016481+0.0002157i,0.00072941+0.00022938i,0.0010665+0.00036874i,0.00018958-0.00022875i,5.8191e-05-0.00028847i,6.223e-05-0.00024518i,-0.00017999-0.00041318i,5.4131e-05-0.00043086i,0.00030186-0.00094293i
