-0.0029108+0.0011778i,-0.0014864-0.00073701i,-0.0013848-0.0011824i,-0.00013751-0.00050557i,0.00081884+0.00033243i,-8.4356e-05+0.0012057i,-0.00063591+0.0014093i,-0.000167+0.0017037i,0.00056418+0.0016129i,0.00062539+0.0010293i,0.00065215+0.0007048i,0.00095952-0.00015253i,0.0004332-0.00012763i,-7.0077e-05+0.00036648i,6.6235e-05-5.8349e-05i,-0.00020403-0.00011537i,-0.00011154+0.00010897i,3.9094e-05-0.00033976i,-0.00049204-0.00078044i,-0.00058304-0.00070587i,5.541e-05-0.00023758i,0.00034436+0.00017098i,0.00010823-0.00062607i
-0.0019966-0.00064895i,-0.0021067-0.0016075i,-0.0012499-0.00057441i,0.00082626-0.00086157i,0.0022904-0.0022565i,0.0014905-0.0014036i,0.00027854+0.00038689i,-0.00045601+0.00079629i,-0.00042803-5.5874e-05i,0.00020279-0.00019187i,0.00064143+0.00031966i,0.00088067+0.00080537i,0.00080945+6.5623e-05i,0.00017553-0.0008543i,0.0001705-0.00067164i,0.00093757-0.00063522i,0.0018169-0.00011463i,0.0012638+0.00043217i,-0.00017865-0.00010493i,-0.0012415-0.0001413i,-0.0013181-8.7647e-05i,-0.00076391-0.00045509i,-0.00039931-0.00085721i
0.0032546+0.00096447i,0.0024999+0.00071547i,0.0017032+0.00063172i,0.0022941+0.0010825i,0.0014586+0.00040314i,-7.2273e-06-0.00091849i,-0.00056312-0.0010876i,-0.00024451-0.00027939i,0.00051946+0.0010323i,0.00065131+0.0009385i,0.00064568+0.00060966i,0.00072333-5.0198e-05i,0.00042209-0.00099564i,-0.00019757-0.00050189i,-0.00041111+0.00019535i,-0.00045481-0.00023863i,-0.0010181-0.00054078i,-0.0012747-0.00048238i,-0.00034775-0.00053797i,0.00043821-0.00065977i,0.00089766-0.00046904i,0.00047711-0.0001469i,-0.00010717-0.00058692i
-0.00081142+0.00049556i,-0.0016224-0.0004183i,-0.00091312-0.00054019i,0.0010644-0.0011385i,0.0018197-0.0021707i,0.00029909-0.002358i,-0.00074291-0.001871i,-0.00073124-0.0014792i,-0.0012895-0.00073718i,-0.00048335-0.0003024i,0.0011691+0.00042i,0.0010222+0.0009797i,0.00026464+0.00078005i,-0.001218-1.9628e-05i,-0.0020846+3.7555e-05i,-0.00078276+0.0013999i,-0.00022717+0.0014669i,-0.00083109+0.00056912i,-0.00031733+0.00073249i,0.0006616+0.00076841i,0.00030795+0.00032238i,-0.0005536-0.00017352i,-0.00046708-0.00065855i
0.0028365-0.00091399i,0.0020341-0.00076662i,0.002373-0.00098933i,0.0033096-0.0014663i,0.0033428-0.0023354i,0.0014944-0.0018664i,-0.00086593+2.1183e-05i,-0.0014089+0.0005749i,-0.00072147+0.00010243i,-0.00028017-0.00050104i,-8.4631e-06-0.00091272i,0.00031343-0.000706i,0.00040729-4.8191e-05i,0.00052225-0.00025016i,0.00089128+2.3756e-05i,0.00063996+0.0007423i,-0.00047256+0.001334i,-0.00073097+0.0013596i,-0.00053385+0.00067351i,-0.0007983-5.2967e-05i,-0.00065342+0.00025085i,-6.8777e-05+0.00072379i,0.0001983-7.0871e-05i
-0.0016087+0.00049767i,-0.0012736+0.0010382i,-0.00046134+0.0014523i,0.001384+0.0019858i,0.0018903+0.0014573i,0.0012644+0.00033135i,0.00029825+0.00021886i,-4.8169e-05+0.00033603i,-0.00028886+0.00055206i,-0.00048691+0.00089595i,1.917e-05+0.0010804i,0.00044285+0.00099572i,0.0002237+0.00058214i,-0.00011149+0.00033845i,-0.0002692+0.00027672i,-0.0010887-0.00010656i,-0.0014262-3.4567e-05i,2.6847e-05+0.0004466i,0.0010456+0.00072529i,0.00039254+0.00096042i,4.0912e-05+0.0008695i,0.00041528+0.00089463i,0.0001624+0.00026141i
-0.0015319-0.0019588i,-0.0024849-0.00050236i,-0.0029574+0.00069598i,-0.0011963+0.00021979i,0.00010812-0.00065812i,-0.00013972-0.0006813i,-0.0007929-0.0006682i,-0.0011806-0.00044481i,-0.0024103+0.0002366i,-0.0020944+0.00063163i,-0.00071038-7.6051e-05i,-0.00013268-0.00090633i,0.00074098-0.00013933i,0.00085066+0.0008553i,0.00040623+0.00094162i,0.0003127+0.00037656i,0.00074713-0.00057224i,0.00063672-0.00061034i,4.2814e-05+0.00015103i,0.00032824+9.1673e-06i,0.0004195-0.00035963i,-0.00074662-0.00044367i,-0.00055023-0.00030355i
0.00083131-0.0013925i,0.00092559-0.0020746i,0.0011584-0.0010982i,0.0015867-0.00038797i,0.001729-0.0014762i,0.0006324-0.0013984i,-0.00083957-0.00062246i,-0.0014419-0.00020071i,-0.0014879+0.0008165i,-0.00086472+0.0010483i,0.00011029+0.00045573i,0.00036518+8.8905e-05i,-0.00050055+0.00033562i,-0.00070367+0.00010533i,-0.00052652-0.00025336i,-0.00042977+0.00029295i,-0.00060488+0.00036964i,-0.00039696+6.3492e-05i,0.00027652-7.1456e-05i,0.00040901-0.000527i,-2.7737e-06-0.00088507i,-0.00045527-0.00089297i,0.00016005-0.00033261i
-0.0012364-0.00087639i,-0.0028035-0.00040619i,-0.001784-0.00056889i,0.00083393-0.00099233i,0.0017972-0.0012507i,0.0004397-0.0010437i,-0.00091523+0.00014968i,-0.0012023+0.00069514i,-0.0014229+0.00046608i,-0.00089127+0.00084076i,-0.00018696+0.0010132i,0.00025778+0.00020724i,0.00050007-0.00052505i,0.00046275+5.2136e-05i,0.00021715+0.00049749i,0.00014815+0.00052954i,6.7933e-05+0.00074949i,-0.00092274+0.00013987i,-0.0011952-0.00074208i,-0.0001681-0.0010923i,0.00048426-0.00040499i,3.7149e-05-0.00017252i,-0.0003609-0.00050739i
0.0026025+0.0013758i,0.0026289+0.000534i,0.0020161+0.00092146i,0.0024085+0.0013884i,0.0023037+0.00024164i,0.00039501-0.0014747i,-7.0798e-05-0.0014742i,-0.00033208-1.257e-05i,-0.00094743+0.00093253i,-0.00086436+0.0011517i,-0.00035325+0.00017833i,0.00067862-0.00078655i,0.0016514-0.00088106i,0.0013566-0.0006743i,0.00096251-0.00070389i,0.0002729-0.00034447i,-0.00017492+0.00088722i,0.00015957+0.0012643i,-5.4531e-05+0.00041189i,-0.00043666-0.00019308i,-3.7873e-05+3.5395e-05i,0.00042096+0.00017625i,-0.00036065+0.00024733i
-0.0011697-0.0013822i,-0.00075986-0.0022195i,0.00049392-0.0016957i,0.0026717-0.00075065i,0.0040171-0.00069069i,0.0019945-0.00077488i,0.00030115-0.00081296i,-0.00028997-0.0004487i,-0.0013567+2.7217e-05i,-0.00097265+0.0007824i,0.00068558+0.00051902i,0.00088595-0.00017572i,0.0011561-0.00026806i,0.0010441+0.00045442i,0.00044449+0.00053247i,0.00012654-0.00010708i,-0.0004485-0.00027193i,-0.00049146-0.00035389i,-0.00015263-0.00073537i,0.00041616-0.00087474i,0.00041431-0.00036563i,-0.00019729+1.9918e-05i,-0.00076111-0.00033471i
