-0.0011587+0.0021646i,-0.00046808+0.00048874i,-0.0012099-0.00017436i,-0.0015942-0.0010333i,-0.001446+0.00031382i,-0.0010111+0.0014893i,-0.00031839+0.0018113i,0.00064245+0.0018104i,0.00080404+0.00092977i,0.0008613+8.5183e-05i,0.00070527-0.0001242i,0.00015925-0.00058506i,-0.00026397-0.00050155i,-0.00022677-0.00087518i,0.00059519-0.0017136i,0.00079152-0.0014535i,0.00035218-6.3389e-05i,0.00040882+0.00014442i,0.00091853-0.0013796i,0.0009588-0.0011191i,0.00044992-1.4096e-05i,0.00027447-4.1435e-05i,-0.00047291-0.0002727i
0.0010234+0.0024586i,0.0015743+0.0010059i,0.0027+3.1101e-05i,0.0017375-0.00028021i,0.00064999-0.00030234i,0.00078293-3.8e-05i,0.00070259+0.0007092i,0.00037283+0.00087515i,0.00040223+0.00032721i,0.00069848-6.1003e-05i,0.0001303-0.00032265i,-0.0007103-0.00083939i,-0.00035084-0.00050674i,-0.00046952-0.00054538i,-0.0012094-0.0011771i,-0.00068042-0.0016819i,-0.00052594-0.001657i,-0.00057984-0.001173i,-0.00028252-0.00082414i,3.1629e-05-0.00017755i,0.0012108+7.4022e-05i,0.0021668-0.00017092i,0.0010969-0.00032067i
0.0017506+0.0013448i,0.0017986+0.00068015i,0.001622-3.912e-06i,-2.9802e-05-0.00037943i,-0.001253-0.00073224i,-0.0015945-0.000985i,-0.0012016-0.00059453i,0.00034982+7.889e-05i,0.0011506-0.00073352i,0.00073803-0.0012772i,-0.00030785-0.00039203i,-0.00060845+0.00083335i,-1.8899e-05+0.00143i,-0.0001149+0.0011928i,2.0773e-05+0.00014528i,-0.00012709-5.5918e-05i,-0.00011049-0.00048047i,0.0003305-0.0008985i,-0.00017908-0.00045445i,-0.00056431-0.00041309i,-0.00025272-0.0006287i,0.00042525-0.0002685i,0.00030714+3.7941e-05i
0.00011506+0.00069291i,-0.00054819+0.0011719i,-0.00072558+0.00065728i,-0.00019277-0.00010852i,4.9454e-05-0.00029365i,0.00032127+0.00052141i,0.00083326+0.00075951i,0.00076811+0.00053276i,0.00026335+0.00066415i,9.1266e-05+0.00062944i,0.00054649+0.00022736i,0.00017025-0.00020029i,-0.00037967-0.00037545i,0.0003891+0.0002229i,6.2933e-05+0.00086842i,-0.00037204-6.6183e-05i,0.00019836-0.00059071i,-0.00026938-0.00082982i,-1.2304e-05-0.00043818i,0.00082751+2.8311e-05i,0.00080291-0.00056055i,0.00055174-0.00074694i,0.00043231-0.00070078i
-0.0010264-0.00067317i,-0.00032587+0.00046032i,0.00013458+0.0010599i,7.116e-05+0.0009147i,-0.00035822+0.0010392i,-0.00018683+0.00084904i,4.7949e-05+0.0012643i,1.2505e-05+0.0012687i,0.00017671+0.00046386i,0.00049043+0.00026903i,0.00092986+0.00031363i,0.0010301+0.00047308i,0.00075601-0.00013464i,0.0010881-0.0010979i,0.0013527-0.0014567i,0.00094005-0.00069669i,0.00051622-0.00024516i,0.0004243+9.574e-06i,-0.00014251+0.0007982i,-0.00069139+0.00082886i,-0.0007621+0.00040747i,-0.00075867+0.00031112i,-0.0011222+0.00011269i
0.0010802+0.00020498i,0.00043609+0.00031826i,-5.0758e-05-8.4241e-05i,-5.5978e-05-0.0007268i,0.00032303-0.00087497i,0.00013754-0.00039295i,-2.0628e-05+0.0009034i,0.00080792+0.00098333i,0.0007997+0.00015375i,-0.00025215-0.00049924i,-0.0012366-0.00097568i,-0.00084178+8.0941e-05i,0.00011375+0.0013382i,-4.6184e-05+0.0010839i,-0.00078599+0.0005631i,-0.0014239+0.00032804i,-0.0012788+0.00029348i,0.00021828+0.00047435i,0.00033589+0.00058773i,-0.00093278+0.00066825i,-0.00082846+0.00048205i,0.0002498+0.00011231i,-0.0003042-0.00013239i
0.0019371+3.0997e-05i,0.00040712-0.00076941i,-7.2315e-05-0.0011192i,-0.0001122-0.00027375i,-0.00017778+0.00068692i,0.00045501+0.0007762i,0.00040433+0.00043038i,0.00034081+0.00027782i,0.00017586+0.00033088i,0.00029754-0.00031047i,0.00020519-0.00061075i,4.5839e-06-0.0004782i,-1.0352e-05-0.00016874i,0.0001302+0.00032247i,-0.00010352+0.00070396i,-0.00058191+0.00037438i,-0.00045817+0.00031069i,-0.00035922+2.9046e-05i,0.00012825-0.0002616i,-0.00015016+0.00016574i,-0.00062433+0.0001372i,-0.00027529+8.7459e-05i,0.00015322+4.007e-05i
0.00019761+0.0010422i,0.00052547+0.00022512i,0.00037868-0.00080563i,0.00021961-0.00059664i,-0.00039198+6.3984e-05i,-0.0009752+0.00031737i,-0.0011715+0.0010171i,-0.00084672+0.0014435i,2.9815e-05+0.00054379i,0.00057173-0.00070723i,-0.0001434-0.00029804i,-0.0011176+4.0756e-05i,-0.0012971-0.00032473i,-0.0010972-0.0003098i,-0.00013416+0.00031112i,0.00040174+0.00030968i,-0.00017122-5.8925e-05i,-7.163e-05+0.00012938i,0.00024365+0.00059036i,-0.0004076+0.00065663i,-0.00048582-0.00032326i,-0.00051738-0.00067178i,-0.00043597+0.00014008i
-0.001261+0.00082805i,0.00097681+0.0004761i,0.0014967+0.00024684i,0.0015831-0.00050969i,0.0011387-0.00043334i,-0.00016541+0.00044789i,-0.00074946+0.00050113i,-0.00061513+0.00061303i,-6.9953e-05+0.00067724i,0.00055065+0.00014006i,0.00040089+6.9416e-05i,0.00028488+0.00010032i,7.9976e-05-0.0010141i,-0.00063804-0.0017244i,-0.00080233-0.0015598i,4.6439e-07-0.0016206i,-3.6695e-05-0.0010282i,-0.00077951-0.00083461i,-0.00086602-0.00078208i,-0.00062027-0.00030136i,-0.00010719+2.7051e-05i,1.6389e-05-0.00038168i,1.8021e-05-0.00040806i
0.0010005-0.00016309i,0.0016564+0.00033726i,0.0010732-7.2533e-05i,-0.00032153-1.1658e-06i,-0.00071027+0.00034887i,-0.00031929+0.00045748i,-4.8312e-05+0.0012336i,-0.00014634+0.0015439i,-6.6558e-05+0.00035284i,-0.00048551+0.00037173i,-0.00117+0.0013308i,-0.0010777+0.00058514i,-0.0005218+6.0506e-05i,-0.00027297-0.00032961i,-0.00027096-0.00066628i,2.9854e-05-0.00056492i,-0.00046794-0.00040365i,-0.0012233+0.00010493i,-0.00037739+0.00036614i,0.000344+0.00012711i,0.00046043+6.6594e-05i,0.00013478+0.00024071i,-0.00051756-0.0004092i
-6.2374e-05-0.0005077i,-0.00099738+0.00063569i,-0.00098077+0.0010623i,-1.1395e-06+0.00034955i,8.2809e-05-0.00011027i,-0.00054419+9.1714e-05i,-0.0013988+0.00018711i,-0.0010431-3.2368e-05i,0.00045581+0.00036043i,0.00057787+6.4799e-05i,-0.00020732-0.00061042i,-0.0002154-0.00077844i,0.00026081-0.00083235i,1.8981e-05-0.0001905i,-0.00065882-0.00097873i,-0.00050453-0.0015034i,-0.00043734-0.00067035i,-0.00037003-0.00045237i,-0.00025136-0.00036052i,-0.00013893-0.00013524i,0.00017568+0.00047748i,0.0002801+6.9814e-05i,0.0001004-0.00040226i
