-0.001813+0.0011965i,-0.0023167+0.0025677i,-0.0028317+0.0031545i,-0.0017412+0.0034326i,-0.0012689+0.0041723i,-0.0008988+0.0039327i,-0.00059602+0.0028312i,5.0823e-05+0.002234i,0.00090996+0.0020998i,0.0017604+0.0011544i,0.0019837+0.00030092i,0.0011019+4.8137e-05i,0.00021195-4.5223e-05i,-3.4559e-05+0.00035855i,0.00045512+0.00047087i,0.00033793+0.00035446i,0.00026636+0.00029401i,0.000588+0.00011892i,0.00020352+7.5104e-05i,-0.00011986+3.2582e-06i,0.00015272+0.00039999i,-1.8297e-05+8.1181e-05i,-0.00041214-0.00061684i
0.0010267+0.00088574i,0.00054536-0.0010711i,-0.00074025-0.0020198i,-0.0019736-0.00082966i,-0.0027807-0.00041006i,-0.0020427+0.00031847i,-0.0002266+0.0011066i,0.00041854+0.0012152i,0.00057249+0.001119i,0.00037783+0.00086514i,-0.00010084+0.00082342i,0.00025657+0.00038899i,0.00072035-0.00065162i,0.0008557-0.00032285i,0.00087506+0.00074856i,0.0013928+0.00014046i,0.001429-0.00079035i,-0.00019126-0.0015283i,-0.00073053-0.00055364i,0.00041913+0.00059942i,0.00076882+2.3766e-05i,-1.5999e-05-0.00097211i,-0.00045728-0.00079718i
0.0021966+0.00026269i,0.002328-0.00040823i,0.00080672-0.0010054i,-0.00015626-0.00025248i,-0.00040425+0.0006756i,0.00049029+0.0011944i,0.0015709+0.00087246i,0.0014817+3.0464e-05i,0.00047705+0.00016387i,-0.00045536+0.00045978i,-0.00033783-0.00039894i,0.00040632-0.00054308i,0.00012128+0.00036764i,-0.0005412+0.00061563i,-9.6872e-05-3.6786e-05i,9.64e-05-0.00022658i,-4.7689e-06-0.00053778i,0.00039079-0.00098226i,0.0007012-0.00060885i,6.6693e-05-0.00021952i,-0.00069849-0.00073641i,-0.00039588-0.00058602i,-0.00036678+4.1213e-05i
-0.0013521-0.000126i,-9.6853e-05-7.0016e-05i,-5.5553e-05+4.1416e-05i,-0.00057727+0.0011831i,-0.00065588+0.0019893i,0.00013016+0.0019211i,0.00057431+0.0011408i,0.00121+0.00033246i,0.0013206+4.5624e-05i,0.0011392+0.00011387i,0.00059133+0.00034662i,-0.00043141+0.0005111i,-0.00069289+0.00091093i,-0.00057481+0.00077907i,-0.00036399-8.852e-05i,-0.00013464-0.00036943i,-0.00063953+0.0005252i,-0.0015772+9.7356e-06i,-0.0015972-0.00011505i,-0.00054458+0.00079674i,0.00013068+0.00073329i,0.00038837-4.2323e-05i,0.00018395+7.1543e-05i
0.00067656-0.00056812i,0.00055399-0.00064281i,0.00041174-0.00043476i,-0.00033647+5.2418e-05i,-0.0013799+0.00052621i,-0.0014571+0.0001551i,-0.00050699+4.9704e-05i,-4.4928e-05+0.00022661i,-9.1082e-05-0.00036438i,0.00011369-0.00025867i,-7.8555e-05+0.00016483i,-0.00012323+0.00017207i,-0.00018189+2.7223e-05i,-0.00038258+9.2055e-05i,-0.00065647+0.00016097i,-0.0001405-0.00011678i,0.00046954-0.00048816i,0.00020789-0.00033002i,0.00019291+0.00029241i,0.00054522+0.00079976i,0.00085583+0.0005116i,0.00015421+0.00016023i,-0.00088209+0.00036351i
0.00040963-0.00019416i,-0.00027496-6.8788e-05i,8.6318e-05+0.00032867i,0.00014438+0.00099588i,-0.00026231+0.0013817i,-0.00070209+0.0012919i,-0.00027253+0.0010815i,0.00045053+0.0005346i,1.1159e-05-0.00067135i,-0.00046048-0.00063168i,-0.00019782+0.00060332i,-0.00032492+0.0012281i,-0.0010201+0.0010238i,-0.0010276+0.00032605i,-0.0001291+6.2852e-05i,0.00080177-0.00031539i,0.00090436-0.00064931i,-0.00044996-4.9552e-05i,-0.00093122-7.2972e-06i,-0.00056582-0.0004711i,-0.00053503-0.0011893i,-0.0010313-0.00065345i,-0.000772+0.00030819i
0.00071441+0.0017604i,0.0010417+0.001245i,0.0017364+0.0016345i,0.0021429+0.0017733i,0.0017346+0.0017571i,0.00041978+0.00083188i,-0.00090186+0.00020355i,-0.0013363+0.00050136i,-0.00079659+0.00058996i,-0.00034608+4.2914e-05i,0.00034728-0.00046285i,0.00029813-0.00043987i,-0.00095494-0.00011297i,-0.0014956+0.00067155i,-0.00083289+0.00086748i,0.00025923+0.00050177i,0.0003988+0.00013849i,0.00018681-0.00014126i,0.00018923-0.00045182i,0.00013253-0.00064403i,-0.00052048-0.00068538i,-0.001018-0.00054983i,-0.00049328-0.00010082i
0.00023862+0.00011398i,-0.00042352-0.00053458i,-0.0010078-2.6236e-05i,-0.0013965+0.001283i,-0.00076754+0.0017426i,-0.00014631+0.0018942i,-0.00014122+0.0017785i,-9.6777e-05+0.00076518i,0.00027959+0.00011919i,0.001332+0.00046608i,0.0012349+0.00048473i,0.00037016+8.2994e-05i,0.00012769-0.00037678i,0.00017595-0.00050071i,5.7534e-05-0.00052659i,-0.00026456-0.00024132i,0.00033827-5.4496e-05i,0.00021341-0.00069305i,-0.00079506+0.00011953i,-0.00052805+0.0018263i,-0.00043537+0.0018588i,-0.00023647+0.00089652i,-0.00016013+0.00069725i
0.00029188+0.00042086i,-0.00010279+0.0013027i,0.0001301+0.0025914i,2.4788e-05+0.0029526i,6.6898e-05+0.0023092i,0.00040592+0.0017374i,0.00067339+0.0007399i,0.0015728-9.2607e-05i,0.0018111-0.00024705i,0.00033478-0.00067823i,-5.4213e-05-0.00055208i,0.00036333-0.00017221i,6.977e-05-0.00018604i,-2.8913e-05-6.451e-05i,0.00020901-0.0001763i,0.00096712-0.00025837i,0.0012755+0.00016853i,-0.00023585+0.00024937i,-0.0013473-0.00051434i,-0.00057233-0.00064833i,-0.00022369+0.00062812i,0.0003269+0.001352i,0.00012589+0.00049895i
0.00032904-0.00074428i,-3.1812e-05-0.00085369i,-0.0010867-0.00019344i,-0.0014588-0.00015089i,-7.0703e-05+0.00066254i,0.001173+0.0010306i,0.0018616-0.00012837i,0.0026773-0.00083756i,0.0022166-0.00071369i,0.0010406-0.00014436i,-8.8332e-05+0.00045167i,-0.0010563+0.00056806i,-0.0007872+0.00027911i,5.1989e-05-0.00012434i,7.8691e-05-0.00031849i,-7.4416e-05-0.00057425i,-0.00016867-0.00047818i,-0.00014531+0.00017492i,0.0002059+0.00079571i,0.0005392+0.00083142i,0.00071276+0.00057926i,7.0286e-05+0.00012623i,-0.00046474+0.00019035i
-7.9531e-05-0.0012017i,-0.00093349-0.00028607i,-0.0013078+0.0005068i,-0.0015737+0.00062031i,-0.0020976+6.5607e-05i,-0.0014659-0.00047492i,-0.00043878-0.00036194i,-4.4412e-05-0.00011682i,0.00019313+8.977e-05i,0.00064026-0.00010046i,0.0002928-0.00025147i,3.1961e-05+2.1981e-05i,0.00046786+3.7607e-05i,0.00025581+2.8402e-05i,1.7105e-05-0.00039517i,0.00017666-0.001022i,7.9357e-05-0.00052779i,-0.00033295-5.4118e-05i,-0.00012187+0.00017679i,-0.00017869+0.00024661i,-0.00035324-0.00042112i,4.2379e-05-0.00029058i,0.00061893+0.000306i
0.0018964-0.0016339i,0.0012271-0.0010637i,0.000292+5.1352e-05i,-0.00050005+0.00047429i,-0.0012245+0.000201i,-0.0016715+0.00051916i,-0.0018116+0.00038891i,-0.0014024+5.6428e-05i,-0.00047934+0.00053283i,0.00017342+0.0010271i,2.1696e-05+0.0010917i,0.00066327+0.00099789i,0.00095237+0.00052605i,0.00036409+0.00016208i,0.00058365-0.00039836i,0.0004084-0.00030947i,-0.00030404-0.00028103i,-0.00027123-0.0006093i,-0.00010487-0.0006162i,0.00015132-0.00027159i,0.00055808-3.3149e-05i,0.00037028-0.00056727i,0.00011605-0.00026068i
0.0013818-0.001924i,0.00095388-0.0025641i,0.00041713-0.0029104i,-0.00041071-0.0019729i,-0.0014449+0.00050688i,-0.0017853+0.0028081i,-0.00042559+0.0027206i,0.00049639+0.0014035i,0.00029837+0.00083914i,0.00012529+0.00089781i,-0.00011185+0.00064262i,0.00031959+0.00022798i,0.00018052-0.00015499i,0.0003365+9.7384e-05i,0.00031007-2.5278e-05i,0.00017287-0.001083i,0.00051654-0.0010514i,0.00019345-0.00031912i,-0.00022312-2.0891e-05i,-0.00019901-4.6455e-05i,0.00035238-0.00010273i,-0.0001304-0.00031252i,-0.00047613-0.00079739i
0.001131+0.00049152i,0.0015632-4.1916e-05i,0.0016688+0.00010216i,0.0001423+0.00096311i,-0.0013143+0.0015465i,-0.00093694+0.0016896i,2.1819e-05+0.0018275i,0.00049075+0.0012408i,0.00064222+0.00057094i,0.00063674+0.00079702i,0.0005318+0.00067902i,0.00053007-0.00047684i,0.00059617-6.3461e-05i,0.00039615+0.00083065i,0.00050517+0.00039634i,0.00033436-0.0009096i,-0.00021706-0.0014825i,-0.00047292-0.00066218i,-2.8384e-05+0.0001784i,0.00018676-0.00025674i,-0.00063741-0.00091837i,-0.0010688-0.00044416i,-0.00087924+0.00015045i
0.0019153+0.00021928i,0.0017248-0.00092428i,0.0023694-0.0014158i,0.0011632-0.0010528i,3.3059e-06-0.0005341i,-0.00017103+0.00085142i,0.00060522+0.0017751i,0.0015667+0.0009709i,0.0017647+0.00010879i,0.0014395-0.00016449i,0.00058148+0.00023045i,-0.00010228+0.00011081i,-0.00048441-0.00011057i,-0.00019479+0.00056975i,0.00067425+0.00063539i,0.00040341-0.00010497i,-0.00067797-0.00024095i,-0.0011729-0.00018173i,-0.00050177-0.00024971i,-7.8964e-06-0.00029832i,-0.00018391+0.00030923i,-0.00011698+0.00057185i,0.00053623+0.00023351i
0.00076897-0.00037893i,0.00043357-0.00071408i,-0.00053924-0.00060156i,-0.00079279+0.00023223i,0.00034952+0.00056225i,0.00048797+0.00019513i,8.111e-05-0.0005482i,0.00045432-0.0010197i,0.00087158-0.00099896i,0.00058254-0.0011597i,0.00047425-0.00099043i,0.00055994-0.00061841i,0.000654-0.00059916i,0.0007003+0.00058272i,0.00069667+0.00102i,0.00054764+0.00018812i,6.4409e-05+0.00015938i,-0.00025254+1.6105e-05i,-0.00032715+0.00017314i,0.00014945+0.00053903i,0.00056063+1.8607e-05i,0.00043299-0.0004623i,-0.00015613-0.0003211i
