0.001298-0.00079607i,0.00039457-0.0016245i,-0.0003421-0.0023434i,-0.00060507-0.0012985i,-0.00070856+0.00055332i,-0.0016352+0.0010566i,-0.0021815+0.0010579i,-0.0006945+0.0015181i,0.0010747+0.0012507i,0.00139-0.00017382i,0.00080211-0.0009866i,-0.00079675-0.00088583i,-0.0011194-0.0012417i,-3.282e-05-0.0010273i,0.0004342-0.00068101i,0.00047877-0.00053555i,0.00039598+4.1342e-05i,-0.00011367-0.00038521i,0.000257-0.0011743i,4.8854e-05-0.00091597i,-0.00045935-0.0005839i,-0.00012376-0.00067991i,-0.00033478-0.00042964i
0.00044945-0.00016648i,0.0015183+0.00098183i,0.00065233+0.00055787i,3.2858e-05-0.00030783i,0.00042272-0.0010402i,0.00068015-0.0018714i,0.00082961-0.0014448i,0.00085516-0.0002259i,0.00066353-2.1293e-05i,0.00039788+0.00052898i,-0.00044307+0.00033703i,-0.00060779-0.00037871i,0.00028372-4.2494e-05i,0.00054523+0.0005473i,7.5665e-05+0.00053584i,-0.00028659+0.00019445i,-0.00034659+0.00040973i,2.3204e-05+0.00055715i,0.00035126+0.00044832i,0.00048501+0.00053527i,0.00012013-0.00044662i,-0.00051741-0.0011995i,-0.00091488-0.00010592i
0.0021104+0.00059886i,0.0022585+0.0014937i,0.0018455+0.0019949i,0.0014072+0.0010839i,0.00094428-0.00064699i,0.00044781-0.0014709i,0.00035468-0.0011057i,0.00039762-9.5752e-05i,0.00089854-0.00011078i,0.0010657-0.00017342i,0.00062547+0.00013535i,2.915e-06-0.00068913i,-8.1771e-05-0.0011232i,0.00042883-0.00023254i,0.00075416+0.00079254i,0.00046313+0.00057097i,0.00018825+0.00035087i,0.00038604+0.0010138i,-0.00027559+0.0010136i,-0.00025379+0.00011612i,2.7879e-05-0.0005214i,-4.4642e-05-0.0010506i,0.00021139-0.00049858i
-0.0011567+0.0020192i,-0.00047631+0.0021919i,-0.00015916+0.0027442i,0.0014706+0.0017829i,0.0028673+0.00070812i,0.002275+0.00028439i,0.00030081+0.0002801i,-0.00019829+0.00057869i,0.00016768+0.00083842i,9.437e-05+0.00089123i,-2.7053e-05+0.0004509i,0.00019325+0.00064032i,0.00071382+0.00093928i,0.00057725+0.00039255i,0.00037346+9.869e-05i,4.7531e-05+0.00042722i,0.00069958+0.00038344i,0.00042882-2.4493e-05i,-0.00030195-0.00014496i,-7.6721e-05-4.3931e-05i,-9.6171e-05-0.00063639i,0.00011102-0.00060536i,0.00024133+8.8947e-05i
0.00050173-0.00074581i,0.0001744-0.00059578i,0.00061934-0.00085948i,0.0012574+7.2597e-06i,0.0017962+0.00039412i,0.0013401-9.2306e-05i,0.00021102+0.000146i,-2.5609e-05+0.00050756i,0.00033399+0.00013989i,-8.6748e-06-0.00041633i,-0.00029166-0.0002418i,-0.00028139+3.8979e-05i,-3.817e-05-0.00019382i,0.00064097-0.00049965i,-0.00012165-0.00046983i,-0.00086583-0.00047215i,0.00011095-9.9274e-05i,0.00026039+4.845e-05i,-0.00084646-0.00047964i,-0.0015008-0.00014441i,-0.0010847-0.00028017i,-0.0010408-0.00047838i,-0.00071835-0.00019217i
-0.002517+0.0022888i,-0.0029508+0.0026929i,-0.0025289+0.0034594i,-0.00047896+0.0021935i,0.00050819+0.0010852i,0.00057229-3.0748e-05i,-8.7199e-05-0.00090915i,-0.00037356-0.00062469i,-0.0003376+0.00040416i,-0.0011075+0.0010758i,-0.00061764+0.00088781i,-0.0001533-9.9169e-06i,0.00023514+0.00027118i,0.00082988+0.00035904i,0.00069505+0.00032123i,0.0010151-1.6422e-05i,0.00099144+0.00011821i,0.00015932-4.2847e-05i,-0.00019893-0.00073513i,-0.00016221-0.001289i,-0.00013669-0.0010379i,0.00016674-0.00026688i,7.982e-05-0.00053979i
-0.0028272-0.0018545i,-0.0029281-0.0018531i,-0.0021931-0.00072864i,-0.0011264+0.00053226i,0.00079604+0.00025416i,0.0022966-0.00031569i,0.0018024-0.00083749i,0.00055943-6.9933e-05i,-0.00032632+0.00040866i,-9.4737e-05+0.00038786i,1.747e-05+0.00085366i,0.00030304+0.0012961i,0.00061873+0.0015953i,0.00028764+0.0014033i,-0.00025546+0.00065651i,-0.00014978+0.00043112i,0.0014037+0.0011117i,0.0019298+0.00062521i,0.00048151+0.00039279i,-1.6348e-05+0.00041851i,0.00046262+0.00023247i,0.0003969+0.00059058i,9.1952e-05+0.001001i
0.0015128-0.00092205i,0.0015254-0.0010818i,0.0009273-0.00065619i,-2.2428e-05+7.7205e-05i,0.00013499-0.00026742i,0.0012686-0.00043964i,0.00085038-3.6043e-05i,-8.3273e-05+7.1053e-05i,-0.00037498+0.00042964i,-0.00070148+0.0005567i,-0.00050612+0.00057875i,2.5815e-05+0.00038005i,0.00021507+0.00023719i,0.00051675+0.00057571i,0.0002186+0.00015278i,-0.00024888-0.0003836i,-0.00011939-0.00090257i,-0.00067776-0.0010878i,-0.00090255-0.00092175i,-0.00051726-0.00074786i,2.0524e-05+0.00033914i,-0.00020815+0.00069057i,-0.0014056+0.00026673i
-0.00049353+0.0015421i,-6.7433e-05+0.0013405i,-0.00078946+0.00019471i,-0.00097507+0.000831i,9.7259e-05+0.0010038i,0.00043159+0.00022384i,0.00074597+0.00019747i,0.00061011+0.00065688i,-0.00017348+0.00019654i,3.7115e-05-0.00052725i,-7.3302e-05-0.00055006i,-0.0007477-0.00018494i,-0.00079895-8.8789e-05i,8.793e-05-0.00022202i,0.00045617-3.9914e-05i,5.1577e-05-8.3508e-05i,4.0071e-05-0.00029324i,0.00028891-0.00012352i,0.0002276-0.00021983i,-0.00011747-0.00031253i,-9.5107e-05-0.00057991i,0.00014404-0.00041631i,-0.00023481-3.776e-05i
-0.00116+0.00072934i,-0.00081991-0.00016863i,1.6158e-05+7.8914e-05i,-2.9634e-05+0.0010259i,0.00038078+0.0012379i,0.0011076+0.00099029i,0.00038262+0.00069256i,-0.00014878+0.00056478i,-2.495e-06+0.00081119i,2.465e-05+0.00028774i,-0.00019654+0.00012733i,-0.00047808+0.00096533i,-0.00029343+0.00051625i,0.00014933+0.00071081i,0.00065388+0.0012215i,0.00059081+0.00084181i,0.00098199+0.00084967i,0.0016137+0.00039847i,0.0011231+3.8937e-06i,0.00068421-0.00033661i,0.0003862-0.00077745i,-7.7965e-05-0.00056156i,-0.00029189-0.0002414i
-0.001745+0.00099548i,-0.002536+0.00059069i,-0.0017011-0.00080707i,-0.00056701-0.00093452i,0.00054968-0.00018856i,0.001284-0.00016301i,0.00074226-1.302e-05i,0.00046919+0.00090451i,-0.00024629+0.001069i,-0.00057519+0.00067828i,-0.00054939+0.0004794i,-0.00010228+0.00050187i,0.00045469+0.00079769i,0.00027706+0.00016593i,2.499e-05-0.00039148i,2.5845e-05-0.00010909i,0.0001371+0.00020902i,0.00027532+0.00019393i,-0.00010613-0.00038502i,-0.00018856-0.00067441i,-2.6392e-05-0.00019049i,-0.00024684+0.00011514i,-0.00058747+0.00018969i
0.0018865-0.0021656i,0.0024738-0.0015604i,0.0012568-0.0020298i,0.00042259-0.0020461i,0.0009214-0.0012253i,0.00147-0.00070647i,0.0011406-0.00014133i,0.0005337-1.519e-05i,0.0004398-0.00059057i,0.00048417-0.00053211i,0.00042256-0.00049024i,-0.0002136-0.00045673i,-0.0009073+0.0001886i,-0.0011365+0.00019064i,-0.00088856-0.00021225i,-5.7911e-05-0.00010752i,0.00075906-0.00016949i,0.00017934-0.00074364i,-0.00068085-0.00057593i,-0.00080974+0.00029088i,-0.00085855+0.0002116i,-8.2473e-05+0.00036804i,-7.4247e-05+0.00048339i
0.0013363+0.0001129i,0.00021468+0.00091055i,-0.00045218+0.00068663i,0.00015159+0.0006809i,0.00061135+0.00063028i,0.0010745+4.8717e-05i,0.0011599-0.00018367i,0.00048053-0.00033334i,0.00026427-2.2038e-05i,0.00087683+0.00015425i,0.00077851+0.00026076i,0.00046494+0.00032355i,0.00045544+0.00077497i,0.00078128+0.0016644i,0.0012863+0.0013492i,0.0010033-8.8631e-05i,0.00068319-0.00024319i,0.0005104+0.00018451i,-9.7469e-05+0.00019019i,-6.5376e-05-0.0003734i,0.00019386-0.00042109i,0.00019442+0.00011218i,0.00012499-0.0002225i
0.0028577-0.0017312i,0.0029896-0.00020997i,0.0022844-0.00083538i,0.00082283-0.00089496i,0.00085662+2.0756e-05i,0.00095256+0.00029371i,-0.00042188-0.00054939i,-0.00017599-0.00050799i,0.0012057+0.0004223i,0.00092529+0.00034434i,0.00014599-0.00027287i,0.00050359-0.00049325i,0.00091665-0.00051389i,0.00057889-0.0010424i,2.2431e-05-0.0011018i,0.00015894-0.00039374i,0.00029435-0.00023423i,0.00051425-0.00068827i,0.00061863-0.00053286i,0.00029198+0.00076458i,0.0001829+0.0012511i,-0.00025017-0.00012683i,-0.00031455-0.00098499i
-0.00026186+0.00018617i,-0.0011286+0.00039917i,-0.00049364+0.00091973i,0.00060555+0.0013512i,0.00049845+0.0009096i,0.00029803-0.00019676i,1.4551e-06-0.00053391i,-0.00030271-0.00032516i,5.0774e-05+0.0003191i,0.00039816+0.0004114i,1.0625e-05+0.00036136i,1.8432e-05+0.00051868i,0.00061109+0.00058225i,0.00084723+0.00040455i,0.00030339+0.00035768i,2.9493e-05+0.00013452i,0.00035348-0.00069615i,0.00069615-0.0011983i,0.00053171-0.00045441i,0.00083107-0.00022855i,0.00094428-0.00089347i,0.0003986-0.00067542i,-0.00013046-0.00089519i
-0.0018586-0.00018652i,-0.0014868-0.00035773i,-0.0018791-0.0008362i,-0.0010038-0.00095562i,0.00108-0.0012612i,0.0023058-0.0013598i,0.0022838-0.00011094i,0.0013904+0.00082459i,0.00061537+0.0014202i,-0.00024615+0.0017086i,-0.0002445+0.0012703i,0.00024045+0.00076453i,0.00037812+0.00033058i,0.0001135+0.00061357i,-4.8867e-05+0.00049293i,6.0216e-05+0.00021085i,0.00023299-0.0002832i,-0.0003099-3.6339e-05i,-0.0010262+0.00037953i,-0.00073064+2.2676e-05i,0.00020366-0.0001802i,0.00045776+4.9614e-05i,-9.1526e-05+0.00010568i
0.00020963+0.00054598i,0.00070185-0.00060795i,0.00086429-0.00049208i,0.00073673-6.2281e-05i,0.0011296+0.00089423i,0.0008773+0.0011589i,0.00056753+0.00032571i,-6.5165e-05+0.00014121i,-0.00039198+0.00059412i,0.00024895+0.00071897i,0.00052051+0.00081319i,0.0003935+0.00046995i,0.00062732-0.00025502i,0.00052605-0.00025258i,0.000134+0.00024425i,0.00025249+0.0001375i,0.00077683-9.5631e-05i,0.00035459+0.00023079i,-0.00068653-0.00013997i,-0.00035609-0.00075786i,0.00024865-0.00044297i,0.0001867-0.00012256i,-0.00020362+0.00033202i
0.00084603+0.00031783i,0.0010675-0.00023286i,0.00084285+0.00070379i,0.0012982+0.0014846i,0.0017607+0.0015788i,0.0013685+0.00085527i,0.00093453+0.00033071i,0.00091349+0.00084491i,0.00082114+0.00090009i,0.00028797+0.00019138i,6.583e-05-0.00023983i,-0.00016365-0.00027287i,-0.00026419-3.1703e-05i,5.1316e-05+0.00024196i,6.9963e-05+0.00023569i,-0.00035743+0.00035309i,-0.00031197+0.00048743i,-0.00013972+0.00041916i,0.00022705-0.00031146i,0.00080361-0.0008654i,0.00063665-0.000398i,0.00013647+0.00017353i,-0.00029217+0.00055343i
0.00021217+0.0016843i,-0.00029385+0.0019408i,0.00060571+0.0021735i,0.0012428+0.0012954i,0.00079739-0.00053708i,0.00064258-0.001228i,0.0004323-0.00066686i,0.00030468-0.00040256i,0.00043495-0.00052878i,0.00051534-0.0004601i,0.00034515+0.00042218i,-0.00018796+0.00099907i,-5.5731e-05+0.0011575i,0.00054909+0.0013023i,0.00017781+0.0011721i,0.00028683+0.00032605i,0.00053222-0.00039634i,0.00064603+0.00027067i,0.000906+0.00076979i,0.00046642+0.00055711i,-0.00067656-0.00020333i,-0.00053965-0.00048734i,5.4163e-06+0.00025848i
-0.0020564+0.0024871i,-0.0025652+0.0030054i,-0.0020712+0.0031005i,-5.6391e-05+0.0023383i,0.0011999+0.00074522i,0.002213-0.00049387i,0.002016-4.8208e-07i,0.001402+0.00023751i,0.001337+7.0961e-05i,0.00070691+0.0002473i,-0.00014837+0.00027771i,-0.00059473+0.00069721i,0.00015182+0.00074008i,0.00095248+0.00032489i,0.00039969-0.00042174i,0.00054355-0.00046972i,0.00032077-0.00031928i,3.4965e-06-0.00032741i,0.00048311-0.00057891i,0.00012483-0.0009763i,-0.000469-0.00031738i,-0.00053012-0.00020795i,-0.00055328-0.00081878i
0.00040335+0.00017021i,0.00091593+0.00072378i,0.00076187-0.0005196i,0.00019759-0.00031245i,0.00021937+0.00046167i,0.00073199+5.3798e-05i,0.0013012-0.00056093i,0.00066073-0.00065938i,-0.00010819+0.00022493i,-0.0002752+0.00065i,-0.00049369+0.00029706i,-0.00017934+0.0004002i,0.00032361+4.956e-05i,0.00075898+0.00024307i,0.00047661+0.00057645i,-0.00028076+1.9183e-05i,0.00016858-0.00065647i,0.00035302-0.0010764i,0.00021622-0.0009433i,0.00018697-0.00045493i,0.00055851-0.00039628i,0.00044334-0.00015996i,-0.00011867+0.00027165i
-9.2331e-05+0.00032629i,0.00020845+0.00043418i,0.00022501+0.00036293i,0.00098687+0.00041843i,0.0012416+0.00071537i,-5.7842e-05+4.8778e-05i,-0.00090661-0.00073579i,-0.00083536+0.00038706i,0.00015997+0.0013579i,0.00053462+0.00063462i,3.6115e-05+1.4545e-05i,-0.00046041+0.00023948i,-8.1005e-05+0.00072274i,0.00058032+0.00066188i,0.00040306-7.2388e-05i,0.00022229-0.0008901i,-7.2656e-05-0.001037i,-0.00047672-0.00046063i,-0.00070597-0.00035424i,-0.00058049-0.00018527i,-0.00039078+0.00052741i,-0.00063677+0.00048168i,-0.00045398-4.1915e-05i
0.00035772-0.0003087i,0.00084405-0.0012875i,0.00010933-0.0017081i,-0.00049703-0.0014784i,0.00035429-0.0016276i,0.00085805-0.0011807i,0.00082542-0.00033295i,0.00040762+0.00053901i,-0.00041252+0.00061306i,-0.0005001+0.00018365i,-0.00072081+0.00016695i,-0.0008663+0.00073142i,-0.00036734+0.0010071i,0.00059696+0.00095063i,0.00089096+0.00091516i,0.00052632+0.00061223i,0.00067079+0.00070821i,0.00066023+0.0001456i,0.00032401-0.00046096i,-0.00023727-0.00010999i,-0.00036187-0.00052089i,-1.0958e-05-0.0010551i,-0.00029234-0.00042665i
-0.00021981-0.00028587i,0.00019919+0.00067893i,0.00062603+0.0015403i,0.00073891+0.001284i,0.0005903+0.00038884i,0.0011212-0.00037866i,0.0012726-0.00053303i,0.00067915-9.3302e-06i,0.00085394-0.00014711i,0.0010511-0.00056807i,0.00051544+0.00031878i,0.00031666+0.0005103i,0.00037038+0.00041879i,0.00015883+0.00051174i,0.00017167+0.00066799i,0.0002169+0.00048799i,0.00049423-0.00047408i,0.00012364-0.0012016i,0.00046801-0.00059881i,0.00050899+0.00043552i,0.00017268+0.00085443i,0.00018713+0.00017832i,0.00015804-0.00024016i
0.0051864+0.00094017i,0.005578+3.2578e-05i,0.0061567-1.4183e-05i,0.0045013-0.00057064i,0.002251-0.0008126i,0.00035803-0.00046989i,0.00010169-0.00046567i,0.00081552-0.0003106i,0.00032395-0.00011143i,-0.00076202-0.00066206i,-0.00039142-0.00099225i,4.2768e-05-0.00020252i,2.4658e-05-0.00031617i,-0.00033844-0.00092084i,-0.00058093-0.0011555i,8.5186e-05-0.0011528i,-0.0001023-0.0006657i,-0.00053108-0.00030541i,-0.00080303-0.00052138i,-0.0006926-0.00020609i,-6.4079e-05+0.0004993i,-0.0001086+0.00030978i,-0.0002662+0.00022377i
-0.0010182-0.00037536i,-0.0021535-0.00010493i,-0.0029467-0.00034231i,-0.0014903-0.00011956i,0.00016324+0.00013685i,0.0013188+0.00022485i,0.00071916-7.6824e-06i,-0.00045502+0.0009199i,-0.0007128+0.0011349i,-0.0004221+0.00068525i,0.00016427+0.00067767i,-0.00031039+0.00017759i,-0.0007645+0.00022244i,3.3477e-05+2.6531e-05i,0.00067165-1.7396e-06i,0.00042508+0.00056411i,-0.00035931+0.00030684i,-0.00028385-0.0010398i,0.00080969-0.0011513i,0.00093955+0.00046306i,0.00053237+0.00096037i,0.00027209+0.00061614i,-0.00041718+0.00010783i
-0.0022433+0.00026246i,-0.0033786+0.00058074i,-0.0036817+0.0012977i,-0.0010093+0.0021379i,0.0011006+0.0024839i,0.0019064+0.00089302i,0.0012639-0.00059086i,0.00021038+0.00083946i,-0.00016577+0.0021015i,-0.00034757+0.0012837i,7.0766e-05+0.00031621i,0.0001256+8.3563e-05i,7.7131e-05+0.0005055i,0.00047373+0.00093066i,0.00048375+0.0012596i,0.00021307+0.00041094i,0.00030303-0.00026975i,4.7545e-05-0.00037852i,-0.00066751-0.00093271i,-0.00064282-0.0013047i,-0.0003285-0.0010255i,-0.00058641-0.00047133i,-0.0010455-0.0004228i
-0.0037988-5.1032e-05i,-0.003232-0.00023487i,-0.0041086-0.00063525i,-0.0034431+0.00054941i,-0.0012637+0.0018519i,0.00076616+0.001063i,0.00085616-0.00037448i,-6.4123e-05-0.00013371i,-0.00015215+0.00024433i,-5.7009e-05+0.00047611i,-0.00020246+0.00070416i,0.00022283+0.0012839i,0.00050241+0.0015344i,0.0004301+0.0011001i,0.00056538+0.0009901i,0.00090726+0.00081629i,0.0014842+0.00028388i,0.0015789+0.00042667i,0.0007023+0.00068631i,-0.00011075+0.00029222i,-0.0001364-2.9266e-05i,0.00015338-0.00018841i,0.00070361+0.0001239i
-0.0023159-0.00064108i,-0.001342-0.00015134i,-0.0016225+0.0016668i,-5.7516e-05+0.0025418i,0.0016444+0.0020877i,0.0017509+0.00027789i,0.0009017-0.00046223i,-0.00096514+0.00030466i,-0.001635+7.1364e-05i,-0.00066293-0.00026454i,0.00024862-0.00036624i,0.00049309-0.00025328i,7.8142e-06-0.00036387i,9.5701e-05-0.000124i,0.00089146+0.00029001i,0.00093498+0.00053649i,0.00046452+0.00053792i,0.00034515-0.00019055i,0.00047691-0.00058678i,-2.4366e-05+0.00018948i,-0.0007061+0.00094767i,-6.3216e-05+0.00038273i,0.0012203+2.9579e-05i
0.00059454+0.00031337i,0.0010965+0.00013874i,0.001204+0.00038649i,0.00086943-0.00014689i,0.0007971-0.0016148i,0.00043335-0.0019083i,-8.992e-06-0.0015518i,-0.00017751-0.0014973i,-6.6012e-05-0.00085337i,0.00013189-0.00020891i,-0.00021635-0.00017453i,-0.00014416-0.00037576i,0.00057585-0.0001378i,0.00076724+0.0005313i,0.0010353+0.00075003i,0.00053225+0.00018874i,-0.00010354-1.9688e-05i,0.00014272+0.00031555i,0.00034113+8.8725e-05i,0.00059033-0.00031702i,0.0010974-0.00021456i,0.00062375-0.00027058i,-0.00084435-0.00032517i
-0.0018767-0.00027054i,-0.0021532-0.00093892i,-0.0023756-0.00028515i,-0.0020509+0.0005946i,-0.0010533+0.00074614i,-0.00021542+6.9766e-05i,0.00059019-2.4711e-05i,0.00030375+0.00020296i,-0.00033732-1.0287e-05i,0.00023323+0.00030655i,0.00012909+0.0006421i,-0.00034127+3.6504e-05i,-0.00052155-0.00028867i,-0.00028441+6.9646e-05i,-0.00072624-0.00044035i,-0.00096271-0.00010267i,0.00023884+0.00038184i,0.00047647-0.00017076i,-0.00074339-0.00024933i,-0.00057138-0.0008066i,5.0183e-05-0.00052334i,-0.00032455+0.00050999i,-0.0013892+0.00061087i
-0.0014122-0.0012336i,-0.0016032-0.001161i,-0.00085031-0.0013997i,-4.9046e-05-0.00099669i,3.3124e-05-0.00047676i,-8.2589e-05-0.00034004i,0.00027901+0.00016602i,0.00062206-0.00017287i,0.00016246+0.00016903i,-0.0002938+0.0004413i,-0.00016204-8.6442e-05i,0.00064551+0.00045838i,0.00019808+0.0010806i,-0.00085809+0.00050994i,-0.00036057-0.0001967i,0.0010015-0.00038337i,0.0018389-0.00053214i,0.0017607-0.00041107i,0.001139-0.00030704i,1.8357e-05-0.00033417i,-0.00074131-0.00033319i,-0.00053529-0.00019603i,-0.00064971-0.00029986i
0.00066562-0.0045516i,-7.4504e-05-0.0048086i,-0.00072206-0.0037978i,-0.0003241-0.0017711i,-0.00049926-0.00056674i,9.6117e-05-0.00031054i,0.00019854+0.00055573i,0.00027818+0.0011189i,0.00062378+0.00031413i,0.00035061-0.00077206i,0.00025542-0.00079728i,-0.00026273+0.00021812i,-0.00057809+0.00088821i,-0.00012542+0.00075651i,3.096e-05-9.4501e-05i,-0.0001287-0.00032252i,0.00024949-0.00038532i,0.00058863+9.7794e-05i,0.00028823+0.00090334i,-0.00043123+0.00049572i,-0.00053015-0.0003492i,0.00013406-0.00061748i,0.0001475+0.00013289i
0.00053591+0.00024192i,0.00041846+0.00049773i,-0.00032131+0.001332i,0.0014391+0.0019367i,0.0023413+0.0013296i,0.0017285+0.00098724i,0.00037257+0.00074972i,0.00016482+9.4698e-05i,4.0174e-05+0.00025949i,-0.00045976+0.0011347i,0.00068798+0.00073244i,0.0012578-0.00055258i,0.00081887-0.0009036i,0.00094877-0.00031981i,0.00081109+0.00047004i,0.00028752+0.00061211i,0.0002826+6.0697e-05i,0.00047579-0.00035688i,0.00046931-0.00051499i,-0.00015118-0.0003546i,-0.00013808+0.00069171i,0.00070392+0.0011994i,0.00035393+0.00098554i
0.0028918-0.00093607i,0.0026307-0.0020661i,0.0018257-0.0029173i,-0.0004549-0.0027403i,-0.00092856-0.001698i,-0.00026854-0.0011052i,-0.00062653-0.00086499i,-0.00074152-0.0002681i,-0.00038584+0.00014481i,-0.00068413-5.4718e-05i,-5.8636e-05-8.4023e-05i,0.00059599-0.00025975i,0.00042005-0.00052415i,0.0003275-0.00049457i,0.00010874-0.00021797i,8.0002e-06-0.00028304i,-0.00025356-0.00047824i,-0.00050197-0.00048281i,-0.00082329-0.00064875i,-0.00064641-0.0010124i,0.00010297-0.0012804i,0.00058148-0.00035041i,0.00089534+0.00082006i
0.0010555+0.00014447i,0.00055536+0.00012659i,0.00082122+0.00019728i,0.0014277+0.00080047i,0.0017987+0.00016191i,0.0013455-0.0010485i,0.00059122-0.00096031i,0.00047171-0.00039247i,0.00015469+0.00049344i,0.00016082+0.00036658i,0.00019483+0.00026294i,-0.00015041+0.00056338i,-0.00022983+0.000603i,-0.00064844+0.00048196i,-0.0003903+0.00055712i,9.4645e-06+0.00065229i,-0.00014928+0.00012056i,9.6718e-05-1.7768e-05i,0.00084806+0.00063498i,0.00075316+0.00046494i,0.00051324-0.00019731i,1.6431e-05+0.0001376i,0.00015021+6.2283e-05i
0.00058894+0.0013774i,0.0012678+0.0020314i,0.0028997+0.0020379i,0.0025933+0.00058008i,0.001779-0.00010225i,0.0017422-0.00078937i,0.0014772-0.0011879i,0.00085058-7.7546e-05i,0.00051994+0.00012437i,-3.0842e-05+0.00019078i,-0.00038592+0.00094684i,0.00017551+0.00035716i,0.00082284-0.00039231i,0.0010197+0.00033049i,0.00092728+0.00032472i,0.0005588-0.00022883i,0.00086669-0.0002844i,0.00097109+0.00013077i,0.00026884+0.00027294i,0.00026435-0.00058713i,-9.8303e-05-0.0011812i,-0.00074159-0.00046887i,-0.0009198+0.0004581i
0.0010801+0.001526i,0.00063696+0.0012288i,0.0010213+0.0023778i,0.00086154+0.0022411i,0.00033963+0.0013868i,0.00066339+0.00076476i,0.00079877+3.2592e-05i,0.00060124+0.0003136i,0.00015481+0.00059796i,0.00019487-0.00011845i,-2.6815e-05-0.0001699i,0.00016765+1.8161e-05i,0.00091134-7.6885e-05i,0.001114+3.6693e-05i,0.0011501-0.00013668i,0.00084341-0.00037503i,0.00030712-0.00063014i,-9.1764e-05-0.0004935i,-2.3641e-05-0.00020316i,-0.00016229-0.00010509i,-0.00042207+0.00039136i,-0.00078796+0.00089425i,-0.0011696+0.00055948i
0.00068481+0.0019453i,0.00047472+0.002036i,0.00057182+0.0024479i,0.0014298+0.0023536i,0.0022694+0.002245i,0.0014066+0.00083004i,0.00041456-0.00030816i,1.7128e-05+0.00043546i,7.7012e-05+0.0010555i,0.00016351+0.00016592i,0.00019028-0.00067367i,-0.00031222-0.00072487i,-0.00025886-0.0010191i,0.00052368-0.00014273i,0.00010461+0.0008512i,-0.0011029+0.00040356i,-0.00084771-0.00041532i,0.00037252-0.00056397i,0.0008912-0.00069068i,0.0004073-0.00099578i,-4.1897e-05-0.00058453i,0.00017716-6.7458e-05i,0.00024658-0.00029964i
0.00096349+0.0015802i,0.0004942+0.0018369i,0.0017872+0.00081045i,0.0024328-0.00038495i,0.00279-0.00075665i,0.0027769-0.001373i,0.0011992-0.0013157i,-0.00031115+0.00018214i,-6.9381e-05+0.0014609i,0.00019286+0.00070728i,-0.00011901-0.00035648i,-0.00037377-0.00027608i,-4.144e-05-9.7432e-06i,0.00038061+0.000154i,0.00075438+0.00060853i,0.00060709+0.00059493i,0.00052202-1.8822e-05i,0.00051227-0.00072977i,0.00017202-0.00099681i,0.00012108-0.0011086i,0.00010094-0.00067319i,-0.00028501+0.00039455i,-0.00046411+0.00090766i
-0.00096323-0.0010981i,-0.0010708-0.0005154i,-0.0023976-0.00039696i,-0.0016332+0.0006127i,-0.00098513+0.0012076i,-0.0013061+0.00047219i,-0.0010944+3.3572e-05i,-0.00072567-5.4346e-05i,-0.00015864-0.00015074i,0.0004487+2.5078e-05i,0.00027879+0.00017655i,-0.00012572-0.00025478i,-0.00010248-0.00073714i,-2.3194e-05-0.00066967i,0.0001643+7.4303e-05i,-0.0004787+0.00048615i,-0.00097405+8.3902e-05i,-0.00036289+0.00013831i,0.00048191+0.00026173i,0.00046861+0.00030684i,-9.7556e-05+9.4794e-05i,0.00010342-0.00068427i,0.00058379-0.0011685i
0.0018143-0.00035675i,0.002529-0.0014393i,0.001968-0.0029152i,0.00075356-0.0020904i,0.00053041-0.00035575i,0.00090612+0.00028307i,0.00041565+0.00030832i,-3.9536e-05+0.00038218i,-0.00014772-2.2041e-05i,-0.00051757+6.5868e-05i,-0.00078521+0.0011218i,-0.001171+0.0012055i,-0.0010367-4.7179e-05i,9.5183e-05-0.00056929i,0.00059982+0.00011251i,0.00067554+0.0005111i,0.00043469-0.00018566i,-0.00010523-0.00049337i,-0.00027969+0.00019726i,-0.00041562-0.00011327i,-0.00059238-0.00043075i,-0.00075341+0.00012856i,-0.00079175+0.00085939i
-2.3321e-05+0.00029035i,-0.0013431+0.0012156i,-0.0014015+0.0019545i,-0.00055178+0.0018821i,9.7018e-05+0.00090222i,0.00029466+0.00021467i,0.0009395-0.00030017i,0.00080423-0.0007699i,-0.00023583-0.0005974i,-4.5143e-06-0.00030835i,0.00046101-0.00017009i,0.00076719+0.00041167i,0.001196+0.00067049i,0.00082391+0.00021211i,0.00016164+0.00037769i,7.7424e-05+0.00082792i,-0.00040105+0.00055345i,-0.00090863-0.00045852i,-0.00065132-0.00058572i,-0.00069034-0.00069238i,-0.00057934-0.00031001i,3.339e-05+0.000533i,0.00013263+0.00087681i
0.00015326-0.00050477i,4.3461e-05-0.00047128i,0.0011246+0.00047955i,0.0012714+0.00073494i,0.0015267+7.4673e-05i,0.0018815+3.159e-05i,0.00072619+0.00063041i,-6.2748e-05+0.00072434i,0.00039772+0.00055647i,0.0002526-0.00014064i,0.00034971-0.00073958i,0.0013599+8.8676e-07i,0.0019235+0.00040055i,0.0015433+6.1531e-05i,0.00070772-8.0111e-05i,0.00066197-0.00023806i,0.00092824-1.3122e-06i,0.00013303+0.00050884i,-0.00081872+0.00022696i,1.7889e-05+6.7669e-05i,7.5725e-05+0.00016381i,-0.0008712+0.00019868i,-0.00080641+3.5012e-05i
