-0.0043417+0.0014969i,-0.00028973-0.0003704i,-0.00077295-0.0012406i,-0.001425-0.0010467i,0.00037678-0.00076577i,0.0021199-0.0014368i,0.00147-0.00054186i,0.00014518+0.0012657i,0.00043853+0.0014216i,0.0011113+0.00068798i,0.00087752+0.00028891i,0.0014155-0.00031786i,0.0019847-0.00060748i,0.0015009-0.00044389i,0.0012443-0.00062475i,0.00072361-0.00065923i,0.00017204-0.00015897i,-0.00023433+0.00033943i,-9.747e-05+0.00038298i,-0.00024531-8.443e-06i,-0.00072431+0.00040561i,-0.00095751+0.0010068i,-0.00062509+0.00076832i
0.00062358-0.0027998i,0.002323-0.0045683i,0.0013842-0.0048126i,-0.00043276-0.0033557i,-0.00091765-0.0016289i,-0.00034255-0.00018365i,-1.0074e-05-0.00016922i,0.00051403-0.00025127i,0.00043379+0.000475i,-0.00038486+0.00088961i,-0.00041894+0.00111i,0.00030933+0.001227i,0.00099295+0.001559i,0.00098534+0.0016148i,0.00046034+0.00089585i,8.7227e-05+5.6435e-05i,-7.0666e-05-0.00043755i,0.0003433-0.0005141i,0.00067953-0.00072918i,0.00097004-0.00095379i,0.00045084-0.00052398i,-0.00067239-6.6869e-05i,-0.0011855+0.00032796i
0.00011554+0.0017463i,0.0037441-0.00088725i,0.0045166-0.0030099i,0.0031534-0.0043424i,0.0016976-0.005144i,0.00062585-0.0037397i,-3.5616e-05-0.0017456i,-0.00045907-0.00020145i,-0.00034076+0.00058696i,-0.00013672+0.00015629i,0.00015094+0.00035108i,-7.2427e-05+0.00022049i,-0.00029783+0.00024745i,-0.00063006+6.3724e-06i,-0.0007307-0.00068952i,-0.00032858-0.00031763i,-0.00026785-0.00029874i,-0.00034335-0.00033208i,-0.00087059-4.3715e-05i,-0.0010837-4.9573e-06i,-0.00080336-0.00026303i,-0.0003802+0.00036183i,-0.00010845-0.00017393i
0.00018138+0.0004692i,0.0023195-0.0012147i,0.0027327-0.0018498i,0.0021358-0.00084449i,0.0023551-0.00089283i,0.0018848-0.0016933i,0.00052985-0.0015024i,0.00031493-0.00057486i,0.00097633+0.000805i,0.0014953+0.00072208i,0.0013858+0.00065792i,0.00068134+0.00084445i,-8.4982e-05-6.8999e-06i,-0.00020338-0.0013193i,-0.00013845-0.0010386i,-7.277e-05-6.6737e-05i,-0.00047835-0.00070052i,-0.00086043-0.00093292i,-0.00067288-4.7981e-05i,-0.00089554-0.00088004i,-0.00099161-0.0019475i,-0.0009333-0.00093573i,-0.0012822-0.00027462i
0.0015962+0.00094488i,0.0044352-0.0011449i,0.0043593-0.0024175i,0.0024787-0.0019723i,0.00064858-0.0016i,-0.0003446-0.0026059i,-0.00058038-0.0018229i,3.2835e-05+1.534e-05i,0.00066634+0.00070822i,0.00057274+0.00024197i,-3.4499e-05+0.00027096i,-5.056e-05+0.0010967i,-0.00026525+0.00086207i,-0.00064851-1.7083e-06i,-0.00073917-0.00045679i,-0.0010533-0.00067129i,-0.00060032-0.0011017i,-0.00029498-0.00097666i,-0.00027347-0.00055451i,-5.7547e-05-0.00028018i,-0.00049701-0.00042899i,-0.00079732-0.00046715i,-0.0011537-0.00016451i
1.5357e-05+0.0005565i,0.0037584-0.0011497i,0.0039036-0.0011544i,0.0020524-0.00088711i,0.0016952-0.0021126i,0.0021112-0.0031134i,0.0012419-0.0025696i,0.00061348-0.001204i,0.00064991-0.00056526i,0.00031476+0.00032679i,0.00085558+0.0010314i,0.00084715+0.0012162i,0.0005796+0.00037183i,0.00053475-0.00049752i,0.00012161-0.0010329i,-9.5271e-05-0.00098947i,-0.00051277-0.0006813i,-0.00056903-0.00086666i,-0.00017532-0.0011895i,0.00010999-0.0010475i,-0.00053776-0.00059121i,-0.00049978+0.00024395i,0.00053847+0.0005203i
0.0027225+0.0018039i,0.0061749-0.00059089i,0.0047525-0.0019328i,0.0020864-0.0014201i,0.0014755-0.00068661i,0.0010364-0.0012491i,8.6091e-05-0.0019996i,5.4988e-05-0.0012553i,0.00082943-0.00016337i,0.0008685+3.7774e-05i,0.00041087+0.00029158i,0.00051397+0.00049593i,0.00053223+0.00011421i,0.00036077+0.00038313i,0.00038605+0.00063182i,0.00021504+0.00035325i,-0.00023886-0.00020831i,-0.00051152-0.00071138i,-0.00028521-9.2196e-05i,-0.00039571-0.00020974i,-0.0004021-0.00013072i,-0.00065002+0.00053039i,-0.00098747+0.00064562i
-0.0005195+0.0013101i,0.0021429-0.00085995i,0.0028168-0.002951i,0.0014282-0.0018095i,0.00092631-0.00086518i,0.0011802-0.0019428i,0.0001461-0.0016756i,-0.00020105-0.00054943i,0.00086745-0.00020543i,0.00077737+0.00039364i,-0.00042897+0.00042659i,-0.00099188-0.00049434i,-0.00050247-0.00077332i,4.8236e-05-9.7522e-05i,0.00063337-3.7187e-05i,0.00047111-0.00089511i,-4.1852e-05-0.0011252i,-0.00012129-4.9054e-05i,-0.00018079+0.00042656i,-0.00035084+1.8833e-05i,-0.00062661-0.00022815i,-0.00072584-0.00028819i,-0.00074705+0.00040015i
0.00076475+0.00070984i,0.0032837-0.0013045i,0.0042693-0.0029432i,0.0036507-0.0030861i,0.002182-0.0022355i,0.00048801-0.0011255i,-0.00018413-0.00049777i,0.00066012+0.00029616i,0.00075507+0.00030887i,0.00049158-0.00032836i,-0.0001965-0.00039008i,-0.00043758+0.00051762i,-7.3789e-05+0.00085047i,-0.00039461+0.0011966i,-0.00097061+0.0015481i,-0.0012336+0.00018638i,-0.00073182-0.0010603i,0.00020231-0.0004378i,0.00045844-0.00020891i,0.0005175-0.00050114i,0.0003333-0.00070188i,-0.00079606-0.00070812i,-0.0014103-0.00011345i
-0.00047266+0.00016362i,0.0011173-0.0022902i,0.0014447-0.004077i,0.0012139-0.0023103i,0.00064051-0.0013643i,0.00019287-0.0024704i,-0.00014678-0.0023407i,-0.00047775-0.00084266i,-0.00014565-1.5971e-05i,0.00057114+0.00026018i,0.00034632+0.0005608i,7.9442e-05+0.00061404i,0.00041039+0.001042i,0.00060789+0.00077763i,0.00073986-0.00064612i,0.00096851-0.00068838i,0.00068387+7.1175e-05i,6.0847e-05-0.00033959i,-0.00018639-0.00050529i,-0.0001663+4.2689e-05i,-0.00039834-4.7269e-05i,-0.00077105-0.00071143i,-0.00010344-0.00069667i
0.0013823-0.00051759i,0.0035343-0.0024014i,0.0035533-0.0045284i,0.0012122-0.0030071i,-0.00044946-0.0003672i,-0.00059109+0.00097431i,-0.00043797+0.00049838i,-0.00012918+0.00072256i,0.00025961+0.0012688i,0.00043801+0.0006778i,0.00033435+0.0007459i,0.00068871+0.0013321i,0.00093908+0.00084405i,0.00082537+0.00038714i,0.00076389+0.00072967i,-9.6133e-05+0.00020538i,-0.00088751-0.00048026i,-0.00083022+0.00029765i,-0.00054983+0.00055532i,-0.00032669+0.000143i,-0.00011418-0.00028008i,-0.00046341-0.00016271i,-0.00074589+0.00065618i
-0.001371+0.0028769i,0.0026583+5.5134e-05i,0.0030403-0.002346i,0.0013663-0.0020828i,0.00062389-0.0015281i,0.00015794-0.001446i,-0.00045819-0.0013324i,0.00025887-0.00087057i,0.00080919-0.00033107i,0.00039798-0.00039248i,-0.00014821-0.00079514i,-0.00036004-0.00030455i,-0.00031331-0.00035769i,0.00014113-0.0013126i,0.00096783-0.0020724i,0.0011214-0.0019339i,0.00092379-0.0016008i,0.00091749-0.00071044i,0.00018794-0.00047456i,-0.00038677-0.00089269i,-0.00033937-0.00090053i,0.00028489-0.00011079i,0.00023372+0.001233i
-0.0017775-0.00016429i,0.0010922-0.0023888i,0.001952-0.0037495i,0.0016879-0.0029226i,0.0024953-0.0012161i,0.0020835-0.001217i,0.00056941-0.0012127i,0.00026631-0.0010097i,0.00093714-0.0001616i,0.00096554+0.00025754i,0.00048963+0.00013599i,0.00016529+0.0002129i,-0.0004037+0.00072264i,-0.00028078+0.00078615i,5.9705e-05-0.00059605i,0.00088066-0.0011706i,0.0011933-0.00017798i,1.8039e-05+0.00048966i,-0.00092773-4.7387e-05i,-0.0004431-0.0004139i,9.4858e-05-0.00039506i,-0.00034897-0.00018311i,-0.00058917-0.00036539i
0.0025341-0.00024381i,0.0050441-0.0031566i,0.0043007-0.0053289i,0.0013672-0.0042199i,-0.00095551-0.0019134i,-0.0015345-0.00077345i,-0.00075135-7.1849e-05i,0.00033419+0.0010014i,9.6918e-05+0.000957i,-0.00052872+0.00019867i,-0.0007045+0.00096864i,-0.0012112+0.0016102i,-0.00096588+0.001038i,-0.00023232+0.00072962i,0.00029214+0.00065845i,0.00074556+0.00054714i,0.00034336-0.00023693i,-0.00014626-0.0010292i,0.00045558-0.00055774i,0.000702-0.00013842i,-3.78e-05-0.00019814i,-0.00052675+3.9415e-05i,-0.00041084-0.0004266i
0.0012755+0.0020374i,0.0046419+0.00043261i,0.0058718-0.0020675i,0.0041729-0.00299i,0.0023957-0.0034729i,0.0010711-0.0039188i,3.1621e-05-0.00249i,-0.00025373-0.00022488i,0.0002583+0.00030117i,0.0011972-0.00045536i,0.0010607-0.00065434i,-4.5592e-05+0.00018312i,-0.0010293+0.00088793i,-0.0016024+0.00070619i,-0.001069-0.00013091i,-0.00044596-0.00086713i,-0.00095411-0.0012344i,-0.0013594-0.0010133i,-0.0011945-5.3546e-05i,-0.00086064+0.00049183i,-0.00059972+0.00041284i,-0.00041464+0.00073832i,-0.0002475+0.00043979i
0.002216+0.0021077i,0.0044823+0.0017778i,0.0048931+0.00053314i,0.0037103+0.00011568i,0.0025671-0.00040009i,0.0015116-2.6857e-06i,0.00084011+8.0891e-05i,0.0013663+0.00011489i,0.0011055+0.00056341i,0.00042915+0.00023318i,-2.8757e-05-0.00019143i,-0.00033973-0.00011753i,-0.00057602-0.00045538i,-0.00092979-0.00052935i,-0.0010399-0.00034174i,-0.00026553-0.00063192i,5.5948e-05-0.00053551i,-0.00025458+6.2205e-05i,-0.00037958+0.0010357i,-0.00050327+0.0014064i,-0.0004902+0.00081017i,7.9901e-05+0.00085139i,-6.9666e-05+0.00082705i
