0.0025214+0.00067843i,0.0019046-0.00034213i,0.0010941-0.0024618i,-0.00066682-0.0029928i,-0.0027951-0.0010464i,-0.0041688+0.0016174i,-0.0031142+0.002535i,-0.0011231+0.0021508i,0.00047638+0.0012246i,0.00095436-0.00029948i,0.00023512-0.0015617i,-0.00037238-0.0014124i,-0.0010375+0.00016281i,-0.0009169+0.00055764i,-0.0010188-4.6475e-05i,-0.00078556-0.00020264i,-0.00036343-0.00030467i,-0.0005063-0.00021269i,-0.00074016+0.00049259i,-0.00089754+0.0012851i,-0.00043423+0.00089722i,-0.00023942-0.00018993i,-0.00073303-5.283e-05i
-0.0024779+0.00057566i,-0.0021475+0.0014353i,-0.00070734+0.002156i,0.00074215+0.0024723i,0.00011401+0.0020747i,-0.00083794+0.0015999i,-1.1213e-06+0.0014536i,0.00055285+0.00058215i,0.00043166-9.4141e-05i,0.00065688+0.00021259i,0.00013565+0.00066858i,-0.00066424+0.00041555i,-0.00091368+0.00023231i,-0.00027506-0.00053123i,-0.00021606-0.00081025i,-0.00038283-0.00017271i,-7.1497e-05+9.0415e-06i,0.00024344-1.1862e-06i,-6.3317e-05+3.7214e-05i,-0.00075827-1.3985e-05i,1.5991e-05+0.00021762i,0.00074653+0.00065348i,0.00039298+0.00027931i
-0.0011887+0.0015001i,-0.00062897+0.0016735i,0.00022054+0.0018754i,0.00091962+0.00073933i,0.0007289+0.00012337i,-0.00049825+0.00047102i,-0.0010102+0.00025955i,-0.00052651+0.00014726i,-0.00024744-0.0002059i,0.00010927-0.00029528i,0.0006794-9.5444e-05i,0.0010352+8.0758e-06i,0.0010289-0.00061873i,0.0012833-0.0010071i,0.0010757-0.0003425i,0.00026608-0.00031695i,0.00048449-0.00040888i,0.00060776+0.00057902i,-0.00045761+0.00055122i,-0.00093044-0.00068286i,0.00012387-0.00072412i,0.00067718-0.00022109i,0.0005319-1.5827e-05i
0.000102+2.0059e-05i,0.00021586+0.00023296i,0.00038893+0.00023422i,-0.00011073+0.0012003i,-0.001552+0.002319i,-0.0020214+0.0022983i,-0.0008719+0.0016613i,0.00036293+0.0010719i,0.0010341+0.00031719i,0.0009962-8.1337e-05i,0.0003054+0.00040266i,-0.00033012+0.0004642i,-0.00010618-0.00033929i,-0.00024484-0.00044095i,9.0328e-05+0.00010278i,0.00021401+0.00051359i,0.00013143+0.0003152i,0.00017432-0.00023862i,0.00014911-0.00082539i,-0.00030775-0.00060634i,-0.00069785+0.00046453i,-0.00053508+0.00074128i,0.00020554+0.0003914i
0.0017057+0.00040748i,0.001765+0.00031301i,0.00097105+0.00075944i,-0.001063+0.0010872i,-0.0012496+0.00092623i,-0.00076641+0.0004936i,-8.4965e-05-0.00032814i,0.00040188+0.00017463i,0.00051807-0.0001484i,0.00016808+2.0947e-05i,-0.00077649+0.00068029i,-0.00064004+0.00082594i,-0.00029618+0.00086954i,-0.00080319+0.00047707i,-0.00092678-0.00021299i,-0.0001347-0.0002197i,0.00014703+0.0001227i,-0.00033463-7.0094e-05i,-0.0011743-0.00020144i,-0.00093536+0.00031669i,-0.0005206+0.00088357i,-0.00046544+0.0010222i,7.7714e-06+0.00011825i
0.00069492+0.00016231i,9.3042e-05-0.00012721i,-0.0010176-0.00045579i,-0.0015299+0.0003138i,-0.0012577+0.00066699i,-0.00050774+0.00024592i,0.00074556+0.00034712i,0.0012677+0.00035767i,0.00083551-0.00016294i,0.00012104-0.00027178i,-0.00026099+0.000292i,0.00045152+0.00082536i,0.00071852+0.00090494i,0.00011986+0.0011214i,-0.00010506+0.0010776i,-5.5594e-05+0.00019113i,0.00018064-0.00063296i,0.00040171-0.00071237i,0.0012068+2.5031e-05i,0.00059341+0.00028372i,-7.1319e-05-7.2528e-05i,4.7645e-05-0.00035993i,4.1349e-05-0.00017936i
-0.00029677+0.0017921i,-0.00043587+0.002226i,0.0017308+0.0021632i,0.0021223+0.00037676i,0.0011238-0.00055505i,-7.549e-05+0.00081531i,-0.0008758+0.0017705i,-0.00080217+0.00094187i,-0.00065669+7.1875e-05i,-0.00062721+3.5134e-05i,-0.00015043-0.00030349i,7.3395e-06-0.00065232i,-3.8782e-05-9.9399e-05i,0.00022809+0.00010346i,0.0011611-0.00087792i,0.0012563-0.0011229i,0.00045154-0.00085006i,0.00026308-0.00087213i,0.00076357-0.00065289i,0.001314-0.0003838i,0.0013751-0.00014982i,0.00089949+0.000216i,0.00043051-0.00037651i
-0.00086943-0.0003318i,-0.0012466+0.00016142i,-0.0014809+0.00016298i,-0.00067482-0.00026658i,-0.0007465+0.00051966i,-0.0018006+0.0023811i,-0.0016819+0.0025896i,-0.0013103+0.0016208i,-0.0014949+0.00066963i,-0.0013297+0.00038967i,-0.00047875+0.00085156i,-0.00015022+0.00033505i,0.0005437-0.0011892i,0.0013919-0.0011954i,0.00073013-9.8428e-05i,-6.1381e-05-0.00049497i,-0.00050069-0.00081785i,-0.00056547-0.00037096i,-8.6088e-05-0.00020772i,-0.00011899-0.00035177i,-0.00045892-0.00045355i,-0.00039591-0.00014898i,7.181e-06+0.00047361i
-0.00067674-0.0029435i,-0.00074817-0.0016441i,-0.00075389+0.00049737i,-0.00021981+0.0022588i,-0.00018382+0.0027328i,-0.00025602+0.0029072i,-9.8715e-05+0.001968i,-3.7897e-05+0.0007717i,0.00014511-0.00013127i,0.00057044-0.00047119i,0.00069433+0.00035605i,0.0004049+0.00035945i,-0.00025679+6.424e-05i,-0.0003206-6.8071e-05i,-1.1179e-05+5.4042e-05i,9.5651e-05+0.00011262i,0.0005093-0.00036313i,0.00084348-0.00047606i,0.0005716-9.7159e-06i,-0.00010671+0.00024436i,-0.00078948-0.00025388i,-0.00084369-0.00028667i,-0.00034553+0.00012342i
-0.00071784+0.00019295i,-0.00054338+0.0015125i,-0.001145+0.0012701i,-0.0014524+0.00076806i,-0.0010581+0.0013497i,-0.00091755+0.0013409i,-0.00055079+0.00073332i,0.00033907-0.00034197i,0.00031747-0.00065676i,5.709e-05-0.0002871i,0.00073943-0.00029018i,0.00090773-0.00030584i,0.00031273-0.00045863i,-0.00078761-0.00063072i,-0.00066528+0.00026989i,-0.00066169+0.00055528i,-0.00018578+7.2078e-05i,0.00079964-0.00026313i,0.00063541-0.00085108i,0.00065762-0.00011333i,0.00057979+0.00054852i,-0.00051456+0.0002716i,-0.001242-0.00044979i
-0.0010538+0.0014788i,-0.00055653+0.00097044i,0.00079361+0.0014005i,0.0014077+0.0012104i,0.00066602+0.00063307i,-0.00033838+0.00050957i,-0.00056569+0.00072596i,-3.5644e-05+0.00018862i,0.00026322-0.00023285i,0.00031304-1.8998e-05i,0.00018838-1.6893e-05i,8.0892e-05-0.00060577i,-0.00039017-0.00069184i,-0.00089823-0.00031316i,-0.0011117+0.00029179i,-0.00051023+0.00061504i,-9.7531e-05+4.4748e-05i,-0.00045764-0.00072585i,-0.00040851-0.00034026i,-0.00024354+0.00013389i,0.00040101+0.00014703i,0.001136-1.6318e-05i,0.00083376-0.00024577i
