-0.0052664+0.0020483i,-0.0033761+0.0020638i,-0.0032391+0.0015838i,-0.0027181+0.00015773i,-0.001935+0.00063441i,-0.0016749+0.0022771i,-0.00056357+0.0023871i,0.00090307+0.002099i,0.0017855+0.0014174i,0.0019649+0.00065449i,0.0011791+0.00021396i,0.00048219-0.00047744i,0.00087965-0.00097941i,0.00027317-0.0012556i,-0.00056534-0.0013412i,-0.00070833-0.00027937i,-0.00072136+9.5209e-05i,0.00034923+3.2446e-05i,0.00059933+0.00015371i,1.4667e-05-0.00065927i,-7.3322e-05-0.00093147i,-0.00052965-0.00035684i,-0.00064467-3.6714e-05i
0.0018391-0.00078599i,0.0010976-0.0014705i,0.00049841-0.0016687i,-0.00046521-0.0019239i,7.0784e-05-0.0018138i,0.00043332-0.00093811i,1.6274e-05-0.00034524i,9.5995e-06-4.561e-05i,0.0005711+0.00017755i,0.00013851-0.00014228i,-4.8652e-05-0.00056068i,0.0001373-0.00071673i,-0.00028357-3.1851e-05i,-0.00065793+0.00084896i,-0.0004754+0.00019914i,0.00012736-0.00061461i,0.0007266-0.00033103i,0.00047154+0.00044839i,-0.0004287+0.00094925i,-0.00014097+0.00054851i,0.00038897+0.00010223i,0.00047752-0.00047071i,0.00051969-0.00038029i
0.0017079-0.00023346i,0.0011431-0.0011287i,0.001315-0.00042838i,0.00088055-0.0010796i,0.0010487-0.0018609i,-6.9339e-05-0.0015175i,-0.0015436-0.00092684i,-0.0014566-0.00078319i,-0.001419-0.00062625i,-0.0011006-0.0010278i,-0.00045448-0.0015305i,-0.00016828-0.00099785i,-7.5959e-07-0.0002023i,-0.00029915+0.00060593i,-0.00090905+0.0009841i,-0.00053096+0.00066114i,-0.0002257-8.8622e-05i,7.9343e-05-0.00053031i,0.00074525+0.00063442i,0.00029686+0.00085648i,9.4827e-05-0.00019136i,-0.00013854-0.00016055i,-0.00014857+0.00011237i
-0.0014036-0.0018503i,-0.0018223-0.0012051i,-0.0030099-0.0010088i,-0.0035334-0.0016019i,-0.0026306-0.00075995i,-0.0014753-3.8979e-05i,-0.0017323+0.00031668i,-0.0023104-0.00025579i,-0.0017785-0.00075228i,-0.0012661-0.001297i,-0.0011781-0.0015191i,-0.0013517-0.00019015i,-0.0018861+0.00020596i,-0.0021175+5.6874e-05i,-0.0011909-0.00015335i,7.1926e-05-0.00054348i,0.0006426-0.00051865i,0.0008952-0.00044108i,0.00024544-0.00012705i,-0.00024596-2.8845e-05i,0.00034427-0.00052811i,0.00038798-0.00043448i,0.00013353+0.00011122i
-0.0021388-0.00051544i,-0.0017557-0.00019017i,-0.0017896+0.00048231i,-0.0015951+0.00065469i,-0.00066692+0.00068496i,-1.2839e-05+0.00031125i,-7.6199e-05+0.00076567i,-0.001242+0.0017882i,-0.0017044+0.0016895i,-0.0010651+0.0010104i,-0.00069258+0.00015035i,-7.3181e-05-0.00031623i,0.00029258-0.00028701i,2.0373e-05+0.00036812i,-0.00062252+0.000499i,-0.00059335+0.00034765i,-0.0005001+0.00040242i,-6.8222e-06+0.00048567i,0.00045991+0.00033499i,0.00043909-6.7616e-05i,0.00025014+5.308e-05i,-0.00019757+0.0005012i,-0.0009151-9.7445e-05i
0.00090554+0.00030538i,0.00024815+0.00022677i,-0.00010002-0.00098834i,-0.00044197-0.0015299i,-0.00012958-0.001538i,5.907e-06-0.00076747i,-0.00013683+6.8533e-05i,-0.00021561+0.00046728i,0.00071682+0.0014218i,0.00065913+0.0016032i,-0.0002011+0.00082366i,4.8309e-05+8.7235e-05i,0.0004953-0.00090195i,0.00053339-0.0012053i,0.00022054-0.00018081i,2.4017e-05+0.00014241i,9.7893e-05+0.00031797i,0.00048267+0.00033051i,0.0012154-5.2131e-05i,0.0013367-3.1918e-05i,0.00086988+0.000311i,0.00011384+0.00078919i,-0.00073545+0.0011829i
0.0014915+0.00011855i,0.001287-0.00080005i,-0.00012162-0.0021552i,-0.00074977-0.0017931i,-0.00073311-0.0010279i,-0.00076011-0.001031i,-2.9096e-05-0.00064568i,0.00095359-0.00070343i,0.00062943-0.0007998i,-0.00014741-0.00034311i,2.7785e-05+0.00016249i,0.00025346+0.00041876i,-0.00034534+0.00063604i,-9.6171e-05+0.00091051i,0.000509+0.00049697i,0.00013673-0.00036218i,-0.00025036-0.00022479i,-0.00055006+5.5377e-06i,-9.3852e-05+0.00025249i,0.0002935+0.00011814i,0.00014663-0.00029014i,0.00019344-0.00037295i,-0.00019957-3.7011e-05i
-3.2988e-05+0.00077685i,-0.00016391+0.0002934i,-0.00064957-0.00019085i,-0.0010538-0.0006748i,-0.00065825-0.00094302i,-0.00073224-0.00058044i,-0.00094278-0.00070427i,-0.00061906-0.0013729i,-0.00020548-0.0017016i,-2.0196e-05-0.0016169i,0.00056825-0.00078903i,0.00032261+0.00013623i,-0.0010667+7.3011e-06i,-0.0011725-0.00025794i,-0.0010434-0.00024781i,-0.00097702-6.0023e-05i,-0.00054177-0.00083311i,-0.00019561-0.0013409i,5.0531e-05-0.00070302i,2.0959e-05-0.00015626i,9.1317e-05+8.9156e-05i,9.6224e-05+2.9955e-06i,0.0003038-7.1066e-06i
-0.00061097-0.0016981i,-0.0020791-0.001291i,-0.0028351-0.00086992i,-0.0017437-0.00080361i,-9.2725e-05-0.00066337i,-0.0003346+5.3908e-05i,-0.0012693+0.00033437i,-0.0013979-0.00011258i,-0.0014085-0.00095935i,-0.0010041-0.0011788i,0.00048191-0.00096338i,0.00066159-0.0011241i,-3.3872e-05-0.00074391i,-4.2022e-05-0.00017008i,-8.5249e-05-0.00014132i,0.0003917-5.4849e-05i,0.00062438-1.421e-05i,0.00023258-0.00025784i,0.00010364-0.00029423i,0.00032138+0.00013827i,0.00090641+0.00021873i,0.001036+0.00027024i,0.0001812-4.6812e-05i
0.0027156+0.0012968i,0.003134+0.00086879i,0.0030032-0.0010981i,0.0010079-0.0027047i,-5.2918e-05-0.0028724i,9.554e-05-0.0017682i,-0.00058476-0.00048923i,-0.00074925-0.0002359i,-0.00075781+0.00025335i,-0.00076269+0.00045471i,-0.00041192+2.384e-06i,-2.6819e-05-6.124e-05i,0.00027481+5.9214e-05i,0.00053649-0.00042806i,-0.00031583-0.00093894i,-0.00096629-0.00024731i,-7.054e-05+0.00086952i,0.00066449+0.0010306i,0.00038565+0.00055556i,-0.00019174-4.6415e-05i,-0.00068077-0.0003356i,-7.4291e-05+0.00011137i,0.00038306-0.00025866i
-0.00053174-0.0005765i,-0.0019263-0.0010909i,-0.0029975-0.0017974i,-0.0021563-0.0014604i,-0.0013278-0.00064917i,-0.00039141-6.8633e-05i,-0.00033209+0.00070837i,-0.00052342+0.0011449i,-0.00030173+0.00053001i,-0.00022509+0.00036694i,-0.00011971+0.00028633i,-0.00020875+0.00017066i,5.0119e-06+0.00076608i,0.00039328+0.0007228i,0.00015563+0.00025796i,-0.00016925+0.00066072i,-0.00071883+0.00054293i,-0.0007179+0.00092642i,-0.00055264+0.0011696i,-5.4281e-05-0.00014952i,0.00063086-0.0010388i,0.0010754-0.0012152i,0.0010507-0.0007397i
