0.002752+0.0006995i,0.0011609-0.0018959i,0.00029207-0.0038199i,0.00028566-0.0037334i,-0.00060008-0.0021885i,-0.0022474-9.4725e-05i,-0.002421+0.00098322i,-0.0005265+0.00093022i,0.0015821-4.4109e-05i,0.0018331-0.00071718i,0.001084-0.00046721i,0.00057131-0.00051782i,0.00097261-0.00088791i,0.00087155-2.1276e-05i,-7.1502e-05+0.00089653i,-0.00048852+0.00050485i,1.9096e-05+6.2763e-05i,0.00067401+3.1993e-05i,0.00047826-0.00017477i,0.0006101+7.6646e-05i,0.00015728+1.1556e-05i,-2.077e-05-0.00011337i,0.00020377+0.00058672i
-0.00071105-0.0033043i,-0.0016538-0.0033277i,-0.0014959-0.0032123i,-0.00038493-0.002608i,1.5285e-06-0.0010192i,-6.2809e-05-0.00015898i,-0.00039652+0.00063203i,-0.00030148+0.00070084i,-2.0122e-06-5.7884e-05i,-0.000309-0.00050051i,-0.00062489-0.00047075i,-0.00076505-0.00058729i,-0.00021143-0.00048825i,0.00067237-0.00023679i,0.00061916+8.7356e-05i,-0.00077488+0.00060451i,-0.00060882-5.0975e-06i,-3.6994e-05-0.00056396i,-0.000588-0.00058942i,-0.00033968-0.00018363i,0.00037667+0.00032201i,-0.00012714-1.3004e-05i,-0.0012046-0.00088537i
0.0016419+0.001349i,0.0014982+0.0013517i,0.0016973+0.00056539i,0.00089976-0.00048736i,0.00083145-0.0022357i,0.00017392-0.0021986i,-0.00051424-0.00063547i,-0.00041603+0.00037759i,-0.00014186+0.00047644i,-0.00012628-0.00036551i,-0.00078621-0.00071497i,-0.00072285-0.00044684i,-0.00036039+0.00024687i,-0.00054939+0.00053312i,-0.00070673+0.0001728i,-0.00058257-0.00016867i,-0.00047245+0.00010911i,-6.7531e-05+0.00051393i,0.00017811-3.425e-05i,-7.7626e-05-0.00034448i,0.00028804+0.00033495i,0.00055732+0.00084199i,0.00025606+0.00081696i
-7.7586e-05+0.00097332i,0.00029491+0.0010329i,-0.00033617+0.001245i,2.9167e-05+0.00043003i,0.00048737-0.00071723i,0.00027283-0.0015054i,0.00041967-0.00069993i,0.00055377+0.00015746i,0.00011003-9.3373e-05i,-0.00049182-0.00038998i,-2.6775e-05-0.0009072i,0.00029675-0.00062611i,-8.0605e-06-0.00012778i,-0.00036295-0.00056517i,-0.00059635-0.00021235i,-0.00074083+0.0010842i,-0.00023935+0.0013942i,0.00025073+0.00087563i,3.0264e-05+0.00088591i,-0.00025675+0.00067323i,-0.00051141+0.00026948i,-0.00055326+0.0004825i,-0.0007818+0.00097338i
-0.00022591+0.0027878i,-0.00016289+0.0028698i,0.0015121+0.0026769i,0.0026063+0.0014447i,0.0015704-0.0002083i,0.00069724-0.0011951i,0.00057325-0.0012086i,0.00022848-0.00086116i,-2.9851e-06-0.00059437i,0.00030379-0.00044295i,7.0787e-05-0.00041934i,-0.0001619-0.00021976i,-0.00031889-0.00012222i,7.7918e-05+0.00013268i,8.8322e-05+0.00034937i,-0.00031064+0.00011148i,-0.00022313-0.00044436i,0.00020199-0.00075079i,0.00070579-0.0004417i,0.00064223-0.00032391i,0.00014134-0.00041824i,-0.00015035-0.00022673i,1.1064e-05-0.00025116i
0.00052141-0.00037337i,-0.00091164+0.00036368i,-5.7544e-05+0.0005779i,0.00069008-0.00064206i,0.00063024-0.0016944i,0.0006898-0.0013503i,-0.00056711-0.00073405i,-0.00092817-0.00013917i,-0.00011268-0.00063404i,0.00059432-0.00088516i,0.00055912-0.00025625i,0.00026553+0.0001293i,-3.6718e-06+0.00040801i,-0.00043971+9.6281e-05i,-0.00083729-0.00031699i,-0.00067841-0.00028597i,-7.8969e-05-0.00030458i,0.00032572-0.00029189i,0.000497+0.00049095i,0.00034864+0.0002686i,-5.8666e-06-0.00012306i,0.0001325-0.00047252i,0.00064581-0.00056864i
-0.00022445+2.6774e-05i,0.0003243-0.0010157i,0.0001752-0.00092258i,0.00014594-0.00050534i,0.00087697-0.0009744i,0.00024082-0.0011493i,-0.0013533-0.00045704i,-0.00033028-0.00024291i,0.0012281-0.00032925i,0.00049144+0.00016387i,6.5182e-05+5.7214e-05i,0.00036302-0.00013155i,0.00055327+6.6267e-05i,0.00031936-0.00051117i,-0.00017834-0.00015746i,-0.00033782+0.0004969i,-0.00047433+0.00078252i,-0.00050374+0.0010565i,-0.00053475+0.00064242i,-0.00014466+0.00075069i,0.00028761+0.00055301i,0.00036485-7.4197e-05i,0.00037747-0.00025157i
-0.00013428-0.0022676i,-0.0003059-0.0022106i,0.00080251-0.0034184i,0.0010516-0.0035044i,-5.872e-05-0.0022795i,-0.00022585-0.00033389i,8.9676e-05+0.0008611i,0.00055429+0.0003719i,0.00052849+0.00018733i,-0.00041935+0.00032359i,-0.00021346-0.00025315i,-0.00037554-0.00020604i,-0.00054023-0.00020097i,3.231e-05-0.00040368i,-0.00046167-0.00027001i,-0.00082828-0.00010334i,-0.00057162+0.00016552i,-0.00045077-0.00043149i,6.548e-05-0.00043364i,0.00059574-0.0006114i,0.00079561-0.00063941i,-0.00056948+0.00029194i,-0.0010236+0.00024871i
-0.0003663-5.3844e-05i,-0.00036406+0.0001796i,5.773e-05+0.0011862i,-0.00034908+0.00084597i,-0.0012919-0.00056132i,-0.0015301-0.00069083i,-0.0010462+4.41e-05i,-0.00079038+7.8615e-05i,-0.0010348-0.00035039i,-0.00067184-0.00062201i,0.00013255+5.2116e-07i,0.00042338+0.00043539i,0.00074191+0.00047088i,0.00087135+0.00053054i,0.00013696+0.00047497i,-0.00045029+0.00033082i,0.00025903+0.00062696i,0.00040525+0.001063i,5.4458e-05+0.00028683i,-0.00055542-0.0001685i,-0.00046685+0.00020947i,0.00016397+0.00032108i,0.00075495+0.00017833i
-0.00093177-9.6072e-05i,-0.0022354-0.0003834i,-0.0035924-0.00059439i,-0.0016051-4.0993e-06i,0.00013392+0.00019534i,7.5338e-05+0.00027744i,7.383e-05+8.7188e-05i,0.00045611-2.2129e-05i,0.00051096-0.00017297i,-9.9036e-05-5.4218e-06i,-0.00023512-0.00021854i,0.00051108-0.00047431i,0.00056485+0.00014306i,0.00020704+0.00034566i,0.00020548-7.6798e-06i,0.00055989+0.00011871i,0.00072571+0.00036114i,0.00043052+0.00012194i,0.00013727+0.00022573i,-0.00054316+0.00072077i,-0.0010587+0.0013269i,-0.001252+0.00087018i,-0.00085139-0.00016885i
-0.0026161+0.00092777i,-0.0015666+0.00084937i,-5.0916e-05+0.0014368i,0.00062758+0.001247i,0.0015604+8.0269e-06i,0.0015958-0.00068862i,0.00031124-0.00041083i,-0.00011254-3.7754e-05i,0.0003843-0.0002561i,0.0010442-0.00076259i,0.00064766-0.00055116i,-0.00027422-0.00092496i,-0.00014754-0.0012924i,-0.00047947-0.00091164i,-0.00038096-0.00021029i,0.00011364-0.00011285i,2.4517e-05-0.00058996i,-0.00020008-0.00027704i,0.00010822+0.00011279i,0.00021773+3.2168e-05i,-0.00017777-0.00017822i,-0.00028086+7.2263e-05i,-0.00021298+0.00043803i
-9.5213e-05-0.0014201i,0.0014999-0.00078176i,0.0011639-0.00051931i,-0.00057187-0.00036188i,-0.0014384-0.00092344i,-0.0010727-0.00084819i,-0.00096284+4.9141e-05i,-0.00074848+0.00019024i,-1.8315e-05-0.00035153i,0.00022206-0.00082681i,-6.2449e-05-0.00031985i,-0.00054223+7.2845e-05i,-0.00031052+0.00042248i,0.00018994+0.00038021i,0.00017394+0.00021373i,-0.00075438+0.00069526i,-0.0010453+0.0010689i,-0.00038675+0.00021003i,0.00031952-0.00027288i,0.00041174+2.1382e-05i,0.00060895-0.00032113i,0.00054722-0.00042916i,0.00028766-0.00048383i
-0.00071864-0.0011212i,-7.5279e-06-0.00025326i,0.00027805+6.725e-05i,-0.00048334+0.00024561i,-7.0187e-05-0.0003876i,0.00032465-0.00095623i,-0.00047905-0.0004769i,-0.0010529-2.5507e-06i,-0.00058638-0.00033455i,-0.00013577-0.00075771i,0.00011544-0.00083873i,-0.00041612-0.00032141i,-0.00088833+0.00062355i,-0.00073379+0.00087104i,-0.00080864+0.00074396i,-0.00085413+0.00084183i,-0.00024083+0.0014359i,0.00089327+0.0016561i,0.00092193+0.00097157i,0.00084015-0.00012141i,0.0011758-0.00023861i,0.00036737+0.00047312i,0.00018338+0.00016606i
1.5868e-05+0.00013189i,0.00010822+0.00042735i,0.00026008+0.00036884i,0.00038345+0.00022514i,0.00040164-0.00092723i,6.6206e-05-0.0016719i,4.867e-06-0.00049477i,-0.0003143+0.00025094i,-0.00024963-0.00057931i,-0.00018361-0.00098927i,-0.0002237-0.0015876i,0.00054812-0.0012165i,0.0008385+4.4353e-05i,0.00048265+0.00054453i,-7.4281e-05+0.00058046i,-0.00061794+0.00088447i,-0.00071498+0.0011332i,-7.3129e-05+0.00037629i,0.00078534-0.00031041i,0.0010301+0.00028326i,0.00074466+0.00014731i,0.00077672+0.00031189i,0.00021487+0.00054009i
-0.00029853+0.0010028i,-0.00019163+0.0016581i,-0.00021434+0.0019228i,0.00044116+0.00085551i,0.0013772-0.00065458i,0.0012386-0.0010196i,0.00016655-0.00048104i,-0.00042029+0.00019019i,0.00012461-0.00011087i,0.00021472-0.00080738i,7.7133e-05-0.00067538i,-0.00012779-0.00026234i,-0.00084121+0.00029088i,-0.001228-0.0003471i,-0.0010937-0.00090386i,-0.00077518-0.00035897i,-0.00085051+2.6116e-05i,-0.00074886-0.00014538i,0.00016298+0.00017518i,0.00077854+0.00016534i,0.00050033-1.7142e-05i,0.00022348+5.2176e-05i,0.00018317-4.5978e-05i
-0.0011014+0.00042886i,-0.00073151-0.00029749i,0.00014148-0.0011031i,0.00082112-0.00040641i,0.0010722-0.00025788i,0.00051163-0.0014704i,0.00026647-0.0010674i,0.00035697-7.4176e-05i,0.00010455-0.00015062i,-0.00013443-0.00041751i,-0.00051019+0.00026178i,-0.00048457-0.00049233i,-1.7346e-07-0.0011154i,4.3649e-05-0.00020422i,-0.00056054+0.0002299i,-0.00065454+0.00038157i,2.9163e-05-0.00019409i,-3.6848e-05-0.00069341i,-0.0001536-0.0001569i,0.00016233+1.6794e-05i,8.4254e-05+0.00029172i,-0.00057379+0.00058639i,-0.00077779+0.00028893i
0.001765-0.0014418i,1.2042e-06-0.0014286i,0.00034544-0.0013939i,0.00040499-0.0019197i,-0.0004129-0.0015901i,-0.0010953-0.00031972i,-0.0011505-0.0002633i,-0.0010417-0.00050298i,-0.0015494-0.00085714i,-0.0012215-0.0011659i,0.00010877-0.00062122i,0.00038824-0.00020067i,-1.0421e-05+0.00011982i,3.2228e-05+0.00031086i,-5.3353e-05+3.2448e-05i,-8.852e-05-4.6755e-05i,0.00037605-3.6551e-05i,0.00029137+0.00010742i,0.00044773-9.3593e-05i,0.0002882-0.00090235i,0.00010686-0.0013885i,1.7032e-05-0.00070311i,0.00050805+0.00040188i
0.00072827-0.00023843i,0.0012725-0.00013666i,0.00095532-0.00016014i,0.00099562-0.00018549i,0.00090668-0.0013403i,0.00031448-0.0015986i,-9.4856e-05-0.00061413i,-9.034e-06-2.4739e-05i,-6.228e-05-0.00082759i,-0.00047128-0.0013031i,0.00028281-0.00062067i,0.00098835-0.00081573i,0.00063059-0.00074071i,0.0003191+8.8776e-05i,-1.5464e-05+0.0007766i,-0.00013723+0.00099334i,-0.00025281+0.00080916i,-0.00031901+0.00025079i,1.3401e-05-0.00076305i,0.00020826-0.0009307i,-9.0926e-05-0.0001354i,0.00043606+0.00047287i,0.00060223+0.00059981i
0.00074797+0.0019219i,0.00069268+0.0023196i,0.0012759+0.0023547i,0.0012845+0.00092531i,0.00082118-0.0006459i,0.00025416-0.00040283i,0.00010407+5.0455e-05i,-9.3023e-05+0.00043326i,0.00025682+0.0007813i,0.00075661+3.969e-05i,0.00060268-0.00057786i,0.00020322-0.00034315i,-0.0007831-0.00027663i,-0.0021504-7.7068e-05i,-0.0019375+0.00026218i,-0.0012979+0.00031941i,-3.654e-06+0.00043497i,0.0011657+0.00053103i,0.00039601+0.00032531i,-0.00058939-6.7782e-05i,-0.00030147-0.00044831i,-7.7011e-05-0.00046755i,-0.00030491-0.00056061i
-0.001316-0.00073555i,-0.00058806-0.00052651i,-0.00057022-0.0010854i,-0.00053692-0.00040638i,-0.00067493+0.0011875i,-0.0010002+0.00060157i,-0.0013133-0.00023357i,-0.00014038-0.00057607i,0.00059426+3.5742e-05i,0.00011782+0.0001092i,-0.00042793-0.00081756i,-0.00070193-1.1468e-05i,-0.00047597+0.00029846i,-0.00020155+3.0786e-05i,0.00010416+0.00070502i,-3.8899e-05+0.0010637i,-0.00065962+0.00049633i,-0.00029544+7.0966e-05i,1.5045e-05+0.00014897i,0.00037917+0.00031222i,0.00049853+0.00067751i,6.524e-05+0.00021279i,0.00028232-0.00054663i
0.0030383+0.00033697i,0.0030313-0.0022427i,0.0021974-0.0023776i,0.0014036-0.0015523i,0.00067321-0.0023978i,-0.0007461-0.0029864i,-0.00086372-0.0011366i,-0.00022784+0.00056613i,0.00052982+0.00020397i,0.0014529-0.0007956i,0.0012175-0.0011972i,0.00082385-0.00027379i,0.0011231+0.00048478i,0.00070156+5.1387e-05i,0.00019972-0.00021644i,0.00010846+1.8517e-05i,-0.00020623-0.00011772i,-5.1192e-05-0.00012982i,0.00045365-0.00020487i,-2.036e-05+7.9894e-05i,-0.0010688+0.00077314i,-0.0010806+2.7293e-06i,-0.00047394+2.8971e-05i
0.0011723-0.0003423i,0.00089935-0.00054271i,0.00039366-0.0018225i,0.00023855-0.002376i,-0.00093571-0.001483i,-0.0016306-0.00067165i,-0.00096557+0.00016368i,-0.001036+0.00040926i,-0.00088573-0.00041956i,-0.00019987-0.00097926i,-0.00043354-0.0010313i,-0.00085882-0.00048124i,-0.00087174-0.00047048i,-0.00057337-0.00018248i,-0.00050177-0.00015258i,-0.00052118-0.00045251i,0.00011432-0.00084954i,-0.00024298-0.00072929i,-0.00046787+0.00023317i,0.00034984+0.00060223i,0.0010826+0.00033999i,0.0011695+0.00081246i,0.00083021+0.00053092i
0.0014998+0.0023791i,0.0016056+0.002142i,0.0010853-0.00019769i,0.00073657-0.0012623i,0.0011045-0.0006981i,9.3933e-05+0.00026445i,-0.00078792+0.00076572i,-0.00027183+0.00089041i,0.0012616+0.00071138i,0.0010927+0.00029389i,-0.0004278+0.00014319i,-0.00030231+0.00018998i,-0.00040334+2.6186e-05i,-0.00046688-0.00053048i,-0.00026013+9.1934e-07i,-0.00017671+0.00021661i,-0.00014603+3.1914e-06i,-0.00013599+1.098e-05i,-0.00033462-0.00032305i,-0.0001044-0.00073i,0.00062855-3.0712e-05i,0.0002238+0.0007848i,9.4951e-06+0.00021114i
0.0012762+0.00075716i,0.0015264+0.00063618i,0.0018804-0.00014248i,0.0015064-0.0013126i,0.00017944-0.0019423i,-0.00093107-0.0016247i,-0.0011098-0.00075424i,-0.00060616-0.0002218i,0.00030322-0.00081122i,0.0010052-0.0010211i,0.001228-0.00055065i,0.00067818-0.00052892i,0.0001217-0.00022501i,-0.0003357+0.00022915i,-0.00073611+0.00065611i,-0.00032472+0.0013181i,0.00057315+0.00099045i,0.00068773+0.00071238i,-0.00034607+0.0010117i,-0.00025832+0.0004642i,0.00029462-0.00060811i,0.00049837-0.0013443i,0.00071311-0.0011429i
-0.00028073-0.00082343i,-0.0010888-0.00029622i,-0.0011955-0.00049715i,-0.00033872-0.0016222i,0.00057627-0.0015618i,0.00021984-0.00099161i,-0.00027005+0.00022717i,-5.1805e-06+0.00053952i,0.00036744-0.00018533i,0.00044542-0.00093533i,0.00037541-0.00053947i,-5.384e-05+0.0001821i,-0.00051977-4.4692e-05i,-0.0006011-0.00076897i,0.00028163-0.00088905i,0.00093704-0.00041763i,0.00032327+0.00019814i,-0.0003009-0.00010256i,0.00031481+0.00014859i,0.0008756+0.0006392i,0.0008172+0.00035676i,0.00087896-2.4235e-05i,0.0010155-0.00055603i
0.00093926-0.00059487i,0.0012223-0.0011972i,0.00084657-0.00068965i,0.0010209-0.00096356i,0.0013531-0.0013475i,0.00015143-0.00073758i,-0.000574-9.1884e-05i,-0.00055435+0.00013798i,-0.00065382-8.1074e-05i,0.00011401+0.00029161i,-0.00013236-0.00018829i,-0.00069343-0.00085987i,-0.0004234+0.00011526i,-0.00024443+0.0010521i,-0.00018882+0.00075107i,-0.00039191-0.00018107i,0.00012364+3.0054e-05i,-0.00024596+0.00026146i,-0.00027869+2.9658e-05i,0.00042651-0.00026107i,-8.7301e-05-0.00031052i,-0.00070104-5.8818e-05i,-0.00056236+0.00034556i
0.0011241-0.00038728i,0.0016217+0.00032845i,0.0014526+0.00078052i,0.0007104+4.1754e-06i,0.00068288-0.00067982i,0.00098035-0.00019297i,0.00034363+0.0013026i,-3.669e-06+0.0012626i,0.00082175+0.00010011i,0.00066603+1.5559e-05i,-0.00024982+2.7101e-05i,-0.00033654-0.0004215i,-0.00039376-0.00060652i,-0.00058139-0.00071726i,-0.00064076-0.00058567i,-0.00020918-0.00025506i,0.00031552+3.4778e-05i,0.00038619+0.0001106i,0.00018118+9.1922e-05i,-0.00011782-0.00047078i,-0.0002192-0.00061605i,-0.00060468-0.00022111i,-0.00072348-8.9289e-05i
0.00018082-0.00028347i,-0.00095582-0.00024295i,0.00011141-0.00042396i,0.0012008-0.00065937i,0.00033867-0.0014713i,-0.00023482-0.0016904i,0.00022473-0.0011825i,0.0010762-0.00023301i,0.0012166+0.00014327i,0.00036811-0.00050754i,0.00030349-0.00090424i,0.00017751-0.00062807i,-0.00033854-0.00015827i,-0.00035463+0.00044587i,-0.00088708+0.0013365i,-0.0015808+0.0015067i,-0.00052738+0.0012247i,0.00053716+0.0002766i,0.00039651-0.00011611i,-0.00025002-0.00024269i,-0.00018598-0.00023377i,4.5537e-05-0.00039722i,0.00045985-0.00092572i
0.00057239-0.00081734i,-4.3639e-05-0.0013111i,-0.0012174-0.0010136i,-0.0010234-0.00062589i,4.4539e-05-0.00052889i,0.00061293+0.00025902i,0.00026715+0.00085042i,9.5807e-05+0.00078866i,0.00071905+0.00038492i,0.0011838-0.00066633i,0.00077598-0.00081119i,0.00023197+0.00018996i,0.00024629+2.4894e-05i,0.00052359-0.00027216i,0.0005145+0.00019036i,0.00026243+3.2604e-05i,-0.00020927-2.0997e-06i,-0.00047621+0.00022103i,-5.0057e-05+4.2003e-05i,0.00031698+0.00017217i,0.00032703-0.00011669i,-0.00019358-0.00010366i,-0.00012673+0.00059377i
0.0017427+0.00090965i,0.0019379+6.4658e-05i,0.0020529-0.00034871i,0.0014438+5.9911e-05i,0.00056414-0.00059392i,-0.00060921-0.00092557i,-0.0012796-0.00084532i,-0.0008298-0.00059091i,0.00021911-0.00081184i,0.00054813-0.00096836i,-0.00032348-0.00048267i,-0.0008867-0.0010014i,-0.0012011-0.00094503i,-0.0018465-0.00084373i,-0.0012203-0.00092442i,-0.00026253+0.00013623i,-0.00055234+0.00026985i,-0.00053322-2.738e-05i,-0.00064485+7.2537e-05i,-0.0005773-5.095e-06i,4.0404e-05+0.00014674i,0.00027144+0.0002762i,0.00080225+0.00093744i
0.00044534+0.00052478i,0.00092583+0.0013048i,0.0015206+0.0015183i,0.0010251+0.00034589i,0.00019944-0.00096872i,-0.00027279-0.0011232i,0.00012616-0.00038156i,0.00012234+0.00018648i,0.00017015+0.00035096i,0.0010359-8.512e-05i,0.0011739-4.1023e-05i,-0.00027821+0.00015319i,-0.0013651+0.00034407i,-0.001326+0.00022454i,-0.00041724+0.00029025i,0.00019208+0.00083792i,3.0367e-05+0.00032523i,-2.6116e-05-9.8676e-05i,-0.00028211+0.00015328i,-0.0006411+6.9454e-05i,-0.00060123-0.00017538i,8.4612e-06-8.4243e-05i,0.00020991+6.4872e-05i
0.0033686-0.0020986i,0.0029075-0.0015961i,0.0021207-0.0031021i,0.00028788-0.0035632i,-0.0012168-0.0016251i,-0.0012721-0.0010125i,-0.00015696-0.00089161i,0.00063968+0.00027862i,0.00040812+0.00068958i,8.3799e-05+0.00042719i,0.00014132+0.00034379i,0.00073959+0.0006949i,0.00082246+0.0009552i,0.00047611+0.0010399i,0.00070049+0.00050864i,0.0005483-0.00050927i,0.00044911-0.00076766i,0.0010332-9.1165e-05i,0.0012475-0.000193i,0.00014472-0.00063555i,-0.00056995-0.00035163i,-0.00029825-0.00080233i,0.00014174-0.00050556i
