0.002752+0.0006995i,0.0011609-0.0018959i,0.00029207-0.0038199i,0.00028566-0.0037334i,-0.00060008-0.0021885i,-0.0022474-9.4725e-05i,-0.002421+0.00098322i,-0.0005265+0.00093022i,0.0015821-4.4109e-05i,0.0018331-0.00071718i,0.001084-0.00046721i,0.00057131-0.00051782i,0.00097261-0.00088791i,0.00087155-2.1276e-05i,-7.1502e-05+0.00089653i,-0.00048852+0.00050485i,1.9096e-05+6.2763e-05i,0.00067401+3.1993e-05i,0.00047826-0.00017477i,0.0006101+7.6646e-05i,0.00015728+1.1556e-05i,-2.077e-05-0.00011337i,0.00020377+0.00058672i
1.2841e-06+0.00038108i,-0.00030411+0.00070914i,6.6917e-05+0.00029882i,0.00011725-0.0010585i,0.00061138-0.001619i,0.00070209-0.0013793i,0.00014121+0.00028688i,-0.00041662+0.00096927i,0.00051609+0.00020929i,0.0014176-8.7893e-05i,0.00027258-0.00063758i,-0.00042599-0.0013704i,8.7365e-05-0.0012009i,0.00015552-0.00023438i,-0.0004211+0.00028323i,0.0002001-2.8156e-05i,0.0010853+4.255e-05i,0.00082245+0.00076771i,0.00086957+0.00073308i,0.00078371+2.0287e-05i,0.00025866+0.00053993i,0.00051546+0.0011417i,0.00080639+0.00047057i
0.00013574-0.00012936i,-0.00045959+0.0006258i,0.00024834+0.0002757i,0.00017223-0.00062312i,-0.00047483-0.0008132i,-0.00096945-0.00097811i,-0.00061084-0.00038212i,-9.8299e-05+0.00022313i,1.4218e-05+6.4939e-05i,0.00039128-2.2211e-05i,0.0007086-0.00052271i,-0.00037099-0.00081393i,-0.00043025-0.00060495i,0.00048682-0.00064302i,0.00070133-1.9847e-05i,0.00037873+0.00070488i,0.00054007+0.0010344i,0.00018812+0.00083566i,-0.00041533+0.00018713i,-0.0010812+0.00067047i,-0.0011688+0.001076i,-0.00083555+0.0007256i,-0.00016896+0.00064424i
0.00056738+0.00013358i,0.00067601+0.00038715i,0.0014904-0.00034687i,0.00026659-0.0013127i,-0.00082788-0.0013827i,-0.00068162-0.00069966i,-0.00032235-3.268e-05i,0.00055304-0.00013103i,0.00082976-0.00044853i,0.00067133-0.00050873i,0.00015078-0.00029513i,-0.00075265+8.4683e-06i,-0.00089903-0.00054138i,-0.00010209-0.00080844i,6.6884e-05-0.00080912i,0.00059122-0.00027739i,0.00075974+0.00083101i,0.00037891+0.0010509i,0.00017053+0.00065177i,0.00016694+0.00010462i,0.00056003-0.00085933i,0.00060989-0.00056138i,0.00022776+8.3346e-05i
-0.0011474-0.00080411i,-0.0014557+2.8027e-05i,-0.00060686+0.00088141i,0.00094838+0.00083705i,0.00087764+0.00092918i,-4.7665e-05+0.00032546i,-0.00036381-0.00041014i,-0.00056344-0.00060818i,-0.00054244-0.00041504i,-0.00016155-6.58e-05i,6.6544e-05+0.00010866i,-0.00012167-4.9776e-05i,-0.00038253-0.00036502i,-0.00025323+0.00017187i,3.6746e-05+0.001088i,-4.5774e-05+0.0010641i,-0.00038642+0.00039601i,0.0001482+0.00041997i,0.00048169+0.0010546i,0.00040861+0.0010198i,0.00064598+0.00045157i,0.00021745+0.00052585i,-0.00068256+0.00033579i
0.00034943-0.00018535i,0.00010857-0.00018805i,0.00061241-0.00096356i,0.00083093-0.0012846i,0.00087204-0.00045009i,0.00087866+3.3461e-05i,0.00010927+0.00022423i,-3.7465e-05+0.00074094i,0.00021778+0.000313i,0.00043283+0.00014874i,0.00053633+0.00043342i,0.00055428+0.00072927i,0.00089005+0.00069174i,0.0012026+0.00017479i,0.00079779+2.2033e-06i,0.00050586+0.00060302i,9.6585e-05+0.0006271i,-0.00016145-0.00016908i,-0.00016959+0.00041068i,7.2475e-05+0.0011327i,4.6307e-05+0.0011972i,-0.00025371+0.00044839i,-0.00080634-0.00058187i
-0.0016106+0.00030274i,-0.0014793-0.00020872i,-0.0016822+0.00030058i,-0.00087982+0.0010593i,-3.7367e-05-0.00036343i,0.00038748-0.001299i,0.00047669-0.00024931i,0.00079194+3.4645e-05i,0.00059984-0.0004034i,4.1936e-05-9.316e-05i,-0.00026592+0.00043926i,8.2088e-05-5.5025e-05i,0.00096561+9.8396e-05i,0.00066393+0.00071716i,-0.00020956+0.0010093i,-0.00012644+0.00089739i,-0.00010993+0.0007656i,0.00013717+0.00093048i,0.00084411+0.00064168i,0.00037349-0.00025698i,0.00057197-0.00010485i,0.00047102+0.00022749i,-0.00014299-0.00036887i
0.00040866-0.00053429i,-0.00016256-0.0014402i,-0.00076296-0.0020998i,-0.0010896-0.0019612i,-0.00074456-0.0013292i,-0.00061219-0.00039861i,-0.00080607+0.00046187i,-0.00087325+0.00077941i,-0.00044132-0.00014001i,2.5793e-05-0.00053736i,0.00021259-0.00028464i,0.00025044-0.00082384i,0.00031155-0.0010501i,-0.00027352-0.00049132i,-0.00097349+0.00048675i,-0.00071548+0.0004088i,6.786e-05+4.4451e-05i,0.00039935+0.00052845i,-9.451e-05+0.0005415i,-0.0004837+3.4471e-05i,-0.00060288+0.00021998i,-0.00031489+0.00039355i,4.8887e-05+0.00077284i
-0.00013657+0.00084552i,0.00015383+0.0010429i,0.00094096+0.00098949i,0.0017642+0.0007586i,0.0018765-0.00058422i,0.0011673-0.00093396i,0.00060068+0.00015285i,0.00031401+0.00022114i,0.00091177-0.00046727i,0.00071696-0.0012927i,3.0908e-05-0.0013835i,-0.00036347-0.00012631i,-0.00029346-0.00013207i,-0.00070853-0.00052281i,-0.0007456-1.4812e-05i,-0.00046741+0.00027117i,-0.00065277+0.0005896i,-0.00066562+0.0007358i,-0.00028447-2.4926e-05i,0.00021054+0.00030394i,0.00032531+0.00083507i,-0.00014845+0.00080178i,-0.00030186+0.00022705i
5.9855e-05-0.0016723i,-0.00065698-0.00041136i,-0.0011828+5.2485e-05i,-0.0016746-0.0012026i,-0.001626-0.00086559i,-0.0014325+0.00048661i,-0.00099157+0.00033587i,-0.00034831+6.9051e-05i,0.00028716+0.00041397i,0.00035028+0.00017379i,-0.00042473-3.3081e-05i,-0.00081356+0.00066928i,-0.00041749+0.0010697i,7.7753e-05+9.3888e-05i,0.00022791-0.00016645i,0.00034742+0.00073183i,9.1473e-05+0.0013253i,-4.3646e-06+0.0010317i,-0.00036928-0.00033248i,-0.00086981-0.00096413i,-5.72e-05-0.0003641i,0.00093667-8.6854e-05i,0.00073849-0.0002354i
-0.00041298+0.0010268i,-0.0018328+0.00099723i,-0.0013052+0.00013996i,0.00013588-0.00063466i,0.00046488-0.00071556i,9.5023e-05-0.00029918i,-0.00011867+0.00033578i,5.2576e-05+0.00012468i,0.00017376-0.00019249i,0.00085175-0.00048502i,0.0016849-0.00028495i,0.00068943+0.00026887i,-0.00059199+0.00064691i,-0.0002808+0.00054165i,0.00023967+0.00033488i,0.00064168+0.00031449i,0.00046634+0.00047403i,-0.00024183+0.00082613i,0.00011212+0.0010614i,-0.00017589+0.00054322i,-0.00054792-0.00035979i,0.00010446-0.00022029i,-0.00031857+0.00015333i
