-0.0014255-0.00023618i,0.00035244-0.00011015i,0.00072572+0.00098355i,0.00039586+0.0009792i,-3.605e-05+0.00025467i,0.00089412+0.0006022i,0.0012199+0.0006135i,0.00047613+4.6195e-05i,0.00047093+0.00011323i,0.00082073+0.00070837i,0.00079779+0.00080118i,0.00034371-0.00020989i,0.00025032-0.0011284i,0.00038763-0.0011973i,0.00068534-0.00090021i,0.00017105-0.00047552i,-0.00041283-0.00057527i,-9.9066e-06-0.00072951i,0.00044632-0.00042727i,0.00059404+6.1168e-05i,4.1887e-05+0.00028447i,-0.00047807+0.00048925i,-0.00085106+0.00054215i
-7.5942e-05-0.0016012i,-0.0014752-0.0024087i,-0.0026949-0.0022374i,-0.0024622-0.00070663i,-0.0019021+6.7364e-05i,-0.00065932+0.0001418i,0.00052111+0.00031782i,0.00069928+0.0001041i,0.00048001-0.00032442i,-0.00055483-0.00018512i,-0.00070282+0.00023667i,-0.00019714+9.0876e-05i,-1.4901e-05-0.00041637i,-0.00024717+0.00029152i,-0.00053882+0.00085695i,-0.00028422+0.00022575i,-3.3763e-06-0.00045535i,0.00055948-9.4897e-06i,0.00037171+0.00025917i,-0.00052155+6.428e-05i,-0.00077255-0.00017415i,-0.00080464-0.00068543i,-0.00031776-0.00066576i
0.00093405+0.00028551i,0.0010207+0.00053926i,0.0013522+4.5829e-05i,0.0013429+0.00015878i,0.00025468+0.00057698i,-0.00025698+0.0016832i,0.00015383+0.0019804i,-0.00015457+0.00080861i,-9.7978e-05-0.00044346i,-0.00039832-0.00049493i,-0.00097876-0.00027723i,-0.00065274-0.00045018i,-0.00055212-0.00025282i,-0.00043922+0.0003775i,0.00036055+0.00048092i,0.00028892+0.00048514i,-0.00053356-0.00026402i,-0.00050695-0.00077952i,9.2368e-05-0.00043899i,0.00077815+5.3277e-05i,0.0012803+6.3955e-05i,0.00044484+0.00020698i,-0.00013466+0.00053007i
-0.00031894-0.00089374i,-0.0012025-0.0014262i,-0.00056318-0.001859i,8.4005e-05-0.0013582i,0.00046398-7.2187e-05i,0.00068559+0.00064937i,0.00080414-0.00015003i,0.0008012-0.00085552i,0.00044457-0.00049516i,-0.00010747+0.00015087i,-0.00070189-0.00015243i,-0.0001965-0.00030691i,0.00017631+0.0010139i,-0.0002915+0.0015023i,-0.00038248+0.00085647i,-0.00032855-0.00012968i,0.00040364-7.7886e-05i,0.00042216+0.00034995i,-0.00035368+1.2813e-06i,-0.00013384-0.00021549i,0.00031008+0.00030512i,2.0172e-05-4.7904e-06i,-0.0011472-0.00052277i
-0.00033896+0.00024537i,0.00011384+0.00090293i,-0.00061584+0.00040076i,-0.0011645-0.000394i,-0.00077106-0.00038564i,-0.00050092-0.00011622i,0.00020908+0.00043034i,0.0011087+0.00055905i,0.001409-0.00023301i,0.0011725-0.00041976i,-0.00010871-0.00013613i,-0.0011258-0.00070914i,-0.00037855-0.00054722i,0.00073389-0.00054465i,0.0011834-0.00054482i,0.001148-0.00041298i,0.0011252+5.2692e-05i,0.00030492+0.00086681i,-0.00034478+0.00057608i,-0.00050474-1.1252e-05i,-0.00041849-0.00027057i,-0.00055261-0.00010644i,-0.00060395+0.00018902i
0.00033076-0.0019264i,-0.00060368-0.0019326i,-0.00043313-0.0022013i,-0.0013296-0.0014695i,-0.002606-0.00024308i,-0.0012504+0.00032503i,-8.6734e-05+5.6005e-05i,-9.5341e-05+0.00040999i,7.4875e-05+0.00052833i,-0.00017808+0.00010003i,-0.00042163-0.00019819i,-0.00031264-0.00020237i,-0.00040461+0.0010349i,-0.00040903+0.0019813i,-4.5535e-05+0.0024515i,-0.00047905+0.0016317i,-0.0003691+4.2531e-05i,0.0010006-0.00071872i,0.0012057-0.001152i,0.00062565-0.00090345i,0.00048319-0.00038695i,0.0006788+0.00016265i,0.00048794+0.00081705i
0.00048463+0.0011402i,0.00069627+0.00052969i,0.0012346+0.00052484i,-3.5887e-05+0.0014143i,-0.00017507+0.0020029i,0.00023253+0.0015026i,0.00010018+0.0008039i,-4.8396e-05+0.00031898i,2.4977e-05+0.00034212i,-0.00026664+0.0003827i,-0.00083017+0.00036531i,-0.00041629+0.00011323i,4.3737e-05-0.00011426i,-0.0009136-9.1435e-05i,-0.0010493-4.3744e-05i,-0.00031732+0.00028354i,2.0429e-05+0.00012424i,-0.00076071-0.00025238i,-0.00082608+0.00017858i,-0.00038+0.00061894i,0.00014799+8.6554e-05i,0.00042331+0.00010661i,0.00013461+0.00041612i
0.00028908-0.00061575i,0.00015821+0.00021353i,0.00051238-0.00017228i,0.0010573-0.00045546i,0.00092259+0.00042108i,0.00028897+0.0010601i,0.0010445+0.00094317i,0.0020201+0.00011388i,0.00084009-0.00036227i,-6.5391e-05+0.00010782i,1.4447e-06-0.00034288i,-2.1555e-05-0.0006458i,7.0814e-05-0.00017605i,-0.00049815-0.00012032i,-0.00077709-8.1356e-05i,-0.00038641+0.0004388i,0.00046591+0.00057166i,0.001063+0.00036968i,0.00066223+0.00086605i,-3.0661e-05+0.00075059i,-0.00024412-0.00038982i,-0.00046613-6.3016e-05i,0.00014942+0.00010539i
0.00080803+0.0026386i,0.0016767+0.0021845i,0.0021057+0.00033865i,0.0013401-0.00062871i,5.2334e-05-0.00073696i,-0.00065875-0.00028311i,-0.0011999+0.00031088i,-0.00057817-6.9689e-06i,-3.5132e-05-9.2937e-05i,-0.00056029+0.00017196i,-0.00088695+0.00029784i,-0.00071423-0.00040029i,-0.0010971-0.00052368i,-0.00061266-0.00031024i,-0.00012141-0.0010194i,-0.00050665-0.0013036i,-0.00015623-0.001026i,0.0002993-2.8504e-05i,-0.00024888+2.4826e-05i,-7.9048e-05-0.00028668i,0.00048439-0.00048541i,-3.4937e-05-0.0003206i,-0.00053822+0.000552i
-0.0013176+0.00072008i,-0.0012147+0.00058492i,0.00050155+0.00031662i,0.00064787+0.00026237i,0.00013344+0.00053132i,0.00026236+0.00078691i,0.00027982+0.00017837i,0.00022212+0.00032872i,2.3193e-05-4.0734e-05i,7.9383e-05-0.00071248i,-0.00034582-0.00097876i,-0.00084451-0.0010555i,-0.00031868-0.00050998i,-0.00027742-0.00016158i,-0.00040876+0.00010342i,8.7513e-05+3.9073e-05i,0.00035106+0.00018182i,0.00020996+0.00057211i,-0.00039457+0.00013174i,-0.00046785+0.00014131i,0.00020145+0.00020621i,0.00098364-2.2645e-05i,0.00059044+0.00020728i
0.0019453-0.00038754i,0.0016302-0.0011719i,0.0010339-0.00094101i,0.00021685-0.0012159i,-0.00074139-0.0014512i,-0.00096707-0.00055998i,-0.00094713-1.4527e-05i,-0.00034672+4.0595e-05i,-0.0002293-0.00028285i,-0.00019592+0.00012834i,-6.5482e-05+0.00037509i,-1.3036e-05+0.00019936i,0.00036912+2.0937e-05i,0.00025791-0.00014966i,-0.00071222-0.00023768i,-0.00028281-0.00049191i,0.00083687-0.00012056i,0.00073816+0.00044861i,-1.0341e-05+2.2194e-05i,0.00028726-5.4878e-05i,0.00041637+0.00040979i,-0.00024316+0.00012168i,-0.00065061-0.00065472i
